EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,SecondChanceFg3Pct,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,OffAtRimReboundPct,SecondChanceFtPoints,FTOffRebounds,FTDefRebounds,SelfOReb,2pt And 1 Free Throw Trips,BlockedAtRim,RecoveredBlocks,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,Offensive Fouls,HeaveAttempts,BlockingFouls,on,DefensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3SecondViolations
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,5888.0,98,18.0,195,195,55,35,23,390,6.0,9.0,2.0,2.0,1.0,2.0,5.0,10.0,14.0,25.0,1.0,4.0,14.0,1.0,1.0,5.0,25.0,44.0,4.0,15.0,13.0,75.0,191,3.0,3.0,1.0,6.0,5.0,9.0,1.0,5.0,12.0,25.0,6.0,44.0,9.0,3.0,2.0,14.0,4.0,2.0,17.0,5.0,22.0,4.0,1.0,7.0,3.0,7.0,49.0,1.0,1.0,7.0,1.0,8.0,2.0,10.0,5.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,11.0,1.0,1.0,13.0,1.0,1.0,13.0,1.0,1.0,5.0,25.0,55,3.0,5.0,0.12,0.125,0.75,0.26666666666666666,0.2,0.26666666666666666,0.5681818181818182,1.0,0.5555555555555556,0.5254237288135594,0.75,0.4642857142857143,0.5692307692307692,0.75,0.625,0.2542372881355932,0.045454545454545456,0.1111111111111111,0.04,31.050228310502284,0.6666666666666666,0.015873015873015872,0.014925373134328358,0.14583333333333334,0.037037037037037035,0.07207207207207207,0.02127659574468085,0.03225806451612903,0.045454545454545456,0.027777777777777776,0.15789473684210525,0.1,0.15254237288135594,0.6666666666666666,0.75,0.16666666666666666,0.1694915254237288,0.5,0.5,0.2,0.423728813559322,0.56,0.5833333333333334,0.07142857142857142,0.01694915254237288,0.23728813559322035,0.2857142857142857,0.2857142857142857,0.75,0.5,1.0,0.25,0.14285714285714285,0.5,0.35714285714285715,0.2,0.4067796610169492,0.2857142857142857,0.4548870689655172,0.5913333333333334,0.44593571428571427,0.016666666666666666,0.022222222222222223,0.08,0.3333333333333333,12.672727272727274,26.42,0.28205128205128205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,9983.0,166,,331,324,99,73,38,655,5.0,10.0,,,3.0,6.0,4.0,8.0,14.0,30.0,4.0,10.0,27.0,3.0,5.0,8.0,23.0,48.0,11.0,31.0,2.0,81.0,350,2.0,4.0,4.0,7.0,7.0,13.0,5.0,9.0,2.0,31.0,46.0,,33.0,,,27.0,10.0,4.0,4.0,1.0,5.0,1.0,,3.0,,1.0,11.0,1.0,,5.0,6.0,11.0,1.0,12.0,1.0,1.0,,3.0,2.0,2.0,5.0,4.0,11.0,,2.0,12.0,1.0,,3.0,,,1.0,31.0,99,,1.0,1.0,1.0,1.0,0.3548387096774194,0.5555555555555556,0.3548387096774194,0.4791666666666667,0.5,0.5384615384615384,0.5,0.4375,0.6590909090909091,0.50625,0.4375,0.6739130434782609,0.3924050632911392,0.08333333333333333,0.1,0.03333333333333333,22.78820375335121,0.6,0.06060606060606061,,0.07042253521126761,0.023809523809523808,0.06470588235294118,0.006329113924050633,,0.02857142857142857,0.021739130434782608,0.06896551724137931,0.07692307692307693,0.12658227848101267,0.5,0.5555555555555556,1.0,0.10126582278481013,0.5,0.6666666666666666,1.0,0.379746835443038,0.4666666666666667,0.4827586206896552,1.0,0.05063291139240506,0.34177215189873417,0.37037037037037035,0.37037037037037035,1.0,,,0.375,0.2727272727272727,0.5,0.36363636363636365,0.625,0.5189873417721519,0.37037037037037035,0.46574113924050636,0.4517875,0.4955863636363636,0.012658227848101266,,0.08641975308641975,0.38271604938271603,12.789583333333333,26.058064516129033,0.2990936555891239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.16,0.03571428571428571,0.25,0.25,1.0,0.125,0.3333333333333333,1.0,0.045454545454545456,0.03225806451612903,,,,,,,,,,,,,,,,,,,,True,,,,
201145,1610612746,Jeff Green,Jeff Green,201145,LAC,3654.0,61,3.0,119,111,36,30,17,230,3.0,4.0,,,1.0,2.0,3.0,5.0,1.0,4.0,,1.0,2.0,,1.0,1.0,7.0,13.0,1.0,2.0,3.0,20.0,135,1.0,1.0,,2.0,2.0,4.0,1.0,1.0,,7.0,6.0,8.0,3.0,,,2.0,1.0,1.0,3.0,1.0,4.0,1.0,,,2.0,1.0,9.0,,1.0,4.0,6.0,10.0,1.0,11.0,1.0,,1.0,,,,,2.0,3.0,,,3.0,,,6.0,,3.0,,7.0,36,1.0,,0.42857142857142855,0.42857142857142855,1.0,0.5,1.0,0.5,0.5384615384615384,1.0,0.5,0.5666666666666667,1.0,0.7,0.5555555555555556,1.0,0.5833333333333334,0.13333333333333333,0.07692307692307693,,,12.949640287769785,,0.18181818181818182,0.022222222222222223,0.2,,0.18867924528301888,0.01694915254237288,,,0.18181818181818182,0.13333333333333333,0.4,0.26666666666666666,0.75,0.75,0.3333333333333333,0.3333333333333333,0.6,0.75,0.3333333333333333,0.26666666666666666,0.25,0.25,1.0,,0.13333333333333333,0.5,0.5,1.0,,,,0.4,0.5,0.2,1.0,0.4,0.5,0.45991333333333334,0.4178,0.52755,0.16666666666666666,0.1875,0.1,0.35,8.9,25.15,0.3025210084033613,,,,,,,,,,,,,,,,,,,0.2,0.1,0.25,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,,,True,,,,
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,9020.0,150,1.0,294,290,76,54,34,584,16.0,24.0,8.0,12.0,2.0,6.0,,4.0,,,,,,,,,16.0,28.0,,,16.0,48.0,304,8.0,12.0,,19.0,2.0,6.0,,,12.0,16.0,16.0,16.0,,,14.0,,,1.0,7.0,2.0,9.0,2.0,,1.0,3.0,3.0,20.0,5.0,13.0,19.0,28.0,53.0,19.0,72.0,5.0,5.0,,3.0,2.0,2.0,5.0,7.0,14.0,,2.0,30.0,4.0,,45.0,,8.0,15.0,16.0,76,,2.0,0.5,0.8888888888888888,,,,,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.48,0.6333333333333333,0.36363636363636365,,0.03571428571428571,,,16.516516516516518,0.6,0.3010752688172043,0.1262135922330097,0.2923076923076923,0.1282051282051282,0.2974683544303797,0.1267605633802817,0.09523809523809523,0.125,0.18604651162790697,0.2830188679245283,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.5,0.14285714285714285,,,,,,,,,,,,,1.0,0.6666666666666666,,1.0,0.3333333333333333,,,0.8571428571428571,,0.6001107142857143,0.6060818181818182,0.6190833333333333,0.22857142857142856,0.22857142857142856,0.3958333333333333,0.3333333333333333,1.9821428571428577,,0.2585034013605442,,,,,,2.0,1.0,,1.0,1.0,,,,,15.0,1.0,15.0,,0.25,0.4090909090909091,0.39285714285714285,,,,,,,,,0.14285714285714285,3.0,1.0,6.0,3.0,1.0,14.0,9.0,0.75,0.045454545454545456,0.15151515151515152,0.14285714285714285,0.2727272727272727,0.6,0.125,,,,,True,,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,6111.0,102,10.0,202,201,55,39,24,403,9.0,18.0,2.0,4.0,2.0,4.0,3.0,9.0,3.0,13.0,1.0,1.0,1.0,,,,15.0,40.0,1.0,2.0,13.0,46.0,201,4.0,6.0,,10.0,2.0,7.0,,,5.0,9.0,10.0,20.0,3.0,,4.0,1.0,1.0,5.0,7.0,5.0,12.0,5.0,,2.0,1.0,4.0,29.0,1.0,4.0,6.0,11.0,20.0,7.0,27.0,2.0,1.0,1.0,7.0,3.0,2.0,9.0,1.0,7.0,,1.0,14.0,1.0,1.0,17.0,,8.0,2.0,9.0,55,1.0,2.0,0.3333333333333333,0.38461538461538464,1.0,0.5,,0.5,0.375,0.6666666666666666,0.2857142857142857,0.39285714285714285,0.6666666666666666,0.2857142857142857,0.46938775510204084,0.7142857142857143,0.5,0.047619047619047616,0.125,0.2222222222222222,,25.438596491228072,0.7777777777777778,0.16417910447761194,0.057971014492753624,0.125,0.034482758620689655,0.14782608695652175,0.05102040816326531,0.03125,,0.16216216216216217,0.10526315789473684,0.2,0.42857142857142855,0.5,0.6428571428571429,0.2222222222222222,0.21428571428571427,0.3333333333333333,0.375,,0.30952380952380953,0.23076923076923078,0.23076923076923078,1.0,0.023809523809523808,0.023809523809523808,1.0,1.0,1.0,0.6666666666666666,0.5,,0.5714285714285714,0.5,,,0.47619047619047616,1.0,0.4664261904761905,0.4670666666666667,0.4339142857142857,0.1702127659574468,0.17777777777777778,0.21739130434782608,0.1956521739130435,8.524999999999999,24.450000000000003,0.2722772277227723,,,,,,,4.0,,,3.0,,1.0,,,2.0,1.0,2.0,,0.1111111111111111,0.2,0.13333333333333333,,,,,,,,,0.14285714285714285,2.0,2.0,3.0,2.0,3.0,1.0,1.0,0.6,0.14285714285714285,,0.2,0.09523809523809523,0.5,,1.0,1.0,,,True,,,,
203085,1610612746,Austin Rivers,Austin Rivers,203085,LAC,3493.0,58,-19.0,117,116,45,43,12,233,3.0,5.0,,,1.0,2.0,4.0,10.0,,1.0,1.0,1.0,5.0,,,1.0,7.0,16.0,1.0,6.0,2.0,19.0,144,1.0,1.0,,2.0,3.0,5.0,,1.0,,6.0,4.0,10.0,3.0,,,4.0,1.0,1.0,8.0,3.0,11.0,3.0,,4.0,1.0,3.0,25.0,,1.0,1.0,3.0,4.0,1.0,5.0,1.0,,1.0,2.0,2.0,1.0,3.0,1.0,4.0,,,4.0,,,3.0,,2.0,,6.0,45,,,0.2857142857142857,0.2857142857142857,1.0,0.16666666666666666,,0.2,0.4375,1.0,0.6,0.38636363636363635,1.0,0.5,0.41304347826086957,1.0,0.5,0.2727272727272727,0.0625,0.2,,19.696969696969695,0.6666666666666666,0.1,0.024390243902439025,0.05263157894736842,,0.08163265306122448,0.017857142857142856,,,0.2222222222222222,0.0625,,0.22727272727272727,0.6,0.75,0.3333333333333333,0.45454545454545453,0.4,0.4,0.25,0.045454545454545456,,,,0.045454545454545456,0.22727272727272727,0.2,0.2,1.0,,,,0.3333333333333333,0.5,0.16666666666666666,,0.5,0.25,0.4655142857142857,0.4037,0.43536,0.08695652173913043,0.11764705882352941,0.10526315789473684,0.3157894736842105,7.487499999999999,28.01666666666667,0.38461538461538464,,,,,,,,1.0,,1.0,,,,,,,,,,0.1111111111111111,,,,,,,,,,0.07692307692307693,,,,,1.0,,,,,,,,,,,,1.0,,True,,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,5036.0,84,7.0,169,161,75,55,18,330,4.0,7.0,,,4.0,6.0,7.0,15.0,2.0,7.0,,3.0,7.0,2.0,2.0,5.0,13.0,29.0,3.0,7.0,15.0,50.0,186,,,2.0,2.0,6.0,13.0,2.0,5.0,4.0,22.0,8.0,18.0,9.0,,,7.0,3.0,2.0,5.0,2.0,7.0,2.0,,3.0,1.0,1.0,16.0,,1.0,1.0,1.0,2.0,1.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,,,11.0,,,18.0,,8.0,,22.0,75,,,0.3076923076923077,0.3076923076923077,1.0,0.42857142857142855,0.4,0.42857142857142855,0.4482758620689655,,0.46153846153846156,0.4861111111111111,,0.5,0.5681818181818182,0.3333333333333333,0.55,0.19444444444444445,0.06896551724137931,0.14285714285714285,,25.3968253968254,0.5,0.02631578947368421,0.019230769230769232,0.03125,,0.02857142857142857,0.014285714285714285,0.05,,,0.034482758620689655,,0.19444444444444445,0.5714285714285714,0.6666666666666666,,0.4166666666666667,0.4666666666666667,0.5,0.42857142857142855,0.19444444444444445,0.2857142857142857,0.2857142857142857,0.5,,0.19444444444444445,0.42857142857142855,0.42857142857142855,1.0,,,1.0,0.3333333333333333,0.6666666666666666,0.2777777777777778,0.4,0.3888888888888889,0.42857142857142855,0.4308444444444445,,0.4326916666666667,0.20454545454545456,0.2222222222222222,0.04,0.44,9.403448275862068,27.64285714285714,0.4437869822485207,,,,,,,1.0,,,1.0,,,,1.0,,,,,0.06666666666666667,,0.09090909090909091,,,,,,,,0.125,,2.0,,,,1.0,,,,,,,,,,1.0,1.0,,,True,,,,
201601,1610612746,Luc Mbah a Moute,Luc Mbah a Moute,201601,LAC,4395.0,73,-4.0,143,143,25,14,15,286,4.0,6.0,,1.0,,,,,,,,,,,,,4.0,6.0,,,1.0,9.0,145,,1.0,,,,,,,,,6.0,2.0,,,,,,1.0,1.0,,1.0,,,1.0,,,2.0,,2.0,3.0,5.0,8.0,2.0,10.0,3.0,2.0,1.0,,,2.0,2.0,5.0,9.0,1.0,,2.0,,,1.0,,1.0,,,25,,,0.75,0.75,,,,,0.6666666666666666,,,0.6666666666666666,,,0.75,,,,0.16666666666666666,0.16666666666666666,,5.0,,0.09259259259259259,0.03773584905660377,0.08823529411764706,,0.09090909090909091,0.027777777777777776,0.05263157894736842,,0.10344827586206896,0.11538461538461539,,1.0,0.6666666666666666,0.8,0.75,,,,,,,,,,,,,,1.0,,,,,,,1.0,,0.722,0.6214,,0.16666666666666666,0.16666666666666666,,,0.9,,0.17482517482517482,,,,,,,,,,1.0,,,,,,,,,,0.1111111111111111,0.0625,,,,,,,,,0.0625,,,,1.0,1.0,,,,,,,1.0,,,,,,,True,,,,
202325,1610612746,Wesley Johnson,Wesley Johnson,202325,LAC,408.0,7,-8.0,16,14,7,7,2,30,,,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,22,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,0.5,,,,16.666666666666668,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,0.5,,0.4152,,,,,,,16.9,25.0,0.4375,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1718,1610612746,Paul Pierce,Paul Pierce,1718,LAC,916.0,15,-8.0,34,33,9,8,2,67,,1.0,,,,,,1.0,,,1.0,,,,,,,2.0,,1.0,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,4.0,4.0,,,1.0,,,2.0,,1.0,,,9,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,14.285714285714286,1.0,0.1111111111111111,,,,0.058823529411764705,,,,0.5,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,,0.5044666666666667,,,0.25,0.3333333333333333,,,7.35,24.1,0.2647058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.25,,,,,,,,,,,True,,,,
