EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,PenaltyOffPossPct,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,Points,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,OffThreePtRebounds,OffRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyAtRimFGA,LongMidRangeAssists,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Charge Fouls Drawn,DefShortMidRangeReboundPct,PenaltyAtRimFrequency,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,ShootingFouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceCorner3FGA,SecondChanceFG3A,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,on,PenaltyAtRimFGM,Corner3FGM,FtPoints,PenaltyFtPoints,Corner3Assists,AtRimAssists,OffTwoPtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BlockingFouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimAccuracy,SecondChanceFtPoints,BadPassTurnovers,Travels,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,OffLongMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsPutbacks,Loose Ball Fouls,Offensive Fouls,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Charge Fouls,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,3SecondViolations,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,HeaveAttempts,Fg3aBlocked,SecondChanceTurnovers,Blocked3s,BlockedCorner3,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
1626151,1610612766,Aaron Harrison,Aaron Harrison,1626151,CHA,444.0,7,-7,16,16,15.0,2.0,32,19,1.0,1.0,1.0,1.0,15.0,1.0,0.25,0.16666666666666666,0.25,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626163,1610612766,Frank Kaminsky,Frank Kaminsky,1626163,CHA,356.0,6,-5,13,14,13.0,,27,15,,2.0,2.0,,13.0,,,0.3333333333333333,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,23.076923076923077,1.0,1.0,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.49551666666666666,0.49551666666666666,1.0,5.3,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203087,1610612766,Jeremy Lamb,Jeremy Lamb,203087,CHA,695.0,12,-8,24,24,15.0,10.0,48,27,3.0,3.0,4.0,,15.0,,0.375,0.3,0.42857142857142855,0.625,2.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,11.0,4.0,1.0,1.0,7.0,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,7.0,1.0,1.0,1.0,1.0,0.6111111111111112,0.7,0.6111111111111112,0.7,0.1111111111111111,34.61538461538461,,,0.2222222222222222,0.1111111111111111,1.0,1.0,1.0,0.2,1.0,0.4444444444444444,1.0,0.4896277777777778,0.43185,0.6363636363636364,9.9625,26.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,0.25,0.25,0.5,1.0,0.5,1.0,1.0,0.125,0.3333333333333333,0.25,0.06666666666666667,0.5,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203268,1610612766,Jorge Gutierrez,Jorge Gutierrez,203268,CHA,695.0,12,-8,24,24,15.0,10.0,48,27,2.0,2.0,2.0,,15.0,,0.25,0.2,0.14285714285714285,0.625,1.0,,,,,3.0,,,,1.0,,,,,,,1.0,1.0,2.0,1.0,,5.0,,,,,,,,,,,,15.384615384615383,,,0.3333333333333333,,,,,,,0.3333333333333333,,0.46799999999999997,0.6042,,10.266666666666667,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,0.3333333333333333,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203584,1610612766,Troy Daniels,Troy Daniels,203584,CHA,695.0,12,-8,24,24,15.0,10.0,48,27,1.0,1.0,1.0,2.0,15.0,,0.125,0.1,0.14285714285714285,0.625,1.0,,1.0,,1.0,4.0,,2.0,2.0,2.0,,2.0,2.0,,1.0,,,,,,,,,2.0,,,,,0.16666666666666666,0.25,0.16666666666666666,0.25,0.3333333333333333,23.076923076923077,,,0.16666666666666666,0.16666666666666666,,,,0.25,,0.3333333333333333,,0.4264666666666667,0.460575,1.0,16.875,23.75,1.0,,,,,,3.0,1.0,,,,1.0,2.0,,,,,1.0,1.0,0.25,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,2.0,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.25,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201946,1610612766,Tyler Hansbrough,Tyler Hansbrough,201946,CHA,339.0,6,-3,11,10,2.0,10.0,21,12,,,,,2.0,,,,,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201150,1610612766,Spencer Hawes,Spencer Hawes,201150,CHA,251.0,4,-1,8,8,,8.0,16,8,1.0,1.0,1.0,,,,0.25,0.25,0.3333333333333333,,,1.0,1.0,,,,1.0,2.0,3.0,,,,,3.0,1.0,1.0,,,,,,,,,1.0,0.5,,0.5,0.75,,0.75,,1.0,30.0,,,,0.5,1.0,1.0,1.0,,,1.0,1.0,0.581475,,,,24.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,0.6552,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101107,1610612766,Marvin Williams,Marvin Williams,101107,CHA,13655.0,228,-67,427,433,93.0,58.0,860,485,23.0,41.0,48.0,11.0,93.0,1.0,0.16083916083916083,0.15897435897435896,0.2857142857142857,0.21779859484777517,9.0,5.0,13.0,,,34.0,6.0,17.0,36.0,5.0,,,6.0,18.0,13.0,5.0,4.0,2.0,6.0,1.0,2.0,14.0,8.0,6.0,1.0,0.35294117647058826,,0.35294117647058826,0.3333333333333333,0.4,0.33962264150943394,0.42857142857142855,0.3333333333333333,11.434511434511435,0.15384615384615385,0.18181818181818182,0.17647058823529413,0.2549019607843137,0.38461538461538464,0.38461538461538464,1.0,,,0.6862745098039216,0.38461538461538464,0.5248294117647059,0.44424,0.16666666666666666,7.091176470588236,24.794117647058826,46.0,5.0,18.0,,6.0,2.0,7.0,8.0,,8.0,,2.0,12.0,4.0,6.0,3.0,7.0,0.75,0.75,0.23529411764705882,,0.4,,,0.17647058823529413,0.2777777777777778,0.05555555555555555,0.029661016949152543,,0.35294117647058826,0.2777777777777778,0.38461538461538464,0.2222222222222222,0.25,,0.13725490196078433,0.6666666666666666,,,2.0,,,,2.0,1.0,12.0,,0.07547169811320754,0.4,1.0,4.0,,8.0,0.14285714285714285,0.14285714285714285,1.0,0.0784313725490196,,1.0,1.0,2.0,2.0,1.0,0.1111111111111111,0.5674714285714285,False,1.0,1.0,2.0,2.0,1.0,2.0,4.0,10.0,2.0,6.0,5.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,0.1111111111111111,0.6666666666666666,0.02197802197802198,0.036585365853658534,0.0196078431372549,0.06521739130434782,0.12195121951219512,0.10526315789473684,0.06451612903225806,0.3333333333333333,1.0,0.25,0.25,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626163,1610612766,Frank Kaminsky,Frank Kaminsky,1626163,CHA,11074.0,185,-7,343,342,77.0,35.0,685,354,19.0,25.0,28.0,15.0,77.0,1.0,0.16101694915254236,0.15151515151515152,0.21739130434782608,0.22448979591836735,15.0,3.0,13.0,,2.0,28.0,4.0,15.0,47.0,3.0,,3.0,6.0,12.0,13.0,3.0,4.0,2.0,6.0,2.0,2.0,14.0,6.0,6.0,1.0,0.26666666666666666,,0.26666666666666666,0.3488372093023256,0.16666666666666666,0.44339622641509435,0.375,0.3488372093023256,14.55026455026455,0.1276595744680851,0.125,0.3488372093023256,0.3023255813953488,0.23076923076923078,0.23076923076923078,1.0,0.3333333333333333,,0.627906976744186,0.23076923076923078,0.49205348837209295,0.5331583333333333,0.1276595744680851,4.95,24.89333333333333,31.0,4.0,12.0,,,5.0,1.0,9.0,,,6.0,1.0,8.0,10.0,1.0,,3.0,0.4444444444444444,0.4444444444444444,0.32142857142857145,,0.3333333333333333,,1.0,0.03571428571428571,,,0.016853932584269662,,0.27906976744186046,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.4,0.023255813953488372,,,0.1276595744680851,2.0,,1.0,,2.0,,16.0,,0.1,0.3333333333333333,,2.0,1.0,11.0,,,,0.046511627906976744,0.16666666666666666,,,1.0,,0.5,,,False,,1.0,17.0,4.0,,2.0,3.0,,2.0,6.0,4.0,2.0,,1.0,2.0,21.0,2.0,5.0,3.0,5.0,1.0,2.0,0.06666666666666667,,0.022900763358778626,0.0392156862745098,,,0.15625,0.13333333333333333,0.06896551724137931,0.2,0.5,0.5,0.5,1.0,,6.0,1.0,1.0,1.0,1.0,9.0,2.0,0.025,0.17647058823529413,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201150,1610612766,Spencer Hawes,Spencer Hawes,201150,CHA,2943.0,49,26,100,100,31.0,19.0,200,72,8.0,12.0,15.0,5.0,31.0,,0.19047619047619047,0.18333333333333332,0.16666666666666666,0.31,7.0,,1.0,,,9.0,,2.0,15.0,2.0,,,5.0,,1.0,,3.0,,3.0,,1.0,6.0,3.0,5.0,,,,,0.45454545454545453,0.5,0.5357142857142857,0.625,0.18181818181818182,15.887850467289718,0.16666666666666666,0.2222222222222222,0.6363636363636364,0.09090909090909091,,,,,,0.2727272727272727,,0.4289409090909091,0.3459,0.3333333333333333,9.777777777777779,24.45,7.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,6.0,1.0,2.0,8.0,1.0,,3.0,0.2,0.25,0.5555555555555556,1.0,0.5,1.0,1.0,0.1111111111111111,,,0.06976744186046512,,0.09090909090909091,1.0,1.0,0.42857142857142855,0.5,,0.09090909090909091,1.0,1.0,0.4,,,2.0,1.0,3.0,1.0,4.0,,0.23076923076923078,,1.0,1.0,,3.0,1.0,1.0,1.0,0.09090909090909091,,,,1.0,,0.3333333333333333,,0.619,False,,,5.0,3.0,,2.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,6.0,1.0,2.0,1.0,2.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.0967741935483871,0.07142857142857142,0.2,,0.17647058823529413,0.1111111111111111,0.2,0.5,,,,,,4.0,1.0,,,,2.0,1.0,,0.15384615384615385,0.18181818181818182,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
