EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,StepOutOfBoundsTurnovers,OffensiveGoaltends,Defensive 3 Seconds Violations,DefensiveGoaltends,Blocked3s,BlockedCorner3,on,HeaveMakes,Arc3PctBlocked,Clear Path Fouls,BlockedArc3
1713,1610612751,Vince Carter,Vince Carter,1713,NJN,63931.0,1066,64,2011,2000,719.0,823,232,4011,77,130,10.0,17,23.0,41.0,27.0,69.0,64.0,154,12.0,24.0,1.0,2.0,6.0,12.0,47.0,125.0,3.0,8.0,21.0,50.0,168,353,59.0,149.0,137,650,2170,11.0,27,4.0,10.0,7.0,41.0,56.0,121.0,27.0,62.0,66.0,259.0,76,260.0,120.0,57.0,10.0,2.0,123.0,47.0,15.0,1.0,77.0,63.0,140.0,33.0,30.0,50.0,7.0,20.0,343.0,11.0,16,1.0,33.0,82,3.0,118,28,146,7.0,30.0,18.0,12.0,40.0,11.0,31.0,38.0,8.0,9.0,6.0,78.0,5.0,35.0,45.0,89.0,2.0,10.0,131,3.0,3.0,168,12.0,1.0,13.0,59,2.0,23.0,14.0,10.0,2.0,2.0,14.0,5.0,1.0,259.0,719.0,13.0,21.0,0.2261904761904762,0.2331288343558282,0.6779661016949152,0.3959731543624161,0.4,0.43548387096774194,0.4013605442176871,0.47592067988668557,0.4074074074074074,0.4628099173553719,0.5109561752988048,0.4594594594594595,0.5273224043715847,0.5567190226876091,0.5,0.5825688073394495,0.2968127490039841,0.006711409395973154,0.042492917847025496,0.07692307692307693,0.057971014492753624,0.006493506493506494,0.041666666666666664,28.646981048920228,0.5128205128205128,0.031914893617021274,0.01818181818181818,0.12275449101796407,0.026402640264026403,0.12547528517110265,0.034055727554179564,0.12352309344790548,0.02906350914962325,0.014018691588785047,0.027972027972027972,0.03614457831325301,0.013888888888888888,0.07476635514018691,0.09170305676855896,0.13690476190476192,0.14022140221402213,0.11940298507462686,0.14516129032258066,0.028225806451612902,0.35714285714285715,0.2589641434262948,0.5923076923076923,0.6416666666666667,0.2597402597402597,0.13745019920318724,0.391304347826087,0.4153846153846154,0.18518518518518517,0.30677290836653387,0.4155844155844156,0.41830065359477125,0.203125,0.04780876494023904,0.5,0.5217391304347826,1.0,0.24900398406374502,0.376,0.376,0.5957446808510638,0.4594594594594595,0.5882352941176471,0.1,0.05405405405405406,0.5,1.0,0.21621621621621623,0.375,0.6666666666666666,0.22404371584699453,0.5609756097560976,0.06557377049180328,0.5,0.273224043715847,0.42,0.5557768924302788,0.3821138211382114,0.4755364729458918,0.4784425925925926,0.45940361111111094,0.11090909090909092,0.1475,0.013333333333333334,0.06307692307692307,0.3984615384615385,9.888385269121814,26.21073825503355,0.3575335653903531,,,,,,,True,,,,
200767,1610612751,Josh Boone,Josh Boone,200767,NJN,36954.0,616,46,1106,1091,281.0,328,148,2197,59,96,25.0,41,15.0,23.0,3.0,17.0,3.0,12,,,,,,,,,,,,,65,125,,,16,146,1159,25.0,43,,,4.0,54.0,16.0,29.0,,,4.0,36.0,84,46.0,,,40.0,,,,12.0,,13.0,8.0,21.0,7.0,1.0,8.0,,5.0,50.0,12.0,55,1.0,21.0,52,18.0,91,68,159,5.0,13.0,10.0,3.0,13.0,3.0,7.0,11.0,3.0,6.0,,24.0,4.0,3.0,43.0,65.0,6.0,2.0,47,9.0,3.0,50,7.0,,,24,,5.0,31.0,25.0,,6.0,31.0,19.0,,36.0,281.0,8.0,4.0,0.6461538461538462,0.9333333333333333,,,,,,0.52,0.5813953488372093,0.5517241379310345,0.52,0.5813953488372093,0.5517241379310345,0.4965986394557823,0.5510204081632653,0.5294117647058824,,,0.096,0.09375,0.17647058823529413,,,13.322884012539186,0.5416666666666666,0.3050847457627119,0.02857142857142857,0.13402061855670103,0.15151515151515152,0.14383561643835616,0.07547169811320754,0.13670411985018727,0.12835249042145594,0.24812030075187969,0.1323529411764706,0.08024691358024691,0.07142857142857142,0.0851063829787234,0.08130081300813008,0.125,0.18012422360248448,0.11607142857142858,0.23529411764705882,0.10638297872340426,0.6129032258064516,0.768,0.6145833333333334,0.6781609195402298,0.6101694915254238,0.136,0.17647058823529413,0.21428571428571427,1.0,0.096,0.25,0.25,1.0,,,,,,,,,0.9534883720930233,0.6097560975609756,0.12,,,,,,,0.7931034482758621,0.6521739130434783,,,,,0.768,,0.5234280000000001,0.5593225000000001,0.5306862068965517,0.16901408450704225,0.16901408450704225,,0.3698630136986301,0.2465753424657534,2.9992,,0.25406871609403253,2.0,1.0,1.0,,,,True,,,,
201146,1610612751,Yi Jianlian,Yi Jianlian,201146,NJN,20141.0,336,4,629,628,198.0,234,70,1257,13,32,2.0,8,3.0,7.0,6.0,17.0,14.0,35,2.0,5.0,,,1.0,1.0,10.0,27.0,,1.0,3.0,11.0,33,84,12.0,32.0,32,134,660,2.0,10,,1.0,8.0,12.0,4.0,15.0,4.0,12.0,14.0,34.0,56,10.0,36.0,,4.0,,27.0,10.0,7.0,,7.0,7.0,14.0,4.0,3.0,4.0,,3.0,35.0,1.0,18,2.0,12.0,42,6.0,60,21,81,5.0,7.0,6.0,1.0,8.0,,2.0,8.0,,6.0,5.0,16.0,4.0,7.0,21.0,42.0,2.0,2.0,25,3.0,,40,,,,12,,8.0,15.0,12.0,,3.0,15.0,10.0,,34.0,198.0,10.0,7.0,0.8484848484848485,0.9032258064516129,1.0,0.375,,0.3333333333333333,0.375,0.39285714285714285,0.2,0.26666666666666666,0.4396551724137931,0.18181818181818182,0.37037037037037035,0.49264705882352944,0.375,0.4594594594594595,0.27586206896551724,,0.08333333333333333,0.1875,0.058823529411764705,,,21.468926553672315,0.5,0.2222222222222222,0.09523809523809523,0.19534883720930232,0.08571428571428572,0.14814814814814814,0.012658227848101266,0.18243243243243243,0.0657439446366782,0.11428571428571428,0.1111111111111111,0.046511627906976744,,0.047619047619047616,0.15942028985507245,0.24074074074074073,0.1956521739130435,0.15873015873015872,0.1111111111111111,0.07936507936507936,0.6666666666666666,0.27586206896551724,0.40625,0.5,0.7692307692307693,0.14655172413793102,0.35294117647058826,0.375,0.6666666666666666,0.3017241379310345,0.4,0.4,1.0,0.04310344827586207,0.4,0.4,1.0,0.23275862068965517,0.37037037037037035,0.37037037037037035,1.0,0.7272727272727273,0.25,,,,,0.09090909090909091,,,0.25925925925925924,0.42857142857142855,0.037037037037037035,1.0,0.4074074074074074,0.2727272727272727,0.5517241379310345,0.37037037037037035,0.48514568965517246,0.5130772727272728,0.5012925925925925,0.09375,0.125,,0.08955223880597014,0.2537313432835821,9.597619047619046,24.828124999999996,0.314785373608903,,,2.0,,,,True,,,,
201604,1610612751,Chris Douglas-Roberts,Chris Douglas-Roberts,201604,NJN,19741.0,329,24,593,589,165.0,193,62,1182,34,59,7.0,11,7.0,13.0,5.0,19.0,6.0,19,1.0,4.0,,,1.0,3.0,,2.0,,,,,45,97,1.0,6.0,31,124,610,7.0,11,,,,14.0,9.0,24.0,1.0,3.0,11.0,32.0,54,36.0,3.0,,10.0,,2.0,,11.0,,16.0,9.0,25.0,5.0,4.0,9.0,1.0,6.0,59.0,,9,1.0,5.0,16,1.0,22,10,32,2.0,6.0,2.0,4.0,10.0,1.0,6.0,5.0,1.0,4.0,2.0,15.0,,4.0,10.0,16.0,,,25,1.0,1.0,35,3.0,,,16,,3.0,1.0,1.0,,,1.0,,,32.0,165.0,,2.0,0.6,0.675,1.0,0.16666666666666666,,0.3333333333333333,0.16666666666666666,0.4639175257731959,0.6363636363636364,0.375,0.45145631067961167,0.6363636363636364,0.3888888888888889,0.5210084033613446,0.6363636363636364,0.47058823529411764,0.05825242718446602,,0.1134020618556701,0.15254237288135594,0.10526315789473684,,,19.791666666666668,0.6666666666666666,0.037037037037037035,0.0625,0.07960199004975124,0.04205607476635514,0.060240963855421686,,0.07394366197183098,0.03225806451612903,0.05714285714285714,0.02040816326530612,0.042105263157894736,,,0.06944444444444445,0.08888888888888889,0.08333333333333333,0.034482758620689655,0.12,0.043478260869565216,,0.5728155339805825,0.576271186440678,0.68,0.6176470588235294,0.18446601941747573,0.2631578947368421,0.29411764705882354,0.6,0.18446601941747573,0.3157894736842105,0.3157894736842105,0.5,0.038834951456310676,0.25,0.25,1.0,0.019417475728155338,,,,1.0,0.6363636363636364,,,,,,,,0.48148148148148145,0.5384615384615384,0.1111111111111111,0.3333333333333333,,,0.6310679611650486,,0.5148999999999999,0.5581900000000001,0.4959962962962963,0.13793103448275862,0.14545454545454545,,0.11290322580645161,0.25806451612903225,5.576288659793814,23.650000000000002,0.2782462057335582,,,,,,,True,,,,
2553,1610612751,Jarvis Hayes,Jarvis Hayes,2553,NJN,109901.0,1832,1,3414,3418,1058.0,1263,408,6832,63,98,6.0,12,12.0,24.0,24.0,58.0,76.0,177,56.0,132.0,7.0,11.0,13.0,37.0,38.0,112.0,9.0,18.0,8.0,31.0,163,333,94.0,244.0,36,644,3671,15.0,38,16.0,29.0,2.0,80.0,38.0,84.0,21.0,68.0,15.0,154.0,236,90.0,264.0,18.0,8.0,1.0,111.0,38.0,14.0,,38.0,16.0,54.0,7.0,9.0,19.0,8.0,11.0,124.0,7.0,18,2.0,67.0,133,40.0,240,27,267,8.0,52.0,30.0,22.0,25.0,6.0,14.0,24.0,3.0,11.0,5.0,49.0,2.0,12.0,85.0,162.0,6.0,7.0,57,5.0,11.0,52,4.0,1.0,2.0,18,2.0,7.0,7.0,6.0,,1.0,7.0,5.0,,154.0,1058.0,26.0,8.0,0.7239263803680982,0.7421383647798742,0.9361702127659575,0.38524590163934425,0.5517241379310345,0.3088235294117647,0.3868312757201646,0.4894894894894895,0.39473684210526316,0.4523809523809524,0.5268630849220104,0.582089552238806,0.45723684210526316,0.5358931552587646,0.5882352941176471,0.47530864197530864,0.42287694974003465,,0.042042042042042045,0.09183673469387756,0.06896551724137931,0.005649717514124294,,16.713954088212535,0.5102040816326531,0.24242424242424243,0.020833333333333332,0.11832740213523131,0.01634877384196185,0.15227272727272728,0.013861386138613862,0.1278772378516624,0.015566625155666251,0.023622047244094488,0.015873015873015872,0.010683760683760684,0.008620689655172414,0.025477707006369428,0.08505154639175258,0.10256410256410256,0.15550755939524838,0.16158536585365854,0.125,0.02631578947368421,0.7142857142857143,0.16984402079722705,0.6428571428571429,0.7078651685393258,0.8095238095238095,0.10051993067590988,0.41379310344827586,0.4444444444444444,0.4583333333333333,0.30675909878682844,0.4293785310734463,0.4318181818181818,0.7368421052631579,0.22876949740034663,0.42424242424242425,0.42424242424242425,0.9821428571428571,0.19410745233968804,0.3392857142857143,0.3392857142857143,0.868421052631579,0.1791044776119403,0.5,0.3333333333333333,0.16417910447761194,0.6363636363636364,1.0,0.26865671641791045,0.5,0.8888888888888888,0.15789473684210525,0.5,0.24342105263157895,0.35135135135135137,0.20394736842105263,0.25806451612903225,0.5927209705372617,0.34234234234234234,0.49627092013888885,0.4862479591836736,0.4842466887417218,0.033783783783783786,0.05187319884726225,0.00816326530612245,0.12422360248447205,0.2391304347826087,11.531831831831832,24.380327868852465,0.309900410076157,2.0,,1.0,1.0,,,True,,,,
2039,1610612751,Keyon Dooling,Keyon Dooling,2039,NJN,69563.0,1159,-100,2150,2162,610.0,765,252,4312,47,83,2.0,4,16.0,21.0,21.0,49.0,25.0,91,19.0,37.0,1.0,2.0,4.0,7.0,39.0,91.0,3.0,9.0,10.0,25.0,93,223,58.0,128.0,68,428,2392,9.0,18,4.0,11.0,3.0,33.0,27.0,56.0,14.0,32.0,26.0,122.0,42,144.0,129.0,45.0,,1.0,90.0,39.0,14.0,,98.0,70.0,168.0,37.0,33.0,51.0,10.0,37.0,406.0,6.0,6,,22.0,43,5.0,70,12,82,,39.0,24.0,15.0,41.0,10.0,27.0,20.0,2.0,14.0,1.0,61.0,4.0,17.0,15.0,83.0,,6.0,87,3.0,6.0,86,4.0,,6.0,30,,12.0,3.0,1.0,2.0,,3.0,1.0,,122.0,610.0,20.0,10.0,0.22580645161290322,0.22580645161290322,0.7413793103448276,0.453125,0.36363636363636365,0.4375,0.4566929133858268,0.4170403587443946,0.5,0.48214285714285715,0.5128205128205128,0.5172413793103449,0.5454545454545454,0.5462724935732648,0.55,0.5922330097087378,0.3646723646723647,,0.06278026905829596,0.08433734939759036,0.061224489795918366,0.04395604395604396,,18.469765528589058,0.6721311475409836,0.050505050505050504,,0.06332842415316642,0.008862629246676515,0.08239700374531835,0.018867924528301886,0.06871035940803383,0.012060301507537688,0.017241379310344827,,0.007042253521126761,0.02643171806167401,,0.059322033898305086,0.047058823529411764,0.07692307692307693,0.0707070707070707,0.11594202898550725,,0.3333333333333333,0.23646723646723647,0.5662650602409639,0.618421052631579,0.3829787234042553,0.1396011396011396,0.42857142857142855,0.45652173913043476,,0.25925925925925924,0.27472527472527475,0.28735632183908044,0.12,0.10541310541310542,0.5135135135135135,0.5135135135135135,1.0,0.25925925925925924,0.42857142857142855,0.42857142857142855,0.6153846153846154,0.13793103448275862,0.5,0.5,0.06896551724137931,0.5,1.0,0.3103448275862069,0.3333333333333333,0.3333333333333333,0.23863636363636365,0.7619047619047619,0.07954545454545454,0.5714285714285714,0.2840909090909091,0.4,0.6011396011396012,0.43333333333333335,0.48584571428571427,0.4610526315789474,0.46442528735632177,0.07957559681697612,0.12048192771084337,,0.07710280373831775,0.2850467289719626,10.204484304932736,24.846093750000005,0.2837209302325581,,,,,,,True,,,,
2250,1610612751,Bobby Simmons,Bobby Simmons,2250,NJN,36535.0,609,61,1150,1150,363.0,436,139,2300,11,16,3.0,5,2.0,3.0,3.0,9.0,7.0,21,26.0,55.0,1.0,1.0,6.0,16.0,18.0,46.0,,1.0,2.0,10.0,21,46,44.0,101.0,18,192,1197,4.0,7,1.0,2.0,5.0,16.0,5.0,12.0,8.0,26.0,10.0,44.0,22,20.0,123.0,9.0,2.0,,46.0,18.0,2.0,,27.0,11.0,38.0,7.0,4.0,18.0,3.0,6.0,87.0,5.0,10,1.0,18.0,48,14.0,80,16,96,2.0,18.0,10.0,8.0,8.0,3.0,6.0,13.0,1.0,2.0,1.0,21.0,1.0,7.0,42.0,81.0,5.0,3.0,26,3.0,3.0,22,2.0,,1.0,8,1.0,2.0,6.0,5.0,1.0,,6.0,3.0,,44.0,363.0,10.0,2.0,0.5238095238095238,0.55,0.9318181818181818,0.43564356435643564,0.5,0.3076923076923077,0.43564356435643564,0.45652173913043476,0.5714285714285714,0.4166666666666667,0.5918367346938775,0.6111111111111112,0.4473684210526316,0.6121794871794872,0.6666666666666666,0.5,0.6870748299319728,,0.043478260869565216,0.125,,,,13.44984802431611,0.38095238095238093,0.2641509433962264,0.03571428571428571,0.12972972972972974,0.02849002849002849,0.10526315789473684,0.026455026455026454,0.12199630314232902,0.027777777777777776,0.014492753623188406,0.014084507042253521,0.04929577464788732,0.02564102564102564,0.027777777777777776,0.12142857142857143,0.125,0.14084507042253522,0.10236220472440945,0.11363636363636363,0.025,0.5,0.10884353741496598,0.6875,0.7857142857142857,0.45454545454545453,0.061224489795918366,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3741496598639456,0.4727272727272727,0.4727272727272727,0.9230769230769231,0.3129251700680272,0.391304347826087,0.391304347826087,0.9444444444444444,0.5555555555555556,0.6,0.3333333333333333,0.1111111111111111,1.0,,0.1111111111111111,,,0.07894736842105263,0.6666666666666666,0.42105263157894735,0.375,0.2631578947368421,0.2,0.7959183673469388,0.391304347826087,0.5258006802721088,0.543075,0.5024513157894737,0.05844155844155844,0.15384615384615385,0.00980392156862745,0.08333333333333333,0.22916666666666666,9.921739130434784,24.271287128712867,0.31565217391304345,4.0,,,,,,True,,,,
2734,1610612751,Devin Harris,Devin Harris,2734,NJN,54796.0,913,7,1747,1750,539.0,654,200,3497,87,160,4.0,10,27.0,49.0,30.0,65.0,34.0,117,1.0,4.0,,,1.0,2.0,23.0,88.0,1.0,3.0,8.0,37.0,151,342,24.0,92.0,188,562,1898,8.0,23,1.0,3.0,10.0,29.0,50.0,102.0,9.0,39.0,85.0,212.0,50,252.0,33.0,39.0,,4.0,84.0,23.0,30.0,,123.0,65.0,188.0,36.0,29.0,77.0,13.0,33.0,441.0,4.0,11,1.0,22.0,55,1.0,78,16,94,4.0,45.0,20.0,25.0,55.0,10.0,27.0,33.0,9.0,28.0,4.0,88.0,3.0,23.0,21.0,63.0,,8.0,176,2.0,9.0,226,21.0,,8.0,94,1.0,24.0,2.0,,2.0,,3.0,2.0,,212.0,539.0,16.0,22.0,0.16556291390728478,0.16556291390728478,0.4583333333333333,0.2608695652173913,0.3333333333333333,0.23076923076923078,0.2727272727272727,0.4415204678362573,0.34782608695652173,0.49019607843137253,0.4308755760368664,0.36538461538461536,0.450354609929078,0.5206766917293233,0.453125,0.5502645502645502,0.2119815668202765,,0.08771929824561403,0.175,0.03076923076923077,,,31.46924250127097,0.625,0.011494252873563218,0.02,0.09700176366843033,0.019784172661870502,0.10377358490566038,0.015267175572519083,0.09884467265725289,0.018337408312958436,0.03902439024390244,0.00847457627118644,0.008583690987124463,0.017341040462427744,0.011235955056179775,0.07653061224489796,0.10218978102189781,0.1111111111111111,0.08917197452229299,0.14545454545454545,0.018518518518518517,0.6666666666666666,0.3686635944700461,0.54375,0.6590909090909091,0.2413793103448276,0.1497695852534562,0.46153846153846156,0.47619047619047616,,0.2695852534562212,0.2905982905982906,0.2905982905982906,0.11764705882352941,0.009216589861751152,0.25,0.25,1.0,0.20276497695852536,0.26136363636363635,0.26136363636363635,0.43478260869565216,0.38461538461538464,0.4,0.25,,,,0.11538461538461539,0.3333333333333333,1.0,0.3475177304964539,0.5510204081632653,0.014184397163120567,0.5,0.2624113475177305,0.21621621621621623,0.5806451612903226,0.27380952380952384,0.49553609813084143,0.46445000000000003,0.4837819852941176,0.18700787401574803,0.22650602409638554,0.010752688172043012,0.051601423487544484,0.37722419928825623,8.105263157894742,26.51304347826087,0.3085289066971952,1.0,,1.0,,1.0,1.0,True,,,,
201583,1610612751,Ryan Anderson,Ryan Anderson,201583,NJN,31885.0,531,-11,994,998,355.0,365,116,1992,25,53,9.0,20,10.0,24.0,5.0,12.0,4.0,13,7.0,15.0,,3.0,5.0,8.0,22.0,65.0,1.0,3.0,3.0,19.0,34,78,29.0,80.0,51,206,1070,10.0,22,1.0,6.0,14.0,37.0,13.0,31.0,8.0,27.0,22.0,72.0,42,26.0,84.0,3.0,16.0,,65.0,22.0,18.0,,17.0,6.0,23.0,3.0,3.0,15.0,1.0,1.0,52.0,9.0,22,1.0,11.0,58,18.0,87,32,119,1.0,18.0,14.0,4.0,17.0,,4.0,11.0,,13.0,5.0,28.0,3.0,8.0,41.0,68.0,5.0,4.0,42,4.0,5.0,60,4.0,,,27,,5.0,8.0,7.0,,1.0,8.0,8.0,,72.0,355.0,10.0,4.0,0.6176470588235294,0.8076923076923077,0.9655172413793104,0.3625,0.16666666666666666,0.2962962962962963,0.3625,0.4358974358974359,0.45454545454545453,0.41935483870967744,0.49050632911392406,0.4107142857142857,0.43103448275862066,0.553763440860215,0.5285714285714286,0.5070422535211268,0.5063291139240507,,0.23076923076923078,0.24528301886792453,0.4166666666666667,,,18.988464951197873,0.6071428571428571,0.36,0.04,0.18238993710691823,0.06984126984126984,0.09243697478991597,0.06164383561643835,0.15789473684210525,0.06724511930585683,0.05357142857142857,0.0945945945945946,0.06976744186046512,0.037383177570093455,0.1282051282051282,0.19658119658119658,0.14705882352941177,0.18796992481203006,0.07954545454545454,0.12903225806451613,0.013333333333333334,1.0,0.33544303797468356,0.4716981132075472,0.625,0.56,0.0759493670886076,0.4166666666666667,0.7142857142857143,0.6,0.08227848101265822,0.3076923076923077,0.3076923076923077,1.0,0.0949367088607595,0.4666666666666667,0.4666666666666667,1.0,0.41139240506329117,0.3384615384615385,0.3384615384615385,0.9545454545454546,0.7142857142857143,0.45,0.2222222222222222,0.10714285714285714,,,0.10714285714285714,0.3333333333333333,1.0,0.41379310344827586,0.4166666666666667,0.13793103448275862,0.625,0.3275862068965517,0.15789473684210525,0.8417721518987342,0.3384615384615385,0.535279746835443,0.5473761904761906,0.5417060344827587,0.14917127071823205,0.26732673267326734,,0.1796116504854369,0.34951456310679613,4.596153846153847,25.028749999999995,0.35714285714285715,2.0,,1.0,,,,True,,,,
2059,1610612751,Eduardo Najera,Eduardo Najera,2059,NJN,14401.0,240,-55,429,434,105.0,146,62,863,16,21,9.0,10,4.0,6.0,1.0,9.0,2.0,5,1.0,4.0,,,,1.0,3.0,15.0,,,,3.0,19,35,4.0,19.0,7,57,455,9.0,12,,,1.0,19.0,4.0,12.0,,4.0,2.0,10.0,22,16.0,12.0,,12.0,,15.0,3.0,3.0,,12.0,2.0,14.0,2.0,,7.0,1.0,4.0,30.0,6.0,9,,9.0,24,2.0,35,15,50,3.0,7.0,5.0,2.0,8.0,1.0,5.0,7.0,,3.0,,15.0,1.0,2.0,17.0,40.0,4.0,4.0,17,,5.0,19,1.0,,,8,,2.0,4.0,4.0,,,4.0,2.0,,10.0,105.0,4.0,2.0,0.5789473684210527,0.8461538461538461,1.0,0.21052631578947367,,,0.21052631578947367,0.5428571428571428,0.75,0.3333333333333333,0.46296296296296297,0.75,0.25,0.4523809523809524,0.6785714285714286,0.2631578947368421,0.35185185185185186,,0.08571428571428572,0.047619047619047616,0.2222222222222222,,,15.537848605577691,0.5333333333333333,0.07692307692307693,,0.1610738255033557,0.06040268456375839,0.17647058823529413,0.08333333333333333,0.165,0.06787330316742081,0.07317073170731707,0.13513513513513514,0.014084507042253521,0.05555555555555555,0.16666666666666666,0.11428571428571428,0.3,0.10810810810810811,0.17073170731707318,0.2,0.10714285714285714,0.5,0.3888888888888889,0.7619047619047619,0.8,0.5625,0.16666666666666666,0.1111111111111111,0.14285714285714285,,0.09259259259259259,0.4,0.4,1.0,0.07407407407407407,0.25,0.25,1.0,0.2777777777777778,0.2,0.2,1.0,0.8333333333333334,0.9,0.2222222222222222,,,,,,,0.375,0.6666666666666666,0.0625,,0.1875,,0.7407407407407407,0.2,0.533087962962963,0.55105,0.509390625,0.13114754098360656,0.19047619047619047,,0.3333333333333333,0.17543859649122806,4.791428571428571,24.763157894736842,0.24475524475524477,2.0,,1.0,,,,True,,,,
