EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,FTOffRebounds,Travels,SecondChanceTurnovers,Loose Ball Fouls,3SecondViolations,OffFTReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceFtPoints,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGA,Loose Ball Fouls Drawn,SecondChanceArc3Frequency,BlockedLongMidRange,PtsUnassisted3s,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,DefensiveGoaltends,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,HeaveMakes,Fg3aBlocked,Clear Path Fouls,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,OffensiveGoaltends,Corner3PctBlocked
101109,1610612766,Raymond Felton,Raymond Felton,101109,CHA,7188.0,120,-10,218,224,64,97,30,442,14.0,20.0,5.0,5.0,1.0,3.0,2.0,8.0,3.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,19.0,41.0,1.0,11.0,6.0,47.0,239,5.0,6.0,1.0,1.0,13.0,1.0,7.0,1.0,6.0,4.0,9.0,4.0,34.0,3.0,2.0,2.0,8.0,4.0,11.0,11.0,22.0,7.0,4.0,2.0,3.0,6.0,55.0,4.0,3.0,12.0,1.0,16.0,4.0,20.0,1.0,5.0,3.0,2.0,7.0,5.0,3.0,2.0,2.0,10.0,4.0,3.0,6.0,1.0,11.0,2.0,8.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,64,1.0,2.0,0.10526315789473684,0.1111111111111111,1.0,0.09090909090909091,1.0,0.16666666666666666,0.1111111111111111,0.4634146341463415,0.8333333333333334,0.14285714285714285,0.3942307692307692,0.9285714285714286,0.19230769230769232,0.42727272727272725,0.9285714285714286,0.3,0.21153846153846154,0.0975609756097561,0.15,0.125,25.896414342629484,0.7,0.16666666666666666,0.1518987341772152,0.05970149253731343,0.12,0.14423076923076922,0.0425531914893617,0.034482758620689655,0.125,0.045454545454545456,0.08823529411764706,0.25,0.18181818181818182,0.09090909090909091,0.14285714285714285,0.038461538461538464,0.3333333333333333,0.38461538461538464,0.7,0.8235294117647058,0.14285714285714285,0.15384615384615385,0.25,0.2857142857142857,0.25,0.23076923076923078,0.23076923076923078,0.019230769230769232,1.0,1.0,1.0,0.19230769230769232,0.7142857142857143,1.0,0.14285714285714285,1.0,1.0,0.23076923076923078,0.3333333333333333,0.07692307692307693,1.0,0.38461538461538464,0.5961538461538461,0.498788,0.5323666666666667,0.47770454545454544,0.05660377358490566,0.07142857142857142,0.2765957446808511,0.19148936170212766,7.973170731707317,30.2,0.29357798165137616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
101118,1610612766,Sean May,Sean May,101118,CHA,1984.0,33,-7,61,66,19,29,9,127,,1.0,,,,1.0,3.0,6.0,3.0,7.0,,,,,,,1.0,1.0,6.0,14.0,1.0,1.0,1.0,16.0,66,3.0,3.0,,,6.0,3.0,5.0,1.0,1.0,,9.0,10.0,2.0,3.0,,,1.0,,,,,,,,,,,1.0,3.0,5.0,,8.0,2.0,10.0,1.0,,,,4.0,2.0,3.0,1.0,2.0,7.0,3.0,2.0,5.0,,1.0,,2.0,,1.0,,1.0,,,1.0,,1.0,,9.0,19,,,0.8333333333333334,0.8333333333333334,1.0,1.0,,1.0,1.0,0.42857142857142855,1.0,0.6,0.5,1.0,0.75,0.5,1.0,0.75,0.06666666666666667,,,,32.3943661971831,0.5714285714285714,,0.2631578947368421,0.05263157894736842,0.1875,0.22857142857142856,0.041666666666666664,0.3333333333333333,,,0.14285714285714285,1.0,0.2,0.16666666666666666,0.25,0.125,,0.06666666666666667,,,,0.4,0.5,0.5,0.4666666666666667,0.42857142857142855,0.42857142857142855,,,,,0.06666666666666667,,,,,,0.16666666666666666,,,,0.16666666666666666,0.13333333333333333,0.3935733333333334,0.3549,0.4108833333333333,0.0625,0.06666666666666667,0.375,0.5625,13.792857142857143,25.2,0.3114754098360656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1737,1610612766,Nazr Mohammed,Nazr Mohammed,1737,CHA,1136.0,19,10,34,35,13,24,6,69,1.0,5.0,1.0,4.0,,,1.0,2.0,1.0,1.0,,,,,,,,,3.0,8.0,,,5.0,11.0,32,1.0,4.0,,,3.0,1.0,1.0,,,3.0,5.0,4.0,2.0,,2.0,,,1.0,1.0,,1.0,,,1.0,,,2.0,3.0,,3.0,,3.0,5.0,8.0,2.0,,,,1.0,,4.0,,1.0,5.0,3.0,3.0,3.0,,5.0,,10.0,,3.0,2.0,1.0,,,1.0,,1.0,1.0,5.0,13,,2.0,0.6666666666666666,1.0,,,,,,0.375,0.25,1.0,0.375,0.25,1.0,0.4230769230769231,0.3,0.8333333333333334,,0.125,0.2,,40.90909090909091,0.2,,0.3,0.3,,0.21428571428571427,0.38461538461538464,0.6,,,0.5,,0.4,,,0.5,1.0,0.625,0.2,0.25,,0.25,0.5,0.5,0.125,1.0,1.0,,,,,,1.0,0.25,,,,,,,,,0.625,0.518625,0.5876333333333333,0.3934,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.45454545454545453,4.875,,0.38235294117647056,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,2.0,2.0,1.0,0.6666666666666666,0.5,1.0,,,,,,,,,,,,,,True,,,,,,,,,
201858,1610612766,Cartier Martin,Cartier Martin,201858,CHA,15936.0,266,22,483,496,141,189,66,979,12.0,22.0,2.0,5.0,4.0,7.0,1.0,6.0,5.0,16.0,7.0,18.0,,1.0,2.0,7.0,15.0,5.0,18.0,44.0,10.0,33.0,20.0,86.0,520,3.0,7.0,,2.0,10.0,5.0,12.0,3.0,12.0,10.0,29.0,20.0,16.0,30.0,4.0,,15.0,5.0,13.0,,13.0,,,7.0,5.0,1.0,26.0,3.0,6.0,19.0,1.0,26.0,7.0,33.0,,8.0,6.0,2.0,3.0,1.0,6.0,1.0,2.0,9.0,1.0,13.0,33.0,3.0,23.0,8.0,25.0,1.0,9.0,4.0,4.0,,,4.0,,4.0,3.0,29.0,141,6.0,2.0,0.5555555555555556,0.625,1.0,0.30303030303030304,,0.25,0.30303030303030304,0.4090909090909091,0.42857142857142855,0.4166666666666667,0.42857142857142855,0.3333333333333333,0.3958333333333333,0.48314606741573035,0.4166666666666667,0.5,0.42857142857142855,0.11363636363636363,0.18181818181818182,0.16666666666666666,17.406749555950267,0.3333333333333333,0.0625,0.1130952380952381,0.0189873417721519,0.08571428571428572,0.10504201680672269,0.019138755980861243,0.03333333333333333,0.022222222222222223,,0.046153846153846156,0.1,0.1780821917808219,0.1,0.06666666666666667,,0.75,0.2857142857142857,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.07792207792207792,0.16666666666666666,0.2,0.2077922077922078,0.3125,0.3125,0.23376623376623376,0.3888888888888889,0.3888888888888889,1.0,0.19480519480519481,0.5555555555555556,0.4,0.1111111111111111,,,0.2916666666666667,0.5714285714285714,0.2916666666666667,0.2857142857142857,0.20833333333333334,0.7142857142857143,0.5152746753246752,0.4872428571428572,0.4985375,0.10588235294117647,0.17307692307692307,0.11627906976744186,0.3372093023255814,7.620454545454544,24.52424242424242,0.2919254658385093,3.0,1.0,3.0,3.0,1.0,,2.0,,0.13043478260869565,1.0,0.2,0.2,0.2,1.0,0.2,0.2,4.0,1.0,,1.0,0.0196078431372549,0.02857142857142857,,1.0,2.0,0.1111111111111111,,,,,,,,,,,True,,,,,,,,,
2209,1610612766,Vladimir Radmanovic,Vladimir Radmanovic,2209,CHA,8329.0,139,14,255,263,75,98,37,518,11.0,13.0,2.0,2.0,2.0,2.0,2.0,9.0,1.0,5.0,3.0,5.0,1.0,2.0,,1.0,18.0,4.0,14.0,27.0,8.0,23.0,4.0,56.0,274,2.0,3.0,1.0,3.0,9.0,3.0,6.0,1.0,5.0,2.0,11.0,14.0,14.0,24.0,4.0,1.0,17.0,3.0,4.0,7.0,11.0,4.0,3.0,,2.0,2.0,29.0,4.0,5.0,7.0,3.0,15.0,4.0,19.0,,1.0,1.0,,9.0,5.0,2.0,1.0,4.0,11.0,3.0,5.0,10.0,,6.0,1.0,6.0,,2.0,1.0,1.0,1.0,1.0,,,2.0,2.0,11.0,75,2.0,1.0,0.5,0.5833333333333334,1.0,0.34782608695652173,0.3333333333333333,0.2,0.36363636363636365,0.5185185185185185,0.6666666666666666,0.5,0.52,0.5833333333333334,0.4090909090909091,0.5283018867924528,0.5625,0.4230769230769231,0.46,0.1111111111111111,0.15384615384615385,0.1111111111111111,21.476510067114095,0.8181818181818182,0.6,0.07608695652173914,0.05263157894736842,0.11363636363636363,0.08823529411764706,0.038461538461538464,0.047619047619047616,,0.0967741935483871,0.075,,0.10526315789473684,0.1111111111111111,0.11764705882352941,,1.0,0.26,0.8461538461538461,1.0,0.45454545454545453,0.18,0.2222222222222222,0.25,0.1,0.2,0.2,0.1,0.6,0.6,1.0,0.36,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.18181818181818182,1.0,0.09090909090909091,,0.36363636363636365,0.72,0.5161785714285715,0.49314,0.503525,0.038461538461538464,0.06896551724137931,0.16071428571428573,0.19642857142857142,6.855555555555555,26.73478260869565,0.29411764705882354,5.0,1.0,5.0,,,2.0,,,,0.5,1.0,0.2777777777777778,0.2777777777777778,1.0,0.25,0.29411764705882354,2.0,,1.0,,,,,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,True,,,,,,,,,
201571,1610612766,D.J. Augustin,D.J. Augustin,201571,CHA,10328.0,172,15,313,322,100,107,43,635,4.0,15.0,1.0,1.0,2.0,5.0,2.0,6.0,8.0,10.0,4.0,5.0,,,1.0,2.0,14.0,1.0,14.0,31.0,15.0,19.0,16.0,89.0,345,1.0,3.0,,,2.0,3.0,8.0,2.0,3.0,9.0,21.0,8.0,20.0,39.0,,,14.0,5.0,12.0,7.0,19.0,4.0,3.0,7.0,1.0,4.0,45.0,2.0,4.0,13.0,1.0,18.0,2.0,20.0,1.0,3.0,2.0,1.0,7.0,7.0,1.0,1.0,,8.0,2.0,11.0,18.0,,19.0,3.0,20.0,1.0,5.0,4.0,,,,,,,,21.0,100,2.0,4.0,0.2857142857142857,0.2857142857142857,0.8666666666666667,0.7894736842105263,,0.6666666666666666,0.7894736842105263,0.45161290322580644,0.3333333333333333,0.375,0.73,0.3333333333333333,0.5454545454545454,0.7542372881355932,0.3333333333333333,0.65625,0.38,0.16129032258064516,0.26666666666666666,0.16666666666666666,18.206521739130434,0.875,0.09090909090909091,0.12149532710280374,0.01904761904761905,0.0784313725490196,0.10759493670886076,0.014814814814814815,0.02702702702702703,0.03125,,0.047619047619047616,0.13636363636363635,0.18604651162790697,0.125,,0.07142857142857142,,0.3,0.26666666666666666,0.36363636363636365,0.5,0.12,0.3333333333333333,0.4,0.2,0.8,0.8,0.1,0.8,0.8,1.0,0.28,0.3333333333333333,1.0,,,,0.45454545454545453,0.4,0.18181818181818182,0.5,0.09090909090909091,0.68,0.5141110000000001,0.4473,0.5377181818181818,0.10909090909090909,0.14285714285714285,0.02247191011235955,0.23595505617977527,8.177419354838708,24.857894736842105,0.3194888178913738,11.0,1.0,11.0,,,2.0,,,,,0.25,0.7857142857142857,0.7857142857142857,0.8181818181818182,1.0,0.7857142857142857,,,,,,,,,,,,6.0,1.0,0.05,,,,,,,True,,,,,,,,,
2205,1610612766,DeSagana Diop,DeSagana Diop,2205,CHA,8705.0,145,21,258,266,76,89,39,524,9.0,14.0,7.0,9.0,4.0,5.0,1.0,9.0,,1.0,,,,,,,,,10.0,24.0,,,1.0,21.0,285,8.0,10.0,,,16.0,5.0,8.0,,,,10.0,4.0,16.0,,12.0,,,3.0,5.0,1.0,6.0,1.0,,5.0,,,13.0,13.0,3.0,9.0,1.0,13.0,17.0,30.0,,7.0,4.0,3.0,1.0,1.0,3.0,,,4.0,2.0,11.0,15.0,1.0,7.0,1.0,7.0,,2.0,1.0,8.0,,,7.0,1.0,8.0,5.0,10.0,76,1.0,,0.2,0.5,,,,,,0.4166666666666667,0.8,0.625,0.4166666666666667,0.8,0.625,0.3888888888888889,0.8,0.5,,0.125,0.14285714285714285,0.1111111111111111,10.130718954248366,0.25,0.125,0.10112359550561797,0.14130434782608695,0.08333333333333333,0.096,0.1391304347826087,0.09375,0.13333333333333333,0.2,0.15625,0.13333333333333333,0.047619047619047616,0.1,0.0625,,0.625,0.5833333333333334,0.6428571428571429,0.75,0.1111111111111111,0.375,0.1111111111111111,0.125,0.041666666666666664,,,,,,,,0.9,0.7777777777777778,,,,0.625,0.8,,,,0.5833333333333334,0.48961666666666664,0.5666888888888889,0.5035375,0.07692307692307693,0.07692307692307693,0.7619047619047619,0.47619047619047616,4.2375,,0.29457364341085274,,,,1.0,,,1.0,1.0,0.07692307692307693,1.0,,,,,,,,3.0,1.0,,0.13043478260869565,0.10526315789473684,0.25,,1.0,,,,,,1.0,1.0,,,,,True,,,,,,,,,
201606,1610612766,Sean Singletary,Sean Singletary,201606,CHA,1161.0,19,11,36,36,10,16,6,72,,1.0,,,,,,,2.0,2.0,,,,,,,2.0,,2.0,3.0,2.0,2.0,2.0,12.0,32,,,,,,,,,,2.0,2.0,2.0,2.0,6.0,,,2.0,,1.0,,1.0,,,1.0,,,2.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,2.0,6.0,,1.0,,2.0,,1.0,,,,,,,,,2.0,10,,,0.5,0.5,1.0,1.0,,,1.0,0.6666666666666666,,,1.0,,,1.0,,1.0,0.4,,,,15.909090909090908,,,0.07142857142857142,,,0.07142857142857142,,,,,,,0.09090909090909091,,,,,0.2,,,,,,,0.4,1.0,1.0,,,,,0.4,,,,,,,,,,,0.6,0.51386,,,0.16666666666666666,0.25,,0.16666666666666666,11.1,24.3,0.2777777777777778,2.0,,2.0,,,,,,,,0.5,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2731,1610612766,Emeka Okafor,Emeka Okafor,2731,CHA,5919.0,99,20,182,184,36,58,22,366,13.0,16.0,5.0,5.0,1.0,2.0,6.0,11.0,1.0,5.0,,,,,,,,,20.0,32.0,,,10.0,50.0,179,5.0,6.0,,,10.0,2.0,4.0,,,2.0,6.0,26.0,14.0,,10.0,,,1.0,,2.0,2.0,2.0,,,,,6.0,7.0,7.0,19.0,4.0,30.0,7.0,37.0,2.0,3.0,1.0,2.0,1.0,,2.0,,1.0,3.0,,2.0,8.0,1.0,13.0,1.0,15.0,3.0,8.0,1.0,5.0,,,4.0,1.0,5.0,2.0,6.0,36,,1.0,0.65,0.8666666666666667,,,,,,0.625,0.8333333333333334,0.5,0.625,0.8333333333333334,0.5,0.6578947368421053,0.8333333333333334,0.5,,0.03125,,,19.71153846153846,0.3333333333333333,0.6666666666666666,0.2602739726027397,0.12280701754385964,0.28,0.2653061224489796,0.0875,0.19230769230769232,0.08333333333333333,0.05263157894736842,0.375,0.23076923076923078,0.14285714285714285,0.3333333333333333,0.2,0.18181818181818182,0.4,0.5,0.8125,0.8125,0.6153846153846154,0.34375,0.5454545454545454,0.5454545454545454,0.15625,0.2,0.25,,,,,,0.8333333333333334,1.0,,,,0.5,0.5,,,,0.5,0.48075937499999993,0.5569666666666667,0.503475,0.21621621621621623,0.21621621621621623,0.2,0.12,5.421875,,0.1978021978021978,,,,,,1.0,2.0,1.0,,0.8333333333333334,,,,,,,,,,,,,,,2.0,,,,,,,,0.2,,,,True,,,,,,,,,
1952,1610612766,Raja Bell,Raja Bell,1952,CHA,2713.0,45,14,82,85,43,53,12,167,1.0,1.0,,,,,1.0,2.0,3.0,9.0,,2.0,,,,1.0,2.0,,5.0,12.0,2.0,4.0,5.0,21.0,77,,1.0,1.0,1.0,3.0,3.0,7.0,,1.0,3.0,9.0,4.0,6.0,6.0,,,2.0,,4.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,14.0,1.0,2.0,5.0,1.0,8.0,2.0,10.0,1.0,1.0,,1.0,,,,,,,,,1.0,,4.0,,5.0,,1.0,1.0,,,,,,,,9.0,43,,1.0,0.4,0.4,1.0,0.5,1.0,,0.5,0.4166666666666667,,0.42857142857142855,0.5,0.75,0.375,0.5555555555555556,0.75,0.4444444444444444,0.25,,,,18.367346938775512,,0.125,0.1724137931034483,0.03125,0.15384615384615385,0.16666666666666666,0.047619047619047616,,,0.07692307692307693,,0.2,0.26666666666666666,0.25,,0.1111111111111111,,0.0625,1.0,1.0,,0.125,0.5,0.5,0.5625,0.3333333333333333,0.3333333333333333,0.125,,,,0.125,,,,,,,,0.125,,,0.3125,0.45220625000000003,0.46914999999999996,0.42601875,0.058823529411764705,0.07692307692307693,0.14285714285714285,0.42857142857142855,16.141666666666666,24.8,0.524390243902439,2.0,,2.0,,,,,,,,0.6666666666666666,1.0,1.0,1.0,,1.0,,1.0,,,0.1,0.25,,1.0,,0.5,,,,,1.0,,,1.0,1.0,1.0,True,,,,,,,,,
