EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveMakes,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,OffFTReboundPct,3pt And 1 Free Throw Trips,Clear Path Fouls,Arc3PctBlocked,on
1713,1610612751,Vince Carter,Vince Carter,1713,NJN,123863.0,2064,-53.0,3911,3898,940.0,932.0,420.0,7809,113.0,225.0,14.0,30.0,37.0,68.0,47.0,111.0,117.0,314.0,24.0,54.0,1.0,3.0,7.0,13.0,85.0,218.0,5.0,12.0,22.0,53.0,277.0,650.0,109.0,272.0,220.0,1101,4367.0,24.0,51.0,6.0,15.0,17.0,83.0,68.0,162.0,29.0,66.0,96.0,319.0,164.0,390.0,267.0,60.0,18.0,1.0,2.0,215.0,84.0,36.0,1.0,171.0,91.0,262.0,52.0,39.0,102.0,20.0,49.0,615.0,16.0,34.0,60.0,185.0,5.0,250.0,50.0,300.0,22.0,54.0,34.0,20.0,57.0,13.0,39.0,42.0,7.0,18.0,7.0,99.0,6.0,28.0,95.0,155.0,3.0,14.0,231.0,8.0,10.0,266.0,19.0,10.0,97.0,1.0,40.0,28.0,23.0,1.0,4.0,28.0,16.0,3.0,319.0,940.0,17.0,35.0,0.296028880866426,0.30597014925373134,0.8165137614678899,0.4007352941176471,0.4,0.4393939393939394,0.4,0.42615384615384616,0.47058823529411764,0.41975308641975306,0.477765726681128,0.5,0.48903508771929827,0.5244956772334294,0.54,0.5600706713780919,0.2950108459869848,0.003676470588235294,0.055384615384615386,0.12444444444444444,0.05405405405405406,0.006369426751592357,0.018518518518518517,25.788160580630528,0.5757575757575758,0.038461538461538464,0.13713862120088954,0.025816249050873197,0.13303769401330376,0.0300187617260788,0.1361111111111111,0.02702702702702703,0.033264033264033266,0.012779552715654952,0.02676864244741874,0.019444444444444445,0.05202312138728324,0.08879492600422834,0.14057507987220447,0.17584369449378331,0.12166172106824925,0.16666666666666666,0.044989775051124746,0.5714285714285714,0.2440347071583514,0.5022222222222222,0.5736040609137056,0.23008849557522124,0.12039045553145336,0.42342342342342343,0.44761904761904764,0.2127659574468085,0.3405639913232104,0.37261146496815284,0.375,0.39316239316239315,0.05856832971800434,0.4444444444444444,0.4528301886792453,1.0,0.23644251626898047,0.38990825688073394,0.38990825688073394,0.7647058823529411,0.45454545454545453,0.4666666666666667,0.14285714285714285,0.045454545454545456,0.3333333333333333,1.0,0.18181818181818182,0.4166666666666667,0.6,0.2982456140350877,0.5441176470588235,0.05701754385964912,0.5384615384615384,0.2324561403508772,0.41509433962264153,0.5390455531453362,0.39069767441860465,0.48808531011969514,0.5054969387755103,0.481762168141593,0.0979020979020979,0.13324175824175824,0.003663003663003663,0.07538601271571299,0.28973660308810173,10.626,25.57205882352941,0.24034773715162364,,,,,,,,,,,,,True
200767,1610612751,Josh Boone,Josh Boone,200767,NJN,33.0,1,,1,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,True
201572,1610612751,Brook Lopez,Brook Lopez,201572,NJN,150112.0,2502,-103.0,4739,4718,1173.0,1213.0,539.0,9457,293.0,444.0,91.0,168.0,62.0,100.0,103.0,268.0,52.0,130.0,,,,,,,,2.0,,,,2.0,448.0,842.0,,2.0,172.0,1068,5241.0,104.0,202.0,,,25.0,233.0,86.0,166.0,,2.0,52.0,224.0,578.0,318.0,,,148.0,,,2.0,,74.0,,64.0,22.0,86.0,15.0,7.0,38.0,9.0,17.0,194.0,58.0,164.0,106.0,281.0,53.0,440.0,225.0,665.0,25.0,44.0,25.0,19.0,78.0,5.0,35.0,69.0,6.0,43.0,20.0,147.0,17.0,28.0,141.0,257.0,22.0,32.0,192.0,23.0,4.0,217.0,38.0,,109.0,,19.0,149.0,117.0,9.0,23.0,151.0,92.0,8.0,224.0,1173.0,31.0,17.0,0.6450892857142857,0.7727272727272727,,,,,,0.5320665083135392,0.5148514851485149,0.5180722891566265,0.5308056872037915,0.5148514851485149,0.5119047619047619,0.5717344753747323,0.5393518518518519,0.56,0.002369668246445498,,0.08788598574821853,0.12387387387387387,0.06716417910447761,0.007692307692307693,,20.093023255813954,0.5306122448979592,0.31736526946107785,0.17573483427141964,0.10104744300677758,0.19557195571955718,0.09076682316118936,0.18075665576833255,0.09814323607427056,0.1695205479452055,0.08816120906801007,0.04672897196261682,0.09111617312072894,0.09,0.20141342756183744,0.18328840970350405,0.14954682779456194,0.20050125313283207,0.18181818181818182,0.07836990595611286,0.609271523178808,0.5260663507109005,0.6599099099099099,0.7532133676092545,0.6655290102389079,0.3175355450236967,0.3843283582089552,0.412,0.4563106796116505,0.15402843601895735,0.4,0.40310077519379844,0.9038461538461539,,,,,0.002369668246445498,,,,0.8316831683168316,0.5416666666666666,0.12087912087912088,,,,,,,0.5952380952380952,0.62,,,0.011904761904761904,,0.5284360189573459,,0.4965859004739335,0.5399987499999999,0.5041821428571427,0.11912568306010929,0.11938663745892661,,0.21816479400749064,0.20973782771535582,5.622684085510689,26.8,0.24752057396075122,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,0.02654867256637168,,,,True
2039,1610612751,Keyon Dooling,Keyon Dooling,2039,NJN,66695.0,1112,-139.0,2087,2075,609.0,666.0,232.0,4162,45.0,66.0,5.0,7.0,14.0,15.0,14.0,40.0,14.0,63.0,28.0,59.0,3.0,6.0,6.0,14.0,24.0,65.0,,4.0,8.0,20.0,73.0,169.0,52.0,124.0,71.0,373,2374.0,9.0,21.0,3.0,10.0,5.0,32.0,19.0,44.0,14.0,34.0,26.0,106.0,58.0,88.0,138.0,18.0,2.0,,1.0,64.0,24.0,10.0,,88.0,50.0,138.0,33.0,17.0,45.0,12.0,31.0,326.0,6.0,7.0,17.0,43.0,8.0,68.0,13.0,81.0,,35.0,16.0,19.0,24.0,12.0,16.0,26.0,4.0,8.0,3.0,50.0,2.0,15.0,20.0,67.0,1.0,3.0,80.0,2.0,9.0,82.0,7.0,2.0,31.0,3.0,9.0,5.0,2.0,,3.0,5.0,2.0,,106.0,609.0,15.0,8.0,0.3972602739726027,0.4027777777777778,0.8846153846153846,0.41935483870967744,0.3,0.4117647058823529,0.42276422764227645,0.4319526627218935,0.42857142857142855,0.4318181818181818,0.515358361774744,0.43548387096774194,0.5128205128205128,0.5670731707317073,0.5,0.5760869565217391,0.4232081911262799,,0.05917159763313609,0.06060606060606061,0.1,0.031746031746031744,,15.988125530110263,0.48,0.0898876404494382,0.06615384615384616,0.010086455331412104,0.06967213114754098,0.019933554817275746,0.06711409395973154,0.01306532663316583,0.012295081967213115,0.01639344262295082,0.003745318352059925,0.02926829268292683,,0.04780876494023904,0.06,0.08835341365461848,0.07777777777777778,0.046875,,0.4,0.22525597269624573,0.6818181818181818,0.7258064516129032,0.4888888888888889,0.13651877133105803,0.35,0.3888888888888889,,0.2150170648464164,0.2222222222222222,0.22950819672131148,0.5,0.20136518771331058,0.4745762711864407,0.4745762711864407,0.9642857142857143,0.22184300341296928,0.36923076923076925,0.36923076923076925,0.7916666666666666,0.22580645161290322,0.7142857142857143,,0.1935483870967742,0.5,1.0,0.12903225806451613,,,0.19230769230769232,0.9333333333333333,0.1794871794871795,0.42857142857142855,0.2564102564102564,0.4,0.6484641638225256,0.375,0.5108482876712328,0.47574791666666666,0.4972844155844156,0.10658307210031348,0.16062176165803108,0.023809523809523808,0.08579088471849866,0.28418230563002683,9.805325443786986,24.340322580645168,0.29180642069956875,,2.0,,,,,,,,1.0,,,True
2239,1610612751,Trenton Hassell,Trenton Hassell,2239,NJN,49161.0,819,-121.0,1537,1538,304.0,283.0,179.0,3075,21.0,34.0,3.0,6.0,4.0,5.0,8.0,17.0,36.0,80.0,1.0,2.0,,,1.0,1.0,,2.0,,1.0,,1.0,65.0,131.0,1.0,4.0,13.0,146,1734.0,4.0,11.0,,1.0,2.0,10.0,10.0,19.0,1.0,2.0,5.0,28.0,94.0,36.0,3.0,,4.0,,,2.0,,3.0,,29.0,7.0,36.0,4.0,3.0,12.0,3.0,14.0,79.0,14.0,14.0,16.0,54.0,4.0,74.0,28.0,102.0,1.0,12.0,5.0,7.0,14.0,4.0,9.0,10.0,,5.0,4.0,24.0,1.0,4.0,29.0,64.0,1.0,,21.0,2.0,4.0,16.0,2.0,,8.0,,1.0,9.0,8.0,,1.0,9.0,6.0,1.0,28.0,304.0,9.0,1.0,0.7230769230769231,0.746031746031746,1.0,0.25,,0.5,0.25,0.4961832061068702,0.36363636363636365,0.5263157894736842,0.4925925925925926,0.3333333333333333,0.5476190476190477,0.5140845070422535,0.38461538461538464,0.5833333333333334,0.02962962962962963,,0.022900763358778626,0.08823529411764706,,,,9.55670696603339,0.5833333333333334,0.07142857142857142,0.1005586592178771,0.025179856115107913,0.09523809523809523,0.07954545454545454,0.09929078014184398,0.03825136612021858,0.017142857142857144,0.046153846153846156,0.0199203187250996,0.09022556390977443,0.046511627906976744,0.09375,0.09701492537313433,0.10900473933649289,0.10256410256410256,0.0784313725490196,0.015151515151515152,0.6666666666666666,0.2518518518518518,0.6176470588235294,0.6774193548387096,0.5714285714285714,0.1259259259259259,0.47058823529411764,0.47058823529411764,0.25,0.5925925925925926,0.45,0.45,0.9166666666666666,0.014814814814814815,0.5,0.5,1.0,0.014814814814814815,,,,0.5,0.5,0.3333333333333333,,,,0.08333333333333333,,,0.23809523809523808,0.8,0.047619047619047616,1.0,0.047619047619047616,,0.2814814814814815,,0.4517803703703704,0.48825,0.45141428571428577,0.05673758865248227,0.058394160583941604,,0.0684931506849315,0.1917808219178082,12.541221374045803,23.825,0.1977878985035784,,1.0,,,,,,1.0,,,,,True
200772,1610612751,Maurice Ager,Maurice Ager,200772,NJN,1384.0,23,-11.0,49,50,34.0,38.0,6.0,99,2.0,3.0,,,2.0,3.0,,2.0,,3.0,,,,,,,,,,,,,2.0,8.0,,,1.0,5,47.0,,,,,,,2.0,7.0,,,1.0,5.0,,4.0,,,,,,,,,,1.0,,1.0,,,,,1.0,2.0,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,2.0,,1.0,3.0,7.0,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,5.0,34.0,2.0,,,,,,,,,0.25,,0.2857142857142857,0.25,,0.2857142857142857,0.2777777777777778,,0.3125,,,,,,,,19.642857142857142,0.5,,0.08333333333333333,,,,0.0625,,,,,,,0.2,,,,,,,0.375,0.6666666666666666,0.6666666666666666,,0.25,,,,0.375,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,0.6666666666666666,,,,,0.375,,0.537225,,0.5577857142857142,0.1111111111111111,0.1111111111111111,,,1.0,9.25,,0.6938775510204082,,,,,,,,,,,,,True
201146,1610612751,Yi Jianlian,Yi Jianlian,201146,NJN,59395.0,990,-83.0,1858,1848,325.0,309.0,208.0,3706,41.0,90.0,13.0,34.0,7.0,15.0,16.0,40.0,46.0,126.0,8.0,20.0,1.0,2.0,1.0,5.0,16.0,68.0,1.0,3.0,2.0,12.0,103.0,256.0,24.0,88.0,50.0,328,2050.0,14.0,44.0,2.0,5.0,13.0,47.0,11.0,38.0,3.0,17.0,10.0,41.0,156.0,50.0,69.0,3.0,22.0,,,68.0,16.0,26.0,,25.0,14.0,39.0,6.0,8.0,13.0,3.0,9.0,92.0,7.0,42.0,32.0,117.0,19.0,168.0,50.0,218.0,7.0,22.0,14.0,8.0,24.0,6.0,11.0,25.0,6.0,13.0,7.0,49.0,8.0,9.0,46.0,97.0,9.0,5.0,57.0,6.0,2.0,71.0,3.0,,31.0,,6.0,20.0,16.0,,4.0,20.0,10.0,7.0,41.0,325.0,10.0,5.0,0.7572815533980582,0.8478260869565217,0.9583333333333334,0.2727272727272727,0.4,0.17647058823529413,0.2727272727272727,0.40234375,0.3181818181818182,0.2894736842105263,0.40406976744186046,0.3469387755102041,0.2818181818181818,0.43386243386243384,0.41228070175438597,0.33064516129032256,0.2558139534883721,,0.1015625,0.25555555555555554,0.075,,,20.208234737340277,0.4897959183673469,0.3584905660377358,0.1794478527607362,0.06069364161849711,0.15920398009950248,0.031818181818181815,0.1746776084407972,0.0537280701754386,0.0782608695652174,0.05847953216374269,0.048109965635738834,0.025974025974025976,0.045454545454545456,0.16818181818181818,0.19148936170212766,0.18213058419243985,0.17567567567567569,0.11320754716981132,0.03684210526315789,0.5,0.2616279069767442,0.45555555555555555,0.6119402985074627,0.6585365853658537,0.11627906976744186,0.4,0.43243243243243246,0.5625,0.36627906976744184,0.36507936507936506,0.36507936507936506,0.9130434782608695,0.05813953488372093,0.4,0.4,0.875,0.19767441860465115,0.23529411764705882,0.23529411764705882,1.0,0.6938775510204082,0.38235294117647056,0.23076923076923078,0.04081632653061224,0.5,1.0,0.061224489795918366,0.3333333333333333,1.0,0.2727272727272727,0.4666666666666667,0.09090909090909091,0.2,0.21818181818181817,0.16666666666666666,0.5174418604651163,0.23529411764705882,0.49783590116279053,0.5165621621621621,0.5157254545454546,0.08333333333333333,0.10915492957746478,,0.14329268292682926,0.125,10.813671875,24.91590909090909,0.17491926803013993,1.0,1.0,,,,1.0,,,0.023255813953488372,,,,True
201583,1610612751,Ryan Anderson,Ryan Anderson,201583,NJN,51735.0,862,-50.0,1636,1638,415.0,417.0,189.0,3274,45.0,106.0,19.0,42.0,15.0,31.0,4.0,15.0,7.0,13.0,8.0,28.0,,4.0,3.0,7.0,33.0,89.0,1.0,5.0,8.0,22.0,56.0,134.0,41.0,117.0,55.0,290,1815.0,22.0,45.0,1.0,9.0,17.0,64.0,17.0,36.0,11.0,29.0,20.0,87.0,62.0,50.0,123.0,,36.0,,,89.0,33.0,32.0,,24.0,10.0,34.0,5.0,5.0,16.0,3.0,5.0,78.0,19.0,56.0,20.0,96.0,16.0,132.0,77.0,209.0,6.0,30.0,23.0,7.0,22.0,3.0,8.0,17.0,1.0,14.0,2.0,39.0,8.0,11.0,69.0,100.0,9.0,7.0,52.0,5.0,8.0,66.0,4.0,,31.0,,4.0,15.0,14.0,,1.0,15.0,10.0,1.0,87.0,415.0,8.0,2.0,0.5535714285714286,0.8157894736842105,1.0,0.3504273504273504,0.1111111111111111,0.3793103448275862,0.3504273504273504,0.417910447761194,0.4888888888888889,0.4722222222222222,0.4681274900398406,0.4351851851851852,0.5153846153846153,0.5141843971631206,0.5079365079365079,0.564935064935065,0.46613545816733065,,0.23880597014925373,0.25471698113207547,0.3333333333333333,,,17.23952738990333,0.5641025641025641,0.2807017543859649,0.1702127659574468,0.10144927536231885,0.10695187165775401,0.0871559633027523,0.15446071904127828,0.09740259740259741,0.1141552511415525,0.07575757575757576,0.1044776119402985,0.05194805194805195,0.171875,0.13953488372093023,0.18248175182481752,0.19339622641509435,0.1171875,0.0847457627118644,0.049586776859504134,0.6666666666666666,0.42231075697211157,0.42452830188679247,0.569620253164557,0.5111111111111111,0.05976095617529881,0.26666666666666666,0.4,0.5,0.05179282868525897,0.5384615384615384,0.5384615384615384,0.8571428571428571,0.11155378486055777,0.2857142857142857,0.2857142857142857,1.0,0.3545816733067729,0.3707865168539326,0.3707865168539326,1.0,0.7777777777777778,0.4523809523809524,,0.07407407407407407,,,0.09259259259259259,0.2,1.0,0.47692307692307695,0.4838709677419355,0.1076923076923077,0.42857142857142855,0.3384615384615385,0.36363636363636365,0.8884462151394422,0.3707865168539326,0.5596310756972109,0.5542290697674418,0.5682038461538462,0.11151079136690648,0.19254658385093168,,0.2206896551724138,0.3,2.8694029850746277,25.070085470085473,0.2536674816625917,2.0,4.0,,,,,,,0.05128205128205128,,,,True
2059,1610612751,Eduardo Najera,Eduardo Najera,2059,NJN,8184.0,136,-29.0,246,250,62.0,83.0,31.0,496,9.0,14.0,3.0,5.0,3.0,5.0,2.0,6.0,,2.0,1.0,1.0,,,1.0,1.0,2.0,9.0,,,,,11.0,22.0,3.0,10.0,2.0,33,276.0,3.0,7.0,,,,6.0,3.0,10.0,1.0,1.0,,9.0,12.0,10.0,9.0,,6.0,,,9.0,2.0,2.0,,8.0,2.0,10.0,1.0,1.0,4.0,1.0,3.0,22.0,2.0,6.0,6.0,11.0,2.0,19.0,8.0,27.0,2.0,3.0,3.0,,5.0,,4.0,4.0,,1.0,,9.0,1.0,2.0,13.0,29.0,4.0,4.0,10.0,,4.0,9.0,1.0,,4.0,,1.0,3.0,3.0,,,3.0,1.0,,9.0,62.0,4.0,1.0,0.5454545454545454,0.75,1.0,0.3,,1.0,0.3,0.5,0.42857142857142855,0.3,0.484375,0.42857142857142855,0.4090909090909091,0.4583333333333333,0.42857142857142855,0.375,0.3125,,0.09090909090909091,,0.3333333333333333,,,15.789473684210526,0.5555555555555556,0.18181818181818182,0.1375,0.06521739130434782,0.21428571428571427,0.058823529411764705,0.1574074074074074,0.06349206349206349,0.045454545454545456,0.15625,,,0.25,0.05263157894736842,0.375,0.08888888888888889,0.2,0.25,0.125,0.3333333333333333,0.4375,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.1875,0.3333333333333333,0.5,,0.0625,,,,0.03125,1.0,1.0,1.0,0.28125,0.2222222222222222,0.2222222222222222,1.0,0.7142857142857143,0.6,,,,,,,,0.45454545454545453,0.6,0.09090909090909091,1.0,,,0.75,0.2222222222222222,0.5479875,0.57932,0.5340772727272728,0.11428571428571428,0.16,,0.18181818181818182,0.2727272727272727,3.6954545454545453,25.17,0.25203252032520324,,,,,,,,,,,,,True
2250,1610612751,Bobby Simmons,Bobby Simmons,2250,NJN,64218.0,1070,48.0,2036,2018,487.0,541.0,239.0,4054,29.0,48.0,9.0,15.0,8.0,13.0,6.0,18.0,19.0,47.0,44.0,96.0,3.0,5.0,9.0,25.0,24.0,51.0,2.0,4.0,8.0,14.0,54.0,113.0,68.0,147.0,23.0,335,2220.0,13.0,26.0,5.0,9.0,7.0,48.0,14.0,21.0,17.0,39.0,11.0,90.0,68.0,40.0,189.0,15.0,14.0,,,51.0,24.0,12.0,,50.0,12.0,62.0,8.0,4.0,26.0,9.0,15.0,136.0,18.0,25.0,34.0,91.0,13.0,138.0,46.0,184.0,6.0,34.0,15.0,19.0,18.0,6.0,13.0,23.0,3.0,5.0,6.0,41.0,1.0,8.0,50.0,104.0,3.0,3.0,39.0,6.0,4.0,30.0,3.0,1.0,10.0,2.0,4.0,5.0,4.0,,1.0,5.0,3.0,,90.0,487.0,14.0,4.0,0.6296296296296297,0.723404255319149,0.9264705882352942,0.46258503401360546,0.5555555555555556,0.4358974358974359,0.46258503401360546,0.4778761061946903,0.5,0.6666666666666666,0.6,0.5857142857142857,0.6583333333333333,0.6139705882352942,0.6,0.6742424242424242,0.5653846153846154,,0.10619469026548672,0.1875,0.1111111111111111,0.02127659574468085,,13.491379310344827,0.43902439024390244,0.21311475409836064,0.1316931982633864,0.03787878787878788,0.136,0.0594059405940594,0.13283740701381508,0.0446521287642783,0.03125,0.037267080745341616,0.04526748971193416,0.04477611940298507,0.08823529411764706,0.102880658436214,0.1103448275862069,0.16501650165016502,0.14136125654450263,0.11864406779661017,0.047619047619047616,0.6,0.18461538461538463,0.6041666666666666,0.7435897435897436,0.5517241379310345,0.06923076923076923,0.3333333333333333,0.375,0.6666666666666666,0.18076923076923077,0.40425531914893614,0.41304347826086957,0.7368421052631579,0.36923076923076925,0.4583333333333333,0.4583333333333333,0.9318181818181818,0.19615384615384615,0.47058823529411764,0.47058823529411764,0.9166666666666666,0.42857142857142855,0.6,,0.14285714285714285,0.6,0.6666666666666666,0.11428571428571428,0.5,0.5,0.21666666666666667,0.6153846153846154,0.4166666666666667,0.36,0.23333333333333334,0.5714285714285714,0.75,0.47058823529411764,0.5373717307692307,0.5450499999999999,0.5329733333333333,0.04477611940298507,0.08333333333333333,0.013513513513513514,0.14328358208955225,0.26865671641791045,8.973451327433628,23.942176870748305,0.23919449901768172,3.0,3.0,,,,,1.0,,0.0625,1.0,,,True
