EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,FTDefRebounds,SelfOReb,Travels,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,AtRimPctBlocked,DefFTReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,PtsUnassisted3s,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,on,Fg3aBlocked,Clear Path Fouls,BlockedLongMidRange,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,OffensiveGoaltends,HeaveMakes,BlockedCorner3
101126,1610612752,Nate Robinson,Nate Robinson,101126,NYK,10763.0,179,-26.0,375,380,77.0,87.0,52.0,755,10.0,20.0,2.0,6.0,1.0,3.0,3.0,8.0,4.0,15.0,3.0,7.0,1.0,1.0,1.0,7.0,20.0,1.0,2.0,1.0,3.0,17.0,43,10.0,27.0,5.0,69.0,406,3.0,9.0,1.0,3.0,9.0,4.0,11.0,2.0,4.0,1.0,15.0,8.0,26.0,30.0,6.0,20.0,7.0,1.0,15.0,8.0,23.0,5.0,3.0,8.0,3.0,4.0,54.0,5.0,6.0,1.0,3.0,12.0,15,12.0,27,15.0,12.0,3.0,9.0,1.0,8.0,5.0,1.0,2.0,14.0,2.0,8.0,20.0,2.0,8.0,7.0,1.0,3.0,1.0,15.0,77.0,4.0,1.0,0.2352941176470588,0.2857142857142857,1.0,0.3703703703703703,0.3333333333333333,0.5,0.3703703703703703,0.3953488372093023,0.3333333333333333,0.3636363636363636,0.4571428571428571,0.375,0.4666666666666667,0.4726027397260274,0.375,0.46875,0.3857142857142857,0.0232558139534883,0.125,20.0,0.6428571428571429,0.0588235294117647,0.0923076923076923,0.044776119402985,0.1034482758620689,0.0757575757575757,0.0943396226415094,0.055,0.0166666666666666,0.0588235294117647,0.075,0.1,0.0384615384615384,0.0638297872340425,0.1764705882352941,0.0526315789473684,0.2,0.2857142857142857,0.5,0.5,0.2,0.1142857142857142,0.375,0.4285714285714285,0.3333333333333333,0.2142857142857142,0.2666666666666666,0.2666666666666666,0.25,0.1,0.4285714285714285,0.4285714285714285,1.0,0.2857142857142857,0.35,0.35,1.0,0.5,0.3333333333333333,0.0833333333333333,0.1666666666666666,0.5,1.0,0.2,0.3333333333333333,0.0666666666666666,1.0,0.2,0.3333333333333333,0.6714285714285714,0.35,0.5348710144927536,0.4905374999999999,0.5108928571428571,0.0416666666666666,0.0666666666666666,0.1304347826086956,0.217391304347826,7.946511627906978,25.444444444444443,0.2053333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
101135,1610612752,David Lee,David Lee,101135,NYK,10996.0,183,-26.0,377,375,77.0,86.0,45.0,752,18.0,32.0,3.0,6.0,2.0,4.0,6.0,11.0,2.0,10.0,,,,,,,,,,,,26.0,53,,,10.0,62.0,402,3.0,7.0,,,9.0,2.0,4.0,,,2.0,6.0,40.0,12.0,,2.0,,,6.0,6.0,4.0,10.0,3.0,1.0,3.0,,3.0,24.0,2.0,8.0,,7.0,21.0,30,10.0,40,4.0,4.0,,7.0,1.0,5.0,3.0,2.0,,10.0,2.0,9.0,23.0,1.0,13.0,16.0,2.0,8.0,1.0,6.0,77.0,3.0,1.0,0.7692307692307693,0.8,,,,,,0.490566037735849,0.4285714285714285,0.5,0.490566037735849,0.4285714285714285,0.5,0.5166666666666667,0.5,0.6,,0.1132075471698113,,16.355140186915886,0.7,,0.1640625,0.0579710144927536,0.1891891891891892,0.037037037037037,0.1696969696969697,0.0520833333333333,0.0892857142857142,,0.0555555555555555,0.0588235294117647,,0.1304347826086956,0.1272727272727272,0.2307692307692307,0.0909090909090909,0.6037735849056604,0.5625,0.6923076923076923,0.8333333333333334,0.2075471698113207,0.5454545454545454,0.5454545454545454,0.5,0.1886792452830188,0.2,0.2,1.0,,,,,,,,,0.8571428571428571,0.5,,,,,1.0,0.5,,,,,0.6037735849056604,,0.5346584905660378,0.53208,0.53925,0.135593220338983,0.135593220338983,0.1451612903225806,0.0967741935483871,5.4075471698113216,,0.2042440318302387,3.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1875,0.1428571428571428,0.2962962962962963,0.0476190476190476,1.0,0.6666666666666666,,,,,,,,,,,,,,,,True,,,,,,,,,,,
101194,1610612752,Anthony Roberson,Anthony Roberson,101194,NYK,2042.0,34,10.0,70,71,12.0,22.0,5.0,141,1.0,1.0,,,,,,,,1.0,5.0,9.0,,,,3.0,6.0,1.0,1.0,2.0,4.0,1.0,2,8.0,15.0,,26.0,74,,,1.0,1.0,3.0,,,2.0,4.0,,6.0,2.0,,24.0,,6.0,3.0,,2.0,,2.0,,,,,2.0,4.0,,,,,3.0,3,,3,1.0,1.0,,,,,1.0,,,1.0,,2.0,4.0,,,,,,,6.0,12.0,1.0,,1.0,1.0,1.0,0.5333333333333333,1.0,0.5,0.5333333333333333,0.5,,,0.7647058823529411,1.5,0.75,0.7647058823529411,1.5,0.75,0.8823529411764706,,,23.684210526315788,,,0.1764705882352941,,,,0.1304347826086956,,,,,,,,0.3333333333333333,,,0.0588235294117647,1.0,1.0,1.0,,,,,0.0588235294117647,,,,0.5294117647058824,0.5555555555555556,0.5555555555555556,1.0,0.3529411764705882,0.5,0.5,1.0,,,,1.0,1.0,1.0,,,,,1.0,0.5,0.9411764705882352,0.5,0.5654441176470587,,0.5349375000000001,,,0.1153846153846153,0.2307692307692307,11.1,24.506666666666668,0.1714285714285714,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,
200776,1610612752,Mardy Collins,Mardy Collins,200776,NYK,2332.0,39,-5.0,81,83,12.0,31.0,11.0,164,3.0,8.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,,,,,,,,,,5.0,13,,1.0,,10.0,87,,2.0,,,,1.0,1.0,,,,2.0,,10.0,,,,,4.0,1.0,6.0,7.0,1.0,5.0,,,1.0,20.0,,1.0,,1.0,2.0,4,1.0,5,1.0,,1.0,2.0,,2.0,,,,2.0,,3.0,3.0,,3.0,1.0,1.0,1.0,,2.0,12.0,,,,,,,,,,0.3846153846153846,,1.0,0.3571428571428571,,1.0,0.3571428571428571,,1.0,0.0714285714285714,0.3076923076923077,0.25,16.666666666666668,1.0,,0.0909090909090909,0.027027027027027,0.2,,0.1111111111111111,0.0212765957446808,0.0555555555555555,,,,,,0.0833333333333333,0.3333333333333333,,0.5714285714285714,0.375,0.6,,0.2857142857142857,0.25,0.3333333333333333,,0.0714285714285714,1.0,1.0,,0.0714285714285714,,,,,,,,0.5,,,,,,1.0,1.0,,,,,0.6428571428571429,,0.5040785714285715,0.4439,0.4772,0.0714285714285714,0.0769230769230769,,0.2,4.923076923076923,22.1,0.1481481481481481,,1.0,,,1.0,,,,,,,,0.375,0.1666666666666666,0.25,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2216,1610612752,Zach Randolph,Zach Randolph,2216,NYK,23270.0,388,-32.0,798,800,147.0,159.0,92.0,1598,41.0,76.0,16.0,32.0,12.0,22.0,14.0,38.0,20.0,51.0,1.0,8.0,,,,6.0,16.0,1.0,3.0,1.0,2.0,75.0,165,7.0,24.0,55.0,226.0,857,17.0,38.0,1.0,3.0,54.0,15.0,34.0,1.0,2.0,15.0,48.0,88.0,62.0,15.0,24.0,16.0,6.0,17.0,7.0,8.0,15.0,2.0,6.0,6.0,,1.0,38.0,7.0,33.0,,8.0,81.0,97,40.0,137,13.0,10.0,3.0,9.0,1.0,5.0,14.0,4.0,,23.0,4.0,12.0,28.0,5.0,52.0,67.0,9.0,37.0,1.0,48.0,147.0,4.0,1.0,0.5866666666666667,0.6984126984126984,0.7142857142857143,0.2916666666666667,0.3333333333333333,0.5,0.2916666666666667,0.4545454545454545,0.4473684210526316,0.4411764705882353,0.4523809523809524,0.4512195121951219,0.4583333333333333,0.518348623853211,0.54,0.5333333333333333,0.1269841269841269,0.103030303030303,0.0789473684210526,26.688815060908087,0.391304347826087,,0.2832167832167832,0.1254752851711026,0.125,0.0492957746478873,0.2542857142857143,0.0987654320987654,0.1913043478260869,0.1034482758620689,0.0555555555555555,0.0434782608695652,0.06,0.2777777777777778,0.2666666666666666,0.1276595744680851,0.1176470588235294,0.4021164021164021,0.5394736842105263,0.6612903225806451,0.5365853658536586,0.201058201058201,0.3684210526315789,0.4,0.5,0.2698412698412698,0.392156862745098,0.392156862745098,0.75,0.0423280423280423,0.125,0.125,,0.0846560846560846,0.375,0.375,0.8333333333333334,0.7804878048780488,0.5,,0.073170731707317,0.3333333333333333,1.0,0.6111111111111112,0.5454545454545454,,,0.0555555555555555,0.5,0.5291005291005291,0.375,0.501892857142857,0.5399885714285714,0.5255458333333334,0.1705069124423963,0.1917098445595854,0.2389380530973451,0.2123893805309734,7.607878787878789,24.774999999999995,0.1842105263157894,17.0,8.0,7.0,2.0,,3.0,7.0,3.0,3.0,1.0,3.0,,0.1842105263157894,0.2962962962962963,0.3157894736842105,0.0777777777777777,,0.125,4.0,6.0,2.0,2.0,1.0,,,,,,,,,,,True,,,,,,,,,,,
2768,1610612752,Chris Duhon,Chris Duhon,2768,NYK,19862.0,331,-42.0,682,680,128.0,135.0,79.0,1362,14.0,28.0,,,1.0,4.0,1.0,3.0,3.0,7.0,6.0,10.0,2.0,,1.0,5.0,21.0,1.0,1.0,2.0,5.0,18.0,38,11.0,31.0,20.0,89.0,733,,,2.0,3.0,9.0,3.0,8.0,2.0,6.0,10.0,22.0,4.0,32.0,30.0,,21.0,5.0,2.0,38.0,28.0,66.0,21.0,7.0,19.0,6.0,13.0,160.0,5.0,4.0,,6.0,17.0,25,9.0,34,11.0,7.0,4.0,10.0,4.0,6.0,8.0,4.0,,18.0,3.0,7.0,15.0,2.0,22.0,26.0,,9.0,4.0,22.0,128.0,2.0,4.0,0.1111111111111111,0.1111111111111111,0.9090909090909092,0.3548387096774194,0.6666666666666666,0.3333333333333333,0.3548387096774194,0.4736842105263157,,0.375,0.5,1.0,0.4285714285714285,0.5426829268292683,0.9,0.5238095238095238,0.4492753623188406,0.0526315789473684,,13.003901170351105,0.5555555555555556,,0.0691056910569105,0.0176991150442477,0.1034482758620689,0.04,0.0756578947368421,0.0256410256410256,0.0196078431372549,,0.0259740259740259,0.0481927710843373,0.0238095238095238,0.0259740259740259,0.1153846153846153,0.0930232558139534,0.1333333333333333,0.4057971014492754,0.5,0.5384615384615384,0.0714285714285714,0.0434782608695652,0.3333333333333333,0.3333333333333333,1.0,0.1014492753623188,0.4285714285714285,0.4285714285714285,,0.144927536231884,0.6,0.6,1.0,0.3043478260869565,0.238095238095238,0.238095238095238,0.8,,,0.6666666666666666,0.3333333333333333,1.0,1.0,0.2857142857142857,0.25,0.0714285714285714,,0.3571428571428571,0.4,0.855072463768116,0.238095238095238,0.5680898550724638,0.5745750000000001,0.5181642857142857,0.1153846153846153,0.1914893617021276,0.1011235955056179,0.247191011235955,4.547368421052632,25.08387096774193,0.187683284457478,3.0,2.0,2.0,,,,,1.0,,,,,0.0714285714285714,0.0869565217391304,0.0461538461538461,0.0526315789473684,,,2.0,3.0,,,,1.0,0.5,1.0,,,,,,,,True,,,,,,,,,,,
2037,1610612752,Jamal Crawford,Jamal Crawford,2037,NYK,18011.0,300,-33.0,615,615,128.0,117.0,73.0,1230,9.0,23.0,1.0,2.0,,4.0,6.0,15.0,15.0,31.0,4.0,16.0,,1.0,4.0,17.0,38.0,2.0,2.0,1.0,8.0,30.0,69,21.0,54.0,24.0,147.0,676,1.0,3.0,2.0,2.0,9.0,4.0,11.0,2.0,12.0,14.0,28.0,18.0,42.0,39.0,,37.0,17.0,4.0,23.0,9.0,32.0,8.0,1.0,14.0,3.0,6.0,73.0,,1.0,,5.0,6.0,11,1.0,12,5.0,2.0,3.0,16.0,4.0,12.0,8.0,4.0,,24.0,6.0,7.0,11.0,1.0,21.0,32.0,1.0,8.0,4.0,28.0,128.0,,4.0,0.3,0.3,0.6190476190476191,0.3888888888888889,1.0,0.1666666666666666,0.3962264150943396,0.4347826086956521,0.3333333333333333,0.3636363636363636,0.5,0.8,0.3043478260869565,0.5367647058823529,0.9,0.45,0.4390243902439024,0.0579710144927536,,22.95552367288379,0.6666666666666666,,0.0269058295964125,0.0050251256281407,0.108695652173913,,0.0408921933085501,0.0032258064516129,,,0.0133333333333333,,,,0.0561797752808988,0.1470588235294117,,0.1869918699186991,0.391304347826087,0.4285714285714285,0.2222222222222222,0.1219512195121951,0.4,0.4,0.3333333333333333,0.2520325203252032,0.4838709677419355,0.5172413793103449,0.3333333333333333,0.1300813008130081,0.25,0.25,1.0,0.3089430894308943,0.4473684210526316,0.4473684210526316,0.5294117647058824,0.4,0.5,,0.4,1.0,1.0,0.1739130434782608,,0.1739130434782608,0.25,0.3478260869565217,0.125,0.6260162601626016,0.4594594594594595,0.5157418032786886,0.5793666666666667,0.4970090909090909,0.0909090909090909,0.1052631578947368,0.0612244897959183,0.1904761904761904,9.923188405797102,25.25925925925926,0.208130081300813,1.0,,,2.0,3.0,,,,,,,,0.0869565217391304,,0.0158730158730158,,,,,24.0,,,,,,,1.0,2.0,1.0,4.0,0.064516129032258,0.0714285714285714,,True,,,,,,,,,,,
201163,1610612752,Wilson Chandler,Wilson Chandler,201163,NYK,11859.0,198,-9.0,407,408,73.0,65.0,42.0,815,13.0,26.0,3.0,4.0,2.0,4.0,8.0,16.0,12.0,21.0,3.0,9.0,,,2.0,5.0,14.0,,,1.0,5.0,33.0,63,8.0,23.0,4.0,94.0,440,3.0,6.0,,,7.0,4.0,9.0,1.0,7.0,2.0,13.0,32.0,34.0,24.0,4.0,14.0,5.0,4.0,5.0,4.0,9.0,2.0,2.0,2.0,,3.0,22.0,3.0,4.0,2.0,4.0,11.0,17,9.0,26,8.0,5.0,3.0,2.0,,1.0,4.0,1.0,1.0,6.0,1.0,18.0,25.0,1.0,9.0,7.0,1.0,4.0,,13.0,73.0,2.0,,0.4848484848484848,0.5161290322580645,1.0,0.3478260869565217,,0.1428571428571428,0.3478260869565217,0.5238095238095238,0.5,0.4444444444444444,0.5232558139534884,0.5,0.34375,0.5280898876404494,0.5,0.3823529411764705,0.2674418604651162,0.0634920634920634,0.0625,21.01769911504425,0.3333333333333333,0.1333333333333333,0.0709677419354838,0.037037037037037,0.16,0.0348837209302325,0.0833333333333333,0.0360824742268041,0.0652173913043478,0.0357142857142857,,0.0350877192982456,0.0344827586206896,0.0465116279069767,0.0588235294117647,0.15,0.2,0.3023255813953488,0.5,0.5652173913043478,0.5384615384615384,0.1860465116279069,0.5,0.5333333333333333,,0.2441860465116279,0.5714285714285714,0.5714285714285714,0.75,0.1046511627906976,0.3333333333333333,0.3333333333333333,1.0,0.1627906976744186,0.3571428571428571,0.3571428571428571,1.0,0.6666666666666666,0.75,,,,,0.25,0.5,0.125,,0.3125,0.2,0.5697674418604651,0.3571428571428571,0.5005075581395348,0.4569249999999999,0.517634375,0.0449438202247191,0.0606060606060606,0.0744680851063829,0.1382978723404255,8.949206349206348,24.52173913043478,0.1793611793611793,1.0,2.0,1.0,2.0,,,1.0,2.0,5.0,5.0,5.0,4.0,0.1153846153846153,0.1818181818181818,0.1136363636363636,0.024390243902439,0.8,0.3333333333333333,,,,,2.0,,,,,,,,,,1.0,True,,,,,,,,,,,
2047,1610612752,Quentin Richardson,Quentin Richardson,2047,NYK,15644.0,261,11.0,526,529,78.0,85.0,53.0,1055,11.0,19.0,,4.0,,2.0,,1.0,6.0,15.0,6.0,18.0,,1.0,1.0,12.0,35.0,2.0,3.0,,5.0,17.0,35,18.0,53.0,8.0,96.0,551,,4.0,2.0,3.0,6.0,2.0,4.0,1.0,6.0,6.0,13.0,22.0,12.0,54.0,,35.0,12.0,2.0,10.0,3.0,13.0,2.0,1.0,4.0,2.0,4.0,29.0,3.0,6.0,,9.0,30.0,43,9.0,52,8.0,5.0,3.0,7.0,3.0,5.0,6.0,2.0,1.0,13.0,,11.0,17.0,,8.0,9.0,1.0,4.0,1.0,13.0,78.0,2.0,1.0,0.6470588235294118,0.6470588235294118,1.0,0.3396226415094339,0.6666666666666666,0.1666666666666666,0.3396226415094339,0.4857142857142857,,0.5,0.5,0.4285714285714285,0.35,0.5217391304347826,0.4285714285714285,0.5,0.6022727272727273,0.0571428571428571,,17.736486486486488,0.5384615384615384,,0.15,0.0357142857142857,0.1914893617021276,0.0329670329670329,0.1578947368421052,0.0347490347490347,0.04,0.0344827586206896,0.03125,0.0327868852459016,0.0333333333333333,0.1746031746031746,0.1625,0.2432432432432432,,0.2159090909090909,0.5789473684210527,0.6111111111111112,0.6363636363636364,0.0113636363636363,,,,0.1704545454545454,0.4,0.4285714285714285,0.6666666666666666,0.2045454545454545,0.3333333333333333,0.3333333333333333,1.0,0.3977272727272727,0.3428571428571428,0.3428571428571428,1.0,0.5714285714285714,,,0.4285714285714285,0.6666666666666666,1.0,0.2,,0.1,1.0,0.5,,0.8181818181818182,0.3428571428571428,0.5553136363636363,0.5928416666666667,0.51266,0.0439560439560439,0.1052631578947368,0.0625,0.1354166666666666,8.322857142857144,24.909433962264156,0.1482889733840304,,4.0,2.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,0.0526315789473684,0.2666666666666666,0.1052631578947368,0.0392156862745098,,,,,,1.0,,,,,,,,,0.0666666666666666,,,True,,,,,,,,,,,
990,1610612752,Malik Rose,Malik Rose,990,NYK,1308.0,22,,50,49,3.0,8.0,8.0,99,1.0,2.0,,,,,,2.0,1.0,2.0,,,,,,,,,,,,2.0,6,,,2.0,6.0,49,1.0,1.0,,,2.0,,,,,,,2.0,2.0,,,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,8.0,,1.0,,,5.0,5,1.0,6,,,,2.0,1.0,1.0,1.0,1.0,,3.0,,2.0,3.0,,2.0,4.0,,2.0,,,3.0,,,0.5,0.5,,,,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,0.375,1.0,,,0.1666666666666666,,18.965517241379317,0.6666666666666666,,0.25,0.05,,,0.217391304347826,0.037037037037037,,0.1428571428571428,,,,0.25,0.1,,,0.3333333333333333,0.5,0.5,,0.3333333333333333,,,,0.3333333333333333,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.46945,,,0.25,0.25,0.3333333333333333,,8.333333333333334,,0.06,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.5,,,True,,,,,,,,,,,
