EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ShortMidRangeAssists,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,OffAtRimReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGA,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,SecondChanceArc3Frequency,DefCorner3ReboundPct,ThreePtAssists,Arc3Assists,LostBallTurnovers,ShortMidRangePctBlocked,DefensiveGoaltends,Offensive Fouls Drawn,on,SecondChanceFtPoints,OffThreePtRebounds,LostBallSteals,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Corner3Assists,FTOffRebounds,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,HeaveMakes
101130,1610612743,Johan Petro,Johan Petro,101130,DEN,2482.0,41,-36.0,92,88,56,70,10,180,2.0,6.0,1.0,3.0,2.0,4.0,2.0,8.0,6.0,11.0,10.0,25.0,2.0,22.0,102,4.0,6.0,8.0,8.0,16.0,2.0,18.0,12.0,8.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4,3.0,8,4.0,12,2.0,1.0,1.0,1.0,2.0,2.0,2.0,11.0,16.0,2.0,4.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,18.0,56,4.0,2.0,0.6,0.75,0.4,0.6666666666666666,0.5,0.4,0.6666666666666666,0.5,0.39285714285714285,0.6666666666666666,0.47368421052631576,0.04,0.16666666666666666,29.126213592233007,0.42857142857142855,0.12903225806451613,0.10526315789473684,0.1111111111111111,0.125,0.09090909090909091,0.2,0.10526315789473684,0.14285714285714285,0.1111111111111111,0.13333333333333333,0.125,0.14285714285714285,0.5,0.24,0.3333333333333333,0.4,0.5,0.32,0.25,0.25,0.44,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.5,0.3333333333333333,0.25,0.5,0.24,0.443652,0.49665,0.44735,0.038461538461538464,0.038461538461538464,0.36363636363636365,0.8181818181818182,10.735999999999999,0.6086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,2756.0,46,-26.0,101,99,66,67,13,200,3.0,5.0,,,2.0,2.0,3.0,5.0,,3.0,6.0,13.0,5.0,23.0,104,1.0,2.0,2.0,5.0,8.0,,13.0,10.0,2.0,,,4.0,4.0,2.0,8.0,4.0,,4,1.0,5,4.0,9,1.0,1.0,1.0,,1.0,1.0,1.0,,,,3.0,,6.0,3.0,,,,,,,,13.0,66,,,0.8333333333333334,0.8333333333333334,0.46153846153846156,0.5,0.625,0.47368421052631576,0.25,0.5416666666666666,0.5227272727272727,0.25,0.5416666666666666,,,20.0,0.16666666666666666,0.10810810810810811,0.1,,0.08333333333333333,0.08163265306122448,0.1,0.10526315789473684,0.2222222222222222,,0.10526315789473684,,0.09090909090909091,,0.2631578947368421,0.6,0.6,1.0,0.2631578947368421,0.6,0.6,0.15789473684210525,,,,,,0.16666666666666666,1.0,0.5789473684210527,0.5129868421052631,0.4997375,0.49227499999999996,0.13636363636363635,0.1875,0.08695652173913043,0.5652173913043478,7.7153846153846155,0.6534653465346535,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,6.0,2.0,1.0,4.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.3333333333333333,0.3157894736842105,0.09090909090909091,0.6666666666666666,0.15789473684210525,0.15789473684210525,0.6666666666666666,0.6666666666666666,1.0,0.5,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,24.183333333333334,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,1610612743,Anthony Carter,Anthony Carter,1853,DEN,1529.0,25,-20.0,58,56,28,35,6,114,,1.0,,,,1.0,,1.0,,1.0,,3.0,,,55,,,,,2.0,,,,,,,3.0,3.0,1.0,6.0,,,1,,1,,1,,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,12.307692307692307,,0.05,,,0.037037037037037035,,,,,0.16666666666666666,,,,,0.25,,,,0.25,,,0.25,,,,,,0.5,,0.5,0.48283750000000003,0.48585,0.5073,,,,,11.5,0.4827586206896552,,,,,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,0.25,,,,0.25,,,,,,,,,25.5,1.0,1.0,1.0,0.25,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200764,1610612743,Renaldo Balkman,Renaldo Balkman,200764,DEN,1777.0,30,-26.0,66,63,41,48,8,129,1.0,2.0,,,,,,,,1.0,1.0,3.0,,2.0,66,,,,,,,,2.0,,,,2.0,2.0,,4.0,,1.0,6,1.0,8,,8,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,41,,,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,4.054054054054054,0.25,0.2727272727272727,,0.125,0.23333333333333334,,,,0.3333333333333333,0.3333333333333333,0.2,,,1.0,0.6666666666666666,0.5,0.5,1.0,,,,0.3333333333333333,,,,,,,,0.6666666666666666,0.5444333333333333,,,,,,,6.2,0.6212121212121212,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201603,1610612743,Sonny Weems,Sonny Weems,201603,DEN,3302.0,55,-40.0,122,119,66,83,13,241,3.0,5.0,,,1.0,2.0,,5.0,5.0,12.0,8.0,22.0,3.0,19.0,129,,,,5.0,12.0,3.0,13.0,8.0,8.0,,2.0,,3.0,,9.0,,3.0,1,,4,,4,,1.0,1.0,,1.0,6.0,3.0,3.0,8.0,,5.0,,8.0,3.0,1.0,,,,,,,13.0,66,2.0,1.0,0.5,0.5,0.36363636363636365,,0.4166666666666667,0.32,,0.35714285714285715,0.3275862068965517,,0.38235294117647056,0.09090909090909091,,25.735294117647058,,0.023255813953488372,,0.23076923076923078,0.07142857142857142,,,,,,0.047619047619047616,0.2727272727272727,,,0.2,0.6,0.6,0.6666666666666666,0.2,,,0.48,0.4166666666666667,0.4166666666666667,0.4,,,0.14285714285714285,0.5,0.32,0.466388,,0.4420178571428571,0.10714285714285714,0.12,,0.6842105263157895,11.672727272727274,0.5409836065573771,,,,,3.0,,2.0,,3.0,,,2.0,,3.0,,,,1.0,,,,,,0.12,,,,0.12,,,,,,0.14285714285714285,,,25.100000000000005,,5.0,3.0,0.8333333333333334,,,3.0,3.0,2.0,0.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,1610612743,Chris Andersen,Chris Andersen,2365,DEN,1147.0,19,-8.0,43,46,16,25,4,89,,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,4.0,6.0,44,,1.0,,,,,,,2.0,,,,,,,1.0,1.0,5,,6,1.0,7,,1.0,1.0,,,1.0,1.0,1.0,3.0,,2.0,,4.0,1.0,1.0,,,,,,,,16,1.0,,,,0.5,,,0.5,,,0.75,,,,,10.204081632653061,,0.35714285714285715,0.0625,0.16666666666666666,0.3,0.05263157894736842,,,0.25,,0.5,0.2,,,0.5,,,,,,,0.5,1.0,1.0,,1.0,,,,0.5,0.46495,0.5381,,0.3333333333333333,0.3333333333333333,,,7.9,0.37209302325581395,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,1610612743,JR Smith,JR Smith,2747,DEN,1106.0,18,-10.0,39,37,15,22,4,76,,,,,,,,,,,,,1.0,4.0,43,,,,,,1.0,1.0,,,,,3.0,3.0,2.0,6.0,,,1,,1,,1,,,,1.0,1.0,3.0,1.0,,,,1.0,,2.0,1.0,,,,,,,,1.0,15,,,,,,,,0.5,,,0.5,,0.25,,,16.666666666666668,,0.07692307692307693,,,0.05555555555555555,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,1.0,0.44505,,0.23685,0.25,1.0,,0.25,,0.38461538461538464,,,,1.0,3.0,,1.0,1.0,3.0,,,1.0,3.0,3.0,1.0,,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,1.0,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,1.0,,0.3333333333333333,26.866666666666664,,2.0,2.0,0.6666666666666666,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078,1610612743,Jason Hart,Jason Hart,2078,DEN,790.0,13,-10.0,30,30,17,20,3,60,,1.0,,,,1.0,,,1.0,2.0,1.0,3.0,3.0,5.0,33,,,,1.0,3.0,3.0,5.0,2.0,,,1.0,1.0,1.0,,2.0,,1.0,1,,2,,2,,,,,,,,1.0,1.0,,2.0,1.0,4.0,,2.0,,,,,,,5.0,17,,2.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,,0.5,0.3333333333333333,1.0,15.625,,0.07692307692307693,,0.5,0.13333333333333333,,,,,0.25,,0.5,,,0.3333333333333333,,,,,,,0.6666666666666666,0.5,0.5,1.0,,,0.3333333333333333,,0.3333333333333333,0.4644333333333333,,0.4644333333333333,,,,1.0,12.1,0.5666666666666667,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,1610612743,Dahntay Jones,Dahntay Jones,2563,DEN,1621.0,27,-24.0,59,57,25,45,4,116,1.0,3.0,,1.0,,1.0,2.0,2.0,,4.0,3.0,9.0,2.0,8.0,69,,2.0,,1.0,3.0,,2.0,2.0,4.0,,1.0,4.0,4.0,1.0,8.0,3.0,,3,,3,3.0,6,,,,1.0,1.0,3.0,3.0,2.0,2.0,,2.0,,2.0,1.0,,1.0,1.0,1.0,,,,2.0,25,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.4,,0.3333333333333333,0.1111111111111111,0.3333333333333333,20.3125,,0.13636363636363635,0.13043478260869565,,0.11538461538461539,0.125,,0.09090909090909091,0.2,0.16666666666666666,0.09090909090909091,,,,0.3333333333333333,0.3333333333333333,0.5,,0.2222222222222222,1.0,1.0,0.4444444444444444,,,,0.5,,0.3333333333333333,,0.3333333333333333,0.42254444444444444,0.5561,0.4642,0.1,0.1,,0.25,9.47777777777778,0.423728813559322,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,2.0,1.0,0.6666666666666666,,,,,1.0,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101130,1610612743,Johan Petro,Johan Petro,101130,DEN,10544.0,176,-67.0,341,343,65,81,38,684,9.0,16.0,2.0,4.0,1.0,5.0,7.0,17.0,1.0,4.0,17.0,37.0,4.0,38.0,415,2.0,4.0,5.0,3.0,9.0,2.0,8.0,30.0,4.0,4.0,1.0,7.0,9.0,4.0,20.0,8.0,9.0,26,5.0,40,11.0,51,1.0,2.0,1.0,2.0,7.0,11.0,4.0,19.0,40.0,3.0,8.0,,8.0,4.0,1.0,8.0,6.0,8.0,6.0,1.0,2.0,8.0,65,5.0,1.0,0.8823529411764706,1.0,0.4594594594594595,0.5,0.3333333333333333,0.4473684210526316,0.5,0.3,0.4634146341463415,0.625,0.3333333333333333,0.02702702702702703,,13.648293963254593,0.4166666666666667,0.21138211382113822,0.06611570247933884,0.2903225806451613,0.22727272727272727,0.07333333333333333,0.041666666666666664,0.09259259259259259,0.17647058823529413,0.1935483870967742,0.2413793103448276,0.3157894736842105,0.05,0.75,0.42105263157894735,0.5625,0.5625,0.7777777777777778,0.4473684210526316,0.4117647058823529,0.4375,0.10526315789473684,0.25,0.25,1.0,1.0,0.5,0.5,0.2,0.4473684210526316,0.4779105263157895,0.5766,0.50371,0.1,0.10256410256410256,0.13157894736842105,0.21052631578947367,5.5675675675675675,0.1906158357771261,1.0,,1.0,,,,,,1.0,,,1.0,,,,1.0,2.0,2.0,2.0,,,,,0.02631578947368421,0.046511627906976744,1.0,0.02631578947368421,,,,,,0.1,,,,24.3,,4.0,1.0,0.36363636363636365,,0.25,2.0,2.0,3.0,0.058823529411764705,1.0,,False,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.10344827586206896,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
