EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,StepOutOfBoundsTurnovers,Clear Path Fouls,BlockedLongMidRange,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,3SecondViolations,OffCorner3ReboundPct,Arc3PctBlocked,on,3pt And 1 Free Throw Trips,OffensiveGoaltends,BlockedArc3,HeaveMakes
101122,1610612754,Danny Granger,Danny Granger,101122,IND,40119.0,669,-6,1330,1332,238,261,148,2662,46,80,6.0,12.0,2,6,16.0,34,40,88,5.0,7.0,1.0,1.0,45.0,113.0,1.0,6.0,8.0,23.0,102,202,50.0,120.0,129,483,1462,11.0,19.0,1.0,6.0,12.0,37,8,23,9.0,24.0,27.0,70,76,128,141.0,9.0,8.0,1.0,112.0,45.0,16.0,64,9.0,73,7.0,2.0,40.0,6.0,18.0,155,2.0,11.0,13,54,12.0,79,13,92,2.0,20,13.0,7,29,9.0,15,24,2.0,14.0,8.0,53,7.0,12.0,28,52,1.0,4.0,103,1.0,6.0,146,11.0,7.0,65.0,4.0,4.0,24,1.0,20,1.0,4.0,25,12.0,1.0,70,238,5.0,4.0,0.37254901960784315,0.3877551020408163,0.94,0.4166666666666667,0.16666666666666666,0.375,0.42016806722689076,0.504950495049505,0.5789473684210527,0.34782608695652173,0.5496894409937888,0.5,0.4574468085106383,0.6197916666666666,0.6,0.5491803278688525,0.37267080745341613,0.07920792079207921,0.1375,0.08823529411764706,0.022727272727272728,28.978779840848805,0.5471698113207547,0.23076923076923078,0.11297071129707113,0.023305084745762712,0.09923664122137404,0.013071895424836602,0.11001642036124795,0.0208,0.03125,0.0380952380952381,0.00966183574879227,0.015384615384615385,0.1,0.11214953271028037,0.12033195020746888,0.08139534883720931,0.13333333333333333,0.013157894736842105,0.48,0.2484472049689441,0.575,0.6666666666666666,0.43478260869565216,0.10559006211180125,0.47058823529411764,0.5161290322580645,0.1875,0.2732919254658385,0.45454545454545453,0.46511627906976744,0.375,0.021739130434782608,0.7142857142857143,0.7142857142857143,1.0,0.35093167701863354,0.39823008849557523,0.39823008849557523,0.9333333333333333,0.48,0.5,0.16666666666666666,0.24,0.16666666666666666,1.0,0.1276595744680851,0.3333333333333333,0.02127659574468085,1.0,0.48936170212765956,0.34782608695652173,0.6211180124223602,0.4017857142857143,0.5150716510903427,0.5206323529411765,0.48968804347826084,0.18157894736842106,0.25390625,0.03225806451612903,0.07660455486542443,0.14492753623188406,9.95148514851485,25.28166666666667,0.17894736842105263,,,,,,,,,,,,,,,,,,True,,,,
101127,1610612754,Jarrett Jack,Jarrett Jack,101127,IND,37897.0,632,-74,1250,1259,351,472,144,2509,24,53,,1.0,4,11,25.0,45,22,45,6.0,23.0,3.0,9.0,6.0,26.0,1.0,2.0,3.0,9.0,71,143,12.0,49.0,43,221,1378,3.0,9.0,2.0,5.0,4.0,16,15,38,6.0,18.0,20.0,68,28,114,30.0,6.0,,2.0,24.0,6.0,12.0,57,23.0,80,18.0,5.0,28.0,6.0,23.0,183,5.0,5.0,16,40,,56,11,67,2.0,19,14.0,5,32,4.0,24,17,1.0,8.0,4.0,49,3.0,19.0,15,45,,6.0,47,,2.0,51,6.0,5.0,20.0,,6.0,5,,3,,1.0,5,3.0,,68,351,5.0,5.0,0.19718309859154928,0.19718309859154928,0.8333333333333334,0.24489795918367346,0.4,0.3333333333333333,0.2553191489361702,0.4965034965034965,0.3333333333333333,0.39473684210526316,0.4635416666666667,0.42857142857142855,0.42857142857142855,0.5094339622641509,0.5,0.5,0.2552083333333333,0.08391608391608392,0.16981132075471697,0.06666666666666667,,18.36734693877551,0.6530612244897959,,0.09049773755656108,0.011312217194570135,0.11678832116788321,0.03333333333333333,0.09671848013816926,0.016891891891891893,0.014598540145985401,0.017094017094017096,0.005319148936170213,0.044642857142857144,0.06666666666666667,0.08403361344537816,0.10837438423645321,0.1111111111111111,0.1276595744680851,0.02127659574468085,0.6,0.2760416666666667,0.4528301886792453,0.5454545454545454,0.3333333333333333,0.234375,0.5555555555555556,0.5952380952380952,0.04,0.234375,0.4888888888888889,0.4888888888888889,0.22727272727272727,0.11979166666666667,0.2608695652173913,0.2608695652173913,1.0,0.13541666666666666,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.07142857142857142,,,0.14285714285714285,0.5,1.0,0.19642857142857142,0.36363636363636365,0.16071428571428573,0.3333333333333333,0.16071428571428573,0.3333333333333333,0.53125,0.25,0.5035657894736844,0.4657535714285714,0.4750999999999999,0.0970873786407767,0.12738853503184713,,0.07239819004524888,0.3076923076923077,9.332867132867134,25.76122448979592,0.2808,1.0,3.0,1.0,1.0,1.0,1.0,0.043478260869565216,0.21428571428571427,0.3333333333333333,1.0,,,,,,,,True,,,,
101143,1610612754,Travis Diener,Travis Diener,101143,IND,17649.0,294,2,590,587,163,265,50,1177,5,5,,,4,4,2.0,4,6,19,2.0,5.0,2.0,2.0,12.0,32.0,1.0,4.0,1.0,9.0,13,28,14.0,37.0,5,73,637,,,1.0,4.0,,3,6,10,3.0,11.0,4.0,25,6,20,21.0,21.0,,1.0,31.0,12.0,1.0,31,16.0,47,10.0,6.0,12.0,6.0,13.0,110,3.0,,5,26,2.0,33,3,36,1.0,11,7.0,4,8,1.0,5,4,1.0,3.0,1.0,12,,3.0,4,19,1.0,1.0,10,,,6,,2.0,,,2.0,1,,1,,,1,,,25,163,6.0,2.0,0.23076923076923078,0.23076923076923078,0.5,0.3783783783783784,0.25,0.2727272727272727,0.3888888888888889,0.4642857142857143,,0.6,0.5230769230769231,0.375,0.5,0.5298507462686567,0.375,0.5217391304347826,0.5692307692307692,0.03571428571428571,,,0.05263157894736842,12.363067292644757,0.6666666666666666,0.06896551724137931,0.1145374449339207,,0.09615384615384616,0.04477611940298507,0.1111111111111111,0.0125,,,,0.057692307692307696,0.140625,0.07692307692307693,0.12244897959183673,0.12121212121212122,0.05263157894736842,0.027777777777777776,,0.07692307692307693,1.0,1.0,0.2,0.06153846153846154,0.5,0.5,,0.2923076923076923,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.07692307692307693,0.4,0.4,1.0,0.49230769230769234,0.375,0.375,0.4166666666666667,,,,1.0,0.25,1.0,0.19047619047619047,1.0,0.09523809523809523,1.0,0.42857142857142855,0.1111111111111111,0.6461538461538462,0.3870967741935484,0.4902414062499999,0.5654250000000001,0.4822525,,,,0.0410958904109589,0.3424657534246575,14.467857142857142,26.343243243243244,0.27627118644067794,,,,,1.0,,,,,,,,,,,,,True,,,,
101211,1610612754,Stephen Graham,Stephen Graham,101211,IND,14472.0,241,-31,482,484,129,201,55,966,19,28,5.0,6.0,7,7,3.0,9,12,24,2.0,9.0,,,6.0,14.0,1.0,3.0,3.0,6.0,34,61,8.0,23.0,18,110,521,6.0,11.0,1.0,3.0,3.0,18,8,12,3.0,6.0,5.0,30,40,28,24.0,,8.0,,14.0,6.0,3.0,14,,14,,,6.0,,8.0,28,1.0,8.0,5,19,3.0,27,9,36,2.0,4,3.0,1,9,3.0,5,12,1.0,4.0,1.0,21,2.0,6.0,16,30,1.0,6.0,17,1.0,,23,3.0,,11.0,,2.0,1,,1,,,1,1.0,,30,129,2.0,2.0,0.5882352941176471,0.6666666666666666,1.0,0.34782608695652173,0.3333333333333333,0.5,0.34782608695652173,0.5573770491803278,0.5454545454545454,0.6666666666666666,0.5476190476190477,0.5357142857142857,0.6944444444444444,0.5851063829787234,0.6,0.7142857142857143,0.27380952380952384,0.04918032786885246,0.03571428571428571,0.2222222222222222,,21.023765996343695,0.42857142857142855,0.16666666666666666,0.1111111111111111,0.04938271604938271,0.09615384615384616,0.017543859649122806,0.10762331838565023,0.0410958904109589,0.038461538461538464,0.05405405405405406,0.0547945205479452,0.023255813953488372,0.045454545454545456,0.10638297872340426,0.15,0.1388888888888889,,0.05405405405405406,1.0,0.3333333333333333,0.6785714285714286,0.7037037037037037,0.6842105263157895,0.10714285714285714,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.5,0.5,0.5,0.10714285714285714,0.2222222222222222,0.25,1.0,0.16666666666666666,0.42857142857142855,0.42857142857142855,1.0,0.42857142857142855,0.8333333333333334,,0.21428571428571427,0.3333333333333333,1.0,0.3888888888888889,1.0,,,0.3333333333333333,0.5,0.6071428571428571,0.42857142857142855,0.5013589285714286,0.5253666666666666,0.4760833333333333,0.11956521739130435,0.15942028985507245,,0.16363636363636364,0.2727272727272727,8.970491803278689,24.808695652173913,0.2676348547717842,,,,1.0,,,,,,,1.0,1.0,0.043478260869565216,0.1111111111111111,,,,True,,,,
1725,1610612754,Rasho Nesterovic,Rasho Nesterovic,1725,IND,72859.0,1214,-108,2404,2410,577,762,271,4814,118,165,30.0,45.0,18,24,32.0,91,74,180,,,,,,1.0,,,,,224,436,,1.0,25,473,2633,37.0,62.0,,,7.0,81,43,97,,,5.0,91,362,86,,,58.0,1.0,,,21.0,80,29.0,109,29.0,,45.0,12.0,23.0,247,19.0,70.0,19,112,16.0,147,93,240,7.0,30,24.0,6,33,9.0,27,30,3.0,6.0,4.0,63,2.0,16.0,110,171,15.0,9.0,50,4.0,9.0,32,4.0,,17.0,,1.0,38,,27,,10.0,38,19.0,,91,577,14.0,1.0,0.8080357142857143,0.9282051282051282,,,,,,0.5137614678899083,0.5967741935483871,0.44329896907216493,0.5125858123569794,0.5967741935483871,0.44329896907216493,0.524390243902439,0.6136363636363636,0.455,0.002288329519450801,0.0481651376146789,0.06060606060606061,0.12087912087912088,,18.88317413666422,0.5238095238095238,0.16,0.12933025404157045,0.08235294117647059,0.07851239669421488,0.07063197026022305,0.11823104693140794,0.07953529937444147,0.09225092250922509,0.11004784688995216,0.05945945945945946,0.06511627906976744,0.11983471074380166,0.16371681415929204,0.11557788944723618,0.07453416149068323,0.08641975308641975,0.03684210526315789,0.5,0.37757437070938216,0.7151515151515152,0.7612903225806451,0.7203389830508474,0.20823798627002288,0.3516483516483517,0.4,0.8125,0.41189931350114417,0.4111111111111111,0.4111111111111111,0.9459459459459459,,,,,0.002288329519450801,,,,0.7258064516129032,0.6666666666666666,0.06666666666666667,,,,0.24742268041237114,0.75,,,,,0.37986270022883295,,0.4791011467889908,0.5364333333333334,0.4549443298969074,0.03777777777777778,0.0378619153674833,,0.17124735729386892,0.19238900634249473,9.534633027522935,63.5,0.24001663893510816,,,4.0,,,1.0,0.09302325581395349,,,,,9.0,,,4.0,0.09259259259259259,,True,,,,
1766,1610612754,Maceo Baston,Maceo Baston,1766,IND,4793.0,80,-8,154,156,56,68,19,310,3,11,2.0,4.0,2,4,3.0,4,1,4,,,,,,1.0,,,,1.0,7,19,,1.0,6,20,172,2.0,4.0,,,2.0,6,3,7,,1.0,4.0,10,10,4,,,2.0,1.0,,,4.0,1,2.0,3,2.0,,,,1.0,8,1.0,7.0,1,12,3.0,16,8,24,,3,2.0,1,2,,2,2,,,1.0,4,,3.0,11,15,,1.0,11,1.0,2.0,12,,,3.0,,3.0,7,,2,,4.0,7,5.0,,10,56,,3.0,0.7142857142857143,0.8333333333333334,,,,,,0.3684210526315789,0.5,0.42857142857142855,0.35,0.5,0.375,0.38461538461538464,0.5,0.4166666666666667,0.05,0.21052631578947367,0.36363636363636365,,,17.341040462427745,0.5,0.21428571428571427,0.21428571428571427,0.14583333333333334,0.07692307692307693,0.07142857142857142,0.18840579710144928,0.12903225806451613,0.1111111111111111,0.2,0.15,0.09090909090909091,0.2222222222222222,0.14285714285714285,0.25,0.1111111111111111,,,0.7142857142857143,0.55,0.2727272727272727,0.42857142857142855,0.6666666666666666,0.2,0.75,0.75,0.6666666666666666,0.2,0.25,0.25,1.0,,,,,0.05,,,,1.0,0.5,0.5,,,,0.5,0.5,,,0.125,,0.6,,0.4559684210526315,0.43065,0.4085428571428572,0.13043478260869565,0.13636363636363635,,0.3,0.5,6.215789473684212,41.7,0.36363636363636365,,,,,,1.0,,,,,,2.0,,,,,,True,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,18061.0,301,-3,589,596,158,247,69,1185,20,29,7.0,12.0,1,4,1.0,6,8,21,,,,,1.0,1.0,,,1.0,1.0,29,56,1.0,1.0,12,73,622,10.0,16.0,,,6.0,26,3,13,1.0,1.0,7.0,16,40,18,3.0,,16.0,,1.0,1.0,3.0,12,4.0,16,3.0,1.0,7.0,,5.0,36,5.0,21.0,10,47,8.0,65,27,92,1.0,8,2.0,6,8,3.0,4,8,,4.0,,16,2.0,6.0,16,35,6.0,3.0,20,3.0,2.0,18,4.0,,9.0,,2.0,11,,6,,5.0,11,8.0,,16,158,9.0,2.0,0.6896551724137931,0.9523809523809523,1.0,1.0,,1.0,1.0,0.5178571428571429,0.625,0.23076923076923078,0.5350877192982456,0.625,0.32142857142857145,0.5703125,0.6842105263157895,0.42105263157894735,0.017543859649122806,0.05357142857142857,0.034482758620689655,0.3333333333333333,,12.030075187969924,0.5,0.42105263157894735,0.20346320346320346,0.0958904109589041,0.18518518518518517,0.1282051282051282,0.2,0.10077519379844961,0.09259259259259259,0.1724137931034483,0.056074766355140186,0.15151515151515152,0.23333333333333334,0.21311475409836064,0.18181818181818182,0.15789473684210525,0.25,0.041666666666666664,0.7272727272727273,0.5087719298245614,0.6896551724137931,0.7142857142857143,0.6,0.10526315789473684,0.16666666666666666,0.25,,0.3684210526315789,0.38095238095238093,0.38095238095238093,1.0,,,,,0.017543859649122806,1.0,1.0,1.0,0.75,0.5833333333333334,,,,,0.2857142857142857,0.25,,,0.07142857142857142,1.0,0.5263157894736842,1.0,0.494440350877193,0.5299071428571428,0.4445357142857143,0.14516129032258066,0.14754098360655737,,0.3561643835616438,0.2191780821917808,8.103571428571428,24.8,0.26825127334465193,,,1.0,,,,0.1111111111111111,,,,,5.0,,,2.0,,,True,,,,
201177,1610612754,Josh McRoberts,Josh McRoberts,201177,IND,4695.0,78,-34,153,151,42,71,18,304,6,11,2.0,3.0,2,4,2.0,3,2,5,,,,,,,,,,,10,19,,,4,24,191,2.0,3.0,,,2.0,6,2,5,,,,4,16,4,,,4.0,,,,3.0,4,3.0,7,2.0,1.0,4.0,,,17,2.0,5.0,2,7,1.0,10,7,17,1.0,2,1.0,1,1,,1,1,,,,2,,1.0,5,15,3.0,,4,1.0,,6,,,3.0,,,3,,3,,,3,1.0,1.0,4,42,5.0,,0.8,1.0,,,,,,0.5263157894736842,0.6666666666666666,0.4,0.5263157894736842,0.6666666666666666,0.4,0.5454545454545454,0.6,0.3333333333333333,,0.15789473684210525,0.2727272727272727,,,13.636363636363637,0.5,0.125,0.1346153846153846,0.09803921568627451,0.14285714285714285,0.1,0.13636363636363635,0.09859154929577464,0.07142857142857142,0.1111111111111111,0.10714285714285714,0.15384615384615385,0.2,0.07142857142857142,0.14285714285714285,0.1111111111111111,0.2,0.16666666666666666,0.3333333333333333,0.5789473684210527,0.5454545454545454,0.75,0.6666666666666666,0.15789473684210525,0.6666666666666666,0.6666666666666666,1.0,0.2631578947368421,0.4,0.4,1.0,,,,,,,,,1.0,0.6666666666666666,,,,,0.8,0.5,,,,,0.5789473684210527,,0.516078947368421,0.6672,0.4825399999999999,0.13636363636363635,0.13636363636363635,,0.25,0.16666666666666666,6.6947368421052635,,0.27450980392156865,,,,,,,,,,,,,,,1.0,,,True,,,,
201575,1610612754,Brandon Rush,Brandon Rush,201575,IND,31536.0,526,-130,1034,1029,291,414,111,2063,20,42,3.0,7.0,8,15,4.0,25,26,51,11.0,21.0,3.0,6.0,12.0,40.0,3.0,5.0,2.0,9.0,50,118,23.0,61.0,14,183,1169,6.0,14.0,3.0,5.0,1.0,22,15,35,5.0,15.0,4.0,49,48,52,69.0,,2.0,1.0,39.0,12.0,7.0,16,7.0,23,6.0,1.0,7.0,3.0,6.0,53,2.0,9.0,12,38,12.0,62,11,73,2.0,11,5.0,6,14,,8,13,3.0,6.0,3.0,27,1.0,7.0,23,38,1.0,4.0,25,,2.0,25,3.0,,13.0,,1.0,15,,10,,3.0,15,7.0,,49,291,1.0,1.0,0.48,0.4897959183673469,1.0,0.3770491803278688,0.6,0.3333333333333333,0.38333333333333336,0.423728813559322,0.42857142857142855,0.42857142857142855,0.4720670391061452,0.5526315789473685,0.45,0.48157894736842105,0.5789473684210527,0.4537037037037037,0.3407821229050279,0.059322033898305086,0.11904761904761904,0.08,,18.771626297577853,0.5185185185185185,0.25,0.0979381443298969,0.02459016393442623,0.1188118811881188,0.017391304347826087,0.10224948875255624,0.02286902286902287,0.0297029702970297,0.021052631578947368,0.023529411764705882,0.021739130434782608,0.08108108108108109,0.06306306306306306,0.13253012048192772,0.11940298507462686,0.11764705882352941,0.020618556701030927,0.4666666666666667,0.2346368715083799,0.47619047619047616,0.5405405405405406,0.35,0.13966480446927373,0.16,0.17391304347826086,0.5,0.2849162011173184,0.5098039215686274,0.5098039215686274,0.5769230769230769,0.11731843575418995,0.5238095238095238,0.5238095238095238,1.0,0.22346368715083798,0.3,0.3,1.0,0.3684210526315789,0.42857142857142855,0.3333333333333333,0.2631578947368421,0.6,1.0,0.3,0.5333333333333333,0.12,0.5,0.18,0.2222222222222222,0.5754189944134078,0.3076923076923077,0.5042426966292136,0.48751666666666676,0.4992224489795918,0.06878306878306878,0.1015625,,0.12021857923497267,0.2677595628415301,10.231355932203389,25.850819672131152,0.281431334622824,,,,2.0,,2.0,,,,,,,,,,,,True,,,,
2211,1610612754,Troy Murphy,Troy Murphy,2211,IND,36257.0,604,-40,1195,1200,223,279,139,2395,26,43,10.0,15.0,8,8,5.0,9,13,41,1.0,5.0,,2.0,37.0,76.0,1.0,3.0,5.0,13.0,44,93,38.0,81.0,24,226,1316,11.0,21.0,1.0,4.0,4.0,29,9,13,5.0,15.0,3.0,36,50,38,114.0,,18.0,,76.0,37.0,10.0,26,16.0,42,10.0,6.0,15.0,2.0,9.0,100,9.0,28.0,31,119,21.0,171,37,208,5.0,14,12.0,2,15,4.0,8,15,1.0,7.0,2.0,30,7.0,7.0,28,52,5.0,8.0,37,4.0,5.0,35,1.0,,16.0,,2.0,8,,6,,2.0,8,4.0,,36,223,5.0,3.0,0.5681818181818182,0.7142857142857143,1.0,0.4691358024691358,0.25,0.3333333333333333,0.4691358024691358,0.4731182795698925,0.5238095238095238,0.6923076923076923,0.5804597701149425,0.5,0.5892857142857143,0.5916230366492147,0.5178571428571429,0.5806451612903226,0.46551724137931033,0.10752688172043011,0.13953488372093023,0.2222222222222222,0.04878048780487805,16.226138032305435,0.5,0.42857142857142855,0.2853717026378897,0.0665083135391924,0.24603174603174602,0.058823529411764705,0.27624309392265195,0.06445993031358885,0.052980132450331126,0.06,0.08235294117647059,0.056451612903225805,0.226890756302521,0.32432432432432434,0.2994652406417112,0.27380952380952384,0.19047619047619047,0.06097560975609756,0.5,0.2471264367816092,0.6046511627906976,0.7027027027027027,0.5,0.05172413793103448,0.5555555555555556,0.7142857142857143,0.4,0.23563218390804597,0.3170731707317073,0.3333333333333333,0.7692307692307693,0.028735632183908046,0.2,0.2,1.0,0.4367816091954023,0.4868421052631579,0.4868421052631579,1.0,0.6,0.6666666666666666,0.1,0.12,0.3333333333333333,1.0,0.2857142857142857,1.0,0.07142857142857142,,0.4642857142857143,0.38461538461538464,0.7126436781609196,0.4868421052631579,0.5284123563218389,0.5369604166666666,0.5502660714285714,0.08465608465608465,0.14814814814814814,,0.12831858407079647,0.1592920353982301,9.51290322580645,25.319753086419755,0.18661087866108786,,1.0,,,,,,0.04,,,,3.0,,,,0.06896551724137931,,True,,,,
