EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,Clear Path Fouls,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,3SecondViolations,BlockedArc3,on,OffensiveGoaltends,HeaveMakes
101122,1610612754,Danny Granger,Danny Granger,101122,IND,145459.0,2424,69,4884,4891,1125,1266,566,9775,174,294,28.0,46.0,33,59,60.0,169.0,155.0,364.0,13.0,31.0,2.0,3.0,8.0,169.0,419.0,11.0,27.0,38.0,108.0,389,827,182.0,450.0,404,1728,5387,43.0,79,11.0,29.0,23.0,142,72,168,41.0,116.0,113.0,380,290,488,519.0,27.0,40.0,4.0,415.0,169.0,73.0,4.0,137.0,46,183,33,13.0,94.0,11.0,32.0,412,9.0,39.0,1.0,65,194,33.0,292,49,341,11.0,69,40.0,29.0,86,17.0,52,79.0,9.0,34.0,4.0,17.0,165,14.0,37.0,101,207,10.0,24.0,330,3.0,14.0,460,39.0,2.0,22.0,192.0,11.0,32.0,96,1.0,81,1.0,3.0,12.0,97,56.0,5.0,380,1125,33.0,28.0,0.37275064267352187,0.39295392953929537,0.9505494505494505,0.40444444444444444,0.3793103448275862,0.35344827586206895,0.4080717488789238,0.4703748488512696,0.5443037974683544,0.42857142857142855,0.5184025058731402,0.5509259259259259,0.47007042253521125,0.5798776342624066,0.597457627118644,0.5453216374269005,0.3523884103367267,0.008888888888888889,0.08827085852478839,0.16326530612244897,0.11242603550295859,0.016483516483516484,0.00954653937947494,29.44144144144144,0.5212121212121212,0.20754716981132076,0.009259259259259259,0.11644657863145258,0.0234093637454982,0.11403508771929824,0.013888888888888888,0.11583184257602862,0.020743301642178046,0.04778156996587031,0.019230769230769232,0.004518072289156626,0.01486988847583643,0.00909090909090909,0.09603340292275574,0.13157894736842105,0.12093628088426528,0.1008174386920981,0.13793103448275862,0.017770597738287562,0.5773195876288659,0.23022709475332812,0.5918367346938775,0.7073170731707317,0.3620689655172414,0.13234142521534847,0.35502958579881655,0.4,0.2,0.2850430696945967,0.4258241758241758,0.4329608938547486,0.45161290322580644,0.02427564604541895,0.41935483870967744,0.41935483870967744,1.0,0.32811276429130776,0.4033412887828162,0.4072289156626506,0.9467455621301775,0.42592592592592593,0.6086956521739131,0.14285714285714285,0.018518518518518517,0.25,0.4074074074074074,0.9090909090909091,0.20774647887323944,0.559322033898305,0.028169014084507043,0.375,0.38028169014084506,0.35185185185185186,0.5826155050900548,0.4072289156626506,0.5001982717989003,0.5197071428571429,0.47769982142857137,0.14107018763029883,0.19591836734693877,0.023965141612200435,0.08217592592592593,0.2199074074074074,10.415719467956466,25.65,0.23034398034398035,,,,,,,,,True,,
101127,1610612754,Jarrett Jack,Jarrett Jack,101127,IND,94351.0,1573,58,3191,3202,794,913,352,6393,67,124,3.0,9.0,26,47,43.0,88.0,55.0,121.0,14.0,41.0,2.0,6.0,13.0,28.0,77.0,3.0,8.0,7.0,24.0,165,333,42.0,118.0,109,565,3547,11.0,30,4.0,10.0,8.0,42,45,85,13.0,37.0,44.0,173,90,240,117.0,9.0,4.0,,77.0,28.0,20.0,,124.0,77,201,67,10.0,68.0,17.0,39.0,479,10.0,17.0,,38,96,4.0,138,27,165,2.0,47,22.0,25.0,61,8.0,43,38.0,8.0,18.0,4.0,9.0,99,5.0,23.0,51,114,,9.0,102,1.0,13.0,125,11.0,,2.0,46.0,1.0,20.0,6,,1,,3.0,2.0,6,3.0,,173,794,24.0,18.0,0.2727272727272727,0.27607361963190186,0.9285714285714286,0.3559322033898305,0.4,0.35135135135135137,0.3559322033898305,0.4954954954954955,0.36666666666666664,0.5294117647058824,0.5055432372505543,0.425,0.5286885245901639,0.5552268244575936,0.4666666666666667,0.589041095890411,0.2616407982261641,,0.06006006006006006,0.12903225806451613,0.045454545454545456,,,16.7590027700831,0.6161616161616161,0.038834951456310676,,0.0886426592797784,0.015977443609022556,0.10187667560321716,0.02320185614849188,0.09203296703296704,0.018060200668896322,0.023936170212765957,0.01107011070110701,0.011990407673860911,0.027777777777777776,,0.04716981132075472,0.08455882352941177,0.11764705882352941,0.09795918367346938,0.109375,0.009174311926605505,0.5,0.2749445676274945,0.5403225806451613,0.6203703703703703,0.34328358208955223,0.1951219512195122,0.48863636363636365,0.5119047619047619,0.18604651162790697,0.2682926829268293,0.45454545454545453,0.45454545454545453,0.2545454545454545,0.09090909090909091,0.34146341463414637,0.34146341463414637,1.0,0.17073170731707318,0.36363636363636365,0.36363636363636365,0.8928571428571429,0.225,0.3333333333333333,0.3333333333333333,0.05,0.2,0.375,0.6666666666666666,0.38524590163934425,0.5531914893617021,0.10655737704918032,0.46153846153846156,0.19672131147540983,0.2916666666666667,0.5365853658536586,0.36363636363636365,0.4997870535714286,0.46633382352941183,0.5105810924369748,0.09650924024640657,0.125,0.008403361344537815,0.0743362831858407,0.30619469026548674,9.40960960960961,25.402542372881353,0.24882481980570353,1.0,1.0,1.0,0.5,1.0,,,,True,,
101143,1610612754,Travis Diener,Travis Diener,101143,IND,18176.0,303,47,611,596,182,213,69,1207,6,6,,,3,3,,3.0,2.0,11.0,2.0,4.0,,2.0,3.0,15.0,43.0,2.0,5.0,7.0,17.0,8,20,17.0,47.0,3,70,669,,1,2.0,5.0,2.0,8,5,7,9.0,20.0,3.0,40,2,14,33.0,18.0,,2.0,41.0,15.0,,,28.0,29,57,19,10.0,13.0,5.0,10.0,143,4.0,,,10,25,1.0,36,4,40,1.0,6,,6.0,3,,3,2.0,,,1.0,1.0,5,,1.0,3,13,,,6,,,4,,,,,,2.0,3,,2,,1.0,,3,2.0,,40,182,2.0,2.0,0.125,0.125,0.6470588235294118,0.3617021276595745,0.4,0.45,0.37777777777777777,0.4,,0.7142857142857143,0.5,0.5,0.6851851851851852,0.5072463768115942,0.5714285714285714,0.6896551724137931,0.7014925373134329,,,,,,,10.709117221418234,0.6,0.05263157894736842,,0.11312217194570136,,0.13157894736842105,0.037383177570093455,0.11784511784511785,0.014492753623188406,,,,0.041666666666666664,,0.09876543209876543,0.09090909090909091,0.1411764705882353,0.11538461538461539,0.16666666666666666,0.025,0.6666666666666666,0.08955223880597014,1.0,1.0,0.16666666666666666,0.04477611940298507,,,,0.16417910447761194,0.18181818181818182,0.18181818181818182,,0.05970149253731343,0.5,0.5,1.0,0.6417910447761194,0.3488372093023256,0.3488372093023256,0.6,,,,,0.8333333333333334,0.4,0.5,0.1111111111111111,1.0,0.1111111111111111,0.6666666666666666,0.6296296296296297,0.4117647058823529,0.7910447761194029,0.36585365853658536,0.5078692307692307,0.514425,0.498052,,,,0.11428571428571428,0.5714285714285714,11.440000000000001,26.504255319148943,0.2978723404255319,,,,,,,,,True,,
101211,1610612754,Stephen Graham,Stephen Graham,101211,IND,18464.0,308,-5,627,636,119,176,75,1263,22,36,6.0,8.0,5,8,3.0,11.0,12.0,35.0,2.0,7.0,,,,3.0,9.0,,,1.0,3.0,37,82,5.0,16.0,18,107,696,8.0,16,,,5.0,21,6,14,1.0,3.0,5.0,20,48,26,15.0,,8.0,,9.0,3.0,8.0,2.0,7.0,3,10,3,,2.0,,5.0,23,6.0,6.0,,9,22,,31,12,43,1.0,6,3.0,3.0,7,4.0,4,11.0,1.0,3.0,,1.0,18,,5.0,12,31,3.0,4.0,19,1.0,,26,2.0,,,12.0,,2.0,3,,3,,,,3,,,20,119,1.0,2.0,0.6486486486486487,0.7272727272727273,1.0,0.3125,,0.3333333333333333,0.3125,0.45121951219512196,0.5,0.42857142857142855,0.45408163265306123,0.5,0.4411764705882353,0.4863636363636364,0.5833333333333334,0.5,0.16326530612244897,0.125,0.0975609756097561,0.1388888888888889,0.18181818181818182,0.02857142857142857,0.1111111111111111,17.952314165497896,0.3888888888888889,,,0.10138248847926268,0.027149321266968326,0.125,0.06976744186046512,0.10726643598615918,0.03908794788273615,0.02857142857142857,0.038461538461538464,0.020202020202020204,0.07792207792207792,,0.03225806451612903,0.10294117647058823,0.14942528735632185,0.07692307692307693,0.18181818181818182,0.021739130434782608,,0.3673469387755102,0.6111111111111112,0.7096774193548387,0.6818181818181818,0.11224489795918367,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.34285714285714286,0.35294117647058826,0.6666666666666666,0.07142857142857142,0.2857142857142857,0.3333333333333333,1.0,0.09183673469387756,0.3333333333333333,0.375,1.0,0.5,0.75,0.16666666666666666,,,,,0.47058823529411764,0.625,,,0.17647058823529413,0.3333333333333333,0.5306122448979592,0.3333333333333333,0.4866076530612245,0.4542916666666666,0.4915382352941176,0.1111111111111111,0.13043478260869565,,0.19626168224299065,0.18691588785046728,9.60609756097561,24.79375,0.189792663476874,,,,,,0.14285714285714285,,,True,,
1725,1610612754,Rasho Nesterovic,Rasho Nesterovic,1725,IND,40119.0,669,-6,1330,1332,238,261,148,2662,70,103,15.0,25.0,11,15,17.0,51.0,40.0,89.0,,,,,,,1.0,,,,,127,243,,1.0,12,266,1462,18.0,33,,,3.0,39,20,42,,,4.0,44,206,48,,,30.0,1.0,,,14.0,,47.0,25,72,25,,30.0,7.0,10.0,169,14.0,40.0,,11,65,9.0,85,54,139,5.0,17,13.0,4.0,23,3.0,20,18.0,2.0,3.0,,2.0,41,,6.0,61,97,6.0,7.0,32,2.0,5.0,18,2.0,,,9.0,,1.0,22,,17,,,5.0,22,12.0,,44,238,6.0,1.0,0.8110236220472441,0.9196428571428571,,,,,,0.522633744855967,0.5454545454545454,0.47619047619047616,0.5204918032786885,0.5454545454545454,0.47619047619047616,0.5277777777777778,0.5571428571428572,0.4888888888888889,0.004098360655737705,,0.05761316872427984,0.06796116504854369,0.13725490196078433,,,19.42970822281167,0.5609756097560976,0.17307692307692307,,0.13598326359832635,0.0847457627118644,0.08396946564885496,0.0915032679738562,0.12479474548440066,0.0864,0.0875,0.11428571428571428,0.06763285024154589,0.09230769230769231,0.08695652173913043,0.13076923076923078,0.16822429906542055,0.12448132780082988,0.08139534883720931,0.08888888888888889,0.049019607843137254,0.5454545454545454,0.42213114754098363,0.6796116504854369,0.7291666666666666,0.7571428571428571,0.20901639344262296,0.3333333333333333,0.38636363636363635,0.7647058823529411,0.36475409836065575,0.449438202247191,0.449438202247191,0.925,,,,,0.004098360655737705,,,,0.7575757575757576,0.6,0.06666666666666667,,,,,0.35714285714285715,0.7333333333333333,,,,,0.4262295081967213,,0.4923954732510288,0.546203125,0.4694714285714286,0.035856573705179286,0.036,,0.14661654135338345,0.16541353383458646,8.75925925925926,63.5,0.17894736842105263,,,5.0,,,,3.0,,True,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,64508.0,1075,136,2136,2131,513,624,268,4267,84,142,27.0,59.0,13,25,8.0,19.0,14.0,43.0,,,,,,,2.0,,,,2.0,106,204,,2.0,57,269,2266,29.0,63,,,20.0,78,20,43,,2.0,13.0,53,148,64,,,42.0,,2.0,,13.0,,61.0,29,90,27,2.0,26.0,4.0,31.0,209,31.0,93.0,3.0,28,120,16.0,164,127,291,3.0,30,12.0,18.0,30,3.0,19,24.0,2.0,11.0,,4.0,54,5.0,15.0,75,131,16.0,9.0,99,10.0,21.0,87,9.0,,,40.0,,8.0,29,,12,,1.0,16.0,29,17.0,,53,513,10.0,7.0,0.6981132075471698,0.8705882352941177,,,,,,0.5196078431372549,0.4603174603174603,0.46511627906976744,0.5145631067961165,0.4603174603174603,0.4444444444444444,0.5489795918367347,0.52,0.5,0.009708737864077669,,0.06372549019607843,0.08450704225352113,0.05263157894736842,,,12.173202614379084,0.5555555555555556,0.25,0.05454545454545454,0.16238159675236807,0.12449799196787148,0.10810810810810811,0.11610486891385768,0.14829659318637275,0.1222879684418146,0.15748031496062992,0.13186813186813187,0.0932475884244373,0.10599078341013825,0.16,0.19117647058823528,0.17553191489361702,0.138328530259366,0.12650602409638553,0.07526881720430108,0.034482758620689655,0.5862068965517241,0.6893203883495146,0.5915492957746479,0.6461538461538462,0.6666666666666666,0.09223300970873786,0.42105263157894735,0.4444444444444444,0.625,0.2087378640776699,0.32558139534883723,0.32558139534883723,0.9285714285714286,,,,,0.009708737864077669,,,,0.9365079365079365,0.4576271186440678,0.14814814814814814,,,,,0.5555555555555556,0.52,,,0.044444444444444446,,0.6990291262135923,,0.5306757281553397,0.5595537037037036,0.49672666666666665,0.16877637130801687,0.1702127659574468,,0.2899628252788104,0.1970260223048327,5.558823529411764,25.7,0.2401685393258427,,,6.0,,,,5.0,,True,,
201579,1610612754,Roy Hibbert,Roy Hibbert,201579,IND,32410.0,540,-8,1107,1101,158,166,130,2208,71,137,28.0,52.0,12,19,38.0,86.0,8.0,19.0,,,,,,,,,,,,117,242,,,53,287,1234,34.0,60,,,4.0,72,19,31,,,10.0,48,126,108,,,46.0,,,,34.0,,22.0,7,29,7,,13.0,1.0,8.0,65,9.0,53.0,1.0,11,49,6.0,66,63,129,11.0,12,10.0,2.0,12,2.0,8,15.0,2.0,4.0,,2.0,27,1.0,7.0,98,122,4.0,6.0,74,7.0,5.0,81,15.0,,,46.0,,2.0,40,,25,,2.0,13.0,40,26.0,5.0,48,158,2.0,1.0,0.5384615384615384,0.6702127659574468,,,,,,0.4834710743801653,0.5666666666666667,0.6129032258064516,0.4834710743801653,0.5666666666666667,0.6129032258064516,0.5218181818181818,0.5714285714285714,0.631578947368421,,,0.14049586776859505,0.19708029197080293,0.08139534883720931,,,24.06374501992032,0.4444444444444444,0.15384615384615385,0.034482758620689655,0.12311557788944724,0.1295843520782396,0.09649122807017543,0.07627118644067797,0.1171875,0.11764705882352941,0.14965986394557823,0.1565217391304348,0.08843537414965986,0.08,0.05555555555555555,0.14414414414414414,0.125,0.1099476439790576,0.08571428571428572,0.11363636363636363,0.12222222222222222,0.65,0.5661157024793388,0.5182481751824818,0.6454545454545455,0.5633802816901409,0.35537190082644626,0.4418604651162791,0.4810126582278481,0.4473684210526316,0.07851239669421488,0.42105263157894735,0.42105263157894735,0.75,,,,,,,,,0.8666666666666667,0.5384615384615384,0.10714285714285714,,,,,0.6129032258064516,0.631578947368421,,,,,0.5661157024793388,,0.5104301652892562,0.5542,0.5148290322580645,0.1684981684981685,0.1684981684981685,,0.2508710801393728,0.1672473867595819,4.773553719008265,,0.14272809394760613,,,5.0,,,,2.0,,True,,
2211,1610612754,Troy Murphy,Troy Murphy,2211,IND,98379.0,1640,-6,3282,3302,695,705,390,6584,78,124,23.0,42.0,20,31,12.0,31.0,45.0,114.0,4.0,12.0,3.0,,3.0,94.0,201.0,4.0,9.0,13.0,31.0,135,269,98.0,213.0,89,653,3678,31.0,60,6.0,12.0,16.0,96,31,56,13.0,34.0,26.0,127,154,116,294.0,,38.0,,201.0,94.0,28.0,2.0,76.0,45,121,40,5.0,38.0,12.0,26.0,287,30.0,68.0,3.0,98,312,51.0,461,101,562,15.0,39,35.0,4.0,45,2.0,33,27.0,4.0,12.0,2.0,7.0,72,11.0,11.0,88,154,9.0,11.0,103,8.0,7.0,113,9.0,,,49.0,,12.0,19,,13,,,6.0,19,12.0,1.0,127,695,12.0,12.0,0.5703703703703704,0.6637931034482759,1.0,0.460093896713615,0.5,0.38235294117647056,0.460093896713615,0.5018587360594795,0.5166666666666667,0.5535714285714286,0.5850622406639004,0.5555555555555556,0.5611111111111111,0.6114232209737828,0.5853658536585366,0.5879629629629629,0.44190871369294604,0.009389671361502348,0.10408921933085502,0.13709677419354838,0.2903225806451613,0.017543859649122806,0.009950248756218905,16.216216216216218,0.625,0.49038461538461536,0.046153846153846156,0.2905027932960894,0.06115107913669065,0.2481012658227848,0.0650759219088937,0.27910142954390743,0.062301335028607754,0.07049608355091384,0.052083333333333336,0.05895691609977324,0.059431524547803614,0.0945945945945946,0.24324324324324326,0.2835820895522388,0.3215686274509804,0.25984251968503935,0.22695035460992907,0.06880733944954129,0.631578947368421,0.2572614107883817,0.6290322580645161,0.7289719626168224,0.5,0.06431535269709543,0.3870967741935484,0.5454545454545454,0.5,0.23651452282157676,0.39473684210526316,0.4017857142857143,0.7111111111111111,0.024896265560165973,0.3333333333333333,0.3333333333333333,1.0,0.4170124481327801,0.46766169154228854,0.4723618090452261,1.0,0.5833333333333334,0.5476190476190477,0.17391304347826086,0.041666666666666664,0.125,0.4444444444444444,1.0,0.34444444444444444,0.6451612903225806,0.03333333333333333,,0.34444444444444444,0.41935483870967744,0.6991701244813278,0.46766169154228854,0.5289288381742737,0.5447336363636364,0.5197661111111112,0.09386973180076628,0.15857605177993528,,0.14701378254211334,0.19448698315467075,9.237546468401487,25.47276995305164,0.2117611212675198,2.0,1.0,4.0,0.6666666666666666,1.0,,,,True,,
1766,1610612754,Maceo Baston,Maceo Baston,1766,IND,3013.0,50,19,103,109,24,38,9,212,8,11,2.0,3.0,2,4,,,,,,,,,,,,,,,,8,11,,,5,21,103,2.0,3,,,2.0,6,2,4,,,2.0,6,10,6,,,4.0,,,,1.0,,,1,1,1,,,,,3,,4.0,,1,6,1.0,8,4,12,,2,,2.0,2,,1,,,1.0,,,2,,,2,7,,,9,1.0,5.0,6,,,,2.0,,1.0,1,,1,,,,1,1.0,,6,24,2.0,1.0,0.625,0.8333333333333334,,,,,,0.7272727272727273,0.6666666666666666,0.5,0.7272727272727273,0.6666666666666666,0.5,0.75,0.75,0.6,,,0.09090909090909091,0.09090909090909091,,,,14.285714285714285,1.0,0.2,,0.16666666666666666,0.14814814814814814,0.05,,0.125,0.10526315789473684,0.16666666666666666,0.16666666666666666,0.1111111111111111,,,0.07142857142857142,,0.4166666666666667,0.07142857142857142,,,1.0,1.0,0.7272727272727273,0.8,0.625,,,,,,,,,,,,,,,,,1.0,0.6666666666666666,,,,,,1.0,0.5,,,,,1.0,,0.4987818181818181,0.39840000000000003,0.46185,0.15384615384615385,0.15384615384615385,,0.2857142857142857,0.2857142857142857,2.1636363636363636,,0.23300970873786409,,,1.0,,,,,,True,,
201177,1610612754,Josh McRoberts,Josh McRoberts,201177,IND,7220.0,120,17,244,239,48,42,30,483,8,20,4.0,12.0,2,6,1.0,3.0,5.0,9.0,,,,,,,1.0,,,,,14,32,,1.0,2,30,258,4.0,12,,,,8,4,8,,,,8,16,12,,,6.0,,1.0,,3.0,,3.0,2,5,2,,3.0,,,12,2.0,12.0,,1,12,1.0,14,14,28,1.0,6,5.0,1.0,4,,4,2.0,,,,1.0,6,,2.0,4,17,7.0,,4,1.0,,3,1.0,,,2.0,,,7,,6,,,1.0,7,2.0,,8,48,3.0,,0.5714285714285714,0.7272727272727273,,,,,,0.4375,0.3333333333333333,0.5,0.42424242424242425,0.3333333333333333,0.5,0.4411764705882353,0.3333333333333333,0.5,0.030303030303030304,,0.09375,0.15,,,,14.134275618374557,0.6666666666666666,0.2,,0.1348314606741573,0.13636363636363635,0.041666666666666664,0.07692307692307693,0.11504424778761062,0.12280701754385964,0.16216216216216217,0.13333333333333333,0.1111111111111111,0.1,,0.10714285714285714,0.15,0.14634146341463414,0.07142857142857142,,0.0625,0.2857142857142857,0.6060606060606061,0.4,0.47058823529411764,0.375,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,0.2727272727272727,0.5555555555555556,0.5555555555555556,0.8,,,,,0.030303030303030304,,,,1.0,0.3333333333333333,,,,,,0.75,0.3333333333333333,,,,,0.6363636363636364,,0.5180530303030303,0.5524199999999999,0.493475,0.058823529411764705,0.06060606060606061,,0.26666666666666666,0.26666666666666666,6.781250000000001,24.8,0.19672131147540983,,,,,,,1.0,,True,,
