EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,HeaveAttempts,AtRimAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,Technical Free Throw Trips,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,on
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,17799.0,297,-13,571,565,234,163,72,1136,30.0,44.0,9.0,16.0,15.0,21.0,12.0,21.0,2.0,5.0,1.0,1.0,1.0,1.0,44.0,70,1.0,1.0,10.0,101.0,573,9.0,20.0,3.0,21.0,19.0,32.0,1.0,1.0,1.0,42.0,60.0,28.0,3.0,14.0,1.0,1.0,8.0,4.0,2.0,6.0,1.0,1.0,1.0,3.0,14.0,9.0,23.0,1.0,17.0,55.0,5.0,77.0,33.0,110.0,2.0,6.0,6.0,2.0,2.0,8.0,1.0,1.0,10.0,2.0,6.0,29.0,43.0,4.0,4.0,23.0,5.0,5.0,16.0,6.0,11.0,15.0,15.0,15.0,8.0,1.0,1.0,42.0,234,1.0,1.0,0.6818181818181818,0.8108108108108109,1.0,1.0,1.0,1.0,0.6285714285714286,0.45,0.59375,0.6408450704225352,0.45,0.6212121212121212,0.6644736842105263,0.5,0.6363636363636364,0.014084507042253521,0.11428571428571428,0.18181818181818182,13.030303030303031,0.2,0.29411764705882354,0.045454545454545456,0.26066350710900477,0.116751269035533,0.3090909090909091,0.09574468085106383,0.2706766917293233,0.10996563573883161,0.16129032258064516,0.09433962264150944,0.0975609756097561,0.06557377049180328,0.15151515151515152,0.1896551724137931,0.296875,0.2808988764044944,0.2972972972972973,0.3333333333333333,0.1111111111111111,0.5333333333333333,0.6197183098591549,0.6818181818181818,0.8333333333333334,0.7,0.29577464788732394,0.5714285714285714,0.5714285714285714,0.5833333333333334,0.07042253521126761,0.4,0.4,1.0,0.014084507042253521,1.0,1.0,1.0,0.8,0.5625,0.2222222222222222,0.6363636363636364,0.7142857142857143,0.030303030303030304,1.0,0.6338028169014085,1.0,0.5062309859154931,0.5356470588235294,0.5068787878787879,0.14473684210526316,0.14666666666666667,0.2079207920792079,0.4158415841584158,4.040000000000001,25.6,0.4098073555166375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,26357.0,439,40,826,834,307,214,86,1660,21.0,32.0,5.0,12.0,9.0,15.0,9.0,26.0,26.0,62.0,1.0,3.0,1.0,3.0,56.0,120,2.0,5.0,26.0,144.0,831,12.0,23.0,5.0,29.0,22.0,48.0,2.0,5.0,10.0,60.0,78.0,34.0,6.0,14.0,2.0,1.0,2.0,10.0,4.0,14.0,2.0,2.0,1.0,3.0,32.0,11.0,18.0,1.0,14.0,55.0,7.0,76.0,30.0,106.0,4.0,10.0,6.0,9.0,3.0,6.0,,2.0,15.0,3.0,7.0,34.0,41.0,,,30.0,4.0,,38.0,4.0,15.0,9.0,6.0,9.0,6.0,,2.0,60.0,307,1.0,5.0,0.6964285714285714,0.7959183673469388,1.0,0.4,0.4,0.5,0.4666666666666667,0.5217391304347826,0.4583333333333333,0.472,0.5217391304347826,0.4716981132075472,0.5070422535211268,0.5178571428571429,0.5,0.04,0.016666666666666666,0.03125,16.89989235737352,0.6,0.30434782608695654,0.022222222222222223,0.1774193548387097,0.06818181818181818,0.14432989690721648,0.1,0.16953316953316952,0.07754010695187166,0.039473684210526314,0.1518987341772152,0.027522935779816515,0.08196721311475409,0.12244897959183673,0.17391304347826086,0.2235294117647059,0.15037593984962405,0.17142857142857143,0.07407407407407407,0.06349206349206349,0.6666666666666666,0.256,0.65625,0.6774193548387096,0.6190476190476191,0.208,0.34615384615384615,0.36,0.4444444444444444,0.496,0.41935483870967744,0.41935483870967744,0.8461538461538461,0.024,0.3333333333333333,0.3333333333333333,1.0,0.5217391304347826,0.4166666666666667,,0.2830188679245283,0.6,0.05660377358490566,0.3333333333333333,0.296,0.5,0.4503068548387096,0.47764375000000003,0.4576240384615385,0.11029411764705882,0.11450381679389313,0.2013888888888889,0.4166666666666667,11.615,34.46,0.37167070217917675,1.0,2.0,1.0,2.0,1.0,6.0,4.0,1.0,6.0,1.0,6.0,1.0,2.0,1.0,0.038461538461538464,0.016,0.5,0.5,1.0,0.03773584905660377,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1533,1610612753,Anthony Johnson,Anthony Johnson,1533,ORL,39892.0,665,12,1253,1259,406,232,146,2512,13.0,27.0,,2.0,1.0,5.0,19.0,42.0,16.0,47.0,20.0,43.0,7.0,12.0,48.0,116,25.0,60.0,35.0,206.0,1321,5.0,16.0,6.0,22.0,11.0,37.0,8.0,17.0,14.0,60.0,24.0,72.0,57.0,,43.0,20.0,11.0,53.0,42.0,95.0,23.0,19.0,13.0,11.0,232.0,5.0,5.0,,15.0,41.0,1.0,57.0,10.0,67.0,4.0,22.0,13.0,25.0,20.0,21.0,4.0,4.0,46.0,1.0,11.0,20.0,48.0,,4.0,40.0,,3.0,46.0,1.0,17.0,1.0,,1.0,1.0,,1.0,60.0,406,4.0,6.0,0.25,0.25,0.76,0.4166666666666667,0.47058823529411764,0.4166666666666667,0.41379310344827586,0.3125,0.2972972972972973,0.48579545454545453,0.42105263157894735,0.42592592592592593,0.5176767676767676,0.5,0.46825396825396826,0.3409090909090909,0.09482758620689655,0.18518518518518517,17.098808689558513,0.5434782608695652,0.02631578947368421,,0.09111111111111111,0.012953367875647668,0.11538461538461539,0.026881720430107527,0.09655172413793103,0.017482517482517484,0.016666666666666666,,0.02158273381294964,0.02830188679245283,0.025,0.05172413793103448,0.08661417322834646,0.11594202898550725,0.10576923076923077,0.15384615384615385,0.045454545454545456,1.0,0.1534090909090909,0.48148148148148145,0.5909090909090909,0.23076923076923078,0.23863636363636365,0.4523809523809524,0.5135135135135135,0.21052631578947367,0.26704545454545453,0.3404255319148936,0.34782608695652173,0.3125,0.24431818181818182,0.46511627906976744,0.46511627906976744,0.7,0.10526315789473684,,,0.09259259259259259,0.2,0.2222222222222222,0.5833333333333334,0.4943181818181818,0.46511627906976744,0.47995399999999994,0.39415769230769226,0.4379240740740741,0.08854166666666667,0.12878787878787878,0.10679611650485436,0.2912621359223301,11.062931034482759,25.255000000000003,0.3240223463687151,5.0,17.0,1.0,5.0,,29.0,9.0,6.0,5.0,1.0,6.0,,1.0,1.0,0.11904761904761904,0.09659090909090909,0.29411764705882354,0.29411764705882354,1.0,0.09259259259259259,0.2,2.0,3.0,2.0,3.0,18.0,1.0,0.6666666666666666,0.02127659574468085,0.15789473684210525,0.6666666666666666,0.5,,,,,,,,,,,,,,,,True
1740,1610612753,Rashard Lewis,Rashard Lewis,1740,ORL,52335.0,872,176,1681,1679,519,320,187,3360,33.0,56.0,7.0,9.0,11.0,20.0,29.0,61.0,21.0,59.0,47.0,127.0,13.0,44.0,83.0,176,58.0,159.0,52.0,392.0,1701,11.0,17.0,4.0,35.0,26.0,52.0,16.0,50.0,19.0,119.0,58.0,108.0,165.0,8.0,127.0,47.0,6.0,37.0,21.0,58.0,11.0,10.0,8.0,4.0,137.0,18.0,11.0,1.0,22.0,78.0,11.0,111.0,30.0,141.0,8.0,27.0,14.0,39.0,29.0,16.0,1.0,2.0,55.0,7.0,15.0,26.0,53.0,4.0,7.0,55.0,2.0,3.0,66.0,6.0,28.0,17.0,14.0,17.0,10.0,,,119.0,519,4.0,3.0,0.3493975903614458,0.3670886075949367,0.9482758620689655,0.36477987421383645,0.32,0.36477987421383645,0.4715909090909091,0.6470588235294118,0.5,0.5074626865671642,0.5961538461538461,0.49019607843137253,0.5388888888888889,0.625,0.5272727272727272,0.4746268656716418,0.03409090909090909,0.05357142857142857,21.992580816110227,0.7090909090909091,0.22,0.014084507042253521,0.12149532710280374,0.024886877828054297,0.14102564102564102,0.061855670103092786,0.12531328320802004,0.03956343792633015,0.0457516339869281,0.0070921985815602835,0.02027027027027027,0.07291666666666667,0.04040404040404041,0.14893617021276595,0.09826589595375723,0.11743772241992882,0.1322314049586777,0.17142857142857143,0.043478260869565216,0.5882352941176471,0.16716417910447762,0.5892857142857143,0.6226415094339622,0.42424242424242425,0.18208955223880596,0.47540983606557374,0.5,0.20689655172413793,0.1761194029850746,0.3559322033898305,0.3559322033898305,0.42857142857142855,0.37910447761194027,0.3700787401574803,0.3700787401574803,0.9574468085106383,0.34615384615384615,0.7777777777777778,,0.19607843137254902,0.55,0.43137254901960786,0.29545454545454547,0.6417910447761194,0.3700787401574803,0.5120198507462687,0.49894374999999996,0.5044740196078431,0.08379888268156424,0.1414141414141414,0.08928571428571429,0.30357142857142855,9.326704545454545,24.99245283018868,0.3087447947650208,11.0,32.0,3.0,6.0,,25.0,13.0,6.0,10.0,,2.0,1.0,2.0,1.0,0.04918032786885246,0.0955223880597015,0.34375,0.34375,0.9090909090909091,0.058823529411764705,0.5,1.0,4.0,3.0,9.0,9.0,8.0,0.3333333333333333,,0.15384615384615385,0.25,1.0,2.0,5.0,1.0,2.0,0.19230769230769232,0.4,0.5,0.0125,,,,,,,,True
2554,1610612753,Mickael Pietrus,Mickael Pietrus,2554,ORL,79722.0,1329,143,2537,2545,905,568,296,5082,63.0,110.0,14.0,21.0,24.0,45.0,4.0,18.0,29.0,75.0,25.0,79.0,9.0,32.0,96.0,203,80.0,223.0,78.0,510.0,2615,16.0,29.0,4.0,51.0,33.0,72.0,23.0,79.0,33.0,168.0,122.0,70.0,219.0,16.0,78.0,25.0,16.0,42.0,23.0,65.0,15.0,8.0,5.0,11.0,153.0,17.0,27.0,,25.0,102.0,5.0,132.0,44.0,176.0,8.0,31.0,16.0,19.0,10.0,37.0,1.0,17.0,56.0,5.0,15.0,59.0,126.0,3.0,10.0,89.0,1.0,11.0,110.0,6.0,49.0,24.0,17.0,24.0,16.0,1.0,,168.0,905,12.0,7.0,0.6354166666666666,0.6931818181818182,0.9125,0.35874439461883406,0.2911392405063291,0.36036036036036034,0.4729064039408867,0.5517241379310345,0.4583333333333333,0.5070422535211268,0.5108695652173914,0.4470198675496689,0.5335429769392034,0.5102040816326531,0.48265895953757226,0.5234741784037559,0.07881773399014778,0.11818181818181818,18.526242613833855,0.3392857142857143,0.0684931506849315,,0.1068062827225131,0.0371900826446281,0.09652509652509653,0.040380047505938245,0.10461285008237232,0.03836094158674804,0.05327868852459016,0.02643171806167401,0.03137254901960784,0.04119850187265917,0.03896103896103896,0.07942238267148015,0.12260536398467432,0.11510791366906475,0.09595959595959595,0.09836065573770492,0.03524229074889868,0.6666666666666666,0.25821596244131456,0.5727272727272728,0.6494845360824743,0.6666666666666666,0.04225352112676056,0.2222222222222222,0.26666666666666666,,0.176056338028169,0.38666666666666666,0.38666666666666666,0.6551724137931034,0.18544600938967137,0.31645569620253167,0.31645569620253167,0.92,0.45652173913043476,0.6666666666666666,0.35714285714285715,0.2980132450331126,0.5333333333333333,0.2119205298013245,0.28125,0.7816901408450704,0.32051282051282054,0.547232387706856,0.5138060606060606,0.5407077181208053,0.10660980810234541,0.1991869918699187,0.1,0.32941176470588235,8.067487684729063,24.367264573991033,0.35672053606621995,55.0,144.0,14.0,47.0,1.0,26.0,15.0,3.0,9.0,5.0,8.0,1.0,6.0,2.0,0.16666666666666666,0.3380281690140845,0.3819444444444444,0.38461538461538464,0.9090909090909091,0.31125827814569534,0.2978723404255319,2.0,8.0,5.0,17.0,21.0,1.0,0.29411764705882354,,0.17391304347826086,0.25,1.0,3.0,9.0,1.0,1.0,0.1956521739130435,0.3333333333333333,0.6666666666666666,0.004484304932735426,1.0,1.0,0.004484304932735426,0.006944444444444444,,,,True
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,16461.0,274,18,532,539,210,139,64,1071,2.0,7.0,,,2.0,4.0,2.0,6.0,11.0,26.0,8.0,28.0,3.0,7.0,15.0,39,11.0,36.0,31.0,94.0,558,,3.0,2.0,5.0,7.0,15.0,6.0,13.0,8.0,40.0,14.0,16.0,30.0,,28.0,8.0,1.0,16.0,10.0,26.0,6.0,4.0,4.0,3.0,62.0,,4.0,,6.0,15.0,,21.0,4.0,25.0,,9.0,8.0,8.0,8.0,7.0,,1.0,15.0,1.0,4.0,9.0,17.0,2.0,,23.0,,3.0,33.0,1.0,11.0,,,,,,,40.0,210,5.0,2.0,0.4666666666666667,0.4666666666666667,0.9090909090909091,0.3055555555555556,0.46153846153846156,0.3055555555555556,0.38461538461538464,,0.4666666666666667,0.42,0.21428571428571427,0.5714285714285714,0.5113636363636364,0.3125,0.625,0.48,0.02564102564102564,,16.912972085385878,0.5333333333333333,,,0.07142857142857142,0.024844720496894408,0.15,,0.084,0.01652892561983471,0.017543859649122806,,0.04838709677419355,,,0.03333333333333333,0.03571428571428571,0.11702127659574468,0.14285714285714285,0.16666666666666666,,,0.09333333333333334,0.2857142857142857,0.2857142857142857,0.5,0.08,0.3333333333333333,0.3333333333333333,0.5,0.3466666666666667,0.4230769230769231,0.44,0.45454545454545453,0.37333333333333335,0.2857142857142857,0.3076923076923077,0.875,,,,0.14285714285714285,0.5,0.25,0.42857142857142855,0.5733333333333334,0.2857142857142857,0.4849146666666666,0.48787500000000006,0.49101607142857134,0.1511627906976744,0.22448979591836735,0.05319148936170213,0.425531914893617,14.51794871794872,25.294444444444444,0.39473684210526316,3.0,8.0,3.0,6.0,,9.0,1.0,1.0,,4.0,2.0,,,,,0.10666666666666667,0.375,0.375,1.0,0.21428571428571427,0.5,,2.0,1.0,4.0,3.0,4.0,0.25,0.038461538461538464,0.2857142857142857,,,1.0,2.0,1.0,2.0,0.2857142857142857,0.5,1.0,0.05405405405405406,2.0,,0.05555555555555555,,0.07142857142857142,,,True
200978,1610612753,Jeremy Richardson,Jeremy Richardson,200978,ORL,816.0,14,-15,28,26,25,16,3,54,,,,,,,1.0,2.0,1.0,2.0,,1.0,,1.0,2.0,4,,2.0,,4.0,33,,,,,2.0,4.0,,2.0,,4.0,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,4.0,25,,,,,,,,,0.5,,0.5,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,18.18181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.5,0.5,,0.3333333333333333,0.5,0.5,,0.16666666666666666,,,,,,,,,0.16666666666666666,,0.3333333333333333,,0.449025,,0.449025,,,,1.0,15.975,23.9,0.8928571428571429,,1.0,,1.0,,,,,,,,,,,,0.16666666666666666,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
201584,1610612753,Courtney Lee,Courtney Lee,201584,ORL,22396.0,373,23,730,737,361,242,87,1467,20.0,32.0,,,10.0,14.0,1.0,7.0,15.0,36.0,9.0,29.0,6.0,16.0,36.0,75,15.0,44.0,18.0,135.0,767,1.0,4.0,3.0,11.0,19.0,37.0,10.0,23.0,13.0,81.0,40.0,32.0,42.0,,29.0,9.0,4.0,8.0,6.0,14.0,6.0,,3.0,3.0,34.0,2.0,1.0,,6.0,17.0,,23.0,3.0,26.0,,13.0,10.0,10.0,7.0,4.0,1.0,,14.0,,7.0,11.0,29.0,,1.0,15.0,1.0,1.0,20.0,,6.0,,,1.0,,,,81.0,361,6.0,3.0,0.5555555555555556,0.5555555555555556,0.9333333333333333,0.3409090909090909,0.43478260869565216,0.3409090909090909,0.48,0.25,0.5135135135135135,0.49159663865546216,0.5714285714285714,0.5666666666666667,0.51953125,0.625,0.5970149253731343,0.3697478991596639,0.05333333333333334,0.09375,17.12907117008444,0.7142857142857143,,,0.06772908366533864,0.004878048780487805,0.08,0.01694915254237288,0.0705521472392638,0.009287925696594427,0.013333333333333334,,,0.024390243902439025,,0.028169014084507043,0.09090909090909091,0.07894736842105263,0.07272727272727272,0.1,,,0.2689075630252101,0.625,0.6896551724137931,0.65,0.058823529411764705,0.14285714285714285,0.14285714285714285,,0.3025210084033613,0.4166666666666667,0.42857142857142855,0.4666666666666667,0.24369747899159663,0.3103448275862069,0.3103448275862069,0.8888888888888888,,,,0.23333333333333334,0.7142857142857143,0.26666666666666666,0.375,0.6386554621848739,0.3103448275862069,0.5159920168067227,0.42562,0.49633000000000005,0.048,0.07407407407407407,0.08148148148148149,0.6,9.463999999999999,24.852272727272727,0.4945205479452055,6.0,15.0,4.0,7.0,,2.0,3.0,2.0,3.0,,3.0,,,,,0.12605042016806722,0.4,0.4,1.0,0.11666666666666667,0.5714285714285714,2.0,3.0,2.0,3.0,3.0,2.0,0.6666666666666666,0.027777777777777776,0.42857142857142855,0.6666666666666666,0.5,,,,,,,,,,,,,,1.0,1.0,True
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,38562.0,643,101,1206,1202,324,192,140,2408,35.0,66.0,1.0,4.0,9.0,21.0,9.0,32.0,14.0,46.0,25.0,72.0,4.0,20.0,58.0,144,26.0,79.0,92.0,286.0,1245,2.0,8.0,2.0,12.0,12.0,41.0,4.0,21.0,33.0,69.0,22.0,94.0,57.0,,69.0,25.0,9.0,48.0,38.0,86.0,23.0,15.0,9.0,12.0,210.0,5.0,3.0,,15.0,53.0,5.0,73.0,8.0,81.0,,19.0,11.0,28.0,20.0,24.0,4.0,3.0,52.0,6.0,19.0,29.0,56.0,3.0,3.0,78.0,1.0,1.0,107.0,11.0,48.0,4.0,3.0,4.0,2.0,,,69.0,324,7.0,8.0,0.1896551724137931,0.1896551724137931,0.7307692307692307,0.3291139240506329,0.19047619047619047,0.34210526315789475,0.4027777777777778,0.25,0.2926829268292683,0.4349775784753363,0.3333333333333333,0.2903225806451613,0.5260223048327137,0.375,0.43125,0.3542600896860987,0.0625,0.12121212121212122,23.516483516483515,0.5384615384615384,0.14705882352941177,,0.1185682326621924,0.00946372239747634,0.1056338028169014,0.022321428571428572,0.11544991511035653,0.014787430683918669,0.01818181818181818,0.009900990099009901,,0.014492753623188406,0.03488372093023256,0.104,0.11627906976744186,0.12953367875647667,0.11403508771929824,0.07142857142857142,,0.5,0.29596412556053814,0.5303030303030303,0.603448275862069,0.2571428571428571,0.14349775784753363,0.28125,0.2903225806451613,0.2222222222222222,0.2062780269058296,0.30434782608695654,0.30434782608695654,,0.32286995515695066,0.3472222222222222,0.3472222222222222,0.72,0.26666666666666666,0.25,1.0,0.3387096774193548,0.42857142857142855,0.3225806451612903,0.2,0.6502242152466368,0.36231884057971014,0.5076161363636363,0.4469785714285714,0.4934771186440678,0.18461538461538463,0.26519337016574585,0.04195804195804196,0.24125874125874125,8.207638888888887,26.76075949367089,0.26865671641791045,1.0,7.0,,1.0,3.0,27.0,8.0,9.0,8.0,1.0,9.0,,1.0,,0.03125,0.03139013452914798,0.14285714285714285,0.14285714285714285,1.0,0.016129032258064516,,2.0,6.0,2.0,7.0,21.0,4.0,0.2857142857142857,,0.4,0.3333333333333333,0.5,,1.0,,,0.06666666666666667,,,,,,,,,,,True
1731,1610612753,Tyronn Lue,Tyronn Lue,1731,ORL,2361.0,39,-23,79,77,35,21,6,156,,2.0,,,,1.0,,4.0,2.0,6.0,4.0,7.0,1.0,1.0,2.0,12,4.0,8.0,2.0,18.0,94,,1.0,,3.0,1.0,6.0,1.0,2.0,2.0,7.0,,4.0,6.0,,7.0,4.0,4.0,1.0,1.0,2.0,,1.0,,1.0,5.0,,,,2.0,2.0,,4.0,,4.0,,,,1.0,1.0,1.0,,,2.0,,1.0,1.0,6.0,,,2.0,,,2.0,,1.0,,,,,,,7.0,35,2.0,,,,0.5,0.5,0.5,0.5,0.16666666666666666,,0.16666666666666666,0.4,0.75,0.3125,0.42857142857142855,0.75,0.3888888888888889,0.4,0.3333333333333333,1.0,26.74418604651163,0.5,,,0.07407407407407407,,0.2857142857142857,,0.11764705882352941,,,,,,,,0.16666666666666666,0.1111111111111111,0.2,0.5,,,0.1,,,,0.2,,,,0.3,0.3333333333333333,0.4,,0.35,0.5714285714285714,0.5714285714285714,0.5,,,,0.125,,0.125,1.0,0.5,0.5714285714285714,0.487615,0.4869,0.479375,0.047619047619047616,0.07692307692307693,0.16666666666666666,0.3888888888888889,11.133333333333333,24.95,0.4430379746835443,,1.0,,1.0,,,,,,1.0,,,,,0.25,0.05,,,,0.125,,1.0,1.0,1.0,1.0,6.0,,1.0,0.16666666666666666,0.5,1.0,1.0,,,,,,,,,,,,,,,,True
