EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,DefensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3FGM,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,Clear Path Fouls,on
101108,1610612740,Chris Paul,Chris Paul,101108,NOH,83225.0,1387,202,2583,2558,1107.0,1010,294,5141,110.0,177.0,6.0,12.0,47.0,74.0,91.0,187,76.0,184.0,1.0,6.0,3.0,3.0,26.0,86.0,2.0,8.0,16.0,49.0,277,548,27.0,92.0,270.0,905,2694,18.0,38.0,2.0,11.0,11.0,53.0,116.0,232.0,16.0,52.0,204.0,484.0,42.0,512,48.0,33.0,8.0,1.0,85.0,26.0,27.0,2.0,235,116.0,351,59.0,57.0,134.0,34.0,67.0,818,8.0,28.0,56.0,100.0,1.0,157,36.0,193,13.0,106.0,67.0,39.0,68.0,12.0,41.0,41.0,5.0,27.0,1.0,6.0,109,3.0,41.0,21.0,96,3.0,15.0,282.0,7.0,14.0,306.0,29.0,3.0,76.0,2.0,87.0,5.0,3.0,1.0,1.0,5.0,4.0,1.0,484.0,1107.0,26.0,83.0,0.07581227436823104,0.07692307692307693,0.5925925925925926,0.29347826086956524,0.18181818181818182,0.3076923076923077,0.2967032967032967,0.5054744525547445,0.47368421052631576,0.5,0.49609375,0.42857142857142855,0.49295774647887325,0.5811855670103093,0.49074074074074076,0.6182519280205655,0.14375,0.021739130434782608,0.04927007299270073,0.11299435028248588,0.0374331550802139,0.023255813953488372,30.20157157499146,0.6238532110091743,0.01282051282051282,0.12886597938144329,0.03526448362720403,0.1382716049382716,0.02168021680216802,0.13209144792548688,0.030954428202923472,0.05078125,0.0326530612244898,0.023890784982935155,0.025423728813559324,0.015037593984962405,0.0984251968503937,0.11940298507462686,0.1588785046728972,0.1232876712328767,0.17699115044247787,0.04498269896193772,0.8,0.2765625,0.6214689265536724,0.7006369426751592,0.07272727272727272,0.2921875,0.48663101604278075,0.5055555555555555,0.06593406593406594,0.2875,0.41304347826086957,0.41304347826086957,0.09210526315789473,0.009375,0.16666666666666666,0.16666666666666666,1.0,0.134375,0.3023255813953488,0.30952380952380953,0.5769230769230769,0.24489795918367346,0.5,0.16666666666666666,0.061224489795918366,0.16326530612244897,0.25,1.0,0.2605633802816901,0.6351351351351351,0.01056338028169014,0.17253521126760563,0.32653061224489793,0.4203125,0.3058823529411765,0.4613748822605965,0.43878088235294116,0.4520667259786475,0.11320754716981132,0.12773109243697478,0.02127659574468085,0.05856353591160221,0.5348066298342542,9.300182481751827,25.94347826086956,0.42857142857142855,,,,,,,,,,,,,,,,,True
1498,1610612740,Antonio Daniels,Antonio Daniels,1498,NOH,32300.0,538,-85,954,947,135.0,150,111,1901,21.0,40.0,1.0,2.0,4.0,6.0,8.0,34,18.0,38.0,2.0,4.0,,1.0,11.0,31.0,1.0,2.0,2.0,7.0,47,112,13.0,35.0,34.0,167,1050,3.0,8.0,1.0,2.0,,9.0,10.0,19.0,3.0,8.0,12.0,41.0,10.0,84,36.0,3.0,,,31.0,11.0,6.0,,69,33.0,102,20.0,13.0,37.0,6.0,26.0,237,1.0,3.0,14.0,24.0,,38,4.0,42,1.0,18.0,12.0,6.0,24.0,3.0,17.0,15.0,3.0,7.0,,4.0,39,3.0,5.0,10.0,34,1.0,4.0,57.0,4.0,14.0,43.0,3.0,,17.0,,6.0,1.0,1.0,,,1.0,,,41.0,135.0,4.0,6.0,0.10638297872340426,0.10638297872340426,0.9230769230769231,0.37142857142857144,0.5,0.375,0.37142857142857144,0.41964285714285715,0.375,0.5263157894736842,0.4523809523809524,0.45,0.5370370370370371,0.5,0.45,0.6029411764705882,0.23809523809523808,,0.05357142857142857,0.125,0.029411764705882353,,19.162790697674417,0.6153846153846154,,0.07692307692307693,0.00909090909090909,0.14,0.0070921985815602835,0.09223300970873786,0.008492569002123142,0.01,0.008547008547008548,0.008849557522123894,0.01020408163265306,,0.12631578947368421,0.028169014084507043,0.0684931506849315,0.1267605633802817,0.1724137931034483,0.0125,,0.272108843537415,0.525,0.6,0.09523809523809523,0.23129251700680273,0.23529411764705882,0.24242424242424243,0.125,0.2585034013605442,0.47368421052631576,0.47368421052631576,0.1111111111111111,0.027210884353741496,0.5,0.5,1.0,0.2108843537414966,0.3548387096774194,0.3548387096774194,0.9090909090909091,0.2,0.5,1.0,,0.2,0.5,1.0,0.2222222222222222,0.6666666666666666,0.037037037037037035,0.25925925925925924,0.2857142857142857,0.5102040816326531,0.3548387096774194,0.4788139455782312,0.44342777777777775,0.47230925925925926,0.10559006211180125,0.1349206349206349,,0.05389221556886228,0.24550898203592814,9.313392857142857,24.997142857142855,0.14150943396226415,1.0,1.0,,,,,,,,,,,,,,,True
1752,1610612740,Sean Marks,Sean Marks,1752,NOH,31700.0,528,-81,965,957,298.0,278,110,1922,40.0,58.0,8.0,14.0,15.0,20.0,1.0,6,13.0,40.0,,5.0,,,2.0,4.0,,1.0,1.0,1.0,54,104,2.0,9.0,20.0,134,1046,9.0,18.0,,1.0,8.0,26.0,18.0,29.0,1.0,1.0,11.0,50.0,92.0,16,6.0,,12.0,,4.0,2.0,12.0,,2,6.0,8,3.0,3.0,,1.0,1.0,22,8.0,29.0,14.0,52.0,6.0,72,38.0,110,1.0,4.0,2.0,2.0,10.0,1.0,3.0,16.0,3.0,7.0,1.0,3.0,26,3.0,8.0,34.0,71,13.0,5.0,25.0,9.0,1.0,29.0,3.0,,13.0,,3.0,21.0,16.0,,5.0,21.0,8.0,2.0,50.0,298.0,7.0,3.0,0.8518518518518519,0.9583333333333334,1.0,0.2222222222222222,,1.0,0.2222222222222222,0.5192307692307693,0.5,0.6206896551724138,0.504424778761062,0.47368421052631576,0.65,0.5317460317460317,0.5652173913043478,0.6756756756756757,0.07964601769911504,,0.11538461538461539,0.1896551724137931,,,13.91941391941392,0.38461538461538464,0.23076923076923078,0.17049180327868851,0.08357348703170028,0.1308411214953271,0.057971014492753624,0.16019417475728157,0.07628865979381444,0.09900990099009901,0.06542056074766354,0.08633093525179857,0.04395604395604396,0.0851063829787234,0.1559633027522936,0.23076923076923078,0.15267175572519084,0.13414634146341464,0.12,0.022727272727272728,0.38095238095238093,0.5132743362831859,0.6896551724137931,0.851063829787234,0.8,0.05309734513274336,0.16666666666666666,0.16666666666666666,1.0,0.35398230088495575,0.325,0.3333333333333333,1.0,0.04424778761061947,,,,0.035398230088495575,0.5,0.5,1.0,0.7368421052631579,0.5714285714285714,0.25,,0.05263157894736842,,,0.6666666666666666,0.75,,0.03333333333333333,1.0,0.5929203539823009,0.5,0.4972459821428572,0.5143916666666666,0.5163816666666666,0.10569105691056911,0.11403508771929824,,0.19402985074626866,0.373134328358209,8.186538461538463,25.144444444444442,0.3088082901554404,,,1.0,2.0,1.0,0.025,0.04,,,,,,,,,,True
1899,1610612740,James Posey,James Posey,1899,NOH,128402.0,2140,48,3917,3886,1311.0,1235,451,7803,62.0,114.0,12.0,21.0,10.0,27.0,24.0,55,14.0,41.0,50.0,111.0,7.0,29.0,66.0,203.0,4.0,16.0,22.0,62.0,100,210,116.0,314.0,120.0,668,4160,14.0,27.0,7.0,23.0,10.0,59.0,16.0,45.0,37.0,91.0,48.0,191.0,78.0,122,324.0,24.0,10.0,3.0,200.0,66.0,19.0,1.0,49,33.0,82,16.0,17.0,20.0,11.0,18.0,197,9.0,27.0,85.0,192.0,47.0,324,38.0,362,7.0,58.0,30.0,28.0,35.0,11.0,21.0,44.0,4.0,14.0,3.0,7.0,79,9.0,23.0,93.0,216,17.0,15.0,153.0,9.0,31.0,146.0,11.0,6.0,48.0,5.0,20.0,17.0,10.0,2.0,5.0,21.0,12.0,,191.0,1311.0,34.0,18.0,0.39,0.4105263157894737,0.9310344827586207,0.36942675159235666,0.30434782608695654,0.4065934065934066,0.3729903536977492,0.47619047619047616,0.5185185185185185,0.35555555555555557,0.5229007633587787,0.49,0.5257352941176471,0.5648464163822525,0.5363636363636364,0.5858895705521472,0.5992366412213741,0.0031847133757961785,0.09047619047619047,0.13157894736842105,0.07272727272727272,,14.984227129337539,0.4430379746835443,0.40869565217391307,0.15854665565648224,0.02107728337236534,0.1520572450805009,0.016304347826086956,0.15649717514124295,0.019639934533551555,0.02962962962962963,0.017326732673267328,0.01694915254237288,0.024456521739130436,,0.11,0.17880794701986755,0.18467583497053044,0.1596009975062344,0.13291139240506328,0.025830258302583026,0.5714285714285714,0.21755725190839695,0.543859649122807,0.6262626262626263,0.45161290322580644,0.1049618320610687,0.43636363636363634,0.47058823529411764,0.20833333333333334,0.07824427480916031,0.34146341463414637,0.34146341463414637,0.42857142857142855,0.21183206106870228,0.45045045045045046,0.45454545454545453,0.98,0.38740458015267176,0.3251231527093596,0.3251231527093596,0.8939393939393939,0.42,0.5714285714285714,0.25,0.14,0.32,0.25,1.0,0.19852941176470587,0.37037037037037035,0.21323529411764705,0.45588235294117646,0.3548387096774194,0.816793893129771,0.33,0.520017148362235,0.5341765625000001,0.5276560606060607,0.09363957597173145,0.19433198380566802,0.01567398119122257,0.08832335329341318,0.28592814371257486,5.883333333333336,24.972611464968153,0.33469491958131226,15.0,0.5172413793103449,2.0,,3.0,,0.017543859649122806,3.0,4.0,1.0,3.0,0.009009009009009009,0.42857142857142855,1.0,,,True
200756,1610612740,Hilton Armstrong,Hilton Armstrong,200756,NOH,33130.0,552,-26,981,976,208.0,262,107,1957,41.0,74.0,10.0,18.0,5.0,13.0,13.0,35,7.0,21.0,,,,,,2.0,,,,2.0,61,130,,2.0,24.0,146,1020,11.0,21.0,,,4.0,26.0,9.0,21.0,,2.0,8.0,26.0,78.0,44,,,22.0,2.0,,,19.0,,14,1.0,15,1.0,,5.0,2.0,7.0,31,10.0,26.0,13.0,36.0,3.0,52,38.0,90,2.0,13.0,10.0,3.0,19.0,1.0,5.0,27.0,4.0,14.0,1.0,8.0,46,10.0,5.0,35.0,96,9.0,9.0,52.0,7.0,8.0,42.0,3.0,,19.0,,4.0,29.0,21.0,1.0,7.0,29.0,21.0,1.0,26.0,208.0,9.0,2.0,0.639344262295082,0.78,,,,,,0.46923076923076923,0.5238095238095238,0.42857142857142855,0.4621212121212121,0.5238095238095238,0.391304347826087,0.48026315789473684,0.5652173913043478,0.43333333333333335,0.015151515151515152,,0.14615384615384616,0.20270270270270271,0.11428571428571428,,17.892824704813805,0.41304347826086957,0.11538461538461539,0.11285266457680251,0.08024691358024691,0.104,0.07751937984496124,0.11036036036036036,0.07947019867549669,0.13513513513513514,0.030927835051546393,0.06896551724137931,0.06818181818181818,0.0975609756097561,0.10810810810810811,0.11904761904761904,0.11290322580645161,0.10112359550561797,0.1111111111111111,0.04081632653061224,0.7241379310344828,0.5606060606060606,0.5540540540540541,0.6949152542372882,0.6585365853658537,0.26515151515151514,0.37142857142857144,0.41935483870967744,0.6153846153846154,0.1590909090909091,0.3333333333333333,0.3333333333333333,0.5714285714285714,,,,,0.015151515151515152,,,,0.8571428571428571,0.5555555555555556,,,,,,0.5652173913043478,0.38461538461538464,,0.08695652173913043,,0.5757575757575758,,0.48550461538461553,0.54512,0.46937142857142855,0.12837837837837837,0.13013698630136986,,0.1780821917808219,0.1780821917808219,4.981538461538461,63.05,0.21202854230377166,,,2.0,2.0,,,0.06666666666666667,,,,,,,,,,True
2050,1610612740,Morris Peterson,Morris Peterson,2050,NOH,15200.0,253,-4,454,440,94.0,99,45,894,7.0,15.0,,2.0,1.0,1.0,3.0,10,5.0,21.0,10.0,17.0,2.0,3.0,10.0,23.0,,4.0,,5.0,15,46,20.0,40.0,8.0,98,493,1.0,3.0,,6.0,,2.0,4.0,8.0,,8.0,3.0,11.0,24.0,6,54.0,6.0,,,23.0,10.0,3.0,,4,6.0,10,5.0,1.0,1.0,2.0,1.0,26,4.0,3.0,12.0,20.0,3.0,35,8.0,43,3.0,5.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,,,5,1.0,,17.0,31,3.0,,12.0,,,12.0,2.0,,5.0,,2.0,,,,,,,,11.0,94.0,2.0,1.0,0.8,0.8,0.9,0.5,,,0.5,0.32608695652173914,0.3333333333333333,0.5,0.5232558139534884,0.1111111111111111,0.25,0.5384615384615384,0.1,0.3055555555555556,0.46511627906976744,,0.06521739130434782,,0.2,,18.700787401574804,0.6,0.21428571428571427,0.14492753623188406,0.02112676056338028,0.19672131147540983,0.06153846153846154,0.16080402010050251,0.033816425120772944,0.07317073170731707,,,0.09090909090909091,,0.10638297872340426,0.1,0.19672131147540983,0.18604651162790697,0.2222222222222222,0.06382978723404255,,0.1744186046511628,0.4666666666666667,0.4666666666666667,0.8571428571428571,0.11627906976744186,0.3,0.375,0.3333333333333333,0.2441860465116279,0.23809523809523808,0.25,1.0,0.19767441860465115,0.5882352941176471,0.5882352941176471,1.0,0.26744186046511625,0.43478260869565216,0.43478260869565216,0.8,0.2222222222222222,,,0.2222222222222222,0.4444444444444444,,,0.0625,1.0,0.1875,0.3125,,0.6395348837209303,0.43478260869565216,0.4989610465116278,0.5526875,0.45946875,0.056179775280898875,0.10204081632653061,,0.02040816326530612,0.11224489795918367,10.354347826086956,24.337500000000006,0.20704845814977973,,,1.0,,,0.047619047619047616,0.09090909090909091,,,,,,,,,,True
2561,1610612740,David West,David West,2561,NOH,82987.0,1383,131,2554,2533,995.0,904,299,5087,113.0,175.0,36.0,53.0,43.0,63.0,69.0,194,79.0,193.0,2.0,6.0,2.0,2.0,4.0,16.0,,1.0,3.0,11.0,261,562,6.0,22.0,213.0,753,2684,43.0,76.0,1.0,3.0,36.0,125.0,91.0,186.0,4.0,13.0,99.0,293.0,304.0,218,18.0,,56.0,,16.0,4.0,21.0,,34,50.0,84,34.0,16.0,21.0,4.0,9.0,218,28.0,59.0,68.0,136.0,10.0,214,88.0,302,19.0,19.0,14.0,5.0,48.0,6.0,16.0,25.0,5.0,32.0,,4.0,73,5.0,25.0,57.0,106,10.0,10.0,162.0,7.0,5.0,236.0,14.0,16.0,86.0,,31.0,33.0,26.0,3.0,4.0,36.0,27.0,,293.0,995.0,13.0,30.0,0.5823754789272031,0.6523605150214592,1.0,0.2727272727272727,0.3333333333333333,0.3076923076923077,0.2727272727272727,0.46441281138790036,0.5657894736842105,0.489247311827957,0.4623287671232877,0.5632911392405063,0.48743718592964824,0.5385735080058224,0.6443298969072165,0.5826612903225806,0.03767123287671233,,0.037366548042704624,0.08571428571428572,0.030927835051546393,,26.145366861867032,0.6575342465753424,0.13157894736842105,0.17616580310880828,0.0695754716981132,0.1784776902887139,0.07977207977207977,0.1769297484822203,0.0725604670558799,0.10606060606060606,0.07857142857142857,0.029605263157894735,0.06756756756756757,0.10077519379844961,0.1885245901639344,0.20540540540540542,0.15160349854227406,0.19117647058823528,0.14678899082568808,0.06529209621993128,0.75,0.2996575342465753,0.6457142857142857,0.70625,0.5132743362831859,0.3321917808219178,0.3556701030927835,0.3670212765957447,0.4492753623188406,0.3304794520547945,0.40932642487046633,0.40932642487046633,0.7974683544303798,0.010273972602739725,0.3333333333333333,0.3333333333333333,1.0,0.0273972602739726,0.25,0.25,1.0,0.6708860759493671,0.6792452830188679,0.05555555555555555,0.02531645569620253,0.012658227848101266,,,0.3165829145728643,0.6825396825396826,0.010050251256281407,0.05527638190954774,0.2727272727272727,0.3373287671232877,0.25,0.44465856164383555,0.5043418032786886,0.4461248743718594,0.13109756097560976,0.13564668769716087,,0.16600265604249667,0.3891102257636122,9.190925266903914,24.795454545454547,0.38958496476115895,1.0,0.5,1.0,,9.0,,0.014925373134328358,1.0,3.0,2.0,1.0,,0.5,1.0,,,True
978,1610612740,Peja Stojakovic,Peja Stojakovic,978,NOH,52441.0,874,177,1638,1615,664.0,688,186,3253,23.0,35.0,11.0,15.0,7.0,14.0,8.0,23,33.0,80.0,19.0,63.0,6.0,24.0,38.0,102.0,5.0,11.0,13.0,36.0,64,138,57.0,165.0,51.0,350,1732,15.0,28.0,7.0,17.0,5.0,56.0,13.0,36.0,23.0,60.0,31.0,126.0,64.0,64,165.0,6.0,14.0,,102.0,38.0,10.0,1.0,16,18.0,34,9.0,9.0,8.0,5.0,3.0,86,5.0,19.0,22.0,54.0,11.0,87,24.0,111,8.0,25.0,16.0,9.0,18.0,3.0,8.0,9.0,1.0,10.0,,4.0,27,3.0,10.0,21.0,51,2.0,1.0,30.0,4.0,,57.0,1.0,16.0,9.0,,12.0,2.0,2.0,,,2.0,1.0,,126.0,664.0,15.0,12.0,0.5,0.5614035087719298,0.9649122807017544,0.34545454545454546,0.4117647058823529,0.38333333333333336,0.34545454545454546,0.463768115942029,0.5357142857142857,0.3611111111111111,0.4933993399339934,0.5666666666666667,0.4947916666666667,0.5170278637770898,0.5957446808510638,0.5454545454545454,0.5445544554455446,0.006060606060606061,0.07246376811594203,0.17142857142857143,0.043478260869565216,0.00980392156862745,18.95991332611051,0.6666666666666666,0.22,0.10953346855983773,0.04,0.09865470852017937,0.018867924528301886,0.10614525139664804,0.032432432432432434,0.0425531914893617,0.049689440993788817,0.028901734104046242,0.017045454545454544,0.02247191011235955,0.11875,0.08108108108108109,0.11711711711711711,0.09271523178807947,0.1111111111111111,0.047337278106508875,0.5,0.11551155115511551,0.6571428571428571,0.7931034482758621,0.5217391304347826,0.07590759075907591,0.34782608695652173,0.36363636363636365,0.5,0.264026402640264,0.4125,0.42857142857142855,0.48484848484848486,0.2079207920792079,0.30158730158730157,0.30158730158730157,0.9473684210526315,0.33663366336633666,0.37254901960784315,0.37623762376237624,0.9736842105263158,0.3333333333333333,0.7333333333333333,0.2727272727272727,0.13333333333333333,0.24444444444444444,0.45454545454545453,1.0,0.14583333333333334,0.5,0.25,0.375,0.3611111111111111,0.6600660066006601,0.37254901960784315,0.4960120860927152,0.5291114285714286,0.5058697916666667,0.028938906752411574,0.06164383561643835,,0.16,0.36,12.146376811594202,24.549090909090904,0.4053724053724054,10.0,0.4166666666666667,,,,0.0375,,2.0,,,,,0.3333333333333333,1.0,,,True
1763,1610612740,Ryan Bowen,Ryan Bowen,1763,NOH,7265.0,121,-5,226,222,74.0,89,28,448,9.0,11.0,1.0,3.0,2.0,2.0,1.0,2,2.0,6.0,,,,,,,,,,,12,19,,,2.0,26,256,1.0,3.0,,,,2.0,5.0,7.0,,,2.0,12.0,22.0,2,,,2.0,,,,,,1,4.0,5,4.0,,,,1.0,14,1.0,7.0,,3.0,,3,8.0,11,,8.0,4.0,4.0,,1.0,,4.0,1.0,,,,4,,4.0,9.0,21,,1.0,4.0,1.0,1.0,3.0,1.0,,1.0,,1.0,2.0,2.0,,,2.0,1.0,,12.0,74.0,4.0,1.0,0.9166666666666666,1.0,,,,,,0.631578947368421,0.3333333333333333,0.7142857142857143,0.631578947368421,0.3333333333333333,0.7142857142857143,0.65,0.3333333333333333,0.75,,,,,,,9.375,,,0.058823529411764705,0.10144927536231885,,0.03225806451612903,0.03896103896103896,0.08,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.041666666666666664,,0.07692307692307693,0.15384615384615385,,,,,0.5,0.5789473684210527,0.8181818181818182,0.8181818181818182,0.8888888888888888,0.10526315789473684,0.5,0.5,1.0,0.3157894736842105,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,1.0,0.3333333333333333,,,,,,0.2857142857142857,1.0,,,,0.5789473684210527,,0.4901105263157895,0.5800666666666667,0.43279999999999996,0.05263157894736842,0.05263157894736842,,0.07692307692307693,0.46153846153846156,6.863157894736842,,0.3274336283185841,,,,,,,,,,,,,,,1.0,,True
201153,1610612740,Julian Wright,Julian Wright,201153,NOH,18010.0,300,-34,522,526,69.0,76,66,1048,17.0,36.0,8.0,15.0,3.0,5.0,10.0,17,13.0,28.0,,3.0,1.0,,,5.0,,,,,40,81,,8.0,8.0,88,553,11.0,22.0,,1.0,1.0,23.0,6.0,10.0,,,2.0,14.0,36.0,44,,,16.0,,5.0,,1.0,,19,2.0,21,1.0,1.0,10.0,5.0,4.0,44,3.0,19.0,11.0,18.0,3.0,32,22.0,54,4.0,15.0,10.0,5.0,13.0,,7.0,3.0,,6.0,,2.0,16,2.0,3.0,13.0,18,,,18.0,2.0,3.0,14.0,2.0,,7.0,,1.0,6.0,5.0,1.0,,6.0,3.0,,14.0,69.0,1.0,1.0,0.45,0.5625,,,,,,0.49382716049382713,0.5,0.6,0.449438202247191,0.4782608695652174,0.6,0.4631578947368421,0.4791666666666667,0.6363636363636364,0.0898876404494382,,0.012345679012345678,0.027777777777777776,,,18.5,0.8125,0.15,0.10975609756097561,0.10106382978723404,0.12359550561797752,0.043478260869565216,0.11462450592885376,0.08560311284046693,0.14492753623188406,0.05454545454545454,0.09375,0.061224489795918366,,0.0847457627118644,0.09302325581395349,0.14516129032258066,0.125,0.12,0.0851063829787234,0.5,0.4044943820224719,0.4722222222222222,0.4857142857142857,0.4117647058823529,0.19101123595505617,0.5882352941176471,0.5882352941176471,0.5,0.3146067415730337,0.4642857142857143,0.4642857142857143,0.46153846153846156,0.033707865168539325,,,,0.056179775280898875,,,,0.6521739130434783,0.5333333333333333,,0.043478260869565216,,,,0.5,0.6,,,,0.4943820224719101,,0.47805449438202247,0.5276823529411766,0.47635000000000005,0.07446808510638298,0.08139534883720931,,0.26136363636363635,0.1590909090909091,8.055555555555554,24.8625,0.13218390804597702,,,,,,,,,,,,,,,,1.0,True
