EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffCorner3ReboundPct,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,PenaltyCorner3FGM,BlockedShortMidRange,3SecondViolations,PenaltyCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,on,FTOffRebounds,BlockedLongMidRange,Corner3PctBlocked,OffFTReboundPct,Blocked3s,BlockedArc3,OffensiveGoaltends,HeaveMakes
101126,1610612752,Nate Robinson,Nate Robinson,101126,NYK,19537.0,326,55.0,649,649,154.0,175.0,69.0,1298,32.0,60.0,7.0,9.0,10.0,15.0,7.0,18.0,14.0,30.0,4.0,14.0,3.0,2.0,20.0,48.0,1.0,3.0,7.0,23.0,53.0,108.0,24.0,62.0,41.0,219.0,697,10.0,15.0,1.0,6.0,2.0,25.0,15.0,27.0,7.0,25.0,12.0,63.0,22.0,84.0,51.0,21.0,8.0,2.0,46.0,20.0,2.0,1.0,28.0,27.0,55.0,20.0,7.0,18.0,3.0,7.0,137.0,3.0,12.0,11.0,20.0,1.0,32.0,15.0,47.0,5.0,14.0,7.0,7.0,11.0,6.0,5.0,12.0,6.0,1.0,23.0,2.0,5.0,14.0,35.0,1.0,1.0,3.0,44.0,5.0,47.0,7.0,3.0,21.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,63.0,154.0,3.0,2.0,0.20754716981132076,0.22448979591836735,0.7083333333333334,0.3870967741935484,0.16666666666666666,0.28,0.4,0.49074074074074076,0.6666666666666666,0.5555555555555556,0.5235294117647059,0.5476190476190477,0.49038461538461536,0.574468085106383,0.5714285714285714,0.5431034482758621,0.36470588235294116,0.016129032258064516,0.018518518518518517,0.03333333333333333,0.020833333333333332,28.78581173260573,0.4782608695652174,0.05,0.09345794392523364,0.06521739130434782,0.12941176470588237,0.02459016393442623,0.10367892976588629,0.049019607843137254,0.07777777777777778,0.10526315789473684,0.017857142857142856,0.034482758620689655,0.056818181818181816,0.10344827586206896,0.1323529411764706,0.140625,0.09523809523809523,0.06097560975609756,1.0,0.35294117647058826,0.5333333333333333,0.5517241379310345,0.28125,0.10588235294117647,0.3888888888888889,0.3888888888888889,0.14285714285714285,0.17647058823529413,0.4666666666666667,0.4666666666666667,0.07142857142857142,0.08235294117647059,0.2857142857142857,0.2857142857142857,1.0,0.2823529411764706,0.4166666666666667,0.425531914893617,0.65,0.42857142857142855,0.7777777777777778,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.3333333333333333,1.0,0.28846153846153844,0.6666666666666666,0.038461538461538464,0.4423076923076923,0.30434782608695654,0.7176470588235294,0.43478260869565216,0.522245238095238,0.4854666666666666,0.48460000000000003,0.11891891891891893,0.1721311475409836,0.015873015873015872,0.1141552511415525,0.2876712328767123,6.562962962962963,25.83064516129032,0.23728813559322035,,,,,,,,,,,,,,,,True,,,,,,,,
101135,1610612752,David Lee,David Lee,101135,NYK,10756.0,179,11.0,358,364,92.0,109.0,35.0,722,21.0,37.0,6.0,7.0,4.0,8.0,8.0,12.0,2.0,9.0,,,,,,,,,,,31.0,58.0,,,15.0,77.0,395,7.0,8.0,,,1.0,15.0,7.0,14.0,,,6.0,20.0,36.0,26.0,,,10.0,,,,10.0,,5.0,7.0,12.0,6.0,1.0,3.0,1.0,1.0,31.0,5.0,7.0,13.0,30.0,7.0,50.0,12.0,62.0,1.0,5.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,,8.0,1.0,,7.0,16.0,,1.0,,12.0,1.0,16.0,2.0,,6.0,,3.0,1.0,1.0,1.0,1.0,,20.0,92.0,2.0,3.0,0.5806451612903226,0.6923076923076923,,,,,,0.5344827586206896,0.875,0.5,0.5344827586206896,0.875,0.5,0.5923076923076923,0.9375,0.5882352941176471,,,0.1724137931034483,0.24324324324324326,,18.434343434343436,0.625,0.5384615384615384,0.234375,0.06930693069306931,0.28888888888888886,0.07692307692307693,0.24855491329479767,0.07228915662650602,0.06666666666666667,0.09523809523809523,0.05714285714285714,0.08163265306122448,0.2692307692307692,0.23529411764705882,0.19047619047619047,0.3125,0.23076923076923078,0.058823529411764705,1.0,0.6379310344827587,0.5675675675675675,0.75,0.5238095238095238,0.20689655172413793,0.6666666666666666,0.7272727272727273,0.625,0.15517241379310345,0.2222222222222222,0.2222222222222222,1.0,,,,,,,,,0.875,0.8571428571428571,0.16666666666666666,,,,,0.5714285714285714,0.5,,,,0.6379310344827587,,0.5199775862068966,0.5313285714285715,0.5169857142857143,0.0967741935483871,0.0967741935483871,,0.19480519480519481,0.2597402597402597,4.577586206896552,,0.2569832402234637,1.0,2.0,1.0,0.08333333333333333,0.0625,,,,,,,,,,,True,,,,,,,,
101194,1610612752,Anthony Roberson,Anthony Roberson,101194,NYK,523.0,9,-14.0,19,18,7.0,3.0,1.0,37,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,2.0,,3.0,27,,,,,,,,,,,,,,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,1.0,0.5,,,0.5,,,,0.75,,,0.75,,,1.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,0.623175,,,,,,,,,24.15,0.3684210526315789,,,,,,,,,,,,,,,,True,,,,,,,,
200776,1610612752,Mardy Collins,Mardy Collins,200776,NYK,281.0,5,-6.0,9,7,7.0,3.0,,16,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,13,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,0.5,,,,,33.333333333333336,1.0,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,0.5,,1.0,,0.541325,,0.541325,,,,,,,27.2,0.7777777777777778,,,,,,,,,,,,,,,,True,,,,,,,,
201568,1610612752,Danilo Gallinari,Danilo Gallinari,201568,NYK,24703.0,412,50.0,822,822,179.0,208.0,89.0,1644,10.0,18.0,1.0,3.0,2.0,3.0,3.0,6.0,11.0,29.0,10.0,20.0,1.0,2.0,22.0,52.0,4.0,5.0,6.0,15.0,24.0,53.0,32.0,72.0,26.0,170.0,888,4.0,8.0,4.0,6.0,1.0,21.0,6.0,13.0,6.0,17.0,11.0,41.0,22.0,26.0,87.0,9.0,4.0,,52.0,22.0,4.0,1.0,4.0,11.0,15.0,9.0,2.0,3.0,1.0,,41.0,9.0,4.0,12.0,29.0,1.0,42.0,13.0,55.0,,14.0,9.0,5.0,7.0,,3.0,8.0,4.0,7.0,15.0,,1.0,29.0,48.0,,2.0,1.0,36.0,5.0,27.0,1.0,1.0,8.0,1.0,4.0,4.0,4.0,4.0,4.0,,41.0,179.0,7.0,4.0,0.4583333333333333,0.5,0.90625,0.4444444444444444,0.6666666666666666,0.35294117647058826,0.4444444444444444,0.4528301886792453,0.5,0.46153846153846156,0.576,0.7142857142857143,0.5,0.6167883211678832,0.75,0.5714285714285714,0.576,0.013888888888888888,0.07547169811320754,,0.019230769230769232,16.36167922497309,0.4666666666666667,0.041666666666666664,0.10861423220973783,0.016736401673640166,0.11320754716981132,0.05844155844155844,0.10991957104557641,0.03307888040712468,0.018018018018018018,,0.02564102564102564,0.03669724770642202,0.10909090909090909,0.08,0.13414634146341464,0.08860759493670886,0.18518518518518517,,1.0,0.144,0.5555555555555556,0.5555555555555556,0.6,0.048,0.5,0.75,,0.232,0.3793103448275862,0.4074074074074074,0.45454545454545453,0.16,0.5,0.5,1.0,0.416,0.4230769230769231,0.43137254901960786,0.8636363636363636,0.21428571428571427,0.3333333333333333,,0.07142857142857142,0.35714285714285715,0.8,0.75,0.1,0.6666666666666666,0.06666666666666667,0.5,0.4,0.72,0.4230769230769231,0.5211772000000001,0.45687,0.4802966666666667,0.06766917293233082,0.13333333333333333,0.0136986301369863,0.12352941176470589,0.2411764705882353,11.309433962264153,24.654166666666672,0.21776155717761558,,1.0,1.0,0.3333333333333333,0.1111111111111111,0.06896551724137931,,,,,,,,,,True,,,,,,,,
1501,1610612752,Tim Thomas,Tim Thomas,1501,NYK,8425.0,140,69.0,283,280,58.0,59.0,24.0,563,9.0,13.0,3.0,4.0,5.0,5.0,2.0,4.0,2.0,5.0,3.0,5.0,2.0,,4.0,13.0,,1.0,1.0,5.0,13.0,22.0,7.0,18.0,13.0,60.0,270,4.0,5.0,1.0,3.0,,11.0,6.0,6.0,1.0,5.0,,15.0,8.0,18.0,12.0,9.0,6.0,,13.0,4.0,2.0,,4.0,4.0,8.0,,4.0,2.0,,2.0,20.0,2.0,4.0,4.0,10.0,3.0,17.0,6.0,23.0,1.0,5.0,3.0,2.0,4.0,,1.0,4.0,3.0,2.0,8.0,,2.0,9.0,16.0,,,2.0,13.0,,15.0,2.0,,7.0,1.0,,3.0,3.0,3.0,2.0,,15.0,58.0,,,0.3076923076923077,0.4,0.5714285714285714,0.3888888888888889,0.3333333333333333,0.2,0.3888888888888889,0.5909090909090909,0.8,1.0,0.5875,0.6875,0.6818181818181818,0.6521739130434783,0.6875,0.6818181818181818,0.45,,0.09090909090909091,0.07692307692307693,,17.419354838709676,0.5,0.3,0.09900990099009901,0.058823529411764705,0.11764705882352941,0.043478260869565216,0.1037037037037037,0.05263157894736842,0.06451612903225806,,0.09090909090909091,0.02857142857142857,0.07142857142857142,0.041666666666666664,0.17142857142857143,0.125,0.1,0.058823529411764705,0.6666666666666666,0.325,0.6923076923076923,0.75,0.3333333333333333,0.1,0.5,0.6666666666666666,,0.125,0.4,0.4,0.5,0.125,0.6,0.6,0.6666666666666666,0.325,0.3076923076923077,0.3076923076923077,0.5,0.5,0.75,,0.25,0.125,,,0.45454545454545453,1.0,,0.45454545454545453,0.2,0.775,0.3076923076923077,0.5224875,0.5232416666666667,0.48475454545454544,0.17391304347826086,0.25925925925925924,0.05263157894736842,0.18333333333333332,0.25,5.172727272727273,24.58888888888889,0.2049469964664311,,2.0,,0.25,0.09090909090909091,,1.0,0.5,,,,,,,,True,,,,,,,,
1733,1610612752,Al Harrington,Al Harrington,1733,NYK,14672.0,245,59.0,496,491,90.0,101.0,49.0,987,28.0,45.0,5.0,8.0,2.0,5.0,6.0,13.0,6.0,16.0,2.0,6.0,,1.0,9.0,22.0,,,,3.0,40.0,74.0,11.0,28.0,23.0,136.0,518,5.0,10.0,,,3.0,13.0,3.0,9.0,1.0,4.0,7.0,16.0,22.0,58.0,30.0,3.0,8.0,,22.0,9.0,7.0,1.0,5.0,8.0,13.0,5.0,3.0,3.0,1.0,1.0,34.0,7.0,5.0,7.0,26.0,6.0,39.0,12.0,51.0,4.0,11.0,4.0,7.0,8.0,,5.0,9.0,3.0,2.0,17.0,1.0,,9.0,24.0,,1.0,3.0,25.0,1.0,29.0,5.0,,15.0,,2.0,3.0,2.0,3.0,2.0,,16.0,90.0,5.0,1.0,0.275,0.3055555555555556,0.9090909090909091,0.39285714285714285,,0.25,0.39285714285714285,0.5405405405405406,0.5,0.3333333333333333,0.553921568627451,0.5,0.34615384615384615,0.5964912280701754,0.5416666666666666,0.5,0.27450980392156865,0.03571428571428571,0.0945945945945946,0.15555555555555556,0.045454545454545456,23.774954627949185,0.47058823529411764,0.375,0.16883116883116883,0.03731343283582089,0.1206896551724138,0.08536585365853659,0.15566037735849056,0.05555555555555555,0.05084745762711865,,0.046511627906976744,0.1,0.16666666666666666,0.2,0.14583333333333334,0.11363636363636363,0.14285714285714285,0.09302325581395349,0.6666666666666666,0.4411764705882353,0.6222222222222222,0.7368421052631579,0.2857142857142857,0.12745098039215685,0.46153846153846156,0.46153846153846156,0.16666666666666666,0.1568627450980392,0.375,0.375,0.3333333333333333,0.058823529411764705,0.3333333333333333,0.3333333333333333,1.0,0.21568627450980393,0.4090909090909091,0.42857142857142855,0.8888888888888888,0.8,0.625,,,,,,0.38461538461538464,0.4,0.07692307692307693,0.23076923076923078,,0.7156862745098039,0.4090909090909091,0.5278220588235295,0.49074,0.5092115384615385,0.13392857142857142,0.17857142857142858,,0.09558823529411764,0.11764705882352941,5.932432432432432,24.925,0.1814516129032258,2.0,1.0,1.0,,0.045454545454545456,,,,1.0,1.0,1.0,1.0,,,,True,,,,,,,,
201163,1610612752,Wilson Chandler,Wilson Chandler,201163,NYK,15754.0,263,-3.0,530,528,108.0,135.0,52.0,1058,20.0,29.0,3.0,5.0,4.0,4.0,8.0,20.0,7.0,17.0,7.0,14.0,2.0,3.0,7.0,25.0,,2.0,1.0,4.0,35.0,66.0,14.0,39.0,13.0,125.0,579,4.0,7.0,1.0,4.0,4.0,15.0,6.0,9.0,2.0,7.0,5.0,23.0,28.0,42.0,39.0,3.0,4.0,1.0,24.0,7.0,3.0,,9.0,10.0,19.0,6.0,4.0,5.0,2.0,2.0,48.0,4.0,5.0,11.0,21.0,2.0,34.0,9.0,43.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,8.0,2.0,2.0,12.0,,2.0,15.0,24.0,,1.0,1.0,11.0,,16.0,2.0,,9.0,,,7.0,4.0,7.0,5.0,,23.0,108.0,3.0,,0.4,0.42424242424242425,0.9285714285714286,0.358974358974359,0.25,0.2857142857142857,0.3684210526315789,0.5303030303030303,0.5714285714285714,0.6666666666666666,0.5333333333333333,0.5,0.5625,0.5580357142857143,0.5769230769230769,0.6052631578947368,0.37142857142857144,,0.045454545454545456,0.06896551724137931,,20.80536912751678,0.3333333333333333,0.18181818181818182,0.11731843575418995,0.031446540880503145,0.16417910447761194,0.0380952380952381,0.13008130081300814,0.03409090909090909,0.02666666666666667,0.029411764705882353,0.04,,0.09876543209876543,0.0784313725490196,0.19148936170212766,0.18181818181818182,0.08333333333333333,0.07692307692307693,0.7142857142857143,0.2761904761904762,0.6896551724137931,0.7407407407407407,0.4,0.19047619047619047,0.4,0.42105263157894735,0.25,0.1619047619047619,0.4117647058823529,0.4117647058823529,0.5714285714285714,0.13333333333333333,0.5,0.5,1.0,0.23809523809523808,0.28,0.28,0.8571428571428571,0.45454545454545453,0.6,,0.18181818181818182,0.18181818181818182,,,0.25,1.0,0.1875,0.25,0.25,0.6476190476190476,0.2916666666666667,0.5144100961538463,0.5805583333333333,0.5052099999999999,0.08035714285714286,0.1232876712328767,,0.12,0.184,7.277272727272726,25.574358974358972,0.2037735849056604,1.0,,1.0,0.05,0.125,,1.0,0.5,1.0,3.0,,0.3333333333333333,1.0,,,True,,,,,,,,
2047,1610612752,Quentin Richardson,Quentin Richardson,2047,NYK,7280.0,121,38.0,235,234,48.0,51.0,33.0,469,7.0,16.0,1.0,6.0,2.0,8.0,,3.0,,7.0,1.0,5.0,,,3.0,9.0,,,1.0,2.0,7.0,26.0,4.0,14.0,5.0,31.0,255,1.0,7.0,,,,2.0,2.0,9.0,1.0,2.0,1.0,8.0,4.0,10.0,12.0,,2.0,,9.0,3.0,3.0,,3.0,1.0,4.0,1.0,,2.0,1.0,,9.0,1.0,6.0,8.0,5.0,1.0,14.0,7.0,21.0,3.0,,,,1.0,,1.0,2.0,,,3.0,,1.0,2.0,8.0,,1.0,,6.0,1.0,6.0,,,3.0,,,1.0,1.0,1.0,,,8.0,48.0,1.0,,0.2857142857142857,0.3333333333333333,1.0,0.2857142857142857,,0.5,0.2857142857142857,0.2692307692307692,0.14285714285714285,0.2222222222222222,0.325,0.14285714285714285,0.3181818181818182,0.36046511627906974,0.14285714285714285,0.3333333333333333,0.35,,0.11538461538461539,0.125,,16.487455197132615,0.3333333333333333,0.16666666666666666,0.08196721311475409,0.08108108108108109,0.2222222222222222,0.022727272727272728,0.13402061855670103,0.059322033898305086,0.1282051282051282,,0.047619047619047616,0.03225806451612903,0.10526315789473684,0.045454545454545456,0.1,0.24,0.18181818181818182,0.11538461538461539,,0.4,0.4375,0.5,0.2857142857142857,0.075,,,,0.175,,,,0.125,0.2,0.2,1.0,0.225,0.3333333333333333,0.3333333333333333,1.0,0.8571428571428571,0.16666666666666666,,,,,,0.7272727272727273,0.25,,0.18181818181818182,0.5,0.75,0.3333333333333333,0.5278600000000001,0.5439,0.5465318181818182,0.06976744186046512,0.10344827586206896,,0.06451612903225806,0.25806451612903225,5.711538461538462,24.66428571428571,0.20425531914893616,1.0,1.0,,,,0.14285714285714285,,,,,,,,1.0,,True,,,,,,,,
2407,1610612752,Jared Jeffries,Jared Jeffries,2407,NYK,3557.0,59,,116,121,14.0,25.0,15.0,237,1.0,5.0,,2.0,,1.0,,1.0,,2.0,,,,,,,,,,,1.0,8.0,,,3.0,5.0,125,,2.0,,,1.0,1.0,,1.0,,,,,2.0,,,,,,,,3.0,,2.0,1.0,3.0,,1.0,2.0,,,7.0,3.0,3.0,1.0,5.0,,6.0,6.0,12.0,,1.0,1.0,,3.0,,1.0,,2.0,,3.0,,,4.0,6.0,,,,4.0,1.0,4.0,,,2.0,,,,,,,,,14.0,,,1.0,1.0,,,,,,0.125,,,0.125,,,0.25,0.16666666666666666,,,,0.375,0.4,,9.701492537313433,1.0,,0.11904761904761904,0.07317073170731707,0.047619047619047616,0.11538461538461539,0.09523809523809523,0.08955223880597014,0.10526315789473684,,0.05555555555555555,,0.14285714285714285,0.13333333333333333,0.07692307692307693,0.07142857142857142,,,,0.625,0.2,0.3333333333333333,1.0,0.125,,,,0.25,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,0.625,,0.518375,0.4996,0.4366,0.2,0.2,,0.2,,6.0625,,0.1206896551724138,,,,1.0,0.375,,,,,,,,,,,True,,,,,,,,
