EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Steals,LostBallSteals,LostBallTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,BadPassSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Travels,LongMidRangePctBlocked,Corner3Assists,SecondChanceTurnovers,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,DefensiveGoaltends,BlockedShortMidRange,on,Blocked3s,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,PtsUnassisted3s,Clear Path Fouls,Fg3aBlocked,Technical Free Throw Trips,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,HeaveMakes
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,1805.0,30,2.0,54,57,14,26,4.0,111,5.0,5.0,1.0,1.0,2.0,2.0,2.0,5.0,7.0,10.0,6.0,20.0,58,1.0,2.0,2.0,2.0,3.0,2.0,6.0,10.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,7.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,8.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,14,1.0,0.7142857142857143,0.7142857142857143,0.7,0.5,0.6666666666666666,0.7,0.5,0.6666666666666666,0.7142857142857143,0.5,0.75,26.666666666666668,0.5,0.3333333333333333,0.238095238095238,0.5,0.1851851851851851,0.0476190476190476,0.5,0.1428571428571428,0.25,0.3,0.5,0.5,1.0,1.0,0.8,0.5,0.4,0.4,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,0.5,0.50434,0.5885,0.5501,0.2857142857142857,0.2857142857142857,0.1,0.3,3.43,0.2592592592592592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,4879.0,81,47.0,164,161,73,101,20.0,325,7.0,12.0,3.0,3.0,3.0,5.0,1.0,1.0,11.0,23.0,8.0,42.0,153,4.0,4.0,8.0,4.0,8.0,4.0,18.0,12.0,10.0,9.0,10.0,3.0,21.0,1.0,1.0,13.0,18.0,6.0,24.0,,,1.0,1.0,1.0,5.0,10.0,7.0,8.0,5.0,4.0,4.0,4.0,4.0,,,18.0,73,3.0,0.5454545454545454,0.6666666666666666,0.4782608695652174,1.0,0.5,0.5483870967741935,1.0,0.6363636363636364,0.6176470588235294,1.0,0.75,18.91891891891892,,0.1666666666666666,0.2280701754385964,0.0588235294117647,0.2098765432098765,0.0735294117647058,0.0909090909090909,0.2916666666666667,0.1818181818181818,0.1818181818181818,1.0,0.3870967741935484,0.5833333333333334,0.7,0.7142857142857143,0.032258064516129,1.0,1.0,,0.75,1.0,0.3333333333333333,0.4545454545454545,0.6,0.6451612903225806,0.4997903225806452,0.5276000000000001,0.4954863636363635,0.1470588235294117,0.1923076923076923,0.1904761904761904,0.4285714285714285,8.365217391304347,0.4451219512195122,3.0,10.0,1.0,2.0,1.0,1.0,3.0,6.0,1.0,2.0,4.0,8.0,2.0,3.0,12.0,4.0,6.0,3.0,2.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.6666666666666666,0.5,0.2580645161290322,0.0869565217391304,0.1666666666666666,0.3333333333333333,0.0784313725490196,0.1666666666666666,0.05,0.1363636363636363,0.1428571428571428,0.2,0.0714285714285714,0.3225806451612903,0.3,0.3,0.3333333333333333,0.064516129032258,0.5,0.5,1.0,0.1935483870967742,0.5,0.5,1.0,0.0909090909090909,1.0,0.1818181818181818,0.5,0.5,24.7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
200769,1610612747,Shannon Brown,Shannon Brown,200769,LAL,8169.0,136,41.0,289,284,135,193,33.0,573,13.0,18.0,1.0,1.0,6.0,9.0,1.0,5.0,16.0,33.0,8.0,58.0,281,1.0,3.0,5.0,7.0,16.0,2.0,28.0,24.0,8.0,8.0,10.0,,22.0,,,12.0,17.0,3.0,20.0,5.0,3.0,4.0,9.0,3.0,5.0,9.0,10.0,9.0,4.0,2.0,2.0,2.0,1.0,,,28.0,135,2.0,0.75,0.75,0.4848484848484848,0.3333333333333333,0.4375,0.5952380952380952,0.625,0.6190476190476191,0.6444444444444445,0.625,0.6363636363636364,16.564417177914113,0.5555555555555556,,0.1318681318681318,,0.1338582677165354,0.0258620689655172,,0.1282051282051282,0.1052631578947368,0.1515151515151515,0.5,0.4285714285714285,0.7222222222222222,0.8125,0.6923076923076923,0.119047619047619,0.2,0.2,1.0,0.25,1.0,1.0,0.4285714285714285,0.6666666666666666,0.6428571428571429,0.5478207317073172,0.440575,0.5474857142857142,0.1111111111111111,0.1142857142857142,0.0862068965517241,0.4827586206896552,7.293939393939393,0.4671280276816609,2.0,10.0,2.0,2.0,2.0,2.0,4.0,7.0,2.0,3.0,6.0,9.0,4.0,5.0,18.0,,6.0,4.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,,1.0,2.0,,2.0,2.0,1.0,0.6666666666666666,0.8,0.75,0.2142857142857142,0.0606060606060606,0.1111111111111111,,0.0337078651685393,0.1388888888888889,0.0344827586206896,0.0454545454545454,0.125,0.1666666666666666,0.0588235294117647,0.238095238095238,0.2,0.2,1.0,0.0476190476190476,1.0,1.0,1.0,0.1666666666666666,0.5714285714285714,0.5714285714285714,1.0,0.0952380952380952,1.0,0.1428571428571428,0.6666666666666666,0.6666666666666666,30.05555555555556,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,0.25,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,4091.0,68,49.0,137,128,63,72,18.0,265,1.0,3.0,,,,,3.0,3.0,4.0,6.0,8.0,19.0,126,1.0,1.0,6.0,1.0,1.0,8.0,10.0,6.0,2.0,17.0,22.0,2.0,49.0,,,6.0,9.0,3.0,12.0,3.0,2.0,3.0,6.0,1.0,5.0,11.0,7.0,10.0,4.0,,,,,,,10.0,63,3.0,0.75,0.75,0.6666666666666666,1.0,1.0,0.55,1.0,0.3333333333333333,0.6333333333333333,1.0,0.625,13.461538461538462,0.5,,0.1428571428571428,,0.1269841269841269,0.0555555555555555,,0.0625,0.1,0.25,,0.3,0.3333333333333333,0.5,1.0,0.3,1.0,1.0,0.6666666666666666,,,,,,0.7,0.484195,0.4175,0.4007666666666666,0.2857142857142857,0.4,0.3157894736842105,0.5263157894736842,4.483333333333333,0.4598540145985401,,,1.0,4.0,,2.0,,,,,1.0,4.0,,2.0,3.0,,,,1.0,5.0,5.0,13.0,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,,1.0,0.25,,0.25,0.4,0.1666666666666666,0.3333333333333333,0.5,0.0681818181818181,0.0952380952380952,,0.1428571428571428,0.1333333333333333,,,,,,,0.4,0.25,0.25,1.0,,,,,0.6666666666666666,,,,,22.525,,,,,,5.0,2.0,1.0,1.0,,,,,,,4.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,3304.0,55,25.0,115,111,43,73,11.0,226,3.0,4.0,,,1.0,1.0,,,8.0,14.0,2.0,27.0,90,,,,3.0,4.0,2.0,8.0,10.0,6.0,2.0,2.0,,4.0,,,2.0,4.0,,4.0,,,3.0,3.0,1.0,2.0,4.0,3.0,2.0,,,,,,,,8.0,43,1.0,0.625,0.625,0.5714285714285714,,0.75,0.5434782608695652,,0.4285714285714285,0.5625,,0.5,21.09375,,,0.054054054054054,,0.08,,,,,0.1333333333333333,,0.1739130434782608,0.75,0.75,0.3333333333333333,,,,,,,,0.1428571428571428,1.0,0.5652173913043478,0.5197326086956522,,0.5120428571428572,,,,0.2962962962962963,14.342857142857143,0.3739130434782609,5.0,10.0,2.0,5.0,,1.0,1.0,4.0,,2.0,3.0,9.0,,3.0,9.0,,4.0,1.0,1.0,,,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,0.3333333333333333,,0.3333333333333333,0.391304347826087,0.0714285714285714,,,,0.1538461538461538,,,0.2222222222222222,,,0.4347826086956521,0.5,0.5555555555555556,0.8,0.217391304347826,0.4,0.4,1.0,0.1739130434782608,0.25,0.25,1.0,0.1428571428571428,,0.2857142857142857,,0.25,24.1,,,,,,6.0,3.0,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,0.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,3635.0,61,25.0,127,125,63,80,18.0,252,5.0,9.0,1.0,1.0,4.0,6.0,5.0,9.0,15.0,31.0,12.0,51.0,135,3.0,3.0,8.0,9.0,17.0,11.0,29.0,8.0,22.0,4.0,8.0,1.0,20.0,,,2.0,4.0,1.0,5.0,4.0,2.0,,4.0,1.0,2.0,5.0,12.0,15.0,6.0,,,,,,,29.0,63,2.0,0.2666666666666666,0.2857142857142857,0.4838709677419355,1.0,0.5294117647058824,0.5,1.0,0.45,0.5666666666666667,1.0,0.5576923076923077,33.793103448275865,1.0,,0.0454545454545454,,0.0655737704918032,0.02,,,0.1111111111111111,0.0666666666666666,,0.2307692307692307,0.5555555555555556,0.7142857142857143,0.2,0.2307692307692307,0.5555555555555556,0.625,0.2,0.3333333333333333,1.0,,0.3,0.6666666666666666,0.4358974358974359,0.474575641025641,0.4402,0.4762575,0.1428571428571428,0.1764705882352941,0.1568627450980392,0.5686274509803921,10.722580645161292,0.4960629921259842,5.0,13.0,,,,,3.0,8.0,,3.0,3.0,8.0,,3.0,9.0,2.0,8.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,,,,1.0,,3.0,1.0,0.375,,0.375,0.2051282051282051,0.0967741935483871,0.2222222222222222,,0.0256410256410256,0.1176470588235294,,,0.1111111111111111,0.125,,0.3333333333333333,0.3846153846153846,0.3846153846153846,0.4,,,,,0.2051282051282051,0.375,0.375,1.0,,,0.15,,0.375,25.15,,,,,,2.0,,2.0,,,,,,,,2.0,2.0,,1.0,3.0,3.0,,,1.0,1.0,0.1111111111111111,0.0909090909090909,,,,,,,,,,True,,,,,,,,,,,,,,
2772,1610612747,Trevor Ariza,Trevor Ariza,2772,LAL,3047.0,51,7.0,107,110,49,80,12.0,217,4.0,5.0,,1.0,2.0,2.0,1.0,1.0,8.0,11.0,6.0,25.0,112,,1.0,,4.0,5.0,5.0,16.0,8.0,8.0,2.0,5.0,,13.0,,,2.0,6.0,,6.0,,,,,,1.0,3.0,6.0,8.0,4.0,,,,,,,16.0,49,2.0,0.5,0.5,0.7272727272727273,,0.8,0.5,,0.6875,0.5434782608695652,,0.7272727272727273,19.00826446280992,,,0.05,,0.06,,,0.05,,0.0833333333333333,,0.2631578947368421,0.8,1.0,0.75,0.0526315789473684,1.0,1.0,1.0,1.0,,,0.25,1.0,0.6842105263157895,0.5306138888888888,,0.5286875000000001,0.1739130434782608,0.2666666666666666,,0.64,9.59090909090909,0.4579439252336448,3.0,5.0,,2.0,,,1.0,6.0,1.0,3.0,1.0,8.0,1.0,3.0,3.0,,5.0,1.0,1.0,3.0,1.0,,2.0,,1.0,3.0,,,2.0,1.0,,1.0,0.125,0.3333333333333333,0.1428571428571428,0.4210526315789473,0.0909090909090909,0.2,0.6,,0.1,,,,0.2,,0.2631578947368421,0.6,0.6,,0.1052631578947368,,,,0.3157894736842105,0.1666666666666666,0.1666666666666666,1.0,,,0.375,0.3333333333333333,0.2,30.725,,,,,1.0,3.0,2.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,
200770,1610612747,Jordan Farmar,Jordan Farmar,200770,LAL,1148.0,19,-8.0,47,45,29,38,4.0,92,1.0,2.0,,1.0,1.0,1.0,,,2.0,4.0,,13.0,53,,1.0,3.0,1.0,2.0,,8.0,2.0,2.0,3.0,4.0,,9.0,,,,,,,1.0,1.0,1.0,2.0,,2.0,2.0,,,,1.0,1.0,1.0,1.0,,,8.0,29,,0.5,0.5,0.5,,0.5,0.9285714285714286,0.75,1.0,0.9285714285714286,0.75,1.0,16.9811320754717,0.5,,,,,,,,,,1.0,0.2857142857142857,0.5,1.0,1.0,,,,,0.5,,,0.25,1.0,0.7142857142857143,0.5357928571428572,0.555675,0.556325,,,0.2307692307692307,0.6153846153846154,8.275,0.6170212765957447,1.0,2.0,,,,,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,9.0,,3.0,3.0,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,0.4285714285714285,0.25,0.5,,,,,,,,,0.2857142857142857,0.5,0.5,,,,,,0.4285714285714285,1.0,1.0,1.0,,,0.5,1.0,1.0,25.133333333333336,1.0,1.0,1.0,1.0,,2.0,1.0,,,,1.0,0.5,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2694,1610612747,Josh Powell,Josh Powell,2694,LAL,2677.0,45,-5.0,103,103,54,79,10.0,206,4.0,5.0,1.0,1.0,2.0,3.0,3.0,3.0,9.0,13.0,2.0,20.0,100,2.0,2.0,4.0,5.0,7.0,,10.0,12.0,6.0,1.0,3.0,,8.0,1.0,,5.0,11.0,4.0,15.0,2.0,2.0,5.0,7.0,2.0,4.0,7.0,1.0,2.0,1.0,,,,,1.0,,10.0,54,3.0,0.6666666666666666,0.75,0.6923076923076923,1.0,0.7142857142857143,0.6923076923076923,1.0,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857143,18.260869565217394,0.2857142857142857,,0.1923076923076923,0.125,0.2105263157894736,0.0975609756097561,,0.1,0.2857142857142857,0.2222222222222222,,0.3846153846153846,0.8,0.8,0.75,0.2307692307692307,1.0,1.0,0.3333333333333333,0.5,1.0,,0.4285714285714285,0.6666666666666666,0.3846153846153846,0.4685846153846154,0.44855,0.4782857142857142,0.0714285714285714,0.0714285714285714,0.2,0.5,9.084615384615384,0.5242718446601942,2.0,5.0,,,,,,,,,,,,,,2.0,,,,2.0,,1.0,,3.0,3.0,3.0,,,1.0,,,,,,,,,,0.4285714285714285,0.0909090909090909,0.25,,0.1578947368421052,0.2727272727272727,,,0.3846153846153846,0.4,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,2.0,,,0.3333333333333333,,,,,,,,,True,,,,,,,,,,,,,,
2200,1610612747,Pau Gasol,Pau Gasol,2200,LAL,3626.0,60,23.0,123,121,63,83,22.0,244,11.0,13.0,5.0,6.0,4.0,6.0,2.0,6.0,14.0,24.0,5.0,33.0,136,5.0,7.0,13.0,5.0,10.0,2.0,12.0,22.0,6.0,10.0,10.0,2.0,20.0,,,5.0,10.0,4.0,14.0,1.0,,1.0,2.0,2.0,1.0,2.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,,,12.0,63,1.0,0.7857142857142857,0.9166666666666666,0.5833333333333334,0.7142857142857143,0.5,0.5833333333333334,0.7142857142857143,0.5,0.5892857142857143,0.7222222222222222,0.5,20.54794520547945,0.5,,0.1470588235294117,,0.1923076923076923,0.0754716981132075,,0.2,0.1428571428571428,0.0833333333333333,0.5,0.5416666666666666,0.8461538461538461,0.8461538461538461,0.7272727272727273,0.25,0.3333333333333333,0.3333333333333333,1.0,0.8571428571428571,0.8333333333333334,0.6,0.6,0.6666666666666666,0.5416666666666666,0.503775,0.5595333333333333,0.5449299999999999,0.0769230769230769,0.0769230769230769,0.3939393939393939,0.3636363636363636,5.929166666666666,0.5121951219512195,1.0,5.0,,,,,,,,,,,,,,4.0,,,,,,5.0,3.0,4.0,5.0,,1.0,1.0,,,,,,,,,,,,0.1052631578947368,0.2777777777777778,0.2,0.0526315789473684,0.2727272727272727,0.2857142857142857,0.1,0.2083333333333333,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,3.0,3.0,,2.0,2.0,2.0,,,,,,0.1111111111111111,,,,,,,,,,True,,,,,,,,,,,,,,
