EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Loose Ball Fouls,Loose Ball Fouls Drawn,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,AtRimAssists,LostBallSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,PtsUnassisted3s,FTOffRebounds,BlockedShortMidRange,OffFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,Corner3Assists,HeaveAttempts,PenaltyArc3FGM,PenaltyFG3M,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,LongMidRangePctBlocked,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,on,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Technical Free Throw Trips,OffensiveGoaltends,HeaveMakes,BlockedCorner3,3pt And 1 Free Throw Trips,Corner3PctBlocked
101142,1610612744,Ronny Turiaf,Ronny Turiaf,101142,GSW,110.0,2,-1.0,4,3,1.0,3.0,2.0,7,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,33.333333333333336,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.35985,0.3088,0.5,14.15,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,1610612744,Corey Maggette,Corey Maggette,1894,GSW,3227.0,54,,118,119,64.0,52.0,17.0,237,,3.0,4.0,7.0,7.0,19.0,22.0,123,4.0,10.0,13.0,6.0,8.0,7.0,9.0,12,13.0,64.0,0.42857142857142855,0.42857142857142855,0.3684210526315789,0.4,0.3181818181818182,0.4,0.4074074074074074,0.5,28.888888888888886,0.16666666666666666,0.16363636363636364,0.25,0.13636363636363635,,,0.3181818181818182,0.5714285714285714,0.5714285714285714,0.5,0.5224636363636364,0.46101000000000003,0.5909090909090909,7.963157894736843,0.5423728813559322,3.0,9.0,1.0,3.0,3.0,3.0,8.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,4.0,1.0,5.0,1.0,4.0,11.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,8.0,1.0,2.0,2.0,12.0,1.0,7.0,2.0,7.0,2.0,11.0,1.0,11.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.8333333333333334,0.13636363636363635,0.15789473684210525,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.07142857142857142,0.15384615384615385,0.06382978723404255,0.16666666666666666,0.043478260869565216,0.1875,0.125,0.2,1.0,0.4090909090909091,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.13636363636363635,0.3,0.3333333333333333,0.5454545454545454,0.3395,0.16,0.18181818181818182,0.22727272727272727,24.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201176,1610612744,Jermareo Davidson,Jermareo Davidson,201176,GSW,6662.0,111,-18.0,242,244,123.0,99.0,33.0,486,2.0,5.0,8.0,19.0,17.0,35.0,42.0,248,8.0,16.0,24.0,22.0,12.0,22.0,24.0,34,24.0,123.0,0.6470588235294118,0.7333333333333333,0.4857142857142857,0.5,0.4857142857142857,0.5,0.4883720930232558,0.5217391304347826,17.266187050359715,0.25,0.2,0.275,0.14285714285714285,0.4,0.4,0.5428571428571428,0.42105263157894735,0.42105263157894735,0.75,0.45204857142857136,0.42541875000000007,0.5714285714285714,11.11142857142857,0.5082644628099173,7.0,11.0,2.0,3.0,,,8.0,4.0,8.0,4.0,12.0,8.0,,,1.0,,1.0,,,2.0,8.0,1.0,10.0,2.0,2.0,4.0,1.0,3.0,1.0,,1.0,,5.0,2.0,3.0,10.0,12.0,,12.0,,17.0,1.0,6.0,3.0,3.0,3.0,3.0,2.0,,3.0,0.5,0.5,0.5454545454545454,,,,,0.8,0.08080808080808081,0.037037037037037035,0.08547008547008547,0.11538461538461539,0.07142857142857142,0.24242424242424243,0.058823529411764705,,0.6666666666666666,0.3142857142857143,0.6363636363636364,0.6363636363636364,0.5714285714285714,,0.1875,0.6666666666666666,0.3142857142857143,0.49548333333333333,0.15,0.15,0.2857142857142857,,3.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,0.2,0.1111111111111111,0.058823529411764705,0.07692307692307693,0.2,0.2,0.1111111111111111,0.5,0.625,0.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201228,1610612744,C.J. Watson,C.J. Watson,201228,GSW,3419.0,57,-18.0,125,124,69.0,55.0,19.0,249,1.0,2.0,5.0,9.0,7.0,13.0,22.0,134,2.0,6.0,9.0,4.0,10.0,2.0,3.0,4,9.0,69.0,0.2857142857142857,0.2857142857142857,0.5384615384615384,0.3333333333333333,0.53125,0.2857142857142857,0.5789473684210527,0.45,15.862068965517242,0.04878048780487805,0.05660377358490566,,0.125,0.5,0.5,0.5625,0.5555555555555556,0.5555555555555556,0.2,0.46676562499999996,0.4895714285714285,0.4090909090909091,15.346153846153847,0.552,1.0,2.0,1.0,2.0,3.0,3.0,5.0,,,1.0,1.0,5.0,3.0,1.0,5.0,,5.0,,2.0,10.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0,3.0,1.0,,,,4.0,,1.0,4.0,4.0,,6.0,1.0,7.0,1.0,1.0,3.0,,,,,,3.0,,,0.5,0.1875,0.07692307692307693,0.5,,0.75,0.0196078431372549,0.08333333333333333,0.01694915254237288,,0.03225806451612903,0.07142857142857142,,0.14285714285714285,,0.125,0.5,1.0,1.0,0.1875,0.2857142857142857,0.5,0.3125,,0.0625,0.07692307692307693,0.045454545454545456,25.833333333333332,,,,,,,,,,,,,,,0.14285714285714285,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201627,1610612744,Anthony Morrow,Anthony Morrow,201627,GSW,4941.0,82,1.0,180,179,90.0,74.0,25.0,359,3.0,6.0,3.0,15.0,7.0,24.0,27.0,173,1.0,9.0,9.0,6.0,8.0,2.0,4.0,9,9.0,90.0,0.42857142857142855,0.5,0.2916666666666667,0.1111111111111111,0.3225806451612903,0.09090909090909091,0.38571428571428573,0.3,17.788461538461537,0.028985507246376812,0.0449438202247191,0.03225806451612903,0.1935483870967742,0.5,0.5,0.4838709677419355,0.2,0.2,0.3333333333333333,0.46463548387096776,0.45321818181818185,0.3333333333333333,13.741666666666665,0.5,1.0,3.0,,1.0,3.0,7.0,7.0,1.0,4.0,2.0,4.0,7.0,3.0,1.0,3.0,1.0,4.0,1.0,,9.0,3.0,2.0,5.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,3.0,4.0,,5.0,,8.0,,,4.0,1.0,,1.0,,1.0,4.0,0.25,0.25,0.4,0.22580645161290322,0.041666666666666664,0.3333333333333333,,0.5,0.038461538461538464,0.1,0.043478260869565216,,0.06521739130434782,,0.07142857142857142,0.16666666666666666,,0.0967741935483871,0.3333333333333333,0.5,1.0,0.0967741935483871,0.09090909090909091,,0.3225806451612903,0.511425,,,0.14814814814814814,24.200000000000006,,2.0,2.0,,1.0,,,,,,0.07142857142857142,,0.1,,0.08333333333333333,,0.3333333333333333,0.5,,,1.0,,2.0,2.0,3.0,1.0,3.0,1.0,0.5,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,1.0,4.0,2.0,3.0,1.0,1.0,0.1,0.12903225806451613,0.25,0.25,1.0,0.18181818181818182,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101145,1610612744,Monta Ellis,Monta Ellis,101145,GSW,879.0,15,-13.0,36,35,4.0,6.0,1.0,71,2.0,2.0,1.0,2.0,5.0,6.0,12.0,42,,1.0,,4.0,6.0,2.0,2.0,2,,4.0,0.4,0.4,0.8333333333333334,,0.7142857142857143,,0.75,,24.324324324324326,0.18181818181818182,0.14285714285714285,0.3333333333333333,0.2857142857142857,1.0,1.0,0.2857142857142857,0.5,0.5,,0.47494285714285717,0.4268,,8.299999999999999,0.1111111111111111,2.0,2.0,,,1.0,1.0,2.0,,,,,,1.0,,1.0,1.0,2.0,,1.0,5.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,0.14285714285714285,,,,,,,,,,0.16666666666666666,,,,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,,,0.42857142857142855,,0.125,0.14285714285714285,,27.4,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101235,1610612744,Kelenna Azubuike,Kelenna Azubuike,101235,GSW,987.0,16,-14.0,40,41,25.0,26.0,2.0,81,,1.0,1.0,1.0,2.0,5.0,6.0,45,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1,4.0,25.0,0.5,0.5,0.4,0.6666666666666666,0.4,0.6666666666666666,0.42857142857142855,0.5,16.27906976744186,0.09090909090909091,0.0625,0.2,0.2,,,0.2,1.0,1.0,1.0,0.55266,0.5270333333333334,0.6666666666666666,5.24,0.625,1.0,3.0,1.0,2.0,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,2.0,,4.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,0.2,0.3333333333333333,,,,,,,,,,,1.0,0.6,0.3333333333333333,0.5,,,0.6666666666666666,0.5,0.6,,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,1610612744,Stephen Jackson,Stephen Jackson,1536,GSW,1059.0,18,-9.0,40,43,31.0,21.0,7.0,83,,,1.0,4.0,3.0,7.0,9.0,50,2.0,6.0,7.0,2.0,4.0,2.0,5.0,5,7.0,31.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.3,0.25,0.375,0.35,27.083333333333336,0.14285714285714285,0.21052631578947367,0.14285714285714285,,,,0.4,0.25,0.25,,0.49835,0.4820214285714286,0.7777777777777778,11.071428571428571,0.775,2.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,3.0,2.0,,3.0,,3.0,,1.0,6.0,,2.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,3.0,,2.0,,4.0,,2.0,,,,,,2.0,,,,,0.3,,,,1.0,,0.4,,,,0.2,0.3333333333333333,0.5,,0.3,0.6666666666666666,0.6666666666666666,0.5,0.3,0.25,0.5,0.6,,0.16666666666666666,0.2222222222222222,,31.666666666666668,,,,,,1.0,,,,0.5,,,,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,,0.25,,,,,,,,,,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612744,Jamal Crawford,Jamal Crawford,2037,GSW,3469.0,58,4.0,125,127,70.0,57.0,16.0,252,3.0,6.0,2.0,9.0,11.0,22.0,41.0,125,5.0,11.0,21.0,6.0,16.0,4.0,6.0,7,21.0,70.0,0.2727272727272727,0.2727272727272727,0.5,0.45454545454545453,0.44642857142857145,0.40625,0.6029411764705882,0.5526315789473685,25.174825174825177,0.09090909090909091,0.10344827586206896,0.09090909090909091,0.21428571428571427,0.5,0.5,0.32142857142857145,0.2222222222222222,0.25,,0.4768074074074074,0.47541999999999995,0.5121951219512195,11.263636363636364,0.56,6.0,7.0,3.0,3.0,4.0,6.0,16.0,1.0,3.0,,2.0,8.0,3.0,1.0,5.0,,5.0,,4.0,10.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,,,,,2.0,,2.0,3.0,4.0,,8.0,,16.0,2.0,6.0,,1.0,1.0,1.0,1.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21428571428571427,0.045454545454545456,,,1.0,0.020833333333333332,0.14285714285714285,0.017543859649122806,,0.038461538461538464,0.07692307692307693,0.2,,1.0,0.25,0.8571428571428571,0.8571428571428571,0.5,0.14285714285714285,0.1875,1.0,0.4642857142857143,0.38954999999999995,0.23529411764705882,0.23076923076923078,0.04878048780487805,29.0,,,,,,,,,,,,,,,0.1111111111111111,,,,,,1.0,4.0,1.0,5.0,3.0,1.0,1.0,,1.0,0.16666666666666666,0.2,0.25,0.25,1.0,0.25,0.3333333333333333,,2.0,1.0,,,,,0.07142857142857142,,,,0.0625,,1.0,1.0,1.0,2.0,0.2,0.1111111111111111,0.25,0.25,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201148,1610612744,Brandan Wright,Brandan Wright,201148,GSW,546.0,9,-3.0,18,18,5.0,1.0,3.0,36,,,,1.0,1.0,4.0,2.0,21,1.0,2.0,2.0,,2.0,,,1,2.0,5.0,,,0.25,0.5,0.25,0.5,0.25,0.5,19.047619047619047,,,,,,,0.25,,,,0.47742500000000004,0.43175,1.0,5.0,0.2777777777777778,1.0,3.0,1.0,1.0,,,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,0.25,,,,0.14285714285714285,,0.1111111111111111,,0.25,,,,,0.75,0.3333333333333333,0.3333333333333333,,,0.5,1.0,0.75,0.543,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
