EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceTurnovers,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,BlocksRecoveredPct,HeaveMakes,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,Corner3PctBlocked,on
101126,1610612752,Nate Robinson,Nate Robinson,101126,NYK,74622.0,1244,-28.0,2541,2555,769.0,870.0,289,5096,102.0,165.0,10.0,16.0,34.0,55.0,29.0,69.0,50.0,112.0,21.0,60.0,2.0,6.0,6.0,16.0,53.0,170.0,5.0,13.0,12.0,53.0,181.0,346,74.0,230.0,134.0,718.0,2821,17.0,33.0,7.0,19.0,9.0,64.0,52.0,103.0,18.0,69.0,71.0,229.0,130.0,232.0,189.0,33.0,20.0,2.0,168.0,53.0,13.0,1.0,93.0,51.0,144.0,37.0,14.0,66.0,8.0,19.0,339.0,23.0,32.0,1.0,44.0,65.0,1.0,110.0,56.0,166.0,10.0,49.0,31.0,18.0,39.0,8.0,26.0,28.0,4.0,13.0,2.0,2.0,67.0,19.0,42.0,116.0,1.0,4.0,10.0,142.0,2.0,18.0,163.0,17.0,1.0,2.0,58.0,8.0,20.0,4.0,3.0,1.0,4.0,229.0,769.0,25.0,20.0,0.35911602209944754,0.38011695906432746,0.8513513513513513,0.3217391304347826,0.3684210526315789,0.2608695652173913,0.32456140350877194,0.523121387283237,0.5151515151515151,0.5048543689320388,0.5069444444444444,0.5288461538461539,0.45930232558139533,0.5566770186335404,0.5714285714285714,0.542654028436019,0.3993055555555556,0.004347826086956522,0.03757225433526012,0.05454545454545454,0.043478260869565216,0.008928571428571428,0.0058823529411764705,24.78215406064831,0.582089552238806,0.011235955056179775,0.01282051282051282,0.07975460122699386,0.04341926729986431,0.14814814814814814,0.04811715481171548,0.09802158273381295,0.04526748971193416,0.03592814371257485,0.05555555555555555,0.04484304932735426,0.05027932960893855,0.041666666666666664,0.037800687285223365,0.07264957264957266,0.12758620689655173,0.16279069767441862,0.10975609756097561,0.034013605442176874,0.2864583333333333,0.6181818181818182,0.6538461538461539,0.37254901960784315,0.11979166666666667,0.42028985507246375,0.4393939393939394,0.41379310344827586,0.19444444444444445,0.44642857142857145,0.45045045045045046,0.3,0.10416666666666667,0.35,0.35,0.9523809523809523,0.2951388888888889,0.31176470588235294,0.3136094674556213,0.8113207547169812,0.3076923076923077,0.625,0.1,0.11538461538461539,0.3333333333333333,1.0,0.25,0.38461538461538464,1.0,0.31976744186046513,0.6181818181818182,0.09302325581395349,0.375,0.3081395348837209,0.22641509433962265,0.6857638888888888,0.31547619047619047,0.5249889179755672,0.4903924242424243,0.5150138235294118,0.10576923076923077,0.14987080103359174,0.03375527426160337,0.08913649025069638,0.318941504178273,7.752890173410405,25.06652173913044,0.3026367571822117,,,,,,,,,,,,,True
101135,1610612752,David Lee,David Lee,101135,NYK,136777.0,2280,-212.0,4613,4621,1009.0,1156.0,532,9234,331.0,516.0,92.0,130.0,60.0,101.0,58.0,140.0,49.0,137.0,,,,,,,,1.0,,,,1.0,438.0,793,,1.0,215.0,1091.0,5206,103.0,147.0,,,25.0,231.0,71.0,133.0,,1.0,41.0,183.0,588.0,288.0,,,148.0,,1.0,,78.0,,62.0,78.0,140.0,55.0,23.0,40.0,5.0,17.0,358.0,67.0,143.0,1.0,151.0,374.0,61.0,586.0,211.0,797.0,32.0,60.0,44.0,16.0,75.0,13.0,47.0,51.0,11.0,28.0,,5.0,126.0,15.0,91.0,202.0,,19.0,15.0,200.0,14.0,7.0,279.0,37.0,,,138.0,,20.0,22.0,21.0,,22.0,183.0,1009.0,29.0,16.0,0.6712328767123288,0.8076923076923077,,,,,,0.5523329129886507,0.7006802721088435,0.5338345864661654,0.5516372795969773,0.7006802721088435,0.5298507462686567,0.5961748633879781,0.7129629629629629,0.5791139240506329,0.0012594458438287153,,0.09836065573770492,0.13565891472868216,0.05714285714285714,,,19.95017247987735,0.5952380952380952,0.4765625,0.00909090909090909,0.24751819986763732,0.09896193771626298,0.26964285714285713,0.08667529107373868,0.2535007242877837,0.09467989179440937,0.1346153846153846,0.08630952380952381,0.061855670103092786,0.09515570934256055,0.06153846153846154,0.21499013806706113,0.3,0.238013698630137,0.28921568627450983,0.21710526315789475,0.11552346570397112,0.6498740554156172,0.6414728682170543,0.742152466367713,0.6646525679758308,0.17632241813602015,0.4142857142857143,0.4393939393939394,0.5517241379310345,0.172544080604534,0.35766423357664234,0.35766423357664234,0.8571428571428571,,,,,0.0012594458438287153,,,,0.8843537414965986,0.7076923076923077,0.17391304347826086,,,,,,,0.753731343283582,0.594059405940594,,,0.007462686567164179,,0.6511335012594458,,0.5295247481108313,0.557197520661157,0.541211567164179,0.15418994413407822,0.15436241610738255,,0.21173235563703025,0.1677360219981668,4.60655737704918,29.0,0.2187296769997832,13.0,1.0,13.0,5.0,7.0,0.5909090909090909,,,,,,,True
101194,1610612752,Anthony Roberson,Anthony Roberson,101194,NYK,7545.0,126,-11.0,259,258,61.0,86.0,34,517,3.0,4.0,,,,,,4.0,3.0,7.0,2.0,15.0,,,,3.0,9.0,22.0,1.0,1.0,5.0,9.0,6.0,15,11.0,37.0,5.0,50.0,280,2.0,2.0,1.0,1.0,,7.0,1.0,2.0,5.0,12.0,,17.0,6.0,6.0,33.0,,,,22.0,9.0,1.0,,3.0,4.0,7.0,3.0,1.0,2.0,,1.0,18.0,1.0,1.0,1.0,1.0,4.0,,5.0,3.0,8.0,,5.0,3.0,2.0,,,,1.0,1.0,,,,1.0,,2.0,12.0,,1.0,,4.0,1.0,1.0,5.0,,,1.0,2.0,,,1.0,,,1.0,17.0,61.0,4.0,,0.5,0.5,1.0,0.2972972972972973,1.0,0.4166666666666667,0.2972972972972973,0.4,1.0,0.5,0.4326923076923077,1.1666666666666667,0.6071428571428571,0.4537037037037037,1.1666666666666667,0.6071428571428571,0.7115384615384616,,0.06666666666666667,0.25,,,,18.394648829431436,,,0.14285714285714285,0.0425531914893617,0.013888888888888888,0.03225806451612903,0.014925373134328358,0.04,0.014388489208633094,,,0.0625,0.020833333333333332,,0.04,,0.07142857142857142,,0.08333333333333333,,0.07692307692307693,0.75,1.0,0.3333333333333333,0.07692307692307693,,,,0.1346153846153846,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.28846153846153844,0.13333333333333333,0.13333333333333333,1.0,0.4230769230769231,0.4090909090909091,0.4090909090909091,1.0,,,,,,,0.3333333333333333,1.0,1.0,,,0.21428571428571427,,0.6428571428571429,0.5555555555555556,0.7884615384615384,0.4090909090909091,0.5180394230769231,0.4192,0.4811642857142857,0.037037037037037035,0.11764705882352941,,0.14,0.34,10.46,24.52972972972973,0.23552123552123552,,1.0,1.0,,,1.0,,,,,,,True
200776,1610612752,Mardy Collins,Mardy Collins,200776,NYK,1320.0,22,-15.0,48,49,13.0,29.0,9,97,3.0,7.0,,1.0,1.0,1.0,1.0,3.0,,,,1.0,,,,1.0,,,,,,,4.0,10,,1.0,2.0,10.0,52,,2.0,,,,,1.0,1.0,,1.0,,2.0,4.0,4.0,,,,,,,4.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,3.0,4.0,,,,3.0,,,2.0,,,,1.0,,,,,,,2.0,13.0,1.0,,0.5,0.5,,,,,,0.4,,1.0,0.36363636363636365,,0.5,0.4166666666666667,,0.5,0.09090909090909091,,0.4,0.42857142857142855,0.3333333333333333,,,22.413793103448278,1.0,0.16666666666666666,,0.07692307692307693,0.04,0.3333333333333333,,0.125,0.03225806451612903,0.1,,,,,,,0.2,0.3333333333333333,,,0.6363636363636364,0.42857142857142855,0.75,0.6666666666666666,0.2727272727272727,0.3333333333333333,0.5,,,,,,0.09090909090909091,,,,,,,,0.5,,,,,,,,,0.5,1.0,0.5,,,,0.7272727272727273,,0.5133863636363637,0.4439,0.538525,0.08333333333333333,0.09090909090909091,,,0.2,3.5100000000000002,23.9,0.2708333333333333,,,,,,,,,,,,,True
2768,1610612752,Chris Duhon,Chris Duhon,2768,NYK,174381.0,2906,-223.0,5883,5899,1361.0,1477.0,669,11782,111.0,230.0,9.0,21.0,21.0,61.0,19.0,56.0,30.0,70.0,21.0,50.0,3.0,8.0,4.0,12.0,106.0,275.0,12.0,22.0,26.0,69.0,160.0,356,127.0,325.0,179.0,880.0,6573,11.0,31.0,15.0,30.0,11.0,78.0,28.0,89.0,30.0,81.0,86.0,232.0,36.0,284.0,222.0,159.0,8.0,7.0,267.0,105.0,36.0,,358.0,208.0,566.0,151.0,57.0,242.0,33.0,83.0,1340.0,21.0,24.0,,58.0,129.0,14.0,201.0,45.0,246.0,12.0,72.0,51.0,21.0,157.0,36.0,114.0,64.0,9.0,43.0,1.0,11.0,221.0,46.0,54.0,126.0,,2.0,4.0,170.0,1.0,18.0,209.0,14.0,1.0,34.0,60.0,3.0,31.0,6.0,2.0,1.0,7.0,232.0,1361.0,29.0,29.0,0.1125,0.11538461538461539,0.5826771653543307,0.39076923076923076,0.5,0.37037037037037035,0.39622641509433965,0.449438202247191,0.3548387096774194,0.3146067415730337,0.5146842878120411,0.5491803278688525,0.4294117647058823,0.5611842105263158,0.5661764705882353,0.5328638497652582,0.47723935389133626,,0.10112359550561797,0.1391304347826087,0.05357142857142857,0.014285714285714285,,14.739058505038352,0.7104072398190046,0.08284023668639054,,0.06753926701570681,0.013318534961154272,0.08100558659217877,0.020309477756286266,0.07121096725057122,0.015867418899858956,0.021410579345088162,0.007334963325183374,0.00667779632721202,0.01832460732984293,0.025925925925925925,0.05705229793977813,0.04716981132075472,0.09078771695594126,0.07722007722007722,0.09090909090909091,0.034482758620689655,0.3377386196769457,0.4826086956521739,0.5606060606060606,0.12612612612612611,0.08223201174743025,0.3392857142857143,0.3584905660377358,0.05263157894736842,0.1027900146842878,0.42857142857142855,0.43478260869565216,0.1,0.07342143906020558,0.42,0.42,0.9523809523809523,0.40381791483113066,0.38545454545454544,0.38545454545454544,0.5094339622641509,0.3442622950819672,0.42857142857142855,0.3333333333333333,0.13114754098360656,0.375,1.0,0.36065573770491804,0.5454545454545454,0.8333333333333334,0.3588235294117647,0.3442622950819672,0.07058823529411765,0.3333333333333333,0.40588235294117647,0.37681159420289856,0.8149779735682819,0.39325842696629215,0.5426935459940654,0.523153488372093,0.518218181818182,0.08641975308641975,0.14925373134328357,0.009174311926605505,0.08863636363636364,0.2636363636363636,5.260955056179774,25.70461538461538,0.23134455209926907,14.0,3.0,5.0,,,0.7142857142857143,1.0,1.0,1.0,,,,True
201163,1610612752,Wilson Chandler,Wilson Chandler,201163,NYK,117733.0,1962,-184.0,3994,4001,917.0,860.0,441,7995,123.0,213.0,19.0,33.0,33.0,57.0,49.0,122.0,84.0,218.0,29.0,78.0,2.0,3.0,5.0,15.0,44.0,150.0,4.0,15.0,7.0,34.0,256.0,553,73.0,228.0,132.0,863.0,4479,37.0,63.0,6.0,18.0,13.0,105.0,52.0,117.0,12.0,49.0,50.0,190.0,244.0,268.0,204.0,15.0,24.0,1.0,149.0,44.0,34.0,,68.0,55.0,123.0,37.0,18.0,37.0,6.0,25.0,301.0,17.0,44.0,4.0,67.0,154.0,19.0,240.0,65.0,305.0,14.0,57.0,42.0,15.0,45.0,10.0,26.0,62.0,5.0,19.0,6.0,20.0,107.0,20.0,126.0,191.0,,2.0,16.0,143.0,8.0,12.0,167.0,25.0,1.0,,78.0,3.0,15.0,55.0,40.0,2.0,56.0,190.0,917.0,15.0,14.0,0.4765625,0.5,0.9315068493150684,0.3201754385964912,0.3333333333333333,0.24489795918367346,0.32158590308370044,0.4629294755877034,0.5873015873015873,0.4444444444444444,0.4679897567221511,0.5679012345679012,0.42168674698795183,0.5070505287896592,0.5965909090909091,0.4896907216494845,0.2919334186939821,,0.06148282097649186,0.11267605633802817,0.07377049180327869,0.0045871559633027525,,21.27612272120943,0.4205607476635514,0.18811881188118812,0.039603960396039604,0.12012480499219969,0.03528468323977546,0.13535353535353536,0.024745269286754003,0.12436691052335397,0.03154084798345398,0.04798464491362764,0.031141868512110725,0.02288329519450801,0.015717092337917484,0.05056179775280899,0.08139534883720931,0.13725490196078433,0.1414141414141414,0.14681440443213298,0.1044776119402985,0.03365384615384615,0.2727272727272727,0.5774647887323944,0.6507936507936508,0.4878048780487805,0.15620998719590268,0.4016393442622951,0.4336283185840708,0.14285714285714285,0.2791293213828425,0.3853211009174312,0.3870967741935484,0.6547619047619048,0.0998719590268886,0.3717948717948718,0.3717948717948718,0.9655172413793104,0.19206145966709348,0.29333333333333333,0.29333333333333333,0.9090909090909091,0.4074074074074074,0.5757575757575758,0.3157894736842105,0.037037037037037035,0.6666666666666666,1.0,0.18518518518518517,0.26666666666666666,0.5,0.3433734939759036,0.5789473684210527,0.09036144578313253,0.3333333333333333,0.20481927710843373,0.20588235294117646,0.5646606914212549,0.2953020134228188,0.510799294871795,0.4991296610169492,0.5080787878787878,0.09688995215311005,0.12871287128712872,0.013043478260869565,0.12166859791425261,0.220162224797219,9.261663652802895,24.66403508771931,0.22959439158738107,8.0,13.0,28.0,1.0,4.0,0.5,,1.0,1.0,1.0,1.0,,True
2047,1610612752,Quentin Richardson,Quentin Richardson,2047,NYK,85728.0,1429,-123.0,2893,2901,506.0,631.0,322,5794,64.0,142.0,8.0,26.0,8.0,31.0,12.0,37.0,25.0,76.0,25.0,67.0,1.0,4.0,4.0,9.0,74.0,199.0,3.0,17.0,11.0,33.0,101.0,255,99.0,266.0,71.0,570.0,3238,9.0,30.0,4.0,21.0,8.0,38.0,12.0,46.0,15.0,42.0,25.0,94.0,94.0,108.0,291.0,6.0,14.0,1.0,198.0,74.0,29.0,4.0,65.0,26.0,91.0,19.0,7.0,38.0,9.0,18.0,208.0,16.0,36.0,,44.0,131.0,11.0,186.0,52.0,238.0,12.0,39.0,25.0,14.0,29.0,9.0,21.0,24.0,2.0,8.0,5.0,5.0,53.0,5.0,63.0,99.0,,1.0,1.0,74.0,5.0,9.0,90.0,12.0,,,43.0,,8.0,3.0,2.0,1.0,3.0,94.0,506.0,8.0,8.0,0.46534653465346537,0.5,0.9797979797979798,0.37218045112781956,0.19047619047619047,0.35714285714285715,0.37358490566037733,0.396078431372549,0.3,0.2608695652173913,0.47888675623800386,0.29411764705882354,0.39204545454545453,0.5089285714285714,0.3333333333333333,0.46078431372549017,0.510556621880998,0.015037593984962405,0.11372549019607843,0.18309859154929578,0.02702702702702703,0.02631578947368421,0.020100502512562814,18.75764993880049,0.5471698113207547,0.1375,,0.13731656184486374,0.04044943820224719,0.11827956989247312,0.031683168316831684,0.13197586726998492,0.03727598566308244,0.05275779376498801,0.016574585635359115,0.03767123287671233,0.029177718832891247,0.0390625,0.10725552050473186,0.10843373493975904,0.18041237113402062,0.12546125461254612,0.09900990099009901,0.042105263157894736,0.272552783109405,0.4507042253521127,0.5517241379310345,0.484375,0.0710172744721689,0.32432432432432434,0.3333333333333333,0.08333333333333333,0.14587332053742802,0.32894736842105265,0.33783783783783783,0.6,0.12859884836852206,0.373134328358209,0.373134328358209,1.0,0.381957773512476,0.37185929648241206,0.37948717948717947,0.972972972972973,0.5098039215686274,0.3076923076923077,,0.0784313725490196,0.25,1.0,0.3333333333333333,0.17647058823529413,1.0,0.3522727272727273,0.25806451612903225,0.10227272727272728,0.4444444444444444,0.375,0.3333333333333333,0.783109404990403,0.37373737373737376,0.5417145192307691,0.5440166666666666,0.5305201149425287,0.07789855072463768,0.15034965034965034,,0.06666666666666667,0.1649122807017544,6.92156862745098,25.03571428571429,0.17490494296577946,8.0,,1.0,1.0,,0.3333333333333333,,,,1.0,,,True
2216,1610612752,Zach Randolph,Zach Randolph,2216,NYK,19862.0,331,-42.0,682,680,128.0,135.0,79,1362,35.0,66.0,15.0,29.0,10.0,20.0,13.0,34.0,17.0,43.0,1.0,7.0,,,,,5.0,13.0,1.0,3.0,1.0,1.0,65.0,143,6.0,20.0,48.0,196.0,733,16.0,35.0,1.0,3.0,12.0,47.0,13.0,30.0,1.0,1.0,15.0,44.0,72.0,58.0,12.0,6.0,22.0,,13.0,5.0,16.0,,7.0,7.0,14.0,2.0,5.0,6.0,,1.0,35.0,5.0,30.0,,8.0,69.0,5.0,82.0,35.0,117.0,6.0,10.0,9.0,1.0,5.0,1.0,2.0,12.0,4.0,3.0,,2.0,17.0,3.0,12.0,25.0,,2.0,4.0,43.0,6.0,2.0,57.0,7.0,,,31.0,,1.0,3.0,1.0,,3.0,44.0,128.0,3.0,1.0,0.5538461538461539,0.6666666666666666,0.6666666666666666,0.3,0.3333333333333333,1.0,0.3,0.45454545454545453,0.45714285714285713,0.43333333333333335,0.4539877300613497,0.4605263157894737,0.46774193548387094,0.5212765957446809,0.5340909090909091,0.55,0.12269938650306748,,0.11188811188811189,0.21212121212121213,0.058823529411764705,,,26.657997399219763,0.29411764705882354,0.21739130434782608,,0.2804878048780488,0.13274336283185842,0.13793103448275862,0.04,0.2532894736842105,0.09971509971509972,0.19607843137254902,0.10638297872340426,0.06493506493506493,0.04819277108433735,0.023809523809523808,0.2727272727272727,0.3230769230769231,0.25961538461538464,0.13953488372093023,0.13333333333333333,0.07894736842105263,0.4049079754601227,0.5303030303030303,0.6730769230769231,0.4857142857142857,0.2085889570552147,0.38235294117647056,0.40625,0.5384615384615384,0.26380368098159507,0.3953488372093023,0.3953488372093023,0.7058823529411765,0.04294478527607362,0.14285714285714285,0.14285714285714285,,0.07975460122699386,0.38461538461538464,0.38461538461538464,0.8,0.7631578947368421,0.5172413793103449,0.13333333333333333,,,,0.07894736842105263,0.3333333333333333,1.0,0.6451612903225806,0.5,,,0.03225806451612903,1.0,0.5276073619631901,0.38461538461538464,0.5006374233128835,0.5400939393939393,0.5286290322580645,0.1657754010695187,0.18562874251497005,,0.23979591836734693,0.22448979591836735,7.653146853146854,24.76,0.187683284457478,,2.0,,1.0,1.0,,,,,,,,True
1501,1610612752,Tim Thomas,Tim Thomas,1501,NYK,30449.0,507,-27.0,1008,1017,274.0,346.0,117,2025,29.0,46.0,3.0,8.0,11.0,12.0,11.0,27.0,7.0,20.0,13.0,25.0,,2.0,3.0,7.0,31.0,72.0,2.0,8.0,9.0,19.0,47.0,93,44.0,97.0,34.0,260.0,1128,5.0,13.0,2.0,10.0,3.0,19.0,17.0,26.0,12.0,26.0,8.0,78.0,62.0,32.0,123.0,9.0,2.0,,72.0,31.0,9.0,1.0,15.0,10.0,25.0,6.0,4.0,10.0,2.0,3.0,60.0,5.0,9.0,,16.0,39.0,6.0,61.0,14.0,75.0,2.0,13.0,7.0,6.0,12.0,2.0,6.0,18.0,2.0,6.0,,7.0,30.0,8.0,34.0,59.0,,1.0,7.0,37.0,5.0,2.0,44.0,4.0,2.0,,14.0,6.0,3.0,7.0,7.0,,7.0,78.0,274.0,6.0,3.0,0.6595744680851063,0.6739130434782609,0.9318181818181818,0.4536082474226804,0.2,0.46153846153846156,0.4536082474226804,0.5053763440860215,0.38461538461538464,0.6538461538461539,0.5947368421052631,0.34782608695652173,0.6730769230769231,0.6280193236714976,0.36538461538461536,0.6610169491525424,0.5105263157894737,0.010309278350515464,0.0967741935483871,0.13043478260869565,0.07407407407407407,0.05,0.013888888888888888,20.75306479859895,0.4,0.15,,0.12037037037037036,0.033210332103321034,0.11594202898550725,0.023923444976076555,0.11904761904761904,0.029166666666666667,0.046511627906976744,,0.0410958904109589,0.013513513513513514,0.04918032786885246,0.1262135922330097,0.11538461538461539,0.11888111888111888,0.16853932584269662,0.02040816326530612,0.022988505747126436,0.24210526315789474,0.6304347826086957,0.725,0.6896551724137931,0.14210526315789473,0.4074074074074074,0.44,0.5454545454545454,0.10526315789473684,0.35,0.3684210526315789,0.7142857142857143,0.13157894736842105,0.52,0.52,1.0,0.37894736842105264,0.4305555555555556,0.43661971830985913,0.9032258064516129,0.34782608695652173,0.375,0.3333333333333333,0.08695652173913043,,,0.34782608695652173,0.25,1.0,0.23076923076923078,0.9166666666666666,0.1346153846153846,0.42857142857142855,0.36538461538461536,0.47368421052631576,0.7526315789473684,0.4305555555555556,0.5304178947368421,0.5279382352941178,0.5231798076923078,0.09803921568627451,0.13592233009708737,0.0594059405940594,0.07307692307692308,0.3,6.634408602150538,24.594845360824745,0.2718253968253968,1.0,,2.0,,,0.2857142857142857,,,,1.0,,,True
1733,1610612752,Al Harrington,Al Harrington,1733,NYK,105790.0,1763,-82.0,3569,3567,880.0,952.0,400,7136,148.0,263.0,27.0,41.0,31.0,55.0,43.0,110.0,60.0,143.0,27.0,77.0,1.0,5.0,7.0,18.0,92.0,256.0,8.0,18.0,22.0,54.0,251.0,516,119.0,333.0,161.0,1020.0,3979,36.0,62.0,9.0,23.0,30.0,129.0,51.0,100.0,29.0,72.0,62.0,251.0,150.0,352.0,321.0,36.0,30.0,1.0,255.0,92.0,52.0,,42.0,22.0,64.0,14.0,8.0,30.0,6.0,6.0,150.0,18.0,39.0,1.0,61.0,161.0,11.0,233.0,58.0,291.0,12.0,59.0,29.0,30.0,56.0,9.0,27.0,56.0,8.0,29.0,,13.0,112.0,28.0,67.0,162.0,,6.0,19.0,178.0,15.0,12.0,201.0,19.0,,,84.0,2.0,23.0,16.0,11.0,,16.0,251.0,880.0,21.0,19.0,0.29880478087649404,0.3177966101694915,0.8991596638655462,0.35735735735735735,0.391304347826087,0.4027777777777778,0.35843373493975905,0.48643410852713176,0.5806451612903226,0.51,0.5058892815076561,0.5823529411764706,0.5494186046511628,0.5431309904153354,0.6323529411764706,0.606280193236715,0.392226148409894,,0.10077519379844961,0.1482889733840304,0.1,0.013986013986013986,,26.029776674937967,0.5,0.10091743119266056,0.011235955056179775,0.14375,0.0362453531598513,0.13203463203463203,0.02903225806451613,0.14032869785082175,0.033608490566037735,0.05154639175257732,0.023622047244094488,0.02373887240356083,0.025974025974025976,0.0379746835443038,0.1322314049586777,0.159375,0.14187643020594964,0.10714285714285714,0.1984126984126984,0.028368794326241134,0.30977620730270905,0.5627376425855514,0.6607142857142857,0.34459459459459457,0.12956419316843346,0.39090909090909093,0.43434343434343436,0.16279069767441862,0.1684334511189635,0.4195804195804196,0.425531914893617,0.2833333333333333,0.09069493521790342,0.35064935064935066,0.35064935064935066,0.9259259259259259,0.30153121319199055,0.359375,0.359375,0.8913043478260869,0.4823529411764706,0.6585365853658537,0.1111111111111111,0.058823529411764705,0.2,,0.21176470588235294,0.4444444444444444,0.875,0.31976744186046513,0.5636363636363636,0.10465116279069768,0.3888888888888889,0.313953488372093,0.4074074074074074,0.702002355712603,0.3607843137254902,0.527633962264151,0.518355172413793,0.5181020467836258,0.09388646288209607,0.14457831325301204,0.005970149253731343,0.1264705882352941,0.246078431372549,7.067054263565892,24.87927927927928,0.24656766601288876,11.0,5.0,7.0,,3.0,0.4375,,,,,3.0,,True
