EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,OffTwoPtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted3sPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,LongMidRangeAssists,SecondChanceFg2Pct,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,3SecondViolations,SecondChanceArc3FGM,SecondChanceArc3FGA,ShortMidRangeAssists,Clear Path Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimPctAssisted,HeaveAttempts,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffShortMidRangeReboundPct,SecondChanceCorner3PctAssisted,BlockedLongMidRange,LongMidRangePctBlocked,FTOffRebounds,Blocked3s,BlockedArc3,BlockedCorner3,OffFTReboundPct,on,StepOutOfBoundsTurnovers,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked
101194,1610612741,Anthony Roberson,Anthony Roberson,101194,CHI,965.0,16,30,30,14.0,9,3,60,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,3.0,1.0,4,2.0,8.0,8.0,27,1.0,1.0,1.0,3.0,1.0,2.0,2.0,5.0,8.0,2.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,5.0,8.0,14.0,1.0,1.0,0.25,1.0,0.4,0.25,0.25,0.5,0.3333333333333333,0.75,0.5714285714285714,0.3333333333333333,0.75,0.5714285714285714,0.6666666666666666,0.25,0.5,35.29411764705882,0.2727272727272727,0.16666666666666666,0.1,0.23529411764705882,0.05263157894736842,0.5,0.5,0.5,0.16666666666666666,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5,0.16666666666666666,0.16666666666666666,0.5,1.0,0.2857142857142857,0.5,0.2857142857142857,0.5,0.42857142857142855,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.49288333333333334,0.3794,0.5282642857142857,0.375,1.0,10.325,25.299999999999997,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
200748,1610612741,Tyrus Thomas,Tyrus Thomas,200748,CHI,7823.0,130,247,246,74.0,70,39,493,11.0,18.0,3.0,3.0,10.0,,2.0,,1.0,,2.0,1.0,1.0,1.0,1.0,17.0,33,1.0,3.0,49.0,239,4.0,,1.0,1.0,5.0,7.0,1.0,3.0,17.0,26.0,,1.0,1.0,5.0,4.0,7.0,4.0,17.0,2.0,4.0,17.0,24.0,11.0,35.0,17.0,74.0,0.7647058823529411,0.7647058823529411,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.5151515151515151,0.7142857142857143,0.5138888888888888,,0.65,0.5697674418604651,0.08333333333333333,0.6538461538461539,0.08333333333333333,0.15151515151515152,0.16666666666666666,18.213058419243985,0.2125,0.14285714285714285,0.05263157894736842,0.19444444444444445,0.08943089430894309,,0.2222222222222222,0.21052631578947367,0.5,0.6111111111111112,0.7333333333333333,0.7272727272727273,0.2777777777777778,0.05555555555555555,,,0.027777777777777776,1.0,1.0,0.2,,0.3,1.0,0.2,,0.1,1.0,0.5833333333333334,1.0,0.4940750000000002,0.5515666666666666,0.46833,0.02040816326530612,0.3469387755102041,7.245454545454546,24.366666666666664,0.29959514170040485,-7.0,3.0,1.0,5.0,5.0,12.0,1.0,4.0,8.0,3.0,3.0,2.0,1.0,9.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,6.0,1.0,3.0,1.0,10.0,2.0,2.0,8.0,15.0,1.0,1.0,15.0,2.0,3.0,16.0,2.0,9.0,5.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,0.4,0.4,0.23076923076923078,0.10588235294117647,0.10344827586206896,0.16666666666666666,0.0625,0.16666666666666666,0.2857142857142857,0.08333333333333333,0.4,0.1388888888888889,0.2,0.3333333333333333,1.0,0.5,0.5,0.8,1.0,0.6,0.20930232558139536,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201189,1610612741,Aaron Gray,Aaron Gray,201189,CHI,3873.0,65,121,121,44.0,36,19,242,9.0,15.0,3.0,5.0,2.0,,,,,,,,,,,12.0,21,,,30.0,126,5.0,,,7.0,3.0,6.0,,,10.0,10.0,,,,3.0,1.0,4.0,,11.0,2.0,4.0,5.0,9.0,6.0,15.0,10.0,44.0,0.4166666666666667,0.5555555555555556,,,,,0.5714285714285714,0.5,0.5714285714285714,0.6,0.5,0.6,0.5833333333333334,0.625,,0.14285714285714285,0.2,19.863013698630137,0.1111111111111111,0.3076923076923077,0.08,0.15517241379310345,0.09090909090909091,0.2,0.19047619047619047,0.42857142857142855,0.7142857142857143,0.6,0.75,0.4444444444444444,0.09523809523809523,,,,,,,,,0.8333333333333334,0.6,,,,,0.7142857142857143,,0.515957142857143,0.5571666666666667,0.5138833333333334,0.23333333333333334,0.3333333333333333,3.4428571428571426,,0.36363636363636365,-14.0,4.0,3.0,4.0,,6.0,1.0,4.0,14.0,,3.0,3.0,,4.0,,1.0,3.0,2.0,1.0,3.0,,3.0,1.0,,,,4.0,1.0,3.0,7.0,16.0,2.0,1.0,9.0,1.0,,10.0,2.0,6.0,1.0,1.0,,1.0,1.0,,,4.0,,,0.75,,0.0975609756097561,0.16666666666666666,0.058823529411764705,0.05,,0.16666666666666666,0.16666666666666666,1.0,0.19047619047619047,0.75,0.75,0.3333333333333333,,,,,0.8,0.24,0.24,3.0,3.0,6.0,1.0,0.6,0.16666666666666666,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2669,1610612741,Linton Johnson,Linton Johnson,2669,CHI,955.0,16,29,29,10.0,4,5,58,,,,,2.0,,,,,,,,,,,,3,,,,24,2.0,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,,10.0,,,,,,,,,,,,,,,,,,11.11111111111111,0.125,0.125,,0.125,0.05,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,0.4101333333333333,0.41255,0.39595,,,14.533333333333331,,0.3448275862068966,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,0.08333333333333333,,0.125,,0.5,,,,0.3333333333333333,,,,,,,,,,,,,,,,0.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
283,1610612741,Lindsey Hunter,Lindsey Hunter,283,CHI,15927.0,265,499,502,158.0,156,77,1001,8.0,12.0,,,15.0,4.0,7.0,,,2.0,3.0,12.0,41.0,2.0,8.0,11.0,34,16.0,48.0,73.0,540,1.0,1.0,4.0,5.0,2.0,9.0,4.0,11.0,18.0,,6.0,41.0,12.0,3.0,29.0,37.0,15.0,82.0,1.0,2.0,8.0,10.0,2.0,12.0,18.0,158.0,,,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3235294117647059,0.2222222222222222,0.4268292682926829,0.5,0.4,0.43452380952380953,0.5,0.42857142857142855,0.5853658536585366,0.08823529411764706,0.08333333333333333,17.57679180887372,0.05063291139240506,0.038461538461538464,0.01282051282051282,0.047619047619047616,0.007874015748031496,,0.06944444444444445,,0.14634146341463414,0.6666666666666666,0.7272727272727273,,0.18292682926829268,0.08536585365853659,0.5714285714285714,0.5714285714285714,0.5,0.2926829268292683,0.2926829268292683,,,,,0.15,0.6666666666666666,0.4,0.25,0.7317073170731707,0.2926829268292683,0.4913728395061728,0.538775,0.43571499999999996,0.0684931506849315,0.2465753424657534,10.741176470588236,25.104166666666668,0.3166332665330661,-49.0,1.0,2.0,7.0,1.0,3.0,,2.0,22.0,42.0,8.0,4.0,4.0,1.0,,1.0,20.0,8.0,12.0,8.0,4.0,6.0,11.0,1.0,2.0,2.0,19.0,1.0,5.0,9.0,28.0,,2.0,11.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,,1.0,,,,4.0,0.875,0.2857142857142857,0.42105263157894735,,0.005681818181818182,,0.0125,0.015151515151515152,0.03571428571428571,0.03333333333333333,0.02,,0.08536585365853659,0.2857142857142857,0.4,,0.06666666666666667,0.06666666666666667,,0.8333333333333334,0.2,0.024096385542168676,0.05714285714285714,1.0,1.0,2.0,9.0,1.0,0.11764705882352941,1.0,,1.0,4.0,5.0,1.0,1.0,1.0,1.0,0.8,0.25,1.0,,,,,,,,,,,,,,,,True,,,,,,
2736,1610612741,Luol Deng,Luol Deng,2736,CHI,3106.0,52,94,92,32.0,31,13,186,1.0,3.0,,1.0,9.0,,,,,,,,,,,5.0,14,,,14.0,97,2.0,,,4.0,1.0,4.0,,,4.0,8.0,,,,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,32.0,0.8,0.8,,,,,0.35714285714285715,0.25,0.35714285714285715,0.5,0.25,0.4375,0.6666666666666666,0.4,,0.07142857142857142,0.3333333333333333,17.431192660550458,0.05405405405405406,0.125,0.09090909090909091,0.06666666666666667,0.022727272727272728,,0.0625,0.16666666666666666,0.21428571428571427,0.3333333333333333,0.5,1.0,0.6428571428571429,,,,,,,,,0.25,,,,,,0.21428571428571427,,0.4194928571428571,0.4728,0.39575,0.2857142857142857,0.2857142857142857,14.950000000000001,,0.3404255319148936,-10.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,,,,,,,,4.0,3.0,1.0,2.0,,,1.0,1.0,2.0,,3.0,,,,2.0,,,2.0,,,4.0,,2.0,,,,,,,,2.0,,,0.6666666666666666,,,,,0.125,0.06666666666666667,,,,0.14285714285714285,1.0,1.0,0.5,0.2222222222222222,0.2222222222222222,1.0,,0.5,0.125,0.125,1.0,1.0,,1.0,0.5,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,
1501,1610612741,Tim Thomas,Tim Thomas,1501,CHI,207.0,3,5,7,,1,1,12,,,,,2.0,,,,,,,,,,,,2,,,,4,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,33.333333333333336,0.5,,0.5,0.3333333333333333,0.2,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.4316,,,,,19.450000000000003,,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1802,1610612741,Brad Miller,Brad Miller,1802,CHI,382.0,6,9,10,2.0,1,3,19,,,,,1.0,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,16.666666666666668,,0.3333333333333333,,0.2,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,0.4117,,,,,20.2,,0.2222222222222222,-6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2422,1610612741,John Salmons,John Salmons,2422,CHI,353.0,6,9,11,,1,3,20,,,,,1.0,,,,,,,,1.0,,,,1,,1.0,2.0,11,,,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.5,,,25.0,,,,,0.125,,,,,,,,0.5,,,,0.5,,,,,,,,,,,0.5,,0.479175,,,1.0,,14.9,25.4,,-9.0,,,,,2.0,2.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,0.2,,0.25,,,,0.5,,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2550,1610612741,Kirk Hinrich,Kirk Hinrich,2550,CHI,453.0,8,13,12,9.0,1,3,25,,,,,1.0,,1.0,,,,,,,,,,1,,1.0,,11,,,,,,1.0,,,,,,,,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,9.0,,,,,,,,,,,,,,,0.5,,,18.75,0.5,,,0.2,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,0.5,,0.50685,,0.3447,,,19.5,23.4,0.6923076923076923,-5.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
