EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,StepOutOfBoundsTurnovers,Loose Ball Fouls,RecoveredBlocks,ShortMidRangePctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,SecondChanceFg3Pct,SecondChanceArc3Accuracy,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceCorner3FGA,BlockedShortMidRange,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawnPct,on,SecondChanceCorner3FGM,HeaveMakes,Fg3aBlocked,3pt And 1 Free Throw Trips,DefensiveGoaltends,3SecondViolations,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,Clear Path Fouls,BlockedArc3
1713,1610612751,Vince Carter,Vince Carter,1713,NJN,10625.0,177,-47,324,322,98.0,146,43.0,646,8.0,20.0,2.0,5.0,2.0,4.0,5.0,11.0,11.0,35.0,1.0,3.0,1.0,3.0,3.0,18.0,1.0,2.0,7.0,24.0,66.0,4.0,21.0,21.0,81.0,357,2.0,6.0,1.0,7.0,11.0,9.0,20.0,3.0,10.0,7.0,34.0,14.0,34.0,9.0,3.0,2.0,18.0,3.0,2.0,23.0,8.0,31.0,2.0,6.0,17.0,3.0,3.0,70.0,2.0,4.0,1.0,6.0,12.0,18.0,7.0,25.0,3.0,4.0,3.0,1.0,9.0,1.0,4.0,6.0,1.0,5.0,1.0,15.0,1.0,5.0,8.0,16,3.0,18.0,1.0,1.0,23.0,2.0,3.0,7.0,4.0,2.0,1.0,1.0,2.0,34.0,98.0,3.0,4.0,0.2916666666666667,0.30434782608695654,0.75,0.19047619047619047,0.3,0.19047619047619047,0.36363636363636365,0.3333333333333333,0.45,0.3448275862068966,0.2857142857142857,0.45,0.40625,0.5,0.4852941176470588,0.2413793103448276,0.030303030303030304,0.1,29.521276595744684,0.6,0.07692307692307693,0.11320754716981132,0.03333333333333333,0.15789473684210525,0.0392156862745098,0.125,0.03508771929824561,0.08571428571428572,0.029411764705882353,0.04878048780487805,0.08695652173913043,0.17391304347826086,0.1,0.12903225806451613,0.2857142857142857,0.05454545454545454,0.22988505747126436,0.4,0.4444444444444444,0.5,0.12643678160919541,0.45454545454545453,0.45454545454545453,0.40229885057471265,0.3142857142857143,0.3142857142857143,0.2727272727272727,0.034482758620689655,0.3333333333333333,0.3333333333333333,1.0,0.20689655172413793,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.7142857142857143,0.4,0.14285714285714285,0.13333333333333333,0.5,0.1,0.3333333333333333,0.23333333333333334,0.2857142857142857,0.47126436781609193,0.16666666666666666,0.46546860465116274,0.5019,0.4489965517241378,0.07608695652173914,0.09859154929577464,0.13580246913580246,0.41975308641975306,11.37121212121212,26.780952380952385,0.30246913580246915,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
200767,1610612751,Josh Boone,Josh Boone,200767,NJN,10041.0,167,-41,295,296,70.0,109,45.0,591,19.0,30.0,4.0,6.0,3.0,3.0,1.0,3.0,,3.0,,,,,,,,,,20.0,36.0,,,7.0,47.0,316,4.0,7.0,,2.0,10.0,3.0,3.0,,,,6.0,34.0,6.0,,,6.0,,,6.0,2.0,,2.0,,,1.0,,1.0,4.0,7.0,11.0,,5.0,21.0,33.0,18.0,51.0,,6.0,3.0,3.0,5.0,1.0,2.0,3.0,1.0,3.0,,8.0,3.0,,17.0,24,,14.0,1.0,1.0,22.0,2.0,,12.0,,4.0,4.0,,4.0,6.0,70.0,1.0,,0.85,1.0,,,,,0.5555555555555556,0.5714285714285714,1.0,0.5555555555555556,0.5714285714285714,1.0,0.5108695652173914,0.5555555555555556,1.0,,0.16666666666666666,0.16666666666666666,15.606936416184972,0.625,,0.21428571428571427,0.11,0.15625,0.12727272727272726,0.2,0.11612903225806452,0.18181818181818182,0.11764705882352941,0.16279069767441862,0.13043478260869565,0.2,0.26666666666666666,0.17857142857142858,,,0.8333333333333334,0.6333333333333333,0.76,0.8421052631578947,0.08333333333333333,0.3333333333333333,0.5,0.08333333333333333,,,,,,,,,,,,0.8571428571428571,0.6666666666666666,,1.0,1.0,,,,,0.8333333333333334,,0.5446694444444444,0.5709666666666667,0.6644666666666668,0.2608695652173913,0.2608695652173913,0.2127659574468085,0.1276595744680851,2.236111111111111,,0.23728813559322035,7.0,1.0,3.0,3.0,0.3333333333333333,0.3888888888888889,0.06,0.75,1.0,0.25,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
201604,1610612751,Chris Douglas-Roberts,Chris Douglas-Roberts,201604,NJN,2488.0,41,-23,79,78,15.0,24,5.0,157,1.0,4.0,,,,,1.0,2.0,2.0,7.0,,1.0,,1.0,,,,,,4.0,13.0,,1.0,,8.0,86,,,,,,,,,1.0,,,2.0,6.0,,,,,,2.0,1.0,,1.0,,,1.0,,,2.0,,1.0,,,2.0,2.0,1.0,3.0,,,,,,,,1.0,,,,1.0,,,,3,1.0,,,,,,,,,2.0,1.0,1.0,2.0,,15.0,,,0.25,0.25,,,,,0.3076923076923077,,,0.2857142857142857,,,0.2857142857142857,,,0.07142857142857142,0.15384615384615385,0.25,17.857142857142858,,,0.08695652173913043,0.034482758620689655,,,0.06666666666666667,0.02631578947368421,,,,0.3333333333333333,,,,,,0.2857142857142857,0.25,0.3333333333333333,1.0,0.14285714285714285,0.5,1.0,0.5,0.2857142857142857,0.2857142857142857,,0.07142857142857142,,,,,,,,,,,,,1.0,,,,0.35714285714285715,,0.46175,,0.5736,,,,,11.161538461538461,24.1,0.189873417721519,,,,1.0,0.5,,0.07142857142857142,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2039,1610612751,Keyon Dooling,Keyon Dooling,2039,NJN,13023.0,217,-75,386,393,74.0,138,56.0,779,12.0,18.0,,,,,3.0,7.0,8.0,19.0,4.0,5.0,,,7.0,29.0,4.0,,5.0,23.0,44.0,11.0,34.0,9.0,88.0,433,1.0,1.0,4.0,,5.0,1.0,5.0,,5.0,3.0,5.0,10.0,36.0,24.0,9.0,,28.0,7.0,2.0,24.0,8.0,32.0,5.0,3.0,15.0,1.0,8.0,72.0,2.0,2.0,,4.0,7.0,13.0,4.0,17.0,,4.0,4.0,,9.0,1.0,8.0,5.0,1.0,1.0,1.0,14.0,2.0,3.0,1.0,13,1.0,13.0,,1.0,10.0,1.0,1.0,4.0,1.0,1.0,1.0,,1.0,5.0,74.0,2.0,1.0,0.21739130434782608,0.21739130434782608,0.7272727272727273,0.3235294117647059,,0.3333333333333333,0.5227272727272727,1.0,0.2,0.5064102564102564,0.5,0.1,0.5304878048780488,0.5,0.20833333333333334,0.4358974358974359,0.045454545454545456,0.1111111111111111,21.238938053097346,0.6428571428571429,,0.051470588235294115,0.015151515151515152,0.09523809523809523,0.029850746268656716,0.06179775280898876,0.020100502512562814,0.045454545454545456,,0.037037037037037035,0.02702702702702703,,0.0967741935483871,0.08823529411764706,0.125,,0.23076923076923078,0.6666666666666666,0.75,0.3333333333333333,0.08974358974358974,0.42857142857142855,0.42857142857142855,0.24358974358974358,0.42105263157894735,0.42105263157894735,0.125,0.0641025641025641,0.8,0.8,1.0,0.3717948717948718,0.2413793103448276,0.2413793103448276,0.5714285714285714,,,0.8,,,,,0.5,,0.6666666666666666,0.25,0.4884246753246755,0.57735,0.41698500000000005,0.04938271604938271,0.0851063829787234,0.056818181818181816,0.056818181818181816,10.615909090909092,25.7235294117647,0.19170984455958548,2.0,,,,,0.09523809523809523,,,,,1.0,1.0,1.0,0.25,0.25,,,,,,,,,,,True,,,,,,,,,,,,,,,
2059,1610612751,Eduardo Najera,Eduardo Najera,2059,NJN,19125.0,319,-92,574,581,146.0,218,79.0,1155,23.0,33.0,9.0,11.0,6.0,10.0,2.0,10.0,3.0,6.0,2.0,6.0,1.0,2.0,3.0,19.0,,,4.0,28.0,49.0,5.0,25.0,8.0,79.0,635,9.0,13.0,,1.0,19.0,6.0,16.0,1.0,6.0,2.0,17.0,38.0,18.0,15.0,,12.0,19.0,3.0,3.0,15.0,4.0,19.0,3.0,1.0,9.0,1.0,5.0,42.0,6.0,11.0,,12.0,35.0,50.0,17.0,67.0,3.0,10.0,7.0,3.0,10.0,1.0,6.0,8.0,,4.0,,18.0,1.0,4.0,21.0,50,5.0,22.0,,7.0,22.0,2.0,,10.0,2.0,4.0,4.0,,4.0,17.0,146.0,7.0,2.0,0.6785714285714286,0.8636363636363636,1.0,0.2,0.16666666666666666,0.2,0.5714285714285714,0.6923076923076923,0.375,0.4797297297297297,0.6923076923076923,0.3409090909090909,0.47023809523809523,0.6333333333333333,0.34,0.33783783783783783,0.061224489795918366,0.030303030303030304,15.292353823088456,0.5555555555555556,,0.18324607329842932,0.054187192118226604,0.18461538461538463,0.06315789473684211,0.18359375,0.05704697986577181,0.05,0.11320754716981132,0.04054054054054054,0.10869565217391304,0.3469387755102041,0.13541666666666666,0.19230769230769232,0.15384615384615385,0.07894736842105263,0.44594594594594594,0.696969696969697,0.71875,0.6956521739130435,0.13513513513513514,0.2,0.25,0.08108108108108109,0.5,0.5,1.0,0.08108108108108109,0.3333333333333333,0.3333333333333333,1.0,0.25675675675675674,0.15789473684210525,0.15789473684210525,1.0,0.8461538461538461,0.8181818181818182,,0.45454545454545453,0.6,0.09090909090909091,0.5,0.18181818181818182,,0.7837837837837838,0.15789473684210525,0.5496878378378378,0.5683666666666666,0.5383772727272728,0.12195121951219512,0.17543859649122806,0.24050632911392406,0.21518987341772153,4.012244897959183,24.715999999999998,0.25435540069686413,3.0,2.0,4.0,2.0,0.2,0.0967741935483871,0.022222222222222223,0.5,,0.2222222222222222,,,,,,1.0,0.14285714285714285,,,,,,,,,True,,,,,,,,,,,,,,,
2553,1610612751,Jarvis Hayes,Jarvis Hayes,2553,NJN,14401.0,240,-55,429,434,105.0,146,62.0,863,12.0,14.0,1.0,2.0,2.0,2.0,5.0,12.0,10.0,31.0,3.0,12.0,1.0,3.0,5.0,14.0,5.0,2.0,5.0,27.0,57.0,8.0,26.0,2.0,80.0,455,4.0,9.0,6.0,,17.0,5.0,11.0,3.0,8.0,,19.0,42.0,12.0,21.0,3.0,4.0,14.0,5.0,3.0,3.0,2.0,5.0,,2.0,1.0,1.0,1.0,12.0,3.0,5.0,2.0,8.0,24.0,40.0,10.0,50.0,1.0,5.0,1.0,4.0,5.0,,1.0,3.0,,4.0,1.0,8.0,1.0,2.0,9.0,17,1.0,9.0,1.0,1.0,4.0,2.0,,3.0,,1.0,,,1.0,19.0,105.0,1.0,,0.7777777777777778,0.84,0.875,0.3076923076923077,0.375,0.3076923076923077,0.47368421052631576,0.4444444444444444,0.45454545454545453,0.46987951807228917,0.5666666666666667,0.5,0.47619047619047616,0.5666666666666667,0.5,0.3132530120481928,0.05263157894736842,0.07142857142857142,18.326693227091635,0.625,0.1111111111111111,0.1610738255033557,0.03355704697986577,0.1568627450980392,0.041666666666666664,0.16,0.03619909502262444,0.024390243902439025,0.05405405405405406,0.037037037037037035,0.05714285714285714,0.175,0.20270270270270271,0.17073170731707318,0.1,0.022222222222222223,0.1686746987951807,0.8571428571428571,0.9230769230769231,0.8333333333333334,0.14457831325301204,0.4166666666666667,0.5,0.37349397590361444,0.3225806451612903,0.3225806451612903,0.8,0.14457831325301204,0.25,0.25,1.0,0.1686746987951807,0.35714285714285715,0.35714285714285715,0.8,0.13333333333333333,0.5,0.3333333333333333,0.10526315789473684,1.0,0.15789473684210525,0.3333333333333333,0.2631578947368421,0.4,0.4819277108433735,0.35714285714285715,0.4881234939759036,0.4563111111111111,0.44873684210526316,0.03571428571428571,0.05172413793103448,0.2125,0.2375,12.05964912280702,24.146153846153844,0.24475524475524477,8.0,1.0,,1.0,0.16666666666666666,0.3076923076923077,0.028169014084507043,1.0,0.6,,3.0,3.0,,0.5,0.6,,0.05555555555555555,1.0,1.0,0.06666666666666667,0.6666666666666666,,,,,True,,,,,,,,,,,,,,,
2734,1610612751,Devin Harris,Devin Harris,2734,NJN,7460.0,124,-37,225,228,54.0,92,28.0,453,10.0,18.0,1.0,2.0,3.0,6.0,,10.0,3.0,15.0,,,,,,10.0,,,1.0,13.0,43.0,,10.0,29.0,55.0,256,1.0,3.0,,3.0,5.0,6.0,13.0,,1.0,14.0,26.0,2.0,24.0,,,,10.0,,2.0,14.0,3.0,17.0,3.0,,11.0,1.0,2.0,37.0,,,,3.0,6.0,9.0,,9.0,,4.0,1.0,3.0,4.0,1.0,2.0,5.0,,2.0,1.0,9.0,,2.0,5.0,10,2.0,22.0,,1.0,34.0,2.0,1.0,13.0,3.0,,,,1.0,26.0,54.0,1.0,3.0,0.07692307692307693,0.07692307692307693,,,,,0.3023255813953488,0.3333333333333333,0.46153846153846156,0.24528301886792453,0.3333333333333333,0.42857142857142855,0.39705882352941174,0.5,0.5681818181818182,0.18867924528301888,0.046511627906976744,,29.961089494163424,0.4444444444444444,,0.07792207792207792,,0.125,,0.0891089108910891,,,,,0.15,0.10526315789473684,0.02631578947368421,0.1111111111111111,0.16666666666666666,,0.33962264150943394,0.5555555555555556,0.5555555555555556,0.1,0.18867924528301888,,,0.2830188679245283,0.2,0.2,,,,,,0.18867924528301888,,,,0.6666666666666666,0.5,,0.42857142857142855,0.5,,,0.07142857142857142,,0.5283018867924528,,0.4963056603773585,0.5783,0.48598928571428573,0.2153846153846154,0.24074074074074073,0.09090909090909091,0.4727272727272727,8.899999999999997,25.299999999999997,0.24,,,,,0.2,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.09090909090909091,True,,,,,,,,,,,,,,,
2250,1610612751,Bobby Simmons,Bobby Simmons,2250,NJN,5548.0,92,-11,173,176,72.0,89,23.0,349,1.0,1.0,1.0,1.0,,,,2.0,2.0,4.0,2.0,7.0,2.0,4.0,1.0,6.0,2.0,1.0,2.0,3.0,7.0,3.0,13.0,6.0,21.0,191,1.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,6.0,4.0,15.0,2.0,4.0,9.0,,,6.0,1.0,,3.0,1.0,4.0,,1.0,2.0,,1.0,9.0,2.0,2.0,1.0,4.0,7.0,15.0,5.0,20.0,,3.0,2.0,1.0,,,,,,,,,,,2.0,4,,4.0,1.0,,6.0,,,2.0,1.0,,,,,15.0,72.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.23076923076923078,0.5,0.23076923076923078,0.42857142857142855,0.5,0.5,0.375,0.2,0.6875,0.45652173913043476,0.3333333333333333,0.75,0.65,,,11.386138613861386,,0.14285714285714285,0.1320754716981132,0.03636363636363636,0.2222222222222222,0.05555555555555555,0.15492957746478872,0.04395604395604396,0.07142857142857142,,0.07407407407407407,0.07692307692307693,0.16666666666666666,0.14285714285714285,0.23076923076923078,0.2,,0.05,1.0,1.0,,0.1,,,0.2,0.5,0.5,0.5,0.35,0.2857142857142857,0.2857142857142857,1.0,0.3,0.16666666666666666,0.16666666666666666,1.0,0.2,1.0,0.4,,,0.5,0.5,0.25,0.5,0.7,0.16666666666666666,0.5368550000000001,0.5844875,0.5331125,0.09090909090909091,0.2222222222222222,0.19047619047619047,0.7142857142857143,14.142857142857144,24.446153846153848,0.4161849710982659,4.0,,,,,0.5,0.037037037037037035,,,,,,,,,,,1.0,,0.2,,,,,,True,,,,,,,,,,,,,,,
2239,1610612751,Trenton Hassell,Trenton Hassell,2239,NJN,2972.0,50,-25,84,88,23.0,28,17.0,172,2.0,3.0,1.0,2.0,,,,,3.0,7.0,1.0,1.0,1.0,1.0,,,,,,5.0,10.0,1.0,1.0,,13.0,103,1.0,2.0,,,2.0,3.0,4.0,1.0,1.0,,9.0,6.0,4.0,3.0,,2.0,,,1.0,2.0,,2.0,,,,,2.0,4.0,1.0,2.0,,1.0,5.0,6.0,3.0,9.0,,,,,2.0,,1.0,1.0,,1.0,1.0,3.0,2.0,1.0,1.0,2,,1.0,,,,,,,,2.0,1.0,,2.0,9.0,23.0,,,0.6,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.5909090909090909,0.5,0.9,0.5909090909090909,0.5,0.9,0.09090909090909091,0.1,0.3333333333333333,13.592233009708737,0.6666666666666666,,0.19230769230769232,0.06060606060606061,0.08333333333333333,0.08333333333333333,0.15789473684210525,0.06666666666666667,,0.1111111111111111,0.1111111111111111,,0.2857142857142857,0.23076923076923078,0.09090909090909091,,,0.2727272727272727,0.6666666666666666,1.0,,,,,0.6363636363636364,0.42857142857142855,0.42857142857142855,1.0,0.09090909090909091,1.0,1.0,1.0,,,,,1.0,0.5,,,,0.2,1.0,,,0.36363636363636365,,0.4389863636363636,0.5388999999999999,0.42519,,,0.15384615384615385,0.6923076923076923,13.280000000000001,22.8,0.27380952380952384,,,,1.0,,,0.05555555555555555,0.5,,,,,,,,,,,1.0,,,,,,,True,,,,,,,,,,,,,,,
200772,1610612751,Maurice Ager,Maurice Ager,200772,NJN,346.0,6,-12,10,13,2.0,6,,23,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,2.0,14,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,0.5,,,0.5,,,0.5,,,20.0,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,0.47845,,,,,,,,26.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
