EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,Arc3Assists,LongMidRangeAssists,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGM,SecondChanceFtPoints,PtsUnassisted3s,SelfOReb,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyFG2M,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyAtRimAccuracy,AtRimPctBlocked,ShortMidRangePctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGA,DefensiveGoaltends,SecondChanceCorner3Frequency,on,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,OffCorner3ReboundPct
101122,1610612754,Danny Granger,Danny Granger,101122,IND,5468.0,91,-20.0,168,165,71.0,69,13.0,333,3.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,6.0,9.0,4.0,5.0,4.0,9.0,7.0,11.0,4.0,33.0,194.0,1.0,1.0,2.0,3.0,4.0,6.0,4.0,16.0,4.0,4.0,21.0,2.0,9.0,6.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,1.0,1.0,2.0,12.0,3.0,17.0,2.0,19.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,6.0,10.0,1.0,4.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,4.0,3.0,16.0,71.0,2.0,0.5,0.6666666666666666,1.0,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.4444444444444444,1.0,0.725,1.0,0.6666666666666666,0.75,1.0,0.7272727272727273,0.55,13.736263736263735,0.3333333333333333,0.5,0.24,0.020833333333333332,0.125,0.041666666666666664,0.21212121212121213,0.027777777777777776,0.06666666666666667,0.047619047619047616,0.375,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.75,0.2,0.75,0.75,0.3333333333333333,0.25,0.2,0.2,1.0,0.1,0.5,0.5,1.0,0.45,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.8,0.75,0.6666666666666666,0.49625499999999995,0.47302777777777777,0.06060606060606061,0.48484848484848486,10.444444444444445,25.20909090909091,0.4226190476190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
101180,1610612754,Sarunas Jasikevicius,Sarunas Jasikevicius,101180,IND,2462.0,41,-10.0,72,73,27.0,34,12.0,145,,,,,,,1.0,1.0,3.0,,1.0,6.0,1.0,3.0,1.0,3.0,2.0,9.0,1.0,9.0,84.0,1.0,1.0,5.0,1.0,1.0,3.0,,3.0,,2.0,6.0,,6.0,1.0,3.0,2.0,5.0,,1.0,1.0,12.0,,1.0,1.0,2.0,,3.0,1.0,4.0,,,,1.0,,1.0,,2.0,,2.0,4.0,,6.0,,,2.0,,1.0,1.0,,1.0,,3.0,27.0,,,,1.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,1.0,0.3333333333333333,0.8333333333333334,0.375,0.34615384615384615,0.8333333333333334,0.375,0.75,17.857142857142858,0.5,,0.08695652173913043,0.07142857142857142,0.25,,0.1111111111111111,0.03225806451612903,,,,0.25,0.09090909090909091,0.25,,,,,,0.08333333333333333,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.16666666666666666,0.16666666666666666,1.0,,,,,0.75,0.3333333333333333,0.75,0.16666666666666666,0.490725,0.450875,0.5555555555555556,0.3333333333333333,12.166666666666666,25.01111111111111,0.375,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.4015,0.07692307692307693,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,10484.0,175,-5.0,319,311,122.0,117,29.0,630,1.0,4.0,,,1.0,1.0,10.0,3.0,3.0,2.0,6.0,20.0,2.0,5.0,3.0,15.0,9.0,23.0,16.0,49.0,346.0,,,4.0,3.0,4.0,7.0,12.0,24.0,4.0,2.0,24.0,,20.0,6.0,4.0,3.0,7.0,1.0,,2.0,17.0,2.0,3.0,6.0,10.0,1.0,17.0,5.0,22.0,5.0,2.0,3.0,4.0,2.0,2.0,,6.0,2.0,4.0,11.0,1.0,12.0,2.0,3.0,18.0,1.0,,,,,,24.0,122.0,1.0,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.391304347826087,0.5714285714285714,0.391304347826087,0.2,,0.4342105263157895,1.5,0.6,0.5222222222222223,1.5,0.75,0.6052631578947368,14.571428571428571,0.6666666666666666,0.0625,0.10638297872340426,0.03614457831325301,0.18181818181818182,0.038461538461538464,0.12598425196850394,0.037037037037037035,,0.045454545454545456,0.09375,0.14285714285714285,0.0975609756097561,0.16666666666666666,,0.10526315789473684,0.25,0.25,1.0,0.2631578947368421,0.1,0.1,1.0,0.07894736842105263,1.0,1.0,1.0,0.5263157894736842,0.3,0.3,0.8333333333333334,,,0.1,0.2,0.5,0.4,0.7105263157894737,0.3,0.4723789473684211,0.46643,0.08163265306122448,0.4897959183673469,13.82,24.904347826086955,0.3824451410658307,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,,1.0,5.0,1.0,,,0.043478260869565216,0.02631578947368421,1.0,1.0,1.0,1.0,1.0,,0.13636363636363635,0.25,2.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,0.05714285714285714,0.2222222222222222,0.04,1.0,0.041666666666666664,,,,,,,,,,,,,,,True,,,,,
1533,1610612754,Anthony Johnson,Anthony Johnson,1533,IND,8264.0,138,21.0,253,245,101.0,86,17.0,498,9.0,14.0,,1.0,5.0,6.0,13.0,2.0,4.0,2.0,3.0,8.0,2.0,6.0,23.0,37.0,5.0,12.0,11.0,72.0,261.0,1.0,2.0,4.0,11.0,4.0,8.0,8.0,32.0,6.0,40.0,9.0,2.0,8.0,3.0,12.0,6.0,18.0,2.0,5.0,2.0,42.0,2.0,3.0,3.0,6.0,,9.0,5.0,14.0,3.0,1.0,2.0,4.0,4.0,6.0,1.0,10.0,3.0,3.0,12.0,1.0,12.0,,,17.0,5.0,,,,,,32.0,101.0,5.0,0.13043478260869565,0.13636363636363635,0.6,0.4166666666666667,0.5,0.4166666666666667,0.6216216216216216,0.5,0.6224489795918368,0.5,0.631578947368421,0.6428571428571429,0.6666666666666666,0.64,0.24489795918367346,24.26470588235294,0.4,,0.07894736842105263,0.043478260869565216,0.10344827586206896,0.058823529411764705,0.08571428571428572,0.04854368932038835,0.09523809523809523,0.06896551724137931,0.12,0.1111111111111111,0.030303030303030304,0.1,,0.2857142857142857,0.6428571428571429,0.6428571428571429,0.3333333333333333,0.2653061224489796,0.46153846153846156,0.46153846153846156,,0.08163265306122448,0.5,0.5,1.0,0.16326530612244897,0.375,0.375,0.3333333333333333,0.5,,0.2631578947368421,0.10526315789473684,0.3157894736842105,0.3333333333333333,0.5306122448979592,0.375,0.4670142857142856,0.45479473684210536,0.05555555555555555,0.4444444444444444,8.283783783783784,24.49166666666667,0.39920948616600793,8.0,10.0,,,,,,4.0,5.0,,,1.0,5.0,,,,,0.20408163265306123,0.8,0.8,,,,,0.09803921568627451,0.1282051282051282,2.0,2.0,6.0,4.0,1.0,,,3.0,0.03225806451612903,0.1111111111111111,0.19047619047619047,1.0,,2.0,6.0,1.0,1.0,3.0,0.5454545454545454,0.4,,,,,,,,True,,,,,
2410,1610612754,Fred Jones,Fred Jones,2410,IND,6039.0,101,2.0,184,176,67.0,72,20.0,360,5.0,6.0,,,1.0,2.0,5.0,3.0,4.0,1.0,1.0,6.0,,2.0,7.0,13.0,4.0,10.0,9.0,35.0,189.0,,1.0,,3.0,1.0,3.0,6.0,11.0,6.0,8.0,9.0,,6.0,1.0,5.0,4.0,9.0,4.0,2.0,1.0,22.0,,,,5.0,3.0,8.0,,8.0,5.0,3.0,2.0,4.0,2.0,,,4.0,2.0,2.0,6.0,,7.0,,1.0,9.0,2.0,,,,,,11.0,67.0,2.0,0.42857142857142855,0.42857142857142855,0.75,0.4,0.3333333333333333,0.4,0.5384615384615384,,0.5652173913043478,,0.4166666666666667,0.6481481481481481,,0.6111111111111112,0.43478260869565216,15.121951219512196,1.0,0.3,0.09433962264150944,,,,0.07142857142857142,,,,,0.2,0.11538461538461539,,,0.2608695652173913,0.8333333333333334,0.8333333333333334,0.4,0.21739130434782608,0.4,0.4,0.5,0.17391304347826086,0.75,0.75,0.6666666666666666,0.2608695652173913,0.16666666666666666,0.16666666666666666,1.0,,,0.16666666666666666,0.16666666666666666,0.3333333333333333,,0.6956521739130435,0.16666666666666666,0.4872978260869565,0.42406666666666665,,0.3142857142857143,8.261538461538462,24.740000000000002,0.3641304347826087,,2.0,,,,,,,2.0,2.0,,,3.0,,,,,0.08695652173913043,,,,,,0.3806,0.12,0.2,1.0,,3.0,,,,,2.0,,,,1.0,,,1.0,,,1.0,0.3333333333333333,,,,,,,,,True,,,,,
1536,1610612754,Stephen Jackson,Stephen Jackson,1536,IND,8283.0,138,5.0,253,246,98.0,83,24.0,499,6.0,8.0,1.0,1.0,2.0,5.0,13.0,1.0,3.0,3.0,1.0,10.0,,2.0,15.0,33.0,2.0,13.0,10.0,46.0,272.0,3.0,3.0,8.0,9.0,1.0,5.0,2.0,13.0,18.0,12.0,6.0,2.0,10.0,1.0,8.0,5.0,13.0,,6.0,1.0,31.0,1.0,2.0,4.0,8.0,4.0,16.0,3.0,19.0,3.0,3.0,,2.0,,5.0,2.0,7.0,3.0,7.0,13.0,,11.0,,,12.0,,1.0,1.0,,1.0,,13.0,98.0,,0.6,0.6428571428571429,1.0,0.15384615384615385,0.2,0.15384615384615385,0.45454545454545453,1.0,0.391304347826087,0.5,0.39285714285714285,0.45098039215686275,0.5714285714285714,0.4642857142857143,0.2826086956521739,20.78853046594982,0.2857142857142857,0.36363636363636365,0.1038961038961039,0.029850746268656716,0.14285714285714285,0.02702702702702703,0.11428571428571428,0.028846153846153848,0.045454545454545456,0.03125,0.11538461538461539,0.05263157894736842,0.125,0.10526315789473684,,0.17391304347826086,0.75,1.0,0.8333333333333334,0.2826086956521739,0.38461538461538464,0.38461538461538464,0.6,0.06521739130434782,0.3333333333333333,0.3333333333333333,1.0,0.21739130434782608,0.1,0.1,1.0,0.16666666666666666,1.0,0.14285714285714285,0.21428571428571427,0.14285714285714285,,0.45652173913043476,0.1,0.4682652173913044,0.4809892857142857,0.17391304347826086,0.2826086956521739,10.31212121212121,24.66153846153846,0.38735177865612647,4.0,12.0,,3.0,,3.0,5.0,5.0,1.0,2.0,,1.0,7.0,,0.15151515151515152,0.25,0.05263157894736842,0.2608695652173913,0.3333333333333333,0.4444444444444444,0.5,,,0.4977583333333333,0.13725490196078433,0.18421052631578946,1.0,2.0,,1.0,1.0,,,1.0,,0.2222222222222222,0.047619047619047616,0.3333333333333333,,2.0,4.0,1.0,,2.0,0.4444444444444444,1.0,0.25,0.25,,,,,,True,,,,,
2758,1610612754,David Harrison,David Harrison,2758,IND,1490.0,25,-9.0,48,47,33.0,39,6.0,95,2.0,4.0,1.0,2.0,2.0,,,,,,,,,,3.0,7.0,,,7.0,13.0,48.0,1.0,2.0,3.0,5.0,,,7.0,11.0,2.0,4.0,,2.0,,,,,,,,,,,1.0,,2.0,,2.0,1.0,3.0,1.0,1.0,,2.0,1.0,2.0,,4.0,3.0,2.0,8.0,1.0,6.0,1.0,,12.0,3.0,,,,1.0,,11.0,33.0,3.0,0.3333333333333333,0.5,,,,,0.42857142857142855,0.5,0.42857142857142855,0.5,0.4,0.5,0.5,0.55,,31.48148148148148,0.5,,0.15384615384615385,0.06666666666666667,,,0.13333333333333333,0.04,,,,,0.4,,,0.5714285714285714,0.5,0.6666666666666666,0.5,,,,,,,,,,,,,1.0,0.5,0.4,,,,0.5714285714285714,,0.4519000000000001,0.38942,0.23076923076923078,0.8461538461538461,4.571428571428571,,0.6875,1.0,3.0,,,,,1.0,,,1.0,1.0,2.0,3.0,,0.14285714285714285,,0.2,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,0.61345,0.3,0.3,,1.0,,,,,,2.0,,,,,,1.0,2.0,,,,0.4,0.5,0.25,,1.0,1.0,,,,True,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,7394.0,123,19.0,222,213,71.0,58,19.0,435,11.0,20.0,2.0,3.0,6.0,7.0,11.0,,1.0,1.0,,1.0,,1.0,28.0,50.0,,2.0,17.0,73.0,237.0,2.0,3.0,7.0,16.0,,2.0,11.0,31.0,38.0,18.0,,4.0,1.0,,3.0,2.0,5.0,1.0,1.0,,12.0,3.0,4.0,4.0,14.0,3.0,21.0,7.0,28.0,2.0,1.0,1.0,4.0,2.0,6.0,4.0,10.0,2.0,12.0,15.0,1.0,31.0,,2.0,27.0,3.0,4.0,4.0,,4.0,2.0,31.0,71.0,2.0,0.6785714285714286,0.7307692307692307,,,,,0.56,0.6666666666666666,0.5384615384615384,0.5,0.5555555555555556,0.5793650793650794,0.7,0.62,0.038461538461538464,30.041152263374485,0.4,0.3,0.19718309859154928,0.06779661016949153,0.16,0.09090909090909091,0.1875,0.07608695652173914,0.0625,0.10714285714285714,0.043478260869565216,0.23529411764705882,0.2903225806451613,0.125,0.5,0.38461538461538464,0.55,0.6470588235294118,0.5454545454545454,0.21153846153846154,0.6363636363636364,0.6363636363636364,0.8571428571428571,0.019230769230769232,,,,0.019230769230769232,,,,0.75,0.6666666666666666,0.3333333333333333,0.05555555555555555,0.05555555555555555,,0.4230769230769231,,0.42154711538461537,0.40596388888888885,0.0958904109589041,0.4246575342465753,7.422000000000001,27.65,0.31981981981981983,10.0,19.0,,,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,13.0,,0.06,,0.16666666666666666,0.36538461538461536,0.5263157894736842,0.5263157894736842,,,,0.4068125,0.21666666666666667,0.22413793103448276,,3.0,,,,,,,,0.2222222222222222,,,,4.0,10.0,,,5.0,0.625,0.6666666666666666,0.15,0.7,,,1.0,1.0,0.25,True,,,,,
2109,1610612754,Eddie Gill,Eddie Gill,2109,IND,45.0,1,1.0,2,2,2.0,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1513,1610612754,Scot Pollard,Scot Pollard,1513,IND,287.0,5,-16.0,8,9,,2,1.0,17,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,18.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11111111111111,,,,0.5,,,,0.25,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,0.5554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5554,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,
