EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,FtPoints,PenaltyFtPoints,PtsAssisted2s,ShootingFouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceFtPoints,OffThreePtRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,PenaltyCorner3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LostBallTurnovers,Offensive Fouls Drawn,DefAtRimReboundPct,Corner3Frequency,PenaltyCorner3Frequency,ThreePtAssists,Arc3Assists,SelfOReb,Offensive Fouls,OffShortMidRangeReboundPct,SelfORebPct,LostBallSteals,Loose Ball Fouls,OffArc3ReboundPct,BlockedAtRim,SecondChanceCorner3FGA,PtsUnassisted3s,Travels,LongMidRangePctAssisted,SecondChanceCorner3Frequency,PtsPutbacks,on,Corner3FGM,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Corner3Assists,ShortMidRangeAssists,SecondChanceTurnovers,ShortMidRangePctAssisted,HeaveAttempts,FTOffRebounds,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,OffensiveGoaltends
1496,1610612742,Keith Van Horn,Keith Van Horn,1496,DAL,1064.0,18,10.0,38,34,20,28,6.0,72,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,5.0,10.0,27,1.0,3.0,1.0,1.0,5.0,2.0,4.0,1.0,3.0,7.0,4.0,6.0,5.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,20,1.0,1.0,0.4,1.0,0.3333333333333333,0.4,0.4,0.3333333333333333,0.5,0.5,0.625,0.5,0.5,0.625,0.5,0.5,0.2,1.0,22.22222222222222,1.0,0.14285714285714285,0.15384615384615385,0.6,0.3333333333333333,0.09090909090909091,0.16666666666666666,0.2,0.25,0.6,1.0,0.2,0.5,0.5,0.1,0.2,0.5,0.5,0.5,0.4,0.4,1.0,0.5,0.5,0.25,1.0,1.0,0.2857142857142857,0.5,0.42857142857142855,0.3333333333333333,0.7,0.4,0.46089,0.53125,0.44731428571428566,0.5,0.7,9.819999999999999,24.94,0.5263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,1610612742,Adrian Griffin,Adrian Griffin,1559,DAL,1162.0,19,-4.0,40,41,21,39,4.0,81,1.0,1.0,,,,,3.0,1.0,1.0,,,,,,,4.0,5.0,,,10.0,31,1.0,2.0,,,2.0,2.0,2.0,,,6.0,6.0,,,,,,1.0,2.0,,3.0,,3.0,2.0,,,,,6.0,21,1.0,,,,,,0.8,0.5,1.0,0.8,0.5,1.0,0.8333333333333334,0.5,1.0,,,,13.333333333333332,,0.2857142857142857,,0.2,0.25,,,,0.5,0.25,,0.2,1.0,1.0,0.6,0.2,1.0,1.0,,,,,,,,,,,,,,0.2,,0.38752,0.27485,0.37245,0.2,0.6,7.5600000000000005,,0.525,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.25,0.25,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,1270.0,21,-10.0,40,39,17,26,4.0,79,3.0,4.0,,,1.0,1.0,3.0,1.0,3.0,,1.0,,,,1.0,5.0,10.0,,1.0,14.0,51,,,,,2.0,2.0,4.0,,1.0,6.0,10.0,,1.0,,1.0,,2.0,3.0,1.0,6.0,1.0,7.0,,,,,,6.0,17,,,,,,,0.5,,0.5,0.45454545454545453,,0.4,0.5416666666666666,1.0,0.5,0.09090909090909091,0.1,,31.11111111111111,1.0,0.5,,0.4,0.45454545454545453,0.05,,,0.3333333333333333,0.25,,0.36363636363636365,0.75,1.0,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.09090909090909091,,,,,,,,,0.2,1.0,0.2,,0.45454545454545453,,0.4192090909090909,,0.34054,0.14285714285714285,0.42857142857142855,8.83,33.5,0.425,1.0,4.0,2.0,,,3.0,4.0,,,,,0.6666666666666666,,0.3333333333333333,0.3333333333333333,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.25,0.5,0.16666666666666666,0.25,1.0,0.16666666666666666,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,1610612742,Devin Harris,Devin Harris,2734,DAL,149.0,2,-5.0,4,5,2,3,1.0,9,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1610612742,Darrell Armstrong,Darrell Armstrong,353,DAL,2801.0,47,-8.0,92,91,44,70,11.0,183,2.0,4.0,,,1.0,2.0,,1.0,4.0,,6.0,,,,3.0,3.0,8.0,,7.0,8.0,92,,,,,,2.0,4.0,,4.0,4.0,6.0,,6.0,,1.0,1.0,2.0,4.0,,6.0,1.0,7.0,9.0,1.0,1.0,1.0,,4.0,44,3.0,,,,,,0.375,,0.5,0.2,,0.25,0.25,,0.25,0.4666666666666667,0.125,,16.19047619047619,,0.2222222222222222,0.030303030303030304,0.16666666666666666,0.2,0.020833333333333332,0.09090909090909091,,0.2222222222222222,0.2,,0.26666666666666666,0.5,0.6666666666666666,,0.26666666666666666,0.25,0.25,0.4,,,,,,,,,0.25,0.5,0.375,,0.7333333333333333,,0.4928466666666667,,0.53435625,,0.5,10.7,24.771428571428572,0.4782608695652174,,2.0,,,4.0,4.0,2.0,,,,,0.14285714285714285,,,,,,1.0,,,,1.0,,,,1.0,0.25,1.0,,,,0.0625,0.1111111111111111,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,0.5,0.06666666666666667,0.125,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,1610612742,Jerry Stackhouse,Jerry Stackhouse,711,DAL,1355.0,23,-1.0,43,41,18,30,6.0,84,1.0,4.0,,2.0,,2.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,8.0,1.0,2.0,7.0,45,,2.0,,,,,4.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,3.0,3.0,,,,,3.0,18,,1.0,0.5,,0.5,0.5,0.25,,,0.35,,0.25,0.3181818181818182,,0.21428571428571427,0.2,0.125,,27.45098039215686,,0.1111111111111111,0.06666666666666667,0.14285714285714285,0.125,0.045454545454545456,,,,0.16666666666666666,,0.4,0.25,0.3333333333333333,0.1,0.3,0.3333333333333333,0.3333333333333333,0.1,1.0,1.0,1.0,1.0,,,,,0.3333333333333333,,0.16666666666666666,1.0,0.6,1.0,0.502395,0.5395,0.4865083333333334,,0.42857142857142855,7.75,24.55,0.4186046511627907,,,,,,1.0,2.0,1.0,1.0,,,0.25,,,,,,,,,3.0,3.0,2.0,,,,0.25,,,,,,,1.0,1.0,1.0,3.0,,1.0,8.0,,,,,,0.1,0.16666666666666666,2.0,2.0,1.0,3.0,0.16666666666666666,0.16666666666666666,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,1610612742,Marquis Daniels,Marquis Daniels,2605,DAL,1397.0,23,3.0,49,49,29,36,6.0,98,,1.0,,,,,2.0,,,,,,,,,1.0,3.0,,1.0,8.0,40,,,,,,,1.0,,,4.0,2.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,4.0,29,,,,,,,0.3333333333333333,,,0.25,,,0.5714285714285714,,0.6666666666666666,0.25,,,14.545454545454545,,,0.0625,,,0.038461538461538464,,,,,,0.25,,,0.5,,,,,,,,,,,,,,,,,0.5,,0.45881250000000007,,0.3677,,0.5,6.2,23.5,0.5918367346938775,1.0,6.0,4.0,,1.0,4.0,6.0,2.0,2.0,,,,,0.5,0.5,,,,1.0,,1.0,1.0,,,,1.0,,,,,,0.2,0.25,1.0,,,,,,,2.0,1.0,,,,0.25,,,,1.0,,0.25,0.3333333333333333,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,1610612742,Josh Powell,Josh Powell,2694,DAL,867.0,14,-2.0,30,30,17,29,3.0,60,,1.0,,,,1.0,,,3.0,,,,,,,,4.0,,,,22,,,,,,,2.0,,,,,,,,1.0,,,,,,2.0,2.0,4.0,,,,,,17,2.0,,,,,,,,,,,,,,,,0.25,,15.15151515151515,,,,,,0.11764705882352941,,,,,,0.25,,,,0.75,,,,,,,,,,,,0.5,,,,0.25,,0.39417500000000005,,0.44684999999999997,,,13.575,,0.5666666666666667,,,,,1.0,,,,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,1.0,,0.4,,,,,,,,1.0,,,3.0,,,,,,,,1.0,1.0,,1.0,,,,1.0,0.5,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,1610612742,Erick Dampier,Erick Dampier,956,DAL,924.0,15,2.0,29,31,15,25,5.0,60,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,3.0,,,6.0,30,1.0,1.0,,,2.0,,,,,2.0,2.0,,,,1.0,,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,2.0,15,1.0,,,,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,0.5,1.0,0.5,,0.3333333333333333,0.5,17.64705882352941,,0.1111111111111111,,0.25,0.15384615384615385,0.07142857142857142,,,,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,,,,,,,,1.0,1.0,,,,,,,,0.3333333333333333,,0.5432666666666667,,,0.3333333333333333,0.3333333333333333,3.4666666666666663,,0.5172413793103449,,4.0,2.0,,,3.0,6.0,1.0,1.0,,,0.2,,,,,1.0,,,,,,,,,2.0,,,0.2,,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,0.25,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,1186.0,20,1.0,37,36,10,19,3.0,73,1.0,3.0,,,,1.0,,3.0,3.0,2.0,3.0,,,1.0,1.0,4.0,6.0,2.0,4.0,14.0,44,,,,1.0,,1.0,2.0,1.0,2.0,5.0,4.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,5.0,10,,0.5,0.5,,0.5,0.5,0.6666666666666666,,0.5,0.7,,0.625,0.7,,0.625,0.4,0.16666666666666666,,26.82926829268293,,,,,,,,,,,,0.3,0.3333333333333333,0.5,,0.3,1.0,1.0,0.3,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.25,,0.25,1.0,0.7,0.6666666666666666,0.537875,0.5832,0.528875,,0.35714285714285715,8.766666666666667,24.15,0.2702702702702703,,,,4.0,,,,,,0.5,0.5,,,,,,,,,,1.0,1.0,,,,,0.3333333333333333,,,,,,,1.0,1.0,,,,,,,,,,,0.1,0.25,,,,,,,,,,,1.0,3.0,1.0,0.6666666666666666,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
