EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceFtPoints,HeaveAttempts,OffThreePtRebounds,SelfOReb,LostBallTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,AtRimPctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,AtRimPctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3FGA,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyCorner3Frequency,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,on,DefensiveGoaltends,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,8528.0,142,-47,258,262,63,53,34,520,3.0,6.0,1.0,1.0,3.0,3.0,5.0,10.0,27.0,3.0,5.0,11.0,1.0,3.0,1.0,2.0,16.0,38,5.0,14.0,11.0,58.0,321,1.0,6.0,1.0,3.0,5.0,5.0,12,1.0,2.0,4.0,17.0,8.0,24.0,9.0,6.0,2.0,11.0,5.0,1.0,16.0,2.0,18.0,1.0,1.0,7.0,1.0,8.0,38.0,2.0,1.0,4.0,7.0,11.0,3.0,14.0,5.0,3.0,2.0,6.0,1.0,6.0,3.0,1.0,9.0,2.0,3.0,3.0,7,1.0,16.0,1.0,13.0,1.0,5.0,2.0,17.0,63,1.0,2.0,0.25,0.26666666666666666,0.6,0.35714285714285715,0.3333333333333333,0.5,0.35714285714285715,0.42105263157894735,0.16666666666666666,0.4166666666666667,0.4519230769230769,0.2777777777777778,0.4642857142857143,0.5,0.2777777777777778,0.53125,0.2692307692307692,0.02631578947368421,0.2,22.71186440677966,0.6666666666666666,0.125,0.0945945945945946,0.022222222222222223,0.13793103448275862,0.10679611650485436,0.017241379310344827,0.043478260869565216,0.022727272727272728,0.07142857142857142,0.1724137931034483,0.058823529411764705,0.25,0.11538461538461539,0.5,0.5,0.09615384615384616,0.6,0.75,0.5192307692307693,0.37037037037037035,0.37037037037037035,0.4,0.057692307692307696,0.21153846153846154,0.45454545454545453,0.45454545454545453,0.6,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.21428571428571427,0.3333333333333333,0.14285714285714285,0.5,0.38461538461538464,0.45454545454545453,0.45832307692307694,0.46662222222222227,0.45495,0.08928571428571429,0.11904761904761904,0.08620689655172414,0.29310344827586204,14.655263157894737,24.585714285714285,0.2441860465116279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1719,1610612758,Bonzi Wells,Bonzi Wells,1719,SAC,8188.0,136,-32,244,245,61,48,37,489,17.0,23.0,7.0,4.0,5.0,1.0,7.0,8.0,12.0,1.0,1.0,2.0,,,,1.0,26.0,42,1.0,3.0,13.0,68.0,296,6.0,7.0,,,13.0,5.0,8,,1.0,7.0,17.0,20.0,32.0,3.0,,10.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,,1.0,1.0,,10.0,5.0,,6.0,16.0,22.0,9.0,31.0,3.0,3.0,,6.0,2.0,4.0,7.0,,13.0,2.0,2.0,2.0,14,4.0,18.0,,20.0,,8.0,2.0,17.0,61,3.0,2.0,0.38461538461538464,0.47619047619047616,1.0,0.3333333333333333,,,0.5,0.6190476190476191,0.8571428571428571,0.625,0.6111111111111112,0.8571428571428571,0.5555555555555556,0.6181818181818182,0.8125,0.6071428571428571,0.06666666666666667,0.09523809523809523,,23.776223776223777,0.46153846153846156,,0.22857142857142856,0.054945054945054944,0.20689655172413793,0.2222222222222222,0.07758620689655173,0.043478260869565216,0.06976744186046512,0.32,0.25,0.16666666666666666,0.2727272727272727,0.5111111111111111,0.7391304347826086,0.8947368421052632,0.15555555555555556,0.14285714285714285,0.14285714285714285,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.375,0.022222222222222223,0.044444444444444446,0.5,0.5,1.0,1.0,,,,0.5555555555555556,0.8,0.1111111111111111,,0.5777777777777777,1.0,0.4942090909090908,0.5344000000000001,0.49907500000000005,0.1509433962264151,0.16,0.19117647058823528,0.25,6.671428571428571,30.133333333333336,0.25,6.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.17391304347826086,0.16,0.04,0.125,0.2222222222222222,0.058823529411764705,0.07692307692307693,0.4117647058823529,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,6263.0,104,-39,186,188,29,18,22,374,2.0,5.0,,1.0,1.0,2.0,5.0,6.0,18.0,2.0,1.0,3.0,,,1.0,1.0,10.0,28,1.0,5.0,7.0,30.0,224,,1.0,,,2.0,1.0,2,1.0,2.0,4.0,9.0,18.0,2.0,3.0,,,3.0,1.0,3.0,7.0,3.0,10.0,1.0,2.0,3.0,,4.0,23.0,1.0,,3.0,4.0,7.0,1.0,8.0,3.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,7.0,,1.0,5.0,11,1.0,7.0,1.0,7.0,1.0,4.0,,9.0,29,,,0.9,0.9,1.0,0.2,,0.5,0.2,0.35714285714285715,,0.5,0.3484848484848485,,0.625,0.4166666666666667,0.5,0.75,0.15151515151515152,0.10714285714285714,0.2,20.673076923076923,0.42857142857142855,,0.06896551724137931,0.014925373134328358,0.14285714285714285,0.08860759493670886,0.011764705882352941,,0.02857142857142857,,0.14285714285714285,0.125,0.2,0.15151515151515152,0.4,0.6666666666666666,0.15151515151515152,0.4,0.5,0.5454545454545454,0.3333333333333333,0.3333333333333333,1.0,0.06060606060606061,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,,,,,0.25,1.0,0.25,1.0,0.30303030303030304,0.3333333333333333,0.4584651515151515,0.3821,0.5638875,0.1111111111111111,0.12903225806451613,0.06666666666666667,0.3,13.357142857142858,23.979999999999997,0.15591397849462366,,2.0,,,,,,1.0,,3.0,2.0,3.0,,0.4,,,,,0.058823529411764705,,0.5,,1.0,1.0,1.0,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,True,,,,,,,
1897,1610612758,Metta World Peace,Metta World Peace,1897,SAC,5282.0,88,-25,153,152,35,21,18,305,5.0,8.0,1.0,2.0,5.0,2.0,9.0,2.0,6.0,3.0,2.0,9.0,,1.0,1.0,4.0,9.0,23,4.0,12.0,2.0,32.0,178,1.0,2.0,,1.0,2.0,2.0,7,1.0,4.0,,7.0,6.0,12.0,9.0,3.0,,9.0,2.0,3.0,4.0,,4.0,,,3.0,,1.0,8.0,,,2.0,4.0,6.0,1.0,7.0,2.0,1.0,1.0,1.0,,,2.0,,3.0,,,1.0,8,2.0,3.0,,4.0,,2.0,,7.0,35,1.0,,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,,0.25,0.3333333333333333,0.391304347826087,0.5,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.3181818181818182,0.43243243243243246,0.3333333333333333,0.3181818181818182,0.34285714285714286,0.13043478260869565,0.1111111111111111,23.391812865497077,0.3333333333333333,,0.08163265306122448,,0.13333333333333333,0.09375,0.014285714285714285,,,0.11764705882352941,0.10526315789473684,0.18181818181818182,,0.22857142857142856,0.625,0.8333333333333334,0.2571428571428571,0.2222222222222222,0.25,0.17142857142857143,0.3333333333333333,0.3333333333333333,0.5,0.08571428571428572,0.2571428571428571,0.2222222222222222,0.2222222222222222,0.5,0.3333333333333333,0.3333333333333333,,,0.45454545454545453,0.4,0.36363636363636365,0.25,0.5714285714285714,0.2222222222222222,0.4643657142857143,0.4386833333333333,0.5023363636363637,0.05405405405405406,0.08,0.0625,0.21875,8.186956521739129,24.84166666666667,0.22875816993464052,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,2.0,,0.25,0.05263157894736842,,,0.125,,0.05263157894736842,0.4,1.0,,1.0,2.0,1.0,,,2.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,True,,,,,,,
1903,1610612758,Kenny Thomas,Kenny Thomas,1903,SAC,8894.0,148,-45,267,269,66,56,38,536,7.0,13.0,7.0,1.0,1.0,3.0,4.0,3.0,7.0,,,,,,,,13.0,24,,,9.0,35.0,328,4.0,8.0,,,8.0,2.0,3,,,4.0,8.0,10.0,16.0,,,6.0,,,3.0,6.0,2.0,8.0,2.0,,3.0,,3.0,18.0,11.0,,4.0,10.0,15.0,12.0,27.0,5.0,3.0,2.0,4.0,1.0,3.0,5.0,1.0,9.0,2.0,2.0,8.0,22,2.0,9.0,,13.0,1.0,7.0,,8.0,66,2.0,,0.38461538461538464,0.5,,,,,,0.5416666666666666,0.5,0.6666666666666666,0.5416666666666666,0.5,0.6666666666666666,0.5833333333333334,0.5,0.6666666666666666,,0.125,,12.580645161290322,0.4444444444444444,,0.13333333333333333,0.1134020618556701,0.12903225806451613,0.1320754716981132,0.0967741935483871,0.08,0.08695652173913043,0.10714285714285714,0.16666666666666666,0.2222222222222222,,0.5416666666666666,0.5384615384615384,0.7,0.16666666666666666,0.75,0.75,0.2916666666666667,0.42857142857142855,0.42857142857142855,0.3333333333333333,,,,,,0.875,,,,0.3333333333333333,1.0,,,0.5416666666666666,,0.51215,0.5440285714285714,0.46126666666666666,0.23333333333333334,0.23333333333333334,0.22857142857142856,0.22857142857142856,6.141666666666667,,0.24719101123595505,4.0,,,1.0,,1.0,,1.0,1.0,,,,,0.23076923076923078,0.037037037037037035,0.19230769230769232,,0.09090909090909091,0.11764705882352941,,0.5714285714285714,0.5714285714285714,,,,,,,,,,,1.0,0.25,0.25,,,,,,,,,True,,,,,,,
2078,1610612758,Jason Hart,Jason Hart,2078,SAC,1131.0,19,-12,34,35,5,17,6,69,1.0,2.0,,,,,,1.0,2.0,,,,,,,,2.0,4,,,,4.0,47,1.0,1.0,,,2.0,1.0,1,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,5,1.0,,,,,,,2.0,5,3.0,,,,,,,,,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,,,,11.363636363636363,,,,,,,,,,,,,,0.5,0.5,0.5,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,0.5,,0.5524249999999999,0.3791,0.3791,,,0.5,0.5,10.175,,0.14705882352941177,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2755,1610612758,Kevin Martin,Kevin Martin,2755,SAC,3892.0,65,-11,123,124,45,38,23,247,4.0,4.0,1.0,,,,5.0,,3.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,12,4.0,8.0,11.0,31.0,152,1.0,2.0,2.0,2.0,10.0,,2,3.0,4.0,4.0,13.0,2.0,6.0,12.0,,2.0,4.0,3.0,,,1.0,1.0,1.0,,,,,3.0,4.0,,2.0,3.0,5.0,6.0,11.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,1.0,1.0,5,,7.0,1.0,11.0,1.0,4.0,2.0,13.0,45,2.0,1.0,0.25,0.3333333333333333,1.0,0.5,1.0,0.75,0.5,0.3333333333333333,0.5,,0.5,1.0,0.75,0.62,1.0,0.8125,0.4,,,17.449664429530202,0.5,,0.10714285714285714,0.08695652173913043,0.11764705882352941,0.1111111111111111,0.10344827586206896,0.07692307692307693,0.15789473684210525,0.21428571428571427,,,0.2,0.2,1.0,1.0,0.25,,,0.15,,,,0.2,0.2,0.75,0.75,1.0,0.25,0.25,1.0,1.0,,,0.5,0.6666666666666666,0.6,0.75,0.5199874999999999,0.5103666666666667,0.49214166666666664,0.17391304347826086,0.26666666666666666,0.3225806451612903,0.41935483870967744,8.258333333333333,23.775,0.36585365853658536,1.0,2.0,,2.0,,,,,,,,,,,0.16666666666666666,,0.25,,,,0.25,1.0,1.0,,,,,0.16666666666666666,1.0,0.25,0.25,1.0,,,,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,True,,,,,,,
949,1610612758,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,SAC,2292.0,38,-14,70,70,26,29,12,140,4.0,7.0,1.0,1.0,1.0,6.0,9.0,1.0,2.0,1.0,,,,,,,11.0,18,,1.0,3.0,25.0,94,,1.0,,,,4.0,5,,,2.0,10.0,6.0,16.0,,,,,,2.0,,2.0,2.0,2.0,,,,,6.0,2.0,,1.0,5.0,8.0,2.0,10.0,,,,2.0,,1.0,,,2.0,,1.0,7.0,7,,5.0,,3.0,1.0,2.0,,10.0,26,,,0.2727272727272727,0.2727272727272727,,,,,,0.6111111111111112,,0.8,0.5789473684210527,,0.8,0.625,,0.8333333333333334,0.05263157894736842,0.1111111111111111,0.1111111111111111,25.28735632183908,1.0,,0.38461538461538464,0.07692307692307693,0.1,0.2608695652173913,0.0625,,,0.6666666666666666,0.14285714285714285,,0.125,0.3684210526315789,0.5714285714285714,0.6666666666666666,0.47368421052631576,0.6666666666666666,0.75,0.10526315789473684,0.5,0.5,1.0,0.05263157894736842,,,,,1.0,,,,0.2,1.0,,,0.42105263157894735,,0.4347421052631579,0.6584,0.37912,0.1,0.10526315789473684,,0.4,5.822222222222221,22.8,0.37142857142857144,,,,,1.0,1.0,,,,,,,,0.14285714285714285,,0.3333333333333333,,,,0.16666666666666666,0.5,,,,,,,,,,,,2.0,0.5,,,,,,,,,,True,,,,,,,
101128,1610612758,Francisco Garcia,Francisco Garcia,101128,SAC,2459.0,41,-34,80,82,33,41,6,162,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,,,,,4.0,7,1.0,4.0,2.0,13.0,101,1.0,1.0,,,2.0,2.0,5,,,2.0,6.0,4.0,4.0,3.0,,,3.0,1.0,,1.0,,1.0,,,1.0,,,2.0,,,,2.0,2.0,,2.0,2.0,1.0,1.0,,,,,,,,,4.0,5,,1.0,,2.0,,,1.0,6.0,33,1.0,1.0,0.5,0.5,1.0,0.25,,,0.25,0.5714285714285714,1.0,0.4,0.5,1.0,0.4,0.5416666666666666,1.0,0.5,0.36363636363636365,,,13.793103448275863,,,0.07142857142857142,,,0.0625,,,,,,,,0.09090909090909091,1.0,1.0,0.18181818181818182,0.5,0.5,0.36363636363636365,0.5,0.5,0.5,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,,,0.2,1.0,,,0.45454545454545453,0.3333333333333333,0.44536363636363646,0.4004,0.36492,,,0.15384615384615385,0.46153846153846156,12.642857142857142,24.325000000000003,0.4125,,,,,,,,,,2.0,1.0,2.0,,,,,,,0.25,,1.0,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,False,,,,,,,
101179,1610612758,Ronnie Price,Ronnie Price,101179,SAC,560.0,9,-11,20,20,20,20,1,40,,1.0,,,1.0,,,,2.0,,,,,,,,,3,,,,,23,,,,,,,3,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,20,1.0,,,,,,,,,,,,,,,,,,,0.3333333333333333,,14.285714285714286,,,,,,,,,,,,,,0.3333333333333333,,,,,,0.6666666666666666,,,,,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,0.42796666666666666,,0.42796666666666666,,,,,13.4,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,,,,,,
