EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,HeaveAttempts,BlockedCorner3,Defensive 3 Seconds Violations,on
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,33245.0,554,93,977,976,249,202,124.0,1953,28.0,47.0,9.0,15.0,4.0,9.0,1.0,7.0,2.0,1.0,1.0,1.0,29.0,56,1.0,17.0,75.0,983,9.0,16.0,1.0,2.0,20.0,4.0,10.0,1.0,6.0,14.0,38.0,20.0,14.0,1.0,9.0,23.0,7.0,30.0,6.0,1.0,10.0,5.0,8.0,67.0,9.0,41.0,1.0,21.0,77.0,12.0,110.0,51.0,161.0,2.0,23.0,16.0,7.0,4.0,3.0,1.0,9.0,3.0,1.0,13.0,3.0,17.0,36,2.0,65.0,18.0,15.0,58.0,5.0,21.0,11.0,19.0,1.0,1.0,16.0,1.0,2.0,20.0,11.0,1.0,1.0,1.0,14.0,249,7.0,10.0,0.6551724137931034,0.8636363636363636,0.5178571428571429,0.5625,0.4,0.5087719298245614,0.5294117647058824,0.36363636363636365,0.44642857142857145,0.45454545454545453,0.30434782608695654,0.017543859649122806,0.16071428571428573,0.1702127659574468,0.14285714285714285,8.676207513416816,0.3076923076923077,0.42857142857142855,0.021739130434782608,0.21153846153846154,0.12094395280235988,0.23076923076923078,0.07894736842105263,0.2153846153846154,0.11037527593818984,0.08333333333333333,0.1623931623931624,0.10869565217391304,0.06060606060606061,0.10416666666666667,0.18548387096774194,0.22784810126582278,0.2236024844720497,0.2777777777777778,0.16216216216216217,0.11764705882352941,0.55,0.8245614035087719,0.5957446808510638,0.717948717948718,0.6428571428571429,0.12280701754385964,0.14285714285714285,0.16666666666666666,1.0,0.03508771929824561,0.017543859649122806,0.8823529411764706,0.6,0.2222222222222222,0.058823529411764705,0.8181818181818182,0.4444444444444444,0.09090909090909091,0.8421052631578947,0.5371640350877193,0.5438607142857143,0.5250136363636364,0.2876712328767123,0.2916666666666667,0.26666666666666666,0.18666666666666668,1.780357142857143,27.8,0.2548618219037871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,42302.0,705,83,1242,1238,352,317,168.0,2480,23.0,41.0,1.0,3.0,5.0,10.0,13.0,34.0,60.0,76.0,11.0,29.0,61.0,135,94.0,105.0,323.0,1273,7.0,11.0,14.0,14.0,46.0,15.0,31.0,34.0,53.0,128.0,28.0,94.0,2.0,76.0,10.0,81.0,36.0,117.0,25.0,11.0,29.0,16.0,36.0,270.0,,6.0,1.0,10.0,43.0,1.0,54.0,7.0,61.0,1.0,22.0,12.0,10.0,23.0,9.0,11.0,20.0,12.0,1.0,43.0,15.0,20.0,43,6.0,84.0,2.0,1.0,116.0,4.0,32.0,21.0,2.0,,,1.0,,1.0,2.0,1.0,,,,128.0,352,8.0,21.0,0.22950819672131148,0.23333333333333334,0.45185185185185184,0.6363636363636364,0.4838709677419355,0.4759825327510917,0.64,0.5769230769230769,0.5645161290322581,0.71875,0.6808510638297872,0.4104803493449782,0.07407407407407407,0.21951219512195122,,22.439024390243905,0.5348837209302325,0.02,0.017241379310344827,0.09885057471264368,0.013793103448275862,0.08403361344537816,,0.09566787003610108,0.010033444816053512,0.027522935779816515,0.013605442176870748,0.00558659217877095,,,0.12666666666666668,0.09,0.08108108108108109,0.0821917808219178,0.08695652173913043,0.008130081300813009,0.5,0.17903930131004367,0.5609756097560976,0.71875,0.30434782608695654,0.14847161572052403,0.38235294117647056,0.38235294117647056,0.23076923076923078,0.26200873362445415,0.3318777292576419,0.12,0.3333333333333333,,0.44,0.15384615384615385,0.5,0.4461538461538462,0.5895196506550219,0.47278755458515276,0.49779285714285715,0.458,0.12790697674418605,0.19631901840490798,0.14241486068111456,0.39628482972136225,10.860000000000001,25.489361702127656,0.2834138486312399,25.0,3.0,18.0,1.0,3.0,2.0,5.0,29.0,5.0,13.0,32.0,6.0,15.0,45.0,51.0,29.0,1.0,1.0,5.0,11.0,1.0,0.46875,0.3404255319148936,0.42857142857142855,0.4411764705882353,0.3404255319148936,0.016666666666666666,0.4166666666666667,0.423728813559322,0.16,0.07860262008733625,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3815789473684211,0.3815789473684211,0.4827586206896552,0.12,0.3333333333333333,1.0,0.45454545454545453,0.8,0.07692307692307693,0.4,0.4482758620689655,0.3815789473684211,0.010526315789473684,,,,,,,,,True
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,35235.0,587,91,1042,1037,277,251,135.0,2079,45.0,75.0,9.0,14.0,11.0,14.0,20.0,66.0,87.0,13.0,3.0,2.0,97.0,228,36.0,82.0,315.0,1070,16.0,32.0,4.0,2.0,34.0,21.0,49.0,8.0,48.0,99.0,120.0,74.0,10.0,13.0,30.0,29.0,9.0,38.0,6.0,3.0,18.0,5.0,6.0,85.0,7.0,7.0,,7.0,25.0,1.0,33.0,14.0,47.0,6.0,14.0,8.0,6.0,17.0,5.0,11.0,14.0,6.0,4.0,31.0,5.0,17.0,55,3.0,68.0,1.0,4.0,95.0,7.0,29.0,21.0,5.0,,,4.0,1.0,,5.0,3.0,,,1.0,99.0,277,6.0,20.0,0.6185567010309279,0.6521739130434783,0.42543859649122806,0.5,0.42857142857142855,0.4412878787878788,0.4444444444444444,0.4473684210526316,0.509771986970684,0.4594594594594595,0.5963855421686747,0.13636363636363635,0.13157894736842105,0.22666666666666666,0.12121212121212122,28.284518828451883,0.5483870967741935,0.02702702702702703,,0.06702412868632708,0.01907356948228883,0.06930693069306931,0.05555555555555555,0.06751054852320675,0.028397565922920892,0.021505376344086023,0.024,0.013422818791946308,0.05263157894736842,0.06,0.06299212598425197,0.05747126436781609,0.07547169811320754,0.09090909090909091,0.02857142857142857,0.04918032786885246,0.6,0.2840909090909091,0.6,0.7758620689655172,0.4888888888888889,0.25,0.30303030303030304,0.3448275862068966,0.6,0.32954545454545453,0.04924242424242424,0.3888888888888889,0.6428571428571429,0.1111111111111111,0.08333333333333333,0.24561403508771928,0.7857142857142857,0.03508771929824561,0.42045454545454547,0.47405984848484845,0.47685,0.4483850877192983,0.10139860139860139,0.116,0.10793650793650794,0.3142857142857143,9.504824561403508,24.275,0.2658349328214971,32.0,8.0,23.0,,1.0,1.0,6.0,5.0,,2.0,13.0,,3.0,36.0,3.0,5.0,1.0,,3.0,2.0,,0.9230769230769231,0.3611111111111111,,0.375,0.3611111111111111,0.05747126436781609,0.367816091954023,0.3902439024390244,0.8125,0.08712121212121213,0.34782608695652173,0.34782608695652173,1.0,0.38461538461538464,0.38461538461538464,0.8,0.027777777777777776,,,,,0.10526315789473684,0.16666666666666666,1.0,0.38461538461538464,,1.0,,,,,,,,True
2230,1610612765,Maurice Evans,Maurice Evans,2230,DET,3918.0,65,15,118,124,45,51,18.0,242,2.0,4.0,2.0,2.0,,1.0,1.0,3.0,4.0,2.0,1.0,,3.0,11,9.0,8.0,32.0,118,2.0,4.0,1.0,2.0,9.0,,3.0,4.0,6.0,15.0,2.0,4.0,2.0,2.0,,1.0,1.0,2.0,1.0,,,,1.0,5.0,,4.0,,2.0,3.0,1.0,6.0,4.0,10.0,,,,,,,,,,,,,3.0,6,,7.0,1.0,1.0,10.0,,3.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,15.0,45,2.0,1.0,0.3333333333333333,0.5,0.2727272727272727,0.5,,0.6,0.7,0.6428571428571429,0.64,0.75,0.75,0.45,,,,18.115942028985508,,0.125,,0.07142857142857142,0.0975609756097561,0.13333333333333333,,0.08771929824561403,0.06896551724137931,0.1111111111111111,0.16666666666666666,0.05,,,,,0.1875,0.125,0.14285714285714285,,1.0,0.2,0.5,0.5,,0.15,0.3333333333333333,0.3333333333333333,1.0,0.2,0.1,0.4,1.0,,0.2,0.14285714285714285,,,0.65,0.48781999999999986,0.45244,0.4771,0.13043478260869565,0.21428571428571427,0.28125,0.46875,9.036363636363637,23.733333333333334,0.3813559322033898,,5.0,7.0,,,3.0,4.0,1.0,1.0,,6.0,1.0,3.0,18.0,,1.0,,,,,,1.0,0.6666666666666666,1.0,0.75,0.6666666666666666,,,,,0.35,0.7142857142857143,0.7142857142857143,1.0,0.5,1.0,1.0,,,,1.0,1.0,0.5714285714285714,0.75,,0.5,,,1.0,0.1111111111111111,0.5,,,,,True
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,38022.0,634,68,1120,1110,309,270,152.0,2230,35.0,55.0,11.0,15.0,10.0,14.0,21.0,50.0,48.0,18.0,6.0,7.0,73.0,153,42.0,55.0,261.0,1136,13.0,21.0,10.0,4.0,54.0,18.0,32.0,15.0,15.0,75.0,58.0,88.0,16.0,15.0,6.0,26.0,17.0,43.0,9.0,8.0,12.0,3.0,11.0,103.0,9.0,24.0,1.0,14.0,26.0,8.0,48.0,34.0,82.0,8.0,9.0,8.0,1.0,15.0,5.0,7.0,13.0,8.0,4.0,28.0,8.0,11.0,22,1.0,52.0,5.0,4.0,66.0,4.0,30.0,5.0,8.0,3.0,1.0,6.0,2.0,,11.0,9.0,1.0,,,75.0,309,2.0,5.0,0.3972602739726027,0.4461538461538462,0.477124183006536,0.6190476190476191,0.5625,0.5282051282051282,0.8064516129032258,0.6382978723404256,0.577433628318584,0.8181818181818182,0.6818181818181818,0.2153846153846154,0.0392156862745098,0.07272727272727272,0.04,19.613899613899616,0.5357142857142857,0.17777777777777778,0.018518518518518517,0.065,0.060453400503778336,0.13333333333333333,0.06164383561643835,0.07920792079207921,0.06077348066298342,0.06060606060606061,0.07352941176470588,0.04938271604938271,0.07058823529411765,0.04918032786885246,0.06521739130434782,0.022727272727272728,0.08620689655172414,0.125,0.14634146341463414,0.08602150537634409,0.8181818181818182,0.28205128205128205,0.6363636363636364,0.6862745098039216,0.45714285714285713,0.2564102564102564,0.42,0.4375,0.19047619047619047,0.24615384615384617,0.09230769230769231,0.4838709677419355,0.7333333333333333,,0.1935483870967742,0.2978723404255319,0.7142857142857143,0.14893617021276595,0.49743589743589745,0.46825569948186535,0.5139166666666667,0.4870155555555556,0.13574660633484162,0.16759776536312848,0.20689655172413793,0.28735632183908044,8.520261437908497,25.521428571428572,0.27589285714285716,17.0,8.0,24.0,3.0,4.0,3.0,8.0,12.0,5.0,5.0,20.0,8.0,8.0,51.0,9.0,11.0,2.0,,1.0,,,0.85,0.47619047619047616,0.8,0.5333333333333333,0.475,,0.3541666666666667,0.3541666666666667,0.5294117647058824,0.12307692307692308,0.3333333333333333,0.3333333333333333,0.875,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.12903225806451613,0.75,1.0,0.8333333333333334,0.8,0.1702127659574468,0.375,0.7142857142857143,0.7333333333333333,,1.0,,,,1.0,2.0,2.0,,True
686,1610612765,Antonio McDyess,Antonio McDyess,686,DET,15146.0,252,46,441,436,166,158,73.0,877,17.0,21.0,7.0,8.0,5.0,6.0,2.0,5.0,34.0,1.0,,1.0,33.0,60,1.0,17.0,83.0,433,10.0,11.0,,5.0,25.0,10.0,15.0,1.0,6.0,26.0,54.0,12.0,12.0,1.0,3.0,1.0,5.0,6.0,2.0,3.0,,1.0,,17.0,9.0,17.0,,9.0,32.0,13.0,54.0,26.0,80.0,,5.0,5.0,,4.0,3.0,2.0,7.0,2.0,2.0,11.0,1.0,25.0,41,2.0,29.0,4.0,3.0,32.0,,8.0,8.0,6.0,1.0,1.0,5.0,,1.0,7.0,4.0,1.0,,,26.0,166,3.0,6.0,0.8181818181818182,1.0,0.55,0.9090909090909091,0.6666666666666666,0.5409836065573771,0.9090909090909091,0.625,0.538961038961039,0.8333333333333334,0.5416666666666666,0.01639344262295082,0.05,0.14285714285714285,,16.85823754789272,0.36363636363636365,0.41935483870967744,,0.22857142857142856,0.10179640718562874,0.1875,0.14754098360655737,0.21808510638297873,0.11403508771929824,0.14705882352941177,0.11320754716981132,0.075,0.14285714285714285,0.15789473684210525,0.2708333333333333,0.2727272727272727,0.1694915254237288,0.14285714285714285,0.25,,0.5714285714285714,0.3442622950819672,0.8095238095238095,0.9444444444444444,0.6470588235294118,0.08196721311475409,0.4,0.4,1.0,0.5573770491803278,0.01639344262295082,0.7272727272727273,0.875,0.14285714285714285,,0.375,0.8333333333333334,0.0625,0.36065573770491804,0.4442868852459017,0.5287444444444445,0.46543750000000006,0.11594202898550725,0.11764705882352941,0.30120481927710846,0.3132530120481928,10.675000000000002,24.7,0.3764172335600907,14.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.4117647058823529,0.4117647058823529,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,True
739,1610612765,Rasheed Wallace,Rasheed Wallace,739,DET,33686.0,561,37,984,974,234,203,127.0,1958,11.0,24.0,3.0,8.0,1.0,3.0,27.0,61.0,44.0,53.0,10.0,15.0,54.0,129,73.0,27.0,219.0,1037,3.0,14.0,10.0,,18.0,12.0,24.0,21.0,11.0,53.0,56.0,52.0,6.0,53.0,3.0,22.0,6.0,28.0,6.0,,10.0,6.0,6.0,62.0,3.0,9.0,4.0,14.0,64.0,5.0,83.0,16.0,99.0,3.0,8.0,4.0,4.0,12.0,4.0,6.0,9.0,6.0,,21.0,3.0,33.0,57,3.0,42.0,3.0,1.0,49.0,3.0,21.0,5.0,14.0,,,10.0,1.0,3.0,14.0,9.0,,,,53.0,234,6.0,5.0,0.5185185185185185,0.5490196078431373,0.4186046511627907,0.21428571428571427,0.5,0.4752475247524752,0.375,0.4666666666666667,0.4866666666666667,0.36,0.4818181818181818,0.3613861386138614,0.023255813953488372,0.08333333333333333,0.01639344262295082,21.769911504424776,0.5714285714285714,0.14705882352941177,0.08695652173913043,0.18285714285714286,0.026470588235294117,0.16470588235294117,0.022900763358778626,0.1793103448275862,0.025477707006369428,0.0449438202247191,0.03418803418803419,0.007462686567164179,,0.05357142857142857,0.10833333333333334,0.2261904761904762,0.2191780821917808,0.16363636363636364,0.16666666666666666,0.02654867256637168,0.6428571428571429,0.1188118811881188,0.4583333333333333,0.5,0.5454545454545454,0.30198019801980197,0.4426229508196721,0.45,0.4444444444444444,0.21782178217821782,0.2623762376237624,0.3333333333333333,0.375,,0.4166666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.4801980198019802,0.4381148514851486,0.4845325000000001,0.41733999999999993,0.09545454545454546,0.14285714285714285,0.0821917808219178,0.2420091324200913,10.756589147286821,25.10821917808219,0.23780487804878048,16.0,4.0,20.0,,,,6.0,24.0,4.0,6.0,28.0,4.0,6.0,84.0,,24.0,1.0,1.0,,,,1.0,0.3835616438356164,0.4,0.2857142857142857,0.3835616438356164,,0.36363636363636365,0.36363636363636365,0.625,0.09900990099009901,0.2,0.2,1.0,0.4528301886792453,0.4528301886792453,1.0,,,,0.4,1.0,0.13333333333333333,,0.4,0.4528301886792453,,5.0,,,,,,,1.0,True
283,1610612765,Lindsey Hunter,Lindsey Hunter,283,DET,3675.0,61,-10,105,108,48,48,18.0,213,3.0,5.0,,1.0,1.0,2.0,,1.0,4.0,9.0,,4.0,4.0,10,14.0,,20.0,112,,2.0,,,,1.0,2.0,6.0,,5.0,2.0,6.0,,9.0,1.0,2.0,1.0,3.0,,1.0,1.0,,1.0,7.0,3.0,1.0,,,2.0,,2.0,4.0,6.0,2.0,5.0,1.0,4.0,1.0,,1.0,,,,1.0,,2.0,16,,3.0,,1.0,,,,,,,,,,,,,,,,5.0,48,4.0,,0.25,0.25,0.4,,0.5,0.4166666666666667,,0.3125,0.4166666666666667,,0.3125,0.5833333333333334,0.1,0.2,,19.68503937007874,1.0,,,0.09523809523809523,0.030303030303030304,,0.14285714285714285,0.05263157894736842,0.07407407407407407,0.1,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,,0.1111111111111111,,,0.13333333333333333,,0.20833333333333334,0.6,0.75,,0.041666666666666664,,,,0.16666666666666666,0.375,0.5,,,,0.25,0.5,0.5,0.7916666666666666,0.51406875,0.3628,0.52113125,,,,0.25,9.23,24.535714285714285,0.45714285714285713,1.0,2.0,5.0,,,,2.0,2.0,,1.0,4.0,,1.0,12.0,,2.0,,,,,,1.0,0.2857142857142857,,0.16666666666666666,0.2857142857142857,,0.25,0.25,1.0,0.20833333333333334,0.4,0.4,1.0,0.2222222222222222,0.2222222222222222,1.0,,,,,,0.25,,0.25,0.2222222222222222,,,,,,,,,,True
905,1610612765,Dale Davis,Dale Davis,905,DET,974.0,16,-11,26,29,14,15,3.0,55,,1.0,,,,,,1.0,,,,,,2,,,,34,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,2.0,1.0,3.0,,,,,,,,,,,,,3.0,4,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,0.5,1.0,,9.67741935483871,,0.3333333333333333,,,0.16666666666666666,0.3333333333333333,,0.125,0.07142857142857142,0.5,,,,,,,,0.5,,,,0.5,,,,0.5,,,,,,,,,,,,,0.5,0.35919999999999996,,0.3267,0.3333333333333333,0.3333333333333333,,,4.9,,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
960,1610612765,Tony Delk,Tony Delk,960,DET,4644.0,77,4,137,140,51,59,22.0,277,4.0,6.0,2.0,2.0,1.0,1.0,1.0,5.0,11.0,4.0,1.0,2.0,11.0,22,6.0,3.0,28.0,147,4.0,6.0,1.0,,8.0,3.0,8.0,2.0,3.0,9.0,16.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,,2.0,,,7.0,,4.0,,1.0,7.0,,8.0,4.0,12.0,,6.0,2.0,4.0,2.0,,2.0,,,,2.0,,2.0,9,,5.0,,,4.0,,,2.0,,,,,,,,,,,,9.0,51,2.0,2.0,0.7272727272727273,0.8,0.5,0.6666666666666666,0.375,0.44642857142857145,0.5714285714285714,0.3,0.4666666666666667,0.5714285714285714,0.375,0.21428571428571427,0.045454545454545456,,0.2,19.393939393939394,1.0,,,0.175,0.08695652173913043,0.09090909090909091,,0.1568627450980392,0.057971014492753624,0.2,0.06666666666666667,,,,,0.3333333333333333,0.25,,0.25,,,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.17857142857142858,0.2,0.25,1.0,0.39285714285714285,0.14285714285714285,0.2857142857142857,1.0,0.5,0.14285714285714285,0.1,1.0,0.2,0.42857142857142855,0.44709464285714284,0.4427916666666667,0.4094749999999999,,,0.2857142857142857,0.32142857142857145,11.85,24.983333333333334,0.3722627737226277,6.0,,2.0,,,,,1.0,,,1.0,,,3.0,,1.0,,,,,,1.0,0.16666666666666666,,,0.16666666666666666,,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.07142857142857142,,,,0.25,0.25,1.0,,,,,,,,,0.25,,,,,,,,,,True
