EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,NonHeaveArc3FGA,FG3APct,Arc3Frequency,Avg3ptShotDistance,ShortMidRangeFGA,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,FTA,TwoPtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,LongMidRangeFGM,PenaltyArc3FGA,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,HeaveAttempts,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,SelfOReb,Steals,BadPassSteals,BadPassTurnovers,DeadBallTurnovers,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,LongMidRangePctBlocked,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3Frequency,SecondChancePointsPct,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LongMidRangeAssists,SecondChanceTurnovers,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShortMidRangePctAssisted,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,FTOffRebounds,FTDefRebounds,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,on,Arc3Assists,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,NonHeaveArc3FGM,LostBallSteals,BadPassOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,BlockedShortMidRange,3SecondViolations,SecondChanceFg3Pct,PenaltyFg3Pct,ShortMidRangePctBlocked,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,Fg3aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,OffensiveGoaltends,OffCorner3ReboundPct,BlockedLongMidRange,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy
1442,1610612746,Zeljko Rebraca,Zeljko Rebraca,1442,LAC,1316.0,22,-4.0,44,45,16.0,26,7.0,89,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,39,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,16.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,9.615384615384615,1.0,0.12,0.25,0.11538461538461539,0.05,0.25,0.09090909090909091,0.16666666666666666,0.125,1.0,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.47446666666666665,0.46519999999999995,1.0,4.733333333333333,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,1610612746,Cuttino Mobley,Cuttino Mobley,1749,LAC,571.0,10,-8.0,18,20,10.0,19,5.0,38,1.0,1.0,,,,1.0,1.0,2.0,20,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,10.0,1.0,1.0,1.0,1.0,,0.5,,0.5,,8.695652173913043,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,1.0,0.604475,,,,0.5555555555555556,1.0,1.0,1.0,0.5,0.5,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,787.0,13,-8.0,27,28,11.0,21,5.0,55,1.0,2.0,,1.0,1.0,1.0,5.0,2.0,29,,2.0,,2.0,,,,2.0,2.0,,,,,1.0,1.0,,1.0,3.0,3.0,3.0,1.0,,,11.0,,1.0,1.0,0.2,,0.2,,0.16666666666666666,,18.18181818181818,,,,,0.14285714285714285,,,,,0.3333333333333333,0.4,0.5,1.0,1.0,0.2,0.5,,0.4,0.4862,0.4688,,8.28,0.4074074074074074,,,,,,,2.0,1.0,1.0,2.0,2.0,1.0,0.2,0.5,0.18181818181818182,0.3333333333333333,0.2,0.4,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,1115.0,19,-6.0,38,38,13.0,19,5.0,76,,2.0,,,6.0,4.0,10.0,14.0,33,,1.0,1.0,2.0,1.0,5.0,6.0,3.0,9.0,4.0,3.0,5.0,2.0,2.0,3.0,,5.0,,,,,,1.0,13.0,,0.25,0.25,0.4,,0.3333333333333333,,0.4666666666666667,0.16666666666666666,44.44444444444444,0.8,0.2631578947368421,0.5,0.3,0.17647058823529413,0.5,0.1111111111111111,0.5,0.3333333333333333,,0.16666666666666666,,,,0.5,,,0.3333333333333333,0.4373136363636363,0.2826,0.07142857142857142,13.420000000000002,0.34210526315789475,2.0,2.0,1.0,0.16666666666666666,0.16666666666666666,40.35,2.0,,3.0,2.0,7.0,3.0,0.3,1.0,0.13333333333333333,0.2,,0.16666666666666666,0.21428571428571427,0.25,1.0,3.0,1.0,6.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,0.5,0.5,0.5,0.6,0.3333333333333333,0.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1610612746,Sam Cassell,Sam Cassell,208,LAC,445.0,7,,12,15,3.0,15,3.0,27,,,,,2.0,2.0,4.0,6.0,13,1.0,1.0,4.0,2.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,4.0,3.0,,0.5,0.5,0.5,1.0,0.4,1.0,0.5,1.0,43.75,,0.1111111111111111,,0.1111111111111111,,,0.25,,,,,,,,0.4,,,0.2,0.42962,0.4049,0.6666666666666666,14.375,0.25,1.0,1.0,1.0,0.2,0.2,25.6,2.0,1.0,,,2.0,,,,,,,0.4,,,,2.0,,2.0,,2.0,,2.0,2.0,,,2.0,,4.0,,,,,,1.0,1.0,,,1.0,1.0,0.5,,,,,,,,1.0,1.0,0.5,,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.408,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,1610612746,Shaun Livingston,Shaun Livingston,2733,LAC,981.0,16,,35,34,16.0,15,4.0,69,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,28,1.0,2.0,2.0,,,4.0,4.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,3.0,,1.0,,,,,,2.0,16.0,,,,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.5,15.384615384615383,1.0,0.2,,0.19047619047619047,0.09090909090909091,,0.2857142857142857,0.16666666666666666,0.14285714285714285,,0.6666666666666666,0.5,0.5,,0.3333333333333333,1.0,0.5,0.6666666666666666,0.4808666666666667,0.5287,0.5,6.2,0.45714285714285713,,,,,,,,1.0,,1.0,2.0,1.0,,,0.1,,,,0.25,0.25,,1.0,,,,2.0,,,4.0,,,4.0,,8.0,,,,,1.0,,,,,,,1.0,,,0.16666666666666666,,,,,1.0,1.0,,,0.5,,1.0,,4.0,2.0,,1.0,1.0,,0.5907,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,1610612746,Quinton Ross,Quinton Ross,2624,LAC,91.0,2,-2.0,3,3,,3,2.0,6,,,,,,,,,4,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,1610612746,Chris Kaman,Chris Kaman,2549,LAC,529.0,9,4.0,17,17,5.0,5,2.0,34,,,,,1.0,1.0,2.0,2.0,10,1.0,1.0,2.0,2.0,,,,,,2.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,2.0,5.0,,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,21.05263157894737,1.0,,,,,,,,,1.0,,,,,0.5,,,,0.37575000000000003,0.4249,1.0,9.85,0.29411764705882354,,,,,,,1.0,,,,,,,,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,1610612746,Vladimir Radmanovic,Vladimir Radmanovic,2209,LAC,745.0,12,4.0,26,25,6.0,7,2.0,51,,1.0,,1.0,,,1.0,3.0,19,,1.0,,,,1.0,2.0,1.0,3.0,1.0,,1.0,,,1.0,,1.0,,,,,,,6.0,,,,,,0.5,,0.5,,13.793103448275863,1.0,0.0625,,0.0625,,,,,0.2,,0.3333333333333333,,,,,1.0,,1.0,0.5749833333333334,0.5197,,,0.23076923076923078,1.0,2.0,1.0,0.6666666666666666,0.3333333333333333,24.45,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5197,,1.0,,,,1.0,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101137,1610612746,Daniel Ewing,Daniel Ewing,101137,LAC,299.0,5,-1.0,10,13,10.0,12,,23,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,14,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,10.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,10.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0.4933,0.4933,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
