EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Corner3FGA,PenaltyCorner3FGA,FG3A,OpponentPoints,PenaltyFG3A,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,PenaltyOffPossExcludingTakeFouls,FG3APct,Usage,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeAssists,ShootingFouls,Fouls,NonShootingFoulsDrawn,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,OffThreePtRebounds,OffRebounds,Blocked2s,BlockedAtRim,Blocks,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3Frequency,PenaltyArc3Frequency,BlockedShortMidRange,RecoveredBlocks,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceFtPoints,OffTwoPtRebounds,FTDefRebounds,DefFTReboundPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,LostBallSteals,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtAssists,Arc3Assists,OffAtRimReboundPct,on,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,Corner3Assists,ShortMidRangeAssists,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PtsPutbacks,HeaveAttempts,SelfOReb,Offensive Fouls,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,OffArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,Loose Ball Fouls,DefensiveGoaltends,OffensiveGoaltends,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Accuracy,Fg3aBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency
101182,1610612764,Donell Taylor,Donell Taylor,101182,WAS,192.0,3,-4,6,5,6,5,1,11,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6,1.0,14.285714285714285,1.0,1.0,1.0,0.561,0.561,22.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,1610612764,Antonio Daniels,Antonio Daniels,1498,WAS,834.0,14,8,25,26,21,21,3,51,,,,23,,1.0,1.0,1.0,2.0,,,21,,24.13793103448276,,,0.4,0.49438000000000004,0.492225,,0.84,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,4.0,14.0,1.0,1.0,2.0,4.0,4.0,2.0,10.0,4.0,6.0,2.0,2.0,2.0,4.0,5.0,1.0,3.0,10.0,1.0,0.4,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.25,0.4,1.0,1.0,0.5,0.6,1.0,1.0,0.3333333333333333,1.0,1.0,0.25,1.0,0.503,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.7142857142857143,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,537.0,9,3,18,16,18,15,2,34,,,,17,,1.0,1.0,,2.0,,,18,,10.0,,,,0.4524,0.4524,,1.0,,,,,,,,,1.0,1.0,2.0,4.0,,,,1.0,1.0,2.0,4.0,,2.0,,,,1.0,2.0,,,4.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,4.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,1610612764,Etan Thomas,Etan Thomas,2041,WAS,192.0,3,-4,6,5,6,5,1,11,,,,10,,,,,,,,6,,28.57142857142857,,,1.0,0.7074,0.7074,,1.0,1.0,2.0,,1.0,1.0,2.0,,,1.0,2.0,,2.0,,1.0,,1.0,2.0,,2.0,2.0,,,,1.0,,,,,2.0,,1.0,1.0,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,,1.0,0.5,0.5,1.0,,,,,1.0,,1.0,0.5,,,,,1.0,0.65,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2873,1610612764,Billy Thomas,Billy Thomas,2873,WAS,834.0,14,8,25,26,21,21,3,51,1.0,1.0,4.0,23,3.0,,,,,,,21,0.5714285714285714,31.03448275862069,0.14285714285714285,0.2,0.7142857142857143,0.5061214285714285,0.43827,24.75,0.84,,1.0,,,,,,2.0,,3.0,2.0,2.0,,,,,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,4.0,,,2.0,2.0,,,,,,,,,0.1111111111111111,,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.125,0.14285714285714285,,,,0.2857142857142857,,,,,,,,,,,,1.0,11.799999999999999,,,,3.0,3.0,2.0,,,,,,,,,,,,3.0,2.0,3.0,1.0,0.3333333333333333,1.0,0.42857142857142855,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,263.0,4,5,7,7,7,6,1,14,,,,5,,,,,,,,7,,25.0,,,,0.3944,0.3944,,1.0,,,,,,,,,,1.0,2.0,2.0,,,,,1.0,2.0,2.0,,,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,,,,,,,,,0.5,,0.5,0.25,0.25,,,,,,,,,,,,,,,,,,1.0,6.0,,1.0,,,,1.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,1610612764,Jared Jeffries,Jared Jeffries,2407,WAS,421.0,7,11,14,14,13,13,1,28,,,,7,,,,,,,,13,,6.666666666666667,,,,,,,0.9285714285714286,,,,,,,,,,,2.0,2.0,,,2.0,,,2.0,2.0,,,,1.0,2.0,1.0,2.0,,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,0.2,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,308.0,5,7,9,11,5,7,1,20,,,1.0,6,1.0,,,,,1.0,,5,0.5,18.181818181818183,,,1.0,0.596925,0.55155,24.8,0.5555555555555556,,1.0,,,,,,,,1.0,,3.0,,,,,,,3.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,,0.75,,1.5,0.75,,1.5,0.25,0.25,,0.5,,,,,,,,,,,,,,,,1.0,1.3,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,0.5,1.0,,,0.5,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,1610612764,Caron Butler,Caron Butler,2406,WAS,334.0,6,3,9,11,5,7,1,20,,,,8,,,,,,1.0,1.0,5,,18.181818181818183,,,0.5,0.67235,0.4338,,0.5555555555555556,1.0,1.0,,,,,,,1.0,2.0,,2.0,,,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,0.5,,,0.5,,,0.5,,,0.125,0.125,0.25,0.5,1.0,1.0,,,,,,,,,,,,,,,5.05,,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,1610612764,Michael Ruffin,Michael Ruffin,1913,WAS,255.0,4,3,6,9,3,5,1,15,,,,6,,,1.0,,3.0,,,3,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.25,,,,,,,,,,,,1.0,,,1.0,,,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
