EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,BadPassTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,Loose Ball Fouls,BlockedLongMidRange,3SecondViolations,ShortMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,BlockedCorner3,on,OffensiveGoaltends,HeaveMakes,HeaveAttempts
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,26715.0,445,50,780,777,171,120,95.0,1557,27.0,43.0,8.0,14.0,5.0,9.0,1.0,5.0,1.0,28.0,49.0,17.0,73.0,804,8.0,14.0,2.0,18.0,5.0,9.0,6.0,16.0,38.0,18.0,12.0,7.0,15.0,6.0,21.0,5.0,1.0,7.0,4.0,4.0,48.0,8.0,30.0,1.0,14.0,60.0,4.0,78.0,39.0,117.0,1.0,19.0,14.0,5.0,3.0,3.0,7.0,3.0,1.0,10.0,2.0,13.0,28.0,2.0,53.0,12.0,11.0,53.0,5.0,19.0,10.0,14.0,1.0,1.0,13.0,1.0,15.0,10.0,1.0,16.0,171,4.0,9.0,0.6785714285714286,0.8636363636363636,0.5714285714285714,0.5714285714285714,0.5555555555555556,0.5714285714285714,0.5714285714285714,0.5555555555555556,0.5,0.5,0.42105263157894735,0.14285714285714285,0.16279069767441862,9.336332958380202,0.3,0.23529411764705882,0.02631578947368421,0.2033898305084746,0.11152416356877323,0.22580645161290322,0.08791208791208792,0.20728291316526612,0.10555555555555556,0.07894736842105263,0.16304347826086957,0.0891089108910891,0.08,0.0975609756097561,0.18181818181818182,0.22727272727272727,0.2076923076923077,0.2631578947368421,0.16666666666666666,0.07692307692307693,0.6666666666666666,0.8775510204081632,0.627906976744186,0.75,0.6666666666666666,0.10204081632653061,0.2,0.2,1.0,0.02040816326530612,1.0,0.5714285714285714,0.25,1.0,0.5555555555555556,0.8775510204081632,0.5565265306122448,0.5849363636363636,0.5907666666666667,0.30158730158730157,0.30158730158730157,0.2465753424657534,0.2191780821917808,1.304081632653061,0.21923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,33686.0,561,37,984,974,234,203,127.0,1958,17.0,31.0,1.0,2.0,2.0,5.0,11.0,30.0,47.0,47.0,108.0,82.0,242.0,1037,6.0,9.0,9.0,36.0,9.0,18.0,42.0,81.0,26.0,68.0,2.0,8.0,67.0,27.0,94.0,20.0,7.0,25.0,15.0,27.0,215.0,,4.0,,7.0,35.0,1.0,43.0,4.0,47.0,1.0,15.0,7.0,8.0,20.0,6.0,12.0,10.0,,32.0,8.0,14.0,31.0,4.0,65.0,1.0,1.0,88.0,3.0,24.0,16.0,1.0,,,1.0,,1.0,,,81.0,234,6.0,16.0,0.2765957446808511,0.2826086956521739,0.4351851851851852,0.6666666666666666,0.5,0.45977011494252873,0.6136363636363636,0.527027027027027,0.5566037735849056,0.6666666666666666,0.6864406779661016,0.07407407407407407,0.22580645161290322,21.5929203539823,0.625,0.029411764705882353,,0.1,0.011764705882352941,0.08235294117647059,,0.09655172413793103,0.008492569002123142,0.02247191011235955,0.017094017094017096,,,,0.13333333333333333,0.09523809523809523,0.07534246575342465,0.09090909090909091,0.06666666666666667,0.010526315789473684,,0.1781609195402299,0.5483870967741935,0.7083333333333334,0.35294117647058826,0.1724137931034483,0.36666666666666664,0.36666666666666664,0.2727272727272727,0.27011494252873564,0.09090909090909091,0.5,,0.13513513513513514,0.4,0.5574712643678161,0.46992212643678155,0.5039027777777778,0.43921081081081087,0.12755102040816327,0.18604651162790697,0.1487603305785124,0.3347107438016529,10.934259259259262,0.23780487804878048,19.0,3.0,14.0,1.0,3.0,2.0,4.0,19.0,52.0,4.0,10.0,5.0,15.0,22.0,66.0,5.0,13.0,7.0,19.0,36.0,30.0,52.0,19.0,10.0,1.0,1.0,3.0,8.0,1.0,0.5454545454545454,0.3333333333333333,0.38461538461538464,0.3684210526315789,0.3333333333333333,0.3793103448275862,0.02127659574468085,0.40425531914893614,0.41304347826086957,0.21052631578947367,0.08045977011494253,0.21428571428571427,0.21428571428571427,0.3333333333333333,0.2988505747126437,0.36538461538461536,0.36538461538461536,0.5789473684210527,0.13636363636363635,0.3333333333333333,1.0,0.45454545454545453,0.4,1.0,0.10810810810810811,0.5,0.40540540540540543,0.3333333333333333,0.36538461538461536,0.014925373134328358,25.325757575757574,,,,,,,,,,True,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,31642.0,527,46,927,919,194,162,115.0,1846,42.0,73.0,8.0,14.0,7.0,10.0,18.0,52.0,64.0,90.0,189.0,62.0,272.0,974,13.0,26.0,2.0,28.0,14.0,28.0,35.0,69.0,114.0,66.0,10.0,26.0,31.0,8.0,39.0,5.0,3.0,18.0,6.0,7.0,86.0,7.0,8.0,,6.0,23.0,1.0,30.0,15.0,45.0,6.0,14.0,8.0,6.0,17.0,4.0,13.0,8.0,5.0,30.0,3.0,15.0,44.0,2.0,56.0,2.0,4.0,75.0,6.0,22.0,17.0,5.0,,,4.0,,5.0,3.0,,69.0,194,5.0,16.0,0.6333333333333333,0.6705882352941176,0.47619047619047616,0.5,0.5,0.4838709677419355,0.4642857142857143,0.4857142857142857,0.54,0.4827586206896552,0.6272727272727273,0.13756613756613756,0.2191780821917808,26.490066225165563,0.5666666666666667,0.034482758620689655,,0.06804733727810651,0.025157232704402517,0.07142857142857142,0.06140350877192982,0.06872037914691943,0.034722222222222224,0.022222222222222223,0.02857142857142857,0.024390243902439025,0.058823529411764705,0.06521739130434782,0.06086956521739131,0.04878048780487805,0.0851063829787234,0.08928571428571429,0.03571428571428571,0.06666666666666667,0.6,0.33640552995391704,0.5753424657534246,0.7368421052631579,0.5476190476190477,0.23963133640552994,0.34615384615384615,0.4,0.5555555555555556,0.29493087557603687,0.5,0.5714285714285714,0.125,0.2857142857142857,0.7,0.46543778801843316,0.4912064516129032,0.49399750000000003,0.47694285714285706,0.0944206008583691,0.1073170731707317,0.10294117647058823,0.2536764705882353,8.776719576719575,0.209277238403452,30.0,7.0,20.0,,,1.0,6.0,3.0,8.0,,2.0,1.0,1.0,10.0,28.0,,2.0,2.0,7.0,30.0,,8.0,3.0,9.0,1.0,,4.0,3.0,,1.0,0.35714285714285715,,0.2857142857142857,0.35714285714285715,0.12903225806451613,0.046875,0.46875,0.4918032786885246,0.8,0.09216589861751152,0.35,0.35,1.0,0.03686635944700461,0.375,0.375,1.0,,,,0.07142857142857142,,,0.17142857142857143,0.16666666666666666,0.02857142857142857,1.0,0.375,,24.178571428571434,1.0,1.0,1.0,0.1346153846153846,,,,,,True,,,
2230,1610612765,Maurice Evans,Maurice Evans,2230,DET,2918.0,49,-6,84,85,19,17,7.0,169,2.0,3.0,,1.0,,,1.0,1.0,2.0,3.0,6.0,5.0,20.0,95,,2.0,,,,,4.0,10.0,6.0,,,1.0,1.0,1.0,2.0,1.0,,,,1.0,5.0,,2.0,,,1.0,2.0,3.0,2.0,5.0,,1.0,1.0,,1.0,,1.0,,,2.0,,4.0,8.0,1.0,5.0,,1.0,6.0,,2.0,1.0,,,,,,,,,10.0,19,2.0,1.0,1.0,1.0,0.5,,,0.6818181818181818,,1.0,0.7142857142857143,,1.0,0.16666666666666666,0.3333333333333333,17.391304347826086,0.5,0.4,,0.034482758620689655,0.08333333333333333,,,0.02702702702702703,0.05555555555555555,,,0.125,,,,,0.09090909090909091,,,,,0.2727272727272727,0.6666666666666666,1.0,1.0,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,0.5,,,,,0.7272727272727273,0.533859090909091,0.43245,0.57875,0.15384615384615385,0.25,,0.5,7.066666666666667,0.2261904761904762,,3.0,4.0,,,2.0,3.0,,1.0,,,,,3.0,5.0,,,2.0,3.0,9.0,,1.0,,1.0,,,,,,1.0,0.6,,0.6666666666666666,0.6,0.45454545454545453,,,,,0.36363636363636365,0.75,0.75,1.0,0.09090909090909091,,,,,,,,,,1.0,0.6666666666666666,,,,,23.380000000000003,,,,,1.0,0.2,1.0,,,True,,,
739,1610612765,Rasheed Wallace,Rasheed Wallace,739,DET,37689.0,628,38,1100,1093,258,216,145.0,2193,16.0,29.0,4.0,9.0,3.0,5.0,30.0,64.0,51.0,64.0,144.0,29.0,253.0,1162,4.0,15.0,,23.0,15.0,28.0,12.0,66.0,68.0,60.0,6.0,3.0,26.0,6.0,32.0,6.0,,13.0,6.0,7.0,70.0,4.0,9.0,4.0,16.0,71.0,10.0,97.0,17.0,114.0,4.0,10.0,5.0,5.0,14.0,4.0,11.0,6.0,1.0,25.0,3.0,37.0,65.0,4.0,47.0,3.0,1.0,55.0,3.0,23.0,6.0,15.0,,,10.0,3.0,15.0,9.0,,66.0,258,6.0,6.0,0.53125,0.5573770491803278,0.4444444444444444,0.26666666666666666,0.5357142857142857,0.5022421524663677,0.42592592592592593,0.5294117647058824,0.5080321285140562,0.4107142857142857,0.532258064516129,0.020833333333333332,0.06896551724137931,21.6600790513834,0.56,0.23809523809523808,0.08163265306122448,0.1834625322997416,0.023622047244094488,0.16161616161616163,0.027972027972027972,0.17901234567901234,0.02480916030534351,0.03773584905660377,0.032520325203252036,0.006578947368421052,0.011904761904761904,0.05084745762711865,0.12121212121212122,0.22105263157894736,0.2125,0.15625,0.17142857142857143,0.03333333333333333,0.6,0.13004484304932734,0.5517241379310345,0.5925925925925926,0.5625,0.28699551569506726,0.46875,0.47619047619047616,0.4666666666666667,0.22869955156950672,0.3333333333333333,0.4444444444444444,,0.09803921568627451,0.6,0.484304932735426,0.44032511210762343,0.4867454545454546,0.42707156862745094,0.09465020576131687,0.1402439024390244,0.09090909090909091,0.2608695652173913,10.67361111111111,0.23454545454545456,18.0,4.0,20.0,,,,6.0,28.0,59.0,5.0,12.0,8.0,17.0,32.0,79.0,5.0,12.0,8.0,23.0,96.0,,59.0,28.0,8.0,1.0,1.0,,,,1.0,0.4050632911392405,0.4166666666666667,0.34782608695652173,0.4050632911392405,0.3542600896860987,,0.35294117647058826,0.35294117647058826,0.6111111111111112,0.08968609865470852,0.2,0.2,1.0,0.2645739910313901,0.4745762711864407,0.4745762711864407,1.0,,,,0.4444444444444444,0.4166666666666667,1.0,0.11764705882352941,,0.3333333333333333,0.47058823529411764,0.4745762711864407,,25.136708860759494,5.0,2.0,,0.015625,,,,1.0,,True,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,33736.0,562,46,991,978,232,192,137.0,1969,36.0,59.0,12.0,18.0,9.0,15.0,19.0,45.0,42.0,68.0,146.0,51.0,229.0,1029,13.0,23.0,6.0,50.0,15.0,28.0,11.0,53.0,54.0,82.0,16.0,7.0,26.0,14.0,40.0,8.0,6.0,14.0,3.0,9.0,94.0,10.0,25.0,1.0,14.0,26.0,7.0,47.0,36.0,83.0,8.0,10.0,8.0,2.0,13.0,5.0,9.0,8.0,1.0,22.0,3.0,10.0,18.0,2.0,47.0,4.0,2.0,60.0,7.0,31.0,2.0,6.0,3.0,,4.0,1.0,9.0,5.0,1.0,53.0,232,1.0,2.0,0.39705882352941174,0.45,0.4657534246575342,0.5652173913043478,0.5357142857142857,0.4972067039106145,0.7333333333333333,0.5675675675675675,0.5560975609756098,0.7575757575757576,0.6309523809523809,0.04794520547945205,0.06779661016949153,19.790758500435917,0.5909090909090909,0.1891891891891892,0.022727272727272728,0.07428571428571429,0.0708215297450425,0.16091954022988506,0.078125,0.09153318077803203,0.07276507276507277,0.07920792079207921,0.09401709401709402,0.044444444444444446,0.0958904109589041,0.05454545454545454,0.08264462809917356,0.03614457831325301,0.08904109589041095,0.14285714285714285,0.1935483870967742,0.09090909090909091,0.5555555555555556,0.329608938547486,0.6101694915254238,0.6545454545454545,0.4722222222222222,0.25139664804469275,0.4222222222222222,0.4523809523809524,0.21052631578947367,0.2346368715083799,0.6,0.6666666666666666,0.08333333333333333,0.40540540540540543,0.6,0.5139664804469274,0.47739050279329615,0.52974375,0.5082648648648649,0.15270935960591134,0.18235294117647058,0.2183406113537118,0.2314410480349345,7.908219178082192,0.2341069626639758,13.0,8.0,24.0,3.0,4.0,3.0,7.0,6.0,9.0,3.0,3.0,1.0,2.0,14.0,33.0,6.0,7.0,4.0,9.0,36.0,6.0,9.0,6.0,5.0,1.0,,1.0,1.0,,0.8571428571428571,0.42424242424242425,0.8571428571428571,0.4444444444444444,0.42424242424242425,0.18435754189944134,,0.30952380952380953,0.30952380952380953,0.46153846153846156,0.1340782122905028,0.3333333333333333,0.3333333333333333,0.875,0.05027932960893855,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.13333333333333333,0.75,1.0,0.1,1.0,0.6666666666666666,0.1891891891891892,0.42857142857142855,0.05405405405405406,0.5,0.6666666666666666,,24.024242424242427,1.0,1.0,,0.06666666666666667,,,,,3.0,True,,,
2568,1610612765,Carlos Delfino,Carlos Delfino,2568,DET,413.0,7,-2,11,12,9,5,,23,,,,,,,,,1.0,,1.0,,,15,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.4186,,0.4186,,,,,20.5,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
283,1610612765,Lindsey Hunter,Lindsey Hunter,283,DET,6390.0,106,-4,181,187,50,38,31.0,368,3.0,6.0,,,1.0,2.0,1.0,2.0,11.0,8.0,19.0,2.0,27.0,196,2.0,4.0,,4.0,2.0,4.0,2.0,12.0,2.0,14.0,,1.0,11.0,5.0,16.0,3.0,2.0,5.0,1.0,5.0,37.0,2.0,2.0,,,6.0,,6.0,4.0,10.0,1.0,9.0,1.0,8.0,4.0,,2.0,1.0,1.0,6.0,1.0,5.0,21.0,1.0,9.0,1.0,2.0,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,,12.0,50,3.0,1.0,0.125,0.125,0.42105263157894735,0.5,0.5,0.3472222222222222,0.4,0.4166666666666667,0.36486486486486486,0.4,0.46153846153846156,0.05263157894736842,,20.0,0.6666666666666666,,,0.125,0.03076923076923077,,0.08,0.0821917808219178,0.044444444444444446,0.045454545454545456,,0.034482758620689655,0.05263157894736842,0.16666666666666666,0.06666666666666667,,0.2631578947368421,,,0.041666666666666664,1.0,0.16666666666666666,0.5,0.5,,0.05555555555555555,0.5,0.5,,0.3055555555555556,,,,0.16666666666666666,0.5,0.6388888888888888,0.46993472222222216,0.36616,0.4539958333333334,,,0.14814814814814814,0.4444444444444444,11.65263157894737,0.27624309392265195,4.0,,3.0,,,,1.0,3.0,14.0,,1.0,2.0,7.0,3.0,17.0,,1.0,2.0,8.0,9.0,,14.0,3.0,3.0,,,,,,1.0,0.17647058823529413,,0.25,0.17647058823529413,0.4722222222222222,0.09090909090909091,0.36363636363636365,0.4,0.25,0.08333333333333333,,,,0.3888888888888889,0.21428571428571427,0.21428571428571427,1.0,,,,0.2,,,0.08333333333333333,,0.5833333333333334,0.2857142857142857,0.21428571428571427,,25.22941176470588,,,,,,,,,,True,,,
960,1610612765,Tony Delk,Tony Delk,960,DET,4784.0,80,1,139,142,45,49,21.0,281,3.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,11.0,9.0,21.0,3.0,24.0,157,3.0,4.0,,6.0,3.0,8.0,3.0,9.0,12.0,6.0,2.0,1.0,,2.0,2.0,2.0,,,,,6.0,,4.0,,1.0,6.0,,7.0,4.0,11.0,,4.0,1.0,3.0,1.0,,1.0,,,2.0,,3.0,9.0,1.0,6.0,,,4.0,,,2.0,,,,,,,,,9.0,45,1.0,2.0,0.6666666666666666,0.75,0.42857142857142855,0.75,0.375,0.40384615384615385,0.6,0.3,0.42857142857142855,0.6,0.375,0.047619047619047616,,18.181818181818183,0.5,,,0.13636363636363635,0.0851063829787234,0.08333333333333333,,0.125,0.058823529411764705,0.17647058823529413,0.08333333333333333,,,,0.06666666666666667,0.2727272727272727,0.1111111111111111,0.125,,,,0.19230769230769232,0.6,0.6,0.3333333333333333,0.19230769230769232,0.2,0.25,1.0,0.4230769230769231,0.2,1.0,,0.1,1.0,0.38461538461538464,0.44447884615384614,0.47931250000000003,0.4094749999999999,,,0.25,0.375,12.319047619047618,0.3237410071942446,5.0,,2.0,,,,,1.0,3.0,,1.0,,2.0,1.0,5.0,,1.0,,2.0,3.0,,3.0,1.0,1.0,,,,,,1.0,0.2,,,0.2,0.19230769230769232,,0.45454545454545453,0.45454545454545453,0.8,0.07692307692307693,,,,0.11538461538461539,0.3333333333333333,0.3333333333333333,1.0,,,,0.2,,,,,0.2,,0.3333333333333333,,24.919999999999998,,,,0.2,,,,,,True,,,
686,1610612765,Antonio McDyess,Antonio McDyess,686,DET,10145.0,169,-12,294,288,73,74,47.0,582,15.0,19.0,7.0,7.0,2.0,2.0,1.0,3.0,27.0,26.0,49.0,8.0,60.0,326,8.0,8.0,1.0,17.0,4.0,5.0,4.0,12.0,40.0,12.0,12.0,2.0,3.0,4.0,7.0,1.0,3.0,3.0,,,18.0,5.0,15.0,,5.0,17.0,11.0,33.0,20.0,53.0,,7.0,7.0,,2.0,3.0,5.0,2.0,2.0,7.0,,20.0,30.0,,18.0,2.0,2.0,16.0,,4.0,4.0,6.0,,,4.0,2.0,6.0,4.0,,12.0,73,3.0,3.0,0.7692307692307693,1.0,0.5306122448979592,1.0,0.8,0.5306122448979592,1.0,0.8,0.5263157894736842,0.9444444444444444,0.6666666666666666,0.04081632653061224,0.10526315789473684,18.55072463768116,0.2857142857142857,0.5,,0.19540229885057472,0.14018691588785046,0.15625,0.11627906976744186,0.18487394957983194,0.13333333333333333,0.19230769230769232,0.16666666666666666,0.09803921568627451,0.10344827586206896,0.14285714285714285,0.25,0.23076923076923078,0.10344827586206896,0.19047619047619047,0.09090909090909091,,0.6666666666666666,0.3877551020408163,0.7894736842105263,0.8823529411764706,0.6,0.061224489795918366,0.3333333333333333,0.3333333333333333,1.0,0.5510204081632653,0.875,1.0,0.14285714285714285,0.4,1.0,0.3877551020408163,0.45311836734693883,0.5747571428571429,0.50622,0.07547169811320754,0.07547169811320754,0.2833333333333333,0.2,10.075510204081633,0.24829931972789115,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.37037037037037035,0.37037037037037035,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,True,,,
