EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG2M,PenaltyFG3A,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,BadPassTurnovers,Travels,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,FG3APct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,Avg3ptShotDistance,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg3aBlocked,ShortMidRangeAssists,DefThreePtRebounds,SelfOReb,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGA,ThreePtAssists,Arc3Assists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,BlockedShortMidRange,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG3A,PtsPutbacks,BadPassOutOfBoundsTurnovers,OffensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,Corner3Assists,DefCorner3ReboundPct,StepOutOfBoundsTurnovers,on,LostBallSteals,PtsUnassisted3s,Blocked3s,BlockedArc3,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,1269.0,21,-14.0,36,36,10,12,9.0,72,1.0,4.0,2.0,1.0,5.0,2.0,9.0,5.0,9.0,41,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,2,2,1.0,3,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,6.0,2.0,1.0,4.0,10,1.0,0.5,0.5,0.2222222222222222,0.2222222222222222,0.375,0.3333333333333333,0.4,0.1111111111111111,0.25,34.09090909090909,0.3333333333333333,0.13333333333333333,0.047619047619047616,0.11764705882352941,0.04,0.14285714285714285,0.2,0.2,0.4444444444444444,0.25,0.3333333333333333,1.0,0.5555555555555556,0.2,0.2,0.6666666666666666,0.4444444444444444,0.4650666666666667,0.3558,0.4739,0.18181818181818182,0.18181818181818182,0.2222222222222222,0.4444444444444444,3.5888888888888886,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1088,1610612763,Chucky Atkins,Chucky Atkins,1088,MEM,2648.0,44,-27.0,79,83,34,24,9.0,162,3.0,6.0,4.0,1.0,1.0,6.0,11.0,2.0,14.0,107,,,,6.0,2.0,10.0,2.0,10.0,1.0,,1,1,,1,1.0,1.0,,,2.0,,2.0,2.0,8.0,,3.0,,2.0,,1.0,10.0,34,1.0,0.16666666666666666,0.16666666666666666,0.5454545454545454,0.4,0.4375,,0.5555555555555556,0.09090909090909091,0.16666666666666666,20.0,0.5,0.02857142857142857,,0.02564102564102564,,,,,0.4,0.5,0.6,0.3333333333333333,0.06666666666666667,1.0,1.0,0.5,0.6666666666666666,0.52279,,0.560875,,,,0.7142857142857143,7.090909090909091,0.43037974683544306,3.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.5,0.26666666666666666,0.058823529411764705,0.26666666666666666,0.5,0.5,0.26666666666666666,0.75,0.25,24.674999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,6438.0,107,-66.0,187,193,84,80,24.0,380,7.0,8.0,6.0,1.0,3.0,11.0,22.0,9.0,34.0,231,,1.0,1.0,13.0,3.0,22.0,12.0,10.0,1.0,1.0,10,14,1.0,15,5.0,3.0,1.0,1.0,8.0,,4.0,8.0,11.0,2.0,9.0,1.0,9.0,4.0,1.0,22.0,84,1.0,0.5454545454545454,0.5454545454545454,0.5,0.4166666666666667,0.5,,0.6470588235294118,0.045454545454545456,,19.248826291079812,0.625,0.13333333333333333,0.015151515151515152,0.15384615384615385,0.011494252873563218,,0.1111111111111111,0.11538461538461539,0.26666666666666666,0.875,0.875,0.5714285714285714,0.1,0.3333333333333333,0.5,0.375,0.5333333333333333,0.4863200000000001,,0.495034375,0.125,0.16666666666666666,0.029411764705882353,0.6470588235294118,11.700000000000001,0.44919786096256686,6.0,3.0,11.0,8.0,3.0,8.0,8.0,3.0,8.0,7.0,7.0,4.0,2.0,14.0,2.0,2.0,4.0,,1.0,,0.6153846153846154,0.59375,0.26666666666666666,0.16129032258064516,0.36666666666666664,0.2727272727272727,0.2727272727272727,0.26666666666666666,1.0,0.1875,24.9,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.125,0.3333333333333333,0.125,0.125,0.3333333333333333,0.125,0.25,0.043478260869565216,0.3076923076923077,0.0625,0.5,0.6666666666666666,0.125,0.14285714285714285,1.0,0.3333333333333333,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,4732.0,79,-40.0,138,140,62,58,17.0,278,5.0,10.0,4.0,4.0,12.0,12.0,28.0,15.0,39.0,165,2.0,2.0,2.0,10.0,7.0,15.0,6.0,18.0,1.0,1.0,10,13,3.0,16,2.0,2.0,,1.0,4.0,,2.0,2.0,6.0,1.0,17.0,1.0,22.0,8.0,4.0,15.0,62,3.0,0.25,0.25,0.42857142857142855,0.42857142857142855,0.5,0.25,0.5,0.03571428571428571,0.1,27.388535031847134,0.5,0.1694915254237288,0.02127659574468085,0.15714285714285714,0.031746031746031744,,0.07692307692307693,0.25,0.35714285714285715,0.5,0.5555555555555556,0.2,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.4,0.35714285714285715,0.4462642857142858,0.4412,0.4592599999999999,0.22857142857142856,0.22857142857142856,0.05128205128205128,0.38461538461538464,6.267857142857143,0.4492753623188406,1.0,3.0,6.0,,,,4.0,,,4.0,5.0,3.0,,11.0,,,1.0,1.0,1.0,1.0,0.4,0.4,,0.15384615384615385,0.21428571428571427,0.5,0.5,,0.25,,,,,,,,,,1.0,1.0,,1.0,1.0,,2.0,1.0,2.0,2.0,,,,,,,,0.09090909090909091,0.0625,0.125,,1.0,0.6666666666666666,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.1,0.0625,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,3411.0,57,-14.0,102,104,38,37,14.0,206,1.0,2.0,,2.0,2.0,3.0,7.0,1.0,7.0,108,2.0,,2.0,,,,2.0,4.0,1.0,3.0,9,10,5.0,15,1.0,5.0,1.0,,6.0,1.0,3.0,2.0,9.0,2.0,7.0,,3.0,2.0,,,38,,0.3333333333333333,0.5,0.42857142857142855,0.3,0.3181818181818182,0.3333333333333333,,0.14285714285714285,0.5,14.529914529914532,0.16666666666666666,0.1956521739130435,0.09375,0.16363636363636364,0.11627906976744186,,0.2857142857142857,0.1111111111111111,0.2,0.5,1.0,,0.2,1.0,1.0,,0.5,0.456155,0.486525,0.43635,0.18181818181818182,0.25,0.2857142857142857,,10.071428571428571,0.37254901960784315,,,3.0,,,3.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,2.0,,,0.3,0.23809523809523808,0.3,,,,,,23.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,0.08333333333333333,,,1.0,,,,,,,2.0,,,2.0,,1.0,1.0,0.3333333333333333,,0.18181818181818182,,0.6666666666666666,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.2,0.2222222222222222,0.5,0.3,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,
1517,1610612763,Bobby Jackson,Bobby Jackson,1517,MEM,4073.0,68,-40.0,116,120,57,64,15.0,236,2.0,5.0,4.0,,2.0,3.0,12.0,4.0,16.0,135,,,3.0,7.0,2.0,7.0,4.0,2.0,2.0,,2,2,,2,2.0,5.0,,1.0,7.0,1.0,3.0,1.0,5.0,2.0,5.0,,6.0,3.0,,7.0,57,,0.6666666666666666,0.6666666666666666,0.25,0.3157894736842105,0.36363636363636365,0.75,0.2692307692307692,0.16666666666666666,0.2,21.804511278195488,0.2857142857142857,0.044444444444444446,,0.034482758620689655,,,,0.05,0.2631578947368421,0.4,0.5,0.5,0.10526315789473684,,,0.3333333333333333,0.631578947368421,0.47247105263157896,0.4761,0.4899541666666667,0.13636363636363635,0.2,0.1875,0.4375,9.708333333333332,0.49137931034482757,1.0,1.0,5.0,4.0,3.0,7.0,1.0,5.0,4.0,2.0,2.0,1.0,1.0,4.0,,,1.0,3.0,1.0,,0.14285714285714285,0.20833333333333334,0.3684210526315789,0.06666666666666667,0.2631578947368421,0.2,0.2,0.21052631578947367,0.25,0.25,24.471428571428568,,,2.0,1.0,6.0,,,,,,,,,,,,,1.0,0.2857142857142857,0.2,0.2857142857142857,,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,1.0,2.0,,2.0,,,,,0.75,,,,0.15789473684210525,,0.5,0.16666666666666666,2.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,,,,,True,,,,,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,1328.0,22,-31.0,37,42,15,17,2.0,79,2.0,3.0,1.0,,,2.0,3.0,2.0,6.0,59,,,,1.0,,2.0,2.0,2.0,1.0,,2,2,1.0,3,,1.0,,,1.0,,,,4.0,1.0,3.0,1.0,2.0,1.0,,2.0,15,,0.5,0.5,0.6666666666666666,0.6666666666666666,0.75,,1.0,0.3333333333333333,0.3333333333333333,12.5,,0.15384615384615385,,0.125,0.058823529411764705,,,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,,,,1.0,1.0,0.5576666666666666,,0.5528,0.25,0.25,,0.3333333333333333,,0.40540540540540543,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,3114.0,52,-20.0,88,89,42,30,14.0,177,7.0,11.0,4.0,1.0,2.0,8.0,14.0,3.0,19.0,98,7.0,1.0,13.0,4.0,2.0,6.0,4.0,12.0,2.0,8.0,4,5,9.0,14,1.0,3.0,1.0,,4.0,,2.0,3.0,7.0,2.0,6.0,1.0,6.0,3.0,,6.0,42,,0.25,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5588235294117647,0.8125,0.5,0.14285714285714285,0.18181818181818182,20.588235294117645,0.25,0.10810810810810811,0.22857142857142856,0.1111111111111111,0.20930232558139536,0.4,0.2,,0.7857142857142857,0.6363636363636364,0.7777777777777778,0.2857142857142857,0.14285714285714285,0.5,0.5,1.0,0.7857142857142857,0.5216714285714285,0.5599000000000001,0.5698,0.17647058823529413,0.17647058823529413,0.6842105263157895,0.3157894736842105,2.2214285714285715,0.4772727272727273,2.0,,1.0,,,,2.0,,,1.0,1.0,1.0,,2.0,,,1.0,,2.0,1.0,0.5,0.5,,0.13333333333333333,0.07142857142857142,,,,0.5,,,,,,,,,,,1.0,,,,,3.0,3.0,3.0,2.0,,,,,,,,0.125,,0.125,,0.6666666666666666,,,,,,,7.0,,,1.0,,,,,,0.125,0.3333333333333333,1.0,6.0,,,,6.0,,10.0,,,0.8571428571428571,0.8571428571428571,0.36363636363636365,,,,0.8571428571428571,,,,,,,,,,,,,,,,0.16666666666666666,,,,True,,,,,,,
224,1610612763,Eddie Jones,Eddie Jones,224,MEM,3060.0,51,-19.0,91,93,54,58,11.0,184,2.0,4.0,,1.0,3.0,4.0,9.0,3.0,11.0,104,,,,5.0,3.0,7.0,6.0,2.0,1.0,,3,4,,4,1.0,,,,1.0,,,,4.0,,5.0,,6.0,2.0,1.0,7.0,54,1.0,0.75,0.75,0.4444444444444444,0.36363636363636365,0.39285714285714285,,0.4375,0.1111111111111111,,14.705882352941176,1.0,0.08823529411764706,,0.09090909090909091,,,0.09090909090909091,0.125,0.36363636363636365,0.5,0.5,0.5,0.2727272727272727,0.3333333333333333,0.5,,0.5454545454545454,0.4791272727272728,,0.412825,0.15384615384615385,0.18181818181818182,,0.6363636363636364,7.277777777777776,0.5934065934065934,,1.0,2.0,,,2.0,2.0,1.0,,1.0,3.0,1.0,,8.0,2.0,2.0,1.0,,2.0,1.0,0.4,0.3333333333333333,0.18181818181818182,0.06666666666666667,0.18181818181818182,0.5,0.5,,,,23.75,,,,,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,,0.1,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,0.18181818181818182,,,0.16666666666666666,,,,,,,,,,,,,,,1.0,0.3333333333333333,,True,,,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,1394.0,23,-43.0,40,43,17,17,4.0,83,2.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,7.0,73,2.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,,3.0,2,2,3.0,5,1.0,2.0,,,3.0,1.0,1.0,4.0,6.0,,1.0,,2.0,1.0,,1.0,17,,0.3333333333333333,0.5,0.6,0.6,0.5833333333333334,0.5,0.25,,,20.0,0.3333333333333333,0.16666666666666666,0.25,0.14285714285714285,0.15789473684210525,0.5,0.5,0.2,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2,1.0,1.0,1.0,0.6,0.47300000000000003,0.58875,0.6136,0.16666666666666666,0.16666666666666666,0.42857142857142855,0.14285714285714285,4.8,0.425,,,1.0,,,,,,,,1.0,,,3.0,,,1.0,,,2.0,,,,,0.2,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,2.0,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,2.0,,,0.5,0.5,0.5,,,,0.5,,,,,,,,,,,,,,,,,1.0,,1.0,True,,,,,,,
