EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedAtRim,3SecondViolations,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,FTOffRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceFg3Pct,PenaltyFg3Pct,Arc3PctBlocked,OffFTReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,OffensiveGoaltends,DefensiveGoaltends,on,HeaveAttempts,BlockedLongMidRange
1496,1610612742,Keith Van Horn,Keith Van Horn,1496,DAL,3831.0,64,-22.0,123,123,46,66,19,246,5.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,7.0,3.0,6.0,12,2.0,11.0,2.0,20.0,143,1.0,3.0,2.0,2.0,4,4.0,2.0,6.0,6.0,6.0,6.0,7.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,9.0,1.0,10,4.0,7,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,46,3.0,1.0,0.5,0.5,1.0,0.18181818181818182,0.18181818181818182,0.5,0.3333333333333333,0.5,0.391304347826087,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.4782608695652174,0.09090909090909091,0.16666666666666666,0.6666666666666666,0.25,16.901408450704228,0.16666666666666666,0.1,0.018867924528301886,0.35714285714285715,0.18181818181818182,0.013888888888888888,0.045454545454545456,0.2222222222222222,0.1,0.3333333333333333,0.5,1.0,0.30434782608695654,0.7142857142857143,0.7142857142857143,0.6,0.13043478260869565,0.08695652173913043,0.5,0.5,0.17391304347826086,0.25,0.3333333333333333,1.0,0.30434782608695654,0.14285714285714285,0.14285714285714285,1.0,0.3333333333333333,1.0,0.125,1.0,0.125,0.375,0.782608695652174,0.14285714285714285,0.5285978260869564,0.5042,0.50175,0.1,0.3,5.625,24.318181818181817,0.37398373983739835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1559,1610612742,Adrian Griffin,Adrian Griffin,1559,DAL,20954.0,349,27.0,648,657,191,261,84,1305,16.0,29.0,2.0,6.0,3.0,5.0,18.0,8.0,12.0,,,,,,,32.0,59,,,7.0,71.0,681,4.0,10.0,8.0,10.0,14,,5.0,25.0,32.0,32.0,,,,5.0,,20.0,12.0,28.0,3.0,43.0,28.0,71,21.0,42,12.0,8.0,1.0,2.0,1.0,2.0,1.0,25.0,191,6.0,1.0,0.5,0.5333333333333333,,,,0.5423728813559322,0.4,0.7142857142857143,0.5423728813559322,0.4,0.7142857142857143,0.5725806451612904,0.4,0.78125,,,0.0847457627118644,0.05555555555555555,,9.720372836218376,0.08571428571428572,0.14358974358974358,0.08583690987124463,0.17142857142857143,0.1509433962264151,0.09180327868852459,0.10526315789473684,0.11475409836065574,0.17391304347826086,0.17857142857142858,0.14285714285714285,0.5,0.4915254237288136,0.5517241379310345,0.64,0.5,0.3050847457627119,0.2033898305084746,0.6666666666666666,0.6666666666666666,,,,,,,,,0.6,0.3333333333333333,0.35714285714285715,0.6,,,0.4915254237288136,,0.47253220338983043,0.4318222222222222,0.4457857142857144,0.11267605633802817,0.352112676056338,6.150847457627118,,0.29475308641975306,8.0,4.0,17.0,7.0,24.0,4.0,3.0,4.0,3.0,10.0,55.0,8.0,2.0,15.0,7.0,8.0,4.0,2.0,3.0,7.0,1.0,1.0,11.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,0.13793103448275862,0.36363636363636365,0.1111111111111111,0.07575757575757576,0.06944444444444445,0.12962962962962962,0.05555555555555555,0.13846153846153847,0.09090909090909091,0.4444444444444444,0.47058823529411764,0.375,0.625,0.06557377049180328,0.06557377049180328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,17196.0,287,37.0,530,536,144,179,69,1066,13.0,20.0,5.0,7.0,3.0,4.0,29.0,24.0,58.0,,1.0,,10.0,29.0,6.0,45.0,107,10.0,30.0,69.0,189.0,555,11.0,21.0,33.0,9.0,23,6.0,29.0,53.0,34.0,56.0,24.0,29.0,10.0,5.0,1.0,8.0,7.0,42.0,11.0,60.0,13.0,73,10.0,17,61.0,80.0,12.0,4.0,2.0,4.0,4.0,53.0,144,2.0,11.0,0.37777777777777777,0.4146341463414634,0.8,0.3333333333333333,0.3333333333333333,0.4205607476635514,0.5238095238095238,0.391304347826087,0.43795620437956206,0.5833333333333334,0.41379310344827586,0.5465116279069767,0.6111111111111112,0.5888888888888889,0.21897810218978103,0.03333333333333333,0.04672897196261682,0.06896551724137931,,29.756097560975608,0.5,0.2608695652173913,0.04145077720207254,0.11475409836065574,0.22072072072072071,0.043824701195219126,0.025974025974025976,0.3333333333333333,0.22950819672131148,0.12244897959183673,0.08333333333333333,1.0,0.145985401459854,0.65,0.7647058823529411,0.07692307692307693,0.2116788321167883,0.4233576642335766,0.41379310344827586,0.41379310344827586,0.0072992700729927005,,,,0.2116788321167883,0.3448275862068966,0.35714285714285715,0.8,0.2916666666666667,0.7142857142857143,0.13793103448275862,0.75,,0.20689655172413793,0.36496350364963503,0.3448275862068966,0.439343795620438,0.46065250000000013,0.4190431034482759,0.1746031746031746,0.2804232804232804,12.357009345794394,25.78666666666667,0.27169811320754716,8.0,8.0,13.0,8.0,21.0,4.0,4.0,5.0,3.0,5.0,50.0,3.0,2.0,9.0,5.0,4.0,8.0,,4.0,3.0,4.0,1.0,11.0,,3.0,1.0,1.0,3.0,6.0,29.0,2.0,,0.15,0.7272727272727273,0.05172413793103448,0.08928571428571429,0.016666666666666666,0.04878048780487805,0.058823529411764705,0.22448979591836735,0.02702702702702703,0.27586206896551724,0.2962962962962963,0.5,0.5,0.18125,0.2230769230769231,2.0,3.0,2.0,2.0,3.0,5.0,2.0,6.0,2.0,1.0,5.0,4.0,1.0,0.6666666666666666,0.3333333333333333,0.034482758620689655,0.125,0.125,0.6666666666666666,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,True,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,14725.0,245,29.0,444,450,93,118,61,894,12.0,20.0,,1.0,2.0,4.0,22.0,13.0,33.0,2.0,8.0,4.0,7.0,23.0,5.0,37.0,75,9.0,31.0,21.0,122.0,476,2.0,6.0,11.0,6.0,15,9.0,4.0,25.0,32.0,42.0,27.0,23.0,7.0,2.0,1.0,2.0,6.0,6.0,,12.0,4.0,16,2.0,16,23.0,26.0,2.0,,,,,25.0,93,3.0,2.0,0.43243243243243246,0.43243243243243246,1.0,0.2903225806451613,0.2903225806451613,0.49333333333333335,0.3333333333333333,0.4,0.47641509433962265,0.4375,0.4375,0.5169491525423728,0.55,0.46296296296296297,0.29245283018867924,0.03225806451612903,0.02666666666666667,0.045454545454545456,0.125,25.0965250965251,,0.043478260869565216,0.013157894736842105,0.125,0.06451612903225806,0.01932367149758454,0.015625,0.047619047619047616,0.07547169811320754,0.12195121951219512,0.14285714285714285,,0.18867924528301888,0.6,0.631578947368421,0.16666666666666666,0.20754716981132076,0.3113207547169811,0.3939393939393939,0.3939393939393939,0.07547169811320754,0.25,0.2857142857142857,1.0,0.2169811320754717,0.30434782608695654,0.30434782608695654,1.0,0.125,,0.16666666666666666,0.5,0.16666666666666666,0.20833333333333334,0.4811320754716981,0.30434782608695654,0.48312169811320765,0.44658333333333333,0.5016145833333333,0.09016393442622951,0.20491803278688525,10.84,24.61290322580645,0.20945945945945946,12.0,,22.0,10.0,32.0,7.0,3.0,9.0,1.0,12.0,74.0,2.0,2.0,6.0,3.0,3.0,3.0,3.0,2.0,9.0,1.0,2.0,12.0,1.0,2.0,,3.0,,2.0,12.0,,,0.05,0.25,0.03636363636363636,,0.020833333333333332,0.047619047619047616,,,0.03636363636363636,0.5454545454545454,0.5714285714285714,0.5,0.6153846153846154,0.10344827586206896,0.1411764705882353,1.0,2.0,2.0,1.0,2.0,4.0,3.0,,,,,,,0.5,0.3333333333333333,,,0.25,0.5,1.0,0.4,1.0,0.25,,,,,,,,,,,,,,,,True,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,13786.0,230,59.0,421,420,101,124,54,841,16.0,24.0,4.0,8.0,4.0,7.0,24.0,12.0,23.0,3.0,4.0,1.0,6.0,12.0,1.0,36.0,71,9.0,16.0,20.0,119.0,426,7.0,16.0,20.0,6.0,12,2.0,5.0,20.0,22.0,50.0,27.0,12.0,6.0,3.0,,12.0,6.0,24.0,9.0,39.0,15.0,54,10.0,26,27.0,26.0,,4.0,,6.0,4.0,20.0,101,1.0,,0.3055555555555556,0.3333333333333333,1.0,0.5625,0.5625,0.5070422535211268,0.4375,0.5,0.5689655172413793,0.4722222222222222,0.5357142857142857,0.6071428571428571,0.5,0.5882352941176471,0.1839080459770115,,0.04225352112676056,0.041666666666666664,,24.536082474226806,0.5,0.1889763779527559,0.08275862068965517,0.13333333333333333,0.1744186046511628,0.08333333333333333,0.03571428571428571,0.15789473684210525,0.20833333333333334,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.27586206896551724,0.6666666666666666,0.7272727272727273,0.25,0.27586206896551724,0.26436781609195403,0.5217391304347826,0.5217391304347826,0.04597701149425287,0.75,0.75,1.0,0.13793103448275862,0.5,0.5,1.0,0.4444444444444444,0.5,0.5,0.5714285714285714,0.07142857142857142,0.07142857142857142,0.45977011494252873,0.5,0.4673971264367816,0.4657266666666667,0.4491964285714286,0.16806722689075632,0.16806722689075632,8.659154929577467,24.4875,0.23990498812351543,8.0,6.0,9.0,3.0,12.0,3.0,,1.0,5.0,3.0,27.0,3.0,5.0,5.0,3.0,2.0,5.0,2.0,2.0,16.0,3.0,2.0,21.0,2.0,2.0,1.0,10.0,1.0,3.0,14.0,4.0,,0.08333333333333333,0.23809523809523808,0.08571428571428572,0.075,0.14285714285714285,0.07692307692307693,0.1111111111111111,0.1951219512195122,0.13513513513513514,0.3333333333333333,0.34782608695652173,0.25,0.4166666666666667,0.15306122448979592,0.17073170731707318,,,,1.0,2.0,3.0,1.0,,,1.0,4.0,,,0.5,0.5,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.25,0.1111111111111111,0.5,1.0,0.0625,,,,,True,,
2734,1610612742,Devin Harris,Devin Harris,2734,DAL,4955.0,83,-11.0,162,166,69,98,21,328,6.0,17.0,,1.0,2.0,5.0,7.0,7.0,12.0,,,,,1.0,1.0,16.0,36,,1.0,11.0,43.0,177,1.0,2.0,2.0,4.0,12,1.0,5.0,13.0,4.0,28.0,,1.0,,4.0,,4.0,2.0,1.0,,3.0,4.0,7,4.0,9,15.0,15.0,1.0,,,,,13.0,69,1.0,1.0,0.125,0.125,,,,0.4444444444444444,0.5,0.3333333333333333,0.43243243243243246,0.5,0.3076923076923077,0.5119047619047619,0.5,0.40625,0.02702702702702703,,0.1111111111111111,0.14285714285714285,,24.736842105263158,,0.02127659574468085,0.05555555555555555,0.10526315789473684,0.045454545454545456,0.047619047619047616,0.037037037037037035,0.058823529411764705,,0.15384615384615385,,,0.4594594594594595,0.35294117647058826,0.42857142857142855,,0.1891891891891892,0.32432432432432434,0.5833333333333334,0.5833333333333334,,,,,0.02702702702702703,,,,0.5,,0.38461538461538464,0.4,,0.07692307692307693,0.4864864864864865,,0.4711378378378378,0.47665,0.45913846153846155,0.046511627906976744,0.3023255813953488,7.208333333333333,25.4,0.42592592592592593,3.0,,8.0,2.0,10.0,1.0,1.0,5.0,2.0,1.0,22.0,,2.0,5.0,2.0,3.0,3.0,1.0,3.0,2.0,,,5.0,1.0,2.0,,1.0,,5.0,9.0,,,0.17647058823529413,0.6,,0.1111111111111111,,,,,0.11764705882352941,0.42857142857142855,0.5,,0.2857142857142857,0.21951219512195122,0.225,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
711,1610612742,Jerry Stackhouse,Jerry Stackhouse,711,DAL,9754.0,163,18.0,312,323,136,166,37,635,8.0,13.0,,,4.0,7.0,8.0,13.0,27.0,4.0,10.0,3.0,3.0,10.0,6.0,26.0,48,7.0,20.0,21.0,94.0,340,2.0,2.0,7.0,13.0,21,9.0,19.0,60.0,16.0,36.0,21.0,10.0,3.0,3.0,,2.0,1.0,10.0,,11.0,3.0,14,2.0,10,19.0,26.0,10.0,,,,,60.0,136,3.0,10.0,0.3076923076923077,0.32,1.0,0.35,0.35,0.5416666666666666,1.0,0.6190476190476191,0.5367647058823529,0.5,0.6833333333333333,0.5875,0.5,0.7317073170731707,0.29411764705882354,,0.0625,,,24.72222222222222,,0.0970873786407767,0.020202020202020204,0.03125,0.08148148148148149,0.021739130434782608,0.020833333333333332,0.06451612903225806,0.12121212121212122,0.037037037037037035,,,0.19117647058823528,0.6153846153846154,0.6666666666666666,0.375,0.11764705882352941,0.39705882352941174,0.48148148148148145,0.52,0.14705882352941177,0.4,0.4,1.0,0.14705882352941177,0.3,0.3,1.0,,,0.23333333333333334,0.5714285714285714,0.1,0.2,0.4852941176470588,0.3,0.4542727941176471,0.5208916666666666,0.4542150000000001,0.07446808510638298,0.6382978723404256,11.641666666666666,24.284999999999997,0.4358974358974359,5.0,2.0,10.0,5.0,15.0,5.0,,4.0,2.0,4.0,35.0,1.0,,5.0,4.0,1.0,3.0,2.0,1.0,6.0,2.0,,9.0,,3.0,,3.0,2.0,1.0,3.0,,,0.07692307692307693,0.3333333333333333,0.02564102564102564,0.034482758620689655,,0.034482758620689655,,0.10256410256410256,,0.625,0.625,0.2,0.3076923076923077,0.05714285714285714,0.06,,1.0,3.0,1.0,5.0,,5.0,,,,,,,0.2,0.5555555555555556,,,0.14285714285714285,,,0.5,2.0,0.6666666666666666,1.0,4.0,1.0,1.0,,,,0.5714285714285714,0.25,1.0,0.05,0.07407407407407407,,,,True,,
2605,1610612742,Marquis Daniels,Marquis Daniels,2605,DAL,2877.0,48,-3.0,94,97,47,82,9,191,5.0,8.0,1.0,2.0,1.0,1.0,7.0,,3.0,1.0,2.0,1.0,,,,7.0,18,1.0,2.0,3.0,20.0,94,1.0,2.0,3.0,2.0,5,1.0,2.0,9.0,8.0,6.0,3.0,,,1.0,,2.0,,1.0,,1.0,2.0,3,,4,7.0,5.0,1.0,1.0,,1.0,1.0,9.0,47,3.0,1.0,0.5714285714285714,0.6666666666666666,1.0,0.5,0.5,0.3888888888888889,0.5,0.4,0.425,0.5,0.5833333333333334,0.45454545454545453,0.75,0.5625,0.1,,0.05555555555555555,,,22.641509433962263,,0.041666666666666664,0.06060606060606061,,0.030303030303030304,0.044444444444444446,,,0.1111111111111111,,,1.0,0.4,0.625,0.7142857142857143,0.8,0.35,0.15,,,0.1,0.5,0.5,1.0,,,,,1.0,0.5,0.16666666666666666,1.0,0.16666666666666666,,0.5,,0.4494975,0.5474,0.40041666666666664,0.15,0.45,6.344444444444445,23.0,0.5,2.0,2.0,1.0,1.0,2.0,1.0,,,,1.0,5.0,,2.0,2.0,1.0,1.0,,1.0,,2.0,,,2.0,,,,1.0,,1.0,2.0,1.0,,0.125,,,,0.16666666666666666,,,,0.2,0.2857142857142857,0.2857142857142857,,,0.09523809523809523,0.10526315789473684,,,,,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,True,,
353,1610612742,Darrell Armstrong,Darrell Armstrong,353,DAL,1162.0,19,-4.0,40,41,21,39,4,81,2.0,3.0,,,1.0,2.0,,,2.0,,,,,4.0,2.0,2.0,5,,4.0,2.0,6.0,31,,,,1.0,3,2.0,,2.0,,4.0,,4.0,,,,,2.0,2.0,,4.0,,4,1.0,3,2.0,2.0,,,,,,2.0,21,2.0,,,,,,,0.4,,0.3333333333333333,0.2222222222222222,,0.2,0.3,,0.2,0.4444444444444444,,,,,24.444444444444443,,0.2857142857142857,,0.4,0.3333333333333333,,,,0.3333333333333333,0.5,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,0.2222222222222222,,,,,,,0.4444444444444444,,,,,,0.4,0.5,,0.4,0.7777777777777778,,0.5134555555555556,,0.55821,,0.3333333333333333,8.34,25.15,0.525,,,1.0,,1.0,,,1.0,,,2.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,0.5,,,,,,0.1,0.16666666666666666,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
2205,1610612742,DeSagana Diop,DeSagana Diop,2205,DAL,8386.0,140,-6.0,245,247,51,45,36,492,3.0,5.0,1.0,2.0,2.0,2.0,,,,,,,,,,3.0,5,,,3.0,9.0,272,1.0,2.0,2.0,2.0,2,,2.0,6.0,4.0,2.0,,,,1.0,,11.0,6.0,15.0,3.0,24.0,12.0,36,10.0,22,4.0,6.0,1.0,6.0,2.0,6.0,3.0,6.0,51,,1.0,0.6666666666666666,1.0,,,,0.6,0.5,1.0,0.6,0.5,1.0,0.5625,0.5,0.75,,,0.2,,,4.861111111111112,0.1875,0.2,0.11702127659574468,0.2608695652173913,0.21428571428571427,0.1016949152542373,0.1111111111111111,0.13043478260869565,0.24,0.35294117647058826,,0.5,1.0,0.6,0.75,0.6666666666666666,,,,,,,,,,,,,1.0,0.5,1.0,1.0,,,1.0,,0.5848599999999999,0.6343,0.57745,0.2222222222222222,0.6666666666666666,0.08,,0.20816326530612245,,2.0,,,,,,,,,,1.0,,7.0,7.0,,3.0,,1.0,3.0,2.0,,6.0,4.0,,2.0,,1.0,,2.0,4.0,,0.2,0.5,0.041666666666666664,0.045454545454545456,0.16666666666666666,0.05263157894736842,,0.2222222222222222,,,,,,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,True,,
