EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,BadPassSteals,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,PenaltyFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LongMidRangePctAssisted,PenaltyArc3Accuracy,SecondChanceAtRimFGA,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,LostBallTurnovers,Blocked2s,Blocked3s,BlockedArc3,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,OffTwoPtRebounds,BlockedAtRim,OffensiveGoaltends,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SelfOReb,ThreePtShootingFoulsDrawn,SelfORebPct,ThreePtShootingFoulsDrawnPct,on,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,807.0,13,-2.0,26,26,1,3.0,4.0,52,1.0,2.0,3.0,1.0,5.0,2.0,23,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3,1.0,1.0,1,1.0,1.0,0.2,0.2,0.2,23.333333333333336,0.2,0.14285714285714285,0.5,0.2,0.4,0.5,0.5,1.0,0.6,0.4,0.45442,0.3767,2.96,0.038461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1088,1610612763,Chucky Atkins,Chucky Atkins,1088,MEM,4801.0,80,-24.0,135,134,21,24.0,16.0,269,2.0,7.0,5.0,6.0,19.0,28.0,166,2.0,,2.0,3.0,3.0,2.0,,3.0,12,,8.0,21,,,0.3157894736842105,0.41379310344827586,0.4375,23.178807947019866,0.03636363636363636,0.04411764705882353,0.09090909090909091,,0.2413793103448276,0.2857142857142857,0.3333333333333333,,0.1724137931034483,0.5862068965517241,0.47229827586206896,0.4341,9.126315789473685,0.15555555555555556,1.0,2.0,3.0,1.0,7.0,4.0,10.0,3.0,4.0,10.0,4.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,12.0,9.0,3.0,10.0,4.0,1.0,8.0,1.0,9.0,1.0,3.0,5.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,2.0,1.0,4.0,2.0,1.0,0.75,0.4,0.4,0.5,0.5,0.5,0.2,0.5,0.3333333333333333,0.3448275862068966,0.05263157894736842,0.14285714285714285,0.3333333333333333,0.07692307692307693,0.03571428571428571,0.1,0.6,0.6,0.2413793103448276,0.14285714285714285,0.14285714285714285,0.3448275862068966,0.4,0.4,0.75,0.4,0.5,0.6,0.4,0.4864800000000001,0.06451612903225806,0.09523809523809523,0.10714285714285714,0.14285714285714285,24.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,3411.0,57,-14.0,102,104,38,37.0,14.0,206,5.0,6.0,3.0,9.0,17.0,26.0,108,,8.0,7.0,9.0,9.0,1.0,,4.0,2,1.0,4.0,38,0.4444444444444444,0.4444444444444444,0.5294117647058824,0.4772727272727273,0.5416666666666666,23.931623931623932,0.15217391304347827,0.16363636363636364,0.14285714285714285,0.16666666666666666,0.2727272727272727,0.8333333333333334,0.8333333333333334,0.4,0.13636363636363635,0.5,0.4929659090909091,,11.352941176470589,0.37254901960784315,4.0,4.0,1.0,3.0,8.0,1.0,5.0,1.0,1.0,5.0,5.0,,,,6.0,9.0,1.0,,15.0,10.0,3.0,,5.0,1.0,1.0,4.0,,4.0,,2.0,2.0,8.0,2.0,1.0,,3.0,,3.0,,,2.0,,,5.0,3.0,,15.0,,,1.0,0.2,0.2,,0.6666666666666666,,0.75,,0.75,0.22727272727272727,0.058823529411764705,,0.75,0.2222222222222222,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.5,0.36363636363636365,0.375,0.375,0.22727272727272727,0.2,0.25,1.0,0.4,1.0,0.1,0.2,0.50925,0.125,0.15789473684210525,,0.5769230769230769,25.040000000000003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.2,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,7032.0,117,-11.0,204,198,46,50.0,24.0,402,10.0,16.0,21.0,27.0,54.0,71.0,222,3.0,28.0,12.0,18.0,21.0,4.0,2.0,9.0,10,1.0,18.0,46,0.5185185185185185,0.5185185185185185,0.5,0.4909090909090909,0.5461538461538461,32.314410480349345,0.15,0.14705882352941177,0.0625,0.20689655172413793,0.2909090909090909,0.625,0.6666666666666666,0.5,0.38181818181818183,0.3090909090909091,0.43524444444444443,0.39235,7.861111111111111,0.22549019607843138,1.0,2.0,8.0,9.0,17.0,,1.0,1.0,,1.0,17.0,1.0,2.0,4.0,4.0,8.0,1.0,7.0,15.0,26.0,,,1.0,,4.0,4.0,5.0,9.0,1.0,3.0,,23.0,3.0,2.0,1.0,5.0,,4.0,1.0,,2.0,3.0,1.0,21.0,8.0,3.0,15.0,1.0,2.0,,,,0.3333333333333333,0.5,0.3333333333333333,0.4444444444444444,0.5,0.5769230769230769,0.01818181818181818,0.07407407407407407,0.0625,0.5555555555555556,0.13636363636363635,0.14285714285714285,0.0625,0.38095238095238093,0.4444444444444444,0.3090909090909091,0.5294117647058824,0.5294117647058824,0.01818181818181818,,,,0.2222222222222222,0.5,0.1111111111111111,,0.4472125,0.12903225806451613,0.13114754098360656,0.056338028169014086,0.2112676056338028,35.3,,,,1.0,2.0,,1.0,,,0.14285714285714285,,0.7777777777777778,,2.0,4.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,0.5,0.09090909090909091,0.125,0.023529411764705882,0.6666666666666666,0.3333333333333333,0.75,0.25,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,7713.0,129,-16.0,223,221,48,53.0,26.0,444,3.0,5.0,4.0,8.0,13.0,24.0,246,4.0,4.0,14.0,16.0,23.0,6.0,1.0,8.0,16,3.0,13.0,48,0.25,0.3333333333333333,0.6153846153846154,0.55,0.5454545454545454,12.0,0.1590909090909091,0.13274336283185842,0.125,0.15151515151515152,0.25,0.6,0.75,0.3333333333333333,0.2,0.6,0.48118249999999996,0.5344099999999999,8.13076923076923,0.21524663677130046,,,4.0,1.0,4.0,,1.0,,2.0,7.0,2.0,2.0,,4.0,,,1.0,,,12.0,6.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,,5.0,1.0,4.0,1.0,2.0,1.0,1.0,,1.0,3.0,8.0,4.0,6.0,4.0,,,2.0,,1.0,0.2857142857142857,0.2857142857142857,0.5,,0.3333333333333333,,0.3333333333333333,,0.35,0.07692307692307693,0.2,0.25,0.04,0.1794871794871795,,1.0,1.0,0.2,0.25,0.25,0.05,,,,,,,,0.43635,0.18181818181818182,0.26666666666666666,0.16666666666666666,,23.24285714285714,,,,3.0,,,2.0,,,,,,,4.0,1.0,,2.0,,1.0,7.0,1.0,2.0,,,,1.0,2.0,1.0,0.16666666666666666,,0.1111111111111111,0.07608695652173914,,0.16666666666666666,0.5,0.25,0.6666666666666666,2.0,2.0,6.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,0.06756756756756757,0.04,0.09090909090909091,0.07407407407407407,0.13333333333333333,0.3,0.3333333333333333,0.3333333333333333,1.0,0.5,0.16666666666666666,0.16666666666666666,1.0,,,,,True,,,,,,,,,,
224,1610612763,Eddie Jones,Eddie Jones,224,MEM,4887.0,81,11.0,139,137,26,39.0,14.0,276,3.0,6.0,1.0,7.0,14.0,30.0,144,1.0,2.0,2.0,4.0,7.0,,,,6,,8.0,26,0.14285714285714285,0.16666666666666666,0.5,0.6052631578947368,0.6521739130434783,15.032679738562091,0.0392156862745098,0.056338028169014086,,0.1111111111111111,0.3157894736842105,0.5,0.6,,0.05263157894736842,0.5789473684210527,0.49754736842105257,0.5529,9.592857142857143,0.18705035971223022,,,,4.0,7.0,2.0,4.0,,3.0,5.0,7.0,1.0,,2.0,,1.0,,3.0,3.0,12.0,9.0,,4.0,2.0,2.0,7.0,,7.0,,2.0,2.0,14.0,2.0,1.0,,,,,,,,3.0,1.0,9.0,2.0,1.0,3.0,,1.0,1.0,0.6,0.6,1.0,,1.0,,1.0,0.5,0.2631578947368421,0.14285714285714285,0.16666666666666666,,0.1,,0.14285714285714285,,,0.3684210526315789,0.5714285714285714,0.5714285714285714,0.21052631578947367,0.5,0.5,1.0,,,,0.5,0.3303,0.13636363636363635,0.125,0.06666666666666667,0.1,24.580000000000002,,,,1.0,1.0,,,,,1.0,,0.25,,1.0,,3.0,1.0,,,3.0,,1.0,,,,1.0,1.0,1.0,,,0.1,0.05555555555555555,,,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,2.0,,,0.045454545454545456,0.058823529411764705,0.07692307692307693,,0.125,0.05263157894736842,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.14285714285714285,0.16666666666666666,True,,,,,,,,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,3673.0,61,-20.0,102,103,24,17.0,11.0,205,6.0,9.0,2.0,8.0,12.0,21.0,119,5.0,6.0,3.0,6.0,12.0,,,2.0,4,,5.0,24,0.375,0.75,0.6666666666666666,0.6666666666666666,0.7,15.04424778761062,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.0625,0.75,0.6666666666666666,0.75,0.3333333333333333,0.16666666666666666,0.75,0.5376416666666666,0.54626,3.0833333333333335,0.23529411764705882,1.0,2.0,2.0,,1.0,,,,,,5.0,4.0,2.0,10.0,1.0,2.0,,,2.0,10.0,,,,,1.0,2.0,1.0,3.0,1.0,2.0,,7.0,3.0,,,2.0,,1.0,,,,2.0,2.0,6.0,3.0,,2.0,2.0,,,,,0.8,0.5,0.8,0.5,0.8333333333333334,0.5,,0.08333333333333333,0.1111111111111111,1.0,0.21428571428571427,0.05263157894736842,0.16666666666666666,1.0,1.0,0.08333333333333333,,,,,,,1.0,0.5,,,0.5562499999999999,0.2,0.2,0.47619047619047616,0.09523809523809523,,,,,,,,,,,,,,,5.0,,,,,,6.0,1.0,1.0,,,,,1.0,1.0,,,,0.13333333333333333,,0.5,1.0,0.5,1.0,4.0,,,,,,,8.0,6.0,1.0,,0.15789473684210525,0.15384615384615385,0.4,,,,,,,0.8,,,,,,,,True,,,,,,,,,,
1517,1610612763,Bobby Jackson,Bobby Jackson,1517,MEM,3028.0,50,5.0,90,89,29,29.0,10.0,179,3.0,4.0,1.0,3.0,6.0,11.0,83,,,5.0,7.0,7.0,5.0,,9.0,3,2.0,2.0,29,,,0.5,0.5,0.55,18.81188118811881,0.14285714285714285,0.14893617021276595,,0.15789473684210525,0.4444444444444444,0.75,0.75,,0.1111111111111111,0.7777777777777778,0.5475055555555556,,5.7,0.32222222222222224,,1.0,,,1.0,1.0,3.0,2.0,1.0,3.0,2.0,,,,,1.0,2.0,,,6.0,3.0,,3.0,1.0,,2.0,1.0,3.0,,1.0,1.0,7.0,2.0,,,4.0,,3.0,3.0,1.0,4.0,1.0,,3.0,2.0,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,,,0.4444444444444444,0.16666666666666666,0.18181818181818182,0.2222222222222222,,,0.1111111111111111,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,0.6666666666666666,0.3333333333333333,0.48458333333333337,0.2,0.2857142857142857,,,24.8,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,562.0,9,-5.0,17,18,1,2.0,2.0,35,1.0,1.0,,1.0,1.0,6.0,22,,,3.0,3.0,3.0,1.0,,1.0,1,,2.0,1,,,1.0,1.0,1.0,21.05263157894737,0.375,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,,,1.0,0.7081,,,0.058823529411764705,,,,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,2375.0,40,-2.0,69,67,5,11.0,8.0,136,4.0,7.0,1.0,5.0,8.0,11.0,86,2.0,6.0,5.0,6.0,10.0,3.0,,5.0,9,3.0,1.0,5,0.6,0.75,0.625,0.625,0.6111111111111112,17.94871794871795,0.21739130434782608,0.2222222222222222,0.4,0.25,0.875,0.5714285714285714,0.5714285714285714,0.75,0.125,0.875,0.4813625,0.58875,1.4875,0.07246376811594203,,1.0,1.0,,,,,,,,1.0,1.0,1.0,3.0,,1.0,,1.0,1.0,4.0,,,,,,,1.0,1.0,,,,3.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,4.0,,2.0,1.0,,1.0,,,,,,0.5,,0.5,,0.5,0.25,,,,0.4,0.25,0.1,0.5,1.0,1.0,,,,,,,,1.0,,,,0.6136,0.1111111111111111,0.1111111111111111,0.2727272727272727,0.09090909090909091,,,,,,,,,,,,,,,2.0,1.0,,,,,4.0,1.0,,,,,,,,,,,0.15384615384615385,,,,,1.0,1.0,,,,,,,2.0,4.0,,,0.19047619047619047,0.3333333333333333,0.16666666666666666,0.1111111111111111,,,,,,0.5,,,,1.0,,0.3333333333333333,,True,,,,,,,,,,
