EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,TsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPossPct,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,Blocked3s,BlockedCorner3,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceTurnovers,Corner3FGM,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LostBallTurnovers,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,Fg3aBlocked,StepOutOfBoundsTurnovers,Loose Ball Fouls,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceFG3M,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,on,LongMidRangePctBlocked,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Accuracy,SecondChanceArc3FGM,Clear Path Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
101195,1610612741,Luke Schenscher,Luke Schenscher,101195,CHI,100.0,2,5.0,3,4,1,4,7,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1.0,33.333333333333336,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2457,1610612741,Jannero Pargo,Jannero Pargo,2457,CHI,214.0,4,3.0,8,10,6,6,18,,6.0,,,,,,,6,1.0,50.0,,,,,,0.75,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,2.0,2.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,0.5,1.0,1.0,1.0,1.0,1.5,1.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.39415,0.41812499999999997,1.0,19.7,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2552,1610612741,Michael Sweetney,Michael Sweetney,2552,CHI,7207.0,120,-3.0,233,233,52,33,466,15.0,43.0,10.0,17.0,33.0,21.0,19.0,5.0,52,0.5,18.421052631578945,0.17857142857142858,0.16,0.22727272727272727,0.13513513513513514,0.13513513513513514,0.22317596566523606,3.0,,,,,34.0,,,249.0,,,13.0,,,,,5.0,1.0,7.0,2.0,13.0,,,,,0.4117647058823529,0.6,0.7222222222222222,,0.08823529411764706,,,,,,,0.38235294117647056,,0.46214117647058817,0.52172,0.3023255813953488,6.176470588235294,,28.0,8.0,13.0,2.0,3.0,3.0,3.0,6.0,18.0,14.0,2.0,4.0,5.0,9.0,3.0,5.0,7.0,16.0,12.0,4.0,6.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,3.0,16.0,4.0,12.0,6.0,1.0,16.0,1.0,3.0,1.0,2.0,2.0,2.0,15.0,24.0,3.0,2.0,3.0,2.0,6.0,6.0,5.0,1.0,6.0,5.0,1.0,1.0,4.0,0.5714285714285714,0.6666666666666666,0.4117647058823529,0.5,0.6,0.5,0.5625,0.17647058823529413,0.07692307692307693,0.2777777777777778,0.2857142857142857,0.1111111111111111,0.1411764705882353,0.13636363636363635,0.15384615384615385,0.14414414414414414,0.2,0.034482758620689655,0.19444444444444445,0.1,0.3333333333333333,0.19047619047619047,0.07692307692307693,0.08823529411764706,0.3,0.07142857142857142,0.8333333333333334,0.38235294117647056,0.6153846153846154,0.6666666666666666,0.625,0.5294117647058824,0.3333333333333333,0.46153846153846156,0.5,0.75,0.6666666666666666,0.6,1.0,0.4739333333333334,0.20930232558139536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2736,1610612741,Luol Deng,Luol Deng,2736,CHI,3388.0,56,-13.0,110,109,39,26,219,3.0,21.0,4.0,7.0,9.0,3.0,5.0,2.0,39,0.4375,20.161290322580644,0.13793103448275862,0.1276595744680851,0.2,0.08333333333333333,0.08333333333333333,0.35454545454545455,12.0,,,,,22.0,,,120.0,,,8.0,,,,,1.0,,1.0,1.0,8.0,,,,,0.4090909090909091,0.5714285714285714,0.5714285714285714,,0.5454545454545454,,,,,,,0.22727272727272727,,0.4331999999999999,0.5160714285714285,0.38095238095238093,12.049999999999999,,13.0,3.0,5.0,,,2.0,3.0,1.0,5.0,9.0,1.0,2.0,,2.0,4.0,7.0,,16.0,2.0,,1.0,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,3.0,5.0,1.0,,,,,,,,1.0,1.0,,,,0.8888888888888888,0.8888888888888888,0.4090909090909091,0.5,0.5714285714285714,0.5,0.5,0.045454545454545456,0.2,,,0.3333333333333333,0.05,0.1111111111111111,,0.0392156862745098,0.2,,,,,0.18181818181818182,,0.15384615384615385,,0.08333333333333333,1.0,0.22727272727272727,0.6,0.75,0.6666666666666666,0.22727272727272727,0.2,0.2,1.0,,,0.42857142857142855,0.6666666666666666,0.3799,0.09523809523809523,5.0,1.0,1.0,0.4166666666666667,0.4166666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2768,1610612741,Chris Duhon,Chris Duhon,2768,CHI,1572.0,26,,53,51,12,5,104,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,12,0.125,9.09090909090909,0.1,0.05263157894736842,,0.25,0.5,0.22641509433962265,,,2.0,,1.0,1.0,,2.0,53.0,,1.0,,,,2.0,,,,1.0,,,,,,,,,,0.6666666666666666,,0.6666666666666666,,,,1.0,,0.6666666666666666,,0.5139333333333334,0.5976,,7.3,24.65,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,5.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,0.07692307692307693,,,0.05263157894736842,,,0.2,,,,0.3333333333333333,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
970,1610612741,Othella Harrington,Othella Harrington,970,CHI,168.0,3,3.0,3,5,1,5,8,,,,1.0,1.0,,,,1,,,,0.2,,,,0.3333333333333333,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
15,1610612741,Eric Piatkowski,Eric Piatkowski,15,CHI,449.0,7,,17,14,9,3,31,,5.0,,2.0,2.0,,,,9,1.25,11.11111111111111,,0.25,,,,0.5294117647058824,1.0,,,,,1.0,1.0,1.0,12.0,,,2.0,3.0,,,,,,,,2.0,1.0,1.0,,1.0,1.25,1.0,1.0,0.5,0.5,,,,,,,0.5,,0.49044999999999994,0.4049,0.4,17.2,23.7,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,2.0,,,1.0,,1.0,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2124,1610612741,Malik Allen,Malik Allen,2124,CHI,3203.0,53,4.0,103,104,5,3,207,,18.0,2.0,7.0,10.0,2.0,1.0,1.0,5,0.8181818181818182,11.965811965811966,0.08,0.13333333333333333,,0.09090909090909091,0.09090909090909091,0.04854368932038835,5.0,,,,,11.0,,,111.0,,,,,,,,,,3.0,2.0,,,,,,0.8181818181818182,,,,0.45454545454545453,,,,,,,0.2727272727272727,,0.44168181818181823,,,10.463636363636363,,11.0,2.0,3.0,1.0,1.0,,,3.0,3.0,9.0,2.0,2.0,,4.0,,,,10.0,8.0,2.0,1.0,2.0,1.0,3.0,1.0,,,,2.0,7.0,1.0,2.0,4.0,1.0,3.0,1.0,,,,3.0,1.0,3.0,6.0,,1.0,,1.0,,3.0,2.0,1.0,3.0,2.0,,,,0.5555555555555556,0.625,0.8181818181818182,1.0,,1.0,1.0,0.09090909090909091,0.3333333333333333,,1.0,0.16666666666666666,0.05,0.2,0.1,0.06,0.1111111111111111,,0.058823529411764705,,0.3333333333333333,0.1111111111111111,0.2,0.16666666666666666,0.5,1.0,0.6666666666666666,0.2727272727272727,0.6666666666666666,1.0,0.5,0.2727272727272727,1.0,1.0,0.6666666666666666,0.5,1.0,,,0.4439,0.2222222222222222,4.0,,,0.8,0.8,0.5,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2550,1610612741,Kirk Hinrich,Kirk Hinrich,2550,CHI,6419.0,107,-2.0,206,205,44,29,411,10.0,36.0,5.0,10.0,10.0,16.0,11.0,6.0,44,0.4090909090909091,21.008403361344538,0.09803921568627451,0.07777777777777778,0.21052631578947367,0.13636363636363635,0.18181818181818182,0.21359223300970873,15.0,2.0,9.0,,4.0,28.0,2.0,11.0,221.0,,5.0,,6.0,,9.0,2.0,3.0,1.0,6.0,2.0,,1.0,0.18181818181818182,,0.18181818181818182,0.3333333333333333,,,0.28205128205128205,0.38461538461538464,0.23076923076923078,0.2222222222222222,0.2222222222222222,1.0,0.4,,0.5384615384615384,0.2222222222222222,0.4983025641025641,0.50993,,11.228571428571428,24.4,27.0,3.0,10.0,,1.0,,2.0,2.0,3.0,10.0,1.0,2.0,,2.0,,5.0,,4.0,16.0,,4.0,20.0,5.0,25.0,5.0,,9.0,2.0,9.0,55.0,,,2.0,3.0,,,3.0,2.0,1.0,3.0,2.0,3.0,7.0,,,4.0,1.0,,,,,,,,1.0,,0.2,0.2,0.35714285714285715,0.5,,0.25,0.25,0.14285714285714285,0.4,,0.5,0.3333333333333333,,0.05128205128205128,,,,,,,,0.05,,0.03333333333333333,0.1111111111111111,,,0.2564102564102564,0.3,0.5,,0.07692307692307693,0.6666666666666666,0.6666666666666666,,0.25,,0.2,,0.5389999999999999,0.05555555555555555,5.0,,,0.3333333333333333,0.3333333333333333,0.4,1.0,,2.0,0.05128205128205128,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.25,0.25,0.1,,,,,,,,,,,,,,,True,,,,,,,,,,,
2732,1610612741,Ben Gordon,Ben Gordon,2732,CHI,6792.0,113,-5.0,218,218,46,27,436,7.0,44.0,3.0,6.0,7.0,7.0,10.0,4.0,46,0.4673913043478261,21.912350597609564,0.05660377358490566,0.06315789473684211,,0.08888888888888889,0.13333333333333333,0.21100917431192662,10.0,5.0,13.0,,2.0,27.0,5.0,15.0,234.0,,3.0,7.0,15.0,,13.0,5.0,5.0,1.0,9.0,4.0,7.0,1.0,0.3333333333333333,,0.3333333333333333,0.44047619047619047,0.125,0.3181818181818182,0.35714285714285715,0.23809523809523808,0.30952380952380953,0.38461538461538464,0.38461538461538464,1.0,0.25,,0.5238095238095238,0.38461538461538464,0.4897571428571429,0.5039875,0.1590909090909091,10.937037037037037,25.026666666666664,28.0,6.0,7.0,,,1.0,2.0,2.0,10.0,11.0,1.0,2.0,,2.0,1.0,5.0,5.0,2.0,20.0,,1.0,6.0,4.0,10.0,3.0,1.0,1.0,2.0,3.0,24.0,,1.0,3.0,,1.0,1.0,1.0,1.0,,4.0,2.0,,3.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,0.09090909090909091,0.09090909090909091,0.4074074074074074,0.5,0.2,0.3333333333333333,0.3333333333333333,0.037037037037037035,0.14285714285714285,,0.4444444444444444,,0.012345679012345678,0.07142857142857142,,0.009345794392523364,,0.03571428571428571,,,,0.09523809523809523,0.07692307692307693,0.0625,0.1,0.041666666666666664,,0.16666666666666666,0.8571428571428571,1.0,,0.23809523809523808,0.2,0.2,,,,0.25,0.5,0.4498166666666667,0.045454545454545456,3.0,,,0.3,0.3,0.3333333333333333,2.0,,2.0,0.047619047619047616,,,,2.0,,1.0,1.0,1.0,2.0,,,0.3333333333333333,0.125,1.0,1.0,1.0,1.0,0.06666666666666667,0.5,,,,,,,,,True,,,,,,,,,,,
