EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,FTDefRebounds,Steals,LostBallSteals,PenaltyFg3Pct,DefFTReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFtPoints,SelfOReb,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,Loose Ball Fouls Drawn,BlockedLongMidRange,DefCorner3ReboundPct,Corner3Assists,BadPassSteals,LostBallTurnovers,Technical Free Throw Trips,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,on,DefensiveGoaltends,ShortMidRangePctAssisted,FTOffRebounds,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,OffensiveGoaltends,OffFTReboundPct,StepOutOfBoundsTurnovers,3SecondViolations,ShortMidRangeAssists,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,3246.0,54,23,106,103,32.0,41.0,16.0,209,8.0,10.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,10.0,14.0,2.0,4.0,4.0,30.0,117,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,16.0,6.0,4.0,4.0,2.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,13.0,2.0,1.0,10.0,11.0,2.0,13.0,1.0,1.0,1.0,3.0,6.0,1.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,32.0,1.0,0.2,0.25,1.0,0.5,0.5,0.7142857142857143,1.0,1.0,0.7222222222222222,1.0,0.5,0.75,1.0,0.5,0.2222222222222222,0.07142857142857142,0.25,17.073170731707318,0.29411764705882354,0.06451612903225806,0.09090909090909091,0.24444444444444444,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.3076923076923077,0.1,1.0,0.5555555555555556,0.8,0.8,0.25,0.2222222222222222,0.5,0.6666666666666666,0.2222222222222222,0.5,0.5,1.0,1.0,1.0,0.25,1.0,0.5,0.7777777777777778,0.5,0.47158333333333324,0.51725,0.3932375,0.2,0.25,0.13333333333333333,0.13333333333333333,1.7428571428571427,25.675,0.3018867924528302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1904,1610612747,Devean George,Devean George,1904,LAL,3728.0,62,16,114,110,20.0,29.0,15.0,224,,2.0,,2.0,,,,1.0,3.0,6.0,2.0,1.0,7.0,5.0,14.0,,17.0,115,,2.0,,,,4.0,6.0,,2.0,15.0,,6.0,3.0,,1.0,,1.0,,,1.0,2.0,1.0,3.0,3.0,7.0,1.0,8.0,,,,3.0,8.0,1.0,2.0,,,,,,,,6.0,20.0,2.0,,,1.0,0.35714285714285715,0.35714285714285715,0.14285714285714285,,,0.40476190476190477,,0.75,0.40476190476190477,,0.75,0.6666666666666666,,,15.671641791044776,0.09090909090909091,0.023255813953488372,0.2,0.125,0.01694915254237288,0.058823529411764705,0.1111111111111111,0.125,0.0625,0.23076923076923078,,0.09523809523809523,,,,0.047619047619047616,,,0.2857142857142857,0.5,0.5,1.0,1.0,,,,0.5,0.7619047619047619,0.5,0.49935238095238094,0.6966,0.4758375,,,,0.35294117647058826,13.842857142857143,24.45,0.17543859649122806,1.0,4.0,2.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.19047619047619047,0.25,0.25,0.38095238095238093,0.25,0.25,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2470,1610612747,Smush Parker,Smush Parker,2470,LAL,2027.0,34,12,67,64,22.0,29.0,7.0,131,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,,9.0,63,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,5.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,,,,2.0,2.0,,,1.0,,2.0,,5.0,,,,,,,,4.0,22.0,1.0,0.3333333333333333,0.5,1.0,0.2,0.2,0.75,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5555555555555556,0.25,,13.333333333333334,,0.045454545454545456,,,0.058823529411764705,0.1,,,,,,0.3333333333333333,0.6666666666666666,1.0,0.5,0.1111111111111111,1.0,1.0,0.5555555555555556,0.2,0.2,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.8888888888888888,0.2,0.4953444444444444,,0.46855,,,0.2222222222222222,0.4444444444444444,2.075,25.32,0.3283582089552239,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.08333333333333333,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2567,1610612747,Brian Cook,Brian Cook,2567,LAL,4701.0,78,28,150,143,37.0,46.0,20.0,293,6.0,13.0,3.0,8.0,,,1.0,6.0,4.0,11.0,2.0,14.0,35.0,4.0,11.0,4.0,44.0,152,4.0,11.0,10.0,4.0,6.0,2.0,15.0,12.0,16.0,12.0,6.0,11.0,4.0,2.0,5.0,3.0,8.0,3.0,3.0,2.0,19.0,8.0,3.0,8.0,11.0,11.0,22.0,3.0,,3.0,4.0,15.0,4.0,3.0,4.0,,1.0,,,,,15.0,37.0,3.0,0.42857142857142855,0.5454545454545454,1.0,0.36363636363636365,0.36363636363636365,0.4,0.36363636363636365,0.6666666666666666,0.43478260869565216,0.3333333333333333,0.6875,0.4583333333333333,0.38461538461538464,0.75,0.2391304347826087,0.05714285714285714,0.16666666666666666,28.977272727272727,0.1702127659574468,0.16,0.16666666666666666,0.16923076923076924,0.14864864864864866,0.05263157894736842,0.35714285714285715,0.16666666666666666,0.047619047619047616,0.2,,0.2826086956521739,0.46153846153846156,0.5,0.16666666666666666,0.13043478260869565,0.16666666666666666,0.2,0.2391304347826087,0.36363636363636365,0.36363636363636365,1.0,0.6666666666666666,0.375,,,0.25,0.5217391304347826,0.36363636363636365,0.4417945652173913,0.5285333333333333,0.4175125,0.02127659574468085,0.027777777777777776,0.22727272727272727,0.3409090909090909,10.245714285714286,26.40909090909091,0.24666666666666667,7.0,16.0,,,,,1.0,1.0,,1.0,1.0,0.5,,0.34782608695652173,0.4375,0.4375,,,,,,,0.5,3.0,,,,1.0,0.07692307692307693,,0.125,0.05555555555555555,1.0,1.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,0.375,0.06666666666666667,0.3333333333333333,0.19230769230769232,0.7142857142857143,0.08333333333333333,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,2020.0,34,11,65,60,22.0,20.0,10.0,125,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,6.0,8.0,,,,12.0,55,1.0,1.0,2.0,2.0,2.0,,4.0,4.0,8.0,,2.0,,,,1.0,,1.0,,,1.0,2.0,1.0,1.0,4.0,6.0,3.0,9.0,1.0,,2.0,,5.0,,4.0,,,,1.0,,1.0,1.0,4.0,22.0,2.0,0.3333333333333333,0.4,,,,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,,,,12.345679012345679,0.17391304347826086,0.04,0.14285714285714285,0.16666666666666666,0.07692307692307693,,0.16666666666666666,,0.3,,1.0,0.375,0.6666666666666666,0.6666666666666666,0.5,0.25,1.0,1.0,,,,,1.0,1.0,0.5,1.0,,0.375,,0.44308749999999997,0.601,0.48985,,,0.16666666666666666,0.3333333333333333,9.6125,,0.3384615384615385,2.0,3.0,,,,,,,1.0,1.0,1.0,,0.5,0.375,0.6666666666666666,0.6666666666666666,,,,,,,,2.0,1.0,1.0,,2.0,,0.5,0.14285714285714285,0.1,,,,,,,,1.0,,,0.1,,0.25,,0.5,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,True,,,,,,,,,,,,,,
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,3407.0,57,20,106,101,20.0,26.0,14.0,207,,2.0,,1.0,,1.0,,1.0,1.0,2.0,,,6.0,1.0,2.0,1.0,4.0,111,,1.0,,,2.0,,,,,3.0,,2.0,1.0,1.0,,5.0,5.0,4.0,,,15.0,1.0,3.0,4.0,7.0,2.0,9.0,,,1.0,4.0,7.0,,,1.0,,,,,,,,20.0,,,,1.0,0.5,0.5,,,,0.1875,,,0.1875,,,0.25,0.16666666666666666,1.0,7.142857142857143,0.11764705882352941,0.02857142857142857,0.21428571428571427,0.14583333333333334,0.0392156862745098,0.07692307692307693,0.1,0.125,0.125,0.25,,0.25,,,,0.125,,,0.25,0.5,0.5,1.0,1.0,,0.5,,,0.5,0.5,0.46630000000000005,,0.35855,,,,,10.566666666666666,25.1,0.18867924528301888,,3.0,,,,,,,,2.0,,,,0.375,,,,,,,,,,1.0,1.0,,,,,1.0,0.0625,0.09090909090909091,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,4148.0,69,29,135,127,32.0,39.0,18.0,262,8.0,9.0,1.0,1.0,2.0,3.0,3.0,9.0,7.0,13.0,5.0,17.0,28.0,7.0,13.0,9.0,64.0,135,1.0,2.0,2.0,3.0,4.0,5.0,14.0,2.0,32.0,9.0,,12.0,7.0,,3.0,4.0,7.0,3.0,1.0,2.0,18.0,,3.0,5.0,9.0,,9.0,4.0,,12.0,1.0,9.0,1.0,8.0,10.0,1.0,3.0,,,1.0,1.0,14.0,32.0,1.0,0.058823529411764705,0.058823529411764705,0.42857142857142855,0.5384615384615384,0.5833333333333334,0.6071428571428571,0.5,0.75,0.6707317073170732,0.3333333333333333,0.6666666666666666,0.6931818181818182,0.3333333333333333,0.7,0.3170731707317073,,,35.44303797468354,0.11904761904761904,,0.17647058823529413,0.13559322033898305,,,0.08333333333333333,0.18181818181818182,0.10526315789473684,0.21428571428571427,1.0,0.21951219512195122,0.8888888888888888,0.8888888888888888,,0.21951219512195122,0.3333333333333333,0.3333333333333333,0.3170731707317073,0.5384615384615384,0.5833333333333334,0.42857142857142855,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5365853658536586,0.5833333333333334,0.4210375,0.4213,0.431525,0.06976744186046512,0.1,0.03125,0.21875,9.071428571428571,28.399999999999995,0.23703703703703705,6.0,10.0,,,,,2.0,2.0,1.0,5.0,3.0,0.4,0.5,0.24390243902439024,0.6,0.6,,,,,,,0.4,,8.0,6.0,2.0,,,0.6666666666666666,,,1.0,1.0,,2.0,,1.0,,3.0,1.0,1.0,,,,,0.16666666666666666,0.3333333333333333,,,,1.0,2.0,2.0,3.0,12.0,1.0,1.0,1.0,1.0,0.07692307692307693,0.07692307692307693,True,,,,,,,,,,,,,,
243,1610612747,Aaron McKie,Aaron McKie,243,LAL,57.0,1,-1,2,2,,,,4,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
754,1610612747,Jim Jackson,Jim Jackson,754,LAL,171.0,3,2,5,5,,,,10,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,112.0,2,-6,5,5,5.0,5.0,2.0,10,,,,,,,,1.0,,,,,1.0,,,,,10,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,14.285714285714285,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.3353,,0.3353,,,,,7.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,
