EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,HeaveAttempts,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffensiveGoaltends,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsUnassisted3s,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,3SecondViolations,on
1501,1610612756,Tim Thomas,Tim Thomas,1501,PHX,32494.0,542,36,1033,1039,264,245,89.0,2072,23.0,41.0,3.0,9.0,4.0,11.0,15.0,32.0,10.0,19.0,8.0,18.0,1.0,1.0,5.0,34.0,71.0,2.0,4.0,6.0,19.0,48.0,92.0,42.0,89.0,37.0,259.0,1171,4.0,10.0,2.0,5.0,2.0,16.0,9.0,21.0,7.0,24.0,20.0,59.0,40.0,56.0,126.0,6.0,71.0,34.0,8.0,1.0,11.0,11.0,22.0,8.0,3.0,4.0,2.0,5.0,55.0,4.0,11.0,9.0,76.0,3.0,88.0,15.0,103.0,3.0,16.0,9.0,7.0,11.0,2.0,5.0,10.0,6.0,5.0,21.0,1.0,2.0,40.0,73.0,4.0,3.0,40.0,2.0,1.0,48.0,6.0,19.0,8.0,7.0,1.0,1.0,1.0,6.0,8.0,3.0,2.0,59.0,264,14.0,6.0,0.4166666666666667,0.4444444444444444,1.0,0.47191011235955055,0.4,0.2916666666666667,0.47191011235955055,0.5217391304347826,0.4,0.42857142857142855,0.6132596685082873,0.4666666666666667,0.43333333333333335,0.6410891089108911,0.5,0.5267857142857143,0.49171270718232046,0.011235955056179775,0.08695652173913043,0.14634146341463414,0.0625,0.014084507042253521,19.647577092511014,0.5238095238095238,0.125,0.19638242894056848,0.037162162162162164,0.08256880733944955,0.024691358024691357,0.17137096774193547,0.03275109170305677,0.04950495049504951,0.02912621359223301,0.03260869565217391,0.032,0.25925925925925924,0.19736842105263158,0.16233766233766234,0.11392405063291139,0.037037037037037035,0.375,0.2265193370165746,0.5609756097560976,0.6571428571428571,0.43478260869565216,0.17679558011049723,0.46875,0.5,0.4666666666666667,0.10497237569060773,0.5263157894736842,0.5263157894736842,0.3,0.09944751381215469,0.4444444444444444,0.4444444444444444,1.0,0.39226519337016574,0.4788732394366197,0.4857142857142857,1.0,0.6,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.5,1.0,0.24444444444444444,0.36363636363636365,0.1111111111111111,0.2,0.4222222222222222,0.3157894736842105,0.7182320441988951,0.4788732394366197,0.4924635359116022,0.53562,0.48181555555555555,0.0979381443298969,0.18095238095238095,0.06177606177606178,0.2277992277992278,6.931521739130435,25.023595505617976,0.25556631171345595,,,,,,,,,,,,,,,,,,,True
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,50941.0,849,46,1625,1630,470,439,145.0,3255,96.0,135.0,19.0,31.0,26.0,40.0,30.0,86.0,15.0,42.0,15.0,38.0,2.0,2.0,7.0,7.0,32.0,,2.0,2.0,7.0,141.0,263.0,22.0,70.0,59.0,407.0,1826,25.0,46.0,1.0,4.0,4.0,57.0,34.0,65.0,4.0,14.0,26.0,106.0,222.0,60.0,66.0,32.0,30.0,7.0,14.0,,17.0,14.0,31.0,10.0,4.0,10.0,3.0,4.0,76.0,9.0,48.0,36.0,120.0,20.0,176.0,57.0,233.0,10.0,37.0,27.0,10.0,11.0,1.0,5.0,11.0,6.0,5.0,22.0,1.0,5.0,35.0,65.0,2.0,1.0,66.0,7.0,7.0,67.0,7.0,31.0,6.0,22.0,1.0,1.0,4.0,14.0,23.0,11.0,,106.0,470,9.0,6.0,0.7872340425531915,0.888,1.0,0.3142857142857143,0.25,0.2857142857142857,0.3235294117647059,0.5361216730038023,0.5434782608695652,0.5230769230769231,0.5225225225225225,0.53,0.5063291139240507,0.5606060606060606,0.5480769230769231,0.5760869565217391,0.21021021021021022,,0.053231939163498096,0.06666666666666667,0.05813953488372093,,21.556550951847704,0.5,0.5405405405405406,0.20905923344947736,0.09775967413441955,0.20689655172413793,0.0391304347826087,0.20855614973262032,0.07905686546463246,0.1144578313253012,0.07407407407407407,0.10429447852760736,0.04597701149425287,0.14728682170542637,0.21875,0.23529411764705882,0.20588235294117646,0.06578947368421052,0.4782608695652174,0.40540540540540543,0.7111111111111111,0.7619047619047619,0.7916666666666666,0.25825825825825827,0.3488372093023256,0.37037037037037035,0.7333333333333333,0.12612612612612611,0.35714285714285715,0.35714285714285715,0.8666666666666667,0.11411411411411411,0.39473684210526316,0.39473684210526316,1.0,0.0960960960960961,0.21875,0.21875,1.0,0.62,0.6129032258064516,0.04,0.04,,,0.5063291139240507,0.65,0.08860759493670886,0.2857142857142857,0.08860759493670886,0.2857142857142857,0.6156156156156156,0.23333333333333334,0.5101170694864048,0.5134511904761906,0.5224192307692308,0.08683473389355742,0.10801393728222997,0.14004914004914004,0.26044226044226043,5.749429657794678,24.978571428571428,0.28923076923076924,1.0,2.0,1.0,1.0,4.0,1.0,0.017857142857142856,0.21052631578947367,0.3157894736842105,0.5,1.0,,,,,,,,True
1952,1610612756,Raja Bell,Raja Bell,1952,PHX,35065.0,584,24,1130,1133,327,304,94.0,2263,7.0,15.0,,1.0,4.0,7.0,6.0,15.0,22.0,39.0,15.0,24.0,1.0,6.0,8.0,19.0,47.0,,1.0,7.0,12.0,35.0,69.0,34.0,71.0,29.0,201.0,1289,3.0,5.0,,2.0,4.0,10.0,11.0,22.0,13.0,20.0,12.0,73.0,32.0,38.0,96.0,,47.0,19.0,7.0,1.0,20.0,10.0,30.0,6.0,4.0,9.0,4.0,7.0,70.0,4.0,2.0,10.0,18.0,4.0,32.0,6.0,38.0,,9.0,5.0,4.0,5.0,1.0,3.0,4.0,2.0,,9.0,,4.0,17.0,61.0,2.0,1.0,52.0,3.0,18.0,35.0,3.0,12.0,7.0,2.0,2.0,2.0,,1.0,4.0,3.0,,73.0,327,15.0,6.0,0.45714285714285713,0.45714285714285713,0.9411764705882353,0.4788732394366197,,0.65,0.4788732394366197,0.5072463768115942,0.6,0.5,0.6142857142857143,0.42857142857142855,0.7261904761904762,0.6442307692307693,0.5,0.7448979591836735,0.5071428571428571,0.014084507042253521,0.10144927536231885,0.13333333333333333,0.26666666666666666,0.02127659574468085,13.414634146341463,0.5555555555555556,0.19047619047619047,0.046753246753246755,0.006289308176100629,0.0847457627118644,0.023668639053254437,0.055666003976143144,0.012320328542094456,0.009259259259259259,0.01,,0.031746031746031744,0.012195121951219513,0.04375,0.06993006993006994,0.07608695652173914,,0.75,0.10714285714285714,0.4666666666666667,0.5384615384615384,,0.10714285714285714,0.4,0.5454545454545454,0.5,0.2785714285714286,0.5641025641025641,0.5789473684210527,0.5909090909090909,0.17142857142857143,0.625,0.625,1.0,0.3357142857142857,0.40425531914893614,0.41304347826086957,0.8947368421052632,0.14285714285714285,,0.14285714285714285,0.14285714285714285,,,0.16666666666666666,0.5714285714285714,0.19047619047619047,0.75,0.2857142857142857,0.5833333333333334,0.6142857142857143,0.40425531914893614,0.48329214285714295,0.45933,0.48607619047619044,0.08053691275167785,0.15384615384615385,0.04975124378109453,0.36318407960199006,12.634782608695653,24.812676056338027,0.28938053097345134,,,1.0,,1.0,,,0.11538461538461539,,,,6.0,0.02564102564102564,,,,,,True
2067,1610612756,Eddie House,Eddie House,2067,PHX,4415.0,74,-35,137,133,58,50,17.0,270,1.0,3.0,,,1.0,1.0,1.0,2.0,9.0,18.0,,1.0,1.0,,1.0,,5.0,,,,1.0,11.0,23.0,,6.0,,22.0,180,1.0,1.0,,1.0,,2.0,6.0,10.0,,2.0,,12.0,18.0,4.0,,,4.0,,,,4.0,,4.0,,,1.0,2.0,1.0,8.0,,,2.0,2.0,,4.0,,4.0,,,,,2.0,,1.0,1.0,1.0,,3.0,,2.0,2.0,4.0,,1.0,4.0,,1.0,,,,,1.0,,,,1.0,1.0,,,12.0,58,1.0,,0.8181818181818182,0.8181818181818182,,,,,,0.4782608695652174,1.0,0.6,0.3793103448275862,0.5,0.5,0.3793103448275862,0.5,0.5,0.20689655172413793,,,,,,20.38216560509554,0.6666666666666666,,0.05405405405405406,,0.14285714285714285,,0.0784313725490196,,,,,,,0.06666666666666667,0.0625,0.09090909090909091,,,0.10344827586206896,0.3333333333333333,0.3333333333333333,1.0,0.06896551724137931,0.5,0.5,1.0,0.6206896551724138,0.5,0.5,0.7777777777777778,0.034482758620689655,,,,0.1724137931034483,,,,,,0.5,,,,0.08333333333333333,1.0,0.08333333333333333,,0.08333333333333333,,0.3103448275862069,,0.44081964285714287,0.38734999999999997,0.43140833333333334,,,0.09090909090909091,0.5454545454545454,16.491304347826084,27.516666666666666,0.4233576642335766,,1.0,,,,,,0.3333333333333333,,,,,,,,,,,True
2571,1610612756,Leandro Barbosa,Leandro Barbosa,2571,PHX,31114.0,519,-6,992,999,375,348,90.0,1991,44.0,68.0,4.0,5.0,20.0,29.0,8.0,27.0,7.0,24.0,2.0,11.0,1.0,,5.0,20.0,46.0,1.0,7.0,7.0,17.0,59.0,119.0,22.0,57.0,41.0,225.0,1136,4.0,5.0,1.0,8.0,2.0,13.0,23.0,47.0,7.0,22.0,27.0,94.0,40.0,78.0,51.0,,44.0,20.0,11.0,,23.0,18.0,41.0,11.0,7.0,8.0,8.0,7.0,100.0,2.0,3.0,8.0,12.0,,20.0,5.0,25.0,,10.0,8.0,2.0,10.0,1.0,7.0,13.0,3.0,1.0,23.0,2.0,12.0,22.0,59.0,2.0,3.0,40.0,2.0,3.0,49.0,4.0,15.0,10.0,3.0,,,1.0,2.0,3.0,1.0,,94.0,375,9.0,9.0,0.3389830508474576,0.3389830508474576,0.7727272727272727,0.38596491228070173,0.125,0.3181818181818182,0.4,0.4957983193277311,0.8,0.48936170212765956,0.5227272727272727,0.4230769230769231,0.4855072463768116,0.5681818181818182,0.4642857142857143,0.5529411764705883,0.32386363636363635,,0.09243697478991597,0.11764705882352941,0.1111111111111111,,20.201096892138942,0.43478260869565216,,0.03550295857988166,0.009554140127388535,0.07407407407407407,0.016,0.04484304932735426,0.011389521640091117,0.00909090909090909,0.009345794392523364,0.010309278350515464,0.01098901098901099,0.024691358024691357,0.01652892561983471,0.058823529411764705,0.09302325581395349,,0.3333333333333333,0.38636363636363635,0.6470588235294118,0.7333333333333333,0.36363636363636365,0.1534090909090909,0.2962962962962963,0.3333333333333333,0.25,0.13636363636363635,0.2916666666666667,0.2916666666666667,0.2857142857142857,0.0625,0.18181818181818182,0.18181818181818182,1.0,0.26136363636363635,0.43478260869565216,0.43478260869565216,0.75,0.38461538461538464,0.8,0.07692307692307693,0.5384615384615384,0.14285714285714285,1.0,0.42028985507246375,0.6896551724137931,0.07246376811594203,,0.2463768115942029,0.4117647058823529,0.7102272727272727,0.45454545454545453,0.5184181034482759,0.561375,0.5181888059701493,0.0851063829787234,0.11538461538461539,0.057777777777777775,0.4177777777777778,5.749579831932772,25.803508771929824,0.3780241935483871,,2.0,4.0,1.0,,,0.029411764705882353,,0.25,,,15.0,,1.0,1.0,0.017241379310344827,,,True
2564,1610612756,Boris Diaw,Boris Diaw,2564,PHX,40558.0,676,60,1297,1295,349,304,121.0,2592,64.0,101.0,8.0,18.0,10.0,22.0,34.0,71.0,28.0,71.0,1.0,1.0,,,,,4.0,,,,3.0,126.0,243.0,1.0,5.0,57.0,312.0,1432,12.0,25.0,,,3.0,27.0,23.0,52.0,,3.0,23.0,69.0,142.0,110.0,3.0,12.0,4.0,,18.0,,53.0,37.0,90.0,25.0,12.0,28.0,6.0,19.0,217.0,11.0,19.0,28.0,53.0,3.0,84.0,30.0,114.0,7.0,14.0,11.0,3.0,20.0,10.0,12.0,25.0,8.0,2.0,45.0,3.0,16.0,32.0,54.0,3.0,12.0,72.0,3.0,4.0,68.0,15.0,37.0,4.0,17.0,1.0,1.0,9.0,7.0,18.0,12.0,,69.0,349,2.0,4.0,0.5634920634920635,0.5916666666666667,1.0,0.2,,,0.2,0.5185185185185185,0.48,0.4423076923076923,0.5141129032258065,0.48,0.41818181818181815,0.5675182481751825,0.5,0.5230769230769231,0.020161290322580645,,0.07407407407407407,0.07920792079207921,0.14084507042253522,,22.323303009097273,0.4444444444444444,0.1,0.11597374179431072,0.04846938775510204,0.1917808219178082,0.059782608695652176,0.13432835820895522,0.052083333333333336,0.06766917293233082,0.064,0.014925373134328358,0.05714285714285714,0.11009174311926606,0.09550561797752809,0.1411764705882353,0.1565217391304348,0.07,0.6666666666666666,0.40725806451612906,0.6336633663366337,0.6881720430107527,0.5625,0.2862903225806452,0.4788732394366197,0.5573770491803278,0.3235294117647059,0.2862903225806452,0.39436619718309857,0.39436619718309857,0.8571428571428571,0.004032258064516129,1.0,1.0,1.0,0.016129032258064516,,,,0.72,0.4444444444444444,,,,,0.4,0.45454545454545453,,,0.05454545454545454,,0.4274193548387097,,0.4652796370967742,0.5060058823529412,0.45054272727272726,0.13703703703703704,0.13962264150943396,0.08653846153846154,0.22115384615384615,7.539506172839506,24.839999999999996,0.2690824980724749,,,,,1.0,,0.06818181818181818,0.3225806451612903,0.375,,,,,,4.0,,1.0,1.0,True
959,1610612756,Steve Nash,Steve Nash,959,PHX,43403.0,723,89,1389,1398,378,372,115.0,2787,64.0,96.0,4.0,6.0,15.0,29.0,15.0,35.0,27.0,56.0,2.0,5.0,2.0,1.0,1.0,27.0,76.0,3.0,7.0,6.0,23.0,106.0,187.0,29.0,81.0,73.0,372.0,1528,5.0,9.0,5.0,9.0,3.0,28.0,25.0,50.0,7.0,24.0,34.0,105.0,18.0,194.0,48.0,2.0,76.0,27.0,11.0,,137.0,45.0,182.0,32.0,13.0,85.0,22.0,30.0,409.0,4.0,4.0,18.0,39.0,,57.0,8.0,65.0,2.0,8.0,7.0,1.0,45.0,12.0,28.0,18.0,17.0,3.0,63.0,3.0,13.0,14.0,36.0,1.0,2.0,75.0,3.0,6.0,80.0,7.0,23.0,15.0,4.0,,,2.0,2.0,4.0,2.0,,105.0,378,4.0,14.0,0.08490566037735849,0.08571428571428572,0.5517241379310345,0.35802469135802467,0.5555555555555556,0.2916666666666667,0.35802469135802467,0.5668449197860963,0.5555555555555556,0.5,0.5578358208955224,0.6944444444444444,0.4797297297297297,0.6070234113712375,0.7368421052631579,0.5842696629213483,0.30223880597014924,,0.058823529411764705,0.10416666666666667,0.02857142857142857,,23.862887277521423,0.7142857142857143,,0.07572815533980583,0.009925558312655087,0.12,0.019801980198019802,0.08571428571428572,0.013223140495867768,0.006993006993006993,0.015267175572519083,0.007751937984496124,0.01948051948051948,0.05042016806722689,0.07462686567164178,0.09230769230769231,0.11965811965811966,0.01680672268907563,0.5,0.3582089552238806,0.6666666666666666,0.7441860465116279,0.09375,0.13059701492537312,0.42857142857142855,0.4411764705882353,,0.208955223880597,0.48214285714285715,0.48214285714285715,0.1111111111111111,0.018656716417910446,0.4,0.4,1.0,0.2835820895522388,0.35526315789473684,0.35526315789473684,0.5185185185185185,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.3888888888888889,0.42857142857142855,0.3333333333333333,0.3918918918918919,0.5172413793103449,0.013513513513513514,1.0,0.3108108108108108,0.2608695652173913,0.6604477611940298,0.35526315789473684,0.49562332089552236,0.5360791666666668,0.484872972972973,0.08098591549295775,0.11330049261083744,0.07526881720430108,0.28225806451612906,6.918716577540108,25.460493827160494,0.27213822894168466,2.0,,1.0,,,,0.020833333333333332,0.12121212121212122,,1.0,1.0,39.0,,,,,11.0,,True
2592,1610612756,James Jones,James Jones,2592,PHX,16494.0,275,27,514,515,125,128,53.0,1029,4.0,10.0,2.0,4.0,,1.0,1.0,4.0,12.0,29.0,1.0,3.0,,,,6.0,15.0,,,,2.0,17.0,43.0,7.0,18.0,19.0,74.0,554,3.0,10.0,,,5.0,11.0,2.0,8.0,,2.0,7.0,11.0,22.0,12.0,21.0,4.0,15.0,6.0,1.0,,2.0,2.0,4.0,1.0,1.0,1.0,,1.0,10.0,6.0,8.0,5.0,32.0,,37.0,14.0,51.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,6.0,,1.0,7.0,,2.0,13.0,22.0,,3.0,23.0,2.0,4.0,22.0,1.0,8.0,4.0,11.0,,,4.0,4.0,11.0,7.0,,11.0,125,,3.0,0.6470588235294118,0.7333333333333333,1.0,0.3888888888888889,,,0.3888888888888889,0.3953488372093023,0.3,0.25,0.45081967213114754,0.3,0.2,0.5138888888888888,0.4230769230769231,0.39285714285714285,0.29508196721311475,,0.023255813953488372,,0.25,,13.612565445026178,0.14285714285714285,,0.1807909604519774,0.045714285714285714,0.1,0.09375,0.16299559471365638,0.058577405857740586,0.06521739130434782,0.06349206349206349,0.015151515151515152,0.1,0.10526315789473684,0.2028985507246377,0.2,0.11627906976744186,0.08333333333333333,0.6363636363636364,0.16393442622950818,0.4,0.4,0.25,0.06557377049180328,0.25,0.3333333333333333,1.0,0.47540983606557374,0.41379310344827586,0.41379310344827586,0.75,0.04918032786885246,0.3333333333333333,0.3333333333333333,1.0,0.2459016393442623,0.4,0.4,1.0,0.4,0.5,,,,,0.1,,,,0.2,,0.45901639344262296,0.4,0.47229016393442624,0.48433333333333334,0.45369000000000004,0.11764705882352941,0.16,0.14864864864864866,0.14864864864864866,13.867441860465116,25.28888888888889,0.24319066147859922,,,,,3.0,,0.07142857142857142,,,,,,,,2.0,,,,True
258,1610612756,Brian Grant,Brian Grant,258,PHX,221.0,4,-11,8,8,4,5,1.0,16,,,,,,,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,22.22222222222222,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.39095,,,,,,,15.55,,0.5,,,,,,,,,,,,,,,,,,,True
1501,1610612756,Tim Thomas,Tim Thomas,1501,PHX,5641.0,94,-5,178,178,48,62,15.0,356,7.0,8.0,1.0,2.0,,,3.0,7.0,2.0,5.0,2.0,6.0,1.0,1.0,2.0,4.0,13.0,1.0,1.0,1.0,4.0,12.0,20.0,6.0,19.0,1.0,43.0,210,1.0,4.0,1.0,2.0,1.0,6.0,,1.0,2.0,6.0,,6.0,12.0,12.0,18.0,,12.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,,1.0,,,8.0,1.0,,4.0,15.0,3.0,22.0,1.0,23.0,,2.0,2.0,,1.0,,,,1.0,,1.0,,1.0,11.0,17.0,1.0,,4.0,,,1.0,1.0,1.0,,,,,,,,,,6.0,48,2.0,,0.5,0.5,1.0,0.3157894736842105,0.5,0.3333333333333333,0.3333333333333333,0.6,0.25,,0.5384615384615384,0.4166666666666667,0.42857142857142855,0.5512820512820513,0.5,0.42857142857142855,0.48717948717948717,0.05263157894736842,0.05,0.125,,0.07692307692307693,20.61855670103093,1.0,0.42857142857142855,0.21739130434782608,,0.23529411764705882,0.037037037037037035,0.22093023255813954,0.01282051282051282,,,,,0.17391304347826086,0.2,0.25806451612903225,0.2,,,0.20512820512820512,0.875,1.0,0.7142857142857143,0.1794871794871795,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.1282051282051282,0.4,0.4,,0.15384615384615385,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3076923076923077,0.3333333333333333,1.0,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,,,0.2857142857142857,0.5,0.5714285714285714,0.25,0.6923076923076923,0.3333333333333333,0.49062500000000003,0.45255,0.4291666666666667,0.02564102564102564,0.05,0.13953488372093023,0.13953488372093023,7.6450000000000005,27.56315789473684,0.2696629213483146,,1.0,,,,,0.125,0.5,1.0,,,,,,,,,,False
