EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGM,PtsUnassisted3s,ShortMidRangeAssists,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChanceFG2M,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,3SecondViolations,SecondChanceFg2Pct,DefAtRimReboundPct,Corner3Assists,DefThreePtRebounds,DefThreePtReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,BadPassOutOfBoundsTurnovers,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,LongMidRangePctBlocked,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,DefArc3ReboundPct,HeaveAttempts,BlockedAtRim,BlockedLongMidRange,Defensive 3 Seconds Violations,OffCorner3ReboundPct,DefensiveGoaltends,on,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,664.0,11,3,24,21,22,3,2.0,45,4.0,2.0,2.0,2.0,6.0,4.0,24,1.0,2.0,5.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,22,1.0,1.0,0.3333333333333333,0.4,0.3333333333333333,0.4,0.3333333333333333,0.4,0.3333333333333333,0.5,20.689655172413794,0.6,0.07692307692307693,0.6,0.07692307692307693,0.16666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3989,0.4616,0.38636,1.0,12.366666666666667,0.9166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,3082.0,51,-26,97,97,41,38,16.0,194,1.0,1.0,4.0,2.0,8.0,30.0,110,,1.0,5.0,16.0,2.0,1.0,2.0,,2.0,,1.0,4.0,2.0,4.0,5.0,3.0,8.0,5.0,16.0,41,0.5,0.5,0.25,0.2,0.5833333333333334,0.5384615384615384,0.6,0.5714285714285714,0.125,,21.487603305785125,0.15384615384615385,0.04,0.13333333333333333,0.04411764705882353,0.0625,0.1,0.25,0.041666666666666664,0.16666666666666666,0.25,0.25,,0.46323333333333333,0.52265,0.4510923076923076,0.5333333333333333,9.6125,0.422680412371134,1.0,3.0,2.0,3.0,1.0,2.0,8.0,13.0,1.0,2.0,4.0,6.0,8.0,16.0,2.0,1.0,3.0,2.0,5.0,4.0,8.0,2.0,2.0,24.0,13.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,0.5,0.625,0.6666666666666666,0.3333333333333333,1.0,0.14285714285714285,0.05555555555555555,0.047619047619047616,0.07692307692307693,0.08333333333333333,0.125,0.3333333333333333,0.5,1.0,0.125,0.5416666666666666,0.6153846153846154,0.6153846153846154,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.6666666666666666,0.7916666666666666,0.6153846153846154,0.16666666666666666,25.9875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,8401.0,140,-41,269,265,107,101,41.0,534,8.0,6.0,22.0,15.0,40.0,55.0,291,1.0,5.0,11.0,27.0,14.0,2.0,17.0,3.0,20.0,3.0,8.0,43.0,2.0,4.0,4.0,3.0,7.0,6.0,27.0,107,0.4666666666666667,0.4666666666666667,0.375,0.45454545454545453,0.3559322033898305,0.42105263157894735,0.4090909090909091,0.52,0.05,0.125,21.766561514195583,0.05263157894736842,0.015873015873015872,0.041666666666666664,0.019230769230769232,,0.03571428571428571,0.0967741935483871,0.13559322033898305,0.3728813559322034,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.4623542372881355,0.466975,0.47234210526315795,0.4909090909090909,11.677499999999998,0.39776951672862454,6.0,10.0,4.0,2.0,,1.0,3.0,17.0,,2.0,2.0,7.0,4.0,19.0,13.0,,2.0,,,2.0,8.0,11.0,16.0,6.0,17.0,3.0,7.0,1.0,,1.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,14.0,17.0,4.0,1.0,4.0,0.5,0.21052631578947367,,0.25,0.21052631578947367,,,0.3220338983050847,0.1,1.0,,0.03333333333333333,,0.043478260869565216,0.02631578947368421,0.1694915254237288,0.6,0.6666666666666666,0.5,0.03389830508474576,0.288135593220339,0.17647058823529413,0.17647058823529413,0.3333333333333333,,0.6666666666666666,,,0.21052631578947367,0.05263157894736842,0.3684210526315789,0.2857142857142857,0.4915254237288136,0.17647058823529413,,25.21578947368421,3.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,1.0,0.06060606060606061,0.375,0.42857142857142855,0.6666666666666666,0.5,0.5,1.0,0.75,0.06451612903225806,0.07142857142857142,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1922,1610612743,Francisco Elson,Francisco Elson,1922,DEN,3436.0,57,-41,114,114,50,39,14.0,228,,3.0,5.0,3.0,5.0,6.0,138,2.0,,1.0,,6.0,,1.0,1.0,2.0,1.0,,5.0,2.0,5.0,5.0,2.0,7.0,8.0,,50,1.0,1.0,0.6,,0.6,,0.6,,,,6.106870229007633,0.18518518518518517,0.03636363636363636,0.14705882352941177,0.029850746268656716,,0.2,0.18181818181818182,,1.0,0.6,0.6,1.0,0.40044,0.3698,0.4138,,18.18,0.43859649122807015,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,4.0,1.0,3.0,1.0,,3.0,1.0,4.0,6.0,,,2.0,,,,,,,1.0,1.0,,,0.3333333333333333,,,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,2.0,,,,,0.05263157894736842,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
2035,1610612743,DerMarr Johnson,DerMarr Johnson,2035,DEN,1191.0,20,-17,39,39,15,17,3.0,78,,,,1.0,1.0,2.0,48,,1.0,1.0,2.0,2.0,,,2.0,2.0,1.0,,6.0,,4.0,5.0,,5.0,1.0,2.0,15,1.0,1.0,1.0,1.0,0.125,0.3333333333333333,0.125,0.3333333333333333,,,19.047619047619047,0.36363636363636365,,0.29411764705882354,,,1.0,0.3333333333333333,,,,,,0.5500124999999999,,0.5659,1.0,,0.38461538461538464,1.0,1.0,1.0,4.0,,1.0,,3.0,,,,1.0,,7.0,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,0.125,1.0,1.0,1.0,0.5,0.375,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,,,24.614285714285717,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,True,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,6019.0,100,-9,192,189,88,84,28.0,381,10.0,6.0,25.0,18.0,55.0,55.0,188,10.0,3.0,15.0,19.0,10.0,6.0,5.0,2.0,7.0,2.0,1.0,16.0,5.0,9.0,10.0,5.0,15.0,10.0,19.0,88,0.2777777777777778,0.3125,0.32727272727272727,0.2,0.3157894736842105,0.2,0.39285714285714285,0.3958333333333333,0.10909090909090909,0.1,33.1858407079646,0.15517241379310345,0.05263157894736842,0.14084507042253522,0.045871559633027525,,0.19047619047619047,0.14814814814814814,0.17543859649122806,0.43859649122807015,0.24,0.25,0.5,0.4430921052631579,0.49110000000000004,0.4086933333333333,0.34545454545454546,9.883636363636365,0.4583333333333333,9.0,20.0,5.0,,,,,2.0,,1.0,,,,2.0,19.0,,1.0,,6.0,,,13.0,26.0,,2.0,,4.0,,,5.0,2.0,,2.0,1.0,,5.0,1.0,2.0,21.0,26.0,4.0,4.0,4.0,,,,,,0.2727272727272727,0.2727272727272727,0.03508771929824561,0.2,0.2,,,0.020833333333333332,,0.15625,0.3508771929824561,0.45,0.5625,0.1111111111111111,,0.03508771929824561,,,,,0.09090909090909091,,,0.3333333333333333,,,,0.38596491228070173,,0.10909090909090909,24.1,2.0,3.0,,,,1.0,,,9.0,,0.15384615384615385,0.3,0.3333333333333333,0.3333333333333333,,,,0.4,0.13636363636363635,0.140625,,3.0,4.0,1.0,2.0,,2.0,,,0.3,0.1,,1.0,0.07692307692307693,0.25,3.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04,1.0,0.7272727272727273,0.375,,,,,,,,True,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,4922.0,82,-18,158,153,52,52,25.0,311,10.0,4.0,10.0,14.0,32.0,35.0,181,6.0,6.0,10.0,16.0,16.0,3.0,9.0,1.0,10.0,1.0,4.0,21.0,5.0,2.0,4.0,5.0,9.0,8.0,16.0,52,0.5714285714285714,0.5714285714285714,0.4375,0.6,0.4375,0.6,0.47297297297297297,0.6153846153846154,0.09375,0.1,23.913043478260867,0.05,0.07462686567164178,0.07142857142857142,0.0625,0.08333333333333333,0.05263157894736842,0.09090909090909091,0.3125,0.3125,0.4,0.4,1.0,0.465003125,0.4297333333333333,0.47611,0.45714285714285713,8.625000000000002,0.3291139240506329,5.0,12.0,4.0,,,,,,,,,,,,7.0,,,,6.0,,,4.0,12.0,,,,5.0,,,2.0,1.0,,1.0,2.0,2.0,7.0,1.0,3.0,7.0,10.0,1.0,,1.0,,,,,,0.5,0.42857142857142855,,0.16666666666666666,0.2857142857142857,,,0.05128205128205128,,0.13333333333333333,0.375,0.4166666666666667,0.5,0.4,,,,,,,,,,0.4,,,,0.375,,0.17142857142857143,,2.0,5.0,,,,,,,4.0,,0.125,0.5,0.5555555555555556,0.4,,,,0.5,0.1111111111111111,0.1111111111111111,,3.0,5.0,,,1.0,1.0,1.0,,0.5,,,2.0,0.125,0.25,,1.0,,1.0,4.0,,,,,,,0.16666666666666666,,0.08333333333333333,,,,,,,True,,,,
2501,1610612743,Reggie Evans,Reggie Evans,2501,DEN,3206.0,53,-10,104,102,38,36,17.0,206,,,1.0,3.0,5.0,14.0,108,3.0,2.0,2.0,6.0,4.0,,,,,,,,6.0,4.0,10.0,7.0,17.0,8.0,6.0,38,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855,0.6666666666666666,0.5384615384615384,0.6,,,13.709677419354838,0.14285714285714285,0.12,0.14705882352941177,0.11290322580645161,0.15384615384615385,0.2222222222222222,0.08333333333333333,,0.14285714285714285,,,,0.5331600000000001,0.5097666666666667,0.45345,0.42857142857142855,3.4200000000000004,0.36538461538461536,3.0,4.0,2.0,,,,,2.0,,,,1.0,,2.0,8.0,,,5.0,7.0,,1.0,2.0,2.0,,1.0,,,1.0,5.0,,2.0,1.0,1.0,1.0,,4.0,2.0,5.0,8.0,12.0,3.0,1.0,2.0,,,,,,0.3333333333333333,0.5833333333333334,0.2857142857142857,,0.25,0.7142857142857143,0.08333333333333333,0.09090909090909091,0.1111111111111111,,0.5714285714285714,0.75,0.75,0.6666666666666666,,0.2857142857142857,,,,,,,,0.6666666666666666,,0.3333333333333333,,0.8571428571428571,,0.5,53.400000000000006,2.0,,,,,1.0,,,3.0,,0.13333333333333333,,,,,,,1.0,0.3,0.375,,1.0,3.0,1.0,,,1.0,,2.0,0.3333333333333333,0.14285714285714285,,1.0,0.16666666666666666,,1.0,2.0,2.0,,,1.0,,1.0,1.0,,1.0,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,,,,,True,,,,
1739,1610612743,Ruben Patterson,Ruben Patterson,1739,DEN,2584.0,43,-18,83,82,30,24,14.0,165,3.0,,,8.0,12.0,16.0,93,2.0,3.0,5.0,6.0,10.0,1.0,3.0,,3.0,,1.0,6.0,4.0,1.0,1.0,4.0,5.0,3.0,6.0,30,0.625,0.8333333333333334,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.08333333333333333,,14.583333333333334,0.041666666666666664,0.0975609756097561,0.034482758620689655,0.08163265306122448,,,,0.25,,,,,0.5817,0.6074,0.59704,0.375,2.1833333333333336,0.3614457831325301,7.0,9.0,4.0,,,,,,,,,,,,,,,,4.0,,,,6.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,2.0,2.0,2.0,5.0,1.0,,1.0,,,,,,,1.0,1.0,,0.1111111111111111,0.5,,,0.15789473684210525,,0.3333333333333333,0.75,0.7777777777777778,0.875,0.7142857142857143,,,,,,,,,,0.8,,,,0.75,,0.25,,3.0,1.0,,,1.0,,1.0,,1.0,,0.1,0.3333333333333333,0.3333333333333333,,,,,0.75,0.08333333333333333,0.08333333333333333,,2.0,1.0,1.0,,,,,,1.0,0.14285714285714285,,,,,2.0,2.0,4.0,,,,,,,,,1.0,1.0,,,,,,,,True,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,4746.0,79,-23,148,145,56,65,25.0,293,3.0,4.0,15.0,7.0,24.0,19.0,158,3.0,1.0,8.0,4.0,12.0,,3.0,,3.0,,1.0,6.0,5.0,10.0,19.0,6.0,25.0,6.0,4.0,56,0.8571428571428571,1.0,0.2916666666666667,0.125,0.2916666666666667,0.125,0.3392857142857143,0.2,,,17.045454545454547,0.21739130434782608,0.07246376811594203,0.25862068965517243,0.07142857142857142,0.16666666666666666,0.3157894736842105,0.058823529411764705,0.125,0.625,0.26666666666666666,0.26666666666666666,1.0,0.44098333333333334,0.49123333333333336,0.42662500000000003,0.21052631578947367,12.6875,0.3783783783783784,3.0,6.0,2.0,,,,,,,,,,,,5.0,,,,2.0,,,2.0,2.0,,,,1.0,1.0,4.0,,2.0,2.0,,1.0,1.0,2.0,2.0,4.0,11.0,9.0,1.0,,1.0,,,,,,0.3333333333333333,0.3333333333333333,,,0.5,0.5,0.06666666666666667,0.04878048780487805,,,0.25,0.5,0.5,0.6666666666666666,,,,,,,,,,0.25,,,,0.25,,0.10526315789473684,,,,,,1.0,1.0,1.0,,4.0,,0.0625,,,,,,,,0.14814814814814814,0.14814814814814814,,1.0,1.0,,,1.0,,4.0,,0.3333333333333333,0.3,,5.0,0.4166666666666667,0.5,1.0,2.0,2.0,1.0,,8.0,3.0,8.0,4.0,,0.5,0.6666666666666666,0.5,0.375,,4.0,1.0,1.0,0.25,,True,,,,
