EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PtsAssisted2s,OffTwoPtRebounds,OffRebounds,Rebounds,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimPctAssisted,DefTwoPtRebounds,DefRebounds,Steals,BadPassSteals,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,FG3A,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsPutbacks,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,SecondChancePointsPct,Avg3ptShotDistance,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,on,Fg2aBlocked,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,LongMidRangeFGM,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,Loose Ball Fouls,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,BlockedShortMidRange,ShortMidRangePctBlocked,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,FTOffRebounds,StepOutOfBoundsTurnovers,DefensiveGoaltends,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts
101120,1610612751,Antoine Wright,Antoine Wright,101120,NJN,522.0,9.0,6.0,16.0,15,16.0,15,3.0,31,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,8.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,16.0,1.0,0.25,0.25,0.25,0.25,0.4,0.4,25.0,0.25,1.0,1.0,0.25,0.5,0.25,1.0,0.25,0.36785,0.2549,0.36785,0.25,0.25,1.0,12.675,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,1610612751,John Thomas,John Thomas,1519,NJN,492.0,8.0,7.0,14.0,14,14.0,14,3.0,28,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,7.0,1.0,1.0,2.0,,2.0,,,,,,,2.0,14.0,,0.5,0.5,0.5,0.5,0.5,0.5,11.11111111111111,0.5,1.0,1.0,0.5,,0.5,1.0,0.5,0.46955,0.4173,0.46955,,,1.0,3.55,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.1,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,1610612751,Jacque Vaughn,Jacque Vaughn,1521,NJN,362.0,6.0,5.0,11.0,12,11.0,12,2.0,23,,1.0,,1.0,1.0,1.0,,3.0,,,4.0,,,3.0,,,,,,,,,,11.0,,,,,,,,21.428571428571427,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.40443333333333337,,0.40443333333333337,,,,10.933333333333332,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,0.25,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,1610612751,Scott Padgett,Scott Padgett,1909,NJN,537.0,9.0,6.0,16.0,16,16.0,16,3.0,32,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,,1.0,3.0,16.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,15.0,0.5,1.0,1.0,,,0.5,1.0,1.0,0.497425,0.5183,0.497425,,,1.0,,1.0,,2.0,2.0,3.0,,,0.2222222222222222,0.2,,,1.0,1.0,1.0,1.0,0.2,0.14285714285714285,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.75,0.5,0.5,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2565,1610612751,Zoran Planinic,Zoran Planinic,2565,NJN,337.0,6.0,5.0,12.0,11,12.0,11,1.0,23,,1.0,,1.0,,,,1.0,,,6.0,,,1.0,,,,1.0,2.0,,1.0,,,12.0,,,,,,,,23.076923076923077,1.0,,,,,1.0,,1.0,0.4057,,0.4057,0.5,0.5,,3.4,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,,0.3333333333333333,0.25,,,,,,,,,,,,,1.0,,,,,,,0.5,,,,,,,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,1610612751,Lamond Murray,Lamond Murray,441,NJN,375.0,6.0,2.0,9.0,9,9.0,9,3.0,18,,,,,1.0,1.0,,2.0,2.0,5.0,6.0,,,2.0,2.0,5.0,,1.0,2.0,,,1.0,5.0,9.0,1.0,,,0.5,0.5,0.625,0.625,30.769230769230766,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.3873166666666667,,0.3873166666666667,,,1.0,15.3,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,0.3333333333333333,,,,,,,,24.3,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,1610612751,Bostjan Nachbar,Bostjan Nachbar,2411,NJN,45.0,1.0,-1.0,2.0,2,2.0,2,,4,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,1610612751,Vince Carter,Vince Carter,1713,NJN,15.0,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101120,1610612751,Antoine Wright,Antoine Wright,101120,NJN,73.0,1.0,-2.0,3.0,3,3.0,3,,6,,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,1610612751,John Thomas,John Thomas,1519,NJN,2847.0,47.0,-15.0,89.0,87,32.0,33,11.0,176,2.0,3.0,,,1.0,,2.0,4.0,1.0,5.0,105.0,,,,1.0,1.0,,3.0,2.0,,1.0,,1.0,32.0,,0.5,,0.5,,0.5,0.5,9.523809523809524,0.75,0.6666666666666666,1.0,0.25,,,,0.75,0.51295,,,0.2,0.2,0.2,2.0,0.3595505617977528,4.0,3.0,3.0,9.0,1.0,1.0,0.08823529411764706,0.06818181818181818,0.07142857142857142,1.0,3.0,6.0,3.0,3.0,0.1875,0.16129032258064516,,,,,,,,1.0,1.0,,,5.0,15.0,1.0,,,0.5,,0.125,,,,,,0.2,,2.0,,2.0,,,4.0,,3.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,False,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.4,0.14285714285714285,0.13333333333333333,0.08333333333333333,0.42857142857142855,0.2222222222222222,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
