EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,OffAtRimReboundPct,BadPassOutOfBoundsTurnovers,BlockedAtRim,PtsPutbacks,StepOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Defensive 3 Seconds Violations,DefCorner3ReboundPct,ShortMidRangeAssists,FTOffRebounds,OffFTReboundPct,Corner3Assists,BlockedLongMidRange,OffCorner3ReboundPct,on,PtsUnassisted3s,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,3SecondViolations,LongMidRangePctBlocked,DefensiveGoaltends
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,833.0,14.0,3,28,27,26,6,2.0,55,1.0,5.0,2.0,2.0,1.0,1.0,3.0,7.0,1.0,6.0,30.0,1.0,3.0,6.0,1.0,6.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,4.0,3.0,6.0,26,1.0,1.0,1.0,0.42857142857142855,0.5,0.375,0.42857142857142855,0.375,0.42857142857142855,0.125,0.2857142857142857,0.4,24.242424242424242,0.375,0.07692307692307693,0.375,0.06666666666666667,0.2,0.4,0.3333333333333333,0.625,0.2,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,0.125,0.14285714285714285,0.125,0.41586874999999995,0.4616,0.40933571428571425,1.0,11.8,25.3,0.9285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,8244.0,137.0,-9,265,266,85,86,44.0,531,3.0,5.0,5.0,9.0,24.0,11.0,13.0,23.0,32.0,63.0,260.0,2.0,3.0,9.0,14.0,27.0,20.0,24.0,2.0,6.0,,6.0,,4.0,12.0,2.0,9.0,11.0,3.0,14.0,12.0,27.0,85,1.0,0.7692307692307693,0.7692307692307693,0.5652173913043478,0.3333333333333333,0.509090909090909,0.45652173913043476,0.5338983050847458,0.5192307692307693,0.5818181818181818,0.08695652173913043,,18.69158878504673,0.0989010989010989,0.01694915254237288,0.09090909090909091,0.01935483870967742,0.027777777777777776,0.12121212121212122,0.1,0.09090909090909091,0.6,0.6,1.0,0.16363636363636364,0.5555555555555556,0.5555555555555556,0.6,0.43636363636363634,0.4782608695652174,0.7454545454545455,0.4872045454545454,0.4798875,0.47403260869565217,0.42857142857142855,9.06086956521739,25.51875,0.32075471698113206,5.0,9.0,1.0,1.0,2.0,4.0,1.0,8.0,1.0,3.0,9.0,1.0,3.0,5.0,10.0,7.0,2.0,1.0,4.0,2.0,9.0,5.0,6.0,6.0,30.0,9.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3125,0.25,0.35714285714285715,0.3125,1.0,0.5833333333333334,0.6428571428571429,0.2222222222222222,1.0,0.1111111111111111,0.05263157894736842,0.02702702702702703,0.0196078431372549,0.037037037037037035,0.05555555555555555,0.07692307692307693,0.03571428571428571,1.0,0.16363636363636364,0.5555555555555556,0.7142857142857143,0.8,0.14545454545454545,0.125,0.125,1.0,0.375,0.375,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.3333333333333333,1.0,0.17391304347826086,0.5,0.13043478260869565,0.45454545454545453,0.375,0.03508771929824561,0.08,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,3082.0,51.0,-26,97,97,41,38,16.0,194,2.0,5.0,3.0,10.0,6.0,3.0,7.0,19.0,7.0,18.0,110.0,,3.0,6.0,4.0,8.0,4.0,6.0,,5.0,3.0,8.0,3.0,3.0,19.0,,3.0,3.0,,3.0,3.0,8.0,41,1.0,0.2857142857142857,0.2857142857142857,0.3684210526315789,0.5,0.2692307692307692,0.3,0.3103448275862069,0.3333333333333333,0.2692307692307692,,,25.619834710743802,0.11538461538461539,,0.1,,,,0.25,0.19230769230769232,0.4,0.4,0.5,0.38461538461538464,0.3,0.3,0.3333333333333333,0.23076923076923078,0.3,0.4230769230769231,0.44396346153846156,,0.48156999999999994,0.4444444444444444,12.33157894736842,24.900000000000002,0.422680412371134,2.0,4.0,,,2.0,3.0,,1.0,,1.0,,,1.0,,,4.0,,,1.0,,,,2.0,10.0,,,2.0,,,,,1.0,1.0,,2.0,2.0,2.0,1.0,,7.0,6.0,1.0,2.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,0.15384615384615385,0.5,0.5,,0.038461538461538464,,,,,,,,,,,1.0,,,0.3,0.6666666666666666,0.1,,,0.037037037037037035,0.05,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1922,1610612743,Francisco Elson,Francisco Elson,1922,DEN,1596.0,27.0,-9,53,50,31,15,6.0,103,,,,,,,,,,,59.0,,,,,,,,,1.0,1.0,2.0,1.0,,5.0,3.0,2.0,2.0,4.0,6.0,8.0,,31,1.0,,,,,,,,,,,,3.125,0.11764705882352941,0.11538461538461539,0.11764705882352941,0.13333333333333333,,0.25,0.125,,,,,,,,,,,,,,,,,,0.5849056603773585,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,2.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,0.5,,,0.25,0.1,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.2222222222222222,,,,,,,,,,,,,,,,True,,,,,,,
2035,1610612743,DerMarr Johnson,DerMarr Johnson,2035,DEN,758.0,13.0,-1,25,25,15,11,4.0,50,,,,,4.0,3.0,1.0,1.0,5.0,5.0,23.0,,1.0,1.0,3.0,5.0,2.0,4.0,,,,,,,,,2.0,3.0,,3.0,,5.0,15,,1.0,1.0,1.0,1.0,0.4166666666666667,0.625,0.4166666666666667,0.625,0.8333333333333334,,,24.13793103448276,0.25,,0.23076923076923078,,,0.5,0.25,,,,,,,,,0.6666666666666666,0.75,1.0,0.560175,,0.5799375,1.0,,25.18,0.6,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,1.0,,,3.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,0.2,,0.3333333333333333,0.2,,,,,,,0.2,,,,,0.25,,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,0.25,0.25,1.0,,,,,,,,0.25,1.0,,0.3333333333333333,0.25,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,7155.0,119.0,3,231,231,74,72,37.0,462,2.0,10.0,6.0,23.0,3.0,,17.0,51.0,4.0,59.0,219.0,11.0,4.0,13.0,,20.0,20.0,3.0,3.0,8.0,2.0,10.0,2.0,4.0,22.0,7.0,6.0,11.0,10.0,21.0,14.0,20.0,74,6.0,0.5882352941176471,0.6666666666666666,0.3333333333333333,0.3076923076923077,0.3090909090909091,0.3076923076923077,0.42028985507246375,0.5,0.07272727272727272,0.058823529411764705,0.1,28.77697841726619,0.07317073170731707,0.0707070707070707,0.11224489795918367,0.07874015748031496,0.06896551724137931,0.10344827586206896,0.08108108108108109,0.18181818181818182,0.2,0.2222222222222222,1.0,0.41818181818181815,0.2608695652173913,0.2608695652173913,0.6666666666666666,0.05454545454545454,,0.4,0.45730272727272725,0.5334555555555556,0.4583153846153846,0.3389830508474576,9.917647058823528,24.0,0.3203463203463203,9.0,18.0,3.0,9.0,3.0,5.0,,1.0,,,,,1.0,,,25.0,4.0,,1.0,,8.0,,12.0,14.0,,,4.0,3.0,5.0,,4.0,3.0,2.0,1.0,5.0,3.0,11.0,1.0,1.0,32.0,32.0,12.0,4.0,,,,,4.0,,,,,,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.45454545454545453,,0.3125,0.10714285714285714,0.045454545454545456,0.15,,0.2,0.11428571428571428,,0.32727272727272727,0.5,0.5625,0.4444444444444444,0.01818181818181818,,,,,,,0.75,0.3333333333333333,,,0.08333333333333333,,,0.38461538461538464,0.6,,,,0.18461538461538463,0.19672131147540983,0.13559322033898305,6.0,2.0,2.0,1.0,4.0,2.0,1.0,0.11538461538461539,1.0,,4.0,1.0,2.0,2.0,2.0,1.0,0.5,,,,,,,True,,,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,5994.0,100.0,6,193,195,47,56,33.0,388,3.0,11.0,2.0,10.0,,,18.0,41.0,,43.0,186.0,7.0,2.0,5.0,,8.0,12.0,,4.0,23.0,3.0,26.0,3.0,9.0,55.0,4.0,8.0,9.0,5.0,14.0,5.0,8.0,47,1.0,0.3333333333333333,0.3333333333333333,0.43902439024390244,0.4,0.43902439024390244,0.4,0.48863636363636365,0.5714285714285714,,0.0975609756097561,0.09090909090909091,23.27586206896552,0.11764705882352941,0.04819277108433735,0.10465116279069768,0.0380952380952381,,0.16,0.14285714285714285,0.2682926829268293,0.2727272727272727,0.3,0.3333333333333333,0.24390243902439024,0.2,0.2,0.5,,,0.4878048780487805,0.48660243902439027,0.4335857142857143,0.5503,0.18604651162790697,6.85609756097561,,0.24352331606217617,13.0,20.0,,3.0,1.0,3.0,,,,,,,,,,7.0,3.0,,,2.0,8.0,,4.0,24.0,,,10.0,,1.0,,1.0,4.0,1.0,3.0,7.0,5.0,10.0,3.0,2.0,7.0,7.0,4.0,,1.0,1.0,1.0,1.0,,,,,,,0.42857142857142855,0.42857142857142855,0.5,0.15,0.7,,0.05555555555555555,,0.05405405405405406,,,0.08333333333333333,0.05263157894736842,1.0,0.4878048780487805,0.65,0.7647058823529411,0.3076923076923077,,,,,,,,0.42857142857142855,,,,,,,0.6,0.3333333333333333,,,,0.09090909090909091,0.09090909090909091,0.18604651162790697,3.0,2.0,,,,,,0.09090909090909091,1.0,,,,2.0,1.0,,,,4.0,1.0,0.2,,,,True,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,6298.0,105.0,-4,197,203,48,67,34.0,400,,7.0,9.0,19.0,,,20.0,42.0,,40.0,193.0,10.0,,6.0,,,30.0,,,5.0,1.0,6.0,,,13.0,8.0,20.0,27.0,11.0,38.0,9.0,,48,2.0,0.75,0.9375,0.47619047619047616,,0.47619047619047616,,0.47619047619047616,,,,,18.828451882845187,0.2631578947368421,0.09523809523809523,0.25806451612903225,0.09565217391304348,0.16,0.2692307692307692,0.2727272727272727,0.16666666666666666,,,,0.4523809523809524,0.47368421052631576,0.47368421052631576,1.0,,,0.38095238095238093,0.4660547619047619,0.48514444444444443,0.37743333333333334,,10.390476190476189,,0.2436548223350254,11.0,16.0,4.0,7.0,,1.0,,,,,,,,,,,5.0,,,,10.0,,,10.0,,,2.0,3.0,4.0,3.0,,3.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,9.0,,,,10.0,4.0,10.0,4.0,,,,,,,0.5,0.5,0.5,,0.3333333333333333,0.6,0.23529411764705882,0.0967741935483871,0.075,0.045454545454545456,0.23529411764705882,0.18181818181818182,,0.4,0.38095238095238093,0.6875,0.6875,0.5454545454545454,,,,,,,,0.7,0.5714285714285714,,,,,,0.16666666666666666,,,,,,,0.25,2.0,,,1.0,1.0,1.0,6.0,0.05263157894736842,2.0,4.0,8.0,,,,,,0.3333333333333333,3.0,,,1.0,2.0,0.2222222222222222,True,,,,,,,
1739,1610612743,Ruben Patterson,Ruben Patterson,1739,DEN,536.0,9.0,-2,18,18,10,11,3.0,36,,1.0,,,,,1.0,2.0,,2.0,16.0,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,10,,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,,,,9.523809523809524,,,,,,,,0.5,,,,,,,,,,0.5,0.52055,,0.6009,1.0,6.25,,0.5555555555555556,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2501,1610612743,Reggie Evans,Reggie Evans,2501,DEN,1807.0,30.0,-11,59,62,22,31,10.0,121,,,,,,,,,,8.0,58.0,,,,,1.0,,,,,,,,,,5.0,5.0,9.0,6.0,15.0,8.0,1.0,22,,,,,,,,0.8,0.5,,,,10.81081081081081,0.23809523809523808,0.17857142857142858,0.25,0.15384615384615385,0.14285714285714285,0.3333333333333333,0.125,,,,,,,,,,,,,,,0.125,,,0.3728813559322034,,,,,,,,,,,,,,,,8.0,,,,6.0,6.0,,1.0,,,,,1.0,1.0,3.0,,1.0,,1.0,1.0,,3.0,2.0,4.0,7.0,10.0,5.0,,,,,,,,,,,,,,0.75,,0.3333333333333333,0.6,0.3333333333333333,0.09090909090909091,0.08333333333333333,0.14285714285714285,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.75,2.0,1.0,,,1.0,2.0,,0.3333333333333333,,,,,1.0,,,,,,,,,,,True,,,,,,,
