EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsUnassisted3s,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffTwoPtRebounds,DefThreePtRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Loose Ball Fouls,Loose Ball Fouls Drawn,SecondChanceFtPoints,PtsPutbacks,BadPassSteals,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,DefensiveGoaltends,Defensive 3 Seconds Violations,Travels,OffShortMidRangeReboundPct,Corner3Assists,BlockedAtRim,OffCorner3ReboundPct,2pt And 1 Free Throw Trips,on,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,BlockedLongMidRange,HeaveAttempts
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,3887.0,65,10,128,127,19.0,26.0,19,255,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,4.0,14.0,1.0,1.0,6.0,8.0,11.0,5.0,17.0,3.0,34.0,116,2.0,2.0,1.0,4.0,1.0,1.0,1.0,7.0,2.0,7.0,14.0,2.0,15.0,14.0,4.0,1.0,4.0,4.0,3.0,1.0,8.0,1.0,5.0,1.0,6.0,1.0,7.0,2.0,6.0,3.0,4.0,2.0,7.0,19.0,1.0,0.875,0.875,1.0,0.29411764705882354,0.14285714285714285,0.29411764705882354,0.7272727272727273,1.0,1.0,0.5535714285714286,0.6666666666666666,0.3125,0.5666666666666667,0.6666666666666666,0.3888888888888889,0.6071428571428571,0.09090909090909091,0.2,20.27027027027027,0.3333333333333333,0.1111111111111111,0.06666666666666667,0.08928571428571429,0.014925373134328358,0.08333333333333333,0.14285714285714285,0.10526315789473684,0.10526315789473684,0.17857142857142858,0.6,0.75,1.0,0.03571428571428571,1.0,1.0,1.0,0.17857142857142858,0.8,0.8,0.75,0.10714285714285714,0.3333333333333333,0.3333333333333333,1.0,0.5,0.2857142857142857,0.2857142857142857,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.125,1.0,0.125,0.75,0.16666666666666666,0.7857142857142857,0.2857142857142857,0.4951178571428571,0.3516,0.49523125,0.06666666666666667,0.15384615384615385,0.11764705882352941,0.20588235294117646,9.218181818181819,25.711764705882356,0.1484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,2314.0,39,-6,73,74,21.0,27.0,9,147,1.0,2.0,,,,,,1.0,2.0,6.0,1.0,1.0,,2.0,8.0,,2.0,5.0,3.0,9.0,3.0,9.0,6.0,21.0,76,,,,,,1.0,2.0,5.0,6.0,12.0,4.0,2.0,6.0,8.0,2.0,,3.0,4.0,1.0,1.0,9.0,,,,,,,1.0,1.0,3.0,6.0,,12.0,21.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,,,0.4166666666666667,,0.5,0.5,,0.6875,0.5,,,24.390243902439025,,,,,,,,,,0.1111111111111111,0.5,0.5,1.0,0.05555555555555555,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.05555555555555555,1.0,1.0,1.0,0.4444444444444444,0.25,0.25,0.5,,,,,,,,0.8333333333333334,0.4,0.6111111111111112,0.25,0.47515277777777776,,0.46798333333333336,0.05263157894736842,,,0.5714285714285714,12.7,25.288888888888888,0.2876712328767123,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,4716.0,79,13,155,158,33.0,42.0,20,313,6.0,11.0,,2.0,,1.0,3.0,8.0,3.0,10.0,,,,,,,,,12.0,29.0,,,6.0,30.0,142,3.0,6.0,,6.0,2.0,5.0,,,2.0,6.0,10.0,14.0,,,,2.0,19.0,21.0,8.0,9.0,44.0,,7.0,,9.0,3.0,12.0,2.0,5.0,6.0,8.0,4.0,6.0,33.0,,0.4166666666666667,0.4166666666666667,,,,,0.41379310344827586,0.5,0.4,0.41379310344827586,0.5,0.4,0.45454545454545453,0.42857142857142855,0.42857142857142855,,0.06896551724137931,0.09090909090909091,23.295454545454547,,0.12962962962962962,,0.125,0.038461538461538464,,,0.13043478260869565,0.18181818181818182,0.3793103448275862,0.5454545454545454,0.6,0.3333333333333333,0.27586206896551724,0.375,0.42857142857142855,0.3333333333333333,0.3448275862068966,0.3,0.3,0.6666666666666666,,,,,,,,,0.3333333333333333,,,,0.2,,,,,0.3793103448275862,,0.46410000000000007,0.4313833333333334,0.43468,0.12121212121212122,0.12121212121212122,0.2,0.2,8.817241379310344,,0.2129032258064516,,2.0,2.0,2.0,,,,,,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,8.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.125,0.5,0.05,0.1111111111111111,0.14285714285714285,0.03125,0.1111111111111111,0.1111111111111111,0.06666666666666667,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1922,1610612743,Francisco Elson,Francisco Elson,1922,DEN,665.0,11,-7,21,21,6.0,8.0,1,42,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,2.0,28,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,3.0,1.0,,,,6.0,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,4.545454545454546,,0.25,,0.14285714285714285,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.3809,,,,,,,19.9,,0.2857142857142857,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2059,1610612743,Eduardo Najera,Eduardo Najera,2059,DEN,5319.0,89,12,173,174,37.0,46.0,23,347,2.0,6.0,1.0,1.0,1.0,1.0,,1.0,1.0,7.0,,,,,,,,,3.0,14.0,,,2.0,8.0,159,1.0,3.0,,3.0,1.0,2.0,,,1.0,3.0,4.0,2.0,,,,3.0,2.0,2.0,1.0,,4.0,,10.0,,11.0,4.0,15.0,2.0,13.0,7.0,4.0,1.0,3.0,37.0,2.0,0.6666666666666666,1.0,,,,,0.21428571428571427,0.3333333333333333,0.5,0.21428571428571427,0.3333333333333333,0.5,0.25,0.375,0.5,,0.21428571428571427,0.5,10.152284263959391,,0.16129032258064516,,0.1375,0.0449438202247191,,0.3,0.07692307692307693,0.19230769230769232,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.5,0.07142857142857142,,,,0.5,0.14285714285714285,0.14285714285714285,1.0,,,,,,,,,0.3333333333333333,1.0,,,0.5,1.0,,,,0.42857142857142855,,0.4790857142857143,0.4722333333333333,0.43655,0.06666666666666667,0.06666666666666667,0.375,0.375,9.685714285714287,,0.2138728323699422,,,,1.0,,,1.0,1.0,,4.0,1.0,,3.0,1.0,2.0,,2.0,2.0,,4.0,1.0,,1.0,,,,,,0.5,0.05970149253731343,0.05555555555555555,,0.10810810810810811,0.1111111111111111,,,,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,
2030,1610612743,Kenyon Martin,Kenyon Martin,2030,DEN,179.0,3,-6,5,5,1.0,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,14.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,True,,,,,,,,,,,,,
2501,1610612743,Reggie Evans,Reggie Evans,2501,DEN,381.0,6,1,12,11,,,2,23,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,4.0,13,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,14.285714285714285,1.0,,,,0.125,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.7042,,,0.5,0.5,0.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,2.0,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,4094.0,68,24,135,137,30.0,38.0,18,272,8.0,10.0,2.0,3.0,,,,3.0,7.0,15.0,,,,,,,,,15.0,28.0,,,,30.0,112,3.0,4.0,,6.0,1.0,3.0,,,,2.0,26.0,4.0,,,,,3.0,4.0,,2.0,9.0,2.0,16.0,2.0,22.0,4.0,26.0,2.0,4.0,7.0,,,2.0,30.0,,0.8666666666666667,1.0,,,,,0.5357142857142857,0.75,0.3333333333333333,0.5357142857142857,0.75,0.3333333333333333,0.5357142857142857,0.75,0.3333333333333333,,,,19.48051948051948,0.5,0.3018867924528302,0.16666666666666666,0.29850746268656714,0.06060606060606061,0.1111111111111111,0.25,0.36363636363636365,0.2608695652173913,0.35714285714285715,0.8,0.8,0.75,0.10714285714285714,,,,0.5357142857142857,0.4666666666666667,0.4666666666666667,1.0,,,,,,,,,0.75,0.6666666666666666,,,,,,,,0.35714285714285715,,0.4709535714285714,0.4995,0.3786666666666667,,,0.2,0.06666666666666667,11.207142857142856,,0.2222222222222222,,1.0,,1.0,,,,,,2.0,4.0,,2.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,,6.0,4.0,6.0,3.0,,0.5,0.037037037037037035,0.2857142857142857,,,0.16666666666666666,0.375,,0.5,,1.0,,4.0,2.0,,5.0,,1.0,,0.15384615384615385,1.0,2.0,0.3333333333333333,,True,,,,,,,,,,,,,
2035,1610612743,DerMarr Johnson,DerMarr Johnson,2035,DEN,693.0,12,-7,22,22,7.0,8.0,2,44,,,,,,,,,,,,2.0,,,2.0,,,1.0,,,,4.0,,,28,,,,,,,,1.0,,,,,,2.0,,,,2.0,,,6.0,,2.0,,3.0,,3.0,,1.0,,,,,7.0,,,,,,,,,,,,,,,,,1.0,,,16.666666666666668,,0.3333333333333333,,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,1.0,,1.0,,0.535275,,0.48,,,,,,24.825000000000003,0.3181818181818182,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,4347.0,72,26,141,141,31.0,35.0,19,282,4.0,5.0,,1.0,1.0,1.0,5.0,10.0,5.0,16.0,,1.0,,,,,,,14.0,31.0,,1.0,14.0,42.0,115,,2.0,,,1.0,5.0,,,5.0,7.0,16.0,12.0,,,,,8.0,9.0,3.0,5.0,19.0,1.0,8.0,,12.0,3.0,15.0,,7.0,15.0,17.0,6.0,7.0,31.0,2.0,0.5714285714285714,0.5714285714285714,,,,,0.45161290322580644,,0.2,0.4375,,0.2,0.525,,0.4375,0.03125,,,29.19254658385093,,0.14285714285714285,0.07142857142857142,0.17142857142857143,0.04285714285714286,0.09090909090909091,,0.21739130434782608,0.11538461538461539,0.15625,0.8,0.8,0.5,0.3125,0.5,0.5,0.6,0.5,0.3125,0.3125,0.6,0.03125,,,,,,,,0.5,,,,0.2,1.0,,,,0.1875,,0.4239671875,0.50995,0.36275999999999997,0.16216216216216217,0.16666666666666666,,0.16666666666666666,12.283870967741937,22.5,0.2198581560283688,,1.0,1.0,,,,3.0,3.0,,2.0,4.0,1.0,,,3.0,,2.0,4.0,1.0,7.0,,1.0,3.0,1.0,1.0,1.0,1.0,,0.42857142857142855,0.03571428571428571,0.2857142857142857,,0.03125,0.16666666666666666,0.375,0.05555555555555555,1.0,2.0,1.0,,,,,1.0,,,1.0,0.08333333333333333,,,,1.0,True,,,,,,,,,,,,,
