EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,SecondChanceOffPoss,LongMidRangeFGA,Arc3FGA,FG2A,FG3A,NonHeaveArc3FGA,FG3APct,Usage,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGA,SecondChanceAtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyOffPossPct,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,Arc3FGM,FG3M,Points,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,SelfOReb,LostBallOutOfBoundsTurnovers,FoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,SecondChanceFG2M,SecondChancePoints,PtsAssisted2s,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChancePointsPct,LongMidRangeFGM,PtsUnassisted2s,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctAssisted,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ThreePtAssists,Arc3Assists,AtRimAssists,BadPassTurnovers,on,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsPutbacks,Corner3Assists,OffThreePtRebounds,FTOffRebounds,LostBallSteals,Travels,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,PenaltyFg3Pct,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,SecondChanceFtPoints,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGA,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,OffCorner3ReboundPct
101122,1610612754,Danny Granger,Danny Granger,101122,IND,83.0,1,-4.0,3,2,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,287.0,5,-16.0,8,9,2,17,18,1.0,1.0,2.0,1.0,2.0,2.0,0.6666666666666666,33.333333333333336,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.42464999999999997,20.8,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,1610612754,Scot Pollard,Scot Pollard,1513,IND,885.0,15,-8.0,25,27,15,52,32,2.0,,,1.0,,,,6.8965517241379315,,,1.0,0.5554,,,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,10.0,2.0,1.0,0.14285714285714285,0.1111111111111111,0.2857142857142857,0.21428571428571427,0.09090909090909091,0.25,0.2,0.4,1.0,1.0,0.5554,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,152.0,3,-9.0,5,5,2,10,11,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,1610612754,Fred Jones,Fred Jones,2410,IND,567.0,9,-17.0,16,17,5,33,26,2.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,20.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.45335,10.3,24.9,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,0.125,0.3333333333333333,0.16666666666666666,0.1,,,,0.3333333333333333,1.0,0.4888,0.0625,,,,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101180,1610612754,Sarunas Jasikevicius,Sarunas Jasikevicius,101180,IND,218.0,4,,6,5,1,11,4,1.0,,,1.0,,,,11.11111111111111,,,,0.4115,5.8,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,0.4115,0.16666666666666666,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,1610612754,Stephen Jackson,Stephen Jackson,1536,IND,661.0,11,-2.0,18,21,13,39,24,2.0,3.0,,3.0,,,,13.636363636363637,1.0,,,0.37410000000000004,19.3,,10.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,0.5555555555555556,,,,,,2.0,,,,,,,,,,1.0,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,1.0,2.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,134.0,2,1.0,3,4,3,7,4,1.0,,,1.0,,,,16.666666666666668,,,1.0,0.5321,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,0.25,,,0.25,0.5,,,1.0,1.0,0.5321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,1610612754,Peja Stojakovic,Peja Stojakovic,978,IND,464.0,8,7.0,14,14,10,28,10,,4.0,,4.0,,,,35.71428571428571,1.0,,,0.381125,19.275,,10.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,0.7142857142857143,,,,,,9.0,,,,,,,,,,1.0,,,,0.75,0.8,,,,,,,,,,3.0,,,4.0,0.6666666666666666,0.6666666666666666,0.75,,,,,,,,,3.0,2.0,0.75,0.75,,,,3.0,2.0,2.0,3.0,7.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,0.6666666666666666,0.37705,0.2,0.2,0.7777777777777778,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,459.0,8,7.0,13,14,10,27,10,,,,4.0,,,,38.46153846153846,,,0.5,0.431925,5.975,,9.0,2.0,,,,1.0,,,1.0,,1.0,,,,,,,,,9.0,,,,,0.25,0.09090909090909091,,,,,0.5,,,0.6923076923076923,,,,,,6.0,,,,,,,,,,2.0,,,,0.5,0.6,,1.0,,,,,,1.0,2.0,2.0,,,2.0,0.5,0.5,0.5,,,,0.5,0.5,0.5,,,,2.0,,,,,,2.0,2.0,3.0,2.0,6.0,2.0,,,6.0,0.6666666666666666,0.6666666666666666,0.75,,0.38633333333333336,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
