EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG3M,PenaltyFG3A,Fg3aBlocked,Arc3Assists,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,ShortMidRangeFGM,FTOffRebounds,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,BlockedAtRim,OffFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,PtsUnassisted3s,HeaveAttempts,Technical Free Throw Trips,Blocked3s,BlockedArc3,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,on
1716,1610612739,Larry Hughes,Larry Hughes,1716,CLE,19044.0,317.0,-32,580.0,578,143.0,157.0,93.0,1158,16.0,31.0,2.0,4.0,2.0,5.0,19.0,13.0,39.0,1.0,5.0,3.0,11.0,2.0,29.0,89.0,4.0,16.0,20.0,90.0,641,5.0,11.0,2.0,2.0,12.0,3.0,11.0,7.0,13.0,22.0,36.0,12.0,2.0,11.0,3.0,12.0,30.0,4.0,34.0,4.0,18.0,5.0,7.0,72.0,2.0,7.0,5.0,12.0,1.0,18.0,9.0,27.0,2.0,17.0,6.0,11.0,6.0,3.0,4.0,10.0,2.0,2.0,2.0,16.0,2.0,8.0,12.0,32.0,1.0,3.0,17.0,1.0,25.0,2.0,11.0,3.0,1.0,1.0,1.0,1.0,13.0,143.0,6.0,1.0,0.3793103448275862,0.39285714285714285,1.0,0.25,0.25,0.3258426966292135,0.45454545454545453,0.2727272727272727,0.3333333333333333,0.38461538461538464,0.2727272727272727,0.38461538461538464,0.42857142857142855,0.43333333333333335,0.1523809523809524,0.1348314606741573,0.0967741935483871,0.42105263157894735,0.02564102564102564,19.387755102040817,0.375,0.03125,0.06030150753768844,0.030973451327433628,0.07246376811594203,0.03389830508474576,0.06343283582089553,0.031578947368421054,0.015151515151515152,0.06557377049180328,0.020202020202020204,0.05128205128205128,0.03125,0.07017543859649122,0.07692307692307693,0.05357142857142857,0.15384615384615385,0.03333333333333333,1.0,0.29523809523809524,0.5161290322580645,0.5714285714285714,0.3125,0.18095238095238095,0.37142857142857144,0.3333333333333333,0.34210526315789475,0.46153846153846156,0.047619047619047616,0.2,0.2,1.0,0.10476190476190476,0.2727272727272727,0.2727272727272727,1.0,0.3076923076923077,0.5,0.15384615384615385,0.45454545454545453,0.4,0.44761904761904764,0.2727272727272727,0.48277809523809534,0.45811666666666667,0.47909090909090907,0.09649122807017543,0.11224489795918367,0.13333333333333333,0.14444444444444443,10.046067415730336,24.781249999999996,0.24655172413793103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1800,1610612739,Damon Jones,Damon Jones,1800,CLE,10072.0,168.0,42,298.0,297,109.0,112.0,46.0,595,1.0,1.0,,,,,2.0,2.0,4.0,1.0,5.0,4.0,11.0,3.0,3.0,7.0,5.0,16.0,,21.0,308,,1.0,3.0,,3.0,,,,6.0,4.0,2.0,15.0,,11.0,4.0,1.0,6.0,6.0,12.0,3.0,3.0,1.0,2.0,30.0,1.0,1.0,2.0,11.0,,13.0,2.0,15.0,,2.0,2.0,,1.0,,1.0,1.0,,,,2.0,1.0,2.0,7.0,16.0,1.0,,5.0,3.0,1.0,,,,,,,,6.0,109.0,3.0,,0.6666666666666666,0.6666666666666666,1.0,0.3125,0.3125,0.42857142857142855,,,0.45652173913043476,0.375,0.375,0.45652173913043476,0.375,0.375,0.6956521739130435,0.14285714285714285,,,0.25,7.183908045977011,0.5,,0.10476190476190476,0.010416666666666666,0.046511627906976744,0.02631578947368421,0.08783783783783784,0.014925373134328358,,,0.03125,0.05263157894736842,0.06896551724137931,0.11764705882352941,0.11904761904761904,0.06666666666666667,,,,0.043478260869565216,1.0,1.0,,0.08695652173913043,0.17391304347826086,0.5,0.6666666666666666,1.0,0.21739130434782608,0.2,0.25,1.0,0.4782608695652174,0.36363636363636365,0.4,1.0,,,0.75,,,0.7391304347826086,0.36363636363636365,0.4826217391304347,0.579225,0.50990625,0.043478260869565216,,0.14285714285714285,0.2857142857142857,13.385714285714284,25.04375,0.36577181208053694,1.0,4.0,1.0,1.0,4.0,1.0,2.0,8.0,2.0,3.0,1.0,1.0,0.3333333333333333,0.25,0.125,0.2,0.09090909090909091,0.3333333333333333,1.0,0.5,0.25,0.5,0.25,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,True
2400,1610612739,Drew Gooden,Drew Gooden,2400,CLE,16459.0,274.0,-32,478.0,476,82.0,96.0,79.0,954,21.0,33.0,12.0,19.0,3.0,4.0,26.0,9.0,23.0,,,,,,44.0,82.0,,,17.0,105.0,501,16.0,28.0,,4.0,36.0,9.0,13.0,4.0,22.0,46.0,42.0,,22.0,,,7.0,4.0,3.0,7.0,,2.0,,2.0,17.0,,29.0,12.0,33.0,20.0,65.0,30.0,95.0,3.0,3.0,,3.0,10.0,,4.0,8.0,1.0,6.0,1.0,18.0,2.0,5.0,18.0,39.0,4.0,3.0,20.0,,18.0,2.0,9.0,1.0,2.0,,2.0,2.0,22.0,82.0,6.0,1.0,0.5227272727272727,0.696969696969697,,,,0.5365853658536586,0.5714285714285714,0.6923076923076923,0.5365853658536586,0.5714285714285714,0.6923076923076923,0.5833333333333334,0.6,0.7333333333333333,,0.08536585365853659,0.12121212121212122,0.07692307692307693,0.043478260869565216,18.98066783831283,0.5555555555555556,0.7692307692307693,0.18032786885245902,0.13615023474178403,0.21818181818181817,,0.18907563025210083,0.11553784860557768,0.16923076923076924,0.16666666666666666,0.09574468085106383,,0.12727272727272726,0.19642857142857142,0.20833333333333334,0.2727272727272727,,0.0967741935483871,1.0,0.4024390243902439,0.6363636363636364,0.7241379310344828,0.47619047619047616,0.3170731707317073,0.2804878048780488,0.391304347826087,0.4090909090909091,0.8888888888888888,,,,,,,,,0.6785714285714286,0.631578947368421,,0.3076923076923077,0.75,0.4024390243902439,,0.4770134146341463,0.5391250000000001,0.4453615384615385,0.10112359550561797,0.10112359550561797,0.34285714285714286,0.20952380952380953,7.992682926829267,,0.17154811715481172,,,,,,,,,,3.0,,,,,,,,,,,,,,,14.0,1.0,1.0,2.0,2.0,0.125,0.5384615384615384,0.5833333333333334,0.35714285714285715,0.08333333333333333,,,,,,,,,,,,,,,,True
2544,1610612739,LeBron James,LeBron James,2544,CLE,36272.0,605.0,-49,1070.0,1066,278.0,323.0,165.0,2136,87.0,119.0,11.0,18.0,22.0,29.0,36.0,25.0,89.0,5.0,9.0,16.0,54.0,1.0,125.0,244.0,21.0,63.0,87.0,400.0,1161,13.0,29.0,2.0,4.0,30.0,33.0,65.0,51.0,138.0,64.0,186.0,12.0,18.0,53.0,16.0,5.0,61.0,15.0,76.0,8.0,39.0,6.0,16.0,167.0,1.0,20.0,22.0,52.0,9.0,83.0,22.0,105.0,7.0,18.0,9.0,9.0,33.0,8.0,20.0,32.0,1.0,13.0,6.0,65.0,5.0,23.0,19.0,44.0,5.0,10.0,110.0,2.0,118.0,16.0,51.0,15.0,7.0,,9.0,4.0,138.0,278.0,5.0,15.0,0.256,0.27586206896551724,0.19047619047619047,0.3333333333333333,0.3387096774193548,0.5122950819672131,0.4482758620689655,0.5076923076923077,0.509771986970684,0.41935483870967744,0.5117647058823529,0.5602240896358543,0.45454545454545453,0.6052631578947368,0.20521172638436483,0.020491803278688523,0.01680672268907563,0.08333333333333333,,33.57199681782021,0.5076923076923077,0.16071428571428573,0.13829787234042554,0.04830917874396135,0.16417910447761194,0.009259259259259259,0.1450980392156863,0.040229885057471264,0.12121212121212122,0.029411764705882353,0.005555555555555556,,0.08108108108108109,0.08571428571428572,0.2125,0.1553398058252427,0.1935483870967742,0.04666666666666667,0.4444444444444444,0.38762214983713356,0.7310924369747899,0.7435897435897436,0.26436781609195403,0.11726384364820847,0.2899022801302932,0.2808988764044944,0.2808988764044944,0.32,0.029315960912052116,0.5555555555555556,0.5555555555555556,0.4,0.1758957654723127,0.2962962962962963,0.2962962962962963,0.125,0.5806451612903226,0.6111111111111112,0.03225806451612903,0.3411764705882353,0.7586206896551724,0.5928338762214984,0.3018867924528302,0.5075288524590165,0.5087249999999999,0.4876680722891567,0.14912280701754385,0.1827956989247312,0.075,0.345,8.455737704918032,26.125396825396823,0.25981308411214954,2.0,3.0,,5.0,17.0,,7.0,20.0,,7.0,,,,0.35,,,,,,0.03529411764705882,0.6666666666666666,0.2,0.29411764705882354,,13.0,1.0,2.0,2.0,7.0,0.02702702702702703,0.3611111111111111,0.3939393939393939,0.07692307692307693,0.09090909090909091,1.0,51.0,1.0,2.0,2.0,2.0,0.024390243902439025,0.03225806451612903,,,,,,,,True
2760,1610612739,Anderson Varejao,Anderson Varejao,2760,CLE,12913.0,215.0,-27,380.0,394,124.0,149.0,60.0,774,24.0,36.0,6.0,8.0,5.0,8.0,5.0,1.0,4.0,,,,,,27.0,45.0,,,24.0,78.0,439,8.0,10.0,,8.0,24.0,6.0,11.0,9.0,21.0,40.0,14.0,,8.0,,,6.0,3.0,,3.0,,2.0,,1.0,6.0,5.0,10.0,7.0,22.0,7.0,36.0,15.0,51.0,2.0,8.0,3.0,5.0,3.0,,2.0,3.0,,1.0,,6.0,2.0,2.0,24.0,47.0,4.0,2.0,31.0,5.0,35.0,5.0,15.0,5.0,1.0,,1.0,1.0,21.0,124.0,9.0,5.0,0.7407407407407407,0.8695652173913043,,,,0.6,0.8,0.5454545454545454,0.6,0.8,0.5454545454545454,0.65,0.8,0.5833333333333334,,0.13333333333333333,0.1388888888888889,0.2,,14.798206278026907,0.5,0.3888888888888889,0.1732283464566929,0.07407407407407407,0.1320754716981132,0.11627906976744186,0.16111111111111112,0.08426966292134831,0.10638297872340426,0.06896551724137931,0.05084745762711865,0.08,0.1794871794871795,0.24242424242424243,0.12727272727272726,0.16666666666666666,0.058823529411764705,0.16666666666666666,1.0,0.8,0.6666666666666666,0.7741935483870968,0.7083333333333334,0.1111111111111111,0.08888888888888889,0.25,0.25,1.0,,,,,,,,,0.8,0.75,,0.7272727272727273,0.625,0.8,,0.5710955555555556,0.6630555555555556,0.511009090909091,0.2727272727272727,0.2727272727272727,0.3076923076923077,0.2692307692307692,2.788888888888889,,0.3263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,1.0,,0.4,0.5,1.0,0.3333333333333333,,,,,,,0.16666666666666666,,,,,,,,,True
923,1610612739,Donyell Marshall,Donyell Marshall,923,CLE,19810.0,330.0,16,596.0,579,195.0,228.0,89.0,1175,19.0,34.0,7.0,13.0,3.0,8.0,9.0,3.0,12.0,12.0,31.0,6.0,15.0,1.0,25.0,55.0,18.0,46.0,15.0,119.0,639,7.0,15.0,2.0,7.0,24.0,4.0,14.0,7.0,30.0,34.0,16.0,51.0,12.0,15.0,6.0,7.0,8.0,,8.0,,7.0,,1.0,16.0,4.0,16.0,12.0,31.0,5.0,48.0,23.0,71.0,2.0,6.0,3.0,3.0,6.0,1.0,4.0,7.0,1.0,2.0,1.0,13.0,,3.0,14.0,24.0,1.0,3.0,11.0,2.0,17.0,1.0,5.0,2.0,9.0,1.0,9.0,4.0,30.0,195.0,3.0,2.0,0.68,0.8947368421052632,0.9444444444444444,0.391304347826087,0.391304347826087,0.45454545454545453,0.4666666666666667,0.2857142857142857,0.5148514851485149,0.5,0.3709677419354839,0.5420560747663551,0.5526315789473685,0.4264705882352941,0.45544554455445546,0.12727272727272726,0.11764705882352941,0.1111111111111111,0.16666666666666666,17.291066282420747,0.46153846153846156,0.15625,0.16062176165803108,0.07804878048780488,0.15,0.05333333333333334,0.1575091575091575,0.07142857142857142,0.08955223880597014,0.10416666666666667,0.05555555555555555,0.07142857142857142,0.23076923076923078,0.11538461538461539,0.14606741573033707,0.14516129032258066,0.16666666666666666,0.0392156862745098,0.4444444444444444,0.33663366336633666,0.5588235294117647,0.6333333333333333,0.6842105263157895,0.0891089108910891,0.1188118811881188,0.25,0.3,1.0,0.3069306930693069,0.3870967741935484,0.3870967741935484,0.9166666666666666,0.1485148514851485,0.4,0.4,1.0,0.7647058823529411,0.5384615384615384,0.058823529411764705,0.25806451612903225,0.375,0.7920792079207921,0.4,0.5207579207920793,0.5470035714285714,0.5240387096774193,0.047619047619047616,0.0847457627118644,0.20168067226890757,0.25210084033613445,6.169090909090909,24.247826086956525,0.3271812080536913,3.0,12.0,,2.0,5.0,1.0,5.0,17.0,,,,,0.5,0.29411764705882354,,,,,,0.3870967741935484,0.25,0.16129032258064516,0.4,,3.0,3.0,,,8.0,0.10344827586206896,0.3333333333333333,0.375,0.3333333333333333,0.14285714285714285,1.0,3.0,,4.0,,,0.030303030303030304,0.058823529411764705,1.0,3.0,1.0,1.0,,,,True
980,1610612739,Zydrunas Ilgauskas,Zydrunas Ilgauskas,980,CLE,21010.0,350.0,-51,609.0,606,115.0,135.0,95.0,1215,34.0,49.0,17.0,25.0,11.0,16.0,33.0,13.0,35.0,,,,,,54.0,117.0,,,27.0,135.0,650,18.0,29.0,,11.0,47.0,12.0,22.0,9.0,33.0,64.0,44.0,,28.0,,,8.0,9.0,1.0,10.0,,4.0,,5.0,21.0,6.0,26.0,11.0,34.0,4.0,49.0,32.0,81.0,7.0,5.0,3.0,2.0,6.0,1.0,3.0,17.0,1.0,3.0,6.0,23.0,3.0,4.0,27.0,45.0,4.0,4.0,26.0,3.0,36.0,2.0,16.0,3.0,27.0,8.0,27.0,17.0,33.0,115.0,6.0,3.0,0.5925925925925926,0.8,,,,0.46153846153846156,0.6206896551724138,0.5454545454545454,0.46153846153846156,0.6206896551724138,0.5454545454545454,0.503731343283582,0.6911764705882353,0.6111111111111112,,0.06837606837606838,0.08163265306122448,0.12121212121212122,,21.7753120665742,0.2608695652173913,0.125,0.15246636771300448,0.10077519379844961,0.16176470588235295,0.1111111111111111,0.15463917525773196,0.10256410256410256,0.16666666666666666,0.08571428571428572,0.06363636363636363,0.1282051282051282,0.16666666666666666,0.12698412698412698,0.1595744680851064,0.16981132075471697,0.13333333333333333,0.12727272727272726,0.6296296296296297,0.4188034188034188,0.6938775510204082,0.7555555555555555,0.5,0.28205128205128205,0.29914529914529914,0.37142857142857144,0.37142857142857144,0.9230769230769231,,,,,,,,,0.8620689655172413,0.68,,0.7272727272727273,0.6875,0.4188034188034188,,0.4740615384615384,0.581676,0.5697181818181819,0.12213740458015267,0.12213740458015267,0.34814814814814815,0.24444444444444444,7.713675213675214,,0.18883415435139572,,,,,,,,,,1.0,,,,,,,,,,,,,,,7.0,,,1.0,17.0,,0.21212121212121213,0.2413793103448276,0.42857142857142855,0.11764705882352941,,,,,,,0.06666666666666667,,,5.0,,,2.0,1.0,4.0,True
2436,1610612739,Flip Murray,Flip Murray,2436,CLE,22255.0,371.0,-49,655.0,644,191.0,207.0,92.0,1299,17.0,33.0,,1.0,3.0,4.0,11.0,6.0,28.0,3.0,13.0,2.0,9.0,1.0,26.0,72.0,5.0,22.0,19.0,86.0,731,1.0,5.0,2.0,4.0,6.0,4.0,7.0,9.0,23.0,26.0,26.0,15.0,,8.0,2.0,8.0,14.0,3.0,17.0,2.0,10.0,,4.0,37.0,5.0,5.0,10.0,17.0,1.0,28.0,10.0,38.0,3.0,8.0,6.0,2.0,5.0,,3.0,4.0,2.0,2.0,,9.0,3.0,1.0,12.0,26.0,1.0,1.0,16.0,1.0,24.0,2.0,11.0,2.0,2.0,1.0,2.0,2.0,23.0,191.0,2.0,2.0,0.5,0.5,1.0,0.22727272727272727,0.23809523809523808,0.3611111111111111,0.2,0.5714285714285714,0.35638297872340424,0.14285714285714285,0.6363636363636364,0.4095238095238095,0.3333333333333333,0.71875,0.23404255319148937,0.1111111111111111,0.12121212121212122,0.2727272727272727,0.03571428571428571,15.03957783641161,0.5555555555555556,0.029411764705882353,0.07692307692307693,0.021551724137931036,0.11627906976744186,0.07692307692307693,0.08794788273615635,0.03367003367003367,,0.038461538461538464,0.02830188679245283,0.05405405405405406,0.08064516129032258,0.05,0.09090909090909091,0.10606060606060606,0.15,0.05660377358490566,1.0,0.35106382978723405,0.5151515151515151,0.5862068965517241,0.5294117647058824,0.11702127659574468,0.2978723404255319,0.21428571428571427,0.2222222222222222,0.3333333333333333,0.13829787234042554,0.23076923076923078,0.23076923076923078,1.0,0.09574468085106383,0.2222222222222222,0.2857142857142857,1.0,0.14285714285714285,,0.14285714285714285,0.36363636363636365,0.75,0.5851063829787234,0.25,0.5182102150537634,0.45643571428571433,0.522575,0.10679611650485436,0.13580246913580246,0.06976744186046512,0.26744186046511625,8.647222222222222,24.950000000000003,0.2916030534351145,1.0,2.0,,1.0,2.0,,2.0,4.0,2.0,1.0,,,,0.5,0.09090909090909091,,0.2222222222222222,,,0.18181818181818182,0.5,0.18181818181818182,0.5,,3.0,,,,1.0,,0.2727272727272727,0.375,0.6666666666666666,,1.0,,1.0,,,,0.10714285714285714,0.14285714285714285,,,,,,,,True
727,1610612739,Eric Snow,Eric Snow,727,CLE,23496.0,392.0,-59,684.0,687,153.0,205.0,106.0,1371,15.0,30.0,,,3.0,8.0,6.0,14.0,36.0,,,,1.0,,30.0,72.0,,1.0,18.0,78.0,731,1.0,4.0,,1.0,3.0,5.0,12.0,8.0,18.0,34.0,26.0,,,1.0,,6.0,32.0,3.0,35.0,1.0,14.0,2.0,16.0,73.0,3.0,6.0,8.0,23.0,,31.0,9.0,40.0,,10.0,1.0,9.0,17.0,4.0,12.0,4.0,,5.0,,21.0,2.0,6.0,16.0,33.0,4.0,,21.0,3.0,25.0,3.0,10.0,4.0,3.0,,3.0,3.0,18.0,153.0,4.0,4.0,0.5666666666666667,0.5666666666666667,,,,0.4166666666666667,0.25,0.4166666666666667,0.410958904109589,0.25,0.38461538461538464,0.4642857142857143,0.3,0.5,0.0136986301369863,0.08333333333333333,0.13333333333333333,0.3333333333333333,,13.0272952853598,0.8095238095238095,,0.09090909090909091,0.020618556701030927,0.0975609756097561,0.05,0.09253731343283582,0.02564102564102564,0.03260869565217391,,0.023076923076923078,0.07142857142857142,0.15584415584415584,0.03076923076923077,0.08108108108108109,0.07692307692307693,0.17647058823529413,,1.0,0.410958904109589,0.5,0.5769230769230769,0.3333333333333333,0.0821917808219178,0.4931506849315068,0.3888888888888889,0.3888888888888889,0.8571428571428571,,,,,0.0136986301369863,,,,,,,0.6153846153846154,0.375,0.4246575342465753,,0.4634305555555555,0.367025,0.49806666666666666,0.125,0.12658227848101267,0.038461538461538464,0.23076923076923078,9.806944444444444,36.9,0.2236842105263158,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,0.07692307692307693,,,1.0,,,,,,0.16666666666666666,0.25,,,,,,,,,,,,,,,3.0,,,True
673,1610612739,Alan Henderson,Alan Henderson,673,CLE,1.0,,-1,,1,,1.0,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
