EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,LongMidRangeAssists,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,LiveBallTurnoverPct,AtRimFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,AtRimFGM,PenaltyAtRimFGM,FtPoints,PenaltyFtPoints,PtsUnassisted2s,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,OffAtRimReboundPct,OffLongMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangeAssists,BadPassSteals,on,SecondChanceFtPoints,PtsPutbacks,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,DefAtRimReboundPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PtsUnassisted3s,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Offensive Fouls,BlockedAtRim,3SecondViolations,StepOutOfBoundsTurnovers,Travels,Defensive 3 Seconds Violations,LongMidRangePctBlocked,DefCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,Corner3Assists,BlockedLongMidRange,OffCorner3ReboundPct,DefensiveGoaltends
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,862.0,14.0,4,30,28,28,7,2.0,58,1.0,5.0,2.0,2.0,1.0,1.0,3.0,7.0,1.0,6.0,30.0,1.0,3.0,6.0,1.0,6.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,4.0,3.0,6.0,28,1.0,1.0,1.0,0.42857142857142855,0.5,0.375,0.42857142857142855,0.375,0.42857142857142855,0.125,0.2857142857142857,0.4,22.857142857142858,0.375,0.07142857142857142,0.375,0.0625,0.16666666666666666,0.4,0.3333333333333333,0.625,0.2,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,0.125,0.14285714285714285,0.125,0.41586874999999995,0.4616,0.40933571428571425,1.0,11.8,25.3,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,833.0,14.0,3,28,27,26,6,2.0,55,,,,,3.0,3.0,,1.0,3.0,9.0,30.0,,,1.0,3.0,9.0,,3.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,26,,,,,,1.125,1.125,1.125,1.125,0.75,1.0,,15.15151515151515,0.125,0.07692307692307693,0.125,0.06666666666666667,0.2,,0.3333333333333333,,,,,,,,,0.75,0.75,1.0,0.49015,,0.49015,1.0,,26.53333333333333,0.9285714285714286,1.0,1.0,3.0,3.0,3.0,3.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,664.0,11.0,3,24,21,22,3,2.0,45,,1.0,1.0,2.0,,,2.0,5.0,,6.0,24.0,,2.0,5.0,,6.0,,,1.0,,1.0,1.0,1.0,,3.0,,,,,,,6.0,22,,,,0.4,0.4,0.4,0.4,0.42857142857142855,0.42857142857142855,,0.2,1.0,24.13793103448276,,,,,,,,0.2,,,,0.4,0.5,0.5,,,,0.4,0.46988,,0.46988,1.0,9.959999999999999,,0.9166666666666666,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0.4,,,,0.4,,,1.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,0.5,0.5,0.5,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,1610612743,Francisco Elson,Francisco Elson,1922,DEN,635.0,11.0,2,22,20,20,2,2.0,42,,,,,,,,,,,24.0,,,,,,,,,1.0,1.0,2.0,1.0,,5.0,2.0,1.0,1.0,2.0,3.0,1.0,,20,,,,,,,,,,,,,3.7037037037037033,0.2,0.16666666666666666,0.2,0.16666666666666666,,0.3333333333333333,,,,,,,,,,,,,,,,,,,0.9090909090909091,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,1.0,1.0,2.0,0.2,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1610612743,DerMarr Johnson,DerMarr Johnson,2035,DEN,246.0,4.0,3,8,8,8,5,,16,,,,,2.0,2.0,1.0,1.0,2.0,5.0,6.0,,1.0,1.0,2.0,5.0,2.0,2.0,,,,,,,,,2.0,2.0,,2.0,,5.0,8,,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,,,37.5,0.5,,0.5,,,0.5,0.5,,,,,,,,,0.6666666666666666,0.6666666666666666,1.0,0.56955,,0.56955,1.0,,25.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,1.0,0.5,0.5,0.5,,,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,616.0,10.0,1,22,20,20,2,2.0,42,,1.0,,1.0,,,2.0,7.0,,6.0,24.0,3.0,1.0,2.0,,4.0,,,1.0,,,,,,,1.0,,,1.0,1.0,,4.0,20,,,,0.2857142857142857,0.5,0.2857142857142857,0.5,0.375,0.6666666666666666,,0.14285714285714285,,29.629629629629626,,0.08333333333333333,,0.08333333333333333,,,,0.14285714285714285,,,,0.14285714285714285,,,,,,0.7142857142857143,0.5116857142857143,0.5375666666666666,0.60785,0.6666666666666666,4.4,,0.9090909090909091,5.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,0.2,,0.7142857142857143,,,,1.0,,,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,,,0.4,0.5,0.5,0.125,0.125,,,,,0.2,,,1.0,3.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,1.0,0.3333333333333333,0.3333333333333333,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,227.0,4.0,2,8,8,8,5,,16,,,,,,,1.0,2.0,,2.0,6.0,,1.0,2.0,,2.0,,,1.0,1.0,1.0,2.0,1.0,,5.0,,,,,,1.0,2.0,8,1.0,,,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,25.0,,,,,,,,,,,,,,,,,,1.0,0.68895,,0.68895,1.0,,,1.0,2.0,2.0,,,,,,,,3.0,2.0,,,,,,,,,,0.5,,1.0,,,,1.0,,,1.0,1.0,,,2.0,,,,,,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,198.0,3.0,1,6,7,6,4,,13,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,1610612743,Reggie Evans,Reggie Evans,2501,DEN,29.0,,1,2,1,2,1,,3,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,2,,,,,,,,,,1.0,,,50.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,35.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,1610612743,Ruben Patterson,Ruben Patterson,1739,DEN,3461.0,58.0,-26,110,109,48,29,21.0,219,1.0,5.0,,,,,9.0,17.0,,20.0,126.0,3.0,4.0,10.0,,10.0,12.0,,3.0,3.0,,3.0,,1.0,6.0,5.0,1.0,1.0,5.0,6.0,6.0,10.0,48,1.0,0.6666666666666666,0.8571428571428571,0.5294117647058824,0.4,0.5294117647058824,0.4,0.5263157894736842,0.4166666666666667,,0.17647058823529413,0.2,16.923076923076923,0.02702702702702703,0.0847457627118644,0.022222222222222223,0.07462686567164178,,,,0.29411764705882354,0.2,0.25,,,,,,,,0.7058823529411765,0.5598176470588234,0.5946,0.55217,0.5,2.2882352941176474,,0.43636363636363634,12.0,7.0,,,,,,,1.0,1.0,,1.0,,3.0,3.0,4.0,,,,,0.16666666666666666,0.3333333333333333,0.7058823529411765,,,,0.7,,,8.0,4.0,2.0,2.0,6.0,7.0,5.0,1.0,2.0,2.0,0.6666666666666666,0.8,0.5714285714285714,0.058823529411764705,0.058823529411764705,1.0,,,,0.05263157894736842,0.16666666666666666,0.75,2.0,3.0,2.0,5.0,1.0,0.6666666666666666,0.6666666666666666,0.625,0.2,1.0,0.6666666666666666,0.25,1.0,1.0,False,1.0,4.0,1.0,2.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,7411.0,124.0,-12,237,239,59,80,42.0,476,3.0,5.0,5.0,9.0,21.0,8.0,13.0,22.0,29.0,54.0,230.0,2.0,3.0,8.0,11.0,18.0,20.0,21.0,1.0,5.0,,5.0,,4.0,10.0,1.0,8.0,10.0,2.0,12.0,10.0,18.0,59,1.0,0.7692307692307693,0.7692307692307693,0.5909090909090909,0.375,0.46078431372549017,0.3157894736842105,0.4909090909090909,0.4090909090909091,0.5686274509803921,0.045454545454545456,,19.09722222222222,0.0963855421686747,0.009523809523809525,0.08823529411764706,0.014285714285714285,,0.14285714285714285,0.08108108108108109,0.09803921568627451,0.6,0.6,1.0,0.17647058823529413,0.5555555555555556,0.5555555555555556,0.6,0.4117647058823529,0.42105263157894735,0.7254901960784313,0.48697352941176464,0.4798875,0.4706394736842105,0.3333333333333333,9.47272727272727,25.41379310344827,0.2489451476793249,8.0,3.0,6.0,2.0,7.0,2.0,21.0,6.0,1.0,2.0,,,,,,4.0,1.0,0.2413793103448276,0.18181818181818182,0.2413793103448276,0.125,,0.1568627450980392,0.2857142857142857,0.2857142857142857,1.0,0.15789473684210525,0.25,0.2857142857142857,5.0,2.0,7.0,6.0,6.0,7.0,8.0,2.0,2.0,2.0,0.625,0.7142857142857143,0.6666666666666666,0.03773584905660377,0.08333333333333333,,,,,,0.02040816326530612,0.8,1.0,1.0,2.0,9.0,1.0,1.0,0.5833333333333334,0.6428571428571429,0.03571428571428571,0.16666666666666666,1.0,0.16666666666666666,,2.0,False,2.0,,,,,,0.05555555555555555,1.0,8.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1111111111111111,0.05263157894736842,0.02857142857142857,0.04,0.07692307692307693,1.0,0.1568627450980392,0.125,0.125,1.0,1.0,0.16666666666666666,0.5,0.3333333333333333,1.0,0.15789473684210525,,,,,,,,,,,,,,,,,,,
