EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGA,FG3A,FtPoints,Points,OpponentPoints,NonHeaveArc3FGA,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,TsPct,FG3APct,Usage,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,FG2A,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,ShortMidRangeFGM,FG2M,SecondChanceFG2M,SecondChancePoints,PtsUnassisted2s,DefTwoPtRebounds,Steals,BadPassSteals,Offensive Fouls Drawn,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChancePointsPct,Fg2aBlocked,Fouls,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,AtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGM,OffThreePtRebounds,PenaltyTurnovers,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,on,SecondChanceAtRimFGM,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,Arc3Assists,3pt And 1 Free Throw Trips,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTOffRebounds,StepOutOfBoundsTurnovers,BlockedAtRim,OffFTReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,HeaveAttempts,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,Technical Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations
1716,1610612739,Larry Hughes,Larry Hughes,1716,CLE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,1610612739,Damon Jones,Damon Jones,1800,CLE,395.0,7.0,4.0,12.0,13.0,4.0,1.0,2.0,25.0,1.0,1.0,3.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,0.75,1.0,20.0,1.0,1.0,0.62535,0.5,0.5,25.7,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,1610612739,Flip Murray,Flip Murray,2436,CLE,531.0,9.0,4.0,17.0,18.0,9.0,1.0,3.0,35.0,,1.0,3.0,3.0,13.0,,,,,2.0,4.0,,9.0,0.1875,0.16666666666666666,38.095238095238095,,0.5,0.4582333333333333,0.14285714285714285,,24.0,0.5294117647058824,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.3,0.125,0.2,0.09090909090909091,0.09090909090909091,1.0,0.2,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.5943,0.45613333333333334,0.16666666666666666,1.0,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,1610612739,Anderson Varejao,Anderson Varejao,2760,CLE,530.0,9.0,5.0,17.0,17.0,9.0,,3.0,34.0,,,2.0,4.0,12.0,,,,,2.0,2.0,,9.0,1.0,,9.523809523809524,,,0.3131,0.5,,,0.5294117647058824,,,,1.0,,,1.0,1.0,,,,,,,,1.0,2.0,3.0,1.0,4.0,,1.0,,,,,0.125,0.4,0.2727272727272727,0.09090909090909091,,0.4,,,1.0,,,,,0.3131,,0.5,,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,0.2,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,1610612739,Alan Henderson,Alan Henderson,673,CLE,531.0,9.0,4.0,17.0,18.0,9.0,1.0,3.0,35.0,,,,,13.0,,,,,1.0,,,9.0,,,9.523809523809524,,1.0,0.6878,,,,0.5294117647058824,2.0,2.0,,,,,2.0,2.0,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,0.125,,0.09090909090909091,0.09090909090909091,,,,1.0,,,,1.0,,0.621,,,,,,,,,,1.0,,,,,,,,,0.16666666666666666,0.25,0.2,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1610612739,Ira Newble,Ira Newble,1956,CLE,529.0,9.0,5.0,17.0,17.0,9.0,,3.0,34.0,1.0,1.0,,7.0,12.0,1.0,,1.0,1.0,,,,9.0,1.1666666666666667,0.3333333333333333,19.047619047619047,0.3333333333333333,0.6666666666666666,0.5726166666666667,,,24.6,0.5294117647058824,1.0,,1.0,,1.0,,2.0,,1.0,,5.0,,,,,,,,1.0,1.0,,,,5.0,,1.25,,,,0.09090909090909091,,,,0.3333333333333333,,0.3333333333333333,,,0.5,,0.677225,,0.7142857142857143,8.35,,2.0,,,2.0,,1.0,1.0,,1.0,,1.1666666666666667,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.25,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,1610612739,Drew Gooden,Drew Gooden,2400,CLE,1.0,,-1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,1.0,,-1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,1610612739,Sasha Pavlovic,Sasha Pavlovic,2562,CLE,136.0,2.0,,5.0,5.0,5.0,,1.0,10.0,1.0,1.0,,,3.0,1.0,,,,,,,5.0,,0.5,33.333333333333336,0.5,0.5,0.4825,,,25.6,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,0.3333333333333333,,,,,,,0.5,,,,,0.4825,,,18.1,,,,,,1.0,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,1610612739,Larry Hughes,Larry Hughes,1716,CLE,20155.0,336.0,-29.0,616.0,612.0,163.0,174.0,99.0,1228.0,13.0,18.0,23.0,100.0,680.0,13.0,3.0,10.0,16.0,21.0,31.0,,163.0,0.390625,0.1592920353982301,19.807427785419534,0.11504424778761062,0.46017699115044247,0.4845384955752213,0.0975609756097561,,24.777777777777775,0.26461038961038963,34.0,4.0,7.0,19.0,42.0,5.0,95.0,11.0,14.0,10.0,21.0,32.0,36.0,8.0,76.0,7.0,5.0,18.0,9.0,27.0,2.0,12.0,5.0,21.0,3.0,0.45652173913043476,0.029166666666666667,0.06944444444444445,0.06007067137809187,0.029900332225913623,0.06349206349206349,0.05263157894736842,0.03125,0.3008849557522124,0.168141592920354,0.37168141592920356,0.04424778761061947,0.3076923076923077,0.4375,0.45811666666666667,0.504653125,0.11428571428571428,0.21,9.957894736842105,,31.0,5.0,13.0,38.0,12.0,20.0,7.0,1.0,0.3263157894736842,0.45454545454545453,0.3407079646017699,0.38461538461538464,0.43333333333333335,0.05687203791469194,0.013888888888888888,0.07228915662650602,,,0.13,13.0,34.0,,6.0,0.1368421052631579,0.11764705882352941,17.0,3.0,14.0,4.0,1.0,2.0,5.0,4.0,1.0,2.0,24.0,,4.0,2.0,8.0,3.0,0.3870967741935484,0.4,0.2777777777777778,0.5,0.2777777777777778,0.2857142857142857,0.34375,0.03278688524590164,0.05,0.5,0.5666666666666667,0.3333333333333333,0.34146341463414637,0.42857142857142855,0.3076923076923077,0.3076923076923077,0.42857142857142855,0.125,0.5,0.3076923076923077,False,2.0,1.0,2.0,2.0,3.0,15.0,2.0,4.0,4.0,19.0,5.0,1.0,13.0,6.0,4.0,2.0,2.0,2.0,2.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.42105263157894735,0.023809523809523808,0.375,0.029411764705882353,0.01904761904761905,0.029850746268656716,0.06557377049180328,0.13333333333333333,1.0,0.35294117647058826,0.2,0.2,1.0,1.0,0.5,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
