EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFtPoints,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,DefThreePtRebounds,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyArc3Frequency,Avg2ptShotDistance,Avg3ptShotDistance,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Clear Path Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefCorner3ReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,SelfOReb,Loose Ball Fouls,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls Drawn,Blocked3s,BlockedCorner3,BlockedShortMidRange,SecondChanceCorner3FGA,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,on,OffCorner3ReboundPct,SecondChanceCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,3SecondViolations,StepOutOfBoundsTurnovers,DefensiveGoaltends,SecondChanceCorner3PctAssisted
101195,1610612741,Luke Schenscher,Luke Schenscher,101195,CHI,831.0,14,5.0,29,30,15,22,3.0,59,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,7.0,18,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,15,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.75,15.625,0.3333333333333333,0.2222222222222222,0.09090909090909091,0.2,0.15384615384615385,0.125,0.14285714285714285,0.2,0.3333333333333333,0.2,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.60635,0.5868,0.5,0.5,0.2857142857142857,0.42857142857142855,0.5172413793103449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
15,1610612741,Eric Piatkowski,Eric Piatkowski,15,CHI,1348.0,22,-7.0,51,45,26,26,3.0,96,,,,,,,1.0,1.0,2.0,10.0,49,,,2.0,1.0,1.0,2.0,4.0,,2.0,,1.0,,,,3.0,1.0,4.0,,,,1.0,,1.0,,2.0,,4.0,26,,,1.0,,1.0,0.6666666666666666,,0.3333333333333333,0.7142857142857143,1.0,0.5,12.727272727272727,,,,0.08333333333333333,0.1875,0.041666666666666664,,0.1111111111111111,,,,,,,,,,,0.8333333333333334,0.49995833333333334,0.44716666666666666,,,0.2,0.4,0.5098039215686274,1.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.8333333333333334,0.3333333333333333,0.375,1.0,0.16666666666666666,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,17.2,24.419999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2550,1610612741,Kirk Hinrich,Kirk Hinrich,2550,CHI,7876.0,131,-9.0,260,256,104,104,27.0,516,5.0,17.0,,,2.0,6.0,15.0,40.0,24.0,69.0,279,,1.0,3.0,5.0,15.0,10.0,20.0,12.0,18.0,,,,3.0,,10.0,,10.0,8.0,14.0,4.0,10.0,,23.0,1.0,28.0,9.0,20.0,104,0.4,0.4,0.375,,0.3333333333333333,0.4017857142857143,0.375,0.25,0.49264705882352944,0.375,0.36538461538461536,28.37370242214533,,0.04,,,0.08695652173913043,,,,0.045454545454545456,0.07407407407407407,0.30357142857142855,0.29411764705882354,0.4166666666666667,0.2,,,0.3,0.3333333333333333,0.5892857142857143,0.5071446428571428,0.4845675,0.14285714285714285,0.19148936170212766,0.043478260869565216,0.2898550724637681,0.4,10.0,23.0,,1.0,15.0,5.0,5.0,16.0,,5.0,9.0,15.0,7.0,5.0,1.0,,1.0,1.0,2.0,4.0,0.6,0.3125,0.3125,0.2857142857142857,0.175,0.08,1.0,0.4107142857142857,0.43478260869565216,0.47619047619047616,0.017857142857142856,,,,0.26785714285714285,0.25,10.504999999999999,25.0,5.0,1.0,3.0,1.0,3.0,6.0,5.0,7.0,19.0,7.0,26.0,5.0,2.0,10.0,1.0,8.0,59.0,6.0,2.0,4.0,6.0,5.0,4.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.175,0.29411764705882354,0.08695652173913043,0.42857142857142855,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.6,0.75,0.3333333333333333,1.0,0.3333333333333333,0.536775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2732,1610612741,Ben Gordon,Ben Gordon,2732,CHI,8610.0,144,-18.0,283,280,100,116,29.0,563,11.0,19.0,,,6.0,8.0,17.0,39.0,14.0,69.0,304,,1.0,,7.0,15.0,7.0,27.0,2.0,32.0,,,4.0,6.0,1.0,9.0,4.0,13.0,6.0,12.0,2.0,9.0,2.0,15.0,3.0,23.0,6.0,27.0,100,0.058823529411764705,0.058823529411764705,0.4358974358974359,,0.4666666666666667,0.4365079365079365,,0.45454545454545453,0.4722222222222222,,0.5,26.751592356687897,0.1,0.07407407407407407,0.0449438202247191,,0.06557377049180328,0.031496062992125984,0.045454545454545456,,0.15384615384615385,0.03571428571428571,0.30158730158730157,0.5789473684210527,0.6111111111111112,,,,0.36363636363636365,0.75,0.6825396825396826,0.4963079365079365,0.4930204545454545,0.10144927536231885,0.13636363636363635,,0.391304347826087,0.35335689045936397,3.0,13.0,3.0,8.0,16.0,5.0,7.0,24.0,,7.0,18.0,16.0,2.0,3.0,,,,,2.0,2.0,0.8571428571428571,0.2916666666666667,0.2916666666666667,0.38095238095238093,0.04878048780487805,0.08,,0.20634920634920634,0.23076923076923078,0.23076923076923078,0.12698412698412698,0.375,0.42857142857142855,1.0,0.25396825396825395,0.22727272727272727,8.158974358974358,24.466666666666665,4.0,,2.0,,2.0,3.0,4.0,1.0,6.0,7.0,13.0,6.0,1.0,2.0,,4.0,33.0,4.0,2.0,2.0,6.0,3.0,5.0,1.0,1.0,,2.0,7.0,,1.0,3.0,,,,0.02564102564102564,0.05263157894736842,,0.5,,,0.25,0.25,0.75,0.6666666666666666,,,0.25,0.48550000000000004,3.0,7.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.2857142857142857,0.041666666666666664,0.125,0.03333333333333333,0.06666666666666667,0.037037037037037035,0.05405405405405406,0.1111111111111111,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.09090909090909091,0.5,0.2,0.04,,,,,,,,True,,,,,,,,,
2736,1610612741,Luol Deng,Luol Deng,2736,CHI,10813.0,180,-29.0,358,353,132,149,34.0,711,9.0,17.0,,3.0,5.0,10.0,23.0,51.0,12.0,61.0,384,1.0,8.0,2.0,9.0,20.0,7.0,25.0,34.0,12.0,,2.0,6.0,11.0,4.0,21.0,8.0,29.0,4.0,5.0,6.0,13.0,2.0,16.0,2.0,21.0,8.0,25.0,132,0.7391304347826086,0.7391304347826086,0.45098039215686275,0.125,0.45,0.4375,0.125,0.4090909090909091,0.4621212121212121,0.1111111111111111,0.46296296296296297,17.974683544303797,0.26666666666666666,0.10891089108910891,0.05357142857142857,0.041666666666666664,0.11258278145695365,0.05,0.03571428571428571,0.05128205128205128,0.06451612903225806,0.1388888888888889,0.30357142857142855,0.5294117647058824,0.6,0.6666666666666666,0.375,,0.45454545454545453,0.5,0.39285714285714285,0.46040535714285713,0.5021454545454546,0.125,0.13559322033898305,0.03278688524590164,0.4098360655737705,0.3687150837988827,9.0,24.0,1.0,3.0,2.0,1.0,1.0,5.0,,2.0,3.0,2.0,6.0,2.0,3.0,,4.0,4.0,1.0,2.0,1.0,0.2,0.2,0.08928571428571429,0.12,0.15625,1.0,0.42857142857142855,0.375,0.375,0.05357142857142857,0.3333333333333333,0.5,1.0,0.03571428571428571,0.045454545454545456,10.02941176470588,24.040000000000003,,,,,,,,2.0,3.0,,3.0,,,1.0,1.0,1.0,6.0,5.0,3.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,0.0392156862745098,0.11764705882352941,,0.2,0.05555555555555555,0.7777777777777778,,,,,,,,0.45400000000000007,5.0,10.0,,1.0,,,1.0,2.0,,,,0.2,0.3333333333333333,0.10810810810810811,,0.11764705882352941,0.06896551724137931,0.17857142857142858,0.5,0.5,0.8,0.045454545454545456,,,,1.0,1.0,1.0,2.0,,,,True,,,,,,,,,
2768,1610612741,Chris Duhon,Chris Duhon,2768,CHI,5469.0,91,-26.0,186,180,64,81,11.0,366,,2.0,,,,,,6.0,3.0,21.0,195,,,,,1.0,2.0,5.0,,,,,1.0,6.0,1.0,9.0,1.0,10.0,1.0,5.0,2.0,7.0,,4.0,1.0,4.0,1.0,5.0,64,,,,,,0.47368421052631576,,0.375,0.5,,0.5,13.06532663316583,0.1111111111111111,0.11764705882352941,0.018518518518518517,,0.1095890410958904,0.012345679012345678,0.03571428571428571,,0.17647058823529413,0.11764705882352941,0.10526315789473684,,,,,,,,0.7894736842105263,0.5128289473684211,0.44427500000000003,0.05,0.14285714285714285,,0.23809523809523808,0.34408602150537637,,1.0,2.0,3.0,10.0,3.0,6.0,13.0,,3.0,15.0,10.0,2.0,1.0,,,,,3.0,1.0,0.8333333333333334,0.46153846153846156,0.46153846153846156,0.6842105263157895,0.09090909090909091,0.058823529411764705,,0.05263157894736842,,,0.15789473684210525,0.6666666666666666,0.6666666666666666,1.0,0.5263157894736842,0.75,7.466666666666666,24.292307692307695,4.0,,,,1.0,3.0,4.0,2.0,6.0,3.0,9.0,,3.0,3.0,2.0,1.0,21.0,1.0,1.0,,4.0,,2.0,1.0,2.0,,1.0,2.0,,,,,,,0.3333333333333333,0.5,,0.8,0.2,,0.4,0.4,0.75,,,,0.4,0.6093,,3.0,,,1.0,1.0,,,,,0.3333333333333333,,,,,0.058823529411764705,,0.15789473684210525,,,,,,0.3333333333333333,,,,,,1.0,0.3333333333333333,1.0,True,,,,,,,,,
2124,1610612741,Malik Allen,Malik Allen,2124,CHI,2570.0,43,-13.0,87,85,20,50,3.0,172,1.0,3.0,,1.0,,1.0,3.0,11.0,,6.0,94,,1.0,,,2.0,,,4.0,2.0,,,1.0,2.0,,3.0,1.0,4.0,3.0,4.0,4.0,8.0,2.0,1.0,,,,,20,0.6666666666666666,0.6666666666666666,0.2727272727272727,,,0.2727272727272727,,,0.2727272727272727,,,16.483516483516482,,0.07407407407407407,0.043478260869565216,,0.075,0.027777777777777776,,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,1.0,,0.5,,0.2727272727272727,0.4397,0.44010000000000005,,,,,0.22988505747126436,2.0,8.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,0.07692307692307693,0.1111111111111111,,0.7272727272727273,0.25,0.25,,,,,,,12.97272727272727,,,,,,,,,,2.0,1.0,3.0,1.0,,,1.0,1.0,7.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,0.25,,0.5,,,,,,,,0.5449,,,,,,,,,,,,,,0.09090909090909091,,0.15384615384615385,,,,,,,,,,,,,,,,,True,,,,,,,,,
2457,1610612741,Jannero Pargo,Jannero Pargo,2457,CHI,936.0,16,-2.0,32,32,24,18,3.0,64,,,,,,,1.0,6.0,4.0,9.0,32,,,,1.0,4.0,2.0,7.0,,2.0,,,,,,2.0,,2.0,1.0,2.0,,,,2.0,,5.0,1.0,7.0,24,,,0.16666666666666666,,0.25,0.3125,,0.4166666666666667,0.45,,0.5,34.285714285714285,,,,,0.2,,,,,,,,,,,,,,0.25,0.39948125,0.401875,0.2,0.14285714285714285,,0.7777777777777778,0.75,1.0,6.0,,,2.0,2.0,1.0,2.0,,2.0,3.0,2.0,2.0,,,,,,,,1.0,0.5,0.5,0.25,0.6666666666666666,0.5,,0.75,0.16666666666666666,0.16666666666666666,,,,,0.25,0.3333333333333333,19.400000000000002,26.15,1.0,,,,,,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,,,8.0,,,,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,0.5,1.0,,0.5,0.5,1.0,,,,0.5,,,,,,1.0,1.0,,,,1.0,0.5,,,,,,,,,,,,,0.5,0.3333333333333333,,,,,,,,True,,,,,,,,,
2804,1610612741,Andres Nocioni,Andres Nocioni,2804,CHI,7634.0,127,-17.0,249,252,88,99,26.0,501,10.0,13.0,1.0,2.0,2.0,4.0,20.0,33.0,14.0,69.0,276,1.0,2.0,4.0,4.0,10.0,6.0,17.0,24.0,16.0,,1.0,2.0,14.0,5.0,25.0,3.0,28.0,5.0,8.0,8.0,13.0,3.0,17.0,4.0,18.0,7.0,17.0,88,0.6,0.6,0.6060606060606061,0.5,0.4,0.625,0.5,0.4230769230769231,0.6634615384615384,0.6666666666666666,0.53125,21.3768115942029,0.5555555555555556,0.1794871794871795,0.02631578947368421,0.03125,0.17543859649122806,0.027777777777777776,,0.03571428571428571,0.2,0.16666666666666666,0.29545454545454547,0.7692307692307693,0.8333333333333334,0.6,1.0,0.5,0.3076923076923077,0.5,0.5454545454545454,0.5067261363636363,0.47741153846153844,0.14285714285714285,0.18421052631578946,0.057971014492753624,0.2463768115942029,0.3534136546184739,7.0,13.0,1.0,1.0,10.0,3.0,5.0,11.0,2.0,3.0,15.0,10.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.45454545454545453,0.45454545454545453,0.25,0.16666666666666666,0.2857142857142857,1.0,0.29545454545454547,0.5384615384615384,0.5384615384615384,0.022727272727272728,1.0,1.0,1.0,0.22727272727272727,0.23076923076923078,9.287878787878787,24.772727272727273,4.0,,,,,,4.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,14.0,2.0,1.0,1.0,3.0,,3.0,,,2.0,1.0,3.0,,2.0,,,,,0.06060606060606061,0.07692307692307693,,0.375,,0.7142857142857143,0.4,0.4,1.0,,,,0.4,0.5735,3.0,7.0,,,1.0,1.0,,,1.0,,0.3333333333333333,,,0.07142857142857142,,0.17857142857142858,,0.1590909090909091,0.42857142857142855,0.5,0.3333333333333333,,,0.3333333333333333,,2.0,,,,,0.14285714285714285,,True,,,,,,,,,
2552,1610612741,Michael Sweetney,Michael Sweetney,2552,CHI,3388.0,56,-13.0,110,109,39,26,13.0,219,5.0,6.0,1.0,1.0,2.0,2.0,7.0,11.0,11.0,25.0,120,1.0,2.0,5.0,2.0,4.0,5.0,9.0,6.0,8.0,2.0,1.0,4.0,6.0,1.0,9.0,5.0,14.0,2.0,3.0,7.0,12.0,2.0,15.0,2.0,15.0,4.0,9.0,39,0.42857142857142855,0.5,0.6363636363636364,0.5,0.5,0.6363636363636364,0.5,0.5,0.6944444444444444,0.5,0.6428571428571429,16.129032258064516,0.3333333333333333,0.20689655172413793,0.1,0.09090909090909091,0.1702127659574468,0.09803921568627451,0.16666666666666666,0.09090909090909091,0.125,0.3,0.5454545454545454,0.8333333333333334,0.8333333333333334,0.6,0.5,1.0,0.5,1.0,0.5454545454545454,0.49578181818181816,0.505225,0.3076923076923077,0.3076923076923077,0.2,0.36,0.35454545454545455,,1.0,,,,,,,3.0,,,,2.0,5.0,3.0,2.0,3.0,3.0,1.0,3.0,,,,,0.1111111111111111,,1.0,0.09090909090909091,,,,,,,,,4.963636363636364,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,3.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,2.0,,,,,0.09090909090909091,,,0.3333333333333333,0.4,,,,,,,,,0.4066,2.0,4.0,,,,,,,,,,,,0.1,,0.18181818181818182,,0.36363636363636365,0.5,0.6666666666666666,,,,,,1.0,,,1.0,,0.25,,True,,,,,,,,,
