EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,DefThreePtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FtPoints,Points,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,Steals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,BadPassSteals,Fouls,Loose Ball Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,ShootingFouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTDefRebounds,DefFTReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,ShortMidRangeFGM,AtRimAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedShortMidRange,DefensiveGoaltends,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsUnassisted3s,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,3SecondViolations
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,221.0,4,-11,8,8,4,5,1.0,16,1.0,1.0,14,1.0,1.0,1.0,4,11.11111111111111,1.0,1.0,1.0,1.0,0.3652,8.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612756,Raja Bell,Raja Bell,1952,PHX,221.0,4,-11,8,8,4,5,1.0,16,,2.0,14,,,,4,33.333333333333336,,,,,0.5925,10.05,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.777,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,1610612756,Leandro Barbosa,Leandro Barbosa,2571,PHX,736.0,12,-16,26,26,22,22,3.0,52,1.0,4.0,34,,1.0,1.0,22,20.689655172413794,,0.25,,0.2,0.5031399999999999,8.5,0.8461538461538461,1.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,,2.0,2.0,4.0,6.0,,1.0,,1.0,2.0,1.0,6.0,0.5,0.5,0.4,0.4,0.5,1.0,0.5,0.4,0.5,1.0,0.2,0.4,0.5,0.6,0.5031399999999999,0.16666666666666666,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.304,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1610612756,Brian Grant,Brian Grant,258,PHX,736.0,12,-16,26,26,22,22,3.0,52,1.0,3.0,34,,,2.0,22,13.793103448275863,,,,0.3333333333333333,0.3851,15.9,0.8461538461538461,,,,,2.0,1.0,,2.0,,,1.0,1.0,2.0,,,,2.0,2.0,1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.25,,0.5,,,,0.6666666666666666,,,,0.3734,0.25,0.25,,1.0,1.0,,,,,,,,2.0,,,,,,,,,7.0,,1.0,1.0,,,,,,,,,,0.5,0.5,1.0,,,,,1.0,1.0,2.0,2.0,1.0,3.0,0.1,0.25,0.14285714285714285,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,1610612756,Steve Nash,Steve Nash,959,PHX,392.0,7,-10,15,15,11,12,1.0,30,,,22,,,,11,12.5,,,,,,,0.7333333333333333,,,,,,,2.0,2.0,,,,,2.0,,,,1.0,2.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,1610612756,Eddie House,Eddie House,2067,PHX,344.0,6,-6,11,11,11,10,2.0,22,,,12,,,,11,23.076923076923077,,,,,0.489375,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,0.489375,,,,,,2.0,2.0,2.0,,,2.0,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,25.65,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,1610612756,Nikoloz Tskitishvili,Nikoloz Tskitishvili,2401,PHX,152.0,3,-1,4,5,4,5,1.0,9,,2.0,6,,1.0,1.0,4,60.0,,,,,0.37465,18.5,1.0,,,,,2.0,,1.0,1.0,,,,2.0,1.0,,,,1.0,2.0,,1.0,,,,,0.16666666666666666,,0.16666666666666666,,,,1.0,,,,0.37465,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,1610612756,James Jones,James Jones,2592,PHX,515.0,9,-5,18,18,18,17,2.0,36,2.0,2.0,20,,2.0,2.0,18,15.0,,0.3333333333333333,,0.6666666666666666,0.42324999999999996,10.15,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.42324999999999996,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,,25.9,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,1610612756,Boris Diaw,Boris Diaw,2564,PHX,363.0,6,-4,14,13,14,12,1.0,27,1.0,1.0,14,,,,14,26.666666666666668,,,,1.0,0.4218,10.2,1.0,,,,,,1.0,2.0,4.0,,,1.0,1.0,4.0,2.0,,,2.0,4.0,,4.0,1.0,1.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,,,,,,,,0.4218,,,,1.0,,,,,,,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,1610612756,Tim Thomas,Tim Thomas,1501,PHX,38135.0,636,31,1211,1217,312,307,104.0,2428,39.0,112.0,1381,13.0,110.0,126.0,312,19.78931527464259,0.10317460317460317,0.17869415807560138,0.1276595744680851,0.17727272727272728,0.49214452054794516,7.058928571428572,0.25763831544178367,30.0,49.0,4.0,11.0,24.0,60.0,38.0,302.0,3.0,22.0,9.0,22.0,65.0,68.0,18.0,7.0,44.0,49.0,20.0,65.0,0.5357142857142857,0.4090909090909091,0.6,0.4326923076923077,0.6265560165975104,0.5,0.5158730158730159,0.22272727272727272,0.6122448979591837,0.7142857142857143,0.10909090909090909,0.21153846153846154,0.36363636363636365,0.7136363636363636,0.475621568627451,0.08583690987124463,0.16,0.0728476821192053,0.2152317880794702,12.0,84.0,23.0,108.0,5.0,14.0,30.0,20.0,52.0,83.0,9.0,12.0,25.0,5.0,63.0,91.0,11.0,90.0,5.0,0.43333333333333335,0.45614035087719296,0.35714285714285715,0.4523809523809524,0.4909090909090909,0.08035714285714286,0.14285714285714285,0.05128205128205128,0.19956140350877194,0.1783783783783784,0.5,0.5,0.5,0.25,0.38181818181818183,0.4423076923076923,0.51645,25.47037037037037,5.0,11.0,16.0,51.0,1.0,16.0,0.03170028818443804,0.026455026455026454,0.029850746268656716,0.026785714285714284,0.027777777777777776,12.0,5.0,22.0,3.0,8.0,6.0,0.5454545454545454,2.0,0.018518518518518517,0.023809523809523808,6.0,0.1935483870967742,5.0,7.0,7.0,1.0,8.0,3.0,0.2403846153846154,0.375,0.23809523809523808,18.0,5.0,0.46153846153846156,0.4864864864864865,False,4.0,11.0,10.0,24.0,2.0,2.0,7.0,38.0,3.0,7.0,48.0,3.0,9.0,144.0,6.0,1.0,38.0,13.0,10.0,3.0,2.0,3.0,2.0,10.0,7.0,5.0,1.0,3.0,2.0,7.0,1.0,1.0,6.0,2.0,1.0,0.4444444444444444,0.42857142857142855,0.3,0.4485981308411215,0.042735042735042736,0.025423728813559324,0.022222222222222223,0.19760479041916168,0.03125,0.030612244897959183,0.4444444444444444,0.10909090909090909,0.4166666666666667,0.4166666666666667,1.0,0.4523809523809524,0.4634146341463415,1.0,0.5238095238095238,0.36363636363636365,0.25,0.09523809523809523,0.6,1.0,0.1346153846153846,0.2857142857142857,0.30434782608695654,0.4578313253012048,,,,,,,,,,,,,,
