EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG2M,PenaltyFG3A,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,PenaltyFg2Pct,PenaltyEfgPct,FG3APct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefTwoPtRebounds,BadPassTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,FTDefRebounds,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,PenaltyArc3FGM,ShortMidRangeAssists,SelfOReb,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,OffLongMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,PenaltyArc3Accuracy,SecondChanceAtRimFGA,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,OffFTReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,PtsPutbacks,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Corner3Assists,StepOutOfBoundsTurnovers,on,BadPassOutOfBoundsTurnovers,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,1639.0,27,-3.0,47,46,14.0,21,7.0,93,1.0,4.0,2.0,1.0,6.0,2.0,10.0,7.0,11.0,45,1.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,6.0,1.0,1.0,8.0,3.0,1.0,4.0,14.0,1.0,0.5,0.5,0.2,0.2,0.39285714285714285,0.5,0.4,0.1,0.25,30.188679245283016,0.5,0.05555555555555555,0.16666666666666666,0.041666666666666664,0.043478260869565216,0.16666666666666666,0.16666666666666666,0.4,0.25,0.3333333333333333,1.0,0.6,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.4,0.45170000000000005,0.3349,0.4739,0.23076923076923078,0.23076923076923078,0.18181818181818182,0.36363636363636365,5.14,0.2978723404255319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1088,1610612763,Chucky Atkins,Chucky Atkins,1088,MEM,644.0,11,-4.0,17,19,12.0,15,1.0,36,1.0,2.0,2.0,,,2.0,3.0,1.0,5.0,19,,,,3.0,1.0,5.0,,4.0,,,,,,,,,,,,,,1.0,1,1.0,,,2.0,,1.0,5.0,12.0,1.0,,,0.6666666666666666,0.5,0.5,,0.5,,,25.0,,,,,,,,0.5,0.5,0.5,,,,,0.5,0.75,0.5731499999999999,,0.5731499999999999,,,,1.0,5.466666666666666,0.7058823529411765,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,0.6666666666666666,0.5,0.25,0.25,1.0,1.0,0.25,0.5,0.25,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1517,1610612763,Bobby Jackson,Bobby Jackson,1517,MEM,6026.0,100,-23.0,174,175,67.0,77,19.0,349,6.0,9.0,4.0,1.0,3.0,8.0,18.0,5.0,33.0,188,1.0,,5.0,7.0,2.0,7.0,6.0,10.0,2.0,,2.0,8.0,,8.0,6.0,8.0,2.0,4.0,14.0,1.0,6.0,1.0,7,6.0,,1.0,7.0,4.0,,7.0,67.0,,0.375,0.375,0.4444444444444444,0.4827586206896552,0.515625,0.8333333333333334,0.25,0.1111111111111111,0.1111111111111111,23.58974358974359,0.42857142857142855,,0.1,0.09195402298850575,,,0.11764705882352941,0.3103448275862069,0.6666666666666666,0.75,0.3333333333333333,0.10344827586206896,0.3333333333333333,0.5,0.3076923076923077,0.6896551724137931,0.5031206896551723,0.4761,0.4909076923076923,0.125,0.19047619047619047,0.15151515151515152,0.21212121212121213,8.027777777777779,0.3850574712643678,1.0,1.0,6.0,7.0,3.0,11.0,1.0,6.0,7.0,4.0,5.0,2.0,2.0,11.0,1.0,1.0,0.14285714285714285,0.19230769230769232,0.3793103448275862,0.20689655172413793,0.16666666666666666,0.16666666666666666,0.2413793103448276,0.25,0.23076923076923078,24.354545454545452,2.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,9.0,3.0,2.0,1.0,1.0,6.0,4.0,4.0,1.0,0.75,0.36363636363636365,0.5,0.16666666666666666,0.36363636363636365,1.0,0.8333333333333334,0.3333333333333333,0.08955223880597014,0.125,0.10344827586206896,1.0,0.13793103448275862,0.5,0.5,1.0,0.2857142857142857,0.2857142857142857,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2073,1610612763,Brian Cardinal,Brian Cardinal,2073,MEM,686.0,11,-17.0,20,20,5.0,10,1.0,40,,,,,,,,,,28,,,,,,,,,,,1.0,3.0,1.0,4.0,,,,,,,,,1,,,,,,,,5.0,,,,,,,,,,,4.761904761904762,,,0.5,0.3333333333333333,0.1111111111111111,,0.5,,,,,,,,,1.0,0.56745,,0.56745,,,,,,0.25,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,24.8,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.2857142857142857,,0.5,,,,,,,,,,,,,,,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,2033.0,34,-17.0,57,61,17.0,25,3.0,118,3.0,4.0,1.0,,,4.0,5.0,4.0,12.0,74,,,,1.0,,2.0,4.0,4.0,1.0,,,5.0,1.0,6.0,,,,,,,,2.0,4,6.0,1.0,1.0,4.0,2.0,,2.0,17.0,,0.5,0.5,0.8,0.8,0.8571428571428571,,1.0,0.2,0.25,11.475409836065573,,,,0.13793103448275862,0.047619047619047616,,,0.8,0.75,1.0,0.3333333333333333,,,,1.0,0.8,0.55212,,0.5528,0.2857142857142857,0.2857142857142857,,0.16666666666666666,3.5200000000000005,0.2982456140350877,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,0.2,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,0.16666666666666666,0.1111111111111111,0.3,1.0,,,,,,,,,,,,,,,1.0,0.25,0.5,1.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,4073.0,68,-40.0,116,120,57.0,64,15.0,236,2.0,3.0,2.0,1.0,3.0,4.0,13.0,2.0,13.0,135,,,,7.0,1.0,10.0,4.0,4.0,1.0,1.0,4.0,11.0,1.0,12.0,4.0,2.0,1.0,,6.0,,3.0,6.0,9,6.0,1.0,1.0,2.0,2.0,,10.0,57.0,,0.5,0.5,0.3076923076923077,0.3055555555555556,0.3611111111111111,,0.625,0.07692307692307693,,18.045112781954888,0.6666666666666666,0.021739130434782608,0.3076923076923077,0.1896551724137931,0.017241379310344827,,0.36363636363636365,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.5,0.25,0.4444444444444444,0.4554027777777778,,0.42786250000000003,0.1111111111111111,0.15384615384615385,,0.7692307692307693,13.03846153846154,0.49137931034482757,2.0,1.0,7.0,5.0,1.0,5.0,3.0,1.0,5.0,6.0,6.0,4.0,1.0,12.0,2.0,2.0,0.42857142857142855,0.5625,0.2777777777777778,0.3888888888888889,0.14285714285714285,0.14285714285714285,0.2777777777777778,1.0,0.125,24.96,,,,,,,1.0,,1.0,,,,1.0,3.0,,1.0,,,7.0,3.0,2.0,2.0,1.0,0.2,,1.0,0.2,,,0.3333333333333333,0.15555555555555556,0.2,0.1,,,,,,0.2,0.2,1.0,,,,,,,0.2,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.2,0.08333333333333333,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,4342.0,72,-1.0,126,124,46.0,49,12.0,250,6.0,10.0,4.0,2.0,11.0,11.0,30.0,13.0,35.0,130,3.0,,2.0,9.0,7.0,13.0,12.0,10.0,3.0,1.0,2.0,9.0,2.0,11.0,2.0,3.0,,1.0,5.0,,2.0,3.0,6,10.0,,1.0,16.0,6.0,2.0,13.0,46.0,2.0,0.5454545454545454,0.5454545454545454,0.36666666666666664,0.3548387096774194,0.44871794871794873,0.3333333333333333,0.4642857142857143,0.1,0.1,31.42857142857143,0.4,0.02564102564102564,0.13333333333333333,0.12903225806451613,0.020833333333333332,,0.08333333333333333,0.3225806451612903,0.6,0.6666666666666666,0.5,0.3548387096774194,0.18181818181818182,0.2222222222222222,0.4,0.3548387096774194,0.42631333333333327,0.39235,0.443,0.16216216216216217,0.16666666666666666,0.05714285714285714,0.37142857142857144,7.296666666666666,0.36507936507936506,1.0,3.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,6.0,2.0,1.0,14.0,2.0,1.0,0.3333333333333333,0.3,0.03225806451612903,0.2903225806451613,0.3333333333333333,0.3333333333333333,0.03225806451612903,0.25,0.1,35.3,,,,,,,,,,1.0,,,,,,,2.0,2.0,6.0,2.0,1.0,,,,,,,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.1276595744680851,0.1111111111111111,0.19047619047619047,1.0,,,,,,,,,,,,,,,,,,1.0,,0.5,,1.0,,1.0,,,,0.07692307692307693,,,,1.0,1.0,1.0,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,True,,,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,3028.0,50,5.0,90,89,29.0,29,10.0,179,1.0,1.0,,2.0,2.0,4.0,7.0,1.0,9.0,83,1.0,,2.0,,,,2.0,6.0,,1.0,,7.0,2.0,9.0,2.0,2.0,1.0,,4.0,,1.0,3.0,6,5.0,,1.0,2.0,1.0,,,29.0,,0.25,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.5625,1.0,,,,11.881188118811881,0.5,0.037037037037037035,,0.1276595744680851,0.06060606060606061,,,0.14285714285714285,1.0,1.0,,0.2857142857142857,1.0,1.0,,0.14285714285714285,0.41888571428571425,0.5359,,0.125,0.125,0.2222222222222222,,12.200000000000001,0.32222222222222224,,1.0,4.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,2.0,,,,0.5714285714285714,0.25,0.25,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,1.0,1.0,,,,,,,1.0,1.0,,0.17142857142857143,0.18181818181818182,0.15789473684210525,,,,,,,,,,,,,,,,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.5,,,,,1.0,,1.0,0.09090909090909091,0.2,,,1.0,,,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,,,,,True,,,,,,,,,,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,2575.0,43,-15.0,73,74,31.0,34,11.0,147,6.0,8.0,3.0,1.0,2.0,7.0,10.0,4.0,18.0,76,5.0,3.0,11.0,3.0,2.0,6.0,6.0,8.0,1.0,7.0,1.0,4.0,8.0,12.0,1.0,1.0,,,2.0,,1.0,3.0,7,4.0,,1.0,6.0,3.0,,6.0,31.0,,0.42857142857142855,1.0,0.7,0.7,0.6923076923076923,0.7857142857142857,0.6,0.1,0.125,17.857142857142858,0.5,0.23333333333333334,0.1111111111111111,0.0975609756097561,0.2222222222222222,0.3333333333333333,0.125,0.8,0.75,0.8571428571428571,0.3333333333333333,0.2,0.5,0.5,1.0,0.8,0.5169199999999999,0.5793,0.5815333333333333,0.23076923076923078,0.23076923076923078,0.6111111111111112,0.3333333333333333,1.81,0.4246575342465753,2.0,,,,,,2.0,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,0.6666666666666666,,,,,,,,,,,,4.0,,,,,,,,,3.0,1.0,1.0,,,,,,,0.8,0.8,,0.09375,0.14285714285714285,,,,,,,,,,,,,,,,,1.0,0.16666666666666666,,,2.0,,,,,,3.0,3.0,3.0,,0.16666666666666666,,,5.0,,,,,,1.0,4.0,8.0,,2.0,0.6666666666666666,1.0,0.8,0.45454545454545453,0.5,,,True,,,,,,,,,,,,
224,1610612763,Eddie Jones,Eddie Jones,224,MEM,3246.0,54,4.0,95,94,44.0,46,11.0,189,2.0,3.0,,1.0,2.0,5.0,7.0,6.0,22.0,93,,,,3.0,5.0,9.0,6.0,4.0,,,1.0,4.0,,4.0,1.0,,,,1.0,,,2.0,6,7.0,,1.0,10.0,3.0,2.0,9.0,44.0,2.0,0.6,0.6,0.7142857142857143,0.7272727272727273,0.6875,,0.6428571428571429,,,16.037735849056602,1.0,,0.07692307692307693,0.08695652173913043,,,0.1,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.18181818181818182,0.5,0.5,,0.6363636363636364,0.5253727272727272,,0.4352375,0.21428571428571427,0.3,,0.4090909090909091,8.1,0.4631578947368421,,2.0,2.0,2.0,,4.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,9.0,3.0,3.0,0.6666666666666666,0.5,0.36363636363636365,0.18181818181818182,1.0,1.0,0.18181818181818182,,,24.35,,2.0,,,,1.0,2.0,,2.0,,,,,6.0,,2.0,1.0,,3.0,1.0,,,1.0,0.5,,,0.5,,,,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.5,0.18181818181818182,,,,1.0,1.0,1.0,,,,,0.25,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,0.1,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,True,,,,,,,,,,,,
