EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Corner3FGA,FG3A,OpponentPoints,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,FG3APct,Usage,BlocksRecoveredPct,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFtPoints,HeaveAttempts,OffThreePtRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,Defensive 3 Seconds Violations,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,PenaltyFg3Pct,OffFTReboundPct,ShortMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,on,DefensiveGoaltends,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
101128,1610612758,Francisco Garcia,Francisco Garcia,101128,SAC,471.0,8,16,15,4,10,1,31,1.0,1.0,17,1.0,1.0,1.0,1.0,4,1.0,5.88235294117647,1.0,1.0,1.0,0.57675,23.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,9451.0,158,290,290,76,73,37,580,3.0,14.0,337,,,,,76,0.25925925925925924,22.12121212121212,,0.05555555555555555,0.37037037037037035,0.45604074074074075,24.435714285714283,0.2620689655172414,-31.0,3.0,6.0,1.0,3.0,7.0,6.0,27.0,4.0,11.0,1.0,2.0,12.0,40.0,4.0,18.0,54.0,1.0,6.0,1.0,2.0,4.0,11.0,2.0,7.0,15.0,4.0,20.0,6.0,6.0,2.0,11.0,4.0,4.0,19.0,2.0,21.0,1.0,1.0,10.0,1.0,8.0,44.0,3.0,2.0,5.0,7.0,3.0,10.0,7.0,3.0,4.0,7.0,7.0,3.0,10.0,1.0,5.0,3.0,9.0,3.0,20.0,1.0,20.0,1.0,8.0,1.0,1.0,15.0,1.0,1.0,0.16666666666666666,0.18181818181818182,0.5,0.2857142857142857,0.2857142857142857,0.3,0.16666666666666666,0.36363636363636365,0.3333333333333333,0.14285714285714285,0.3076923076923077,0.42857142857142855,0.14285714285714285,0.46875,0.1,0.3333333333333333,0.14285714285714285,0.037037037037037035,0.7,0.05747126436781609,0.02702702702702703,0.06666666666666667,0.05982905982905983,0.02112676056338028,0.07142857142857142,0.017857142857142856,0.038461538461538464,0.06451612903225806,0.06666666666666667,0.1,0.1111111111111111,0.5,0.75,0.12962962962962962,0.42857142857142855,0.5,0.5,0.2222222222222222,0.23076923076923078,0.3333333333333333,0.2037037037037037,0.36363636363636365,0.36363636363636365,0.5,0.14285714285714285,0.07692307692307693,0.15384615384615385,0.36363636363636365,0.43593571428571426,0.43578076923076914,0.14516129032258066,0.1702127659574468,0.06666666666666667,0.037037037037037035,0.2777777777777778,14.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1719,1610612758,Bonzi Wells,Bonzi Wells,1719,SAC,9448.0,157,290,290,81,72,38,580,1.0,3.0,344,2.0,2.0,2.0,,81,0.05660377358490566,23.03030303030303,,0.018867924528301886,0.6792452830188679,0.5315461538461538,30.133333333333336,0.2793103448275862,-38.0,23.0,33.0,13.0,2.0,8.0,7.0,9.0,1.0,2.0,,1.0,32.0,50.0,1.0,16.0,83.0,10.0,13.0,,21.0,9.0,15.0,1.0,3.0,21.0,26.0,38.0,3.0,,16.0,1.0,1.0,6.0,4.0,1.0,5.0,1.0,,3.0,1.0,,11.0,12.0,5.0,17.0,25.0,14.0,39.0,3.0,3.0,,5.0,3.0,6.0,11.0,1.0,,4.0,14.0,3.0,22.0,2.0,24.0,,12.0,,,21.0,3.0,,0.40625,0.5416666666666666,1.0,0.3333333333333333,0.5,0.64,0.7692307692307693,0.6,0.6320754716981132,0.7692307692307693,0.5625,0.6384615384615384,0.75,0.5833333333333334,0.12,0.18181818181818182,,,0.45454545454545453,0.20238095238095238,0.11009174311926606,0.16129032258064516,0.19130434782608696,0.09859154929577464,0.14285714285714285,0.11320754716981132,0.07692307692307693,0.25,0.26666666666666666,0.14285714285714285,0.6226415094339622,0.696969696969697,0.8518518518518519,0.1509433962264151,0.25,0.25,0.16981132075471697,0.7777777777777778,0.7777777777777778,0.42857142857142855,0.03773584905660377,0.5,0.5,1.0,,0.8125,0.0625,1.0,0.5921545454545455,0.5797333333333334,0.18461538461538463,0.1935483870967742,,0.25301204819277107,0.25301204819277107,4.906,10.0,13.0,9.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.06060606060606061,0.07142857142857142,0.047619047619047616,0.08333333333333333,0.2,0.07692307692307693,0.43478260869565216,1.0,0.7692307692307693,0.1,0.6923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,9988.0,166,306,305,85,80,38,611,3.0,7.0,361,5.0,3.0,5.0,2.0,85,0.1346153846153846,18.443804034582133,0.4,0.057692307692307696,0.3269230769230769,0.44886960784313734,29.800000000000004,0.2777777777777778,-40.0,6.0,10.0,3.0,4.0,8.0,10.0,27.0,1.0,4.0,,2.0,20.0,45.0,1.0,12.0,55.0,,1.0,,3.0,5.0,10.0,4.0,8.0,21.0,30.0,10.0,3.0,,,3.0,1.0,4.0,11.0,4.0,15.0,2.0,2.0,6.0,,5.0,34.0,2.0,4.0,11.0,15.0,3.0,18.0,7.0,4.0,3.0,3.0,3.0,4.0,7.0,,1.0,11.0,20.0,1.0,11.0,1.0,13.0,3.0,7.0,,1.0,21.0,2.0,1.0,0.75,0.75,1.0,0.14285714285714285,0.16666666666666666,0.4444444444444444,,0.5,0.41346153846153844,,0.4642857142857143,0.4824561403508772,0.5,0.6176470588235294,0.08888888888888889,0.3,0.125,,0.42857142857142855,0.12087912087912088,0.017391304347826087,0.125,0.12195121951219512,0.013422818791946308,0.03571428571428571,0.017241379310344827,0.14285714285714285,0.09375,0.12903225806451613,0.13636363636363635,0.19230769230769232,0.6,0.8571428571428571,0.15384615384615385,0.5,0.5714285714285714,0.5192307692307693,0.37037037037037035,0.37037037037037035,1.0,0.07692307692307693,0.25,0.25,1.0,,0.21428571428571427,0.14285714285714285,0.3333333333333333,0.3821,0.4729884615384615,0.125,0.14285714285714285,,0.05454545454545454,0.38181818181818183,12.724444444444442,,,3.0,3.0,1.0,,,,1.0,,,1.0,,,,,,,,0.1,,0.5,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.25,0.1,0.5,0.14285714285714285,0.5,,,,,,,,,,,,,,,True,,,,,,,
2755,1610612758,Kevin Martin,Kevin Martin,2755,SAC,4867.0,81,158,157,55,56,23,315,4.0,8.0,180,,,,,55,0.2857142857142857,18.478260869565215,,0.14285714285714285,0.6071428571428571,0.5443196428571428,23.85,0.34810126582278483,-5.0,7.0,9.0,3.0,3.0,8.0,1.0,3.0,,4.0,,1.0,11.0,20.0,2.0,11.0,39.0,2.0,3.0,2.0,9.0,2.0,4.0,3.0,4.0,14.0,10.0,12.0,6.0,,2.0,4.0,,,,,,,,,,,,3.0,3.0,6.0,9.0,4.0,13.0,2.0,2.0,,1.0,1.0,,1.0,,,2.0,4.0,,8.0,1.0,11.0,1.0,4.0,,2.0,14.0,,2.0,0.45454545454545453,0.5,1.0,0.25,0.25,0.55,0.6666666666666666,0.5,0.5,0.7,0.7142857142857143,0.5909090909090909,0.75,0.7777777777777778,,,,,1.0,0.13636363636363635,0.046153846153846156,0.17647058823529413,0.14754098360655737,0.04819277108433735,0.05555555555555555,0.06666666666666667,0.07692307692307693,0.16666666666666666,0.15384615384615385,0.1,0.32142857142857145,0.7777777777777778,0.7777777777777778,0.2857142857142857,0.375,0.375,0.10714285714285714,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,,,,,0.42857142857142855,0.14285714285714285,,0.4929333333333333,0.5964857142857143,0.12903225806451613,0.17391304347826086,,0.23076923076923078,0.358974358974359,7.025,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,0.05555555555555555,,0.08333333333333333,,0.2857142857142857,,0.42857142857142855,0.2,1.0,,0.6666666666666666,2.0,,2.0,,,,0.6666666666666666,,0.3333333333333333,0.2857142857142857,,2.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,1.0,0.4,0.5,1.0,1.0,,True,,,,,,,
1897,1610612758,Metta World Peace,Metta World Peace,1897,SAC,7610.0,127,228,226,69,56,27,454,5.0,16.0,269,4.0,2.0,4.0,3.0,69,0.2909090909090909,23.93822393822394,0.75,0.09090909090909091,0.5818181818181818,0.46506545454545456,24.925,0.3026315789473684,-37.0,10.0,16.0,9.0,3.0,12.0,2.0,11.0,3.0,11.0,,3.0,15.0,39.0,5.0,5.0,50.0,1.0,4.0,,2.0,6.0,15.0,4.0,2.0,17.0,8.0,22.0,9.0,6.0,2.0,11.0,3.0,2.0,8.0,1.0,9.0,,1.0,3.0,,5.0,19.0,2.0,5.0,7.0,12.0,5.0,17.0,3.0,2.0,1.0,1.0,,3.0,4.0,,1.0,,6.0,2.0,8.0,,9.0,3.0,6.0,,,17.0,,,0.26666666666666666,0.2857142857142857,0.6,0.3125,0.3125,0.38461538461538464,0.25,0.4,0.4090909090909091,0.25,0.39473684210526316,0.43103448275862066,0.25,0.425,0.05128205128205128,,0.16666666666666666,,0.25,0.1044776119402985,0.023529411764705882,0.20833333333333334,0.13186813186813187,0.04310344827586207,0.047619047619047616,,,0.125,0.18181818181818182,0.17647058823529413,0.2909090909090909,0.625,0.625,0.21818181818181817,0.25,0.3,0.2,0.18181818181818182,0.18181818181818182,0.5,0.2,0.2727272727272727,0.2727272727272727,0.3333333333333333,,0.47368421052631576,0.15789473684210525,0.2727272727272727,0.5315,0.464721052631579,0.10344827586206896,0.14285714285714285,,0.04,0.34,7.835897435897435,1.0,3.0,5.0,,,3.0,,3.0,,1.0,,,,,,0.0967741935483871,0.047619047619047616,0.10526315789473684,0.08333333333333333,0.2857142857142857,0.09090909090909091,0.3,0.75,0.3333333333333333,,0.5555555555555556,1.0,1.0,1.0,,1.0,2.0,0.25,,,0.05263157894736842,0.3333333333333333,2.0,,,,,,0.4,0.4,1.0,,,,,,True,,,,,,,
949,1610612758,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,SAC,1052.0,18,33,31,16,24,2,64,,,36,,,,,16,,20.0,,,0.2,0.45624000000000003,,0.48484848484848486,3.0,1.0,1.0,,1.0,1.0,1.0,3.0,,,,,3.0,5.0,,1.0,7.0,,,,,1.0,2.0,,1.0,3.0,2.0,4.0,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,2.0,2.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,2.0,,1.0,,2.0,,1.0,,,3.0,,,0.3333333333333333,0.3333333333333333,,,,0.6,,0.5,0.6,,0.5,0.5833333333333334,,0.5,,,,,1.0,0.15384615384615385,,,0.125,,,,0.3333333333333333,,,,0.2,1.0,1.0,0.2,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,0.39554999999999996,0.16666666666666666,0.16666666666666666,,,0.42857142857142855,12.839999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2078,1610612758,Jason Hart,Jason Hart,2078,SAC,790.0,13,23,23,10,11,2,46,,,37,,,,,10,,12.0,,,,0.3965,,0.43478260869565216,-13.0,,,,,,,1.0,,,,,,1.0,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.3965,0.5,0.5,,,,19.1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,
1903,1610612758,Kenny Thomas,Kenny Thomas,1903,SAC,6263.0,104,186,188,29,18,22,374,,,224,,,,,29,,15.384615384615383,,,0.42105263157894735,0.4982315789473684,,0.15591397849462366,-39.0,5.0,8.0,,3.0,4.0,3.0,7.0,,,,,11.0,19.0,,9.0,31.0,2.0,4.0,,4.0,1.0,2.0,,4.0,6.0,10.0,12.0,,,2.0,,,1.0,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,7.0,4.0,8.0,12.0,8.0,20.0,4.0,2.0,2.0,3.0,2.0,4.0,7.0,1.0,2.0,7.0,17.0,2.0,9.0,,13.0,1.0,7.0,,,6.0,2.0,,0.45454545454545453,0.5,,,,0.5789473684210527,0.5,0.5,0.5789473684210527,0.5,0.5,0.62,0.5,0.6,0.05263157894736842,0.125,,,0.42857142857142855,0.13793103448275862,0.1044776119402985,0.19047619047619047,0.1518987341772152,0.09411764705882353,0.07692307692307693,0.08571428571428572,0.11764705882352941,0.1,0.19047619047619047,0.25,0.42105263157894735,0.625,0.7142857142857143,0.21052631578947367,0.75,0.75,0.3684210526315789,0.42857142857142855,0.42857142857142855,0.3333333333333333,,,,,,,,,0.49616666666666664,0.40955,0.28,0.28,,0.12903225806451613,0.1935483870967742,7.442105263157895,2.0,3.0,,,,1.0,,,1.0,1.0,,,1.0,,,0.05555555555555555,0.15789473684210525,,0.125,,,0.8,0.75,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
101128,1610612758,Francisco Garcia,Francisco Garcia,101128,SAC,1988.0,33,64,67,29,31,5,131,,3.0,84,1.0,,1.0,,29,0.3,15.714285714285715,,,0.4,0.432225,24.76666666666667,0.453125,-34.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,,,4.0,7.0,1.0,2.0,13.0,1.0,1.0,,2.0,2.0,5.0,,2.0,6.0,4.0,4.0,3.0,,,3.0,1.0,,1.0,,1.0,,,1.0,,,2.0,,,2.0,2.0,,2.0,2.0,1.0,1.0,,,,,,,4.0,5.0,,1.0,,2.0,,,,1.0,6.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,1.0,0.4,0.55,1.0,0.4,0.5909090909090909,1.0,0.5,,,,,,0.08695652173913043,,,0.07407407407407407,,,,0.2857142857142857,,,,0.1,1.0,1.0,0.2,0.5,0.5,0.4,0.5,0.5,0.5,0.3,0.3333333333333333,0.3333333333333333,1.0,,0.2,,0.3333333333333333,0.4004,0.36492,,,,0.15384615384615385,0.46153846153846156,12.642857142857142,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,False,,,,,,,
