EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimFrequency,ShortMidRangeFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG3M,FG3A,SecondChanceFG2M,PenaltyFG2M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceAtRimFGA,LongMidRangeFGM,Arc3Assists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,BadPassSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,Offensive Fouls,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3FGA,ShortMidRangeAssists,SelfOReb,ThreePtShootingFoulsDrawn,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,PenaltyFG3M,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3FGM,Technical Free Throw Trips,PenaltyArc3Accuracy,on,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,StepOutOfBoundsTurnovers
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,735.0,12,-2.0,23,24,15,18,6.0,47,2.0,2.0,3.0,5.0,7.0,7.0,23,1.0,2.0,2.0,3.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6.0,2.0,1.0,8.0,2.0,2.0,6.0,15,2.0,0.3888888888888889,0.5,0.5,0.2,0.5,34.48275862068966,1.0,0.1,0.07692307692307693,0.25,0.4,0.6,0.6666666666666666,0.4,0.42484,0.3349,0.4739,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8571428571428571,4.76,0.6521739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1088,1610612763,Chucky Atkins,Chucky Atkins,1088,MEM,4033.0,67,-26.0,114,113,25,31,12.0,227,8.0,4.0,6.0,19.0,2.0,30.0,143,2.0,1.0,3.0,5.0,,6.0,1.0,,,2.0,1.0,1.0,2.0,,4.0,1.0,2.0,3.0,12,5.0,,2.0,4.0,2.0,,6.0,25,,0.5,0.5,0.42857142857142855,0.05263157894736842,0.125,26.984126984126984,0.5,,,,0.2857142857142857,0.21428571428571427,0.5714285714285714,0.6071428571428571,0.4849357142857143,0.4341,0.5170285714285715,0.06666666666666667,0.09523809523809523,0.1,0.2,7.652631578947369,0.21929824561403508,4.0,3.0,4.0,5.0,4.0,9.0,2.0,8.0,4.0,9.0,1.0,3.0,2.0,2.0,14.0,9.0,3.0,9.0,4.0,6.0,1.0,7.0,1.0,3.0,3.0,15.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,0.125,0.125,0.75,0.4444444444444444,0.4444444444444444,0.42105263157894735,0.5,0.6,0.5,0.5,0.42857142857142855,0.32142857142857145,0.024390243902439025,0.07692307692307693,0.037037037037037035,0.125,0.1111111111111111,0.5,0.5714285714285714,0.25,0.6666666666666666,0.6666666666666666,0.17857142857142858,0.32142857142857145,0.4444444444444444,0.4444444444444444,0.75,0.75,0.2857142857142857,0.4444444444444444,24.82222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,6166.0,103,-6.0,179,174,46,55,18.0,353,15.0,2.0,15.0,43.0,17.0,53.0,195,3.0,,2.0,3.0,5.0,5.0,4.0,1.0,3.0,18.0,2.0,1.0,5.0,,8.0,,1.0,2.0,7,22.0,1.0,,24.0,11.0,2.0,5.0,46,1.0,0.4732142857142857,0.25,0.3125,0.09302325581395349,0.06666666666666667,32.48730964467005,0.625,0.017543859649122806,0.0273972602739726,,0.3409090909090909,0.3409090909090909,0.5,0.36363636363636365,0.4404279069767443,0.39235,0.4606666666666667,0.2037037037037037,0.20754716981132076,0.03773584905660377,0.09433962264150944,7.406976744186046,0.2569832402234637,7.0,,5.0,13.0,,1.0,1.0,18.0,,1.0,1.0,,1.0,24.0,12.0,,,1.0,,4.0,5.0,9.0,1.0,4.0,,23.0,2.0,10.0,15.0,1.0,5.0,3.0,,1.0,0.6666666666666666,0.6666666666666666,,,,0.4186046511627907,0.3333333333333333,,0.4090909090909091,0.3333333333333333,,0.022727272727272728,0.15873015873015872,0.08695652173913043,0.13953488372093023,0.15384615384615385,,0.4666666666666667,0.5,0.7142857142857143,0.3333333333333333,0.4166666666666667,0.29545454545454547,0.022727272727272728,,,,,0.25,,35.3,2.0,6.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,0.2,0.42857142857142855,0.08333333333333333,0.0625,0.05263157894736842,0.3333333333333333,0.16666666666666666,0.15,0.2857142857142857,0.8,0.4,0.46153846153846156,0.46153846153846156,0.8333333333333334,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,4887.0,81,11.0,139,137,26,39,14.0,276,3.0,,1.0,4.0,1.0,13.0,144,2.0,,2.0,,,,,2.0,2.0,14.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,7.0,10,5.0,,3.0,3.0,2.0,,,26,,0.65,0.3333333333333333,,,,9.803921568627452,0.2,0.045454545454545456,0.037037037037037035,0.058823529411764705,0.3333333333333333,0.1111111111111111,,0.8888888888888888,0.5222277777777777,0.5663333333333334,,0.2,0.4,0.15384615384615385,,2.625,0.18705035971223022,2.0,,1.0,,,1.0,,3.0,2.0,5.0,1.0,,,2.0,4.0,6.0,,1.0,,1.0,1.0,2.0,,1.0,,5.0,1.0,10.0,12.0,1.0,,4.0,,1.0,0.3333333333333333,0.5,1.0,0.4,0.4,0.75,0.5,,0.6666666666666666,0.3333333333333333,,0.5555555555555556,0.19607843137254902,0.05,0.15492957746478872,,,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,,0.1111111111111111,,,,,,,23.34,2.0,,1.0,,,1.0,2.0,1.0,,1.0,2.0,,,1.0,,1.0,2.0,1.0,,0.16666666666666666,,,0.07142857142857142,,0.25,0.2222222222222222,0.16666666666666666,0.5,,,,,0.6666666666666666,1.0,2.0,4.0,1.0,1.0,2.0,2.0,0.4444444444444444,0.5,0.5,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
224,1610612763,Eddie Jones,Eddie Jones,224,MEM,7163.0,119,-19.0,207,205,67,77,23.0,412,10.0,,3.0,22.0,10.0,41.0,233,1.0,,2.0,5.0,6.0,10.0,2.0,2.0,3.0,11.0,3.0,,1.0,,1.0,,,3.0,10,13.0,,2.0,15.0,3.0,3.0,10.0,67,3.0,0.5694444444444444,1.0,0.5,0.09090909090909091,0.1,16.086956521739133,1.0,0.028985507246376812,0.03409090909090909,0.037037037037037035,0.3448275862068966,0.10344827586206896,,0.5862068965517241,0.49632758620689654,0.5529,0.412825,0.12121212121212122,0.12,0.04878048780487805,0.24390243902439024,8.768181818181818,0.32367149758454106,5.0,,1.0,9.0,2.0,4.0,,11.0,3.0,7.0,1.0,2.0,1.0,8.0,14.0,9.0,,4.0,2.0,8.0,2.0,10.0,1.0,3.0,2.0,22.0,3.0,5.0,8.0,,1.0,,,1.0,0.36363636363636365,0.4,1.0,0.42857142857142855,0.42857142857142855,0.5,1.0,0.4,0.5344827586206896,1.0,0.3333333333333333,0.2413793103448276,0.06944444444444445,0.11538461538461539,0.08163265306122448,0.05555555555555555,0.10526315789473684,0.5,0.5555555555555556,0.2,0.3333333333333333,0.5,0.3103448275862069,0.13793103448275862,0.5,0.5,1.0,,,0.5,24.342857142857145,1.0,5.0,1.0,1.0,,,3.0,,1.0,,1.0,,,,,1.0,1.0,1.0,0.3333333333333333,,,0.05263157894736842,,,0.03125,0.13636363636363635,0.14285714285714285,1.0,1.0,0.5555555555555556,0.5555555555555556,0.4,1.0,1.0,1.0,3.0,,,2.0,,0.10344827586206896,0.3333333333333333,0.3333333333333333,1.0,1.0,,1.0,3.0,1.0,1.0,0.05263157894736842,0.07142857142857142,0.07692307692307693,0.16666666666666666,0.125,,,,,,,,,,,,,,,,True,,,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,433.0,7,-3.0,14,14,10,11,1.0,28,1.0,1.0,,1.0,2.0,4.0,16,,,,1.0,,2.0,,,,,,,,,,,,,2,2.0,,1.0,2.0,1.0,,2.0,10,,1.0,,1.0,,,13.333333333333334,,,,,1.0,,1.0,1.0,0.5528,,0.5528,0.5,0.5,,0.5,,0.7142857142857143,1.0,1.0,,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,3150.0,52,-6.0,85,85,30,27,13.0,170,7.0,2.0,2.0,9.0,6.0,16.0,90,4.0,3.0,7.0,2.0,2.0,4.0,1.0,6.0,7.0,14.0,,,,,2.0,,2.0,3.0,6,5.0,1.0,,8.0,4.0,,4.0,30,,0.6153846153846154,0.5833333333333334,0.5,0.1111111111111111,0.14285714285714285,15.306122448979592,,0.15384615384615385,0.1590909090909091,0.13333333333333333,0.7777777777777778,0.2222222222222222,1.0,0.7777777777777778,0.5357777777777777,0.5819,0.58335,0.3076923076923077,0.3076923076923077,0.4375,0.25,2.011111111111111,0.35294117647058826,4.0,1.0,1.0,,,,,5.0,,,2.0,1.0,,8.0,2.0,,,,,1.0,1.0,2.0,1.0,1.0,,5.0,4.0,3.0,7.0,,,2.0,,1.0,0.8,1.0,,,,0.5555555555555556,0.5,0.5,0.5555555555555556,0.5,0.5,,0.08333333333333333,0.26666666666666666,0.13725490196078433,0.09090909090909091,0.23076923076923078,0.5714285714285714,0.6666666666666666,0.75,0.5,0.5,,,,,,0.5,,,,4.0,,,1.0,,,,,,,4.0,,,4.0,,,4.0,3.0,,,,0.2,,0.3333333333333333,0.0625,0.1111111111111111,0.5,0.75,1.0,,,,1.0,2.0,,,,,2.0,2.0,,,,,0.5,,,,,,0.4,,,,,0.5,,,,,,,,,,,,,,,True,,,,,
1517,1610612763,Bobby Jackson,Bobby Jackson,1517,MEM,3246.0,54,4.0,95,94,44,46,11.0,189,5.0,3.0,1.0,10.0,4.0,19.0,93,,,3.0,6.0,2.0,7.0,2.0,,,7.0,,,2.0,,5.0,,3.0,,2,4.0,,,5.0,3.0,,7.0,44,,0.5277777777777778,1.5,0.3181818181818182,0.2,0.2,21.69811320754717,0.4,,,,0.3125,0.0625,0.3,0.6875,0.516703125,0.56325,0.48708999999999997,0.16666666666666666,0.25,0.15789473684210525,0.3684210526315789,8.620000000000001,0.4631578947368421,3.0,1.0,,4.0,1.0,3.0,2.0,3.0,3.0,6.0,,1.0,4.0,2.0,4.0,9.0,,3.0,1.0,4.0,1.0,5.0,,2.0,2.0,11.0,2.0,5.0,7.0,,2.0,3.0,2.0,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.3,,0.16666666666666666,0.46875,1.5,0.25,0.375,0.15151515151515152,0.15384615384615385,0.15217391304347827,,0.2,0.6,0.75,0.3333333333333333,,,0.25,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.2,0.3333333333333333,24.38333333333333,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,0.25,0.18181818181818182,,,,,,,,,2.0,3.0,,1.0,,1.0,0.1875,0.6666666666666666,0.6666666666666666,1.0,,,2.0,,,,,,,0.2,,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,,,,True,,,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,3060.0,51,-19.0,91,93,54,58,11.0,184,4.0,4.0,1.0,8.0,7.0,22.0,104,,1.0,1.0,6.0,3.0,16.0,,1.0,1.0,9.0,,,3.0,1.0,5.0,,3.0,8.0,9,6.0,,1.0,7.0,3.0,1.0,16.0,54,1.0,0.75,,0.8,,,18.627450980392158,0.6,0.03571428571428571,0.025,,0.3333333333333333,0.08333333333333333,0.4444444444444444,0.6666666666666666,0.4811125,,0.4984388888888889,0.23076923076923078,0.3333333333333333,0.045454545454545456,0.7272727272727273,9.4875,0.5934065934065934,4.0,4.0,1.0,3.0,1.0,4.0,3.0,6.0,1.0,4.0,,5.0,3.0,4.0,8.0,3.0,,4.0,1.0,3.0,,3.0,,2.0,,6.0,3.0,5.0,8.0,,2.0,2.0,,,0.3333333333333333,0.3333333333333333,1.0,0.25,0.25,0.75,,0.8333333333333334,0.625,,0.7222222222222222,0.3333333333333333,0.14705882352941177,0.3,0.18181818181818182,0.18181818181818182,0.42857142857142855,1.0,1.0,0.5,1.0,1.0,0.25,0.3333333333333333,0.25,0.25,1.0,1.0,0.3333333333333333,0.25,24.599999999999998,,1.0,,,,,,1.0,,2.0,2.0,,,2.0,,,2.0,1.0,,,,,0.1111111111111111,,0.2,,,0.5,,0.3333333333333333,0.3333333333333333,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,0.2,,,,,,,,1.0,,0.3333333333333333,,,,,1.0,1.0,0.3333333333333333,True,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,2638.0,44,-20.0,78,77,13,20,6.0,155,4.0,,1.0,6.0,,6.0,109,,,,,,,,1.0,1.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,10,,,,,,,,13,,0.5,,,,,13.095238095238095,0.2,0.047619047619047616,0.034482758620689655,,0.6666666666666666,0.16666666666666666,,0.6666666666666666,0.4192,,,,,,,4.933333333333333,0.16666666666666666,2.0,,1.0,1.0,,,,3.0,,,,,,4.0,2.0,,,,,,2.0,2.0,1.0,,,6.0,1.0,5.0,6.0,,,4.0,,2.0,0.6666666666666666,0.6666666666666666,,,,0.5,,,0.5,,,,0.25,0.16666666666666666,0.23076923076923078,0.6,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,0.1111111111111111,,0.1111111111111111,0.16666666666666666,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
