EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,DefensiveGoaltends,AtRimPctBlocked,Fg3aBlocked,BlockingFoulsDrawn,Technical Free Throw Trips,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,HeaveMakes,StepOutOfBoundsTurnovers,Clear Path Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,BlockedCorner3,3SecondViolations,on,Corner3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips
101111,1610612765,Charlie Villanueva,Charlie Villanueva,101111,DET,21578.0,360,-34,683,680,207,218,78,1363,18,33,7.0,10.0,5,10,9,26,8.0,17,4.0,24.0,1.0,10.0,20.0,47.0,2.0,5.0,4.0,13.0,35,76,24.0,71.0,23.0,165,732,7.0,11.0,2.0,6.0,3.0,23,10,21,4.0,23.0,14.0,46,48,22,72.0,10.0,1.0,46.0,20.0,4,11.0,2.0,13.0,1.0,1.0,7.0,1.0,3.0,28.0,4.0,11,12.0,36.0,12.0,60,15,75,4.0,11.0,7.0,4.0,4.0,2.0,3.0,6,1.0,1.0,10,3,22,1.0,39,1.0,5.0,2.0,22.0,2.0,2.0,31.0,1.0,13.0,3.0,10.0,3.0,1.0,6.0,10.0,4.0,46,207,5.0,3.0,0.6857142857142857,0.8,1.0,0.3380281690140845,0.3333333333333333,0.17391304347826086,0.34285714285714286,0.4605263157894737,0.6363636363636364,0.47619047619047616,0.48299319727891155,0.5882352941176471,0.36363636363636365,0.5092592592592593,0.6388888888888888,0.45098039215686275,0.48299319727891155,0.05263157894736842,0.11538461538461539,0.058823529411764705,22.337662337662337,0.4,0.42857142857142855,0.18,0.04583333333333333,0.125,0.0449438202247191,0.16216216216216217,0.04559270516717325,0.0967741935483871,0.012345679012345678,0.041237113402061855,0.02040816326530612,0.075,0.11475409836065574,0.30357142857142855,0.14457831325301204,0.09090909090909091,0.2,0.04938271604938271,0.4,0.22448979591836735,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.17687074829931973,0.34615384615384615,0.391304347826087,0.5555555555555556,0.11564625850340136,0.47058823529411764,0.5,0.875,0.16326530612244897,0.16666666666666666,0.16666666666666666,1.0,0.3197278911564626,0.425531914893617,0.425531914893617,1.0,0.5882352941176471,0.7,0.2857142857142857,0.058823529411764705,0.29411764705882354,0.4,1.0,0.22727272727272727,0.5,0.22727272727272727,0.29545454545454547,0.3076923076923077,0.7074829931972789,0.43478260869565216,0.5226489726027397,0.5878125,0.5133744186046512,0.08176100628930817,0.14772727272727273,0.1393939393939394,0.2787878787878788,7.425,25.529577464788737,0.30307467057101023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101131,1610612765,Jason Maxiell,Jason Maxiell,101131,DET,28715.0,479,-104,866,871,137,133,109,1737,29,48,8.0,17.0,2,9,12,32,9.0,19,,,,,,,,,,,50,99,,,28.0,128,1007,8.0,23.0,,,10.0,26,4,14,,,13.0,21,68,32,,16.0,,,,15,8.0,,8.0,,,3.0,,5.0,16.0,1.0,36,12.0,38.0,3.0,53,37,90,1.0,10.0,4.0,6.0,8.0,2.0,2.0,10,6.0,2.0,18,3,23,1.0,44,,4.0,4.0,45.0,2.0,2.0,54.0,2.0,22.0,6.0,12.0,4.0,,8.0,12.0,3.0,21,137,5.0,6.0,0.68,0.8095238095238095,,,,,,0.5050505050505051,0.34782608695652173,0.2857142857142857,0.5050505050505051,0.34782608695652173,0.2857142857142857,0.512,0.43333333333333335,0.45652173913043476,,0.15151515151515152,0.15625,,14.357429718875501,0.4444444444444444,0.15,0.12179487179487179,0.10285714285714286,0.11009174311926606,0.016129032258064516,0.1187648456057007,0.08980582524271845,0.0759493670886076,0.10256410256410256,0.11688311688311688,,0.03225806451612903,0.10989010989010989,0.0898876404494382,0.15151515151515152,0.12195121951219512,0.07407407407407407,0.030303030303030304,0.25,0.48484848484848486,0.6041666666666666,0.7631578947368421,0.6206896551724138,0.32323232323232326,0.375,0.4444444444444444,0.6666666666666666,0.1919191919191919,0.47368421052631576,0.47368421052631576,0.8888888888888888,,,,,,,,,0.7391304347826086,0.47058823529411764,,,,,,0.6428571428571429,0.2222222222222222,,,,0.48484848484848486,,0.5091838383838384,0.5328272727272727,0.5048714285714286,0.18487394957983194,0.18487394957983194,0.203125,0.1640625,6.582828282828282,,0.1581986143187067,1.0,2.0,9.0,2.0,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101198,1610612765,Will Bynum,Will Bynum,101198,DET,18257.0,304,-78,574,575,102,120,57,1149,20,35,2.0,3.0,6,9,5,16,11.0,24,2.0,2.0,,,3.0,10.0,,1.0,2.0,2.0,36,75,5.0,12.0,17.0,104,656,2.0,3.0,,1.0,,4,11,18,2.0,2.0,7.0,35,14,58,15.0,2.0,,10.0,3.0,11,37.0,11.0,48.0,9.0,2.0,13.0,2.0,22.0,107.0,2.0,1,9.0,11.0,1.0,21,3,24,,10.0,4.0,6.0,15.0,3.0,11.0,12,4.0,,27,3,11,1.0,28,2.0,1.0,5.0,21.0,,1.0,21.0,2.0,8.0,3.0,,,,,,,35,102,2.0,3.0,0.19444444444444445,0.2,1.0,0.4166666666666667,,1.0,0.4166666666666667,0.48,0.6666666666666666,0.6111111111111112,0.5,0.5,0.7,0.5416666666666666,0.5,0.7608695652173914,0.13793103448275862,0.14666666666666667,0.3125,,19.1588785046729,0.5555555555555556,0.05,0.06547619047619048,0.004901960784313725,0.1323529411764706,0.029411764705882353,0.0847457627118644,0.011029411764705883,,,0.0125,,0.06451612903225806,,,0.13095238095238096,0.14893617021276595,0.09523809523809523,,,0.40229885057471265,0.5714285714285714,0.6896551724137931,0.25,0.1839080459770115,0.3125,0.45454545454545453,0.2,0.27586206896551724,0.4583333333333333,0.4583333333333333,0.09090909090909091,0.022988505747126436,1.0,1.0,1.0,0.11494252873563218,0.3,0.3333333333333333,1.0,0.75,0.6666666666666666,,,0.25,,,0.45,0.6666666666666666,,0.1,1.0,0.5402298850574713,0.3,0.5374051724137932,0.5758666666666666,0.5237499999999999,0.08602150537634409,0.09876543209876543,0.038461538461538464,0.33653846153846156,8.054666666666668,25.583333333333332,0.17770034843205576,1.0,1.0,1.0,,0.17142857142857143,1.0,1.0,1.0,1.0,0.08333333333333333,0.1,,,,,,,,,,,,,,,,,,True,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,89879.0,1498,-143,2792,2790,643,651,353,5582,47,68,4.0,4.0,7,12,65,171,121.0,288,30.0,81.0,8.0,21.0,25.0,63.0,3.0,8.0,7.0,17.0,233,527,55.0,144.0,146.0,777,3132,17.0,47.0,7.0,16.0,13.0,68,39,90,17.0,38.0,65.0,194,342,124,162.0,4.0,1.0,61.0,24.0,20,145.0,26.0,171.0,16.0,10.0,86.0,21.0,38.0,368.0,4.0,20,26.0,72.0,4.0,102,24,126,4.0,39.0,29.0,10.0,52.0,13.0,41.0,36,11.0,3.0,88,17,34,2.0,95,1.0,3.0,13.0,118.0,3.0,7.0,172.0,8.0,52.0,25.0,3.0,1.0,1.0,1.0,4.0,2.0,194,643,13.0,25.0,0.7339055793991416,0.7402597402597403,0.9818181818181818,0.3819444444444444,0.4375,0.4473684210526316,0.3776223776223776,0.44212523719165087,0.3617021276595745,0.43333333333333335,0.470193740685544,0.4365079365079365,0.50390625,0.5107816711590296,0.4788732394366197,0.5833333333333334,0.21460506706408347,0.03795066413662239,0.07017543859649122,0.013888888888888888,25.913206369029034,0.5909090909090909,0.047619047619047616,0.07964601769911504,0.018570102135561744,0.08306709265175719,0.0163265306122449,0.08052588331963846,0.018154311649016642,0.014084507042253521,0.022284122562674095,0.018433179723502304,0.028985507246376812,,0.09025270758122744,0.06772908366533864,0.0797872340425532,0.09216589861751152,0.0625,0.011142061281337047,0.5,0.10134128166915052,0.6911764705882353,0.734375,0.7021276595744681,0.2548435171385991,0.38011695906432746,0.4088050314465409,0.5538461538461539,0.42921013412816694,0.4201388888888889,0.426056338028169,0.8429752066115702,0.12071535022354694,0.37037037037037035,0.37037037037037035,1.0,0.09388971684053651,0.3968253968253968,0.4032258064516129,0.96,0.06349206349206349,1.0,0.75,0.12698412698412698,0.12698412698412698,0.375,1.0,0.09375,0.5833333333333334,0.1640625,0.1328125,0.4117647058823529,0.31594634873323396,0.39344262295081966,0.4633008955223879,0.4709528301886793,0.46429330708661426,0.07531380753138076,0.09106830122591944,0.08751608751608751,0.24967824967824967,12.930360531309296,24.429861111111112,0.23030085959885388,5.0,2.0,2.0,,0.058823529411764705,1.0,1.0,20.0,3.0,0.006944444444444444,0.015873015873015872,4.0,10.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.47619047619047616,0.0136986301369863,,,,,True,,,
201155,1610612765,Rodney Stuckey,Rodney Stuckey,201155,DET,56559.0,943,-43,1758,1752,424,435,234,3510,81,139,8.0,18.0,19,37,24,73,32.0,95,3.0,8.0,1.0,5.0,7.0,26.0,,,,5.0,137,307,10.0,34.0,134.0,438,1976,11.0,25.0,,1.0,5.0,27,38,80,1.0,10.0,36.0,115,98,176,15.0,10.0,2.0,24.0,7.0,32,142.0,36.0,178.0,18.0,18.0,54.0,21.0,67.0,392.0,4.0,27,27.0,36.0,3.0,66,31,97,16.0,27.0,15.0,12.0,33.0,7.0,23.0,27,10.0,2.0,60,16,33,1.0,74,7.0,2.0,7.0,114.0,3.0,5.0,158.0,18.0,80.0,7.0,8.0,5.0,,3.0,8.0,2.0,115,424,12.0,6.0,0.35766423357664234,0.3712121212121212,0.5,0.29411764705882354,,0.1,0.3125,0.44625407166123776,0.44,0.475,0.44574780058651026,0.4230769230769231,0.4388888888888889,0.5329268292682927,0.48214285714285715,0.5373831775700935,0.09970674486803519,0.10423452768729642,0.136986301369863,0.042105263157894736,23.095823095823093,0.55,0.06382978723404255,0.0627177700348432,0.03873744619799139,0.1330049261083744,0.027972027972027972,0.08108108108108109,0.036904761904761905,0.06806282722513089,0.045454545454545456,0.013986013986013986,0.012987012987012988,0.045454545454545456,0.05714285714285714,0.03977272727272727,0.08520179372197309,0.11510791366906475,0.171875,0.1032258064516129,0.25,0.40762463343108507,0.5827338129496403,0.6694214876033058,0.4074074074074074,0.21407624633431085,0.3287671232876712,0.38095238095238093,0.20833333333333334,0.2785923753665689,0.3368421052631579,0.3516483516483517,0.34375,0.02346041055718475,0.375,0.375,0.6666666666666666,0.07624633431085044,0.2692307692307692,0.2692307692307692,0.42857142857142855,0.6923076923076923,0.4444444444444444,0.375,0.038461538461538464,,,,0.4111111111111111,0.5135135135135135,0.05555555555555555,0.05555555555555555,,0.5073313782991202,0.2916666666666667,0.5150587020648968,0.563624,0.5016818181818182,0.19851116625310175,0.21680216802168023,0.06164383561643835,0.2625570776255708,8.131921824104237,27.76764705882353,0.24118316268486917,2.0,3.0,2.0,,0.12949640287769784,,1.0,2.0,,,,,1.0,15.0,,1.0,,,,,,,0.2,,,,,,True,,,
201948,1610612765,Austin Daye,Austin Daye,201948,DET,25472.0,425,-38,817,813,196,202,106,1630,13,30,6.0,16.0,5,7,12,23,16.0,39,9.0,14.0,1.0,3.0,17.0,35.0,2.0,3.0,7.0,13.0,41,92,26.0,49.0,14.0,174,907,8.0,24.0,3.0,4.0,3.0,28,9,14,9.0,16.0,1.0,46,52,30,78.0,8.0,,35.0,17.0,5,23.0,6.0,29.0,3.0,3.0,14.0,4.0,5.0,64.0,4.0,16,11.0,48.0,9.0,68,21,89,2.0,11.0,5.0,6.0,9.0,2.0,4.0,9,5.0,2.0,18,2,36,2.0,61,2.0,1.0,2.0,29.0,1.0,4.0,20.0,,9.0,1.0,9.0,4.0,1.0,4.0,9.0,6.0,46,196,4.0,1.0,0.6341463414634146,0.7027027027027027,1.0,0.5306122448979592,0.75,0.5625,0.5306122448979592,0.44565217391304346,0.3333333333333333,0.6428571428571429,0.5673758865248227,0.44642857142857145,0.75,0.5761589403973509,0.4666666666666667,0.71875,0.3475177304964539,0.05434782608695652,0.043478260869565216,,17.99787007454739,0.5,0.5,0.18181818181818182,0.05063291139240506,0.11702127659574468,0.05714285714285714,0.164804469273743,0.05181347150259067,0.06930693069306931,0.053763440860215055,0.03278688524590164,0.044444444444444446,0.08,0.1891891891891892,0.11392405063291139,0.22522522522522523,0.11594202898550725,0.12,0.029850746268656716,0.6666666666666666,0.2127659574468085,0.43333333333333335,0.5,0.5384615384615384,0.16312056737588654,0.5217391304347826,0.5454545454545454,0.5833333333333334,0.2765957446808511,0.41025641025641024,0.41025641025641024,0.75,0.09929078014184398,0.6428571428571429,0.6428571428571429,1.0,0.24822695035460993,0.4857142857142857,0.4857142857142857,1.0,0.5714285714285714,0.375,0.3333333333333333,0.03571428571428571,0.10714285714285714,0.6666666666666666,1.0,0.23333333333333334,0.7142857142857143,0.1,0.43333333333333335,0.5384615384615384,0.5602836879432624,0.4857142857142857,0.5061698581560284,0.5459280000000001,0.50464,0.06,0.0891089108910891,0.16091954022988506,0.26436781609195403,10.243478260869566,25.120408163265303,0.23990208078335373,1.0,3.0,7.0,,0.13333333333333333,,,,,,,1.0,2.0,,,,,,,,1.0,1.0,0.6666666666666666,,1.0,0.037037037037037035,,,True,,,
201969,1610612765,DaJuan Summers,DaJuan Summers,201969,DET,1454.0,24,8,48,49,6,18,6,97,1,1,,,1,1,1,2,,1,2.0,4.0,1.0,,,1.0,,,,,2,4,2.0,5.0,,10,43,,,1.0,1.0,,3,1,1,,,,2,2,2,6.0,,,1.0,,1,,,,,,,,,,,1,,2.0,,2,1,3,,,,,,,,2,,1.0,2,1,1,,4,,,,,,,,,,,,,,,,,2,6,2.0,,0.5,0.5,1.0,0.4,1.0,,0.4,0.5,,1.0,0.5555555555555556,1.5,1.0,0.5555555555555556,1.5,1.0,0.5555555555555556,0.25,0.5,,20.0,,,0.125,0.07142857142857142,,,0.08333333333333333,0.047619047619047616,,0.1111111111111111,,,,,0.4,,,,,,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,0.5,1.0,,0.1111111111111111,,,,0.4444444444444444,0.5,0.5,1.0,0.1111111111111111,,,,,,,1.0,,,,1.0,1.0,,,,0.6666666666666666,,0.5041611111111111,,0.5218,,,0.3,0.2,7.949999999999999,23.06,0.125,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,True,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,67883.0,1131,-69,2093,2094,489,487,273,4187,82,108,15.0,18.0,16,24,38,114,68.0,174,13.0,32.0,3.0,7.0,,10.0,,3.0,,2.0,188,396,13.0,42.0,61.0,476,2363,28.0,48.0,2.0,6.0,7.0,69,36,76,3.0,9.0,24.0,105,202,174,39.0,22.0,,10.0,,15,70.0,29.0,99.0,18.0,11.0,24.0,19.0,27.0,227.0,6.0,25,28.0,67.0,8.0,103,34,137,7.0,11.0,9.0,2.0,28.0,1.0,16.0,8,12.0,1.0,36,9,23,,43,1.0,2.0,3.0,70.0,,6.0,82.0,5.0,38.0,6.0,14.0,8.0,4.0,2.0,17.0,9.0,105,489,8.0,5.0,0.5372340425531915,0.5706214689265536,1.0,0.30952380952380953,0.3333333333333333,0.3333333333333333,0.30952380952380953,0.47474747474747475,0.5833333333333334,0.47368421052631576,0.4737442922374429,0.5740740740740741,0.4764705882352941,0.4989517819706499,0.5948275862068966,0.525,0.0958904109589041,0.03787878787878788,0.05263157894736842,0.005747126436781609,21.165770979743694,0.7777777777777778,0.13114754098360656,0.09598853868194843,0.030084235860409144,0.125,0.03773584905660377,0.10303687635574837,0.031313131313131314,0.0430622009569378,0.031578947368421054,0.020771513353115726,0.021739130434782608,0.05970149253731343,0.046948356807511735,0.1188118811881188,0.1166077738515901,0.1437908496732026,0.08450704225352113,0.03225806451612903,0.5294117647058824,0.2465753424657534,0.7592592592592593,0.82,0.5975609756097561,0.2602739726027397,0.3333333333333333,0.35185185185185186,0.15789473684210525,0.3972602739726027,0.39080459770114945,0.3930635838150289,0.6764705882352942,0.0730593607305936,0.40625,0.40625,1.0,0.0228310502283105,,,,0.3333333333333333,0.8333333333333334,0.13333333333333333,0.05555555555555555,0.05555555555555555,,,0.2823529411764706,0.6666666666666666,0.08235294117647059,0.023529411764705882,,0.3424657534246575,,0.4748963470319634,0.48183804347826076,0.45872000000000007,0.08067940552016985,0.08857808857808858,0.14495798319327732,0.22058823529411764,10.861363636363635,24.102380952380948,0.2336359292881032,,,3.0,1.0,0.07407407407407407,,,,1.0,,,2.0,3.0,,,1.0,,,3.0,2.0,0.6666666666666666,1.0,0.42857142857142855,,3.0,0.043478260869565216,1.0,,True,,,
2732,1610612765,Ben Gordon,Ben Gordon,2732,DET,13110.0,218,-7,436,432,177,180,52,868,8,12,,,4,6,2,11,6.0,15,5.0,10.0,,3.0,6.0,20.0,2.0,3.0,3.0,8.0,16,38,11.0,30.0,8.0,73,495,1.0,1.0,2.0,3.0,2.0,10,6,15,4.0,11.0,4.0,28,18,14,30.0,,,20.0,6.0,6,7.0,9.0,16.0,3.0,6.0,6.0,,1.0,41.0,,2,14.0,9.0,,23,2,25,1.0,5.0,1.0,4.0,6.0,1.0,2.0,4,4.0,1.0,10,5,12,,24,,1.0,,9.0,2.0,1.0,8.0,,3.0,1.0,1.0,1.0,,,1.0,,28,177,5.0,1.0,0.5625,0.5625,0.9090909090909091,0.36666666666666664,0.6666666666666666,0.36363636363636365,0.36666666666666664,0.42105263157894735,1.0,0.4,0.47794117647058826,1.0,0.46153846153846156,0.5069444444444444,1.0,0.5,0.4411764705882353,0.15789473684210525,0.2727272727272727,0.13333333333333333,16.768916155419223,0.6,,0.08181818181818182,0.014084507042253521,0.23728813559322035,,0.13609467455621302,0.01020408163265306,,0.041666666666666664,,,,0.023809523809523808,0.037037037037037035,0.17073170731707318,0.27906976744186046,0.125,0.02857142857142857,,0.17647058823529413,0.6666666666666666,0.7272727272727273,0.375,0.16176470588235295,0.18181818181818182,0.25,1.0,0.22058823529411764,0.4,0.46153846153846156,0.6666666666666666,0.14705882352941177,0.5,0.5,1.0,0.29411764705882354,0.3,0.3,0.8333333333333334,,,,,0.75,0.6666666666666666,1.0,0.23076923076923078,0.6666666666666666,0.11538461538461539,0.3076923076923077,0.375,0.6176470588235294,0.3,0.5114014705882352,0.5856,0.4992903846153846,0.04225352112676056,0.07317073170731707,0.136986301369863,0.3835616438356164,10.121052631578948,24.93,0.4059633027522936,1.0,2.0,,,0.08333333333333333,,,,,,,,1.0,3.0,,,,,,,,,0.3333333333333333,,,,,,True,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,35028.0,584,-135,1064,1065,218,199,138,2129,29,57,12.0,20.0,3,5,5,14,,3,,,,,1.0,1.0,,,1.0,1.0,34,74,1.0,1.0,12.0,83,1216,12.0,22.0,,,2.0,26,4,8,1.0,1.0,5.0,16,34,34,3.0,16.0,,1.0,1.0,7,28.0,6.0,34.0,1.0,5.0,13.0,3.0,12.0,74.0,11.0,41,24.0,86.0,8.0,118,55,173,4.0,25.0,13.0,12.0,12.0,3.0,8.0,13,4.0,4.0,25,6,19,1.0,35,,1.0,,37.0,3.0,6.0,32.0,4.0,15.0,3.0,26.0,12.0,2.0,12.0,26.0,7.0,16,218,5.0,2.0,0.5,0.6538461538461539,1.0,1.0,,1.0,1.0,0.4594594594594595,0.5454545454545454,0.5,0.47333333333333333,0.5454545454545454,0.6111111111111112,0.46629213483146065,0.52,0.5,0.013333333333333334,0.0945945945945946,0.07142857142857142,0.3333333333333333,9.306122448979592,0.48,0.27586206896551724,0.2275132275132275,0.09131403118040089,0.22018348623853212,0.12941176470588237,0.22587268993839835,0.09737827715355805,0.0660377358490566,0.09859154929577464,0.09950248756218906,0.12,0.14285714285714285,0.14782608695652175,0.26732673267326734,0.25925925925925924,0.20833333333333334,0.24324324324324326,0.12121212121212122,0.2692307692307692,0.76,0.5087719298245614,0.5576923076923077,0.4482758620689655,0.18666666666666668,0.35714285714285715,0.38461538461538464,0.8,0.04,,,,,,,,0.013333333333333334,1.0,1.0,1.0,0.9090909090909091,0.6,0.3333333333333333,,,,,0.5555555555555556,0.6,,0.1111111111111111,1.0,0.7733333333333333,1.0,0.596718,0.6500761904761904,0.5180611111111112,0.1744186046511628,0.17647058823529413,0.3132530120481928,0.1927710843373494,2.960810810810811,26.0,0.20488721804511278,4.0,5.0,5.0,,0.08771929824561403,,,,1.0,,,,,,,1.0,,,,,,,,,3.0,0.08333333333333333,,1.0,True,,,
