EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,PtsAssisted2s,OffTwoPtRebounds,DefThreePtRebounds,Steals,LostBallSteals,BlockingFouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,LongMidRangeFGM,SecondChanceFG2M,PtsPutbacks,ShortMidRangeAssists,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3FGA,LongMidRangeAssists,Blocked3s,BlockedCorner3,DefShortMidRangeReboundPct,PenaltyCorner3Frequency,SecondChanceArc3FGA,SecondChanceFG3A,HeaveAttempts,Arc3Assists,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceArc3Frequency,3SecondViolations,FTOffRebounds,BlockingFoulsDrawn,BlockedShortMidRange,OffFTReboundPct,ShortMidRangePctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,StepOutOfBoundsTurnovers,PenaltyFg3Pct,PenaltyArc3Accuracy,Charge Fouls Drawn,BlockedArc3,on,PenaltyCorner3FGM,Fg3aBlocked,3pt And 1 Free Throw Trips,BlockedLongMidRange,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,OffensiveGoaltends,Clear Path Fouls,DefensiveGoaltends
101122,1610612754,Danny Granger,Danny Granger,101122,IND,2871.0,48,-3.0,92,97,28,19,9,189,2.0,4.0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,3.0,1.0,4.0,13,1.0,4.0,11.0,22.0,99,1.0,2.0,2.0,2.0,4,1.0,4.0,8.0,8.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,9.0,1.0,4.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,5.0,11.0,1.0,3.0,2.0,8.0,28,2.0,1.0,0.25,0.25,0.3076923076923077,0.5,0.3235294117647059,0.4,0.4772727272727273,0.5,0.5714285714285714,0.23529411764705882,0.07692307692307693,0.25,21.904761904761905,0.3333333333333333,0.10526315789473684,0.09090909090909091,0.07692307692307693,0.023255813953488372,0.2,0.07692307692307693,0.2,0.23529411764705882,0.5,0.6666666666666666,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,0.2,0.47058823529411764,0.3333333333333333,0.48339411764705886,0.382,0.44508000000000003,0.15,0.1875,0.09090909090909091,0.36363636363636365,8.984615384615385,24.900000000000002,0.30434782608695654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,2097.0,35,-25.0,68,70,20,15,12,138,3.0,6.0,1.0,3.0,,,1.0,,,,,3.0,7,,,,6.0,84,3.0,,,1.0,3,,,2.0,,,,,,1.0,,1.0,,1.0,2.0,1.0,3.0,,5.0,7.0,12.0,,,,4.0,6.0,4.0,,,,,2.0,20,,,,,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,,0.3333333333333333,,,,8.23529411764706,,0.125,0.1111111111111111,0.15151515151515152,0.1590909090909091,,0.2857142857142857,0.125,0.8571428571428571,0.5,0.5,,,,0.14285714285714285,,,,,,1.0,0.3333333333333333,,0.8571428571428571,,0.5415571428571428,0.5773333333333333,0.6062,,,,0.3333333333333333,4.214285714285714,,0.29411764705882354,3.0,6.0,6.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17142857142857143,0.2222222222222222,0.18181818181818182,0.2727272727272727,0.07692307692307693,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201177,1610612754,Josh McRoberts,Josh McRoberts,201177,IND,3007.0,50,14.0,105,108,39,24,16,213,5.0,8.0,1.0,3.0,1.0,3.0,4.0,,,,,8.0,15,,,4.0,20.0,90,3.0,,4.0,1.0,4,,,2.0,6.0,,,,2.0,3.0,1.0,4.0,1.0,2.0,9.0,1.0,7.0,1.0,9.0,5.0,14.0,1.0,,6.0,2.0,3.0,2.0,4.0,,2.0,,2.0,39,,,,,0.5333333333333333,0.25,0.5333333333333333,0.25,0.5882352941176471,0.6666666666666666,0.25,,0.13333333333333333,0.125,18.69918699186992,0.3333333333333333,0.14,0.09090909090909091,0.125,0.09803921568627451,0.3333333333333333,0.2631578947368421,0.1111111111111111,0.5333333333333333,0.625,0.7142857142857143,0.2,0.3333333333333333,0.5,0.26666666666666666,,,,,,0.75,0.3333333333333333,,0.5333333333333333,,0.5465,0.60375,0.570025,0.11764705882352941,0.11764705882352941,0.2,0.1,7.446666666666666,,0.37142857142857144,3.0,10.0,4.0,1.0,1.0,1.0,,,2.0,2.0,2.0,1.0,,0.625,0.8333333333333334,0.1,0.07142857142857142,0.2222222222222222,,,,,0.5,0.6,1.0,2.0,2.0,2.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.25,0.2,0.5,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201575,1610612754,Brandon Rush,Brandon Rush,201575,IND,1477.0,25,-2.0,52,52,21,18,9,104,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,3,,1.0,,2.0,50,,,,,1,1.0,,,2.0,,,,,1.0,,1.0,,,2.0,,5.0,,5.0,,5.0,,,,,,,,,,,,21,,,,,0.3333333333333333,,0.25,,0.25,,,0.25,,,6.557377049180328,,0.23809523809523808,,0.18518518518518517,,,0.2857142857142857,0.2,0.25,,,0.25,1.0,1.0,0.25,0.25,,,,,,,,0.5,,0.4564125,,0.439575,,,,,11.866666666666667,24.7,0.40384615384615385,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
202362,1610612754,Lance Stephenson,Lance Stephenson,202362,IND,6881.0,115,-1.0,231,237,88,70,35,468,7.0,16.0,4.0,9.0,,3.0,15.0,1.0,,4.0,2.0,13.0,34,,5.0,11.0,37.0,232,3.0,,2.0,7.0,18,2.0,8.0,22.0,24.0,,3.0,,5.0,19.0,2.0,21.0,,11.0,44.0,1.0,10.0,1.0,17.0,1.0,18.0,7.0,,16.0,6.0,14.0,10.0,14.0,,4.0,4.0,22.0,88,4.0,,,,0.38235294117647056,0.3888888888888889,0.3333333333333333,0.35,0.4111111111111111,0.25,0.44,0.1282051282051282,0.14705882352941177,0.25,22.262773722627735,0.2,0.10416666666666667,0.04,0.128,0.008695652173913044,0.14285714285714285,0.027777777777777776,0.13513513513513514,0.41025641025641024,0.4375,0.5833333333333334,0.07692307692307693,,,0.38461538461538464,0.02564102564102564,0.10256410256410256,,,,0.45,0.4444444444444444,0.1,0.5384615384615384,,0.5056486842105263,0.399525,0.5052105263157894,0.0975609756097561,0.1111111111111111,0.05405405405405406,0.5945945945945946,9.732352941176469,33.2,0.38095238095238093,1.0,2.0,,6.0,4.0,2.0,,,,,,,,0.07692307692307693,0.07692307692307693,,0.20689655172413793,,,,,0.20833333333333334,,,0.25,,6.0,1.0,,1.0,,9.0,5.0,,3.0,7.0,,0.3333333333333333,0.25,0.3333333333333333,0.5625,0.2,,0.4,0.4,0.16666666666666666,,,7.0,,,0.17391304347826086,,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201579,1610612754,Roy Hibbert,Roy Hibbert,201579,IND,1526.0,25,4.0,53,53,19,22,7,106,4.0,6.0,1.0,2.0,1.0,1.0,1.0,,,,,5.0,8,,,2.0,12.0,52,3.0,1.0,5.0,1.0,2,,1.0,3.0,6.0,,,,,,,,,,,,6.0,,7.0,3.0,10.0,2.0,,2.0,3.0,4.0,2.0,2.0,,2.0,,3.0,19,,,,,0.625,0.5,0.625,0.5,0.75,0.8333333333333334,0.75,,,,16.949152542372882,,0.2608695652173913,,0.23333333333333334,0.14285714285714285,,0.4444444444444444,0.1111111111111111,0.75,0.6666666666666666,0.6666666666666666,0.125,1.0,1.0,0.125,,,,,,1.0,0.5,,0.75,,0.5655749999999999,0.6332000000000001,0.69415,0.25,0.25,0.4166666666666667,0.25,3.825,,0.3584905660377358,3.0,4.0,3.0,1.0,1.0,,,,2.0,2.0,2.0,2.0,,0.4,0.6666666666666666,0.17647058823529413,0.14285714285714285,0.3333333333333333,,,,0.14285714285714285,1.0,0.5,1.0,2.0,,2.0,4.0,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,0.6666666666666666,,,,,0.2,,,,,,1.0,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201954,1610612754,Darren Collison,Darren Collison,201954,IND,838.0,14,5.0,31,32,12,8,3,63,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,2.0,5,,3.0,5.0,9.0,29,,2.0,2.0,1.0,2,1.0,3.0,5.0,2.0,,2.0,,,,1.0,1.0,,,3.0,,1.0,,1.0,1.0,2.0,,,2.0,,,3.0,6.0,1.0,3.0,,5.0,12,,,,,0.4,0.5,0.25,0.3333333333333333,0.4,1.0,0.625,0.375,,,34.285714285714285,,0.07142857142857142,,0.0625,0.07692307692307693,,,0.16666666666666666,0.375,0.3333333333333333,0.3333333333333333,0.125,1.0,1.0,0.125,0.125,0.25,,,,0.3333333333333333,,,0.75,,0.5471562499999999,,0.53925,0.3,0.42857142857142855,0.2222222222222222,0.5555555555555556,5.140000000000001,25.0,0.3870967741935484,,2.0,1.0,,,,,,,,,,,0.5,0.5,0.125,,,,0.3333333333333333,,,,1.0,,,,,,,,2.0,2.0,,,2.0,,,,,1.0,,,,,,,1.0,,,,,0.3333333333333333,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201946,1610612754,Tyler Hansbrough,Tyler Hansbrough,201946,IND,4777.0,80,9.0,156,161,58,45,26,317,7.0,16.0,1.0,3.0,4.0,12.0,16.0,,,1.0,1.0,19.0,44,,1.0,18.0,56.0,160,12.0,5.0,15.0,3.0,12,1.0,10.0,16.0,10.0,,1.0,,4.0,,,,,,,2.0,10.0,,17.0,14.0,31.0,2.0,,2.0,5.0,6.0,15.0,24.0,,12.0,1.0,16.0,58,1.0,,,,0.4318181818181818,0.25,0.4222222222222222,0.23076923076923078,0.5,0.5,0.42105263157894735,0.022222222222222223,0.09090909090909091,0.1875,30.526315789473685,,0.16129032258064516,0.14285714285714285,0.2125,0.14814814814814814,0.25,0.125,0.18181818181818182,0.35555555555555557,0.4375,0.5384615384615384,0.26666666666666666,0.3333333333333333,0.36363636363636365,0.35555555555555557,,0.022222222222222223,,,,0.23076923076923078,0.3333333333333333,0.07692307692307693,0.37777777777777777,,0.4892477777777778,0.5087727272727273,0.4560961538461539,0.21818181818181817,0.2222222222222222,0.26785714285714285,0.2857142857142857,9.659090909090908,24.4,0.3717948717948718,7.0,28.0,10.0,7.0,3.0,1.0,,,1.0,,1.0,,,0.7368421052631579,0.8235294117647058,0.14925373134328357,0.3888888888888889,0.2608695652173913,0.11764705882352941,0.07407407407407407,0.1,0.375,,0.7142857142857143,0.5833333333333334,1.0,8.0,5.0,4.0,,3.0,,,1.0,,,,0.4166666666666667,0.4166666666666667,0.08333333333333333,,0.5,0.13636363636363635,0.5,0.5,0.875,0.14285714285714285,,,,,0.1875,,,,,,2.0,,,,1.0,,2.0,,,,2.0,1.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
202331,1610612754,Paul George,Paul George,202331,IND,4810.0,80,18.0,160,166,65,61,25,326,8.0,9.0,3.0,4.0,1.0,2.0,5.0,3.0,2.0,6.0,3.0,11.0,16,3.0,9.0,4.0,35.0,154,3.0,2.0,12.0,3.0,6,3.0,2.0,8.0,14.0,6.0,6.0,2.0,1.0,4.0,,4.0,,3.0,8.0,2.0,6.0,1.0,11.0,4.0,15.0,1.0,,7.0,1.0,1.0,4.0,5.0,,1.0,,8.0,65,,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6875,0.5,0.62,0.3333333333333333,0.6481481481481481,1.0,0.4,0.36,0.0625,,17.708333333333336,0.3333333333333333,0.08823529411764706,0.13333333333333333,0.11235955056179775,0.05194805194805195,,0.07407407407407407,0.11538461538461539,0.36,0.8888888888888888,0.8888888888888888,0.08,0.5,1.0,0.2,0.12,0.24,0.3333333333333333,0.3333333333333333,0.5,0.4444444444444444,0.75,0.3333333333333333,0.72,0.3333333333333333,0.5716375,0.5089333333333333,0.56603125,0.07407407407407407,0.058823529411764705,0.34285714285714286,0.22857142857142856,7.874999999999999,25.977777777777778,0.40625,2.0,8.0,2.0,4.0,6.0,2.0,,,3.0,3.0,3.0,2.0,,0.36363636363636365,0.4444444444444444,0.03225806451612903,0.19047619047619047,0.041666666666666664,,0.047619047619047616,0.18181818181818182,0.21052631578947367,0.6666666666666666,0.375,0.4,2.0,2.0,2.0,4.0,,,6.0,3.0,,,1.0,,0.6666666666666666,1.0,0.5,0.8571428571428571,,,0.4,0.4,0.5,1.0,,1.0,,,0.06666666666666667,,1.0,2.0,,,4.0,1.0,3.0,,,,,,0.2,,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,1.0,0.1,,,,,,,,True,,,,,,,,,,,,,,
201985,1610612754,AJ Price,AJ Price,201985,IND,2424.0,40,-9.0,79,81,39,29,15,160,,2.0,,1.0,,1.0,,,3.0,9.0,4.0,,3,3.0,9.0,1.0,10.0,78,,,,,2,4.0,,6.0,,6.0,9.0,3.0,,,,,,,,,,,,,,2.0,,2.0,,1.0,2.0,2.0,,1.0,,6.0,39,,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,0.375,0.5,0.38461538461538464,,0.5,0.75,,,15.306122448979592,,,,,,,,,0.16666666666666666,,,0.08333333333333333,,,,,0.75,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666666,,0.6666666666666666,0.9166666666666666,0.3333333333333333,0.5078333333333334,0.5403,0.4954083333333334,0.07692307692307693,0.25,,0.6,4.133333333333334,25.844444444444445,0.4936708860759494,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,2.0,1.0,0.5,0.5,,,True,,,,,,,,,,,,,,
