EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,LostBallSteals,BadPassTurnovers,DeadBallTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,AtRimPctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceFG2M,PenaltyFtPoints,PtsPutbacks,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,DefArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,PenaltyFg3Pct,DefFTReboundPct,SelfORebPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,BlockingFouls,PenaltyArc3FGM,PenaltyArc3Accuracy,OffLongMidRangeReboundPct,SecondChanceTurnovers,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,Charge Fouls,2pt And 1 Free Throw Trips,on,HeaveAttempts,FTOffRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3PctAssisted,Blocked3s,BlockedCorner3,Corner3PctBlocked,BlockedArc3,HeaveMakes
101236,1610612745,Chuck Hayes,Chuck Hayes,101236,HOU,720.0,12,-12,23,25,11,2.0,48,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,33,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.375,0.25,0.3333333333333333,0.5,20.0,1.0,0.125,0.125,0.5,0.0909090909090909,0.2,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,0.4193333333333333,0.25,0.25,0.3333333333333333,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201584,1610612745,Courtney Lee,Courtney Lee,201584,HOU,3848.0,64,-10,120,122,27,11.0,242,5.0,,,3.0,5.0,17.0,2.0,21.0,130,,,,4.0,1.0,,2.0,8.0,9.0,2.0,11.0,4.0,1.0,3.0,,4.0,1.0,2.0,2.0,,2.0,1.0,0.2941176470588235,0.3958333333333333,0.42,,0.0588235294117647,,21.64179104477612,0.75,0.2051282051282051,0.0434782608695652,,0.1914893617021276,0.0344827586206896,0.0666666666666666,,,0.2083333333333333,0.125,,,,0.5,0.4756624999999999,0.04,0.0555555555555555,,11.047058823529412,14.0,3.0,1.0,1.0,2.0,9.0,1.0,1.0,2.0,6.0,3.0,7.0,1.0,1.0,2.0,6.0,9.0,6.0,2.0,1.0,4.0,5.0,2.0,2.0,1.0,14.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,0.6,0.6,1.0,0.4285714285714285,0.4285714285714285,1.0,1.0,1.0,0.2916666666666667,0.2,0.125,0.0588235294117647,0.1538461538461538,0.375,0.25,1.0,0.6,0.75,0.3333333333333333,0.375,0.2222222222222222,0.2222222222222222,1.0,0.0416666666666666,1.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.9089,0.0952380952380952,24.642857142857142,0.1166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201941,1610612745,Jordan Hill,Jordan Hill,201941,HOU,3839.0,64,-22,122,122,38,15.0,244,5.0,3.0,5.0,11.0,11.0,23.0,7.0,29.0,135,6.0,1.0,7.0,12.0,1.0,1.0,4.0,5.0,6.0,5.0,11.0,1.0,1.0,1.0,,2.0,3.0,7.0,5.0,,8.0,3.0,0.4782608695652174,0.4782608695652174,0.5370370370370371,0.5,0.0434782608695652,,20.714285714285715,0.5,0.1162790697674418,0.08,0.0833333333333333,0.1132075471698113,0.0806451612903225,,0.0833333333333333,0.3636363636363636,0.217391304347826,0.4782608695652174,0.4545454545454545,0.4545454545454545,0.5,0.217391304347826,0.4550695652173913,0.1153846153846153,0.1153846153846153,0.2413793103448276,8.91304347826087,8.0,3.0,,,3.0,7.0,,,,,,,,,2.0,10.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,8.0,0.4545454545454545,0.5555555555555556,,,,,,1.0,,0.2,0.1,0.2105263157894736,,0.0588235294117647,,1.0,0.6,0.75,0.3333333333333333,0.3043478260869565,0.4285714285714285,0.4285714285714285,0.6666666666666666,,,,,,,,,,,,,0.0689655172413793,,0.0655737704918032,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,0.5,0.5,0.2,0.4,0.6666666666666666,0.4856399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201966,1610612745,Jermaine Taylor,Jermaine Taylor,201966,HOU,4603.0,77,-14,147,147,44,16.0,294,17.0,1.0,1.0,4.0,14.0,27.0,5.0,39.0,159,1.0,,2.0,14.0,6.0,,1.0,4.0,8.0,1.0,9.0,2.0,,4.0,2.0,6.0,3.0,4.0,9.0,,6.0,3.0,0.5185185185185185,0.53125,0.5571428571428572,1.0,0.2222222222222222,0.5,24.698795180722893,0.6666666666666666,0.0851063829787234,0.0178571428571428,,0.1228070175438596,0.0142857142857142,,,0.0769230769230769,0.53125,0.125,0.25,0.5,1.0,0.6875,0.5549374999999999,0.0857142857142857,0.1,0.0512820512820512,6.407407407407408,18.0,10.0,2.0,4.0,3.0,6.0,2.0,2.0,,3.0,2.0,5.0,3.0,5.0,9.0,14.0,6.0,3.0,,2.0,,2.0,,,,4.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,9.0,18.0,0.5,0.5384615384615384,1.0,0.4,0.4,0.6,0.6428571428571429,0.6428571428571429,0.15625,0.2352941176470588,0.3,0.05,0.0666666666666666,0.1052631578947368,0.2,1.0,0.5882352941176471,0.7692307692307693,0.5,0.1875,0.5,0.5,0.6666666666666666,0.0625,1.0,1.0,1.0,0.09375,,,,0.5714285714285714,0.5,,0.5792571428571429,0.2307692307692307,23.660000000000004,0.1224489795918367,1.0,1.0,,2.0,,,,,1.0,1.0,0.4,,1.0,0.7162,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.1,0.1428571428571428,1.0,0.1428571428571428,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202397,1610612745,Ish Smith,Ish Smith,202397,HOU,1911.0,32,-9,62,61,30,10.0,123,2.0,,2.0,3.0,4.0,8.0,2.0,10.0,70,,,,8.0,,,,3.0,3.0,,3.0,2.0,2.0,2.0,,3.0,3.0,5.0,1.0,,2.0,1.0,0.5,0.5,0.5555555555555556,,,,16.666666666666668,0.6666666666666666,0.1764705882352941,,,0.1428571428571428,,,,,0.25,0.375,0.6666666666666666,0.6666666666666666,,0.25,0.44465,0.1111111111111111,0.1111111111111111,,11.275,8.0,,,,2.0,3.0,,,,,,,,1.0,,,,,,5.0,2.0,7.0,2.0,,1.0,16.0,,,2.0,1.0,,,,,,,8.0,,,,,,,,,,,,,0.25,0.2857142857142857,,,,,,0.375,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,0.369,,,0.1290322580645161,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,1610612745,Kevin Martin,Kevin Martin,2755,HOU,164.0,3,2,8,7,7,,15,,,,,,,2.0,5.0,9,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,1.5,1.25,,,,25.0,,,,,,,,,,,,,,,1.0,0.5958,0.5,1.0,,,4.0,,,,,,,,1.0,1.0,1.0,1.0,,,5.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,5.0,4.0,,,1.0,1.0,1.0,,1.5,1.25,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,0.5958,1.0,24.1,0.5,,,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,1610612745,Brad Miller,Brad Miller,1802,HOU,2309.0,38,-13,72,73,4,7.0,145,3.0,2.0,,2.0,3.0,7.0,2.0,14.0,85,2.0,,2.0,2.0,1.0,,3.0,4.0,7.0,3.0,10.0,2.0,2.0,,,1.0,5.0,7.0,1.0,,2.0,1.0,0.4285714285714285,0.6666666666666666,0.7,0.5,0.1428571428571428,,13.414634146341465,,0.1904761904761904,0.1071428571428571,,0.2083333333333333,0.088235294117647,0.125,,0.25,0.3333333333333333,0.2222222222222222,,,1.0,0.5555555555555556,0.4748166666666666,0.1,0.125,0.1428571428571428,8.67142857142857,5.0,2.0,,,1.0,2.0,,,2.0,2.0,2.0,2.0,,,,4.0,6.0,2.0,2.0,7.0,1.0,8.0,1.0,,2.0,17.0,1.0,,,1.0,1.0,,,,,,5.0,0.6666666666666666,1.0,1.0,1.0,1.0,,,,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0833333333333333,0.1428571428571428,0.2,1.0,,0.6666666666666666,1.0,0.5,0.2222222222222222,0.5,0.5,1.0,,,,,0.2222222222222222,1.0,1.0,1.0,,,1.0,,,25.25,0.0694444444444444,1.0,1.0,,2.0,,,,,0.5,0.5,,,0.5,0.5442,,,,,,2.0,3.0,2.0,1.0,,,0.6666666666666666,0.3333333333333333,,,,,,,0.125,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200768,1610612745,Kyle Lowry,Kyle Lowry,200768,HOU,138.0,2,-3,3,3,1,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.333333333333336,,,,,,,,,,,,,,,1.0,0.4542,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201978,1610612745,Chase Budinger,Chase Budinger,201978,HOU,3220.0,54,-5,104,104,23,11.0,208,3.0,1.0,1.0,2.0,3.0,9.0,1.0,10.0,106,2.0,,,,1.0,,,2.0,5.0,,5.0,1.0,1.0,,,1.0,5.0,6.0,1.0,,2.0,1.0,0.3333333333333333,0.3,0.3125,,0.1111111111111111,0.5,14.40677966101695,,0.0588235294117647,,,0.073170731707317,,,,,0.2,0.1333333333333333,0.5,1.0,0.5,0.6,0.4953933333333333,0.0625,0.1,,10.47777777777778,13.0,,,,2.0,4.0,,,1.0,6.0,1.0,6.0,1.0,2.0,3.0,6.0,3.0,6.0,1.0,4.0,2.0,6.0,1.0,1.0,3.0,14.0,1.0,,,1.0,1.0,,,,,3.0,13.0,1.0,1.0,1.0,0.1666666666666666,0.1666666666666666,0.5,0.25,0.3,0.4,,0.1428571428571428,,0.0909090909090909,0.0714285714285714,,,,,,0.2666666666666666,0.5,0.5,1.0,,,,,0.4,0.1666666666666666,0.1666666666666666,1.0,,,0.1666666666666666,0.417525,0.3,25.183333333333337,0.125,,,1.0,,,,,,,,0.3333333333333333,1.0,,0.54465,,,2.0,,2.0,,1.0,2.0,,,,0.5,,,,0.5,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,1610612745,Jared Jeffries,Jared Jeffries,2407,HOU,1444.0,24,8,47,45,26,7.0,92,4.0,1.0,,,1.0,5.0,,5.0,38,1.0,,3.0,2.0,2.0,,3.0,2.0,3.0,3.0,6.0,1.0,,,,,2.0,3.0,1.0,,2.0,1.0,0.2,0.3125,0.2777777777777778,0.5,0.4,,16.666666666666664,,0.1428571428571428,0.15,,0.1666666666666666,0.12,,,,0.5,,,,0.5,0.875,0.5612312500000001,0.1111111111111111,0.1666666666666666,0.6,5.24,6.0,1.0,,,,1.0,,,1.0,3.0,1.0,3.0,,,,,,3.0,1.0,3.0,,3.0,,,,6.0,1.0,1.0,,,,,,,,,6.0,,,,0.3333333333333333,0.3333333333333333,,,,0.375,0.5,0.25,0.3333333333333333,0.5,0.1666666666666666,0.3333333333333333,,0.25,0.5,,0.125,,,,,,,,0.375,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,24.53333333333333,0.1276595744680851,,,,,,,,1.0,,0.75,,,,0.668075,,,,,,1.0,2.0,,,,,,,,,,,,,0.125,,1.0,1.0,1.0,1.0,3.0,1.0,0.5,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
