EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,OffArc3ReboundPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,HeaveAttempts,Charge Fouls,DefensiveGoaltends,3SecondViolations,SecondChanceAtRimPctAssisted,PtsUnassisted3s,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg3aBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockingFouls,OffensiveGoaltends,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,on,Blocked3s,BlockedArc3,BlockedCorner3,Arc3PctBlocked,HeaveMakes
101133,1610612742,Ian Mahinmi,Ian Mahinmi,101133,DAL,6299.0,105,-35,197,205,68,93,21,402,9.0,14.0,2.0,5.0,1.0,3.0,1.0,4.0,1.0,5,11.0,23,16.0,38,226,2.0,5.0,7.0,11.0,1.0,8.0,8.0,10.0,12.0,10.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,8.0,4.0,14,2.0,20,9.0,29,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,7.0,1.0,8.0,18.0,1.0,2.0,15.0,2.0,1.0,22.0,9.0,2.0,3.0,2.0,1.0,3.0,1.0,10.0,68,3.0,2.0,0.5454545454545454,0.6666666666666666,0.4782608695652174,0.4,0.125,0.4782608695652174,0.4,0.125,0.5588235294117647,0.5,0.38461538461538464,0.08695652173913043,0.07142857142857142,0.25,18.385650224215247,0.5714285714285714,0.2222222222222222,0.23728813559322035,0.16666666666666666,0.13333333333333333,0.022727272727272728,0.20224719101123595,0.09782608695652174,0.14285714285714285,0.15384615384615385,0.19047619047619047,0.07692307692307693,0.09090909090909091,0.125,0.34375,0.08695652173913043,0.2857142857142857,0.1,0.3333333333333333,0.6086956521739131,0.6428571428571429,0.6923076923076923,0.5555555555555556,0.17391304347826086,0.25,0.3333333333333333,1.0,0.21739130434782608,0.2,0.2,1.0,0.4,0.375,0.3333333333333333,0.6086956521739131,0.5080391304347827,0.525275,0.44553750000000003,0.28125,0.28125,0.2894736842105263,0.2631578947368421,6.104347826086957,0.34517766497461927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,40603.0,677,101,1262,1279,90,108,110,2541,32.0,52.0,,5.0,2.0,3.0,42.0,88.0,73.0,124,147.0,264,77.0,419,1303,6.0,21.0,6.0,24.0,6.0,11.0,17.0,32.0,192.0,102.0,2.0,10.0,46.0,18.0,64.0,3.0,24.0,146.0,5.0,2.0,19.0,80,8.0,107,7.0,114,,8.0,3.0,25.0,10.0,15.0,15.0,1.0,40.0,,32.0,44.0,2.0,1.0,80.0,6.0,2.0,84.0,38.0,5.0,19.0,9.0,10.0,19.0,10.0,32.0,90,2.0,5.0,0.6530612244897959,0.6575342465753424,0.5568181818181818,0.2857142857142857,0.5454545454545454,0.5533980582524272,0.36,0.46875,0.6029411764705882,0.42857142857142855,0.64,0.03787878787878788,0.1346153846153846,0.03409090909090909,27.298850574712645,0.625,0.2962962962962963,0.15904572564612326,0.005633802816901409,0.1386861313868613,0.02304147465437788,0.1546875,0.012237762237762238,,0.0196078431372549,,0.01282051282051282,0.1527777777777778,0.1724137931034483,0.1542056074766355,0.14678899082568808,0.10714285714285714,,0.5263157894736842,0.16828478964401294,0.6153846153846154,0.7111111111111111,0.6875,0.284789644012945,0.4772727272727273,0.49411764705882355,0.30952380952380953,0.40129449838187703,0.5887096774193549,0.5887096774193549,0.2,,0.1875,0.6666666666666666,0.313915857605178,0.465178640776699,0.4794138888888889,0.44512187499999994,0.11343283582089553,0.1310344827586207,0.057279236276849645,0.07637231503579953,12.134848484848485,0.07131537242472266,4.0,10.0,12.0,35.0,2.0,4.0,1.0,5.0,16.0,45.0,2.0,4.0,1.0,5.0,48.0,35.0,12.0,15.0,3.0,19.0,5.0,6.0,2.0,5.0,3.0,1.0,2.0,12.0,10.0,3.0,1.0,0.35555555555555557,0.5,0.2,0.35555555555555557,0.14563106796116504,0.02877697841726619,0.8356164383561644,0.032362459546925564,0.4,0.4,1.0,0.11326860841423948,0.34285714285714286,0.34285714285714286,1.0,0.16,0.5,1.0,0.3125,0.2,0.34285714285714286,24.513333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,23458.0,391,-61,734,743,148,172,96,1477,43.0,56.0,5.0,8.0,8.0,13.0,36.0,74.0,9.0,21,88.0,151,20.0,196,813,7.0,13.0,3.0,17.0,20.0,34.0,2.0,42.0,108.0,68.0,8.0,8.0,11.0,7.0,18.0,5.0,4.0,43.0,9.0,19.0,19.0,47,9.0,75,28.0,103,4.0,3.0,2.0,19.0,9.0,15.0,10.0,1.0,34.0,5.0,17.0,29.0,,3.0,17.0,3.0,,26.0,11.0,2.0,8.0,5.0,3.0,8.0,5.0,42.0,147,2.0,1.0,0.6136363636363636,0.6428571428571429,0.5827814569536424,0.5384615384615384,0.5882352941176471,0.567741935483871,0.5384615384615384,0.5714285714285714,0.5838323353293413,0.5666666666666667,0.5833333333333334,0.052980132450331126,0.07142857142857142,0.05405405405405406,23.95709177592372,0.5588235294117647,0.4090909090909091,0.17028985507246377,0.08597285067873303,0.2261904761904762,0.06666666666666667,0.18333333333333332,0.07865168539325842,0.125,0.10344827586206896,0.046511627906976744,0.10256410256410256,0.13924050632911392,0.15217391304347827,0.20952380952380953,0.25,0.15,0.06896551724137931,0.625,0.36129032258064514,0.7678571428571429,0.8269230769230769,0.7441860465116279,0.4774193548387097,0.4864864864864865,0.5142857142857142,0.3611111111111111,0.13548387096774195,0.42857142857142855,0.42857142857142855,0.6153846153846154,0.625,0.37142857142857144,0.6153846153846154,0.3870967741935484,0.4987451298701299,0.55466,0.47252647058823527,0.06666666666666667,0.06832298136645963,0.08673469387755102,0.21428571428571427,6.895364238410596,0.2016348773841962,,1.0,,3.0,,,,1.0,,4.0,,,,1.0,,2.0,,2.0,2.0,5.0,1.0,6.0,,3.0,5.0,,,1.0,1.0,,,,,,,0.025806451612903226,0.052083333333333336,1.0,0.0064516129032258064,,,,0.01935483870967742,,,,,,,0.02857142857142857,,,28.299999999999997,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,15809.0,263,-30,495,516,122,153,52,1011,23.0,42.0,1.0,1.0,4.0,7.0,9.0,18.0,4.0,18,36.0,78,20.0,125,541,3.0,3.0,,6.0,9.0,15.0,4.0,31.0,10.0,62.0,,7.0,23.0,11.0,34.0,8.0,10.0,79.0,1.0,2.0,4.0,16,1.0,21,3.0,24,,4.0,3.0,17.0,9.0,10.0,8.0,,27.0,5.0,8.0,25.0,1.0,2.0,28.0,,1.0,23.0,13.0,,,,,,,31.0,122,4.0,,0.1388888888888889,0.1388888888888889,0.46153846153846156,1.0,0.6,0.49065420560747663,1.0,0.5625,0.5387931034482759,1.0,0.62,0.08974358974358974,0.09523809523809523,0.1111111111111111,25.765765765765767,0.6296296296296297,0.07142857142857142,0.09467455621301775,0.014598540145985401,0.05714285714285714,0.010869565217391304,0.08368200836820083,0.013100436681222707,,0.023809523809523808,0.02040816326530612,,0.0392156862745098,0.13333333333333333,0.1095890410958904,0.07272727272727272,,,,0.3925233644859813,0.5476190476190477,0.6052631578947368,0.17391304347826086,0.16822429906542055,0.5,0.5625,,0.16822429906542055,0.2222222222222222,0.23529411764705882,0.3333333333333333,1.0,0.2916666666666667,0.5714285714285714,0.6635514018691588,0.5230754716981131,0.38749999999999996,0.5163195652173913,0.11206896551724138,0.14942528735632185,0.048,0.248,6.752564102564103,0.24646464646464647,,,11.0,29.0,,,3.0,9.0,11.0,29.0,,,3.0,9.0,21.0,29.0,11.0,3.0,4.0,9.0,1.0,3.0,1.0,1.0,2.0,,8.0,4.0,1.0,,0.6363636363636364,0.3793103448275862,,0.3333333333333333,0.3793103448275862,0.27102803738317754,0.017543859649122806,0.25,,,,,0.27102803738317754,0.3793103448275862,0.3793103448275862,0.6363636363636364,,,,0.375,0.3333333333333333,0.3793103448275862,26.624137931034483,,,,,,12.0,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2052,1610612742,DeShawn Stevenson,DeShawn Stevenson,2052,DAL,69488.0,1158,31,2181,2215,346,411,213,4396,13.0,32.0,2.0,5.0,2.0,3.0,3.0,9.0,18.0,40,34.0,81,33.0,383,2298,2.0,8.0,7.0,32.0,6.0,9.0,9.0,75.0,22.0,46.0,4.0,8.0,50.0,27.0,77.0,10.0,24.0,181.0,9.0,11.0,30.0,46,10.0,86,20.0,106,3.0,21.0,15.0,23.0,15.0,21.0,8.0,1.0,44.0,5.0,21.0,71.0,3.0,7.0,58.0,2.0,4.0,43.0,15.0,3.0,5.0,4.0,1.0,5.0,2.0,75.0,345,9.0,3.0,0.3235294117647059,0.34375,0.41975308641975306,0.25,0.6666666666666666,0.5303030303030303,0.390625,0.5409836065573771,0.5502873563218391,0.47058823529411764,0.5681818181818182,0.09876543209876543,0.125,0.1111111111111111,16.191656340355223,0.5227272727272727,0.18867924528301888,0.05596107055961071,0.018211920529801324,0.12345679012345678,0.02313624678663239,0.07136150234741784,0.02014098690835851,0.03125,0.015625,0.011904761904761904,0.007692307692307693,0.044444444444444446,0.04198473282442748,0.07462686567164178,0.12903225806451613,0.10526315789473684,0.01639344262295082,0.4,0.09696969696969697,0.40625,0.4642857142857143,0.3076923076923077,0.02727272727272727,0.3333333333333333,0.375,,0.12121212121212122,0.45,0.4864864864864865,0.15625,0.4,0.04918032786885246,0.6666666666666666,0.8515151515151516,0.554528527607362,0.5683236842105263,0.5258896551724138,0.05507246376811594,0.16129032258064516,0.0835509138381201,0.195822454308094,11.00740740740741,0.1586428243924805,45.0,109.0,49.0,140.0,3.0,14.0,9.0,32.0,94.0,249.0,7.0,24.0,18.0,52.0,279.0,138.0,49.0,17.0,4.0,22.0,6.0,5.0,3.0,2.0,2.0,2.0,14.0,3.0,,,0.9893617021276596,0.37751004016064255,0.2916666666666667,0.34615384615384615,0.3805668016194332,0.7545454545454545,0.03088803088803089,0.3888888888888889,0.3303030303030303,0.41284403669724773,0.42452830188679247,1.0,0.42424242424242425,0.35,0.35,0.9795918367346939,0.4375,0.21428571428571427,0.6666666666666666,0.5245901639344263,0.28125,0.35507246376811596,24.561044176706826,2.0,3.0,,,,3.0,0.075,4.0,10.0,9.0,20.0,3.0,1.0,1.0,4.0,0.012048192771084338,0.027522935779816515,0.3125,0.4,1.0,0.32786885245901637,0.45,0.015873015873015872,,,,,,True,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,22839.0,381,-43,718,716,197,234,89,1434,16.0,24.0,1.0,1.0,5.0,9.0,17.0,42.0,29.0,68,62.0,134,16.0,185,774,6.0,13.0,1.0,22.0,17.0,38.0,5.0,54.0,56.0,68.0,,11.0,36.0,19.0,55.0,6.0,22.0,129.0,1.0,2.0,9.0,14,,23,3.0,26,1.0,11.0,10.0,19.0,12.0,4.0,7.0,,23.0,7.0,12.0,19.0,,,20.0,1.0,1.0,20.0,10.0,1.0,,,,,,54.0,196,,1.0,0.45161290322580644,0.45161290322580644,0.4626865671641791,0.46153846153846156,0.4473684210526316,0.44473684210526315,0.6176470588235294,0.44545454545454544,0.4671717171717172,0.6470588235294118,0.47368421052631576,0.08208955223880597,0.16666666666666666,0.14285714285714285,27.116564417177912,0.8260869565217391,,0.054901960784313725,0.010309278350515464,0.10588235294117647,0.006622516556291391,0.06764705882352941,0.008695652173913044,,,0.02631578947368421,,0.07142857142857142,0.025,0.06666666666666667,0.1206896551724138,0.07407407407407407,0.010101010101010102,,0.12631578947368421,0.6666666666666666,0.8,0.5625,0.22105263157894736,0.40476190476190477,0.4722222222222222,0.23529411764705882,0.35789473684210527,0.4264705882352941,0.43283582089552236,0.058823529411764705,1.0,0.16363636363636364,0.5555555555555556,0.42105263157894735,0.47059815789473686,0.46119999999999994,0.44924363636363634,0.050761421319796954,0.07092198581560284,0.11891891891891893,0.2918918918918919,12.41940298507463,0.2743732590529248,5.0,20.0,10.0,36.0,1.0,2.0,4.0,13.0,15.0,56.0,3.0,4.0,5.0,17.0,42.0,36.0,10.0,13.0,6.0,8.0,1.0,4.0,,,1.0,,2.0,3.0,1.0,1.0,0.9333333333333333,0.26785714285714285,0.75,0.29411764705882354,0.26785714285714285,0.29473684210526313,0.010309278350515464,0.5172413793103449,0.10526315789473684,0.25,0.25,1.0,0.18947368421052632,0.2777777777777778,0.2777777777777778,0.9,0.11764705882352941,0.5,1.0,0.23636363636363636,0.3076923076923077,0.2777777777777778,24.253571428571426,,,,,,3.0,0.014705882352941176,2.0,2.0,1.0,4.0,,,,,,,0.11764705882352941,1.0,1.0,0.07272727272727272,0.25,,,,,,,True,,,,,
2073,1610612742,Brian Cardinal,Brian Cardinal,2073,DAL,11435.0,191,1,370,375,113,129,26,745,,1.0,,,,,,1.0,,3,,5,6.0,42,366,,,,,,2.0,4.0,10.0,,,,1.0,7.0,9.0,16.0,4.0,3.0,41.0,1.0,2.0,2.0,16,2.0,20,3.0,23,1.0,9.0,7.0,3.0,3.0,3.0,,,6.0,3.0,11.0,17.0,,,16.0,3.0,,6.0,1.0,2.0,1.0,,1.0,1.0,1.0,10.0,113,2.0,2.0,,,,,,0.5806451612903226,,0.42857142857142855,0.6176470588235294,,0.5555555555555556,0.2,1.0,,9.975062344139651,0.5,0.15384615384615385,0.13445378151260504,0.022727272727272728,0.043478260869565216,0.014705882352941176,0.10909090909090909,0.019230769230769232,0.041666666666666664,,0.027777777777777776,,0.24,0.15384615384615385,0.07272727272727272,0.05714285714285714,,0.05555555555555555,1.0,0.03225806451612903,,,,0.03225806451612903,,,,0.0967741935483871,,,,,,,0.8709677419354839,0.5572048387096773,0.6144,0.5270785714285714,0.03125,0.16666666666666666,,0.23809523809523808,14.1,0.3054054054054054,8.0,17.0,4.0,9.0,,,,1.0,12.0,26.0,,1.0,2.0,5.0,36.0,9.0,4.0,5.0,1.0,3.0,2.0,2.0,1.0,,,2.0,4.0,,,1.0,1.0,0.46153846153846156,,0.4,0.46153846153846156,0.8387096774193549,0.021739130434782608,,0.5483870967741935,0.47058823529411764,0.47058823529411764,1.0,0.2903225806451613,0.4444444444444444,0.4444444444444444,1.0,,,,0.14285714285714285,,0.4444444444444444,23.82307692307692,,,,,,,,,1.0,2.0,4.0,,,,,,,1.0,,,0.5714285714285714,0.5,,2.0,,,,,True,,,,,
2562,1610612742,Sasha Pavlovic,Sasha Pavlovic,2562,DAL,5447.0,91,-10,165,172,11,17,10,337,1.0,3.0,,,1.0,1.0,1.0,2.0,3.0,6,5.0,11,3.0,28,187,,,,,2.0,2.0,,4.0,8.0,2.0,,,5.0,2.0,7.0,1.0,1.0,16.0,,,,4,,4,,4,,4.0,3.0,3.0,2.0,1.0,1.0,,4.0,,4.0,11.0,1.0,1.0,3.0,,,3.0,,,,,,,,4.0,11,1.0,,0.8,0.8,0.45454545454545453,,1.0,0.625,,1.0,0.6666666666666666,,1.0,,,,14.285714285714286,0.75,,0.06896551724137931,,,,0.05714285714285714,,,,,,,,0.19047619047619047,,,,,0.15,0.3333333333333333,0.3333333333333333,,0.1,0.5,0.5,1.0,0.3,0.5,0.5,,,0.5,1.0,0.6,0.533965,,0.6635,0.047619047619047616,,,0.14285714285714285,11.836363636363636,0.06666666666666667,2.0,5.0,3.0,4.0,,,,,5.0,9.0,,,,,15.0,4.0,3.0,1.0,1.0,3.0,1.0,,,,,,1.0,,,,1.0,0.5555555555555556,,,0.5555555555555556,0.45,,1.0,0.25,0.4,0.4,1.0,0.2,0.75,0.75,1.0,,,,,,0.75,23.944444444444446,,,,,,,,,,,,,,,1.0,,,,,,,,0.1,,,,,,True,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,57161.0,953,69,1794,1814,226,270,171,3608,13.0,29.0,2.0,4.0,1.0,2.0,8.0,25.0,22.0,55,43.0,109,13.0,231,1883,3.0,9.0,,21.0,2.0,9.0,8.0,18.0,28.0,58.0,4.0,5.0,162.0,78.0,240.0,29.0,73.0,558.0,7.0,10.0,23.0,89,,112,17.0,129,5.0,54.0,38.0,46.0,39.0,22.0,7.0,,68.0,12.0,21.0,36.0,1.0,,22.0,1.0,,17.0,3.0,4.0,13.0,6.0,7.0,13.0,6.0,17.0,225,1.0,2.0,0.32558139534883723,0.34146341463414637,0.3944954128440367,0.3333333333333333,0.2222222222222222,0.42248062015503873,0.45652173913043476,0.19230769230769232,0.42992424242424243,0.45652173913043476,0.2903225806451613,0.045871559633027525,0.06896551724137931,0.08,16.67506297229219,0.6764705882352942,,0.12696148359486448,0.01996007984031936,0.12234042553191489,0.0220125786163522,0.12598425196850394,0.020757020757020756,0.0390625,,0.023809523809523808,0.019801980198019802,0.07106598984771574,0.14035087719298245,0.15579710144927536,0.09859154929577464,0.1956521739130435,0.03125,0.46153846153846156,0.1124031007751938,0.4482758620689655,0.48148148148148145,0.3076923076923077,0.09689922480620156,0.32,0.34782608695652173,0.25,0.2131782945736434,0.4,0.4074074074074074,0.17391304347826086,0.5,0.07692307692307693,0.5,0.689922480620155,0.5341809055118111,0.5729749999999999,0.4976354166666667,0.011538461538461539,0.02702702702702703,0.09090909090909091,0.07792207792207792,12.300000000000004,0.12597547380156077,5.0,24.0,39.0,125.0,5.0,13.0,2.0,14.0,44.0,149.0,5.0,14.0,2.0,17.0,108.0,121.0,39.0,49.0,26.0,63.0,16.0,14.0,5.0,3.0,1.0,2.0,,1.0,4.0,,0.8181818181818182,0.2953020134228188,0.35714285714285715,0.11764705882352941,0.30344827586206896,0.5775193798449613,0.02304147465437788,0.36363636363636365,0.09302325581395349,0.20833333333333334,0.20833333333333334,0.8,0.4844961240310077,0.312,0.312,0.8205128205128205,0.5652173913043478,0.38461538461538464,1.0,0.5384615384615384,0.14285714285714285,0.32231404958677684,25.39798657718121,4.0,,,,,24.0,0.01818181818181818,,1.0,,3.0,,1.0,,,,,0.043478260869565216,,,0.11538461538461539,,,,,,,,True,,,,,
978,1610612742,Peja Stojakovic,Peja Stojakovic,978,DAL,3650.0,61,-28,114,120,3,8,11,234,1.0,2.0,,,,,2.0,2.0,4.0,11,7.0,15,2.0,28,134,,,,,,,,,6.0,8.0,,1.0,4.0,1.0,5.0,,3.0,11.0,,2.0,3.0,6,,9,2.0,11,,2.0,,,,,,,,,1.0,2.0,,,2.0,,,2.0,1.0,,,,,,,,3,,,0.42857142857142855,0.42857142857142855,0.4666666666666667,,,0.43333333333333335,,,0.45161290322580644,,,0.06666666666666667,0.5,,24.603174603174605,,,0.14634146341463414,0.05405405405405406,0.21428571428571427,,0.16363636363636364,0.034482758620689655,0.09090909090909091,,0.05263157894736842,,0.18181818181818182,0.13333333333333333,0.13333333333333333,0.23076923076923078,,,,0.06666666666666667,0.5,1.0,,0.06666666666666667,1.0,1.0,,0.36666666666666664,0.36363636363636365,0.36363636363636365,,,,,0.5666666666666667,0.517045,,,0.03225806451612903,0.0625,,,15.04,0.02631578947368421,1.0,6.0,3.0,9.0,,,,,4.0,15.0,,,,,12.0,9.0,3.0,1.0,,1.0,2.0,,,,,,,,,,1.0,0.26666666666666666,,,0.26666666666666666,0.5,,0.75,0.2,0.16666666666666666,0.16666666666666666,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.3333333333333333,24.353333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
