EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,OffFTReboundPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangePctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Charge Fouls,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,on,BlockingFoulsDrawn,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,HeaveMakes,Clear Path Fouls
101138,1610612753,Brandon Bass,Brandon Bass,101138,ORL,14165.0,236.0,18.0,424.0,431.0,79.0,100.0,54.0,855.0,13.0,19.0,5.0,5.0,2.0,2.0,8.0,27.0,20.0,45.0,41.0,91.0,29.0,111.0,434.0,6.0,10.0,6.0,18.0,6.0,12.0,6.0,18.0,50.0,32.0,8.0,7.0,5.0,9.0,14.0,6.0,3.0,3.0,1.0,1.0,37.0,6.0,15.0,12.0,26.0,4.0,42.0,21.0,63.0,4.0,2.0,2.0,7.0,4.0,4.0,3.0,2.0,11.0,2.0,6.0,16.0,2.0,2.0,25.0,37.0,3.0,20.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,18.0,79.0,2.0,0.6097560975609756,0.6756756756756757,0.4505494505494505,0.6,0.5,0.4505494505494505,0.6,0.5,0.5138888888888888,0.6428571428571429,0.6,0.0769230769230769,0.1578947368421052,0.1481481481481481,24.335378323108387,0.6363636363636364,0.2352941176470588,0.1843971631205673,0.1048951048951049,0.2264150943396226,0.0909090909090909,0.1958762886597938,0.1004784688995215,0.2,0.1071428571428571,0.0526315789473684,0.0408163265306122,0.2352941176470588,0.1,0.2391304347826087,0.2,0.2432432432432432,0.1875,0.0930232558139534,0.5,0.2087912087912088,0.6842105263157895,0.8125,0.4615384615384615,0.2967032967032967,0.2962962962962963,0.3478260869565217,0.125,0.4945054945054945,0.4444444444444444,0.4444444444444444,0.9,0.5,1.0,0.2,0.1666666666666666,1.0,0.2087912087912088,0.4366549450549449,0.5396125,0.40035,0.1851851851851851,0.1851851851851851,0.1621621621621621,0.1621621621621621,11.82967032967033,0.1863207547169811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,23784.0,396.0,11.0,715.0,721.0,148.0,176.0,87.0,1436.0,28.0,42.0,10.0,16.0,5.0,8.0,13.0,30.0,3.0,9.0,44.0,81.0,10.0,98.0,748.0,16.0,25.0,,32.0,7.0,15.0,,14.0,58.0,30.0,26.0,8.0,12.0,5.0,17.0,2.0,3.0,4.0,2.0,6.0,39.0,14.0,23.0,15.0,52.0,13.0,80.0,38.0,118.0,,7.0,6.0,4.0,3.0,13.0,1.0,2.0,17.0,4.0,23.0,52.0,5.0,7.0,20.0,16.0,2.0,9.0,20.0,1.0,,10.0,21.0,9.0,3.0,14.0,148.0,5.0,0.6590909090909091,0.935483870967742,0.5432098765432098,0.64,0.4666666666666667,0.5432098765432098,0.64,0.4666666666666667,0.5568181818181818,0.6153846153846154,0.4666666666666667,0.0987654320987654,0.0714285714285714,0.1666666666666666,12.78928136419001,0.2352941176470588,0.3714285714285714,0.2063492063492063,0.1036036036036036,0.1666666666666666,0.1111111111111111,0.195906432748538,0.1063218390804597,0.1379310344827586,0.1392405063291139,0.0470588235294117,0.075268817204301,0.2121212121212121,0.1666666666666666,0.2,0.24,0.1538461538461538,0.2,,0.4285714285714285,0.5185185185185185,0.6666666666666666,0.717948717948718,0.7142857142857143,0.3703703703703703,0.4333333333333333,0.52,0.5384615384615384,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.64,0.625,0.2,0.5333333333333333,0.625,0.5185185185185185,0.5108679012345679,0.5814529411764705,0.4693933333333334,0.1022727272727272,0.1022727272727272,0.3265306122448979,0.1428571428571428,5.606172839506174,0.206993006993007,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,9.0,1.0,1.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1713,1610612753,Vince Carter,Vince Carter,1713,ORL,10778.0,180.0,72.0,326.0,329.0,87.0,101.0,42.0,655.0,10.0,17.0,1.0,1.0,2.0,4.0,10.0,19.0,5.0,16.0,25.0,52.0,24.0,113.0,312.0,1.0,4.0,2.0,4.0,3.0,10.0,7.0,31.0,10.0,40.0,2.0,5.0,13.0,13.0,26.0,8.0,5.0,6.0,6.0,1.0,65.0,,1.0,5.0,14.0,3.0,22.0,1.0,23.0,,8.0,5.0,10.0,6.0,8.0,4.0,2.0,18.0,1.0,10.0,20.0,1.0,3.0,19.0,31.0,2.0,11.0,1.0,,,1.0,1.0,1.0,,31.0,87.0,1.0,0.2,0.2083333333333333,0.4807692307692308,0.25,0.3,0.5632911392405063,0.1428571428571428,0.6,0.6043956043956044,0.25,0.62,0.0961538461538461,0.1176470588235294,0.0526315789473684,29.301075268817204,0.5555555555555556,0.1111111111111111,0.1166666666666666,0.0116279069767441,0.1162790697674418,,0.1165644171779141,0.0072992700729927,,0.0384615384615384,,,,0.027027027027027,0.1764705882352941,0.1428571428571428,0.0689655172413793,0.2142857142857142,,1.0,0.2151898734177215,0.5882352941176471,0.6666666666666666,0.2,0.240506329113924,0.5263157894736842,0.5555555555555556,0.1,0.2025316455696202,0.3125,0.3571428571428571,0.4,0.1428571428571428,1.0,,0.2,0.5,0.5569620253164557,0.4999371794871795,0.52193,0.5048342105263157,0.125,0.180327868852459,0.0353982300884955,0.2743362831858407,8.815384615384616,0.2668711656441718,,3.0,,5.0,,,1.0,,,,,,,,4.0,4.0,2.0,2.0,9.0,23.0,3.0,4.0,8.0,13.0,27.0,3.0,6.0,10.0,30.0,9.0,1.0,22.0,9.0,2.0,5.0,3.0,3.0,0.7692307692307693,0.4814814814814814,0.6,0.5,0.3417721518987341,0.125,0.050632911392405,1.0,1.0,1.0,0.2911392405063291,0.391304347826087,0.391304347826087,0.6666666666666666,0.4285714285714285,0.1,1.0,0.4,0.5,0.4090909090909091,26.68148148148148,,,,,,,,,,,,,,,,True,,,,,,,,
1715,1610612753,Jason Williams,Jason Williams,1715,ORL,6013.0,100.0,12.0,189.0,194.0,34.0,70.0,17.0,383.0,2.0,3.0,,,,,,,4.0,8.0,6.0,11.0,,21.0,185.0,,,,,,,,3.0,8.0,4.0,,,10.0,4.0,14.0,3.0,1.0,3.0,2.0,5.0,32.0,2.0,,2.0,10.0,,12.0,2.0,14.0,,5.0,4.0,3.0,3.0,2.0,,1.0,5.0,,,3.0,,1.0,,,,,,,,,,,,3.0,34.0,2.0,0.6666666666666666,0.6666666666666666,0.5454545454545454,,,0.42,,1.5,0.42,,1.5,,,,14.285714285714285,0.6,,0.1492537313432835,,0.1,0.0526315789473684,0.1379310344827586,0.0212765957446808,,,,0.0357142857142857,0.1,0.1363636363636363,0.15,0.16,0.0588235294117647,0.3333333333333333,,,0.12,0.6666666666666666,0.6666666666666666,1.0,,,,,0.32,0.5,0.5,0.5,,,,,,0.68,0.521306,0.50505,0.4947,,,,0.1428571428571428,14.509090909090908,0.1798941798941798,,1.0,,2.0,,,,,,,,,,,1.0,3.0,,,2.0,11.0,2.0,1.0,1.0,3.0,14.0,2.0,1.0,1.0,3.0,6.0,,11.0,2.0,,,,,0.3333333333333333,0.2142857142857142,1.0,0.2142857142857142,0.56,,0.12,0.3333333333333333,0.3333333333333333,1.0,0.44,0.1818181818181818,0.1818181818181818,,1.0,,,1.0,1.0,0.1818181818181818,25.12857142857143,,,,,,,,,,,,,,,,True,,,,,,,,
1740,1610612753,Rashard Lewis,Rashard Lewis,1740,ORL,11885.0,198.0,-7.0,359.0,359.0,91.0,89.0,47.0,718.0,6.0,8.0,2.0,2.0,2.0,2.0,13.0,30.0,5.0,18.0,24.0,56.0,5.0,83.0,384.0,4.0,4.0,,11.0,3.0,6.0,2.0,20.0,22.0,26.0,4.0,5.0,2.0,5.0,7.0,2.0,3.0,1.0,1.0,,19.0,5.0,6.0,2.0,13.0,3.0,18.0,11.0,29.0,1.0,5.0,4.0,7.0,4.0,4.0,3.0,1.0,11.0,,8.0,17.0,3.0,,11.0,6.0,,2.0,3.0,,,2.0,3.0,1.0,,20.0,91.0,2.0,0.4583333333333333,0.5,0.4285714285714285,1.0,0.5,0.4431818181818182,0.9166666666666666,0.5,0.456043956043956,0.9166666666666666,0.5263157894736842,0.0892857142857142,0.125,0.0666666666666666,24.87804878048781,0.6363636363636364,0.1363636363636363,0.1074380165289256,0.055045871559633,0.0434782608695652,0.0757575757575757,0.0898203592814371,0.0628571428571428,0.12,0.0434782608695652,0.0263157894736842,0.1041666666666666,,0.088235294117647,0.131578947368421,0.1020408163265306,0.064516129032258,,0.0212765957446808,0.3333333333333333,0.0909090909090909,0.75,0.8571428571428571,0.6666666666666666,0.3409090909090909,0.4333333333333333,0.4642857142857143,0.3076923076923077,0.2045454545454545,0.2777777777777778,0.3125,0.6,0.3333333333333333,1.0,,0.1111111111111111,1.0,0.4545454545454545,0.4739505681818182,0.5776399999999999,0.5116305555555556,0.0222222222222222,0.0344827586206896,0.1325301204819277,0.2409638554216867,10.587499999999997,0.2534818941504178,,1.0,,2.0,,,,,,,1.0,,,,5.0,16.0,3.0,5.0,5.0,16.0,1.0,1.0,7.0,10.0,32.0,2.0,4.0,12.0,30.0,,,16.0,5.0,1.0,,1.0,1.0,1.0,0.3125,0.3333333333333333,0.3125,0.3636363636363636,0.1111111111111111,0.1818181818181818,0.3125,0.3125,1.0,0.1818181818181818,0.3125,0.3125,1.0,0.1666666666666666,0.2777777777777778,0.6,0.3888888888888889,0.1428571428571428,0.3125,24.58125,1.0,1.0,1.0,1.0,0.5,0.1666666666666666,1.0,1.0,,,,,,,,True,,,,,,,,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,10723.0,179.0,-11.0,319.0,327.0,35.0,57.0,34.0,646.0,5.0,6.0,2.0,2.0,3.0,4.0,6.0,11.0,6.0,13.0,17.0,30.0,21.0,91.0,354.0,2.0,4.0,1.0,5.0,3.0,4.0,4.0,10.0,18.0,16.0,,,13.0,5.0,18.0,4.0,1.0,4.0,4.0,5.0,41.0,,,5.0,11.0,,16.0,,16.0,,2.0,2.0,6.0,4.0,,2.0,,6.0,,5.0,8.0,,,24.0,23.0,1.0,7.0,,,,,,,,10.0,35.0,,0.5294117647058824,0.5294117647058824,0.5666666666666667,0.5,0.75,0.5555555555555556,0.2222222222222222,0.5,0.6111111111111112,0.2777777777777778,0.625,,,,21.428571428571427,1.0,,0.1,,0.1111111111111111,,0.1032258064516129,,,,,,,0.15625,0.1025641025641025,0.0512820512820512,0.09375,0.1538461538461538,,,0.0952380952380952,0.8333333333333334,0.8333333333333334,0.4,0.1746031746031746,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.2063492063492063,0.4615384615384615,0.4615384615384615,0.5,0.2222222222222222,1.0,,0.6666666666666666,0.75,0.6190476190476191,0.4928063492063492,0.50575,0.4425166666666666,0.1159420289855072,0.1944444444444444,0.0549450549450549,0.1098901098901098,11.760000000000002,0.109717868338558,,,,,,,,,,,,,,,3.0,8.0,,1.0,9.0,25.0,2.0,,1.0,12.0,33.0,5.0,,2.0,24.0,12.0,,25.0,9.0,,3.0,3.0,2.0,0.6666666666666666,0.3636363636363636,,0.3636363636363636,0.5238095238095238,,0.1269841269841269,0.375,0.375,1.0,0.3968253968253968,0.36,0.375,0.5555555555555556,0.2222222222222222,0.1666666666666666,,0.1666666666666666,,0.36,24.984848484848484,3.0,,,,,0.3333333333333333,,,1.0,1.0,1.0,0.0303030303030303,0.04,0.0303030303030303,,True,,,,,,,,
2047,1610612753,Quentin Richardson,Quentin Richardson,2047,ORL,7458.0,124.0,-18.0,229.0,226.0,45.0,58.0,31.0,455.0,2.0,5.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,6.0,6.0,16.0,4.0,40.0,240.0,1.0,1.0,,2.0,1.0,3.0,,5.0,2.0,10.0,2.0,1.0,3.0,,3.0,,,2.0,,1.0,6.0,2.0,2.0,2.0,14.0,3.0,19.0,5.0,24.0,1.0,2.0,,2.0,1.0,1.0,1.0,,3.0,,4.0,10.0,1.0,,9.0,6.0,,3.0,2.0,,,1.0,2.0,,,5.0,45.0,2.0,0.1666666666666666,0.2,0.375,1.0,0.3333333333333333,0.4615384615384615,0.25,0.3125,0.4761904761904761,0.25,0.3125,0.0625,,0.2,16.9811320754717,0.6666666666666666,0.2307692307692307,0.1666666666666666,0.0259740259740259,0.1111111111111111,0.0476190476190476,0.1568627450980392,0.0336134453781512,,0.0434782608695652,0.032258064516129,0.0666666666666666,,0.0454545454545454,0.1764705882352941,0.25,0.125,,0.0454545454545454,,0.1282051282051282,0.4,0.4,,0.1282051282051282,0.6,0.75,0.3333333333333333,0.1538461538461538,0.1666666666666666,0.1666666666666666,,0.25,1.0,,0.25,0.5,0.717948717948718,0.5089657894736842,0.4648,0.4777062499999999,0.0714285714285714,0.1578947368421052,0.05,0.125,10.6,0.1965065502183406,1.0,2.0,,2.0,,,1.0,2.0,,,1.0,,,0.25,5.0,9.0,1.0,2.0,3.0,14.0,3.0,,3.0,8.0,23.0,3.0,1.0,5.0,24.0,,1.0,13.0,3.0,,,,,1.0,0.3478260869565217,0.2,0.3636363636363636,0.5897435897435898,,0.2307692307692307,0.5555555555555556,0.5555555555555556,1.0,0.358974358974359,0.2142857142857142,0.2142857142857142,1.0,0.75,0.25,0.5,0.375,,0.2307692307692307,25.530434782608697,,,,,,,,,,,,,,,,True,,,,,,,,
2554,1610612753,Mickael Pietrus,Mickael Pietrus,2554,ORL,9935.0,166.0,-36.0,293.0,298.0,37.0,49.0,30.0,591.0,2.0,4.0,,1.0,,1.0,,1.0,2.0,10.0,4.0,15.0,,62.0,319.0,,2.0,,3.0,,3.0,,6.0,6.0,2.0,,2.0,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,,2.0,6.0,14.0,1.0,21.0,2.0,23.0,,6.0,6.0,,,5.0,,2.0,5.0,,8.0,14.0,2.0,,6.0,,,,,,,,,,1.0,6.0,37.0,1.0,0.75,0.75,0.2666666666666666,,,0.5535714285714286,0.25,0.6,0.5535714285714286,0.25,0.6,0.1333333333333333,,1.0,18.2089552238806,,0.0909090909090909,0.1359223300970873,0.0204081632653061,0.15,,0.1398601398601398,0.0131578947368421,0.0769230769230769,,,,,0.1,0.1333333333333333,0.1627906976744186,0.1612903225806451,0.1111111111111111,,,0.0714285714285714,0.5,0.5,0.5,0.0178571428571428,,,,0.1785714285714285,0.2,0.2222222222222222,1.0,0.1666666666666666,,,0.2,,0.8035714285714286,0.5272863636363636,0.5356875000000001,0.52017,,,0.0483870967741935,0.0967741935483871,13.713333333333336,0.1262798634812286,,,2.0,1.0,,,1.0,3.0,,,,2.0,,,4.0,10.0,,,14.0,31.0,3.0,2.0,2.0,18.0,41.0,4.0,2.0,2.0,36.0,18.0,,31.0,14.0,,,,,0.6666666666666666,0.4390243902439024,1.0,0.4390243902439024,0.7321428571428571,0.1,0.1785714285714285,0.4,0.4,1.0,0.5535714285714286,0.4516129032258064,0.4666666666666667,0.5714285714285714,0.5,,,0.4,1.0,0.4516129032258064,24.880487804878044,1.0,1.0,1.0,1.0,0.25,0.1666666666666666,0.3333333333333333,1.0,1.0,,,0.024390243902439,0.032258064516129,,,True,,,,,,,,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,4616.0,77.0,17.0,138.0,138.0,38.0,45.0,18.0,276.0,3.0,10.0,,,1.0,4.0,3.0,6.0,2.0,3.0,8.0,19.0,6.0,31.0,140.0,,1.0,4.0,4.0,4.0,8.0,4.0,15.0,2.0,14.0,,1.0,13.0,7.0,20.0,5.0,2.0,6.0,2.0,5.0,47.0,2.0,1.0,2.0,8.0,,10.0,3.0,13.0,1.0,3.0,1.0,5.0,2.0,3.0,3.0,,8.0,,4.0,9.0,1.0,,8.0,6.0,,,,,,,,,,15.0,38.0,2.0,0.125,0.125,0.4210526315789473,,0.5,0.4166666666666667,,0.55,0.4696969696969697,0.5,0.625,0.0526315789473684,,0.1666666666666666,26.11464968152866,0.625,,0.1702127659574468,0.024390243902439,0.0714285714285714,0.0769230769230769,0.1333333333333333,0.044776119402985,,0.0666666666666666,,0.1052631578947368,,0.0833333333333333,0.0588235294117647,0.3333333333333333,0.1,,0.0555555555555555,,0.3333333333333333,0.3,0.3,,0.2,0.5,0.6,0.3333333333333333,0.1,0.6666666666666666,0.6666666666666666,,,,,0.4,0.25,0.7,0.5067616666666667,0.4847249999999999,0.4659799999999999,,,0.1290322580645161,0.4838709677419355,6.41578947368421,0.2753623188405797,,2.0,1.0,3.0,,1.0,,,,,,,,,,1.0,,,3.0,10.0,1.0,1.0,2.0,3.0,11.0,1.0,1.0,2.0,9.0,,,10.0,3.0,2.0,,3.0,2.0,1.0,0.2727272727272727,0.5,0.2727272727272727,0.3666666666666666,,0.0333333333333333,,,,0.3333333333333333,0.3,0.3,1.0,0.5,,,0.2,0.5,0.3,25.736363636363635,,,,,,,,,,,,,,,,True,,,,,,,,
2768,1610612753,Chris Duhon,Chris Duhon,2768,ORL,14031.0,234.0,-15.0,416.0,418.0,87.0,69.0,53.0,834.0,6.0,12.0,1.0,1.0,5.0,6.0,3.0,5.0,2.0,6.0,11.0,23.0,3.0,46.0,451.0,1.0,2.0,,5.0,5.0,7.0,2.0,21.0,,22.0,,3.0,23.0,10.0,33.0,6.0,4.0,12.0,2.0,9.0,76.0,,1.0,4.0,5.0,,9.0,1.0,10.0,1.0,4.0,3.0,13.0,10.0,7.0,3.0,1.0,20.0,3.0,3.0,7.0,,,13.0,6.0,,3.0,,,,,,,,21.0,87.0,1.0,,,0.4782608695652174,0.5,0.7142857142857143,0.4886363636363636,0.625,0.7307692307692307,0.4893617021276595,0.625,0.7,0.1304347826086956,0.25,,13.871635610766043,0.65,,0.0340136054421768,0.0076335877862595,0.0851063829787234,,0.0463917525773195,0.005050505050505,,0.0212765957446808,,,,0.0263157894736842,0.0222222222222222,0.046875,0.09375,0.0666666666666666,0.0526315789473684,,0.2727272727272727,0.5,0.6666666666666666,,0.1136363636363636,0.6,0.6,,0.1363636363636363,0.3333333333333333,0.3333333333333333,,0.25,1.0,,0.4615384615384615,0.8333333333333334,0.75,0.5105085365853659,0.5468500000000001,0.5090590909090909,0.0638297872340425,0.1153846153846153,0.108695652173913,0.4565217391304347,6.765217391304348,0.2091346153846154,,1.0,1.0,4.0,,2.0,,4.0,,,,,,,,3.0,,1.0,7.0,18.0,2.0,3.0,5.0,7.0,21.0,2.0,3.0,6.0,15.0,6.0,2.0,16.0,7.0,5.0,,,,0.7142857142857143,0.3333333333333333,0.5,0.3684210526315789,0.4772727272727273,,0.0681818181818181,,,,0.4090909090909091,0.3888888888888889,0.3888888888888889,0.7142857142857143,0.5,0.0769230769230769,,0.3846153846153846,0.6,0.4375,28.51904761904762,,1.0,1.0,,0.5,,0.5,1.0,1.0,,,0.0476190476190476,,,0.3333333333333333,True,,,,,,,,
