EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,BadPassTurnovers,DeadBallTurnovers,Travels,ShootingFouls,Offensive Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Arc3FGM,FG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LostBallSteals,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceCorner3FGA,SecondChanceFG3A,HeaveAttempts,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFoulsDrawn,AtRimPctBlocked,SecondChanceCorner3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,Loose Ball Fouls,Charge Fouls Drawn,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls Drawn,PenaltyArc3FGM,PenaltyArc3Accuracy,SecondChanceArc3FGA,SecondChanceArc3Frequency,BlockingFouls,3SecondViolations,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimPctAssisted,on,FTOffRebounds,StepOutOfBoundsTurnovers,Charge Fouls,OffFTReboundPct,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,SecondChanceCorner3FGM,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes
101133,1610612742,Ian Mahinmi,Ian Mahinmi,101133,DAL,1685.0,28,10,56,55,33.0,42.0,6,111,5.0,7.0,1.0,2.0,3.0,5.0,2.0,3.0,7.0,10.0,2.0,16.0,48,1.0,2.0,1.0,3.0,4.0,7.0,1.0,9.0,10.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,8.0,3.0,11,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,33.0,1.0,1.0,0.7142857142857143,0.8333333333333334,0.7,0.5,0.5714285714285714,0.7,0.5,0.5714285714285714,0.7272727272727273,0.5,0.5625,20.967741935483872,1.0,0.25,0.2727272727272727,0.2,0.3076923076923077,0.1,0.2916666666666667,0.15,0.3333333333333333,0.25,0.16666666666666666,0.2,0.4,0.2727272727272727,0.5,0.3333333333333333,0.7,0.7142857142857143,0.7142857142857143,0.6,0.3,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,0.7142857142857143,0.6,0.7,0.55412,0.3875,0.5659857142857143,0.1,0.1,0.1875,0.5625,3.7199999999999998,0.5892857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,3525.0,59,-34,108,110,41.0,35.0,15,218,1.0,3.0,1.0,1.0,,,6.0,12.0,8.0,18.0,,16.0,122,2.0,3.0,,4.0,2.0,4.0,,4.0,6.0,10.0,2.0,2.0,3.0,,14.0,1.0,15.0,5.0,20,1.0,5.0,1.0,8.0,4.0,4.0,1.0,2.0,,1.0,,4.0,41.0,,,0.375,0.42857142857142855,0.4444444444444444,0.6666666666666666,0.5,0.4,0.6666666666666666,0.4,0.38095238095238093,0.6666666666666666,0.3333333333333333,23.387096774193548,0.625,0.25,0.2978723404255319,0.07142857142857142,,0.15384615384615385,0.2692307692307692,0.09090909090909091,,0.13333333333333333,0.25,0.3,0.375,,,0.1,0.15,0.3333333333333333,0.3333333333333333,,0.6,0.5,0.5454545454545454,0.3333333333333333,0.3333333333333333,1.0,,,0.25,0.42724499999999993,0.5710999999999999,0.39916,0.047619047619047616,0.05263157894736842,0.25,0.25,8.783333333333333,0.37962962962962965,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.1,0.1111111111111111,0.08333333333333333,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.18181818181818182,0.5,0.15,0.3333333333333333,0.5,1.0,0.05,0.05,0.2,25.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,6000.0,100,-15,187,189,62.0,63.0,19,376,7.0,12.0,1.0,2.0,2.0,2.0,4.0,7.0,12.0,26.0,2.0,35.0,198,2.0,3.0,,4.0,3.0,7.0,,6.0,,24.0,,,1.0,5.0,3.0,,8.0,1.0,9,,4.0,1.0,6.0,1.0,6.0,9.0,3.0,3.0,3.0,,6.0,62.0,2.0,,,,0.46153846153846156,0.6666666666666666,0.42857142857142855,0.4583333333333333,0.6666666666666666,0.375,0.4861111111111111,0.6666666666666666,0.375,20.28985507246377,0.6666666666666666,,0.05660377358490566,0.015873015873015872,0.17857142857142858,,0.09876543209876543,0.011764705882352941,0.058823529411764705,,,0.05555555555555555,0.08,0.22727272727272727,,,0.3333333333333333,0.5833333333333334,0.5833333333333334,,0.19444444444444445,0.5714285714285714,0.5714285714285714,,0.6666666666666666,0.5,0.25,1.0,0.6111111111111112,0.4971333333333334,0.3776,0.40476874999999995,0.08333333333333333,0.11538461538461539,0.11428571428571428,0.17142857142857143,8.434615384615386,0.3315508021390374,1.0,7.0,,10.0,1.0,10.0,1.0,10.0,1.0,10.0,14.0,4.0,4.0,32.0,3.0,2.0,3.0,2.0,1.0,3.0,,,,,,,0.2777777777777778,0.038461538461538464,,0.14285714285714285,,,,,0.19444444444444445,0.14285714285714285,0.16666666666666666,,,0.2777777777777778,0.125,25.42,3.0,3.0,6.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,0.6666666666666666,0.3,0.3,0.3,0.3,0.6666666666666666,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
202346,1610612742,Dominique Jones,Dominique Jones,202346,DAL,8106.0,135,-21,252,252,93.0,87.0,31,504,4.0,13.0,,1.0,2.0,6.0,7.0,20.0,14.0,41.0,14.0,42.0,258,,2.0,,,7.0,18.0,8.0,22.0,10.0,18.0,,1.0,5.0,2.0,16.0,1.0,19.0,6.0,25,4.0,6.0,4.0,10.0,3.0,7.0,11.0,17.0,1.0,8.0,1.0,22.0,93.0,1.0,1.0,0.35714285714285715,0.35714285714285715,0.34146341463414637,,0.3888888888888889,0.3111111111111111,,0.3888888888888889,0.39622641509433965,,0.4782608695652174,22.105263157894736,0.6,0.1,0.20253164556962025,0.05952380952380952,0.05714285714285714,0.029411764705882353,0.15789473684210525,0.05084745762711865,0.04,0.06896551724137931,,0.3,0.12903225806451613,,0.2,0.16,0.28888888888888886,0.3076923076923077,0.3333333333333333,0.75,0.4444444444444444,0.35,0.4117647058823529,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.37777777777777777,0.4912420454545456,0.5847166666666667,0.5101333333333334,0.15384615384615385,0.16666666666666666,,0.5238095238095238,8.317073170731707,0.36904761904761907,3.0,8.0,3.0,1.0,,4.0,,,4.0,7.0,19.0,3.0,3.0,50.0,5.0,3.0,2.0,4.0,1.0,4.0,,3.0,2.0,1.0,3.0,1.0,0.08888888888888889,0.0975609756097561,0.15,,0.06666666666666667,0.047619047619047616,0.16666666666666666,0.3333333333333333,0.17777777777777778,0.375,0.375,0.6666666666666666,0.06666666666666667,0.022222222222222223,,33.650000000000006,,,,,,12.0,6.0,6.0,1.0,2.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.07692307692307693,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2073,1610612742,Brian Cardinal,Brian Cardinal,2073,DAL,3746.0,62,-4,116,113,33.0,40.0,13,229,,,,,,,,,,2.0,,12.0,111,,,,,,,,6.0,,,,1.0,,1.0,2.0,,3.0,1.0,4,,1.0,,1.0,1.0,6.0,3.0,,,,,6.0,33.0,,,,,,,,0.5,,0.75,0.5,,0.75,10.0,1.0,,0.07142857142857142,,0.05263157894736842,0.05263157894736842,0.06382978723404255,0.018518518518518517,,,,,,0.058823529411764705,,,,,,,,,,,,,,,0.8333333333333334,0.5358541666666667,,0.5827875,,,,0.5,18.9,0.28448275862068967,,2.0,7.0,3.0,,10.0,4.0,3.0,,3.0,4.0,1.0,,9.0,2.0,,1.0,,,3.0,,1.0,,1.0,1.0,,0.8333333333333334,,,,,0.1111111111111111,0.2857142857142857,,0.16666666666666666,,,,0.5833333333333334,0.25,,23.71,1.0,4.0,12.0,,1.0,1.0,1.0,,2.0,2.0,,1.0,0.4,0.4,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,3.0,2.0,4.0,2.0,1.0,2.0,0.5,0.42857142857142855,0.42857142857142855,1.0,1.0,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
200779,1610612742,Steve Novak,Steve Novak,200779,DAL,63.0,1,-3,2,2,,,1,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1.0,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
201582,1610612742,Alexis Ajinca,Alexis Ajinca,201582,DAL,911.0,15,21,28,28,19.0,19.0,2,56,,,,,,,,,2.0,2.0,,10.0,20,,,,,1.0,1.0,,5.0,4.0,,,,,2.0,1.0,,3.0,,3,,,,,,3.0,2.0,,,,,5.0,19.0,1.0,,1.0,1.0,1.0,,1.0,1.25,,1.25,1.25,,1.25,13.333333333333334,,,0.14285714285714285,,0.2857142857142857,,0.21428571428571427,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,0.5,0.4294125,,0.40207499999999996,,,,0.5,18.45,0.6785714285714286,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,2.0,2.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,0.5,,,,,,,1.0,0.5,1.0,1.0,1.0,0.25,0.25,,24.4,1.0,2.0,6.0,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2562,1610612742,Sasha Pavlovic,Sasha Pavlovic,2562,DAL,1004.0,17,14,31,31,21.0,17.0,3,62,,,,,,,,,,2.0,,6.0,25,,,,,,1.0,,3.0,,,,,,,,1.0,1.0,,1,,,,,,,,,,,,3.0,21.0,,,,,,,,0.5,,0.5,0.5,,0.5,17.64705882352941,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.48287499999999994,,0.4999,,,,0.5,18.25,0.6774193548387096,,2.0,1.0,3.0,2.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,0.3333333333333333,,,,0.16666666666666666,0.5,0.6666666666666666,25.450000000000003,1.0,2.0,6.0,,1.0,,,,,,,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,1.0,,,1.0,,,0.5,1.0,1.0,1.0,,,,1.0,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2052,1610612742,DeShawn Stevenson,DeShawn Stevenson,2052,DAL,2137.0,36,10,73,72,34.0,29.0,5,145,,,,,,,,,,,,15.0,61,,,,,,,,15.0,,,,,,1.0,1.0,1.0,3.0,,3,,1.0,,1.0,,1.0,1.0,,,,,15.0,34.0,1.0,,,,,,,0.6818181818181818,,0.75,0.6818181818181818,,0.75,15.189873417721518,1.0,0.5,0.041666666666666664,,0.08333333333333333,,0.05555555555555555,,,,,,0.1111111111111111,0.1,,,,,,,,,,,,,,,1.0,0.5087454545454545,0.55425,0.502755,,,,1.0,,0.4657534246575342,,,4.0,7.0,7.0,11.0,10.0,7.0,,1.0,2.0,,1.0,5.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,0.36363636363636365,0.6363636363636364,0.7,24.436363636363637,4.0,5.0,15.0,,4.0,1.0,1.0,,,,,1.0,0.45454545454545453,0.45454545454545453,0.5714285714285714,0.5714285714285714,1.0,0.5714285714285714,,1.0,,,,,1.0,,,1.0,1.0,3.0,5.0,,,0.5,0.25,0.25,1.0,0.3,0.3333333333333333,,4.0,0.5714285714285714,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2217,1610612742,Brendan Haywood,Brendan Haywood,2217,DAL,5450.0,91,-33,167,169,54.0,49.0,21,336,6.0,7.0,2.0,2.0,3.0,4.0,2.0,6.0,9.0,14.0,1.0,19.0,187,2.0,3.0,,4.0,3.0,5.0,,6.0,10.0,8.0,4.0,1.0,5.0,4.0,8.0,3.0,15.0,6.0,21,,1.0,1.0,3.0,,7.0,7.0,8.0,,4.0,,6.0,54.0,,,0.5555555555555556,0.7142857142857143,0.6428571428571429,0.6666666666666666,0.6,0.6428571428571429,0.6666666666666666,0.6,0.5277777777777778,0.5,0.5,11.111111111111112,0.3333333333333333,0.5,0.1509433962264151,0.07936507936507936,0.25,0.05,0.17391304347826086,0.07228915662650602,0.1,0.09523809523809523,,0.10526315789473684,0.3,0.18181818181818182,0.4,,0.5,0.8571428571428571,0.8571428571428571,0.5,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,1.0,0.8,0.75,0.5,0.4797857142857143,0.5763666666666667,0.5242000000000001,0.2222222222222222,0.2222222222222222,0.21052631578947367,0.3157894736842105,5.285714285714286,0.32335329341317365,1.0,1.0,,,,,,,,2.0,2.0,2.0,,4.0,1.0,1.0,,2.0,2.0,5.0,,5.0,4.0,1.0,5.0,2.0,,,,,0.045454545454545456,0.06666666666666667,,0.4,0.07142857142857142,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
