EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,AtRimAssists,Offensive Fouls Drawn,Technical Free Throw Trips,ShortMidRangePctBlocked,ShortMidRangePctAssisted,LostBallOutOfBoundsTurnovers,LostBallTurnovers,2pt And 1 Free Throw Trips,Arc3FGM,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,NonHeaveArc3FGM,ShortMidRangeAssists,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceCorner3FGA,PenaltyArc3FGM,SecondChanceFG3A,HeaveAttempts,OffensiveGoaltends,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFoulsDrawn,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,on,Blocked3s,BlockedArc3,BlockedLongMidRange,3SecondViolations,Fg3aBlocked,FTOffRebounds,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3FGM,Clear Path Fouls,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,BlockedCorner3
1752,1610612757,Sean Marks,Sean Marks,1752,POR,12506.0,208,-74,404,402,154,187,43.0,806,4.0,12.0,1.0,4.0,1.0,7.0,1.0,2.0,12.0,28.0,2.0,2.0,1.0,1.0,17.0,42.0,2.0,2.0,5.0,45.0,448,3.0,6.0,1.0,7.0,6.0,18.0,1.0,1.0,1.0,16.0,30.0,4.0,6.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,9.0,2.0,14.0,3.0,18.0,3.0,24.0,16.0,40.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,8.0,3.0,11.0,2.0,5.0,21.0,2.0,44.0,1.0,6.0,2.0,6.0,2.0,8.0,3.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,16.0,154,8.0,1.0,0.8823529411764706,0.9375,1.0,1.0,1.0,1.0,0.40476190476190477,0.5,0.3333333333333333,0.45454545454545453,0.5,0.39473684210526316,0.46875,0.5,0.4,0.045454545454545456,0.023809523809523808,0.08333333333333333,12.910284463894966,0.2727272727272727,0.15789473684210525,0.13636363636363635,0.09271523178807947,0.07692307692307693,0.045454545454545456,0.12280701754385964,0.08205128205128205,0.1590909090909091,0.05405405405405406,0.07142857142857142,0.03333333333333333,0.07142857142857142,0.11320754716981132,0.175,0.1282051282051282,0.09523809523809523,0.05555555555555555,0.08333333333333333,0.8,0.2727272727272727,0.3333333333333333,0.36363636363636365,0.75,0.045454545454545456,0.5,0.5,0.6363636363636364,0.42857142857142855,0.42857142857142855,1.0,0.045454545454545456,1.0,1.0,1.0,0.6666666666666666,0.25,0.3684210526315789,0.14285714285714285,0.05263157894736842,1.0,0.3181818181818182,0.4456147727272727,0.49938000000000005,0.4416394736842105,0.06382978723404255,0.06666666666666667,0.15555555555555556,0.35555555555555557,14.333333333333334,23.65,0.3811881188118812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1889,1610612757,Andre Miller,Andre Miller,1889,POR,3997.0,67,14,129,126,49,58,13.0,255,3.0,7.0,,1.0,1.0,2.0,4.0,12.0,3.0,7.0,,,,,10.0,26.0,,,10.0,30.0,133,1.0,2.0,2.0,4.0,6.0,11.0,,,8.0,20.0,4.0,16.0,,,4.0,13.0,5.0,18.0,4.0,4.0,41.0,1.0,3.0,4.0,6.0,,10.0,4.0,14.0,,1.0,,1.0,3.0,2.0,3.0,3.0,,6.0,,2.0,1.0,,6.0,,,1.0,11.0,,11.0,1.0,4.0,1.0,,1.0,1.0,1.0,,20.0,49,,3.0,0.2,0.2,,,,,0.38461538461538464,0.5,0.5454545454545454,0.38461538461538464,0.5,0.5454545454545454,0.4838709677419355,0.6666666666666666,0.6666666666666666,,0.15384615384615385,0.2857142857142857,24.65753424657534,0.5,,0.13333333333333333,0.058823529411764705,0.3333333333333333,0.14285714285714285,0.17543859649122806,0.06896551724137931,0.05555555555555555,,0.09090909090909091,,0.25,,0.1111111111111111,0.3333333333333333,0.4,0.2857142857142857,,1.0,0.2692307692307692,0.42857142857142855,0.6,,0.46153846153846156,0.3333333333333333,0.4,0.2692307692307692,0.42857142857142855,0.42857142857142855,0.3333333333333333,,,,,0.5,,0.18181818181818182,0.5,,,0.2692307692307692,0.4521346153846154,0.5065500000000001,0.41579999999999995,0.037037037037037035,0.037037037037037035,0.13333333333333333,0.6666666666666666,8.8,,0.3798449612403101,1.0,9.0,4.0,1.0,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
200746,1610612757,LaMarcus Aldridge,LaMarcus Aldridge,200746,POR,4755.0,79,3,150,141,57,61,18.0,291,7.0,10.0,2.0,4.0,3.0,4.0,4.0,6.0,3.0,9.0,,,,,14.0,25.0,,,8.0,36.0,158,2.0,6.0,1.0,5.0,6.0,10.0,,,4.0,16.0,18.0,10.0,,4.0,1.0,3.0,3.0,6.0,3.0,1.0,15.0,1.0,5.0,2.0,9.0,2.0,13.0,6.0,19.0,2.0,1.0,1.0,,3.0,,,1.0,,4.0,,,5.0,,8.0,,,,7.0,,9.0,5.0,,5.0,4.0,1.0,5.0,1.0,,16.0,57,2.0,,0.6428571428571429,0.75,,,,,0.56,0.3333333333333333,0.6,0.56,0.3333333333333333,0.6,0.6206896551724138,0.4166666666666667,0.6666666666666666,,0.04,,18.96551724137931,0.75,0.2857142857142857,0.16666666666666666,0.0847457627118644,0.18181818181818182,0.06666666666666667,0.16923076923076924,0.08108108108108109,0.08333333333333333,0.2,0.04,,0.2,0.21739130434782608,0.1875,0.06666666666666667,,0.3333333333333333,0.2,0.2,0.4,0.7,0.7,0.5714285714285714,0.24,0.6666666666666666,0.8,0.36,0.3333333333333333,0.3333333333333333,1.0,,,,,0.6666666666666666,0.5,0.4,0.75,,,0.4,0.48508400000000007,0.57668,0.4526300000000001,0.1724137931034483,0.1724137931034483,0.1388888888888889,0.4444444444444444,9.392000000000001,,0.38,,2.0,1.0,,0.16666666666666666,0.5,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
200750,1610612757,Brandon Roy,Brandon Roy,200750,POR,2174.0,36,-25,69,68,25,45,6.0,137,4.0,5.0,,,1.0,1.0,2.0,2.0,1.0,4.0,,,,,7.0,11.0,2.0,4.0,2.0,22.0,87,,,,,2.0,3.0,,1.0,,4.0,6.0,8.0,6.0,,1.0,3.0,1.0,4.0,,1.0,9.0,,,,,1.0,1.0,,1.0,,2.0,,2.0,2.0,,1.0,,,2.0,,1.0,1.0,,1.0,,,,6.0,,2.0,,1.0,,,,,,,4.0,25,,,0.42857142857142855,0.42857142857142855,1.0,0.5,,0.5,0.6363636363636364,,0.6666666666666666,0.6666666666666666,,0.5,0.6875,,0.5,0.26666666666666666,0.09090909090909091,0.2,23.684210526315788,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.8,1.0,0.75,0.13333333333333333,1.0,1.0,0.26666666666666666,0.25,0.25,,,,,,,,0.25,1.0,,,0.6,0.4902366666666666,,0.5145625,,,,0.18181818181818182,9.409090909090908,24.799999999999997,0.36231884057971014,1.0,1.0,,,,,,1.0,,2.0,4.0,1.0,4.0,2.0,1.0,0.26666666666666666,0.5,0.5,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
201587,1610612757,Nicolas Batum,Nicolas Batum,201587,POR,5680.0,95,-9,186,176,56,80,15.0,362,2.0,4.0,,,,,,1.0,2.0,7.0,2.0,9.0,1.0,3.0,4.0,12.0,3.0,13.0,7.0,24.0,184,,2.0,,,1.0,3.0,2.0,5.0,2.0,10.0,6.0,2.0,9.0,,2.0,2.0,2.0,4.0,,1.0,10.0,,,1.0,10.0,,11.0,,11.0,,2.0,2.0,,1.0,,,1.0,,2.0,,1.0,3.0,,7.0,,,,9.0,1.0,8.0,4.0,1.0,4.0,4.0,,4.0,2.0,,10.0,56,1.0,1.0,0.75,0.75,1.0,0.23076923076923078,0.4,0.2727272727272727,0.3333333333333333,,0.3333333333333333,0.34,,0.5,0.42857142857142855,,0.5555555555555556,0.52,0.16666666666666666,0.5,14.492753623188406,0.5,,0.15873015873015872,,0.058823529411764705,,0.1375,,,,,,,0.13793103448275862,0.125,0.2222222222222222,0.09090909090909091,,,0.5,0.16,0.5,1.0,0.5,0.04,,,0.28,0.2857142857142857,0.2857142857142857,1.0,0.36,0.2222222222222222,0.2222222222222222,1.0,,,,,0.375,0.3333333333333333,0.68,0.5281456521739131,0.358475,0.46392142857142854,0.14814814814814814,0.2857142857142857,,0.4166666666666667,11.433333333333332,29.523076923076925,0.3010752688172043,2.0,,1.0,,,,,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,0.16,0.25,0.25,1.0,0.25,0.5,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
202083,1610612757,Wesley Matthews,Wesley Matthews,202083,POR,7045.0,117,-58,230,236,96,108,24.0,466,5.0,13.0,1.0,1.0,1.0,4.0,4.0,6.0,1.0,4.0,4.0,7.0,1.0,3.0,10.0,23.0,12.0,17.0,6.0,62.0,281,1.0,1.0,,11.0,2.0,6.0,4.0,7.0,2.0,18.0,8.0,12.0,33.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,9.0,,3.0,4.0,7.0,5.0,16.0,3.0,19.0,,7.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,,3.0,6.0,,11.0,,1.0,1.0,6.0,,9.0,5.0,,,,,,,,18.0,96,2.0,,0.4,0.4444444444444444,0.9166666666666666,0.7058823529411765,0.5714285714285714,0.7058823529411765,0.43478260869565216,1.0,0.3333333333333333,0.7,1.1,0.6153846153846154,0.7045454545454546,1.1,0.6,0.425,0.17391304347826086,0.3076923076923077,18.992248062015502,0.4,0.35714285714285715,0.0875,0.03614457831325301,0.2222222222222222,,0.11224489795918367,0.02857142857142857,0.07142857142857142,,0.03125,,,0.037037037037037035,0.06896551724137931,0.16666666666666666,0.1111111111111111,0.3333333333333333,,,0.325,0.38461538461538464,0.5555555555555556,0.6,0.15,0.6666666666666666,0.6666666666666666,0.1,0.25,0.25,1.0,0.175,0.5714285714285714,0.5714285714285714,1.0,0.2,1.0,0.3076923076923077,0.25,0.23076923076923078,0.3333333333333333,0.75,0.54732125,0.5773125,0.5696730769230769,0.11363636363636363,0.18518518518518517,0.1774193548387097,0.2903225806451613,6.5,24.341176470588234,0.41739130434782606,,1.0,1.0,,,,,1.0,1.0,8.0,10.0,4.0,10.0,8.0,1.0,0.25,0.8,0.8,0.875,0.3076923076923077,0.8,,3.0,4.0,,,,0.75,3.0,4.0,3.0,3.0,0.75,0.8,0.75,0.6666666666666666,,,,,,,,True,,,,,,,,,,,,,,,,,
201164,1610612757,Rudy Fernandez,Rudy Fernandez,201164,POR,7951.0,133,-38,256,257,85,92,23.0,513,6.0,11.0,1.0,1.0,1.0,3.0,2.0,6.0,2.0,10.0,2.0,3.0,,,10.0,27.0,10.0,26.0,13.0,63.0,278,1.0,2.0,,5.0,2.0,9.0,3.0,8.0,,13.0,8.0,12.0,21.0,2.0,1.0,11.0,3.0,14.0,1.0,7.0,31.0,,1.0,2.0,4.0,1.0,7.0,1.0,8.0,,5.0,4.0,1.0,3.0,3.0,3.0,5.0,,8.0,,3.0,6.0,,9.0,1.0,,,12.0,,14.0,5.0,,,,,,,,13.0,85,1.0,,0.4,0.4444444444444444,0.7,0.38461538461538464,0.375,0.4,0.37037037037037035,0.5,0.2222222222222222,0.4716981132075472,0.5,0.38235294117647056,0.5254237288135594,0.5,0.38235294117647056,0.49056603773584906,0.037037037037037035,0.09090909090909091,23.591549295774648,0.375,0.07692307692307693,0.047619047619047616,0.011111111111111112,0.08,,0.05504587155963303,0.008403361344537815,0.045454545454545456,,,,,,0.03571428571428571,0.12,0.125,,,,0.20754716981132076,0.5454545454545454,0.6,0.5,0.11320754716981132,0.3333333333333333,0.3333333333333333,0.18867924528301888,0.2,0.2,,0.05660377358490566,0.6666666666666666,0.6666666666666666,1.0,0.2,1.0,0.17647058823529413,0.3333333333333333,,,0.6981132075471698,0.535825,0.5831299999999999,0.5158625,0.1016949152542373,0.15625,0.07936507936507936,0.20634920634920634,9.014814814814814,25.646153846153844,0.33203125,2.0,3.0,,1.0,,0.5,,,,8.0,23.0,8.0,22.0,8.0,1.0,0.4339622641509434,0.34782608695652173,0.34782608695652173,0.625,0.47058823529411764,0.36363636363636365,,3.0,3.0,1.0,,,0.375,1.0,3.0,1.0,9.0,0.3333333333333333,0.6,0.3333333333333333,1.0,1.0,1.0,0.037037037037037035,,,,,True,,,,,,,,,,,,,,,,,
202337,1610612757,Luke Babbitt,Luke Babbitt,202337,POR,2676.0,45,-15,89,90,61,61,16.0,179,4.0,8.0,3.0,4.0,2.0,6.0,1.0,4.0,,2.0,,1.0,,1.0,5.0,14.0,,4.0,2.0,12.0,92,4.0,5.0,1.0,9.0,3.0,12.0,,4.0,1.0,7.0,6.0,4.0,,2.0,1.0,,1.0,1.0,,,3.0,,2.0,5.0,5.0,,10.0,2.0,12.0,,2.0,,2.0,3.0,,2.0,1.0,,4.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,,4.0,,7.0,3.0,1.0,,,,,,,7.0,61,3.0,1.0,0.6,0.75,,,,,0.35714285714285715,0.8,0.25,0.2777777777777778,0.6666666666666666,0.1875,0.2857142857142857,0.75,0.18421052631578946,0.2222222222222222,0.07142857142857142,0.125,23.58490566037736,0.75,,0.16129032258064516,0.05555555555555555,0.5,,0.24390243902439024,0.04,,0.125,0.058823529411764705,,,0.17647058823529413,0.14285714285714285,0.14285714285714285,0.5,0.5,,,0.4444444444444444,0.5,0.5714285714285714,0.5,0.2222222222222222,0.25,0.25,0.1111111111111111,,,,0.05555555555555555,,,,0.6666666666666666,0.75,0.375,0.3333333333333333,0.0625,,0.6666666666666666,0.4861388888888889,0.49420000000000003,0.47853124999999996,0.15,0.1875,0.75,0.5833333333333334,5.978571428571428,25.225,0.6853932584269663,1.0,,,,,1.0,,1.0,1.0,,3.0,3.0,3.0,,,0.16666666666666666,,,,0.1875,,,,1.0,,,,,,1.0,,,,0.16666666666666666,,,,,,1.0,0.6666666666666666,,,True,,,,,,,,,,,,,,,,,
201967,1610612757,Dante Cunningham,Dante Cunningham,201967,POR,5135.0,86,-40,161,166,47,61,20.0,327,2.0,2.0,1.0,1.0,,,,4.0,8.0,21.0,,,,,10.0,27.0,,1.0,,20.0,178,1.0,2.0,,2.0,4.0,6.0,,1.0,,8.0,20.0,,,,1.0,1.0,,1.0,,,2.0,,1.0,4.0,3.0,3.0,10.0,1.0,11.0,,2.0,2.0,,2.0,,2.0,1.0,,3.0,,1.0,8.0,,13.0,,1.0,1.0,1.0,,,,,3.0,3.0,,3.0,2.0,,8.0,47,2.0,,1.0,1.0,,,,,0.37037037037037035,0.5,0.6666666666666666,0.35714285714285715,0.5,0.5714285714285714,0.35714285714285715,0.5,0.5714285714285714,0.03571428571428571,0.037037037037037035,,16.756756756756754,0.6666666666666666,0.42857142857142855,0.075,0.014492753623188406,0.2,,0.11666666666666667,0.011111111111111112,0.0625,,,,,0.13333333333333333,,0.07692307692307693,0.2,0.2,,0.6666666666666666,0.07142857142857142,1.0,1.0,1.0,0.14285714285714285,,,0.75,0.38095238095238093,0.4,1.0,,,,,0.5,1.0,,,,,0.10714285714285714,0.4039185185185184,0.4034,0.38395,,,0.1,0.4,15.644444444444446,37.6,0.2919254658385093,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,0.03571428571428571,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,1.0,0.047619047619047616,,True,,,,,,,,,,,,,,,,,
948,1610612757,Marcus Camby,Marcus Camby,948,POR,833.0,14,-12,27,27,7,20,3.0,54,1.0,2.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,3.0,,,,2.0,33,,1.0,,,1.0,2.0,,,,2.0,2.0,,,,,,,,,,,,1.0,,3.0,1.0,4.0,1.0,5.0,,,,,2.0,1.0,2.0,1.0,,3.0,,1.0,,,1.0,,,,,,,,,2.0,,2.0,2.0,1.0,,2.0,7,,,1.0,1.0,,,,,0.3333333333333333,,0.5,0.3333333333333333,,0.5,0.3333333333333333,,0.5,,,,20.0,0.6666666666666666,0.5,0.3,0.14285714285714285,,,0.23076923076923078,0.1111111111111111,,0.25,,,,0.3333333333333333,,1.0,,,,0.5,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,,,,,,,,,,,1.0,,0.5,1.0,,,0.6666666666666666,0.5073333333333333,0.5695,0.47625,,,,1.0,4.333333333333333,,0.25925925925925924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
