EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefShortMidRangeReboundPct,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,AtRimFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,BlockingFouls,Loose Ball Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefAtRimReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffFTReboundPct,OffArc3ReboundPct,SelfORebPct,AtRimPctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChancePointsPct,LongMidRangePctBlocked,PenaltyCorner3FGM,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,HeaveAttempts,Charge Fouls,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,on,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,OffensiveGoaltends,Clear Path Fouls,BlockingFoulsDrawn,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,Corner3PctBlocked,BlockedCorner3
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,3219.0,54,5,101,103,33,47,10,204,2.0,1.0,1.0,1.0,2.0,1.0,4,2.0,4.0,92,1.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,3.0,2.0,3.0,1.0,6,4.0,10,1.0,2.0,1.0,3.0,1.0,7.0,10,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,33,1.0,1.0,0.25,0.25,0.4,0.5,1.0,7.017543859649123,0.3333333333333333,0.16666666666666666,0.0967741935483871,0.09375,0.13333333333333333,0.0625,0.10869565217391304,0.08333333333333333,0.2,0.125,0.05263157894736842,0.2,0.15789473684210525,0.16666666666666666,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.47975,0.5862,0.44689999999999996,0.2,0.2,3.35,0.32673267326732675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,2950.0,49,-3,100,98,24,29,11,198,,,,,,,1,2.0,8.0,105,,,,,7.0,4.0,11.0,2.0,1.0,5.0,26.0,,,1.0,2.0,,3,,3,3.0,1.0,1.0,4.0,,1.0,3,,1.0,2.0,1.0,,,,,24,,,,0.3,0.36363636363636365,,,13.274336283185843,0.75,,0.05405405405405406,,0.1,,0.06382978723404255,,,,,,,0.14285714285714285,,,,,,,,,0.9,0.5424800000000001,0.5313,0.5585,0.09090909090909091,0.5,19.9,0.24,1.0,2.0,9.0,1.0,3.0,2.0,9.0,1.0,3.0,6.0,9.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.9,0.11764705882352941,0.1,0.9,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.2222222222222222,24.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2067,1610612748,Eddie House,Eddie House,2067,MIA,12747.0,212,20,407,411,122,147,37,818,2.0,,,1.0,3.0,13.0,30,10.0,78.0,403,,8.0,18.0,,12.0,3.0,15.0,1.0,,5.0,33.0,,2.0,5.0,9.0,,14,2.0,16,5.0,4.0,,9.0,1.0,12.0,20,,4.0,11.0,1.0,,,,,122,0.6923076923076923,0.6923076923076923,0.43333333333333335,0.5396825396825397,0.5615384615384615,,,16.517857142857142,0.5555555555555556,,0.06666666666666667,0.015873015873015872,0.1,,0.07567567567567568,0.01098901098901099,,0.037037037037037035,0.012345679012345678,,0.0847457627118644,0.1111111111111111,,0.031746031746031744,0.047619047619047616,0.3333333333333333,0.3333333333333333,,,,0.5555555555555556,0.49194206349206354,0.6228,0.4881424999999999,0.046153846153846156,0.03225806451612903,17.319999999999997,0.29975429975429974,25.0,12.0,25.0,1.0,11.0,14.0,33.0,2.0,12.0,39.0,25.0,12.0,2.0,7.0,10.0,5.0,5.0,5.0,1.0,2.0,0.9285714285714286,0.42424242424242425,0.42424242424242425,0.5238095238095238,0.04878048780487805,0.3968253968253968,0.3968253968253968,0.48,0.48,0.9166666666666666,0.5,0.55,0.48,24.857575757575756,1.0,11.0,2.0,8.0,1.0,1.0,6.0,2.0,6.0,7.0,29.0,8.0,3.0,2.0,1.0,1.0,1.0,5.0,2.0,29.0,3.0,0.5,0.25,0.55,0.5909090909090909,0.05714285714285714,0.07142857142857142,0.5,0.5,0.44,0.44,0.8181818181818182,0.12698412698412698,0.25,0.25,1.0,0.5,0.05,0.5454545454545454,0.058823529411764705,0.3717948717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,20696.0,345,53,662,670,252,234,71,1332,19.0,6.0,6.0,5.0,13.0,44.0,86,16.0,104.0,682,12.0,27.0,74.0,3.0,2.0,4.0,6.0,2.0,,2.0,16.0,9.0,19.0,20.0,46.0,11.0,77,29.0,106,3.0,11.0,3.0,14.0,4.0,19.0,39,5.0,28.0,20.0,8.0,3.0,3.0,3.0,3.0,252,0.8409090909090909,0.9024390243902439,0.5116279069767442,0.5116279069767442,0.5416666666666666,0.03488372093023256,0.10526315789473684,14.784946236559138,0.21428571428571427,0.28205128205128205,0.2100456621004566,0.09359605911330049,0.24691358024691357,0.10227272727272728,0.22,0.09621993127147767,0.10869565217391304,0.20408163265306123,0.037037037037037035,0.15384615384615385,0.1839080459770115,0.2711864406779661,1.0,0.22093023255813954,0.1511627906976744,0.38461538461538464,0.4166666666666667,0.6,0.5,0.2222222222222222,0.22093023255813954,0.44055581395348836,0.4917,0.43374444444444443,0.0851063829787234,0.0851063829787234,12.446511627906977,0.3806646525679758,54.0,,,,,,,,,,,,2.0,,7.0,5.0,2.0,,,8.0,,,,,0.29577464788732394,0.627906976744186,,,,,,,,,12.0,27.0,,,,,,19.0,,11.0,49.0,14.0,,2.0,1.0,2.0,,,,49.0,4.0,,0.7037037037037037,0.7037037037037037,0.7205882352941176,0.14754098360655737,0.18181818181818182,0.631578947368421,0.7058823529411765,0.5,0.5,0.9629629629629629,,,,,,,,,0.47115384615384615,3.0,4.0,7.0,7.0,21.0,6.0,1.0,3.0,1.0,1.0,5.0,6.0,6.0,2.0,2.0,2.0,0.5833333333333334,0.5833333333333334,0.65625,0.07692307692307693,0.034482758620689655,0.08064516129032258,0.07692307692307693,0.6666666666666666,0.5,0.6666666666666666,0.20192307692307693,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
711,1610612748,Jerry Stackhouse,Jerry Stackhouse,711,MIA,1561.0,26,-6,53,53,18,28,6,106,1.0,,,,1.0,1.0,6,3.0,8.0,53,1.0,1.0,,2.0,1.0,,1.0,,,1.0,2.0,,1.0,,3.0,1.0,4,1.0,5,2.0,,2.0,2.0,,1.0,1,,2.0,4.0,2.0,2.0,2.0,2.0,1.0,18,,,0.16666666666666666,0.3125,0.4,0.3333333333333333,,20.0,1.0,0.25,0.15,0.05263157894736842,,,0.13043478260869565,0.04,,,0.08333333333333333,,,,0.5,0.125,0.125,,,,,,0.375,0.4534125,0.4758,0.3541,0.2,0.25,12.1,0.33962264150943394,4.0,,1.0,,,1.0,2.0,,,3.0,1.0,,,,,,,,,2.0,1.0,0.5,0.5,0.25,0.2222222222222222,0.5,0.125,,,,,,,24.05,1.0,,1.0,1.0,,,,,,1.0,1.0,2.0,,,,,,,,1.0,,,,,0.25,0.2,,1.0,1.0,,,,0.125,1.0,1.0,1.0,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2306,1610612748,Carlos Arroyo,Carlos Arroyo,2306,MIA,4119.0,69,-4,123,133,41,43,14,256,1.0,,1.0,,1.0,6.0,14,5.0,17.0,144,2.0,1.0,8.0,,5.0,3.0,8.0,1.0,,5.0,19.0,,,2.0,3.0,,5,,5,,1.0,,1.0,,3.0,7,,7.0,7.0,1.0,,,,,41,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.4,0.4473684210526316,,,13.380281690140846,,,0.06976744186046512,,0.15384615384615385,,0.08928571428571429,,,,,,0.06666666666666667,0.2222222222222222,,0.06666666666666667,0.06666666666666667,,,,,0.5,0.13333333333333333,0.4323133333333333,0.45095,0.63525,0.0625,0.06666666666666667,16.385714285714286,0.3333333333333333,12.0,,,,,,1.0,,1.0,,,,2.0,,3.0,3.0,,,,,,,,0.06666666666666667,0.07692307692307693,0.8,,,,,,,,23.4,1.0,5.0,,1.0,,1.0,,1.0,,4.0,6.0,4.0,,,,1.0,,,,6.0,1.0,,1.0,0.5,0.6,0.06666666666666667,,1.0,1.0,0.4166666666666667,0.4166666666666667,0.6,0.06666666666666667,,,,,0.5,,,0.35294117647058826,,1.0,,,,,,,,1.0,,,1.0,3.0,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2592,1610612748,James Jones,James Jones,2592,MIA,15519.0,259,71,493,498,180,168,48,991,,,,,,4.0,10,10.0,78.0,491,1.0,1.0,8.0,,5.0,3.0,8.0,1.0,1.0,3.0,19.0,,,4.0,15.0,2.0,21,1.0,22,2.0,,1.0,2.0,1.0,10.0,20,,11.0,11.0,,3.0,1.0,3.0,3.0,180,1.0,1.0,0.4,0.5483870967741935,0.5757575757575758,,,12.40875912408759,1.0,0.06666666666666667,0.09554140127388536,,0.05970149253731343,,0.08482142857142858,,,,,,0.12307692307692308,0.02127659574468085,1.0,,,,,,,,0.8387096774193549,0.5388467741935483,0.5507500000000001,0.5385,0.015873015873015872,,19.71,0.36511156186612576,10.0,11.0,28.0,4.0,10.0,20.0,52.0,5.0,15.0,60.0,28.0,11.0,2.0,1.0,4.0,3.0,1.0,1.0,,1.0,1.0,0.38461538461538464,0.38461538461538464,0.8387096774193549,0.0851063829787234,0.16129032258064516,0.45161290322580644,0.39285714285714285,0.39285714285714285,1.0,0.6666666666666666,0.625,0.39285714285714285,24.407692307692308,,4.0,9.0,24.0,1.0,5.0,4.0,,5.0,3.0,18.0,,,,1.0,1.0,,2.0,1.0,18.0,5.0,0.3333333333333333,,0.46875,0.5,0.06666666666666667,0.15,,,0.4,0.4,1.0,0.3870967741935484,0.375,0.375,1.0,0.16666666666666666,0.3125,0.4,0.018867924528301886,0.23076923076923078,,,1.0,,2.0,,1.0,,,,1.0,1.0,4.0,3.0,,2.0,1.0,0.16666666666666666,0.16666666666666666,,0.047619047619047616,,,,,,0.02564102564102564,,1.0,1.0,1.0,1.0,0.2,,,,,True,,,,,,,,,,,,,,,,,,,,
2544,1610612748,LeBron James,LeBron James,2544,MIA,13923.0,232,48,453,454,215,166,52,907,32.0,,19.0,9.0,26.0,42.0,93,58.0,160.0,465,4.0,50.0,10.0,3.0,44.0,16.0,60.0,2.0,2.0,31.0,136.0,,4.0,8.0,19.0,4.0,31,4.0,35,14.0,15.0,4.0,29.0,1.0,2.0,13,2.0,42.0,77.0,24.0,2.0,2.0,2.0,1.0,215,0.11904761904761904,0.11904761904761904,0.45161290322580644,0.4434782608695652,0.52,0.03225806451612903,0.0625,35.0293542074364,0.4827586206896552,0.14814814814814814,0.12751677852348994,0.029850746268656716,0.14814814814814814,,0.1330049261083744,0.020618556701030927,0.029411764705882353,0.03125,0.029411764705882353,,0.16393442622950818,0.13953488372093023,0.5,0.2782608695652174,0.22608695652173913,0.34615384615384615,0.36,0.1111111111111111,,0.31666666666666665,0.46956521739130436,0.4760008771929824,0.44047499999999995,0.4734728813559322,0.17647058823529413,0.21052631578947367,10.431182795698925,0.4746136865342163,35.0,6.0,21.0,1.0,9.0,6.0,22.0,1.0,10.0,12.0,20.0,6.0,14.0,11.0,11.0,7.0,4.0,10.0,1.0,10.0,0.6666666666666666,0.2727272727272727,0.2857142857142857,0.19130434782608696,0.10204081632653061,0.30434782608695654,0.1826086956521739,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.2,0.15,0.3,25.877272727272725,21.0,12.0,,1.0,,1.0,3.0,25.0,3.0,42.0,101.0,74.0,6.0,3.0,,,,4.0,,101.0,3.0,0.3,0.5,0.49166666666666664,0.5697674418604651,0.10256410256410256,0.18181818181818182,0.65625,0.7,0.34285714285714286,0.34285714285714286,0.08333333333333333,0.008695652173913044,,,,,0.016666666666666666,0.3333333333333333,,0.63125,,11.0,,3.0,3.0,,,2.0,4.0,1.0,,,1.0,14.0,,13.0,,,0.16666666666666666,0.038461538461538464,,,0.031746031746031744,0.14285714285714285,,0.5789473684210527,0.01875,,,,,,,1.0,4.0,3.0,,True,,,,,,,,,,,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,11275.0,188,29,357,365,156,123,45,722,47.0,5.0,18.0,5.0,16.0,39.0,74,47.0,143.0,389,9.0,26.0,18.0,4.0,8.0,5.0,13.0,4.0,1.0,4.0,31.0,3.0,6.0,3.0,16.0,1.0,20,9.0,29,7.0,11.0,1.0,18.0,2.0,6.0,20,1.0,39.0,63.0,27.0,6.0,1.0,6.0,3.0,156,0.23076923076923078,0.24324324324324326,0.527027027027027,0.5052631578947369,0.5867768595041323,0.05405405405405406,0.06382978723404255,33.90243902439025,0.3888888888888889,0.0625,0.13793103448275862,0.05309734513274336,0.06521739130434782,0.0625,0.11728395061728394,0.055900621118012424,0.11764705882352941,0.03333333333333333,0.02040816326530612,,0.24444444444444444,0.09090909090909091,0.5,0.49473684210526314,0.16842105263157894,0.3125,0.3333333333333333,,0.5555555555555556,0.5454545454545454,0.7157894736842105,0.5279728723404256,0.5146499999999999,0.518553125,0.25,0.2903225806451613,5.706756756756756,0.4369747899159664,11.0,2.0,14.0,,7.0,6.0,21.0,,7.0,15.0,14.0,2.0,1.0,3.0,8.0,6.0,2.0,6.0,,5.0,0.8333333333333334,0.2857142857142857,0.2857142857142857,0.22105263157894736,0.08108108108108109,0.11578947368421053,0.14736842105263157,0.14285714285714285,0.14285714285714285,1.0,,0.21212121212121213,0.14285714285714285,25.138095238095236,31.0,3.0,4.0,7.0,,,1.0,17.0,1.0,23.0,60.0,60.0,3.0,2.0,,,,1.0,2.0,60.0,4.0,0.14285714285714285,0.6538461538461539,0.5606060606060606,0.6413043478260869,0.058823529411764705,,0.6595744680851063,0.7045454545454546,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.07368421052631578,0.5714285714285714,0.5714285714285714,0.75,,,0.14285714285714285,0.08695652173913043,0.4195804195804196,2.0,15.0,3.0,9.0,15.0,4.0,,1.0,2.0,1.0,1.0,,1.0,5.0,,5.0,0.3333333333333333,0.3333333333333333,0.5357142857142857,0.0625,,0.0967741935483871,0.022222222222222223,0.25806451612903225,0.4,0.8333333333333334,0.1048951048951049,,,1.0,4.0,,,,4.0,8.0,,True,,,,,,,,,,,,,,,,,,,,
2048,1610612748,Jamaal Magloire,Jamaal Magloire,2048,MIA,927.0,15,-10,31,29,13,17,5,60,2.0,,1.0,,,,2,3.0,3.0,31,,1.0,,,,,,,,,,,3.0,,,3.0,3,3.0,6,,,,,,3.0,3,,3.0,6.0,3.0,,,,,13,,,,,0.3,,,13.88888888888889,,0.75,,0.2,,,,0.15789473684210525,,0.25,0.2222222222222222,,,,,1.0,,,,,,1.0,1.0,0.42295,,0.4261,0.6,0.6,3.6,0.41935483870967744,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,0.5,,,,,,,,0.6666666666666666,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
