EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,Clear Path Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,LongMidRangePctBlocked,OffensiveGoaltends,HeaveMakes,3pt And 1 Free Throw Trips,BlockedCorner3,FTOffRebounds,OffFTReboundPct,on
101133,1610612742,Ian Mahinmi,Ian Mahinmi,101133,DAL,583.0,10,-3,18,21,11,14.0,3,39,2.0,2.0,2.0,2.0,3.0,2.0,5.0,4,26,2.0,4.0,4.0,4.0,1.0,1,1,1.0,1.0,1.0,1.0,2.0,2.0,4.0,11,1.0,1.0,0.4,0.5,0.4,0.5,0.4,0.5,28.571428571428573,1.0,0.14285714285714285,0.09090909090909091,0.3333333333333333,0.4,1.0,1.0,1.0,0.6,0.5,1.0,0.4,0.491,0.510925,1.0,11.44,0.6111111111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,62641.0,1044,75,1984,1994,568,476.0,221,3978,115.0,161.0,34.0,48.0,37.0,211.0,387.0,467,2080,62.0,105.0,142.0,294.0,111.0,175,240,34.0,14.0,66.0,14.0,29.0,66.0,141.0,554,0.6966824644549763,0.7577319587628866,0.5452196382428941,0.5904761904761905,0.5339195979899497,0.5772727272727273,0.548235294117647,0.5819672131147541,21.94903889137237,0.5151515151515151,0.15373961218836565,0.1584754262788365,0.17100371747211895,0.4045226130653266,0.7142857142857143,0.7666666666666667,0.7913043478260869,0.09296482412060302,0.43636363636363634,0.7083333333333334,0.4321608040201005,0.5126745591939547,0.5191669724770642,0.30406852248394006,6.189922480620156,0.2862903225806452,17.0,27.0,84.0,189.0,12.0,1.0,5.0,1.0,3.0,6.0,2.0,1.0,11.0,42.0,25.0,42.0,50.0,1.0,5.0,15.0,128.0,3.0,34.0,1.0,5.0,19.0,37.0,20.0,57.0,11.0,9.0,18.0,4.0,15.0,134.0,15.0,50.0,47.0,17.0,65.0,14.0,25.0,19.0,6.0,13.0,20.0,32.0,5.0,1.0,4.0,5.0,1.0,6.0,3.0,2.0,43.0,5.0,1.0,61.0,6.0,1.0,22.0,11.0,21.0,2.0,2.0,8.0,3.0,10.0,23.0,15.0,1.0,1.0,3.0,10.0,9.0,1.0,0.09090909090909091,0.2,0.1,0.5952380952380952,0.5952380952380952,0.5813953488372093,0.02763819095477387,0.04909560723514212,0.06832298136645963,0.042328042328042326,0.3090909090909091,0.07961783439490445,0.1709090909090909,0.05791505791505792,0.07328072153325817,0.1038961038961039,0.08733624454148471,0.05714285714285714,0.042328042328042326,0.1,0.12682926829268293,0.15725806451612903,0.17194570135746606,0.16666666666666666,0.08484848484848485,0.6521739130434783,0.4748743718592965,0.4444444444444444,0.46408839779005523,0.5238095238095238,0.32432432432432434,0.32432432432432434,1.0,0.01256281407035176,0.2,0.2,1.0,0.01507537688442211,0.6428571428571429,0.6296296296296297,0.17647058823529413,0.02727272727272727,0.3333333333333333,0.01818181818181818,0.553781818181818,0.05314009661835749,0.05459057071960298,0.10706638115631692,26.954545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,65510.0,1092,203,2104,2076,802,742.0,226,4180,35.0,52.0,16.0,23.0,177.0,158.0,318.0,561,2196,54.0,122.0,223.0,156.0,28.0,53,59,47.0,11.0,70.0,24.0,27.0,58.0,210.0,778,0.4936708860759494,0.4936708860759494,0.4968553459119497,0.4426229508196721,0.5196936542669585,0.5,0.5587649402390438,0.5603015075376885,24.186046511627907,0.6714285714285714,0.038303693570451436,0.05048543689320388,0.04529616724738676,0.1137855579868709,0.6730769230769231,0.7608695652173914,0.5714285714285714,0.387308533916849,0.13450292397660818,0.6956521739130435,0.4179431072210066,0.47801870897155363,0.4761356725146199,0.39750445632798576,12.985849056603774,0.3811787072243346,,,38.0,89.0,85.0,20.0,52.0,11.0,24.0,87.0,25.0,53.0,139.0,86.0,9.0,21.0,41.0,21.0,49.0,52.0,160.0,138.0,,,87.0,13.0,103.0,40.0,143.0,26.0,14.0,64.0,14.0,25.0,326.0,,6.0,24.0,1.0,6.0,3.0,37.0,25.0,12.0,10.0,36.0,23.0,3.0,2.0,2.0,5.0,,1.0,1.0,2.0,77.0,1.0,,101.0,8.0,2.0,29.0,23.0,2.0,,,,,2.0,2.0,1.0,,,2.0,5.0,16.0,0.8679245283018868,0.381294964028777,0.42857142857142855,0.381294964028777,0.42857142857142855,0.527027027027027,0.5394736842105263,0.3041575492341357,0.040880503144654086,0.11538461538461539,0.07865168539325842,0.014705882352941176,0.00967741935483871,0.0802675585284281,,0.006718924972004479,,0.004830917874396135,0.01838235294117647,,,0.04672897196261682,0.021739130434782608,0.07391304347826087,0.10144927536231885,0.013215859030837005,0.5,0.19474835886214442,0.42696629213483145,0.4634146341463415,0.34210526315789475,0.480225988700565,0.480225988700565,0.5294117647058824,0.1137855579868709,0.38461538461538464,0.39215686274509803,1.0,0.19037199124726478,,,,0.14035087719298245,0.4583333333333333,0.14619883040935672,0.46561290322580656,0.06263048016701461,0.0855457227138643,0.07308377896613191,24.394964028776972,3.0,5.0,33.0,4.0,11.0,10.0,7.0,16.0,2.0,21.0,33.0,3.0,1.0,1.0,1.0,0.4375,0.02158273381294964,0.019230769230769232,0.022988505747126436,0.3793103448275862,0.38823529411764707,0.7878787878787878,0.13513513513513514,0.6,1.0,0.2972972972972973,0.36363636363636365,0.75,0.4,0.3793103448275862,0.007142857142857143,,,,,,,,,True
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,25853.0,431,37,810,822,261,204.0,88,1632,31.0,56.0,6.0,12.0,30.0,58.0,133.0,204,843,14.0,36.0,55.0,20.0,14.0,25,35,26.0,9.0,36.0,7.0,11.0,37.0,53.0,250,0.1724137931034483,0.1724137931034483,0.43609022556390975,0.3888888888888889,0.47714285714285715,0.38461538461538464,0.5230769230769231,0.4435483870967742,25.328947368421055,0.7222222222222222,0.047619047619047616,0.056074766355140186,0.03418803418803419,0.32,0.5535714285714286,0.6078431372549019,0.12903225806451613,0.17142857142857143,0.23076923076923078,0.5,0.56,0.4986074712643677,0.47978725490196067,0.2696078431372549,7.440601503759399,0.32222222222222224,,,16.0,47.0,11.0,2.0,5.0,1.0,2.0,37.0,14.0,17.0,42.0,37.0,4.0,7.0,16.0,4.0,16.0,15.0,96.0,27.0,,,37.0,13.0,47.0,17.0,64.0,12.0,5.0,34.0,6.0,7.0,145.0,2.0,8.0,10.0,1.0,10.0,1.0,7.0,5.0,2.0,4.0,17.0,10.0,2.0,,,1.0,1.0,1.0,1.0,3.0,47.0,1.0,1.0,47.0,7.0,,21.0,6.0,,,,,,,,,,,,4.0,4.0,0.5294117647058824,0.40476190476190477,0.25,0.40476190476190477,0.5714285714285714,0.6875,0.7272727272727273,0.24,0.09774436090225563,0.08928571428571429,0.1276595744680851,0.045454545454545456,0.03225806451612903,0.07462686567164178,0.017857142857142856,0.027777777777777776,0.04411764705882353,0.02247191011235955,0.03296703296703297,0.02666666666666667,,0.05263157894736842,0.0594059405940594,0.057692307692307696,0.13333333333333333,0.011764705882352941,,0.26857142857142857,0.3404255319148936,0.3902439024390244,0.0625,0.36666666666666664,0.39285714285714285,0.45454545454545453,0.02857142857142857,0.4,0.4,1.0,0.21142857142857144,,,,0.038461538461538464,0.5,0.2692307692307692,0.43525625,0.1111111111111111,0.14285714285714285,0.0784313725490196,25.111904761904764,,,15.0,1.0,1.0,3.0,1.0,1.0,5.0,24.0,15.0,,,8.0,,1.0,,,,0.40540540540540543,0.40540540540540543,0.4666666666666667,,,,0.125,1.0,,0.21428571428571427,0.40540540540540543,,1.0,0.06666666666666667,,,,,,,True
2199,1610612742,Tyson Chandler,Tyson Chandler,2199,DAL,123521.0,2059,295,3931,3935,958,834.0,391,7866,224.0,310.0,36.0,65.0,44.0,266.0,407.0,748,4073,39.0,77.0,157.0,396.0,336.0,486,692,30.0,17.0,88.0,19.0,126.0,240.0,157.0,934,0.7443609022556391,0.908256880733945,0.6535626535626535,0.5064935064935064,0.6535626535626535,0.5064935064935064,0.6887661141804788,0.5814814814814815,14.344449520328917,0.3409090909090909,0.23300970873786409,0.23459958932238192,0.25044091710758376,0.7616707616707616,0.7225806451612903,0.7724137931034483,0.7455357142857143,0.10810810810810811,0.8441558441558441,0.5538461538461539,0.7616707616707616,0.5875307125307124,0.5929194805194806,0.20989304812834225,3.7535626535626516,0.24370389213940474,63.0,94.0,21.0,53.0,21.0,,,,,,,,,216.0,68.0,103.0,198.0,,,79.0,136.0,,96.0,,,25.0,22.0,10.0,32.0,10.0,,7.0,3.0,12.0,74.0,61.0,145.0,121.0,29.0,206.0,18.0,36.0,24.0,12.0,3.0,13.0,58.0,2.0,1.0,2.0,10.0,7.0,6.0,28.0,26.0,257.0,43.0,6.0,295.0,26.0,,120.0,42.0,79.0,1.0,1.0,48.0,,31.0,80.0,47.0,,13.0,11.0,13.0,37.0,,,,,0.6601941747572816,0.6601941747572816,0.6644295302013423,,0.06142506142506143,0.06451612903225806,0.09433962264150944,0.29,0.12414383561643835,0.2391304347826087,0.10912343470483005,0.11928199189345687,0.17123287671232876,0.14814814814814814,0.0783132530120482,0.1096938775510204,0.10778443113772455,0.19801980198019803,0.24203821656050956,0.2372448979591837,0.24561403508771928,0.1592920353982301,0.5875,0.13022113022113022,0.39622641509433965,0.4375,0.6190476190476191,0.4772727272727273,0.4772727272727273,0.8571428571428571,,,,,,0.912621359223301,0.6702127659574468,0.20634920634920634,,,,0.6131246913580248,0.23952095808383234,0.23952095808383234,0.2647058823529412,,,,,,,,,,62.0,,,,,9.0,,,,,,,,,,,,,,,,,,8.0,,2.0,,,,,,True
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,114836.0,1914,298,3659,3665,895,782.0,357,7324,27.0,46.0,5.0,6.0,78.0,67.0,159.0,461,3784,8.0,24.0,101.0,46.0,175.0,231,257,86.0,11.0,126.0,32.0,60.0,96.0,94.0,874,0.34328358208955223,0.359375,0.42138364779874216,0.3333333333333333,0.49063231850117095,0.4605263157894737,0.5089086859688196,0.543010752688172,14.120541205412055,0.6825396825396826,0.1298219584569733,0.12513842746400886,0.14606741573033707,0.10772833723653395,0.5869565217391305,0.627906976744186,0.2962962962962963,0.18266978922716628,0.07894736842105263,0.8333333333333334,0.7353629976580797,0.5338049411764706,0.4957331081081081,0.21908893709327548,12.142767295597485,0.24460235036895325,3.0,5.0,11.0,35.0,29.0,17.0,48.0,5.0,12.0,220.0,40.0,95.0,268.0,42.0,4.0,11.0,43.0,18.0,52.0,31.0,88.0,258.0,6.0,1.0,218.0,9.0,371.0,124.0,495.0,75.0,49.0,169.0,56.0,146.0,1114.0,8.0,18.0,51.0,5.0,26.0,7.0,99.0,62.0,37.0,32.0,75.0,40.0,5.0,1.0,1.0,2.0,1.0,,2.0,,51.0,4.0,,49.0,1.0,4.0,6.0,17.0,22.0,,,10.0,1.0,11.0,22.0,12.0,1.0,,1.0,8.0,10.0,0.9052631578947369,0.35447761194029853,0.34615384615384615,0.352059925093633,0.36363636363636365,0.6029411764705882,0.6142857142857143,0.6276346604215457,0.05660377358490566,0.06521739130434782,0.08571428571428572,0.052083333333333336,0.016697588126159554,0.11135371179039301,0.015065913370998116,0.016159105034182723,0.026217228464419477,0.0028735632183908046,0.02159827213822894,0.016042780748663103,0.012738853503184714,0.12368421052631579,0.1152073732718894,0.10955056179775281,0.11764705882352941,0.027777777777777776,0.5454545454545454,0.08196721311475409,0.3142857142857143,0.34375,0.18181818181818182,0.3717948717948718,0.38666666666666666,0.4482758620689655,0.11241217798594848,0.3541666666666667,0.3541666666666667,0.9411764705882353,0.5152224824355972,0.14705882352941177,0.6,,0.15789473684210525,0.4166666666666667,0.5263157894736842,0.5673020000000001,0.013888888888888888,0.036585365853658534,0.09327548806941431,24.852985074626865,1.0,2.0,78.0,10.0,21.0,13.0,11.0,23.0,2.0,27.0,77.0,1.0,1.0,6.0,,0.4782608695652174,0.0037313432835820895,,0.004545454545454545,0.35454545454545455,0.3561643835616438,0.8974358974358975,0.058823529411764705,0.5,1.0,0.6176470588235294,0.47619047619047616,1.0,0.325,0.3532110091743119,,2.0,0.038461538461538464,,1.0,,,,,True
2052,1610612742,DeShawn Stevenson,DeShawn Stevenson,2052,DAL,49378.0,823,103,1544,1563,175,152.0,141,3107,7.0,22.0,2.0,3.0,29.0,22.0,55.0,297,1621,3.0,4.0,41.0,12.0,30.0,57,67,13.0,4.0,25.0,2.0,13.0,46.0,41.0,174,0.2727272727272727,0.2727272727272727,0.4,0.75,0.5899122807017544,0.5689655172413793,0.6086065573770492,0.6212121212121212,15.767878077373975,0.52,0.049099836333878884,0.06290115532734275,0.0635593220338983,0.09649122807017543,0.3181818181818182,0.35,0.2857142857142857,0.12719298245614036,0.10344827586206896,0.6666666666666666,0.8552631578947368,0.5609839207048457,0.5525155172413794,0.13804713804713806,11.134545454545455,0.1133419689119171,,2.0,1.0,4.0,14.0,38.0,79.0,4.0,9.0,94.0,16.0,75.0,173.0,28.0,,4.0,24.0,9.0,25.0,8.0,32.0,225.0,,,94.0,6.0,45.0,22.0,67.0,13.0,9.0,21.0,4.0,20.0,156.0,2.0,8.0,19.0,8.0,10.0,1.0,15.0,11.0,4.0,3.0,9.0,12.0,1.0,,1.0,,,3.0,1.0,4.0,44.0,1.0,2.0,37.0,1.0,,12.0,2.0,4.0,,,3.0,,1.0,4.0,2.0,,,,2.0,2.0,1.0,0.43352601156069365,0.36,0.43352601156069365,,0.47368421052631576,0.5714285714285714,0.7587719298245614,0.10909090909090909,0.09090909090909091,0.25,0.25,0.018306636155606407,0.1130952380952381,0.007722007722007722,0.014367816091954023,0.02586206896551724,0.022058823529411766,0.010810810810810811,0.005681818181818182,0.012048192771084338,0.04142011834319527,0.038834951456310676,0.13076923076923078,0.05263157894736842,0.008264462809917356,0.5,0.017543859649122806,0.25,0.3333333333333333,,0.4827586206896552,0.5384615384615384,0.2857142857142857,0.34649122807017546,0.4810126582278481,0.4935064935064935,1.0,0.41228070175438597,0.10526315789473684,,,0.3103448275862069,0.4444444444444444,0.5517241379310345,0.5631166666666666,0.06611570247933884,0.18181818181818182,0.08080808080808081,24.284393063583813,4.0,9.0,37.0,2.0,6.0,5.0,6.0,15.0,6.0,,37.0,2.0,,11.0,4.0,0.4,0.011560693641618497,0.02531645569620253,,0.39361702127659576,0.39361702127659576,1.0,0.47368421052631576,0.4444444444444444,1.0,0.3157894736842105,0.3333333333333333,1.0,0.3125,0.39361702127659576,0.022727272727272728,2.0,0.10344827586206896,,,1.0,,,,True
201958,1610612742,Rodrigue Beaubois,Rodrigue Beaubois,201958,DAL,17373.0,290,-20,570,570,54,39.0,62,1140,30.0,42.0,5.0,6.0,18.0,40.0,80.0,132,590,8.0,12.0,22.0,34.0,22.0,28,32,15.0,7.0,30.0,5.0,19.0,46.0,22.0,51,0.425,0.425,0.5,0.6666666666666666,0.4734848484848485,0.6111111111111112,0.4852941176470588,0.6111111111111112,25.77639751552795,0.5,0.11458333333333333,0.10810810810810811,0.14285714285714285,0.3181818181818182,0.7142857142857143,0.8333333333333334,0.5333333333333333,0.13636363636363635,0.3333333333333333,0.8333333333333334,0.7121212121212122,0.5524481060606062,0.5290305555555554,0.16666666666666666,7.263750000000002,0.09473684210526316,2.0,5.0,5.0,20.0,5.0,6.0,10.0,1.0,2.0,42.0,4.0,15.0,52.0,7.0,3.0,8.0,6.0,2.0,6.0,,46.0,36.0,,,42.0,9.0,24.0,12.0,36.0,9.0,3.0,9.0,3.0,12.0,84.0,2.0,2.0,6.0,,4.0,,10.0,2.0,8.0,3.0,8.0,15.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,17.0,,,10.0,2.0,,6.0,,6.0,1.0,,4.0,,2.0,7.0,3.0,,,,2.0,,0.8,0.28846153846153844,0.3333333333333333,0.28846153846153844,0.375,0.2727272727272727,0.2727272727272727,0.3939393939393939,0.1125,0.14285714285714285,0.15,,0.011428571428571429,0.08955223880597014,0.02040816326530612,0.014652014652014652,0.019230769230769232,0.017857142857142856,,0.0125,0.05555555555555555,0.1,0.09230769230769231,0.07407407407407407,0.15384615384615385,,0.42857142857142855,0.15151515151515152,0.25,0.29411764705882354,,0.2777777777777778,0.2777777777777778,0.2,0.07575757575757576,0.6,0.6,1.0,0.3181818181818182,0.45454545454545453,0.4,1.0,0.1111111111111111,0.5,0.2222222222222222,0.5005416666666668,0.04411764705882353,0.07142857142857142,0.045454545454545456,24.73846153846154,,,9.0,,3.0,1.0,,3.0,,9.0,9.0,,,2.0,,,,,,0.21428571428571427,0.21428571428571427,0.6666666666666666,,,,0.2727272727272727,,,0.25,0.21428571428571427,,,,,,,1.0,,,True
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,83413.0,1390,317,2669,2654,569,549.0,244,5323,76.0,117.0,15.0,24.0,321.0,320.0,592.0,963,2705,55.0,114.0,231.0,386.0,177.0,256,284,55.0,30.0,80.0,13.0,58.0,89.0,216.0,548,0.603125,0.6205787781350482,0.5405405405405406,0.4824561403508772,0.535036496350365,0.44074074074074077,0.5949367088607594,0.5833333333333334,29.45159106296547,0.6875,0.17647058823529413,0.17251680358476476,0.15346534653465346,0.1708029197080292,0.6495726495726496,0.7102803738317757,0.5131578947368421,0.4686131386861314,0.17777777777777778,0.625,0.30656934306569344,0.4609609649122808,0.43578768656716416,0.2398753894080997,12.48327702702703,0.21318846009741477,8.0,16.0,73.0,154.0,171.0,8.0,20.0,1.0,4.0,73.0,17.0,31.0,93.0,230.0,22.0,56.0,78.0,3.0,21.0,112.0,254.0,87.0,18.0,1.0,72.0,19.0,73.0,40.0,113.0,27.0,13.0,33.0,9.0,31.0,266.0,9.0,18.0,54.0,25.0,28.0,8.0,18.0,9.0,9.0,7.0,25.0,25.0,4.0,1.0,8.0,4.0,,1.0,4.0,3.0,194.0,11.0,1.0,254.0,16.0,26.0,83.0,37.0,27.0,,,13.0,,14.0,27.0,16.0,1.0,,3.0,7.0,28.0,0.9354838709677419,0.3333333333333333,0.14285714285714285,0.33695652173913043,0.39285714285714285,0.44029850746268656,0.506578947368421,0.13576642335766423,0.03209459459459459,0.08547008547008547,0.045454545454545456,0.3787878787878788,0.02356020942408377,0.16071428571428573,0.023746701846965697,0.023622047244094488,0.03571428571428571,0.026785714285714284,0.014534883720930232,0.018315018315018316,0.03773584905660377,0.17301038062283736,0.20967741935483872,0.1576923076923077,0.17105263157894737,0.025559105431309903,0.5925925925925926,0.22481751824817517,0.474025974025974,0.4965986394557823,0.3013698630136986,0.5327102803738317,0.5360501567398119,0.7719298245614035,0.029197080291970802,0.4,0.4,1.0,0.10656934306569343,0.23880597014925373,0.5,0.125,0.02962962962962963,0.25,0.1259259259259259,0.4793930000000001,0.11288180610889774,0.125948406676783,0.08099688473520249,24.88279569892473,,,23.0,5.0,11.0,2.0,5.0,11.0,19.0,6.0,23.0,,,3.0,2.0,0.45454545454545453,,,,0.3150684931506849,0.3150684931506849,0.9130434782608695,,,,0.16417910447761194,0.45454545454545453,0.6,0.11764705882352941,0.3194444444444444,0.02127659574468085,,0.006230529595015576,,,1.0,,1.0,0.0196078431372549,True
201147,1610612742,Corey Brewer,Corey Brewer,201147,DAL,2238.0,37,-2,72,73,4,,10,145,3.0,8.0,,,3.0,4.0,11.0,12,79,,,,4.0,,1,5,1.0,,4.0,,4.0,7.0,,4,0.5,0.5,0.36363636363636365,,0.3076923076923077,,0.375,,23.529411764705884,0.25,,0.029411764705882353,,0.6153846153846154,0.375,0.42857142857142855,0.6666666666666666,0.23076923076923078,,,0.7692307692307693,0.636723076923077,,,6.0636363636363635,0.05555555555555555,,2.0,,,1.0,,1.0,,,1.0,,,2.0,4.0,,2.0,2.0,,,,4.0,,,,1.0,1.0,3.0,1.0,4.0,1.0,,2.0,1.0,,9.0,1.0,3.0,1.0,,4.0,1.0,1.0,,1.0,,1.0,3.0,,,1.0,,,1.0,,1.0,4.0,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.15384615384615385,0.09090909090909091,0.125,,,0.1111111111111111,0.07692307692307693,0.14285714285714285,0.11764705882352941,0.3,,,0.2,,,,0.09090909090909091,,0.125,,,,,,0.3333333333333333,0.3333333333333333,,0.07692307692307693,,,,0.07692307692307693,1.0,,,,,,0.73265,0.1875,0.21428571428571427,0.16666666666666666,23.25,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True
