EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGA,FTDefRebounds,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,DefFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,FTOffRebounds,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,HeaveMakes,Arc3PctBlocked
101114,1610612762,Deron Williams,Deron Williams,101114,UTA,100957.0,1683,-88,3206,3206,883,954,372,6412,113.0,190.0,6.0,12.0,39.0,66.0,46.0,115.0,67,149,7.0,21.0,3.0,7.0,60.0,177.0,6.0,15.0,13.0,51.0,226,454,67.0,198.0,245.0,898,3593,14.0,29.0,6.0,15.0,22.0,68.0,60.0,137.0,16.0,58.0,112.0,280.0,158.0,294.0,126.0,75.0,6.0,1.0,176.0,60.0,42.0,377.0,65.0,442.0,46.0,19.0,195.0,55.0,127.0,949.0,3.0,24.0,41.0,102.0,143.0,27.0,170.0,9.0,58.0,40.0,18.0,101.0,27.0,71.0,55.0,1.0,30.0,2.0,156.0,9.0,42.0,49.0,2.0,132.0,10.0,2.0,1.0,5.0,235.0,9.0,4.0,16.0,3.0,277.0,24.0,1.0,17.0,98.0,5.0,38.0,12.0,4.0,8.0,12.0,7.0,2.0,276.0,878,24.0,33.0,0.3495575221238938,0.3542600896860987,0.6268656716417911,0.3383838383838384,0.4,0.27586206896551724,0.3401015228426396,0.4977973568281938,0.4827586206896552,0.43795620437956206,0.5007668711656442,0.5227272727272727,0.4307692307692308,0.57421875,0.6018518518518519,0.5454545454545454,0.30368098159509205,0.09251101321585903,0.12631578947368421,0.13043478260869565,0.020134228187919462,25.426997245179066,0.6474358974358975,0.09659090909090909,0.021220159151193633,0.09647058823529411,0.008746355685131196,0.09655638082376772,0.018317503392130258,0.025936599423631124,0.01092896174863388,0.02631578947368421,0.01107011070110701,0.06853582554517133,0.10541310541310542,0.11197916666666667,0.1064516129032258,0.06956521739130435,0.02922077922077922,0.5833333333333334,0.29141104294478526,0.5947368421052631,0.6807228915662651,0.30973451327433627,0.17638036809815952,0.4,0.46,0.17391304347826086,0.2285276073619632,0.44966442953020136,0.4589041095890411,0.5373134328358209,0.032208588957055216,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.2714723926380368,0.3389830508474576,0.3389830508474576,0.6,0.2727272727272727,0.5,0.3409090909090909,0.4,0.6666666666666666,0.3384615384615385,0.5909090909090909,0.035897435897435895,0.42857142857142855,0.26153846153846155,0.2549019607843137,0.5950920245398773,0.3409090909090909,0.5084464615384615,0.46988333333333326,0.4976224226804124,0.1410958904109589,0.1856060606060606,0.024752475247524754,0.0757238307349666,0.311804008908686,8.959911894273127,24.917171717171716,0.2754210854647536,,,,,,,,,,,,,,,,,,,,,,,True,,
101139,1610612762,CJ Miles,CJ Miles,101139,UTA,73422.0,1224,6,2325,2314,667,795,312,4639,81.0,124.0,8.0,12.0,19.0,32.0,26.0,88.0,35,87,10.0,31.0,4.0,11.0,51.0,159.0,3.0,10.0,13.0,41.0,142,299,61.0,190.0,96.0,563,2526,14.0,29.0,3.0,15.0,11.0,48.0,32.0,73.0,17.0,52.0,27.0,142.0,166.0,118.0,174.0,9.0,8.0,1.0,158.0,51.0,23.0,70.0,18.0,88.0,13.0,5.0,37.0,10.0,23.0,194.0,6.0,22.0,35.0,83.0,128.0,28.0,156.0,5.0,38.0,20.0,18.0,36.0,7.0,25.0,20.0,1.0,11.0,3.0,56.0,2.0,19.0,77.0,2.0,136.0,3.0,1.0,2.0,3.0,98.0,3.0,4.0,7.0,1.0,115.0,11.0,,12.0,52.0,,5.0,18.0,11.0,7.0,20.0,9.0,,142.0,663,19.0,3.0,0.5845070422535211,0.6014492753623188,0.9508196721311475,0.32105263157894737,0.2,0.3269230769230769,0.32275132275132273,0.47491638795986624,0.4827586206896552,0.4383561643835616,0.4775051124744376,0.42045454545454547,0.46,0.516822429906542,0.47,0.5108695652173914,0.3885480572597137,0.07692307692307693,0.10483870967741936,0.10227272727272728,0.011494252873563218,22.011173184357542,0.6428571428571429,0.1084967320261438,0.026410564225690276,0.11904761904761904,0.021897810218978103,0.11142587346553352,0.025293586269196026,0.027450980392156862,0.041811846689895474,0.010309278350515464,0.02666666666666667,0.07234042553191489,0.1070110701107011,0.14285714285714285,0.107981220657277,0.14814814814814814,0.0196078431372549,0.45,0.25357873210633947,0.6532258064516129,0.7297297297297297,0.6049382716049383,0.17995910020449898,0.29545454545454547,0.3291139240506329,0.38461538461538464,0.17791411042944785,0.40229885057471265,0.4069767441860465,0.6857142857142857,0.06339468302658487,0.3225806451612903,0.3225806451612903,1.0,0.32515337423312884,0.32075471698113206,0.32075471698113206,0.9411764705882353,0.2727272727272727,0.6666666666666666,0.22727272727272727,0.3,1.0,0.256,0.59375,0.088,0.36363636363636365,0.328,0.3170731707317073,0.6421267893660532,0.3227848101265823,0.5131781314168378,0.5251026315789474,0.5063274193548388,0.09811320754716982,0.15294117647058825,,0.0852575488454707,0.2522202486678508,8.793311036789298,25.0942105263158,0.2868817204301075,5.0,10.0,2.0,2.0,2.0,0.136986301369863,0.25,0.11363636363636363,,,,,,,,,,,,,,,True,,
101179,1610612762,Ronnie Price,Ronnie Price,101179,UTA,17442.0,291,-27,533,538,125,177,73,1071,13.0,28.0,2.0,5.0,5.0,7.0,1.0,6.0,6,24,2.0,9.0,,3.0,5.0,21.0,1.0,2.0,,4.0,20,58,7.0,30.0,8.0,69,592,2.0,7.0,1.0,2.0,2.0,9.0,7.0,13.0,,7.0,2.0,16.0,18.0,22.0,21.0,,2.0,1.0,20.0,5.0,6.0,20.0,6.0,26.0,4.0,2.0,11.0,5.0,4.0,58.0,2.0,8.0,7.0,7.0,14.0,10.0,24.0,2.0,14.0,9.0,5.0,10.0,4.0,9.0,12.0,2.0,1.0,1.0,22.0,2.0,4.0,18.0,1.0,43.0,1.0,,1.0,1.0,25.0,5.0,2.0,4.0,1.0,12.0,,,,6.0,,,3.0,3.0,,3.0,1.0,,16.0,125,5.0,,0.45,0.47368421052631576,1.0,0.23333333333333334,0.5,,0.2413793103448276,0.3448275862068966,0.2857142857142857,0.5384615384615384,0.3465909090909091,0.3888888888888889,0.35,0.3670212765957447,0.45,0.38095238095238093,0.3409090909090909,0.10344827586206896,0.17857142857142858,,0.041666666666666664,18.83116883116883,0.45454545454545453,0.041666666666666664,0.042328042328042326,0.09333333333333334,0.03389830508474576,0.05761316872427984,0.04032258064516129,0.07407407407407407,0.015384615384615385,0.04285714285714286,0.043478260869565216,,0.05555555555555555,0.07692307692307693,0.08,0.12,0.04081632653061224,0.3333333333333333,0.3181818181818182,0.4642857142857143,0.5652173913043478,0.5384615384615384,0.06818181818181818,0.16666666666666666,0.16666666666666666,,0.2727272727272727,0.25,0.2608695652173913,0.3333333333333333,0.10227272727272728,0.2222222222222222,0.25,1.0,0.23863636363636365,0.23809523809523808,0.23809523809523808,1.0,0.5555555555555556,0.4,0.2222222222222222,0.5,1.0,0.35,0.7142857142857143,0.15,,0.2,,0.6590909090909091,0.25,0.5283327586206896,0.5807875,0.5277324999999999,0.06382978723404255,0.09375,,0.13043478260869565,0.2318840579710145,9.782758620689657,25.11,0.23452157598499063,,,2.0,,,,0.5,,1.0,1.0,0.03333333333333333,0.1111111111111111,,,,,,,,,,,True,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,101579.0,1693,-40,3233,3226,722,798,381,6459,127.0,220.0,29.0,61.0,19.0,39.0,12.0,28.0,42,133,5.0,10.0,1.0,1.0,23.0,66.0,2.0,4.0,5.0,15.0,181,381,28.0,76.0,178.0,624,3573,31.0,67.0,2.0,4.0,19.0,87.0,27.0,72.0,6.0,16.0,54.0,126.0,260.0,102.0,81.0,3.0,32.0,,66.0,23.0,33.0,141.0,10.0,151.0,7.0,3.0,74.0,25.0,42.0,312.0,8.0,76.0,47.0,114.0,181.0,87.0,268.0,13.0,65.0,43.0,22.0,61.0,16.0,40.0,36.0,2.0,21.0,3.0,97.0,7.0,17.0,42.0,,95.0,5.0,,6.0,5.0,161.0,,6.0,6.0,2.0,225.0,15.0,2.0,3.0,96.0,3.0,20.0,56.0,30.0,23.0,61.0,35.0,1.0,125.0,717,15.0,15.0,0.7182320441988951,0.7878787878787878,0.9642857142857143,0.3684210526315789,0.5,0.375,0.3684210526315789,0.47506561679790027,0.4626865671641791,0.375,0.487964989059081,0.4788732394366197,0.4090909090909091,0.556350626118068,0.54375,0.5163934426229508,0.16630196936542668,0.08661417322834646,0.1409090909090909,0.07142857142857142,,17.811566657616076,0.6288659793814433,0.10178571428571428,0.06317539484621779,0.11838790931989925,0.0299625468164794,0.1061305207646671,0.05714285714285714,0.08,0.06388888888888888,0.049145299145299144,0.02403846153846154,0.07162534435261708,0.08031088082901554,0.15363881401617252,0.11824324324324324,0.1188118811881188,0.06074766355140187,0.5737704918032787,0.4814004376367615,0.5772727272727273,0.671957671957672,0.6771653543307087,0.061269146608315096,0.42857142857142855,0.46153846153846156,0.4166666666666667,0.2910284463894967,0.3157894736842105,0.3157894736842105,0.9285714285714286,0.02188183807439825,0.5,0.5,1.0,0.14442013129102846,0.3484848484848485,0.3484848484848485,0.9565217391304348,0.8591549295774648,0.47540983606557374,0.056338028169014086,0.5,1.0,0.4431818181818182,0.48717948717948717,0.011363636363636364,1.0,0.17045454545454544,0.3333333333333333,0.6477024070021882,0.3484848484848485,0.5354130196936543,0.5821402985074626,0.5149892045454544,0.1836734693877551,0.2077922077922078,0.03896103896103896,0.13942307692307693,0.20192307692307693,8.479265091863518,24.657894736842103,0.2233219919579338,,20.0,,5.0,2.0,0.24691358024691357,0.27586206896551724,,,,,,3.0,3.0,3.0,1.0,1.0,0.031914893617021274,0.05084745762711865,,,,True,,
2744,1610612762,Al Jefferson,Al Jefferson,2744,UTA,176443.0,2941,-168,5578,5562,1430,1559,679,11140,303.0,476.0,85.0,146.0,87.0,138.0,229.0,543.0,122,300,,,,,,,,,,,654,1319,,,220.0,1528,6252,128.0,237.0,,,40.0,296.0,160.0,322.0,,,74.0,394.0,764.0,544.0,,,152.0,,,,91.0,109.0,40.0,149.0,36.0,4.0,59.0,12.0,38.0,338.0,54.0,177.0,132.0,365.0,559.0,235.0,794.0,35.0,46.0,25.0,21.0,58.0,6.0,32.0,47.0,6.0,26.0,13.0,105.0,6.0,28.0,167.0,2.0,238.0,7.0,,28.0,2.0,253.0,13.0,17.0,7.0,1.0,289.0,57.0,,,158.0,,15.0,153.0,85.0,63.0,153.0,93.0,5.0,394.0,1423,24.0,14.0,0.5840978593272171,0.6608996539792388,,,,,,0.49583017437452614,0.540084388185654,0.4968944099378882,0.49583017437452614,0.540084388185654,0.4968944099378882,0.532404181184669,0.5692307692307692,0.5441988950276243,,0.06899166034874905,0.11554621848739496,0.058931860036832415,0.013333333333333334,24.175824175824175,0.5523809523809524,0.19456289978678037,0.0869351669941061,0.19440353460972018,0.10246679316888045,0.19452054794520549,0.09012875536480687,0.1288244766505636,0.06738131699846861,0.06955380577427822,0.09808612440191387,0.1658291457286432,0.21003134796238246,0.2059282371294852,0.19230769230769232,0.2,0.06118881118881119,0.6078431372549019,0.36087945413191813,0.6365546218487395,0.7197149643705463,0.5445544554455446,0.4116755117513268,0.42173112338858193,0.4481409001956947,0.519650655021834,0.22744503411675512,0.4066666666666667,0.41216216216216217,0.8032786885245902,,,,,,,,,0.6160337552742616,0.5821917808219178,,,,0.42857142857142855,0.6304347826086957,,,,,0.36087945413191813,,0.46837028051554225,0.5308733668341711,0.4767062111801241,0.11126760563380282,0.11126760563380282,,0.193717277486911,0.25785340314136124,8.131614859742228,,0.2563642882753675,,62.0,1.0,,,0.37349397590361444,0.12941176470588237,,,10.0,,,4.0,,5.0,3.0,,0.024844720496894408,0.11926605504587157,,,,True,,
1922,1610612762,Francisco Elson,Francisco Elson,1922,UTA,9235.0,154,-52,286,279,69,113,31,565,1.0,1.0,,,,,3.0,5.0,5,13,,,,,,,,,,,9,19,,,6.0,24,336,,1.0,,,2.0,2.0,2.0,6.0,,,3.0,7.0,12.0,6.0,,,,,,,,7.0,1.0,8.0,1.0,,2.0,1.0,4.0,17.0,1.0,9.0,5.0,13.0,21.0,11.0,32.0,,5.0,5.0,,4.0,1.0,3.0,7.0,1.0,1.0,3.0,11.0,1.0,2.0,14.0,,26.0,1.0,,3.0,,11.0,2.0,3.0,1.0,,8.0,,,,1.0,,3.0,5.0,3.0,2.0,5.0,1.0,1.0,7.0,69,5.0,2.0,0.6666666666666666,0.6666666666666666,,,,,,0.47368421052631576,,0.3333333333333333,0.47368421052631576,,0.3333333333333333,0.5217391304347826,0.3333333333333333,0.4375,,,,,,10.559006211180124,0.36363636363636365,0.14444444444444443,0.08823529411764706,0.18518518518518517,0.02857142857142857,0.15384615384615385,0.072992700729927,0.047619047619047616,0.16666666666666666,0.058823529411764705,0.03333333333333333,0.13636363636363635,0.13333333333333333,0.15789473684210525,0.14285714285714285,0.3333333333333333,,0.2,0.05263157894736842,1.0,1.0,1.0,0.2631578947368421,0.6,0.6,0.3333333333333333,0.6842105263157895,0.38461538461538464,0.38461538461538464,0.8,,,,,,,,,,,,,,,,,,,,0.05263157894736842,,0.39619473684210527,0.4332,0.3731333333333334,0.05,0.05,,0.08333333333333333,0.2916666666666667,14.631578947368418,,0.24125874125874125,,3.0,,,,0.3333333333333333,,,,,,,1.0,,,,,0.2,,,,,True,,
200794,1610612762,Paul Millsap,Paul Millsap,200794,UTA,131625.0,2194,-57,4165,4167,1028,1068,483,8332,218.0,329.0,37.0,59.0,43.0,63.0,84.0,188.0,122,279,1.0,1.0,,,5.0,13.0,2.0,2.0,5.0,10.0,424,796,6.0,14.0,197.0,1063,4621,55.0,97.0,2.0,2.0,45.0,161.0,80.0,158.0,5.0,10.0,74.0,249.0,588.0,260.0,18.0,,40.0,,13.0,5.0,56.0,124.0,36.0,160.0,25.0,11.0,50.0,24.0,50.0,356.0,34.0,99.0,80.0,238.0,345.0,135.0,480.0,13.0,84.0,35.0,49.0,63.0,13.0,36.0,60.0,4.0,27.0,13.0,123.0,12.0,31.0,134.0,2.0,227.0,8.0,,4.0,10.0,204.0,8.0,19.0,5.0,4.0,259.0,39.0,,,126.0,,23.0,58.0,40.0,14.0,58.0,31.0,1.0,248.0,1024,14.0,20.0,0.6933962264150944,0.7277227722772277,1.0,0.42857142857142855,1.0,0.5,0.42857142857142855,0.5326633165829145,0.5670103092783505,0.5063291139240507,0.5345679012345679,0.5858585858585859,0.5208333333333334,0.5777173913043478,0.644,0.5985576923076923,0.01728395061728395,0.07035175879396985,0.1094224924012158,0.09042553191489362,0.010752688172043012,22.050739957716704,0.5121951219512195,0.16713483146067415,0.06496062992125984,0.1568627450980392,0.09164420485175202,0.16442605997931747,0.07018469656992084,0.08478260869565217,0.058704453441295545,0.054385964912280704,0.09059233449477352,0.15848214285714285,0.15843621399176955,0.1836734693877551,0.15281501340482573,0.1678832116788321,0.04024767801857585,0.5344827586206896,0.40617283950617283,0.662613981762918,0.7440273037542662,0.7522935779816514,0.23209876543209876,0.44680851063829785,0.49122807017543857,0.44047619047619047,0.34444444444444444,0.43727598566308246,0.4420289855072464,0.7622950819672131,0.0012345679012345679,1.0,1.0,1.0,0.016049382716049384,0.38461538461538464,0.38461538461538464,1.0,0.5959595959595959,0.6271186440677966,0.020202020202020204,1.0,1.0,0.375,0.6825396825396826,,,0.05952380952380952,0.5,0.42345679012345677,0.38461538461538464,0.48393839506172837,0.5364125000000001,0.48297202380952386,0.14046822742474915,0.14269535673839184,,0.15145813734713076,0.23424270931326435,9.059547738693468,24.957142857142852,0.2468187274909964,,27.0,4.0,,,0.2109375,0.2702702702702703,,,3.0,,,2.0,,4.0,3.0,,0.01694915254237288,0.09523809523809523,,,,True,,
202379,1610612762,Jeremy Evans,Jeremy Evans,202379,UTA,11777.0,196,-18,371,366,97,101,56,737,20.0,30.0,4.0,11.0,3.0,5.0,2.0,8.0,2,5,,,,,,1.0,,,,1.0,24,43,,1.0,8.0,56,423,4.0,12.0,,,2.0,10.0,5.0,9.0,,1.0,,10.0,34.0,14.0,,,6.0,1.0,,,4.0,7.0,5.0,12.0,5.0,,1.0,2.0,4.0,29.0,4.0,14.0,11.0,17.0,31.0,20.0,51.0,2.0,13.0,12.0,1.0,4.0,,2.0,4.0,,2.0,,8.0,2.0,1.0,16.0,,28.0,1.0,,1.0,1.0,10.0,1.0,1.0,1.0,,11.0,1.0,,,6.0,,,6.0,6.0,,6.0,4.0,1.0,10.0,97,3.0,,0.7083333333333334,0.8095238095238095,,,,,,0.5581395348837209,0.3333333333333333,0.5555555555555556,0.5454545454545454,0.3333333333333333,0.5,0.5714285714285714,0.38461538461538464,0.5,0.022727272727272728,0.09302325581395349,0.1,0.125,,13.133640552995391,0.5,0.14655172413793102,0.1044776119402985,0.2037037037037037,0.10526315789473684,0.16470588235294117,0.10465116279069768,0.023255813953488372,0.16666666666666666,0.12244897959183673,0.06060606060606061,0.10638297872340426,0.1951219512195122,0.14285714285714285,0.1794871794871795,0.26666666666666666,0.13333333333333333,0.6666666666666666,0.6818181818181818,0.6666666666666666,0.7407407407407407,0.7,0.18181818181818182,0.25,0.2857142857142857,0.5,0.11363636363636363,0.4,0.4,1.0,,,,,0.022727272727272728,,,,0.9166666666666666,0.36363636363636365,,,,0.5,0.6,,,0.1,,0.7045454545454546,,0.5335023255813953,0.54867,0.44805555555555554,0.12244897959183673,0.125,,0.17857142857142858,0.17857142857142858,4.6069767441860465,41.0,0.261455525606469,,3.0,,,,0.3,,,,,,,2.0,,,,1.0,0.11764705882352941,0.4,,,,True,,
2246,1610612762,Mehmet Okur,Mehmet Okur,2246,UTA,799.0,13,-10,25,22,4,8,5,47,,,,,,,1.0,3.0,1,1,1.0,1.0,,,,,,,,,2,4,1.0,1.0,,7,31,,,,,,,1.0,1.0,,,,2.0,4.0,,3.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4,,,1.0,1.0,1.0,1.0,,,1.0,0.5,,1.0,0.7,,1.0,0.7,,1.0,0.2,0.25,,0.3333333333333333,,16.666666666666668,,,0.125,0.3333333333333333,,0.2,0.06666666666666667,,0.2,,,,,,,0.5,,,,,,,0.6,0.3333333333333333,0.5,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.2,,0.44877,,0.3858,,,,,0.2857142857142857,10.675,22.8,0.16,,,,,,,,,,,,,,,,,,,,,,,True,,
1952,1610612762,Raja Bell,Raja Bell,1952,UTA,108069.0,1801,-242,3421,3419,852,875,400,6840,28.0,38.0,6.0,8.0,6.0,7.0,6.0,24.0,77,179,20.0,59.0,5.0,13.0,36.0,105.0,5.0,13.0,7.0,25.0,111,241,56.0,164.0,72.0,462,3907,14.0,24.0,5.0,15.0,2.0,45.0,21.0,45.0,12.0,38.0,45.0,123.0,182.0,40.0,165.0,3.0,8.0,,105.0,36.0,11.0,83.0,21.0,104.0,16.0,5.0,38.0,20.0,25.0,229.0,6.0,18.0,45.0,71.0,121.0,24.0,145.0,1.0,50.0,26.0,24.0,20.0,9.0,14.0,32.0,2.0,6.0,1.0,52.0,5.0,10.0,63.0,2.0,151.0,2.0,,6.0,16.0,98.0,7.0,6.0,19.0,,81.0,,,3.0,20.0,,19.0,11.0,8.0,1.0,13.0,6.0,,123.0,847,13.0,17.0,0.8198198198198198,0.8504672897196262,0.9821428571428571,0.34146341463414637,0.3333333333333333,0.3157894736842105,0.34146341463414637,0.4605809128630705,0.5833333333333334,0.4666666666666667,0.48148148148148145,0.5512820512820513,0.46987951807228917,0.5191441441441441,0.5625,0.5694444444444444,0.4049382716049383,0.04564315352697095,0.15789473684210525,0.20833333333333334,,12.734274711168164,0.38461538461538464,0.06016949152542373,0.014084507042253521,0.11306532663316583,0.01929260450160772,0.07351077313054499,0.015103838892385148,0.010282776349614395,0.0103359173126615,0.0199203187250996,0.016597510373443983,0.05630026809651475,0.05793450881612091,0.06585365853658537,0.10801393728222997,0.12612612612612611,0.004608294930875576,0.46153846153846156,0.09382716049382717,0.7368421052631579,0.875,0.6428571428571429,0.05925925925925926,0.25,0.3157894736842105,0.6666666666666666,0.4419753086419753,0.4301675977653631,0.4301675977653631,0.8961038961038961,0.145679012345679,0.3389830508474576,0.36363636363636365,1.0,0.25925925925925924,0.34285714285714286,0.34285714285714286,0.9722222222222222,0.20512820512820512,0.75,0.3333333333333333,0.38461538461538464,1.0,0.08433734939759036,0.8571428571428571,0.1566265060240964,0.38461538461538464,0.30120481927710846,0.28,0.49876543209876545,0.34285714285714286,0.500502962962963,0.49720757575757574,0.4869674698795181,0.047058823529411764,0.07662835249042145,,0.09740259740259741,0.2662337662337662,15.607468879668051,24.331707317073175,0.24904998538439052,2.0,5.0,,2.0,2.0,0.04854368932038835,0.16666666666666666,0.05128205128205128,4.0,,0.024390243902439025,0.06779661016949153,,,2.0,,,,0.02857142857142857,,,,True,,
