EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,BlockedCorner3,Corner3PctBlocked,on,Clear Path Fouls
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,28420.0,474,141,923,893,319.0,244.0,72,1816,54.0,68.0,9.0,14.0,18.0,22.0,30.0,69.0,13.0,31.0,3.0,1.0,97.0,168.0,3.0,47.0,241.0,896,11.0,21.0,5.0,27.0,27.0,44.0,1.0,17.0,71.0,126.0,68.0,18.0,1.0,2.0,11.0,27.0,9.0,36.0,6.0,3.0,15.0,5.0,7.0,81.0,10.0,24.0,2.0,18.0,86.0,11.0,115.0,36.0,151.0,2.0,11.0,8.0,3.0,10.0,3.0,6.0,12.0,4.0,3.0,22.0,1.0,12.0,15.0,26.0,3.0,2.0,43.0,1.0,5.0,1.0,1.0,57.0,3.0,26.0,4.0,40.0,1.0,1.0,34.0,6.0,41.0,22.0,1.0,1.0,2.0,2.0,71.0,315.0,3.0,4.0,0.6494845360824743,0.7159090909090909,0.5773809523809523,0.5238095238095238,0.6136363636363636,0.5672514619883041,0.5238095238095238,0.6,0.6085858585858586,0.54,0.6454545454545455,0.017543859649122806,0.06547619047619048,0.07352941176470588,0.057971014492753624,0.06451612903225806,21.912350597609564,0.45454545454545453,0.3142857142857143,0.1111111111111111,0.2388888888888889,0.08571428571428572,0.1935483870967742,0.07692307692307693,0.22958057395143489,0.08292682926829269,0.10975609756097561,0.09090909090909091,0.056818181818181816,0.07228915662650602,0.0851063829787234,0.19626168224299065,0.27102803738317754,0.2465753424657534,0.19718309859154928,0.18181818181818182,0.031746031746031744,0.5365853658536586,0.39766081871345027,0.7941176470588235,0.8571428571428571,0.7407407407407407,0.40350877192982454,0.43478260869565216,0.46153846153846156,0.3333333333333333,0.18128654970760233,0.41935483870967744,0.4482758620689655,1.0,0.017543859649122806,0.6666666666666666,0.6428571428571429,0.4888888888888889,0.8181818181818182,0.022222222222222223,0.4152046783625731,0.480124705882353,0.57139375,0.50404,0.13402061855670103,0.13612565445026178,0.11203319502074689,0.2946058091286307,7.274999999999999,31.133333333333336,0.3456121343445287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,43767.0,729,289,1420,1398,432.0,331.0,137,2818,57.0,93.0,9.0,9.0,19.0,26.0,23.0,57.0,17.0,46.0,112.0,39.0,97.0,196.0,130.0,137.0,469.0,1418,19.0,29.0,7.0,57.0,32.0,62.0,43.0,50.0,156.0,52.0,142.0,12.0,2.0,110.0,17.0,79.0,62.0,141.0,38.0,24.0,52.0,13.0,14.0,344.0,9.0,4.0,,27.0,65.0,8.0,100.0,13.0,113.0,1.0,36.0,16.0,20.0,42.0,9.0,29.0,18.0,13.0,4.0,60.0,1.0,22.0,19.0,52.0,3.0,1.0,156.0,9.0,2.0,10.0,6.0,163.0,14.0,63.0,15.0,8.0,,,2.0,5.0,8.0,4.0,,,,,152.0,428.0,7.0,12.0,0.26804123711340205,0.2857142857142857,0.49489795918367346,0.6551724137931034,0.5161290322580645,0.50920245398773,0.6578947368421053,0.5047619047619047,0.5875634517766497,0.7,0.5930232558139535,0.3987730061349693,0.08673469387755102,0.11827956989247312,0.08771929824561403,0.021739130434782608,28.862047043865225,0.7,0.16,,0.120817843866171,0.010309278350515464,0.1836734693877551,0.03896103896103896,0.1343065693430657,0.0210016155088853,0.0072992700729927005,0.007462686567164179,0.017094017094017096,0.04516129032258064,0.02631578947368421,0.07236842105263158,0.10714285714285714,0.1651376146788991,0.19469026548672566,0.14705882352941177,0.006535947712418301,0.5,0.2852760736196319,0.6129032258064516,0.6951219512195121,0.2631578947368421,0.17484662576687116,0.40350877192982454,0.4423076923076923,0.17391304347826086,0.1411042944785276,0.3695652173913043,0.37777777777777777,0.4117647058823529,0.34355828220858897,0.23684210526315788,1.0,0.24761904761904763,0.7307692307692307,0.37142857142857144,0.6840490797546013,0.5109658950617284,0.47918333333333335,0.47607427184466017,0.17941952506596306,0.2571428571428571,0.12153518123667377,0.3326226012793177,7.457142857142858,25.775384615384613,0.30422535211267604,8.0,18.0,1.0,3.0,2.0,4.0,38.0,3.0,6.0,12.0,46.0,4.0,9.0,14.0,75.0,63.0,38.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,5.0,1.0,0.5434782608695652,0.35384615384615387,0.4444444444444444,0.32558139534883723,0.359375,0.007692307692307693,0.008928571428571428,0.05521472392638037,0.4444444444444444,0.4444444444444444,0.875,0.3392857142857143,0.34234234234234234,0.47368421052631576,0.07894736842105263,0.3333333333333333,1.0,0.15789473684210525,0.5,1.0,0.0380952380952381,0.5,0.3076923076923077,0.34545454545454546,0.03731343283582089,,,,True,
200779,1610612759,Steve Novak,Steve Novak,200779,SAS,1838.0,31,-19,64,59,40.0,39.0,6,123,,,,,,,,,,2.0,5.0,2.0,,2.0,9.0,2.0,17.0,70,,,2.0,2.0,,2.0,3.0,,6.0,,,,,5.0,,,,,,,,,,,,,,2.0,2.0,,4.0,,4.0,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,6.0,40.0,,,,,,,,0.6818181818181818,,0.6,0.7083333333333334,1.0,0.6,0.8181818181818182,,,,,18.571428571428573,,,,0.1,,0.2222222222222222,,0.13793103448275862,,,,,,,,,0.2,0.3333333333333333,,,,,,,,,,,,0.18181818181818182,,,,0.45454545454545453,,,,,0.4,0.8181818181818182,0.5338818181818182,,0.48085000000000006,0.08333333333333333,0.3333333333333333,0.11764705882352941,0.35294117647058826,17.0,24.555555555555557,0.625,2.0,4.0,,,,1.0,3.0,,,2.0,5.0,,,2.0,15.0,,3.0,,,,,,,,,,1.0,0.5555555555555556,,0.6666666666666666,0.5555555555555556,,,0.36363636363636365,0.5,0.5,1.0,0.6,0.6,1.0,,,,,,,0.2,,1.0,0.6,,,,,True,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,41815.0,697,85,1340,1324,449.0,343.0,111,2664,100.0,141.0,7.0,11.0,37.0,49.0,31.0,85.0,32.0,82.0,6.0,1.0,163.0,308.0,21.0,83.0,424.0,1394,10.0,17.0,2.0,22.0,53.0,97.0,5.0,44.0,153.0,60.0,266.0,4.0,,6.0,21.0,90.0,63.0,153.0,33.0,30.0,55.0,12.0,23.0,369.0,,6.0,,17.0,45.0,,62.0,6.0,68.0,2.0,20.0,11.0,9.0,28.0,6.0,17.0,36.0,11.0,3.0,64.0,3.0,17.0,7.0,36.0,1.0,3.0,81.0,,,2.0,9.0,105.0,13.0,43.0,16.0,1.0,,,1.0,,1.0,,,,1.0,,153.0,445.0,4.0,15.0,0.18404907975460122,0.18633540372670807,0.5292207792207793,0.5882352941176471,0.5463917525773195,0.5182370820668692,0.5555555555555556,0.5343137254901961,0.5653333333333334,0.55,0.6023622047244095,0.06382978723404255,0.06818181818181818,0.09219858156028368,0.09411764705882353,,30.068493150684933,0.4375,,,0.0907258064516129,0.015,0.12781954887218044,,0.0985691573926868,0.01015228426395939,0.01818181818181818,0.024844720496894408,,,,0.10218978102189781,0.08496732026143791,0.08737864077669903,0.1134020618556701,0.16666666666666666,0.014285714285714285,,0.42857142857142855,0.7092198581560284,0.78125,0.18,0.25835866261398177,0.36470588235294116,0.4025974025974026,0.1935483870967742,0.24924012158054712,0.3902439024390244,0.3902439024390244,0.1875,0.0182370820668693,0.6111111111111112,0.6363636363636364,0.4803921568627451,0.7551020408163265,0.00980392156862745,0.49240121580547114,0.5193857142857143,0.5494166666666667,0.5317671568627451,0.11977715877437325,0.12721893491124261,0.05188679245283019,0.3608490566037736,8.005194805194803,23.642857142857142,0.33507462686567163,4.0,15.0,,,1.0,4.0,1.0,,1.0,,5.0,,1.0,1.0,15.0,,1.0,,9.0,3.0,,8.0,,,,,1.0,0.23809523809523808,,0.2,0.23809523809523808,,,0.04559270516717325,0.26666666666666666,0.26666666666666666,1.0,0.16666666666666666,0.16666666666666666,1.0,,,,0.05555555555555555,,,0.0392156862745098,0.25,,0.16666666666666666,,0.14285714285714285,,,True,
2588,1610612759,Matt Bonner,Matt Bonner,2588,SAS,85903.0,1432,256,2747,2706,814.0,659.0,260,5453,22.0,33.0,10.0,15.0,4.0,8.0,20.0,61.0,25.0,47.0,171.0,42.0,67.0,141.0,230.0,32.0,481.0,2868,12.0,24.0,5.0,47.0,18.0,40.0,53.0,12.0,90.0,78.0,56.0,20.0,,171.0,6.0,40.0,20.0,60.0,6.0,14.0,13.0,11.0,16.0,140.0,26.0,34.0,,36.0,128.0,15.0,179.0,60.0,239.0,6.0,26.0,17.0,9.0,17.0,,16.0,10.0,1.0,2.0,27.0,4.0,8.0,62.0,110.0,11.0,6.0,41.0,,10.0,3.0,,43.0,3.0,13.0,7.0,21.0,,,14.0,7.0,21.0,10.0,,,,4.0,87.0,809.0,7.0,5.0,0.582089552238806,0.6842105263157895,0.475177304964539,0.5,0.45,0.605121293800539,0.525,0.41935483870967744,0.6166666666666667,0.5340909090909091,0.4411764705882353,0.6199460916442049,0.0425531914893617,0.09090909090909091,0.04918032786885246,,13.7035819914558,0.6296296296296297,0.17647058823529413,,0.1285140562248996,0.0425531914893617,0.1232876712328767,0.06103286384976526,0.12732919254658384,0.04897959183673469,0.032388663967611336,0.045307443365695796,0.04938271604938271,0.053763440860215055,0.07482993197278912,0.12406015037593984,0.1509433962264151,0.11407766990291263,0.11981566820276497,0.13333333333333333,0.031746031746031744,0.47619047619047616,0.0889487870619946,0.6666666666666666,0.7333333333333333,0.45454545454545453,0.16442048517520216,0.32786885245901637,0.3448275862068966,0.45,0.12668463611859837,0.5319148936170213,0.5319148936170213,0.8,0.4609164420485175,0.375,0.6666666666666666,0.08602150537634409,0.5,0.45161290322580644,0.7088948787061995,0.5142132075471695,0.5547683333333333,0.498165053763441,0.0391644908616188,0.08609271523178808,0.09771309771309772,0.18711018711018712,10.402836879432625,24.706086956521755,0.2963232617400801,24.0,59.0,,3.0,3.0,11.0,81.0,6.0,13.0,11.0,105.0,6.0,16.0,14.0,315.0,,81.0,1.0,1.0,1.0,3.0,,,,2.0,,1.0,0.45652173913043476,0.375,0.2641509433962264,0.45652173913043476,0.004347826086956522,0.005847953216374269,0.15902964959568733,0.4067796610169492,0.4067796610169492,1.0,0.47368421052631576,0.4764705882352941,1.0,0.075,,,0.325,0.46153846153846156,1.0,0.11827956989247312,0.2727272727272727,0.2619047619047619,0.47368421052631576,0.008620689655172414,,,,True,
200809,1610612759,Chris Quinn,Chris Quinn,200809,SAS,8089.0,135,5,251,246,82.0,65.0,33,497,3.0,6.0,1.0,1.0,,1.0,,6.0,5.0,12.0,10.0,2.0,8.0,24.0,18.0,,37.0,282,3.0,3.0,,6.0,3.0,9.0,4.0,,9.0,10.0,6.0,,,10.0,2.0,16.0,8.0,24.0,6.0,2.0,9.0,2.0,5.0,56.0,,1.0,,1.0,11.0,,12.0,1.0,13.0,1.0,3.0,3.0,,4.0,,2.0,,2.0,,4.0,,1.0,8.0,13.0,1.0,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,9.0,82.0,,,0.625,0.625,0.3333333333333333,1.0,0.3333333333333333,0.44047619047619047,0.75,0.34615384615384615,0.44047619047619047,0.75,0.34615384615384615,0.42857142857142855,0.08333333333333333,0.16666666666666666,0.16666666666666666,,15.972222222222223,1.0,,,0.12643678160919541,0.013333333333333334,0.038461538461538464,,0.10619469026548672,0.008130081300813009,,,0.043478260869565216,,,0.08695652173913043,0.1,0.17647058823529413,,0.25,0.04,,0.14285714285714285,0.5,0.6,0.6666666666666666,0.14285714285714285,,,,0.2857142857142857,0.4166666666666667,0.4166666666666667,0.6,0.23809523809523808,0.25,1.0,0.07692307692307693,,0.15384615384615385,0.5714285714285714,0.5027109756097561,0.57155,0.4599208333333333,,,0.16216216216216217,0.24324324324324326,11.9625,24.194444444444446,0.32669322709163345,4.0,8.0,,,1.0,2.0,3.0,,1.0,,7.0,,1.0,1.0,18.0,3.0,3.0,,,,,,,,,,0.8571428571428571,0.3888888888888889,,0.25,0.3888888888888889,,,0.19047619047619047,0.5,0.5,1.0,0.3,0.3,0.6666666666666666,,,,0.25,,,0.15384615384615385,0.5,,0.3,,,,,True,
201588,1610612759,George Hill,George Hill,201588,SAS,64698.0,1078,245,2063,2039,589.0,455.0,186,4102,44.0,83.0,,2.0,15.0,25.0,39.0,71.0,28.0,73.0,38.0,10.0,111.0,227.0,94.0,113.0,452.0,2145,3.0,10.0,8.0,20.0,39.0,62.0,27.0,37.0,154.0,78.0,144.0,,1.0,37.0,20.0,54.0,46.0,100.0,29.0,17.0,29.0,11.0,14.0,246.0,2.0,4.0,,23.0,65.0,5.0,93.0,6.0,99.0,1.0,37.0,25.0,12.0,23.0,9.0,15.0,26.0,8.0,2.0,49.0,1.0,13.0,38.0,76.0,6.0,6.0,120.0,4.0,2.0,10.0,6.0,135.0,13.0,57.0,9.0,10.0,1.0,,6.0,3.0,11.0,5.0,,,,,154.0,588.0,10.0,7.0,0.35135135135135137,0.35135135135135137,0.4889867841409692,0.3,0.6290322580645161,0.5280373831775701,0.375,0.6573033707865169,0.5901856763925729,0.47619047619047616,0.7037037037037037,0.29283489096573206,0.0881057268722467,0.13253012048192772,0.09859154929577464,0.0273972602739726,18.632178868917144,0.46938775510204084,0.07936507936507936,,0.08867667121418826,0.006734006734006734,0.10222222222222223,0.006514657980456026,0.0918580375782881,0.006659267480577136,0.010416666666666666,0.004366812227074236,0.005780346820809248,0.004975124378109453,0.009433962264150943,0.07329842931937172,0.07264957264957266,0.11038961038961038,0.07926829268292683,0.16393442622950818,0.00684931506849315,0.45454545454545453,0.2585669781931464,0.5301204819277109,0.6111111111111112,0.3181818181818182,0.22118380062305296,0.5492957746478874,0.609375,0.38461538461538464,0.22741433021806853,0.3835616438356164,0.39436619718309857,0.35714285714285715,0.11838006230529595,0.125,,0.2808988764044944,0.6,0.11235955056179775,0.5514018691588785,0.4990584375,0.48876153846153847,0.5011814606741573,0.16304347826086957,0.21033210332103322,0.04424778761061947,0.3407079646017699,9.137885462555065,24.161702127659574,0.28550654386815316,25.0,56.0,,2.0,10.0,17.0,14.0,2.0,4.0,3.0,39.0,2.0,6.0,13.0,90.0,27.0,14.0,2.0,4.0,2.0,4.0,3.0,,7.0,3.0,1.0,0.7692307692307693,0.4148936170212766,0.3333333333333333,0.48148148148148145,0.41935483870967744,0.02127659574468085,0.02631578947368421,0.17445482866043613,0.44642857142857145,0.45454545454545453,1.0,0.3684210526315789,0.3783783783783784,0.35714285714285715,0.125,,,0.25,0.5,0.5,0.19101123595505617,0.5882352941176471,0.3,0.3783783783783784,0.030927835051546393,,1.0,0.017857142857142856,True,
202390,1610612759,Gary Neal,Gary Neal,202390,SAS,49213.0,820,56,1575,1556,407.0,380.0,164,3131,15.0,20.0,,,4.0,6.0,30.0,71.0,29.0,56.0,102.0,23.0,74.0,147.0,150.0,36.0,391.0,1723,3.0,9.0,4.0,28.0,15.0,37.0,36.0,14.0,89.0,88.0,60.0,2.0,2.0,100.0,8.0,28.0,22.0,50.0,12.0,10.0,9.0,8.0,11.0,122.0,6.0,4.0,,16.0,63.0,8.0,87.0,10.0,97.0,1.0,14.0,7.0,7.0,16.0,3.0,8.0,20.0,8.0,6.0,36.0,4.0,7.0,41.0,77.0,3.0,3.0,38.0,3.0,1.0,6.0,2.0,44.0,6.0,15.0,4.0,1.0,,,,1.0,1.0,,,,,1.0,88.0,403.0,4.0,3.0,0.5945945945945946,0.6027397260273972,0.5034013605442177,0.3333333333333333,0.40540540540540543,0.5976430976430976,0.6666666666666666,0.5136986301369864,0.6198083067092651,0.6666666666666666,0.55625,0.5050505050505051,0.05442176870748299,0.1,0.07042253521126761,0.017857142857142856,19.80703745743473,0.4444444444444444,0.15384615384615385,,0.11392405063291139,0.008849557522123894,0.09523809523809523,0.022222222222222223,0.10957004160887657,0.013850415512465374,0.006993006993006993,0.010869565217391304,0.008,0.03314917127071823,,0.06338028169014084,0.07608695652173914,0.1762114537444934,0.10317460317460317,0.07142857142857142,0.007042253521126761,,0.06734006734006734,0.75,0.8333333333333334,0.6666666666666666,0.23905723905723905,0.4225352112676056,0.45454545454545453,0.5,0.18855218855218855,0.5178571428571429,0.5272727272727272,0.6551724137931034,0.3434343434343434,,,0.0821917808219178,0.6666666666666666,0.3150684931506849,0.5723905723905723,0.49142677966101683,0.5485318181818181,0.4726034722222223,0.05825242718446602,0.09615384615384616,0.07161125319693094,0.22762148337595908,11.934013605442177,25.00133333333333,0.2584126984126984,26.0,48.0,2.0,5.0,6.0,13.0,43.0,4.0,4.0,9.0,69.0,6.0,9.0,15.0,165.0,42.0,43.0,,2.0,,5.0,2.0,,3.0,3.0,,0.7971014492753623,0.46,0.6666666666666666,0.4166666666666667,0.46621621621621623,,,0.16161616161616163,0.5416666666666666,0.5416666666666666,0.8846153846153846,0.4215686274509804,0.4215686274509804,0.7441860465116279,0.2777777777777778,0.4,1.0,0.2222222222222222,1.0,1.0,0.1780821917808219,0.46153846153846156,0.391304347826087,0.43,0.0196078431372549,,,,True,
202341,1610612759,James Anderson,James Anderson,202341,SAS,5064.0,84,1,157,156,41.0,66.0,14,313,2.0,6.0,,,,1.0,,1.0,3.0,4.0,6.0,1.0,5.0,11.0,13.0,,22.0,160,,,,3.0,,1.0,2.0,,,8.0,2.0,,,6.0,1.0,4.0,,4.0,,,,2.0,2.0,8.0,,,,2.0,6.0,,8.0,,8.0,,2.0,1.0,1.0,2.0,,2.0,,,,2.0,,2.0,4.0,5.0,,,3.0,1.0,,2.0,,,,,,2.0,,,,1.0,2.0,,,,,2.0,,41.0,,,0.8,0.8,0.45454545454545453,,,0.4583333333333333,1.5,,0.4583333333333333,1.5,,0.5416666666666666,0.09090909090909091,,1.0,,14.942528735632184,1.0,,,0.11538461538461539,,0.07692307692307693,,0.10256410256410256,,,,,,,,0.05263157894736842,0.2,0.058823529411764705,0.1111111111111111,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.041666666666666664,,,,0.16666666666666666,0.75,0.75,0.6666666666666666,0.25,,,0.3333333333333333,,0.3333333333333333,0.7916666666666666,0.51464375,0.58425,0.5120666666666667,,,0.13636363636363635,,8.863636363636363,24.346153846153847,0.2611464968152866,4.0,7.0,1.0,1.0,,1.0,,,,,4.0,1.0,1.0,,12.0,,,,,,,,,,,1.0,1.0,0.3076923076923077,1.0,,0.3076923076923077,,,0.2916666666666667,0.5714285714285714,0.5714285714285714,1.0,,,,1.0,1.0,1.0,,,,0.3333333333333333,,,,,,,,True,
2210,1610612759,Richard Jefferson,Richard Jefferson,2210,SAS,36738.0,612,96,1163,1138,363.0,236.0,103,2301,23.0,38.0,3.0,6.0,8.0,18.0,1.0,14.0,8.0,27.0,30.0,10.0,32.0,79.0,74.0,38.0,195.0,1209,4.0,9.0,,8.0,10.0,31.0,21.0,17.0,58.0,46.0,18.0,4.0,,30.0,10.0,16.0,9.0,25.0,3.0,6.0,8.0,3.0,5.0,59.0,4.0,8.0,,16.0,50.0,10.0,76.0,12.0,88.0,4.0,9.0,6.0,3.0,11.0,3.0,5.0,12.0,6.0,1.0,23.0,,4.0,13.0,33.0,1.0,1.0,38.0,,2.0,3.0,6.0,50.0,2.0,23.0,3.0,10.0,,,9.0,1.0,10.0,8.0,1.0,,,1.0,58.0,362.0,3.0,3.0,0.71875,0.7666666666666667,0.4050632911392405,0.4444444444444444,0.3225806451612903,0.5130718954248366,0.3333333333333333,0.3942307692307692,0.5508474576271186,0.3076923076923077,0.4603174603174603,0.48366013071895425,0.12658227848101267,0.15789473684210525,0.21428571428571427,0.037037037037037035,15.6128024980484,0.4782608695652174,0.29411764705882354,,0.11467889908256881,0.022922636103151862,0.13559322033898305,0.025806451612903226,0.11913357400722022,0.023809523809523808,0.04950495049504951,0.015625,0.008333333333333333,0.028846153846153848,0.0196078431372549,0.05128205128205128,0.12030075187969924,0.15053763440860216,0.13953488372093023,0.125,0.05063291139240506,0.8,0.24836601307189543,0.6052631578947368,0.71875,0.7391304347826086,0.0915032679738562,0.07142857142857142,0.09090909090909091,,0.17647058823529413,0.2962962962962963,0.3076923076923077,0.75,0.19607843137254902,0.5,0.5,0.34615384615384615,0.4444444444444444,0.19230769230769232,0.7320261437908496,0.554721568627451,0.5942909090909092,0.5611153846153847,0.13218390804597702,0.23,0.041025641025641026,0.29743589743589743,8.654430379746833,24.052702702702707,0.31212381771281167,22.0,44.0,,3.0,6.0,11.0,9.0,,,1.0,31.0,,3.0,7.0,90.0,3.0,9.0,,2.0,,1.0,3.0,,,,,0.967741935483871,0.4189189189189189,,0.3333333333333333,0.4189189189189189,,,0.2875816993464052,0.5,0.5,1.0,0.3,0.3,0.8888888888888888,0.25,,,,,,0.21153846153846154,0.5454545454545454,0.1,0.3,,,,,True,
