EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PtsPutbacks,Fg2aBlocked,Corner3Assists,OffTwoPtRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Fg3aBlocked,SelfOReb,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,PtsUnassisted3s,LongMidRangePctBlocked,Corner3PctBlocked,HeaveAttempts,Charge Fouls,Clear Path Fouls,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,HeaveMakes,on
1710,1610612748,Mike Bibby,Mike Bibby,1710,MIA,24933.0,416,76,787,780,203.0,218.0,84.0,1567,4.0,6.0,1.0,3.0,5.0,12.0,14.0,25.0,1.0,1.0,3.0,7.0,20.0,44.0,1.0,4.0,6.0,9.0,10.0,21,34.0,69.0,4.0,126.0,867,2.0,5.0,6.0,2.0,4.0,9.0,16.0,1.0,32.0,14.0,6.0,102.0,44.0,20.0,34.0,2.0,36.0,2.0,22.0,4.0,8.0,74.0,1.0,1.0,11.0,24.0,35.0,2.0,37.0,9.0,6.0,3.0,10.0,5.0,8.0,8.0,2.0,1.0,18.0,1.0,1.0,15.0,34.0,1.0,2.0,13.0,4.0,8.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,32.0,203.0,3.0,1.0,0.7,0.7,1.0,0.4927536231884058,0.4,0.5625,0.4927536231884058,0.47619047619047616,0.5,0.6777777777777778,0.6,0.775,0.6774193548387096,0.6,0.7619047619047619,0.7666666666666667,12.599318955732121,0.5555555555555556,0.05263157894736842,0.09411764705882353,0.1134020618556701,0.01,0.09943181818181818,0.003257328990228013,0.014084507042253521,0.0989010989010989,0.10144927536231885,0.08421052631578947,0.1232876712328767,0.08333333333333333,0.3333333333333333,0.06666666666666667,0.6666666666666666,0.6666666666666666,0.75,0.03333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.13333333333333333,0.4166666666666667,0.4166666666666667,0.6,0.2777777777777778,0.56,0.56,1.0,0.4888888888888889,0.45454545454545453,0.45454545454545453,1.0,0.2,1.0,1.0,0.8,0.25,1.0,0.35,0.42857142857142855,0.45,0.6666666666666666,0.8333333333333334,0.45454545454545453,0.5466988888888888,0.5848875,0.526065,0.03260869565217391,0.13043478260869565,0.047619047619047616,0.25396825396825395,12.942857142857143,24.469565217391306,0.2579415501905972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,56136.0,936,132,1731,1763,479.0,432.0,180.0,3494,19.0,32.0,12.0,24.0,1.0,1.0,,,,,,,,,,,,,32.0,57,,,29.0,93.0,1822,,,35.0,7.0,17.0,,,21.0,35.0,40.0,24.0,,,,12.0,1.0,13.0,,7.0,2.0,3.0,27.0,19.0,1.0,26.0,69.0,107.0,64.0,171.0,6.0,4.0,2.0,4.0,1.0,3.0,13.0,1.0,,17.0,4.0,4.0,83.0,126.0,12.0,6.0,35.0,5.0,43.0,,,12.0,10.0,56.0,42.0,14.0,56.0,28.0,35.0,479.0,5.0,10.0,0.625,0.9090909090909091,,,,,,0.5614035087719298,0.4117647058823529,0.5614035087719298,0.56,0.4117647058823529,0.5886075949367089,0.5833333333333334,0.5147058823529411,,4.884318766066838,0.23529411764705882,0.011904761904761904,0.1025260029717682,0.09774436090225563,0.08482142857142858,0.10117145899893504,0.08774373259052924,0.06535947712418301,0.0625,0.14084507042253522,0.10909090909090909,0.09134615384615384,0.1206896551724138,0.5,0.5614035087719298,0.59375,0.6785714285714286,0.47368421052631576,0.42105263157894735,0.5,0.5217391304347826,0.8333333333333334,0.017543859649122806,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.5614035087719298,,0.5012473684210528,0.5448578947368421,0.5111176470588237,0.17391304347826086,0.17391304347826086,0.3763440860215054,0.3763440860215054,4.784210526315788,,0.27671865973425763,10.0,18.0,6.0,12.0,14.0,25.0,7.0,20.0,5.0,1.0,44.0,12.0,2.0,1.0,4.0,1.0,7.0,4.0,1.0,2.0,3.0,0.56,0.08771929824561403,0.125,0.041666666666666664,0.2,0.08906882591093117,0.08130081300813008,0.08270676691729323,0.09663865546218488,0.1267605633802817,0.72,0.5555555555555556,0.1,0.7058823529411765,0.5,,,,,,,,,,,,,,,,,,,,,True
2034,1610612748,Mike Miller,Mike Miller,2034,MIA,23767.0,396,-14,765,764,267.0,236.0,93.0,1529,7.0,17.0,2.0,4.0,3.0,11.0,8.0,23.0,,1.0,2.0,8.0,10.0,32.0,1.0,5.0,5.0,12.0,12.0,32,18.0,55.0,9.0,87.0,857,1.0,6.0,9.0,5.0,11.0,7.0,20.0,5.0,36.0,14.0,10.0,54.0,32.0,10.0,14.0,5.0,19.0,2.0,9.0,1.0,4.0,43.0,4.0,1.0,26.0,37.0,65.0,15.0,80.0,10.0,4.0,6.0,8.0,4.0,7.0,8.0,1.0,1.0,16.0,2.0,5.0,21.0,48.0,3.0,2.0,14.0,2.0,14.0,2.0,4.0,5.0,1.0,1.0,1.0,,1.0,1.0,36.0,266.0,10.0,1.0,0.5833333333333334,0.7,1.0,0.32727272727272727,0.16666666666666666,0.35,0.32727272727272727,0.375,0.45454545454545453,0.4482758620689655,0.375,0.5,0.45604395604395603,0.375,0.5147058823529411,0.632183908045977,12.242562929061785,0.5,0.02564102564102564,0.16517857142857142,0.22033898305084745,0.03773584905660377,0.18421052631578946,0.04216867469879518,0.037037037037037035,0.08045977011494253,0.18840579710144928,0.25,0.25274725274725274,0.1111111111111111,1.0,0.19540229885057472,0.4117647058823529,0.5,0.5714285714285714,0.04597701149425287,0.5,0.6666666666666666,,0.12643678160919541,0.2727272727272727,0.2727272727272727,1.0,0.26436781609195403,0.34782608695652173,0.34782608695652173,1.0,0.367816091954023,0.3125,0.3225806451612903,1.0,0.08333333333333333,,,0.4166666666666667,0.2,1.0,0.25806451612903225,0.25,0.3870967741935484,0.4166666666666667,0.8275862068965517,0.3125,0.5286856321839082,0.5149950000000001,0.5128532258064515,0.05555555555555555,0.14285714285714285,0.10344827586206896,0.41379310344827586,9.05625,24.58363636363636,0.34901960784313724,2.0,4.0,2.0,6.0,3.0,6.0,,4.0,4.0,3.0,10.0,2.0,1.0,,,,3.0,,,,,0.5,0.125,0.17647058823529413,0.25,0.09090909090909091,0.04424778761061947,0.031746031746031744,0.014492753623188406,0.07446808510638298,0.04,0.3333333333333333,0.5,0.5,0.1935483870967742,0.3333333333333333,1.0,3.0,0.01818181818181818,0.03125,0.057692307692307696,,,,,,,,,,,,,,,,True
2067,1610612748,Eddie House,Eddie House,2067,MIA,25631.0,427,88,817,816,251.0,208.0,102.0,1633,5.0,6.0,1.0,3.0,18.0,46.0,7.0,24.0,,1.0,1.0,6.0,15.0,44.0,3.0,6.0,7.0,18.0,24.0,55,22.0,68.0,15.0,129.0,828,3.0,7.0,15.0,5.0,12.0,8.0,24.0,11.0,45.0,38.0,10.0,60.0,44.0,15.0,23.0,3.0,26.0,3.0,14.0,3.0,6.0,55.0,1.0,,16.0,34.0,52.0,4.0,56.0,22.0,15.0,7.0,4.0,,3.0,2.0,1.0,,6.0,,,16.0,36.0,2.0,1.0,12.0,1.0,15.0,,3.0,,6.0,2.0,2.0,,2.0,,45.0,250.0,5.0,5.0,0.7916666666666666,0.7916666666666666,0.9090909090909091,0.3235294117647059,0.42857142857142855,0.3333333333333333,0.3235294117647059,0.43636363636363634,0.4166666666666667,0.4634146341463415,0.5416666666666666,0.4722222222222222,0.4883720930232558,0.5769230769230769,0.5365853658536586,0.5528455284552846,14.484978540772532,0.6666666666666666,,0.12927756653992395,0.11267605633802817,0.00847457627118644,0.12345679012345678,0.0106951871657754,0.011764705882352941,0.1595744680851064,0.06578947368421052,0.15053763440860216,0.10810810810810811,0.12903225806451613,,0.04878048780487805,0.8333333333333334,1.0,0.4,0.024390243902439025,0.3333333333333333,0.3333333333333333,,0.37398373983739835,0.391304347826087,0.4090909090909091,0.9444444444444444,0.1951219512195122,0.2916666666666667,0.30434782608695654,1.0,0.35772357723577236,0.3409090909090909,0.3488372093023256,0.8666666666666667,0.08333333333333333,,,0.5,0.5,1.0,0.16666666666666666,0.16666666666666666,0.5,0.3888888888888889,0.6016260162601627,0.3409090909090909,0.497289837398374,0.4807857142857142,0.49319999999999986,,,0.11627906976744186,0.3488372093023256,17.64909090909091,24.64852941176471,0.3072215422276622,,,,,2.0,5.0,2.0,,3.0,,3.0,2.0,1.0,,1.0,,2.0,,,,,0.4,0.05454545454545454,0.16666666666666666,,0.06666666666666667,0.01171875,0.015384615384615385,,0.015625,,,,,,,2.0,1.0,0.029411764705882353,0.022727272727272728,0.014285714285714285,6.0,0.043478260869565216,0.041666666666666664,,,,,,,,,,,,,True
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,169391.0,2823,574,5378,5372,1364.0,1151.0,599.0,10750,383.0,570.0,128.0,296.0,118.0,312.0,10.0,31.0,2.0,4.0,4.0,8.0,53.0,175.0,5.0,13.0,14.0,44.0,629.0,1178,63.0,206.0,494.0,1941.0,5597,7.0,17.0,206.0,135.0,270.0,18.0,52.0,152.0,476.0,466.0,792.0,63.0,174.0,53.0,244.0,102.0,346.0,47.0,124.0,17.0,103.0,794.0,25.0,1.0,123.0,230.0,362.0,123.0,485.0,111.0,77.0,34.0,128.0,26.0,73.0,109.0,55.0,2.0,237.0,15.0,51.0,80.0,197.0,3.0,22.0,462.0,11.0,652.0,80.0,1.0,312.0,42.0,78.0,45.0,24.0,87.0,40.0,475.0,1361.0,22.0,33.0,0.37042925278219396,0.3896321070234114,0.3333333333333333,0.3058252427184466,0.4117647058823529,0.34615384615384615,0.3073170731707317,0.533955857385399,0.5,0.5227601156069365,0.5559440559440559,0.5031055900621118,0.5825825825825826,0.5919540229885057,0.5893300248138957,0.14884393063583815,31.34475939353988,0.540084388185654,0.004784688995215311,0.11954261954261955,0.17372881355932204,0.044326241134751775,0.13411854103343465,0.054439982150825524,0.04736842105263158,0.08054711246200608,0.13036020583190394,0.1478770131771596,0.17996289424860853,0.15384615384615385,0.45977011494252873,0.41184971098265893,0.6719298245614035,0.7309160305343512,0.4281984334203655,0.2138728323699422,0.43243243243243246,0.463768115942029,0.2421875,0.2254335260115607,0.3782051282051282,0.38311688311688313,0.3220338983050847,0.022398843930635837,0.3225806451612903,0.3225806451612903,0.7,0.12644508670520233,0.3028571428571429,0.3045977011494253,0.2641509433962264,0.027972027972027972,0.5,0.5,0.09090909090909091,0.38461538461538464,0.6,0.024844720496894408,0.5,0.13664596273291926,0.3181818181818182,0.5606936416184971,0.3045977011494253,0.5104541304347826,0.5422362831858406,0.5092763322884015,0.1977818853974122,0.22127659574468084,0.10613086038124678,0.2452344152498712,7.783955857385397,25.307281553398038,0.2536258832279658,54.0,88.0,89.0,141.0,69.0,126.0,47.0,62.0,70.0,55.0,97.0,9.0,22.0,12.0,3.0,3.0,6.0,,2.0,,1.0,0.5476190476190477,0.059422750424448216,0.08070175438596491,0.06756756756756757,0.05421686746987952,0.057841383422778773,0.0851528384279476,0.07333333333333333,0.032509752925877766,0.03804347826086957,0.6153846153846154,0.6136363636363636,0.2777777777777778,0.43788819875776397,0.6312056737588653,1.0,35.0,0.0048543689320388345,0.005714285714285714,0.05756578947368421,126.0,0.01282051282051282,,1.0,18.0,1.0,9.0,2.0,9.0,9.0,6.0,3.0,9.0,0.04225352112676056,,True
2544,1610612748,LeBron James,LeBron James,2544,MIA,134552.0,2243,552,4302,4282,1253.0,1014.0,491.0,8584,254.0,347.0,65.0,157.0,121.0,269.0,14.0,47.0,3.0,9.0,5.0,13.0,45.0,132.0,5.0,11.0,10.0,39.0,440.0,773,59.0,179.0,342.0,1399.0,4423,8.0,20.0,124.0,149.0,250.0,15.0,52.0,193.0,536.0,306.0,574.0,123.0,129.0,44.0,313.0,85.0,398.0,46.0,142.0,43.0,128.0,881.0,10.0,,82.0,263.0,380.0,63.0,443.0,91.0,66.0,25.0,108.0,30.0,72.0,88.0,36.0,2.0,196.0,16.0,58.0,40.0,116.0,3.0,14.0,318.0,5.0,449.0,54.0,14.0,177.0,68.0,38.0,30.0,6.0,38.0,23.0,534.0,1250.0,17.0,62.0,0.3477272727272727,0.36428571428571427,0.6949152542372882,0.329608938547486,0.4,0.28846153846153844,0.327683615819209,0.5692108667529108,0.596,0.5551470588235294,0.5578947368421052,0.5678807947019867,0.6076115485564304,0.580952380952381,0.6397590361445783,0.1880252100840336,27.48201438848921,0.5510204081632653,,0.168806161745828,0.15129151291512916,0.023696682464454975,0.16428571428571428,0.03575482406356413,0.021897810218978103,0.13157894736842105,0.1649048625792812,0.20795660036166366,0.14527845036319612,0.17054263565891473,0.6052631578947368,0.3644957983193277,0.7319884726224783,0.7559523809523809,0.43700787401574803,0.16491596638655462,0.4140127388535032,0.4482758620689655,0.13846153846153847,0.28256302521008403,0.44981412639405205,0.44981412639405205,0.2727272727272727,0.04936974789915966,0.2978723404255319,0.2978723404255319,0.6428571428571429,0.13865546218487396,0.3409090909090909,0.3409090909090909,0.7111111111111111,0.09473684210526316,0.3333333333333333,0.6666666666666666,0.11578947368421053,0.45454545454545453,0.8,0.04304635761589404,0.38461538461538464,0.1291390728476821,0.2564102564102564,0.5525210084033614,0.34108527131782945,0.5036938753959871,0.51974,0.4986318181818183,0.16465116279069766,0.19754464285714285,0.08863473909935668,0.38313080771979985,9.145924967658473,25.50893854748604,0.2912598791259879,30.0,46.0,86.0,124.0,41.0,75.0,18.0,40.0,23.0,39.0,53.0,35.0,13.0,10.0,,6.0,6.0,4.0,1.0,,2.0,0.5466666666666666,0.029754204398447608,0.03170028818443804,0.07643312101910828,0.26717557251908397,0.03955223880597015,0.06493506493506493,0.03735632183908046,0.02471169686985173,0.02702702702702703,0.4842105263157895,0.6521739130434783,0.23333333333333334,0.4105960264900662,0.6935483870967742,,23.0,,,0.05502392344497608,54.0,,,2.0,15.0,,7.0,,,,,,2.0,,1.0,True
2547,1610612748,Chris Bosh,Chris Bosh,2547,MIA,143392.0,2390,623,4570,4553,1037.0,854.0,502.0,9123,177.0,255.0,90.0,219.0,167.0,383.0,,3.0,,,,1.0,4.0,18.0,,2.0,3.0,7.0,434.0,857,4.0,21.0,300.0,1180.0,4662,,2.0,166.0,82.0,160.0,3.0,8.0,70.0,243.0,532.0,336.0,12.0,18.0,4.0,88.0,35.0,123.0,21.0,46.0,10.0,32.0,281.0,30.0,7.0,102.0,284.0,425.0,119.0,544.0,50.0,36.0,14.0,64.0,6.0,25.0,49.0,39.0,3.0,113.0,10.0,18.0,77.0,145.0,10.0,15.0,282.0,4.0,365.0,38.0,,173.0,27.0,42.0,32.0,9.0,43.0,27.0,243.0,1034.0,11.0,21.0,0.6129032258064516,0.6551724137931034,1.0,0.19047619047619047,,0.375,0.19047619047619047,0.5064177362893816,0.5125,0.5011389521640092,0.5660377358490566,0.5148809523809523,0.5667627281460135,0.6434108527131783,0.5898058252427184,0.023917995444191344,22.442629327110073,0.5663716814159292,0.04046242774566474,0.1710843373493976,0.17525773195876287,0.06651884700665188,0.17216770740410348,0.059447983014861996,0.06333333333333334,0.13982300884955753,0.1814595660749507,0.1921768707482993,0.1603563474387528,0.22556390977443608,0.627906976744186,0.29043280182232345,0.6941176470588235,0.7695652173913043,0.5254237288135594,0.24943052391799544,0.410958904109589,0.43478260869565216,0.35555555555555557,0.43621867881548976,0.4360313315926893,0.44063324538258575,0.844311377245509,0.003416856492027335,,,,0.02050113895216401,0.2222222222222222,0.2222222222222222,1.0,,,,0.018867924528301886,,,0.005952380952380952,,0.041666666666666664,0.42857142857142855,0.3143507972665148,0.2222222222222222,0.45523576309794983,0.5125707865168541,0.46875654761904767,0.17159763313609466,0.1743951612903226,0.14067796610169492,0.2059322033898305,10.987864644107352,25.457142857142852,0.22691466083150985,42.0,61.0,42.0,65.0,60.0,104.0,46.0,56.0,41.0,14.0,82.0,39.0,5.0,11.0,2.0,4.0,17.0,3.0,2.0,1.0,5.0,0.5769230769230769,0.047841306884480746,0.09803921568627451,0.0547945205479452,0.2805755395683453,0.05722260990928123,0.06493506493506493,0.03978779840848806,0.06259314456035768,0.0728476821192053,0.5754716981132075,0.6885245901639344,0.16666666666666666,0.3869047619047619,0.6461538461538462,,15.0,,,0.03787878787878788,,0.010443864229765013,,,5.0,,9.0,,1.0,1.0,1.0,,1.0,0.045454545454545456,,True
2592,1610612748,James Jones,James Jones,2592,MIA,40745.0,679,167,1308,1301,385.0,331.0,128.0,2609,,,,,7.0,11.0,35.0,62.0,2.0,5.0,13.0,17.0,24.0,66.0,1.0,6.0,7.0,20.0,7.0,11,59.0,128.0,17.0,208.0,1393,3.0,11.0,9.0,1.0,3.0,20.0,37.0,7.0,69.0,14.0,,177.0,66.0,24.0,17.0,5.0,22.0,3.0,8.0,4.0,5.0,49.0,,1.0,12.0,32.0,52.0,6.0,58.0,11.0,9.0,2.0,7.0,,6.0,1.0,1.0,,8.0,2.0,2.0,30.0,69.0,3.0,1.0,29.0,5.0,20.0,,6.0,1.0,4.0,6.0,2.0,3.0,7.0,6.0,69.0,385.0,9.0,3.0,1.0,1.0,1.0,0.4609375,0.2727272727272727,0.5405405405405406,0.4609375,0.6363636363636364,0.3333333333333333,0.6870503597122302,0.4090909090909091,0.775,0.7034482758620689,0.4090909090909091,0.7906976744186046,0.920863309352518,10.515463917525773,0.875,0.015873015873015872,0.07494145199063232,0.0670391061452514,,0.07260726072607261,0.00922509225092251,,0.05,0.09701492537313433,0.0784313725490196,0.05185185185185185,0.11363636363636363,0.8571428571428571,,,,,,,,,0.07913669064748201,0.6363636363636364,0.6363636363636364,1.0,0.4460431654676259,0.5645161290322581,0.5645161290322581,1.0,0.4748201438848921,0.36363636363636365,0.36363636363636365,1.0,0.45454545454545453,0.4,1.0,0.5454545454545454,0.16666666666666666,1.0,0.425,0.7647058823529411,0.5,0.35,0.920863309352518,0.36363636363636365,0.552091726618705,0.57789375,0.5401187500000001,0.02127659574468085,0.08333333333333333,0.04326923076923077,0.3317307692307692,20.072727272727274,24.42265625,0.29434250764525993,,,,,,,,,,2.0,5.0,8.0,,,5.0,5.0,3.0,,,,1.0,,,,,0.19047619047619047,0.013477088948787063,0.01818181818181818,,0.02054794520547945,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,1.0,0.015503875968992248,,True
436,1610612748,Juwan Howard,Juwan Howard,436,MIA,12536.0,209,-35,392,401,148.0,139.0,44.0,793,2.0,3.0,3.0,11.0,7.0,16.0,,,,,,,,,,,,,12.0,30,,,5.0,29.0,466,,,,4.0,10.0,,,3.0,11.0,24.0,,,,,5.0,2.0,7.0,1.0,3.0,,2.0,16.0,5.0,,5.0,18.0,25.0,8.0,33.0,1.0,1.0,,1.0,,1.0,4.0,,,5.0,2.0,1.0,12.0,24.0,2.0,2.0,4.0,,6.0,,,1.0,2.0,2.0,2.0,,2.0,1.0,11.0,148.0,4.0,2.0,1.0,1.0,,,,,,0.4,0.4,0.4,,0.4,0.4393939393939394,,0.4583333333333333,,8.597285067873303,0.2,,0.13636363636363635,0.09615384615384616,0.10869565217391304,0.125,0.04790419161676647,0.1282051282051282,0.1320754716981132,0.16666666666666666,0.12244897959183673,0.05128205128205128,0.23076923076923078,0.5,0.1,0.6666666666666666,1.0,1.0,0.36666666666666664,0.2727272727272727,0.2727272727272727,1.0,0.5333333333333333,0.4375,0.4375,1.0,,,,,,,,,,,,,,,,,,,0.1,,0.4245633333333333,0.4863,0.43838,0.03225806451612903,0.03225806451612903,,0.3793103448275862,12.736666666666666,,0.37755102040816324,,,,1.0,,1.0,,,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,1.0,,0.03333333333333333,0.3333333333333333,,0.13333333333333333,0.024793388429752067,0.03225806451612903,0.023255813953488372,0.02127659574468085,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,True
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,61274.0,1021,226,1953,1942,458.0,391.0,207.0,3895,24.0,41.0,11.0,25.0,17.0,35.0,23.0,58.0,1.0,2.0,8.0,19.0,34.0,85.0,4.0,9.0,5.0,18.0,52.0,101,57.0,143.0,37.0,312.0,1976,5.0,11.0,24.0,8.0,14.0,13.0,37.0,17.0,72.0,54.0,50.0,156.0,85.0,34.0,76.0,16.0,92.0,10.0,44.0,8.0,24.0,200.0,5.0,,25.0,60.0,88.0,9.0,97.0,51.0,30.0,21.0,24.0,9.0,21.0,28.0,3.0,2.0,52.0,5.0,12.0,45.0,111.0,2.0,7.0,47.0,10.0,41.0,,10.0,8.0,6.0,2.0,1.0,1.0,3.0,,72.0,458.0,17.0,5.0,0.5192307692307693,0.5294117647058824,0.9122807017543859,0.3986013986013986,0.45454545454545453,0.35135135135135137,0.3986013986013986,0.5148514851485149,0.5714285714285714,0.5635245901639344,0.5833333333333334,0.5392156862745098,0.583011583011583,0.6052631578947368,0.5862068965517241,0.5860655737704918,14.065335753176043,0.46153846153846156,,0.08391608391608392,0.0992063492063492,0.02242152466367713,0.08790072388831438,0.011124845488257108,0.019867549668874173,0.08620689655172414,0.06278026905829596,0.1,0.10880829015544041,0.06779661016949153,,0.1680327868852459,0.5853658536585366,0.6486486486486487,0.4583333333333333,0.10245901639344263,0.44,0.4782608695652174,0.6363636363636364,0.14344262295081966,0.4857142857142857,0.5,0.5294117647058824,0.23770491803278687,0.39655172413793105,0.39655172413793105,1.0,0.3483606557377049,0.4,0.4,0.8529411764705882,0.1111111111111111,0.5,1.0,0.5,0.4444444444444444,0.75,0.37254901960784315,0.42105263157894735,0.35294117647058826,0.2777777777777778,0.7540983606557377,0.4,0.5288987603305787,0.4911136363636364,0.5257617647058824,0.03557312252964427,0.07339449541284404,0.07692307692307693,0.23076923076923078,9.28019801980198,24.563636363636366,0.2345110087045571,1.0,2.0,3.0,5.0,3.0,7.0,3.0,2.0,7.0,6.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,,,,,0.42857142857142855,0.06930693069306931,0.0975609756097561,0.08,0.046153846153846156,0.006825938566552901,0.005780346820809248,0.012121212121212121,0.004032258064516129,0.027777777777777776,0.1111111111111111,0.5,,0.09803921568627451,0.6,,2.0,,,0.015873015873015872,15.0,0.02857142857142857,,,,,1.0,,1.0,1.0,1.0,,,0.006944444444444444,,True
