EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,FTOffRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangePctBlocked,OffFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,PtsUnassisted3s,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Technical Free Throw Trips,Blocked3s,BlockedCorner3,OffensiveGoaltends,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,3pt And 1 Free Throw Trips,on,Clear Path Fouls
101106,1610612749,Andrew Bogut,Andrew Bogut,101106,MIL,43389.0,723,-46,1340,1347,310,299,139.0,2687,59.0,94.0,20.0,35.0,15.0,24.0,42.0,106.0,1.0,5.0,102.0,205.0,22.0,226.0,1402,22.0,39.0,5.0,49.0,26.0,46.0,9.0,61.0,90.0,114.0,40.0,11.0,28.0,9.0,37.0,7.0,2.0,15.0,3.0,10.0,83.0,8.0,49.0,33.0,106.0,21.0,160.0,57.0,217.0,9.0,8.0,5.0,3.0,13.0,4.0,5.0,17.0,8.0,2.0,30.0,2.0,9.0,43.0,2.0,71.0,1.0,4.0,6.0,71.0,3.0,5.0,4.0,57.0,5.0,25.0,6.0,59.0,45.0,3.0,11.0,59.0,34.0,1.0,4.0,2.0,61.0,308,3.0,6.0,0.4411764705882353,0.5487804878048781,0.4975609756097561,0.5641025641025641,0.5652173913043478,0.4975609756097561,0.5641025641025641,0.5652173913043478,0.48917748917748916,0.5568181818181818,0.5648148148148148,0.05365853658536585,0.06382978723404255,0.04716981132075472,17.376830892143808,0.43333333333333335,0.5,0.2034548944337812,0.10187110187110188,0.264,0.05673758865248227,0.21517027863777088,0.09163987138263666,0.1310344827586207,0.09558823529411764,0.085,0.043478260869565216,0.08163265306122448,0.2125,0.22962962962962963,0.18141592920353983,0.2839506172839506,0.22727272727272727,0.09782608695652174,0.576271186440678,0.4585365853658537,0.6276595744680851,0.6704545454545454,0.5084745762711864,0.5170731707317073,0.39622641509433965,0.4158415841584158,0.3333333333333333,0.024390243902439025,0.2,0.2,1.0,0.8974358974358975,0.5714285714285714,0.5217391304347826,0.625,0.4585365853658537,0.4866209756097561,0.5732290322580645,0.5150652173913044,0.1111111111111111,0.1111111111111111,0.2168141592920354,0.26991150442477874,4.746341463414634,0.23134328358208955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
101141,1610612749,Ersan Ilyasova,Ersan Ilyasova,101141,MIL,40576.0,676,24,1285,1281,280,244,146.0,2566,32.0,62.0,10.0,20.0,8.0,15.0,7.0,20.0,49.0,87.0,88.0,169.0,35.0,250.0,1354,17.0,33.0,4.0,44.0,14.0,33.0,16.0,53.0,126.0,50.0,22.0,13.0,15.0,7.0,22.0,3.0,4.0,7.0,,8.0,51.0,10.0,27.0,27.0,89.0,15.0,131.0,39.0,170.0,7.0,22.0,12.0,10.0,9.0,2.0,4.0,18.0,5.0,2.0,27.0,,1.0,47.0,1.0,77.0,3.0,6.0,3.0,55.0,5.0,7.0,14.0,42.0,5.0,17.0,5.0,13.0,11.0,,2.0,13.0,9.0,1.0,3.0,1.0,53.0,280,3.0,5.0,0.7159090909090909,0.8181818181818182,0.5207100591715976,0.5151515151515151,0.42424242424242425,0.5,0.5128205128205128,0.40217391304347827,0.5364806866952789,0.5365853658536586,0.49074074074074076,0.07692307692307693,0.16129032258064516,0.1,17.844886753603294,0.3333333333333333,0.42857142857142855,0.1973392461197339,0.05921052631578947,0.21428571428571427,0.0684931506849315,0.20103986135181975,0.061461794019933555,0.08904109589041095,0.06306306306306306,0.035175879396984924,0.06481481481481481,0.07894736842105263,0.1111111111111111,0.26277372262773724,0.2074468085106383,0.2111111111111111,0.2222222222222222,0.07216494845360824,0.6923076923076923,0.28837209302325584,0.5161290322580645,0.6153846153846154,0.5,0.09302325581395349,0.35,0.3888888888888889,0.7142857142857143,0.4046511627906977,0.5632183908045977,0.5697674418604651,0.8571428571428571,0.5128205128205128,0.5,0.32608695652173914,0.5333333333333333,0.5023255813953489,0.5072601415094339,0.5510214285714286,0.5047941860465116,0.07894736842105263,0.09392265193370165,0.176,0.212,11.146745562130178,0.2178988326848249,2.0,7.0,1.0,1.0,11.0,39.0,2.0,5.0,3.0,12.0,13.0,46.0,2.0,6.0,3.0,13.0,39.0,1.0,38.0,11.0,2.0,3.0,2.0,1.0,1.0,1.0,0.2826086956521739,0.3333333333333333,0.23076923076923078,0.28888888888888886,0.21395348837209302,0.011494252873563218,0.0392156862745098,0.03255813953488372,0.2857142857142857,0.2857142857142857,1.0,0.1813953488372093,0.28205128205128205,0.28205128205128205,1.0,0.02564102564102564,0.1282051282051282,0.4,1.0,0.021739130434782608,0.2608695652173913,0.25,0.2894736842105263,0.02127659574468085,26.286956521739143,,,,,,,,,,,,,,,,,,True,
1863,1610612749,Earl Boykins,Earl Boykins,1863,MIL,24709.0,412,47,786,784,208,262,74.0,1570,9.0,22.0,,,2.0,6.0,25.0,46.0,31.0,65.0,65.0,133.0,35.0,195.0,799,4.0,5.0,3.0,11.0,17.0,34.0,20.0,60.0,22.0,108.0,,7.0,54.0,19.0,73.0,13.0,6.0,21.0,8.0,25.0,165.0,3.0,3.0,2.0,20.0,,22.0,6.0,28.0,3.0,20.0,4.0,16.0,17.0,,13.0,4.0,4.0,1.0,21.0,,6.0,8.0,1.0,25.0,,,,36.0,1.0,,4.0,40.0,,13.0,7.0,3.0,,2.0,1.0,3.0,,,,,60.0,208,3.0,7.0,0.16923076923076924,0.16923076923076924,0.48872180451127817,0.8,0.5,0.47904191616766467,0.5,0.4444444444444444,0.5213903743315508,0.55,0.5357142857142857,0.05263157894736842,0.2727272727272727,,23.798627002288328,0.8095238095238095,,0.0706713780918728,0.011450381679389313,0.025974025974025976,0.0375,0.06111111111111111,0.017543859649122806,,0.014925373134328358,0.015151515151515152,0.038461538461538464,0.03571428571428571,0.05333333333333334,0.06741573033707865,0.08403361344537816,0.03508771929824561,,0.03571428571428571,,0.1317365269461078,0.4090909090909091,0.5625,0.1111111111111111,0.2754491017964072,0.5434782608695652,0.5434782608695652,0.12,0.38922155688622756,0.47692307692307695,0.484375,0.22580645161290322,,,0.13333333333333333,0.3333333333333333,0.33532934131736525,0.4503586826347305,0.488975,0.43467777777777783,0.07222222222222222,0.08904109589041095,0.05641025641025641,0.3076923076923077,11.988721804511282,0.26463104325699743,1.0,5.0,3.0,2.0,9.0,29.0,,,2.0,9.0,10.0,34.0,,3.0,2.0,11.0,27.0,,29.0,9.0,,2.0,,,,0.9,0.29411764705882354,,0.18181818181818182,0.29411764705882354,0.20359281437125748,0.015384615384615385,,0.029940119760479042,0.2,0.2,1.0,0.17365269461077845,0.3103448275862069,0.32142857142857145,0.8888888888888888,0.375,,,,0.044444444444444446,0.2,0.2222222222222222,0.3103448275862069,,25.388235294117646,3.0,1.0,0.029411764705882353,0.034482758620689655,,,,,,,,,,,,,,True,
1894,1610612749,Corey Maggette,Corey Maggette,1894,MIL,84029.0,1400,-90,2643,2655,713,732,284.0,5298,95.0,156.0,11.0,24.0,25.0,45.0,27.0,68.0,103.0,257.0,225.0,481.0,271.0,805.0,2790,25.0,55.0,19.0,75.0,52.0,131.0,79.0,198.0,272.0,178.0,14.0,36.0,56.0,28.0,84.0,14.0,14.0,27.0,10.0,19.0,196.0,10.0,34.0,44.0,132.0,21.0,197.0,44.0,241.0,13.0,21.0,14.0,7.0,53.0,7.0,30.0,74.0,23.0,18.0,127.0,5.0,38.0,74.0,3.0,175.0,9.0,9.0,25.0,225.0,,5.0,21.0,325.0,29.0,152.0,19.0,4.0,2.0,,2.0,5.0,5.0,,1.0,2.0,196.0,711,15.0,15.0,0.6044444444444445,0.6238532110091743,0.4677754677754678,0.45454545454545453,0.3969465648854962,0.4776386404293381,0.4666666666666667,0.39666666666666667,0.5698005698005698,0.5357142857142857,0.5104712041884817,0.07484407484407485,0.16666666666666666,0.1323529411764706,27.809459912780948,0.41732283464566927,0.22580645161290322,0.1414790996784566,0.035416666666666666,0.16236162361623616,0.034722222222222224,0.1461794019933555,0.035256410256410256,0.06551724137931035,0.012295081967213115,0.028169014084507043,0.04639175257731959,0.010638297872340425,0.09225092250922509,0.13382899628252787,0.1806615776081425,0.18181818181818182,0.11904761904761904,0.04868913857677903,1.0,0.27906976744186046,0.6089743589743589,0.7307692307692307,0.5052631578947369,0.12164579606440072,0.39705882352941174,0.4576271186440678,0.5555555555555556,0.4597495527728086,0.40077821011673154,0.40234375,0.7087378640776699,0.4,0.4583333333333333,0.3,0.5555555555555556,0.4186046511627907,0.49900116696588886,0.5055408163265306,0.49501925675675684,0.2240117130307467,0.25165562913907286,0.09316770186335403,0.24596273291925466,11.554677754677753,0.26976920166477486,4.0,29.0,1.0,4.0,24.0,49.0,2.0,4.0,5.0,15.0,28.0,78.0,2.0,5.0,5.0,19.0,81.0,2.0,47.0,24.0,,5.0,5.0,7.0,1.0,0.9642857142857143,0.358974358974359,0.4,0.2631578947368421,0.3684210526315789,0.13953488372093023,0.0038910505836575876,,0.0518783542039356,0.13793103448275862,0.13793103448275862,1.0,0.08765652951699464,0.4897959183673469,0.5,0.9583333333333334,0.016666666666666666,0.06666666666666667,0.5,0.5,0.02666666666666667,0.1,0.3333333333333333,0.5106382978723404,0.012658227848101266,25.22051282051282,3.0,1.0,0.01282051282051282,0.02040816326530612,9.0,1.0,1.0,1.0,0.09090909090909091,,,,,,,,,True,
201604,1610612749,Chris Douglas-Roberts,Chris Douglas-Roberts,201604,MIL,18220.0,304,-16,572,584,96,147,56.0,1156,12.0,28.0,1.0,4.0,,1.0,4.0,11.0,14.0,33.0,30.0,72.0,22.0,100.0,625,3.0,7.0,2.0,8.0,,6.0,2.0,5.0,36.0,24.0,2.0,9.0,18.0,5.0,23.0,4.0,1.0,3.0,3.0,12.0,51.0,,5.0,4.0,22.0,,26.0,5.0,31.0,1.0,8.0,4.0,4.0,6.0,,3.0,2.0,3.0,,8.0,,,13.0,2.0,25.0,1.0,,,16.0,,,,22.0,4.0,13.0,,4.0,,1.0,3.0,4.0,3.0,,,,5.0,96,1.0,,0.6,0.6206896551724138,0.4166666666666667,0.42857142857142855,,0.43333333333333335,0.42857142857142855,0.21428571428571427,0.5050505050505051,0.5,0.3125,0.125,0.2857142857142857,0.09090909090909091,16.930379746835442,0.75,,0.10426540284360189,0.025,0.07407407407407407,,0.09811320754716982,0.02040816326530612,0.07692307692307693,,0.011235955056179775,,,0.09230769230769231,0.1111111111111111,0.10843373493975904,0.10526315789473684,,0.023255813953488372,0.75,0.3111111111111111,0.42857142857142855,0.6,0.6666666666666666,0.12222222222222222,0.36363636363636365,0.4,0.5,0.36666666666666664,0.42424242424242425,0.42424242424242425,0.5714285714285714,0.5714285714285714,0.25,0.14285714285714285,,0.5111111111111111,0.5118722222222222,0.4778428571428571,0.43162142857142854,0.13131313131313133,0.16049382716049382,0.08,0.05,10.175,0.16783216783216784,5.0,14.0,,1.0,1.0,4.0,,,,,6.0,18.0,,,1.0,1.0,18.0,,4.0,1.0,,,1.0,2.0,,1.0,0.3333333333333333,,1.0,0.3333333333333333,0.2,,,0.15555555555555556,0.35714285714285715,0.35714285714285715,1.0,0.044444444444444446,0.25,0.25,1.0,,,,,0.14285714285714285,,,0.25,,23.62777777777778,,,,,,,,,,1.0,1.0,,,,,,,True,
2039,1610612749,Keyon Dooling,Keyon Dooling,2039,MIL,45195.0,753,-19,1401,1424,308,348,144.0,2825,25.0,33.0,1.0,1.0,7.0,11.0,8.0,19.0,29.0,69.0,62.0,121.0,23.0,261.0,1496,6.0,12.0,,18.0,16.0,37.0,2.0,43.0,36.0,88.0,,2.0,91.0,13.0,104.0,9.0,4.0,35.0,5.0,51.0,221.0,1.0,,11.0,27.0,4.0,42.0,1.0,43.0,,24.0,11.0,13.0,27.0,8.0,21.0,15.0,6.0,2.0,42.0,6.0,11.0,17.0,1.0,50.0,,1.0,1.0,52.0,1.0,,10.0,32.0,7.0,15.0,2.0,1.0,1.0,,,1.0,,,,,43.0,306,5.0,2.0,0.2903225806451613,0.2903225806451613,0.512396694214876,0.5,0.43243243243243246,0.53125,0.5294117647058824,0.35344827586206895,0.5531914893617021,0.5294117647058824,0.35833333333333334,0.01652892561983471,0.06060606060606061,,17.60966306420852,0.6428571428571429,0.08163265306122448,0.05476673427991886,,0.07482993197278912,0.006211180124223602,0.059375,0.001567398119122257,,,,0.009345794392523364,,0.06329113924050633,0.006944444444444444,0.08376963350785341,0.0707070707070707,0.08333333333333333,,,0.14732142857142858,0.7575757575757576,0.8064516129032258,0.32,0.08482142857142858,0.42105263157894735,0.42105263157894735,,0.3080357142857143,0.42028985507246375,0.42028985507246375,0.3448275862068966,0.058823529411764705,1.0,0.1896551724137931,0.6363636363636364,0.6071428571428571,0.5070540358744394,0.4908874999999999,0.4952052631578947,0.06866952789699571,0.11627906976744186,0.06896551724137931,0.16475095785440613,12.684297520661156,0.21984296930763741,15.0,36.0,1.0,7.0,23.0,67.0,1.0,4.0,2.0,14.0,38.0,103.0,2.0,5.0,3.0,21.0,90.0,1.0,66.0,23.0,,3.0,,,1.0,0.7894736842105263,0.36893203883495146,0.4,0.14285714285714285,0.37254901960784315,0.45982142857142855,,,0.16071428571428573,0.4166666666666667,0.42857142857142855,1.0,0.29910714285714285,0.34328358208955223,0.3484848484848485,0.6521739130434783,0.058823529411764705,0.23529411764705882,0.25,1.0,0.1206896551724138,0.2413793103448276,0.14285714285714285,0.3484848484848485,0.009615384615384616,25.079611650485422,24.0,2.0,0.019417475728155338,0.014925373134328358,2.0,,,,1.0,1.0,0.14285714285714285,1.0,0.027777777777777776,1.0,1.0,,,True,
2422,1610612749,John Salmons,John Salmons,2422,MIL,33932.0,566,-63,1067,1075,319,332,114.0,2142,14.0,35.0,1.0,6.0,4.0,15.0,25.0,39.0,21.0,59.0,60.0,133.0,30.0,198.0,1097,3.0,10.0,2.0,11.0,13.0,36.0,16.0,57.0,32.0,88.0,,9.0,48.0,15.0,63.0,10.0,5.0,20.0,8.0,20.0,141.0,1.0,3.0,7.0,42.0,1.0,50.0,4.0,54.0,,18.0,7.0,11.0,16.0,1.0,9.0,11.0,7.0,3.0,27.0,2.0,9.0,15.0,,30.0,,1.0,1.0,44.0,,,4.0,38.0,5.0,18.0,2.0,8.0,2.0,2.0,4.0,10.0,7.0,,,1.0,57.0,319,8.0,1.0,0.26666666666666666,0.26666666666666666,0.45112781954887216,0.3,0.3611111111111111,0.4827586206896552,0.34615384615384615,0.41836734693877553,0.5210526315789473,0.39285714285714285,0.49137931034482757,0.06766917293233082,0.17142857142857143,0.02564102564102564,18.05324459234609,0.5925925925925926,0.02631578947368421,0.11170212765957446,0.007228915662650603,0.06422018348623854,0.009433962264150943,0.10103092783505155,0.007677543186180422,0.014598540145985401,,0.0055248618784530384,0.012987012987012988,,0.07142857142857142,0.11818181818181818,0.13095238095238096,0.06666666666666667,0.058823529411764705,,0.7,0.20114942528735633,0.4,0.4827586206896552,0.2857142857142857,0.22413793103448276,0.6410256410256411,0.6578947368421053,0.2,0.3390804597701149,0.3559322033898305,0.3684210526315789,0.3333333333333333,0.46153846153846156,0.16666666666666666,0.30612244897959184,0.26666666666666666,0.4367816091954023,0.47894913793103444,0.5270791666666667,0.5079408163265307,0.10106382978723404,0.1232876712328767,0.05555555555555555,0.2878787878787879,11.090225563909774,0.29896907216494845,9.0,19.0,1.0,8.0,7.0,22.0,1.0,2.0,1.0,5.0,16.0,41.0,1.0,3.0,5.0,13.0,39.0,,22.0,7.0,,2.0,,,1.0,0.8125,0.3902439024390244,0.3333333333333333,0.38461538461538464,0.3902439024390244,0.23563218390804597,0.03389830508474576,,0.10919540229885058,0.47368421052631576,0.47368421052631576,1.0,0.12643678160919541,0.3181818181818182,0.3181818181818182,0.5714285714285714,0.07692307692307693,0.15384615384615385,0.5,1.0,0.16326530612244897,0.10204081632653061,0.2,0.3181818181818182,0.023809523809523808,24.5,9.0,,,,,2.0,1.0,,,4.0,0.5,,,,,1.0,,True,
2568,1610612749,Carlos Delfino,Carlos Delfino,2568,MIL,20234.0,337,-52,642,637,204,196,75.0,1279,7.0,21.0,,1.0,4.0,8.0,2.0,10.0,8.0,19.0,17.0,50.0,14.0,87.0,689,1.0,3.0,2.0,13.0,7.0,17.0,3.0,26.0,22.0,12.0,,5.0,25.0,5.0,30.0,3.0,2.0,11.0,7.0,7.0,65.0,2.0,3.0,5.0,31.0,,36.0,6.0,42.0,1.0,12.0,11.0,1.0,10.0,2.0,6.0,5.0,4.0,,15.0,2.0,4.0,5.0,2.0,11.0,1.0,,,16.0,,,2.0,20.0,,7.0,3.0,2.0,2.0,,,2.0,2.0,,,,25.0,202,1.0,1.0,0.6470588235294118,0.6470588235294118,0.34,0.3333333333333333,0.4117647058823529,0.3476190476190476,0.7857142857142857,0.3484848484848485,0.3782608695652174,0.8125,0.37142857142857144,0.1,0.09523809523809523,0.2,17.83264746227709,0.6666666666666666,,0.14691943127962084,0.013513513513513514,0.0684931506849315,0.02040816326530612,0.1267605633802817,0.015625,0.0273972602739726,,0.011764705882352941,0.03225806451612903,,0.15,0.1320754716981132,0.15306122448979592,0.0196078431372549,0.18181818181818182,0.014705882352941176,1.0,0.2,0.3333333333333333,0.3684210526315789,0.8571428571428571,0.09523809523809523,0.2,0.25,0.5,0.18095238095238095,0.42105263157894735,0.4444444444444444,0.5,0.14285714285714285,,0.24242424242424243,0.5,0.7238095238095238,0.5178557142857144,0.5242000000000001,0.5128621212121213,0.0625,0.12280701754385964,0.14942528735632185,0.2988505747126437,9.424,0.3177570093457944,6.0,21.0,4.0,8.0,7.0,34.0,,,2.0,8.0,13.0,55.0,3.0,4.0,3.0,16.0,39.0,,34.0,7.0,1.0,1.0,1.0,2.0,,1.0,0.23636363636363636,0.75,0.1875,0.23636363636363636,0.5238095238095238,0.05263157894736842,0.058823529411764705,0.2,0.2857142857142857,0.3,1.0,0.3238095238095238,0.20588235294117646,0.21212121212121213,1.0,0.5714285714285714,,,,0.24242424242424243,0.24242424242424243,0.25,0.20588235294117646,,24.9890909090909,,2.0,0.03636363636363636,0.029411764705882353,,,,,,1.0,0.125,3.0,0.047619047619047616,0.75,1.0,,,True,
201943,1610612749,Brandon Jennings,Brandon Jennings,201943,MIL,30025.0,500,-80,961,956,357,278,116.0,1917,37.0,73.0,2.0,4.0,13.0,29.0,12.0,33.0,11.0,37.0,60.0,143.0,31.0,205.0,1026,4.0,10.0,2.0,13.0,23.0,52.0,18.0,76.0,26.0,94.0,,11.0,63.0,13.0,76.0,8.0,5.0,22.0,10.0,31.0,165.0,1.0,9.0,8.0,28.0,,36.0,11.0,47.0,2.0,21.0,8.0,13.0,18.0,1.0,10.0,8.0,8.0,,26.0,1.0,11.0,12.0,1.0,35.0,,1.0,3.0,42.0,,4.0,2.0,49.0,1.0,17.0,5.0,3.0,1.0,,2.0,4.0,1.0,,,1.0,76.0,357,5.0,5.0,0.21666666666666667,0.21666666666666667,0.4195804195804196,0.4,0.4423076923076923,0.42028985507246375,0.36666666666666664,0.3717948717948718,0.4451754385964912,0.40625,0.4222222222222222,0.07692307692307693,0.1506849315068493,,23.02810516772439,0.6923076923076923,,0.08187134502923976,0.023809523809523808,0.08791208791208792,0.009009009009009009,0.08314087759815242,0.02044989775051125,0.023809523809523808,0.028846153846153848,0.02027027027027027,,0.03333333333333333,0.10891089108910891,0.053763440860215055,0.08108108108108109,0.08064516129032258,0.10344827586206896,0.01834862385321101,0.25,0.3526570048309179,0.5068493150684932,0.5967741935483871,0.24324324324324326,0.15942028985507245,0.36363636363636365,0.36363636363636365,0.16666666666666666,0.178743961352657,0.2972972972972973,0.2972972972972973,0.18181818181818182,0.26666666666666666,0.5,0.3717948717948718,0.4482758620689655,0.6618357487922706,0.5458054455445543,0.5342071428571429,0.5398662162162161,0.08071748878923767,0.1069182389937107,0.06341463414634146,0.37073170731707317,7.28741258741259,0.37148803329864727,3.0,5.0,,3.0,15.0,59.0,1.0,5.0,3.0,23.0,18.0,64.0,1.0,5.0,4.0,26.0,30.0,4.0,55.0,15.0,1.0,,1.0,1.0,1.0,0.5555555555555556,0.28125,0.2,0.15384615384615385,0.3,0.30917874396135264,,0.030303030303030304,0.024154589371980676,0.6,0.6,1.0,0.28502415458937197,0.2542372881355932,0.2542372881355932,0.4666666666666667,,0.3333333333333333,0.2,1.0,0.038461538461538464,0.2948717948717949,0.13043478260869565,0.2727272727272727,0.015625,27.451562500000005,24.0,,,,5.0,1.0,,,0.5,1.0,0.3333333333333333,,,,,1.0,1.0,True,
202066,1610612749,Garrett Temple,Garrett Temple,202066,MIL,990.0,16,4,26,28,4,8,2.0,54,,,,,,,,,,1.0,,1.0,,6.0,26,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,3.0,,4.0,,4.0,,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1.0,,,1.0,,,1.0,,,10.344827586206897,,,0.21428571428571427,,0.16666666666666666,,0.2,,,,,,,,0.3333333333333333,0.25,0.2,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.6666666666666666,0.45880000000000004,,0.3222,,,,,14.2,0.15384615384615385,1.0,1.0,,,1.0,1.0,,,,,2.0,2.0,,,,,6.0,,1.0,1.0,,,,,,1.0,1.0,,,1.0,0.6666666666666666,1.0,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,1.0,,24.65,,,,,,,,,,,,,,,,,,True,
