EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedAtRim,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,FG3APct,LiveBallTurnoverPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceTurnovers,PenaltyTurnovers,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Offensive Fouls Drawn,PenaltyFg3Pct,ShortMidRangePctBlocked,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,HeaveAttempts,StepOutOfBoundsTurnovers,BlockingFouls,Blocked3s,BlockedCorner3,BlockedLongMidRange,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Charge Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,Clear Path Fouls,on,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,BlockedArc3,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes
101133,1610612742,Ian Mahinmi,Ian Mahinmi,101133,DAL,3286.0,55,7.0,112,115,36,54,12,227,1.0,3.0,1.0,1.0,4.0,1.0,8,8.0,10,97,1.0,2.0,2.0,2,4.0,4,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,11,3.0,17,3.0,20,1.0,1.0,6.0,12,1.0,3.0,7.0,1.0,1.0,12.0,4.0,2.0,1.0,1.0,1.0,4.0,35,2.0,2.0,1.0,1.0,0.125,0.125,0.35714285714285715,0.3333333333333333,0.4,0.125,0.3333333333333333,11.811023622047244,0.1875,0.24444444444444444,0.10714285714285714,0.17647058823529413,0.22580645161290322,0.06,0.17647058823529413,0.2857142857142857,0.125,0.3181818181818182,0.13333333333333333,0.5,0.375,0.3333333333333333,0.5,1.0,0.125,0.5,1.0,0.375,0.5065,0.6429,0.3684,0.3333333333333333,0.3333333333333333,0.2,0.4,10.325,0.32142857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,22929.0,382,19.0,762,755,59,86,74,1517,18.0,25.0,4.0,30.0,104.0,90.0,159,37.0,235,771,15.0,4.0,16.0,11,8.0,22,134.0,1.0,27.0,37.0,13.0,84.0,5.0,16.0,47,10.0,73,11.0,84,5.0,18.0,16.0,22,,,39.0,2.0,,39.0,17.0,3.0,5.0,4.0,5.0,21.0,56,,2.0,0.7444444444444445,0.7701149425287356,0.5660377358490566,0.5469613259668509,0.5888324873096447,0.4444444444444444,0.6111111111111112,0.006289308176100629,0.04,25.4739336492891,0.5555555555555556,0.17870722433460076,0.023696682464454975,0.1839080459770115,0.18,0.02976190476190476,0.023529411764705882,0.16176470588235295,0.22988505747126436,0.14814814814814814,0.20588235294117646,0.10526315789473684,0.13812154696132597,0.72,0.75,0.5,0.16574585635359115,0.574585635359116,0.25,0.2596685082872928,0.4593406077348066,0.4380363636363636,0.4930535714285714,0.08762886597938144,0.09883720930232558,0.06808510638297872,0.09361702127659574,13.688050314465407,0.07742782152230972,3.0,3.0,3.0,13.0,59.0,1.0,3.0,1.0,5.0,19.0,1.0,2.0,6.0,22.0,6.0,1.0,7.0,3.0,46.0,18.0,6.0,19.0,5.0,10.0,7.0,3.0,8.0,6.0,5.0,1.0,3.0,5.0,2.0,3.0,13.0,1.0,8.0,1.0,5.0,1.0,2.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,0.2727272727272727,0.2727272727272727,0.4,0.6363636363636364,0.375,0.5,0.12154696132596685,0.7222222222222222,0.058823529411764705,0.04,0.05,0.02,0.12,0.03614457831325301,1.0,0.43333333333333335,0.43333333333333335,0.46153846153846156,0.5673076923076923,0.5673076923076923,0.8813559322033898,0.016574585635359115,0.3333333333333333,0.3333333333333333,1.0,0.10497237569060773,0.2631578947368421,0.2631578947368421,1.0,0.75,0.0625,0.21428571428571427,1.0,0.07142857142857142,0.14285714285714285,0.2631578947368421,24.504545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,16242.0,271,-18.0,525,531,81,80,61,1056,28.0,41.0,7.0,47.0,8.0,53.0,96,8.0,117,545,11.0,,13.0,17,1.0,19,82.0,5.0,15.0,19.0,7.0,42.0,10.0,10.0,21,4.0,35,17.0,52,5.0,15.0,6.0,16,2.0,1.0,9.0,1.0,,11.0,7.0,,5.0,3.0,5.0,19.0,81,3.0,,0.7735849056603774,0.7884615384615384,0.5520833333333334,0.545,0.5625,0.5416666666666666,0.5588235294117647,0.052083333333333336,0.12195121951219512,19.86644407345576,0.2857142857142857,0.11538461538461539,0.05917159763313609,0.16666666666666666,0.128099173553719,0.06563706563706563,0.031746031746031744,0.09803921568627451,0.13043478260869565,0.11290322580645161,0.14285714285714285,0.2727272727272727,0.41,0.6829268292682927,0.7777777777777778,0.8214285714285714,0.47,0.08,0.5833333333333334,0.45,0.513883,0.6554,0.49761764705882355,0.0673076923076923,0.07,0.1111111111111111,0.1623931623931624,5.869791666666667,0.15428571428571428,3.0,4.0,6.0,20.0,5.0,,3.0,,1.0,1.0,1.0,,1.0,4.0,5.0,1.0,9.0,,24.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,7.0,7.0,,4.0,7.0,6.0,1.0,10.0,2.0,8.0,1.0,2.0,,,3.0,,2.0,4.0,,1.0,1.0,0.25,0.25,0.45454545454545453,0.5294117647058824,0.5416666666666666,0.5294117647058824,0.04,0.6666666666666666,,0.07777777777777778,0.10638297872340426,0.07246376811594203,0.09523809523809523,0.0975609756097561,0.8,0.425531914893617,0.425531914893617,0.65,0.625,0.625,1.0,0.03,,,,0.01,1.0,1.0,1.0,0.42857142857142855,0.08333333333333333,0.35294117647058826,0.6666666666666666,,,1.0,23.475,1.0,1.0,2.0,1.0,1.0,0.05084745762711865,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,3122.0,52,-4.0,108,110,42,70,8,218,7.0,8.0,,3.0,2.0,9.0,13,4.0,37,108,,,,3,3.0,10,4.0,2.0,6.0,6.0,4.0,12.0,,1.0,3,1.0,5,,5,3.0,6.0,3.0,7,,,4.0,,,7.0,1.0,1.0,,,,10.0,39,2.0,,0.2222222222222222,0.2222222222222222,0.6923076923076923,0.5892857142857143,0.5862068965517241,,0.3888888888888889,0.15384615384615385,0.125,29.661016949152543,0.06666666666666667,0.08571428571428572,,0.07692307692307693,0.08333333333333333,,,,0.09090909090909091,0.1111111111111111,0.1,,0.2857142857142857,0.875,1.0,0.14285714285714285,0.10714285714285714,0.07142857142857142,,0.8214285714285714,0.5234267857142857,0.5286,0.4687,0.03571428571428571,0.07692307692307693,,0.2702702702702703,5.776923076923077,0.3888888888888889,,1.0,1.0,2.0,,,1.0,,5.0,14.0,1.0,5.0,5.0,15.0,,1.0,2.0,5.0,14.0,12.0,,14.0,5.0,,,,,2.0,,,,1.0,1.0,,3.0,1.0,3.0,,,,1.0,1.0,4.0,,,,,0.8,0.3333333333333333,0.3333333333333333,,0.6666666666666666,,0.4375,0.5357142857142857,0.5,,,,,,,,0.6666666666666666,1.0,0.5,,,,0.03571428571428571,,,,0.5,0.35714285714285715,0.35714285714285715,0.8,,1.0,0.125,1.0,,0.625,0.35714285714285715,25.293333333333333,,,,2.0,,,,,,1.0,1.0,3.0,1.0,0.2,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
201958,1610612742,Rodrigue Beaubois,Rodrigue Beaubois,201958,DAL,29739.0,496,-17.0,983,986,157,189,103,1969,48.0,73.0,7.0,30.0,37.0,69.0,140,23.0,236,1016,11.0,4.0,15.0,28,7.0,52,56.0,16.0,43.0,64.0,20.0,149.0,5.0,10.0,33,2.0,45,7.0,52,22.0,47.0,31.0,76,1.0,3.0,36.0,,,30.0,14.0,3.0,7.0,2.0,8.0,52.0,153,7.0,3.0,0.4057971014492754,0.4057971014492754,0.4928571428571429,0.47757847533632286,0.5,0.4166666666666667,0.5652173913043478,0.11428571428571428,0.1506849315068493,25.610859728506785,0.0625,0.1,0.018050541516245487,0.08620689655172414,0.09641255605381166,0.015418502202643172,,0.08235294117647059,0.08181818181818182,0.1259259259259259,0.08695652173913043,0.08333333333333333,0.3273542600896861,0.6575342465753424,0.7741935483870968,0.5208333333333334,0.13452914798206278,0.16591928251121077,0.4375,0.6995515695067265,0.5471398648648651,0.5134722222222222,0.5247154761904762,0.060085836909871244,0.09333333333333334,0.0635593220338983,0.22033898305084745,7.7021428571428565,0.15971515768056968,3.0,11.0,14.0,9.0,12.0,10.0,17.0,3.0,15.0,66.0,4.0,12.0,25.0,83.0,4.0,5.0,18.0,15.0,82.0,60.0,,65.0,15.0,21.0,17.0,4.0,4.0,19.0,2.0,,,20.0,6.0,14.0,25.0,3.0,15.0,4.0,10.0,2.0,7.0,4.0,,4.0,3.0,,,0.8,0.30120481927710846,0.3048780487804878,0.36363636363636365,0.6428571428571429,0.34375,0.5232558139534884,0.3721973094170404,0.5319148936170213,,0.011299435028248588,0.0375,0.007142857142857143,0.02702702702702703,,0.375,0.3,0.36,,0.32432432432432434,0.32432432432432434,0.25,0.07623318385650224,0.5882352941176471,0.5882352941176471,1.0,0.29596412556053814,0.22727272727272727,0.22727272727272727,0.6666666666666666,0.42857142857142855,0.25,0.32558139534883723,0.7857142857142857,0.06976744186046512,0.27906976744186046,0.23076923076923078,25.395180722891567,,1.0,3.0,8.0,0.2,0.02247191011235955,0.6666666666666666,,,2.0,3.0,15.0,2.0,0.2,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0625,1.0,1.0,0.3333333333333333,,,,,,,True,,,,,,,,
201147,1610612742,Corey Brewer,Corey Brewer,201147,DAL,3066.0,51,-13.0,107,108,41,47,13,215,7.0,13.0,2.0,,6.0,10.0,19,4.0,24,112,2.0,4.0,6.0,6,2.0,8,12.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,1,1.0,3,8.0,11,1.0,3.0,5.0,7,,1.0,4.0,,,6.0,3.0,,2.0,1.0,2.0,8.0,40,2.0,,0.6,0.6666666666666666,0.5263157894736842,0.47619047619047616,0.5,0.75,0.5,0.10526315789473684,0.15384615384615385,21.774193548387096,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.05,0.041666666666666664,0.12,0.09090909090909091,,,0.08333333333333333,0.0625,,0.6190476190476191,0.5384615384615384,0.6363636363636364,0.5714285714285714,,0.2857142857142857,1.0,0.7142857142857143,0.5875666666666666,0.6384000000000001,0.59,0.125,0.13636363636363635,0.25,0.3333333333333333,6.778947368421053,0.38317757009345793,1.0,3.0,4.0,,3.0,,1.0,,,1.0,,,,2.0,1.0,,3.0,,8.0,,2.0,1.0,,1.0,,1.0,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,2.0,,,,,,0.5,0.5,0.5,0.5,0.09523809523809523,0.6666666666666666,0.4,0.06666666666666667,0.3076923076923077,,0.2,0.2222222222222222,1.0,,,,0.5,0.5,0.6666666666666666,0.047619047619047616,,,,0.047619047619047616,,,,0.5,,0.6666666666666666,0.75,,,,23.65,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,True,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,23279.0,388,-13.0,769,772,91,107,76,1541,3.0,3.0,,3.0,10.0,9.0,16,3.0,72,805,,,15.0,1,1.0,1,12.0,2.0,83.0,108.0,43.0,241.0,,10.0,31,,41,2.0,43,9.0,31.0,8.0,13,1.0,,9.0,2.0,,5.0,1.0,1.0,6.0,4.0,6.0,,90,1.0,,0.6666666666666666,0.6666666666666666,0.5625,0.44805194805194803,0.44936708860759494,0.9375,0.07142857142857142,0.125,,12.790697674418606,,0.1183206106870229,,0.12195121951219512,0.11918604651162791,0.00558659217877095,,0.12307692307692308,0.11578947368421053,0.11764705882352941,0.12121212121212122,0.125,0.03896103896103896,1.0,1.0,0.3333333333333333,0.03896103896103896,0.12987012987012986,,0.8311688311688312,0.5552909090909091,0.61305,0.5159333333333332,0.01282051282051282,0.058823529411764705,0.20833333333333334,0.013888888888888888,13.587499999999999,0.11833550065019506,,,,1.0,5.0,2.0,9.0,1.0,15.0,52.0,8.0,4.0,17.0,61.0,,8.0,,5.0,6.0,51.0,,52.0,15.0,25.0,17.0,8.0,8.0,32.0,2.0,,2.0,26.0,15.0,11.0,22.0,7.0,19.0,1.0,3.0,,,,1.0,2.0,2.0,,,1.0,0.2786885245901639,0.2786885245901639,,,0.9375,,0.7922077922077922,0.7096774193548387,,0.014388489208633094,,0.017857142857142856,,0.04081632653061224,0.3333333333333333,0.3333333333333333,1.0,,0.5,0.5,1.0,0.11688311688311688,0.2222222222222222,0.2222222222222222,1.0,0.6753246753246753,0.28846153846153844,0.28846153846153844,1.0,,1.0,,,0.16666666666666666,0.6666666666666666,0.28846153846153844,24.736065573770492,5.0,5.0,1.0,3.0,0.625,,,0.625,1.0,,,,2.0,,0.6666666666666666,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,4553.0,76,21.0,157,154,42,48,13,311,2.0,3.0,,7.0,8.0,8.0,18,11.0,51,153,1.0,,,3,6.0,17,8.0,2.0,9.0,9.0,5.0,18.0,1.0,4.0,5,,9,1.0,10,4.0,9.0,,3,,,6.0,,,11.0,4.0,1.0,1.0,1.0,1.0,15.0,39,,,0.5,0.5,0.4444444444444444,0.6060606060606061,0.6578947368421053,,0.6538461538461539,0.1111111111111111,0.3333333333333333,27.167630057803468,,0.11363636363636363,0.030303030303030304,0.14814814814814814,0.1267605633802817,0.016129032258064516,0.08333333333333333,0.08333333333333333,0.07142857142857142,0.16666666666666666,0.05263157894736842,0.375,0.09090909090909091,0.6666666666666666,1.0,0.5,0.21212121212121213,0.24242424242424243,,0.5454545454545454,0.48011666666666664,0.5386000000000001,0.51248,0.10810810810810811,0.18181818181818182,,0.3333333333333333,12.35,0.267515923566879,,1.0,1.0,3.0,3.0,3.0,5.0,3.0,5.0,10.0,1.0,4.0,8.0,15.0,,3.0,1.0,7.0,8.0,24.0,,10.0,5.0,,,,3.0,1.0,,,,3.0,2.0,1.0,5.0,2.0,3.0,,2.0,,1.0,,1.0,,1.0,,,1.0,0.5333333333333333,0.5333333333333333,,0.3333333333333333,,0.55,0.45454545454545453,0.5555555555555556,,,,,,,1.0,0.42857142857142855,0.5,,0.375,0.375,1.0,0.15151515151515152,0.6,0.6,1.0,0.30303030303030304,0.5,0.5,1.0,,0.25,0.1,1.0,0.3,0.4,0.5,24.226666666666667,,,1.0,,,,,,,2.0,3.0,,,0.42857142857142855,0.14285714285714285,0.5,,2.0,1.0,,1.0,,,,,0.5,,,0.3333333333333333,,,,,,,True,,,,,,,,
978,1610612742,Peja Stojakovic,Peja Stojakovic,978,DAL,7609.0,127,-34.0,251,255,23,11,26,506,3.0,6.0,2.0,7.0,8.0,9.0,21,4.0,49,290,4.0,2.0,8.0,1,,3,8.0,1.0,5.0,8.0,4.0,19.0,4.0,5.0,7,,12,5.0,17,2.0,4.0,2.0,4,,,2.0,,,4.0,2.0,,1.0,,1.0,3.0,23,,,0.4444444444444444,0.5714285714285714,0.42857142857142855,0.4787234042553192,0.5,0.6666666666666666,0.75,0.047619047619047616,0.16666666666666666,18.92857142857143,,0.0875,0.05970149253731343,0.17857142857142858,0.1111111111111111,0.04504504504504504,0.038461538461538464,0.08,0.13636363636363635,0.06060606060606061,0.15789473684210525,0.2222222222222222,0.1276595744680851,0.5,0.6,0.3333333333333333,0.14893617021276595,0.1702127659574468,0.4,0.6808510638297872,0.548036170212766,0.5355399999999999,0.5045999999999999,0.04081632653061224,0.08695652173913043,0.16326530612244897,0.061224489795918366,10.299999999999999,0.09163346613545817,2.0,,,3.0,3.0,1.0,6.0,,8.0,20.0,1.0,1.0,9.0,26.0,3.0,1.0,,1.0,10.0,27.0,4.0,20.0,8.0,3.0,3.0,,,1.0,1.0,,1.0,4.0,1.0,3.0,2.0,,2.0,,,1.0,,,,1.0,1.0,,,1.0,0.34615384615384615,0.34615384615384615,0.75,,0.6,0.75,0.5531914893617021,0.5,,0.022727272727272728,0.08,0.02702702702702703,,0.03571428571428571,1.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.375,0.375,0.3333333333333333,0.1276595744680851,0.16666666666666666,0.16666666666666666,1.0,0.425531914893617,0.4,0.4,1.0,1.0,0.2,,,,0.5,0.4,24.75769230769231,,,,,,0.0625,,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,
2073,1610612742,Brian Cardinal,Brian Cardinal,2073,DAL,3834.0,64,-2.0,126,129,57,72,15,255,,1.0,,,,,1,2.0,11,117,,,3.0,1,2.0,2,,,1.0,4.0,1.0,11.0,,1.0,3,,4,,4,1.0,1.0,7.0,9,,,6.0,2.0,,2.0,,1.0,1.0,,1.0,2.0,56,2.0,1.0,,,,0.375,0.4230769230769231,0.5,0.2,,,9.655172413793103,,0.06521739130434782,,0.06666666666666667,0.06557377049180328,,,,0.0625,0.09090909090909091,0.07142857142857142,,0.08333333333333333,,,,,,,1.0,0.6075333333333333,0.622725,0.6007750000000001,,,0.2727272727272727,0.18181818181818182,1.5,0.4523809523809524,,,1.0,,,,5.0,2.0,3.0,6.0,2.0,1.0,3.0,11.0,,3.0,,3.0,,9.0,,6.0,3.0,3.0,1.0,2.0,,,,,,5.0,3.0,2.0,,1.0,,,,,,,,1.0,,,1.0,1.0,0.2727272727272727,0.2727272727272727,,,0.5,,0.9166666666666666,,,,,,,,,,,,,,,0.4166666666666667,,,,0.5,0.5,0.6,1.0,,0.6666666666666666,0.25,,0.5,0.25,0.5,23.954545454545453,1.0,1.0,,1.0,0.3333333333333333,,,0.5,1.0,,,,,,,,,1.0,,,,1.0,,,,0.3333333333333333,,,,2.0,1.0,0.09090909090909091,0.16666666666666666,,,True,,,,,,,,
