EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,OffAtRimReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGA,LongMidRangeAssists,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,HeaveAttempts,Corner3Assists,LostBallTurnovers,Travels,Charge Fouls,Charge Fouls Drawn,PenaltyFg3Pct,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGA,PtsUnassisted3s,StepOutOfBoundsTurnovers,SecondChanceTurnovers,ShortMidRangePctBlocked,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,BadPassOutOfBoundsTurnovers,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Offensive Fouls Drawn,BlockingFoulsDrawn,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,on,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveMakes
101133,1610612742,Ian Mahinmi,Ian Mahinmi,101133,DAL,2597.0,43,26.0,89,86,28,25.0,9,175,2.0,3.0,1.0,1.0,3.0,4.0,6.0,12.0,73,1.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,7.0,3.0,13.0,4.0,17.0,2.0,1.0,2.0,2.0,3.0,1.0,8.0,2.0,1.0,6.0,1.0,9.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,27,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.25,0.3333333333333333,10.1010101010101,0.375,0.25,0.2258064516129032,0.0625,0.2,0.1428571428571428,0.217391304347826,0.1,0.1428571428571428,0.2,0.3333333333333333,0.2222222222222222,0.2105263157894736,0.1428571428571428,1.0,0.5,0.75,0.6666666666666666,1.0,1.0,0.25,1.0,1.0,1.0,0.75,0.49335,0.3202,0.3202,0.5714285714285714,0.5714285714285714,0.1666666666666666,0.25,4.9,0.3146067415730337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,5904.0,98,24.0,197,195,22,26.0,24,392,6.0,10.0,8.0,23.0,22.0,51.0,17.0,67.0,197,1.0,7.0,7.0,1.0,3.0,1.0,3.0,14.0,1.0,5.0,6.0,3.0,13.0,,2.0,,8.0,6.0,3.0,17.0,2.0,19.0,,,2.0,,5.0,,6.0,,,14.0,,17.0,1.0,7.0,,1.0,1.0,,1.0,,3.0,22,,0.3181818181818182,0.3333333333333333,0.4313725490196078,0.1428571428571428,0.3333333333333333,0.4629629629629629,0.2777777777777778,0.3333333333333333,0.525,0.35,0.3333333333333333,0.0196078431372549,0.1,27.55555555555556,0.75,,0.0983606557377049,0.0289855072463768,0.25,,0.1505376344086021,0.0222222222222222,,,0.0555555555555555,0.0909090909090909,0.1428571428571428,0.24,0.2857142857142857,,0.1851851851851851,0.6,0.6666666666666666,0.3333333333333333,0.4259259259259259,0.3478260869565217,0.3478260869565217,0.625,0.2407407407407407,0.4531657407407408,0.47931,0.4978666666666667,0.1166666666666666,0.1228070175438596,0.1044776119402985,0.044776119402985,11.658823529411766,0.1116751269035533,1.0,2.0,1.0,1.0,8.0,18.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,30.0,6.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.0555555555555555,1.0,0.1052631578947368,0.0344827586206896,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.0555555555555555,0.6666666666666666,0.6666666666666666,1.0,0.2222222222222222,0.5,0.2222222222222222,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,24.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,2633.0,44,-16.0,83,89,21,22.0,10,172,3.0,5.0,,,6.0,14.0,3.0,15.0,102,1.0,3.0,2.0,1.0,5.0,,2.0,8.0,,4.0,5.0,3.0,11.0,1.0,2.0,,1.0,4.0,1.0,6.0,3.0,9.0,,,1.0,,,,1.0,,,3.0,1.0,4.0,,2.0,,,,,,,2.0,21,,0.6666666666666666,0.8,0.4285714285714285,0.3333333333333333,0.2,0.4,0.3333333333333333,0.2,0.4411764705882353,0.3333333333333333,0.2,,,18.75,0.5,,0.16,0.0714285714285714,0.0555555555555555,0.1428571428571428,0.1162790697674418,0.0857142857142857,,,0.1,0.1111111111111111,0.3333333333333333,0.0555555555555555,,,0.3333333333333333,0.6,0.6,0.6666666666666666,,,,,0.4,0.5338433333333333,0.70615,0.5233000000000001,0.1176470588235294,0.125,0.1333333333333333,0.1333333333333333,5.807142857142857,0.253012048192771,1.0,2.0,1.0,2.0,3.0,9.0,,,,,,1.0,,,,4.0,,2.0,,,1.0,1.0,,,2.0,2.0,,1.0,1.0,,,,,,0.0666666666666666,1.0,0.1818181818181818,,0.6,0.3333333333333333,0.3333333333333333,,,,,0.6666666666666666,0.5,,,,0.4,0.5,,23.4,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
201147,1610612742,Corey Brewer,Corey Brewer,201147,DAL,8891.0,148,16.0,293,294,87,81.0,33,587,14.0,26.0,6.0,11.0,21.0,38.0,15.0,69.0,308,2.0,5.0,10.0,6.0,11.0,9.0,27.0,26.0,2.0,7.0,12.0,5.0,29.0,2.0,8.0,2.0,4.0,6.0,1.0,11.0,12.0,23.0,6.0,1.0,10.0,1.0,14.0,3.0,25.0,1.0,1.0,15.0,,21.0,1.0,9.0,2.0,2.0,1.0,1.0,2.0,2.0,27.0,86,2.0,0.6190476190476191,0.65,0.5526315789473685,0.4,0.5454545454545454,0.5294117647058824,0.4,0.6,0.5655737704918032,0.625,0.6428571428571429,0.0526315789473684,0.0769230769230769,21.3855421686747,0.0909090909090909,0.1538461538461538,0.0652173913043478,0.0909090909090909,0.0833333333333333,0.0555555555555555,0.0714285714285714,0.0806451612903225,0.064516129032258,0.0384615384615384,,0.088235294117647,0.0833333333333333,0.1,,1.0,0.5098039215686274,0.5384615384615384,0.5833333333333334,0.5714285714285714,0.2156862745098039,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.7647058823529411,0.608277,0.665975,0.5481,0.1525423728813559,0.1956521739130435,0.144927536231884,0.391304347826087,6.355263157894737,0.2969283276450511,1.0,4.0,4.0,6.0,1.0,1.0,2.0,7.0,,,4.0,13.0,,,6.0,16.0,12.0,2.0,6.0,2.0,5.0,3.0,2.0,2.0,11.0,6.0,5.0,4.0,1.0,,1.0,0.3076923076923077,,0.3333333333333333,0.2549019607843137,0.4,0.16,0.0869565217391304,0.0196078431372549,1.0,1.0,0.1372549019607843,0.2857142857142857,0.2857142857142857,1.0,0.8,0.25,,,,0.4,0.6666666666666666,0.3333333333333333,25.24615384615384,6.0,,4.0,0.1,,0.1176470588235294,2.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,0.5,0.0625,0.3333333333333333,0.3333333333333333,1.0,0.2666666666666666,0.5,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
201958,1610612742,Rodrigue Beaubois,Rodrigue Beaubois,201958,DAL,3066.0,51,-13.0,107,108,41,47.0,13,215,5.0,8.0,2.0,5.0,8.0,16.0,3.0,22.0,112,,,,6.0,9.0,1.0,16.0,6.0,4.0,1.0,4.0,,11.0,,2.0,,1.0,1.0,1.0,3.0,2.0,5.0,2.0,,8.0,2.0,2.0,,5.0,,1.0,3.0,,5.0,1.0,3.0,,,,,,,16.0,40,,0.375,0.375,0.5,,0.6666666666666666,0.5,,0.625,0.5238095238095238,,0.6666666666666666,0.25,0.375,23.387096774193548,0.1428571428571428,,0.0357142857142857,0.0571428571428571,0.05,,0.0416666666666666,0.04,,,,,0.0833333333333333,0.0625,,,0.4210526315789473,0.625,1.0,0.4,0.2631578947368421,0.4,0.4,0.5,0.5789473684210527,0.5386394736842105,,0.5742625,0.1428571428571428,0.1666666666666666,,0.7272727272727273,8.725,0.3831775700934579,,,5.0,6.0,1.0,3.0,1.0,2.0,,,1.0,3.0,,,,10.0,,,2.0,1.0,3.0,3.0,,,3.0,1.0,2.0,6.0,4.0,,,0.3333333333333333,,0.3333333333333333,0.1578947368421052,0.75,0.0769230769230769,,0.1578947368421052,0.3333333333333333,0.5,0.1052631578947368,0.5,0.5,,,,,,,0.5,0.8333333333333334,0.5,23.666666666666668,1.0,1.0,1.0,,,0.0526315789473684,,1.0,2.0,1.0,3.0,,,2.0,,,,0.3333333333333333,0.0909090909090909,,,,0.1666666666666666,0.5,1.0,3.0,1.0,1.0,0.3333333333333333,0.0833333333333333,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,4572.0,76,-5.0,150,149,31,28.0,15,299,4.0,4.0,6.0,10.0,10.0,15.0,,38.0,174,,1.0,6.0,4.0,4.0,,14.0,6.0,,9.0,11.0,8.0,24.0,1.0,,,,3.0,,3.0,1.0,4.0,4.0,,7.0,1.0,3.0,,4.0,,,2.0,,,,,,,,,,,14.0,31,,0.3,0.3,0.6666666666666666,,1.0,0.7037037037037037,1.0,0.875,0.7037037037037037,1.0,0.875,,,20.60606060606061,,,0.0652173913043478,,,0.05,0.0461538461538461,0.0158730158730158,,0.0666666666666666,,,0.1666666666666666,,,,0.1481481481481481,1.0,1.0,0.25,0.3703703703703703,0.6,0.6,0.3333333333333333,0.5925925925925926,0.516998076923077,0.57645,0.5420642857142857,,,0.1578947368421052,0.3684210526315789,13.073333333333332,0.2066666666666666,,,1.0,1.0,,1.0,5.0,10.0,1.0,1.0,6.0,12.0,2.0,2.0,,14.0,15.0,,9.0,5.0,2.0,1.0,,,3.0,1.0,2.0,3.0,3.0,,0.8333333333333334,0.5,1.0,0.5454545454545454,0.4444444444444444,0.4285714285714285,,,0.037037037037037,,,0.3703703703703703,0.5,0.5,0.8,,,0.3333333333333333,1.0,1.0,0.125,1.0,0.5555555555555556,26.95,2.0,1.0,,,,0.074074074074074,1.0,2.0,4.0,2.0,4.0,1.0,1.0,,1.0,,,0.5,,0.5,0.5,1.0,0.5,0.5,,3.0,,,,,1.0,1.0,3.0,0.3333333333333333,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,6010.0,100,51.0,196,192,51,48.0,22,388,3.0,4.0,2.0,6.0,12.0,26.0,13.0,61.0,180,3.0,3.0,9.0,3.0,6.0,6.0,18.0,4.0,2.0,17.0,19.0,6.0,40.0,,3.0,,,3.0,,3.0,3.0,6.0,3.0,,11.0,2.0,2.0,,5.0,,1.0,13.0,,14.0,3.0,7.0,1.0,,,,,,18.0,51,1.0,0.1666666666666666,0.1666666666666666,0.4615384615384615,1.0,0.5,0.5454545454545454,0.9,0.5,0.6122448979591837,0.9,0.5666666666666667,0.0769230769230769,,27.149321266968325,,,0.0441176470588235,0.05,,,0.0309278350515463,0.036144578313253,,,0.0833333333333333,,0.0714285714285714,,,,0.0909090909090909,0.75,0.75,0.3333333333333333,0.1363636363636363,0.3333333333333333,0.3333333333333333,,0.5,0.4606261363636363,0.47353,0.4505208333333333,0.1458333333333333,0.2333333333333333,0.1475409836065573,0.2950819672131147,9.823076923076924,0.2602040816326531,,,1.0,1.0,7.0,16.0,6.0,15.0,1.0,2.0,8.0,18.0,1.0,2.0,,20.0,21.0,,15.0,6.0,2.0,1.0,1.0,,4.0,3.0,1.0,8.0,6.0,1.0,0.875,0.4444444444444444,0.5,0.4444444444444444,0.4090909090909091,0.7272727272727273,0.1428571428571428,,0.3636363636363636,0.4375,0.5,0.3409090909090909,0.4,0.4,0.8333333333333334,,,0.4,0.5,1.0,0.0833333333333333,1.0,0.4,25.21111111111111,3.0,10.0,1.0,,0.1428571428571428,0.0681818181818181,2.0,2.0,5.0,2.0,6.0,,1.0,2.0,,,,0.3333333333333333,0.0416666666666666,0.6666666666666666,0.6666666666666666,1.0,0.4166666666666667,0.4,1.0,3.0,,1.0,0.125,0.0833333333333333,,,1.0,,,,3.0,1.0,,,,,,True,,,,,,,,,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,1599.0,27,-36.0,48,53,24,17.0,5,101,,,,,,,1.0,1.0,84,,,,,,1.0,1.0,,,1.0,2.0,1.0,5.0,1.0,,,1.0,2.0,,3.0,1.0,4.0,,,1.0,,1.0,,1.0,,,1.0,,2.0,,,1.0,,,,,,,23,,,,,,,,,,0.1,,0.1666666666666666,,,10.909090909090908,,,0.1666666666666666,,0.0909090909090909,0.1428571428571428,0.1304347826086956,0.0454545454545454,,0.2,,0.3333333333333333,,0.0909090909090909,,,,,,,,,,,1.0,0.500775,,0.4236,,,,1.0,,0.5,,,,,,,,3.0,,,,4.0,,,,,,,3.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,0.25,,,,0.75,,,,,,,,,,,,25.225,1.0,,,,,0.25,,,1.0,,2.0,,,,,,,,,,,,0.5,,1.0,,,,,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
978,1610612742,Peja Stojakovic,Peja Stojakovic,978,DAL,643.0,11,3.0,20,21,1,3.0,3,41,1.0,1.0,,,1.0,1.0,,5.0,20,1.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,1.0,1.0,1.0,,0.625,1.0,,0.625,1.0,,,,17.391304347826086,,,,,,,,,,,,,,,,,0.25,1.0,1.0,1.0,,,,,1.0,0.592475,,,,,0.4,,2.0,0.05,1.0,1.0,,,,,,2.0,,,1.0,3.0,,,,,3.0,,2.0,,,,,,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,0.75,,,,,,,0.5,,,,1.0,1.0,,,,,,,24.1,1.0,,,,,0.25,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,
2073,1610612742,Brian Cardinal,Brian Cardinal,2073,DAL,1546.0,26,10.0,54,53,45,32.0,4,107,,,,,,,,,47,,,,,,,,,,1.0,3.0,1.0,8.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,,44,,,,,,,,,,,,,,,5.084745762711865,,,0.0555555555555555,,,,0.0384615384615384,,,,,0.2,,,,,,,,,,,,,1.0,0.6064499999999999,0.6144,0.6144,,,,,,0.8333333333333334,,,,,,,,,,,,2.0,,1.0,,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,23.0,2.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,
