EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,PtsAssisted2s,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3FGM,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangeFGM,PtsUnassisted2s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFGM,TwoPtAssists,Arc3Assists,AtRimAssists,DefThreePtRebounds,FTA,TwoPtShootingFoulsDrawn,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,on,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,HeaveAttempts,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Corner3PctBlocked,Clear Path Fouls
200779,1610612759,Steve Novak,Steve Novak,200779,SAS,491.0,8.0,1.0,13.0,14,1.0,27,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,6.0,16,1.0,1.0,3.0,6.0,3.0,2.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.75,1.5,0.75,1.5,0.75,28.57142857142857,0.25,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.75,0.6666666666666666,0.5065875,0.52335,0.5,15.9,24.166666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201168,1610612759,Tiago Splitter,Tiago Splitter,201168,SAS,491.0,8.0,1.0,13.0,14,1.0,27,,,,,,2.0,,,2.0,16,,,,,,,,,,,0.5,,0.5,,,14.285714285714285,,,,,,,,,0.5,,0.38295,,,4.35,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.25,0.25,0.1428571428571428,0.2,0.5,0.5,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201588,1610612759,George Hill,George Hill,201588,SAS,75.0,1.0,,1.0,2,,3,,,,,,,1.0,1.0,3.0,3,,,,3.0,,,1.0,1.0,,1.0,1.5,,1.5,,1.0,100.0,,,,,,,,,1.0,,0.6189,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201785,1610612759,Othyus Jeffers,Othyus Jeffers,201785,SAS,491.0,8.0,1.0,13.0,14,1.0,27,1.0,,,,,3.0,,,2.0,16,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,28.57142857142857,0.3333333333333333,,,,,,,,0.3333333333333333,,0.4276,,,9.233333333333333,,,1.0,1.0,1.0,,,2.0,2.0,,2.0,,,,0.3333333333333333,0.5,,0.2857142857142857,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202390,1610612759,Gary Neal,Gary Neal,202390,SAS,491.0,8.0,1.0,13.0,14,1.0,27,1.0,,,,,2.0,,,4.0,16,,,,,,,,,,,1.0,,0.6666666666666666,,,21.428571428571427,0.5,,,,,,,,,,0.39105,,,12.1,,,,1.0,2.0,,,1.0,2.0,,2.0,1.0,,,1.0,0.25,,0.2857142857142857,,,0.5,,,,,0.5,,,,,,,1.0,4.0,2.0,3.0,,8.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201971,1610612759,DeJuan Blair,DeJuan Blair,201971,SAS,416.0,7.0,1.0,12.0,12,1.0,24,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,129387.0,2156.0,457.0,4198.0,4155,449.0,8353,229.0,,4.0,,,834.0,,4.0,1022.0,4244,,,145.0,,3.0,,,,,,0.5,0.5121951219512195,0.5345188284518828,0.5330882352941176,0.0047732696897374,22.8486646884273,0.2732696897374702,0.0047732696897374,,,,,,,0.3114558472553699,,0.4580820191158901,0.5238270833333333,0.1418786692759295,8.924820143884888,29.5,180.0,257.0,348.0,419.0,490.0,116.0,398.0,509.0,169.0,678.0,193.0,0.5847255369928401,0.6464379947229552,0.5023980815347722,0.2367638310529446,0.0827980014275517,0.234866828087167,0.0862619808306709,0.0600858369098712,0.2391629297458893,0.3066825775656324,0.7003891050583657,0.7468879668049793,0.6333333333333333,0.4152744630071599,,,,,,,143.0,348.0,53.0,203.0,23.0,459.0,19.0,62.0,122.0,119.0,0.2466539196940726,0.4109195402298851,0.446875,96.0,150.0,30.0,83.0,87.0,257.0,120.0,0.2265625,0.2156862745098039,0.4192139737991266,0.4247787610619469,0.128068303094984,0.1286173633440514,False,1019.0,871.0,43.0,71.0,37.0,51.0,2.0,184.0,63.0,123.0,19.0,88.0,163.0,2.0,65.0,241.0,80.0,1.0,47.0,32.0,35.0,46.0,7.0,24.0,19.0,49.0,35.0,14.0,60.0,37.0,2.0,23.0,14.0,13.0,34.0,72.0,2.0,4.0,9.0,11.0,2.0,16.0,3.0,4.0,21.0,19.0,144.0,2.0,2.0,112.0,1.0,31.0,146.0,86.0,1.0,3.0,5.0,4.0,239.0,999.0,7.0,16.0,0.5121951219512195,0.5398773006134969,0.5333333333333333,0.5738095238095238,0.0563549160671462,0.0622568093385214,0.0804597701149425,0.0131004366812227,0.4918032786885246,0.2285714285714285,0.0666666666666666,0.0964360587002096,0.110576923076923,0.0809248554913294,0.1035714285714285,0.0862944162436548,0.2229038854805726,0.2692307692307692,0.0513513513513513,0.589041095890411,0.3566433566433566,0.8333333333333334,0.5772357723577236,0.6056338028169014,0.0697674418604651,0.3090909090909091,0.7254901960784313,0.0121212121212121,0.4564015151515153,0.235812133072407,0.2427346355407336,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,145521.0,2425.0,539.0,4755.0,4741,512.0,9496,152.0,123.0,359.0,10.0,33.0,577.0,154.0,441.0,1393.0,4914,16.0,49.0,142.0,312.0,355.0,123.0,0.6753246753246753,0.3492063492063492,0.3265306122448979,0.3524027459954233,0.5088408644400786,0.5041322314049587,0.5767284991568297,0.5387596899224806,0.4332023575638506,25.42056074766355,0.1493123772102161,0.3526522593320236,0.3426183844011142,0.3464788732394366,0.6341463414634146,0.2727272727272727,0.303030303030303,0.9,0.6856581532416502,0.3464788732394366,0.523114461994077,0.489405172413793,0.1019382627422828,7.998613518197573,25.16167800453515,156.0,257.0,168.0,287.0,216.0,25.0,170.0,253.0,42.0,295.0,384.0,0.3763066202090592,0.3884892086330935,0.4974003466204506,0.0935093509350935,0.0168690958164642,0.104707435107787,0.0194220748460445,0.0181451612903225,0.1239669421487603,0.2524557956777996,0.6070038910505836,0.6842105263157895,0.4038461538461538,0.1650294695481336,31.0,82.0,0.0805500982318271,0.3780487804878049,0.3780487804878049,0.8387096774193549,72.0,358.0,113.0,393.0,58.0,899.0,24.0,52.0,174.0,163.0,0.0890052356020942,0.4285714285714285,0.4675324675324675,59.0,280.0,55.0,164.0,68.0,410.0,136.0,0.1494505494505494,0.1536312849162011,0.3881578947368421,0.3933333333333333,0.1298586572438162,0.1997063142437591,False,1106.0,969.0,14.0,22.0,39.0,52.0,80.0,357.0,37.0,72.0,20.0,64.0,123.0,90.0,158.0,379.0,18.0,4.0,45.0,49.0,67.0,16.0,1.0,15.0,4.0,123.0,58.0,65.0,122.0,82.0,5.0,40.0,7.0,6.0,53.0,63.0,8.0,5.0,6.0,5.0,20.0,8.0,28.0,16.0,32.0,54.0,27.0,1.0,1.0,13.0,3.0,11.0,28.0,15.0,1.0,,,,361.0,1081.0,18.0,39.0,0.5138888888888888,0.5203252032520326,0.5187793427230047,0.6357388316151202,0.0779896013864818,0.11284046692607,0.0833333333333333,0.0131578947368421,0.7011494252873564,0.1181102362204724,0.0083333333333333,0.0254372019077901,0.0125786163522012,0.0196463654223968,0.0285714285714285,0.0204918032786885,0.0558766859344894,0.134020618556701,0.0077972709551656,0.5357142857142857,0.3472222222222222,0.3389830508474576,0.1818181818181818,0.6363636363636364,0.1428571428571428,0.244131455399061,0.75,0.3755868544600939,0.483005238095238,0.2720746590093323,0.2325972660357518,6.0,16.0,5.0,10.0,26.0,31.0,150.0,4.0,3.0,1.0,31.0,11.0,0.3444444444444444,0.0090702947845804,0.011142061281337,0.1322314049586777,0.375,0.8333333333333334,0.0469483568075117,0.5,0.325,0.024390243902439,,,
200779,1610612759,Steve Novak,Steve Novak,200779,SAS,11340.0,189.0,-25.0,364.0,360,41.0,724,15.0,10.0,22.0,1.0,1.0,16.0,21.0,39.0,87.0,428,1.0,2.0,5.0,63.0,22.0,10.0,1.0,0.5384615384615384,0.5,0.5384615384615384,0.7181818181818181,0.5,0.7372881355932204,0.625,0.7090909090909091,15.254237288135592,0.2727272727272727,0.4,0.4545454545454545,0.4545454545454545,1.0,0.3333333333333333,1.0,1.0,0.7090909090909091,0.4545454545454545,0.5082709090909092,0.5127166666666666,0.057471264367816,18.9125,24.566666666666663,,,1.0,8.0,12.0,1.0,15.0,19.0,4.0,23.0,6.0,0.75,0.75,0.5,0.119047619047619,0.0105263157894736,0.1144578313253012,0.0125,,0.0784313725490196,,,,,0.0181818181818181,11.0,17.0,0.3090909090909091,0.6470588235294118,0.6470588235294118,1.0,1.0,4.0,1.0,3.0,,7.0,1.0,2.0,4.0,11.0,0.0555555555555555,1.0,1.0,7.0,2.0,1.0,1.0,4.0,8.0,3.0,0.1,0.125,0.4666666666666667,0.4666666666666667,0.0517241379310344,0.1578947368421052,False,166.0,127.0,,,,,10.0,8.0,,1.0,2.0,1.0,5.0,17.0,2.0,40.0,,,,,1.0,1.0,2.0,,,1.0,,1.0,2.0,2.0,,,,,,8.0,,,1.0,1.0,,,,,,1.0,5.0,,,3.0,,2.0,5.0,2.0,,,,,40.0,165.0,,1.0,,0.2,0.8636363636363636,0.8695652173913043,,,,,0.5,,0.1428571428571428,0.0153846153846153,0.0384615384615384,,0.0217391304347826,,0.2307692307692307,,,0.4,,0.8571428571428571,,,,,,0.4545454545454545,0.5083386363636363,0.4597701149425287,0.456043956043956,,1.0,5.0,7.0,7.0,12.0,,,,,,,0.7058823529411765,,,0.3333333333333333,,,0.3181818181818182,0.7142857142857143,0.7,,,,
201588,1610612759,George Hill,George Hill,201588,SAS,128805.0,2147.0,281.0,4102.0,4105,431.0,8207,137.0,25.0,76.0,3.0,9.0,429.0,76.0,203.0,881.0,4335,3.0,14.0,53.0,186.0,74.0,25.0,0.8157894736842105,0.3743842364532019,0.2142857142857142,0.3781094527363184,0.5126582278481012,0.3936170212765957,0.5824324324324325,0.4732142857142857,0.3212025316455696,18.23324630113142,0.2167721518987341,0.120253164556962,0.3289473684210526,0.3378378378378378,0.44,0.1914893617021276,0.3333333333333333,0.6666666666666666,0.5727848101265823,0.3378378378378378,0.4992924603174606,0.5055270270270269,0.0601589103291713,9.088811188811189,24.194088669950737,87.0,159.0,133.0,210.0,170.0,18.0,125.0,175.0,24.0,199.0,222.0,0.4047619047619047,0.4126213592233009,0.4895104895104895,0.084005376344086,0.0146818923327895,0.0861713106295149,0.0133407448582545,0.0096153846153846,0.1062091503267973,0.2515822784810126,0.5471698113207547,0.6397058823529411,0.3908045977011494,0.2104430379746835,51.0,127.0,0.2009493670886075,0.4015748031496063,0.408,1.0,69.0,250.0,77.0,193.0,28.0,463.0,11.0,50.0,99.0,153.0,0.0694143167028199,0.518796992481203,0.5655737704918032,54.0,116.0,49.0,52.0,42.0,270.0,111.0,0.0933333333333333,0.078078078078078,0.3941605839416058,0.4,0.1632088520055325,0.2159533073929961,False,1295.0,1104.0,8.0,14.0,24.0,44.0,24.0,233.0,14.0,33.0,16.0,59.0,118.0,60.0,91.0,278.0,8.0,2.0,36.0,28.0,36.0,6.0,,8.0,4.0,66.0,43.0,23.0,49.0,32.0,10.0,17.0,2.0,11.0,29.0,73.0,6.0,5.0,7.0,13.0,5.0,5.0,20.0,11.0,26.0,17.0,20.0,1.0,,11.0,2.0,7.0,21.0,11.0,,,,1.0,275.0,1277.0,16.0,13.0,0.4242424242424242,0.5,0.5252808988764045,0.6126126126126126,0.0839160839160839,0.1446540880503144,0.0827067669172932,0.0145985401459854,0.494949494949495,0.0695652173913043,,0.0104712041884816,0.0188679245283018,0.0159453302961275,0.0141643059490084,0.0045454545454545,0.0674698795180722,0.1367521367521367,0.0133779264214046,0.5238095238095238,0.3623188405797101,0.4814814814814814,0.2978723404255319,0.5714285714285714,0.125,0.247191011235955,0.5454545454545454,0.1348314606741573,0.4850935028248589,0.3155505107832009,0.3156996587030716,,5.0,18.0,36.0,5.0,23.0,42.0,4.0,7.0,1.0,21.0,7.0,0.3833333333333333,0.0197044334975369,0.0263157894736842,0.1063829787234042,,,0.2022471910112359,0.5,0.2083333333333333,0.0334928229665071,1.0,0.0157480314960629,
