EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefCorner3ReboundPct,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls,Charge Fouls Drawn,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,Corner3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,BlockedCorner3,on,3pt And 1 Free Throw Trips,Clear Path Fouls
101150,1610612755,Lou Williams,Lou Williams,101150,PHI,21709.0,362,-19,684,684,182.0,210,86.0,1368,18.0,34.0,1.0,3.0,5.0,10.0,14.0,37.0,15.0,41.0,5.0,8.0,1.0,2.0,3.0,14.0,41.0,1.0,1.0,9.0,19.0,47.0,112.0,19.0,49.0,76.0,227.0,734,4.0,7.0,1.0,2.0,3.0,14.0,15.0,37.0,11.0,22.0,28.0,91.0,36.0,58.0,36.0,21.0,2.0,1.0,40.0,14.0,7.0,1.0,42.0,4.0,46.0,3.0,1.0,18.0,8.0,16.0,96.0,1.0,5.0,2.0,19.0,1.0,22.0,6.0,28.0,3.0,13.0,7.0,6.0,12.0,9.0,4.0,3.0,1.0,16.0,2.0,6.0,11.0,22.0,3.0,1.0,57.0,2.0,1.0,1.0,94.0,5.0,3.0,32.0,6.0,7.0,2.0,1.0,1.0,2.0,2.0,91.0,182.0,1.0,5.0,0.3829787234042553,0.391304347826087,0.631578947368421,0.3877551020408163,0.5,0.5,0.3958333333333333,0.41964285714285715,0.5714285714285714,0.40540540540540543,0.468944099378882,0.6111111111111112,0.5338983050847458,0.5597014925373134,0.7,0.625,0.30434782608695654,0.02040816326530612,0.0625,0.058823529411764705,0.05405405405405406,0.07317073170731707,0.024390243902439025,27.82051282051282,0.75,0.034482758620689655,0.07169811320754717,0.018115942028985508,0.028169014084507043,0.016129032258064516,0.0625,0.01775147928994083,0.028169014084507043,0.020202020202020204,0.009433962264150943,0.0196078431372549,0.09523809523809523,0.07228915662650602,0.05102040816326531,0.037037037037037035,0.03614457831325301,1.0,0.2111801242236025,0.5294117647058824,0.5625,0.5555555555555556,0.22981366459627328,0.3783783783783784,0.4,0.14285714285714285,0.2546583850931677,0.36585365853658536,0.39473684210526316,0.4,0.049689440993788817,0.625,0.625,1.0,0.2546583850931677,0.34146341463414637,0.35,0.5,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,1.0,1.0,0.1694915254237288,0.5,0.05084745762711865,0.6666666666666666,0.3220338983050847,0.47368421052631576,0.515527950310559,0.35,0.4731937499999999,0.5157937499999999,0.4449310344827586,0.1958762886597938,0.2302158273381295,0.10909090909090909,0.06167400881057269,0.4008810572687225,9.94375,26.257142857142856,0.26608187134502925,,,,,,,,,,,,,,,,,,,,,,,,True,,
1499,1610612755,Tony Battie,Tony Battie,1499,PHI,572.0,10,2,18,20,9.0,10,2.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,5.0,,5.0,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.761904761904762,1.0,0.3333333333333333,0.16666666666666666,,0.4,,0.23529411764705882,,,,,,0.25,0.125,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,
201150,1610612755,Spencer Hawes,Spencer Hawes,201150,PHI,103102.0,1718,-54,3245,3248,409.0,438,372.0,6493,128.0,213.0,42.0,80.0,13.0,23.0,52.0,142.0,75.0,176.0,1.0,7.0,1.0,,1.0,8.0,30.0,,2.0,1.0,7.0,255.0,531.0,9.0,37.0,47.0,584.0,3464,51.0,105.0,,3.0,5.0,107.0,28.0,48.0,1.0,8.0,8.0,67.0,364.0,146.0,27.0,,78.0,2.0,28.0,8.0,39.0,2.0,94.0,27.0,121.0,17.0,10.0,41.0,22.0,31.0,269.0,20.0,105.0,64.0,248.0,24.0,336.0,129.0,465.0,17.0,29.0,16.0,13.0,53.0,23.0,44.0,30.0,10.0,97.0,10.0,8.0,146.0,201.0,2.0,16.0,90.0,11.0,8.0,1.0,88.0,12.0,,46.0,,4.0,71.0,47.0,,71.0,34.0,67.0,409.0,9.0,1.0,0.7137254901960784,0.8425925925925926,1.0,0.24324324324324326,,0.125,0.2571428571428571,0.480225988700565,0.4857142857142857,0.5833333333333334,0.4727112676056338,0.4722222222222222,0.5267857142857143,0.48184818481848185,0.4692982456140351,0.5234375,0.06514084507042253,0.05405405405405406,0.07344632768361582,0.107981220657277,0.11267605633802817,,0.03333333333333333,19.087700244366008,0.5463917525773195,0.26666666666666666,0.2017900732302685,0.08359872611464968,0.19937694704049844,0.06153846153846154,0.20129032258064516,0.07906388361796332,0.10144927536231885,0.10829493087557604,0.04821802935010482,0.06097560975609756,0.18781725888324874,0.21823204419889503,0.20084566596194503,0.21161825726141079,0.06563706563706563,0.4788732394366197,0.375,0.6009389671361502,0.6736842105263158,0.625,0.25,0.36619718309859156,0.4126984126984127,0.6153846153846154,0.30985915492957744,0.42613636363636365,0.42613636363636365,0.9333333333333333,0.01232394366197183,0.14285714285714285,0.16666666666666666,1.0,0.0528169014084507,0.26666666666666666,0.27586206896551724,1.0,0.7407407407407407,0.525,0.009259259259259259,0.018518518518518517,,,0.4107142857142857,0.5652173913043478,0.017857142857142856,,0.125,0.14285714285714285,0.44014084507042256,0.2857142857142857,0.4902677876106195,0.5670000000000001,0.4881226415094339,0.07641196013289037,0.08141592920353982,,0.1832191780821918,0.11472602739726027,8.80094161958569,28.035135135135135,0.12604006163328196,0.1625,4.0,12.0,2.0,2.0,9.0,3.0,24.0,5.0,1.0,4.0,8.0,0.14285714285714285,0.046511627906976744,0.06329113924050633,0.09523809523809523,,,,,,,,True,,
201152,1610612755,Thaddeus Young,Thaddeus Young,201152,PHI,20918.0,349,-25,654,660,184.0,203,72.0,1314,50.0,71.0,13.0,17.0,13.0,16.0,12.0,31.0,8.0,26.0,,2.0,,,1.0,,1.0,,,,,70.0,128.0,,3.0,19.0,159.0,709,13.0,19.0,,,2.0,28.0,17.0,29.0,,1.0,7.0,41.0,94.0,46.0,,,22.0,,1.0,,8.0,,14.0,3.0,17.0,2.0,1.0,10.0,1.0,3.0,37.0,3.0,17.0,9.0,27.0,4.0,40.0,20.0,60.0,2.0,14.0,9.0,5.0,10.0,2.0,7.0,8.0,2.0,17.0,,2.0,16.0,34.0,1.0,3.0,22.0,1.0,1.0,,27.0,3.0,,12.0,,3.0,5.0,4.0,,5.0,2.0,41.0,184.0,3.0,2.0,0.6714285714285714,0.7966101694915254,,,,,,0.546875,0.6842105263157895,0.5862068965517241,0.5343511450381679,0.6842105263157895,0.5666666666666667,0.5559440559440559,0.7,0.6029411764705882,0.022900763358778626,,0.0625,0.09859154929577464,0.03225806451612903,,,21.798365122615806,0.5882352941176471,0.2,0.11739130434782609,0.06719367588932806,0.10714285714285714,0.047619047619047616,0.11464968152866242,0.06329113924050633,0.08860759493670886,0.0875,0.031914893617021274,0.04081632653061224,0.14285714285714285,0.15942028985507245,0.06593406593406594,0.1267605633802817,0.038461538461538464,0.4,0.5419847328244275,0.704225352112676,0.78125,0.64,0.2366412213740458,0.3870967741935484,0.4,0.8333333333333334,0.1984732824427481,0.3076923076923077,0.3076923076923077,0.625,0.015267175572519083,,,,0.007633587786259542,,,,0.8947368421052632,0.7647058823529411,,,,,0.5333333333333333,0.8125,0.03333333333333333,,,,0.5648854961832062,,0.5332477099236641,0.5618222222222223,0.5067333333333334,0.08571428571428572,0.08759124087591241,,0.1761006289308176,0.2578616352201258,6.480468749999998,24.46666666666667,0.28134556574923547,,,1.0,1.0,,2.0,2.0,1.0,,,,1.0,,,0.07142857142857142,0.15384615384615385,,,,,,,,True,,
2738,1610612755,Andre Iguodala,Andre Iguodala,2738,PHI,77528.0,1292,1,2430,2424,283.0,304,289.0,4854,80.0,116.0,7.0,16.0,9.0,14.0,11.0,40.0,57.0,155.0,11.0,23.0,,,,26.0,71.0,5.0,6.0,2.0,13.0,148.0,311.0,37.0,94.0,80.0,487.0,2558,10.0,29.0,5.0,6.0,7.0,42.0,14.0,37.0,2.0,13.0,20.0,54.0,146.0,150.0,93.0,18.0,10.0,2.0,69.0,26.0,13.0,,173.0,61.0,234.0,38.0,23.0,70.0,46.0,57.0,529.0,2.0,33.0,34.0,99.0,9.0,142.0,35.0,177.0,5.0,51.0,36.0,15.0,43.0,25.0,31.0,18.0,5.0,74.0,5.0,6.0,32.0,54.0,1.0,1.0,109.0,3.0,4.0,1.0,126.0,12.0,,60.0,,9.0,13.0,7.0,2.0,13.0,8.0,54.0,283.0,2.0,7.0,0.49324324324324326,0.5104895104895105,0.8378378378378378,0.39361702127659576,0.8333333333333334,0.15384615384615385,0.40217391304347827,0.4758842443729904,0.3448275862068966,0.3783783783783784,0.5024691358024691,0.5,0.34,0.5270562770562771,0.525,0.421875,0.23209876543209876,,0.04180064308681672,0.06896551724137931,0.125,,,19.25152932709608,0.581081081081081,0.14754098360655737,0.10454065469904963,0.034482758620689655,0.14847161572052403,0.007782101167315175,0.1130952380952381,0.028830313014827018,0.038461538461538464,0.051829268292682924,0.016260162601626018,0.005208333333333333,0.04416403785488959,0.1,0.16111111111111112,0.13609467455621302,0.024752475247524754,0.6153846153846154,0.28641975308641976,0.6896551724137931,0.7407407407407407,0.6625,0.09876543209876543,0.275,0.3142857142857143,0.2727272727272727,0.38271604938271603,0.36774193548387096,0.36774193548387096,0.2982456140350877,0.056790123456790124,0.4782608695652174,0.4782608695652174,1.0,0.17530864197530865,0.36619718309859156,0.36619718309859156,0.7692307692307693,0.45714285714285713,0.4375,,0.17142857142857143,0.8333333333333334,0.8,0.28,0.6428571428571429,,,0.26,0.15384615384615385,0.5185185185185185,0.37681159420289856,0.5164924317617866,0.5162121212121212,0.46171224489795915,0.13245033112582782,0.1671309192200557,,0.08624229979466119,0.11088295687885011,10.822508038585209,26.008510638297874,0.11646090534979424,0.18333333333333332,,11.0,6.0,,3.0,,4.0,2.0,,2.0,,,,0.015384615384615385,0.2857142857142857,1.0,,,,,,,True,,
201975,1610612755,Jodie Meeks,Jodie Meeks,201975,PHI,67188.0,1120,38,2113,2111,232.0,217,231.0,4224,36.0,65.0,3.0,5.0,3.0,5.0,7.0,30.0,17.0,47.0,30.0,57.0,2.0,3.0,5.0,62.0,158.0,5.0,13.0,7.0,17.0,60.0,142.0,92.0,215.0,68.0,464.0,2243,6.0,13.0,7.0,15.0,2.0,35.0,4.0,14.0,10.0,22.0,5.0,43.0,88.0,32.0,273.0,3.0,4.0,,158.0,62.0,20.0,3.0,33.0,10.0,43.0,8.0,2.0,12.0,5.0,16.0,96.0,,9.0,18.0,61.0,2.0,81.0,9.0,90.0,2.0,27.0,17.0,10.0,16.0,8.0,14.0,8.0,1.0,30.0,3.0,1.0,26.0,47.0,,,54.0,1.0,11.0,,77.0,4.0,16.0,28.0,1.0,3.0,3.0,2.0,,3.0,3.0,43.0,232.0,2.0,,0.7333333333333333,0.7586206896551724,0.9891304347826086,0.42790697674418604,0.4666666666666667,0.45454545454545453,0.42790697674418604,0.4225352112676056,0.46153846153846156,0.2857142857142857,0.5546218487394958,0.5892857142857143,0.5277777777777778,0.5857142857142857,0.603448275862069,0.5526315789473685,0.6022408963585434,0.013953488372093023,0.14084507042253522,0.16923076923076924,0.23333333333333334,0.0425531914893617,0.0189873417721519,17.323825503355703,0.5333333333333333,0.03333333333333333,0.07568238213399504,0.011553273427471117,0.09278350515463918,,0.079,0.008866995073891626,0.027149321266968326,0.011111111111111112,,,0.07480314960629922,0.05063291139240506,0.09523809523809523,0.08571428571428572,0.011111111111111112,1.0,0.18207282913165265,0.5538461538461539,0.6666666666666666,0.6666666666666666,0.08403361344537816,0.23333333333333334,0.30434782608695654,0.7142857142857143,0.13165266106442577,0.3617021276595745,0.37777777777777777,0.8823529411764706,0.15966386554621848,0.5263157894736842,0.5263157894736842,1.0,0.4425770308123249,0.3924050632911392,0.4,0.9838709677419355,0.17857142857142858,0.6,0.07142857142857142,0.4642857142857143,0.38461538461538464,1.0,0.1388888888888889,0.6,0.1388888888888889,0.6,0.4722222222222222,0.4117647058823529,0.7843137254901961,0.3924050632911392,0.5608515406162465,0.5515739130434782,0.5225708333333333,0.07591623036649214,0.1686746987951807,0.004629629629629629,0.07543103448275862,0.09267241379310345,8.561971830985915,24.904651162790703,0.10979649787032655,0.1111111111111111,,4.0,5.0,3.0,1.0,2.0,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,True,,
202323,1610612755,Evan Turner,Evan Turner,202323,PHI,28799.0,480,-85,920,921,151.0,163,109.0,1841,16.0,29.0,4.0,5.0,3.0,5.0,14.0,42.0,27.0,65.0,2.0,3.0,1.0,,,4.0,7.0,,,,2.0,57.0,136.0,6.0,10.0,18.0,150.0,1008,11.0,20.0,,1.0,,22.0,10.0,24.0,,2.0,2.0,22.0,60.0,54.0,15.0,3.0,4.0,1.0,6.0,4.0,13.0,,31.0,13.0,44.0,7.0,6.0,16.0,6.0,9.0,101.0,,11.0,10.0,50.0,4.0,64.0,11.0,75.0,1.0,11.0,4.0,7.0,17.0,8.0,4.0,9.0,,21.0,2.0,3.0,27.0,39.0,1.0,,25.0,1.0,3.0,1.0,23.0,2.0,3.0,10.0,,1.0,5.0,2.0,2.0,6.0,2.0,22.0,151.0,4.0,1.0,0.5263157894736842,0.5454545454545454,0.8333333333333334,0.6,,,0.6666666666666666,0.41911764705882354,0.55,0.4166666666666667,0.4520547945205479,0.5238095238095238,0.38461538461538464,0.4774193548387097,0.5238095238095238,0.4074074074074074,0.0684931506849315,,0.09558823529411764,0.20689655172413793,0.16666666666666666,,,16.826003824091778,0.8095238095238095,0.18181818181818182,0.15873015873015872,0.028720626631853787,0.10101010101010101,,0.14492753623188406,0.024608501118568233,0.07446808510638298,0.014705882352941176,0.013071895424836602,,0.12631578947368421,0.16129032258064516,0.18110236220472442,0.10666666666666667,0.014492753623188406,0.3333333333333333,0.19863013698630136,0.5517241379310345,0.6956521739130435,0.3125,0.2876712328767123,0.3333333333333333,0.4,0.35714285714285715,0.4452054794520548,0.4153846153846154,0.4153846153846154,0.7407407407407407,0.02054794520547945,0.6666666666666666,0.6666666666666666,1.0,0.04794520547945205,0.5714285714285714,0.5714285714285714,0.75,0.23809523809523808,0.8,0.047619047619047616,,,,0.19230769230769232,0.6,,,0.07692307692307693,,0.2671232876712329,0.6666666666666666,0.45890000000000014,0.47433749999999997,0.43074399999999996,0.06493506493506493,0.06944444444444445,,0.14666666666666667,0.14666666666666667,11.831617647058822,28.75,0.1641304347826087,0.08333333333333333,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,True,,
2804,1610612755,Andres Nocioni,Andres Nocioni,2804,PHI,19241.0,321,-59,623,629,92.0,78,63.0,1252,21.0,33.0,3.0,4.0,1.0,2.0,5.0,12.0,9.0,20.0,4.0,9.0,1.0,2.0,2.0,6.0,24.0,1.0,4.0,,3.0,35.0,65.0,10.0,33.0,21.0,121.0,668,6.0,7.0,1.0,5.0,1.0,16.0,4.0,6.0,2.0,5.0,9.0,23.0,46.0,24.0,30.0,,6.0,,24.0,6.0,3.0,,11.0,1.0,12.0,1.0,,3.0,2.0,6.0,25.0,,5.0,15.0,33.0,8.0,56.0,5.0,61.0,,5.0,4.0,1.0,4.0,2.0,9.0,2.0,4.0,13.0,1.0,1.0,17.0,27.0,2.0,1.0,28.0,2.0,5.0,1.0,27.0,5.0,,14.0,,2.0,4.0,3.0,,5.0,3.0,23.0,92.0,1.0,1.0,0.6571428571428571,0.71875,1.0,0.30303030303030304,0.2,0.4,0.30303030303030304,0.5384615384615384,0.8571428571428571,0.6666666666666666,0.5102040816326531,0.625,0.6363636363636364,0.555045871559633,0.6666666666666666,0.7666666666666667,0.336734693877551,,0.046153846153846156,,0.25,,,17.579250720461093,0.3076923076923077,0.47058823529411764,0.14537444933920704,0.02145922746781116,0.23809523809523808,,0.16551724137931034,0.017064846416382253,0.0410958904109589,,0.022727272727272728,,0.06756756756756757,0.14925373134328357,0.20930232558139536,0.2549019607843137,,0.6,0.336734693877551,0.6363636363636364,0.6363636363636364,0.6190476190476191,0.12244897959183673,0.4166666666666667,0.5555555555555556,0.6,0.20408163265306123,0.45,0.45,0.7777777777777778,0.09183673469387756,0.4444444444444444,0.4444444444444444,1.0,0.24489795918367346,0.25,0.25,1.0,0.3333333333333333,0.75,0.08333333333333333,0.3333333333333333,0.25,1.0,0.18181818181818182,0.5,0.18181818181818182,1.0,0.2727272727272727,,0.673469387755102,0.25,0.5438209183673469,0.5414454545454546,0.5197772727272727,0.1308411214953271,0.1891891891891892,,0.1322314049586777,0.19008264462809918,8.215384615384613,24.80606060606061,0.1476725521669342,0.16666666666666666,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,0.3333333333333333,,,,,1.0,1.0,,True,,
2574,1610612755,Jason Kapono,Jason Kapono,2574,PHI,2270.0,38,-12,72,70,4.0,7,10.0,142,1.0,2.0,,1.0,,,,2.0,1.0,4.0,,2.0,,,,,,,,,,2.0,8.0,,2.0,,4.0,75,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,2.0,,2.0,,,1.0,1.0,,4.0,,1.0,1.0,3.0,,4.0,1.0,5.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,4.0,,,0.5,0.5,,,,,,0.25,,,0.2,,,0.2,,,0.2,,0.25,0.5,,0.25,,13.414634146341465,1.0,,0.14285714285714285,0.03125,0.08333333333333333,,0.12121212121212122,0.02702702702702703,,,0.09090909090909091,,,0.25,0.1111111111111111,,,,0.2,0.5,1.0,,0.2,,,,0.4,0.25,0.3333333333333333,1.0,0.2,,,,,,,,1.0,,,,,,,,,,,,0.4,,0.491535,0.6823,,,,,,,13.5875,23.200000000000003,0.05555555555555555,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,True,,
1882,1610612755,Elton Brand,Elton Brand,1882,PHI,82458.0,1374,-46,2589,2586,222.0,244,302.0,5175,63.0,111.0,23.0,40.0,4.0,8.0,120.0,259.0,65.0,144.0,,,,,,,,,,,,248.0,514.0,,,100.0,596.0,2782,46.0,88.0,,,22.0,114.0,10.0,35.0,,,14.0,34.0,354.0,142.0,,,42.0,,,,24.0,,42.0,15.0,57.0,12.0,3.0,19.0,8.0,15.0,129.0,27.0,90.0,36.0,163.0,20.0,219.0,118.0,337.0,12.0,47.0,31.0,16.0,30.0,4.0,25.0,26.0,4.0,55.0,3.0,6.0,56.0,100.0,1.0,7.0,111.0,9.0,3.0,1.0,133.0,13.0,,67.0,,6.0,50.0,35.0,1.0,51.0,30.0,34.0,222.0,1.0,5.0,0.7137096774193549,0.7797356828193832,,,,,,0.48249027237354086,0.5227272727272727,0.2857142857142857,0.48249027237354086,0.5227272727272727,0.2857142857142857,0.519163763066202,0.57,0.3953488372093023,,,0.04669260700389105,0.12612612612612611,0.03861003861003861,,,21.329264157341473,0.5454545454545454,0.29850746268656714,0.1626746506986028,0.09,0.15319148936170213,0.10112359550561797,0.1608730800323363,0.09234411996842937,0.13284132841328414,0.06534090909090909,0.08222811671087533,0.115,0.17325227963525835,0.19931271477663232,0.1256544502617801,0.14450867052023122,0.049586776859504134,0.5882352941176471,0.21595330739299612,0.5675675675675675,0.6494845360824743,0.6825396825396826,0.5038910505836576,0.46332046332046334,0.4819277108433735,0.6666666666666666,0.2801556420233463,0.4513888888888889,0.4513888888888889,0.8307692307692308,,,,,,,,,0.45454545454545453,0.575,,,,,0.22857142857142856,0.5,,,,,0.21595330739299612,,0.4519163424124514,0.5129333333333335,0.4402857142857143,0.11795774647887323,0.11795774647887323,,0.1912751677852349,0.05704697986577181,9.846692607003888,,0.08574739281575898,0.1774193548387097,1.0,4.0,2.0,,4.0,1.0,14.0,,,7.0,5.0,,0.013888888888888888,0.05970149253731343,0.21739130434782608,,,,,1.0,1.0,,True,,
