EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,SecondChanceFtPoints,PenaltyFG3A,PenaltyFtPoints,PtsPutbacks,NonHeaveArc3FGA,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,FG3APct,LiveBallTurnoverPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Corner3Assists,OffThreePtRebounds,BadPassSteals,Offensive Fouls,2pt And 1 Free Throw Trips,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,FTDefRebounds,BadPassTurnovers,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,DefFTReboundPct,SecondChanceAtRimPctAssisted,PtsUnassisted3s,Arc3Assists,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,DefensiveGoaltends,OffCorner3ReboundPct,BadPassOutOfBoundsTurnovers,PenaltyArc3FGM,PenaltyArc3Accuracy,HeaveAttempts,BlockingFoulsDrawn,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,SecondChanceCorner3Frequency,on,FTOffRebounds,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3PctAssisted,Blocked3s,BlockedCorner3,Corner3PctBlocked,BlockedArc3
101236,1610612745,Chuck Hayes,Chuck Hayes,101236,HOU,835.0,14,-1,25,25,6.0,2.0,6.0,50,1.0,3.0,1.0,2.0,2.0,3.0,5.0,6.0,30,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,6.0,0.6666666666666666,0.6666666666666666,0.6,0.5,1.0,0.6,0.5,1.0,0.6,0.5,1.0,14.285714285714286,0.25,0.0769230769230769,0.1666666666666666,0.2142857142857142,0.0588235294117647,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.6,0.3333333333333333,0.3333333333333333,1.0,0.4,1.0,1.0,0.5,0.5,0.6,0.48068,0.4547,0.4017,0.3333333333333333,0.3333333333333333,4.18,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
200768,1610612745,Kyle Lowry,Kyle Lowry,200768,HOU,2550.0,42,7,82,88,49.0,34.0,13.0,170,4.0,5.0,1.0,2.0,5.0,6.0,14.0,22.0,79,1.0,1.0,4.0,4.0,7.0,15.0,2.0,10.0,7.0,7.0,4.0,14.0,3.0,1.0,1.0,2.0,3.0,5.0,15.0,49.0,0.1666666666666666,0.2,0.4285714285714285,1.0,0.5714285714285714,0.3157894736842105,1.0,0.3333333333333333,0.4375,1.0,0.4666666666666667,29.166666666666668,0.037037037037037,0.1111111111111111,0.0714285714285714,0.048780487804878,0.0769230769230769,0.1,0.0833333333333333,,,0.2631578947368421,0.8,0.8,,0.2631578947368421,0.4,0.4,0.5,1.0,0.5263157894736842,0.4905710526315789,0.5833,0.5456208333333333,0.1818181818181818,0.6818181818181818,8.242857142857142,0.5975609756097561,1.0,3.0,4.0,4.0,5.0,5.0,5.0,10.0,2.0,5.0,7.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,10.0,1.0,1.0,11.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,0.2631578947368421,0.5,0.1428571428571428,0.1,0.2,0.1666666666666666,0.2105263157894736,0.2631578947368421,1.0,0.3333333333333333,0.75,0.4166666666666667,0.0952380952380952,0.125,25.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201584,1610612745,Courtney Lee,Courtney Lee,201584,HOU,7247.0,121,24,223,229,78.0,50.0,38.0,452,5.0,11.0,4.0,3.0,10.0,11.0,31.0,55.0,233,2.0,7.0,9.0,4.0,6.0,20.0,8.0,14.0,5.0,8.0,1.0,19.0,4.0,8.0,12.0,20.0,5.0,25.0,20.0,78.0,0.3636363636363636,0.4,0.3548387096774194,0.2857142857142857,0.6666666666666666,0.4047619047619047,0.3888888888888889,0.6111111111111112,0.5096153846153846,0.45,0.7307692307692307,20.44609665427509,0.1463414634146341,0.0454545454545454,0.2424242424242424,0.1739130434782608,0.0416666666666666,,0.1034482758620689,0.21875,0.1818181818181818,0.2619047619047619,0.4545454545454545,0.5555555555555556,0.4,0.238095238095238,0.3,0.3,0.3333333333333333,0.4444444444444444,0.5238095238095238,0.4706476190476191,0.491992857142857,0.5561666666666666,0.1636363636363636,0.3636363636363636,9.86774193548387,0.3497757847533632,2.0,3.0,5.0,10.0,8.0,1.0,11.0,21.0,2.0,3.0,9.0,2.0,8.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,,11.0,,,23.0,2.0,9.0,2.0,2.0,2.0,2.0,1.0,0.2619047619047619,0.3333333333333333,0.074074074074074,0.0769230769230769,0.3636363636363636,0.04,0.238095238095238,0.1904761904761904,0.5,0.5555555555555556,0.6,0.1111111111111111,0.18,0.2307692307692307,24.43636363636364,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,12.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3636363636363636,0.5,0.3333333333333333,0.3636363636363636,0.064516129032258,0.1818181818181818,0.03125,0.0357142857142857,0.0952380952380952,0.5,0.3,0.3,0.3333333333333333,0.0714285714285714,0.6666666666666666,0.6666666666666666,1.0,0.25,0.25,1.0,0.2222222222222222,0.5,1.0,0.2222222222222222,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201978,1610612745,Chase Budinger,Chase Budinger,201978,HOU,5513.0,92,22,176,176,46.0,39.0,30.0,352,5.0,8.0,5.0,1.0,2.0,12.0,17.0,40.0,182,4.0,6.0,10.0,2.0,2.0,4.0,16.0,8.0,4.0,6.0,1.0,14.0,2.0,3.0,5.0,9.0,3.0,12.0,4.0,46.0,0.6666666666666666,0.6666666666666666,0.7058823529411765,0.6666666666666666,1.0,0.5689655172413793,0.5714285714285714,0.4,0.5882352941176471,0.5555555555555556,0.4,18.30985915492958,0.0769230769230769,0.028169014084507,0.1111111111111111,0.0869565217391304,0.0319148936170212,0.0344827586206896,0.0416666666666666,0.0416666666666666,0.1764705882352941,0.2758620689655172,0.625,0.7142857142857143,0.8,0.0689655172413793,0.5,1.0,1.0,0.7142857142857143,0.6896551724137931,0.5337396551724138,0.5400625,0.5616000000000001,0.25,0.1,8.376470588235295,0.2613636363636363,4.0,1.0,1.0,7.0,9.0,2.0,12.0,7.0,2.0,3.0,,,9.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,,,5.0,1.0,3.0,7.0,1.0,9.0,,,10.0,,5.0,,2.0,1.0,2.0,,0.4137931034482758,0.8,0.0454545454545454,,,0.0909090909090909,0.2413793103448276,0.3103448275862069,0.8,0.2,1.0,0.4,0.1470588235294117,0.2272727272727272,24.641666666666666,6.0,1.0,3.0,,1.0,2.0,,1.0,3.0,,1.0,,9.0,2.0,2.0,2.0,2.0,1.0,2.0,,,1.0,1.0,0.25,,,0.25,0.1176470588235294,0.125,0.0434782608695652,0.05,0.1764705882352941,0.5,0.8571428571428571,0.8571428571428571,0.5,0.1034482758620689,0.3333333333333333,0.3333333333333333,1.0,0.2222222222222222,0.2222222222222222,1.0,0.1428571428571428,,,0.2,,0.2222222222222222,1.0,4.0,1.0,1.0,0.5,0.2,0.75,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2407,1610612745,Jared Jeffries,Jared Jeffries,2407,HOU,8273.0,138,17,257,266,99.0,80.0,44.0,523,10.0,20.0,10.0,,6.0,10.0,30.0,27.0,263,5.0,10.0,15.0,2.0,5.0,7.0,4.0,16.0,10.0,11.0,3.0,23.0,16.0,3.0,11.0,15.0,20.0,35.0,7.0,99.0,0.2,0.4,0.3333333333333333,0.5,0.4,0.3194444444444444,0.5416666666666666,0.3333333333333333,0.3375,0.5357142857142857,0.4375,14.23948220064725,0.1134020618556701,0.1538461538461538,0.075,0.1021897810218978,0.1428571428571428,0.125,0.1111111111111111,0.1282051282051282,0.0769230769230769,0.5555555555555556,0.5,0.625,0.2,0.1666666666666666,,,,0.8333333333333334,0.7222222222222222,0.5241305555555554,0.5942136363636364,0.534425,0.5555555555555556,0.2592592592592592,5.383333333333334,0.3852140077821012,5.0,2.0,4.0,4.0,6.0,1.0,6.0,4.0,2.0,1.0,3.0,10.0,6.0,1.0,6.0,4.0,7.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,12.0,21.0,,10.0,2.0,,10.0,,6.0,,3.0,2.0,3.0,,0.1666666666666666,0.75,0.2666666666666666,0.088235294117647,0.0714285714285714,0.1904761904761904,0.1111111111111111,0.1666666666666666,0.5,0.6666666666666666,0.5,0.1666666666666666,0.15,0.1764705882352941,25.183333333333334,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,,,1.0,4.0,1.0,,4.0,2.0,,2.0,2.0,,0.1666666666666666,0.5,,0.1666666666666666,0.1333333333333333,0.2,0.1111111111111111,0.09375,0.0909090909090909,0.6666666666666666,,,,,,,,0.1666666666666666,0.1666666666666666,,0.1666666666666666,0.5,,,,0.1666666666666666,1.0,1.0,1.0,2.0,,0.1428571428571428,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.25,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2203,1610612745,Shane Battier,Shane Battier,2203,HOU,1615.0,27,2,48,54,34.0,19.0,7.0,102,2.0,2.0,,1.0,1.0,3.0,3.0,8.0,46,,,1.0,1.0,1.0,4.0,4.0,2.0,,,,,,,1.0,1.0,,1.0,4.0,34.0,0.6666666666666666,0.6666666666666666,1.0,,1.0,0.75,,1.0,0.6666666666666666,0.5,0.6666666666666666,12.727272727272728,0.0625,,,0.0357142857142857,,,,0.1428571428571428,,0.5,1.0,1.0,1.0,0.25,1.0,1.0,,,0.75,0.55075,,0.6636,0.125,0.5,5.633333333333333,0.7083333333333334,,1.0,1.0,,1.0,,1.0,2.0,1.0,,2.0,,1.0,,,,1.0,,,1.0,,,1.0,1.0,2.0,3.0,,3.0,1.0,,5.0,,2.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,0.25,,1.0,1.0,,0.4,0.5,25.1,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2755,1610612745,Kevin Martin,Kevin Martin,2755,HOU,797.0,13,-11,26,31,20.0,18.0,3.0,57,3.0,3.0,1.0,,1.0,3.0,5.0,15.0,33,1.0,2.0,2.0,3.0,3.0,15.0,4.0,2.0,,,,,,2.0,2.0,4.0,,4.0,15.0,20.0,0.6666666666666666,0.6666666666666666,0.6,0.5,1.0,0.75,0.5,1.125,0.8125,0.5,1.0833333333333333,32.25806451612903,0.25,,0.3333333333333333,0.2857142857142857,,,,0.25,0.25,0.5,1.0,1.0,0.6666666666666666,0.1666666666666666,,,,0.5,0.6666666666666666,0.4931333333333333,0.54345,0.537125,0.1333333333333333,1.0,5.54,0.7692307692307693,1.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,,1.0,6.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,,,,2.0,,,6.0,2.0,2.0,,,,,,0.1666666666666666,0.5,,,0.5,,0.1666666666666666,0.1666666666666666,1.0,0.75,1.0,0.25,0.25,0.2857142857142857,26.1,,,,,,1.0,,,1.0,,,1.0,3.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,0.2,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201166,1610612745,Aaron Brooks,Aaron Brooks,201166,HOU,2445.0,41,-13,70,77,23.0,22.0,14.0,147,,2.0,,,2.0,3.0,9.0,10.0,85,,1.0,2.0,,1.0,1.0,2.0,4.0,2.0,4.0,2.0,10.0,,,,,,,1.0,23.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.1764705882352941,,,0.2222222222222222,0.5,,20.0,,,,,,,,,,0.1176470588235294,,,,0.1176470588235294,,,,,0.5882352941176471,0.481390625,0.4372,0.51091,0.2,0.1,13.3,0.3285714285714285,,,1.0,5.0,8.0,5.0,8.0,4.0,2.0,5.0,1.0,,7.0,,,,,,,,,,,,1.0,3.0,,3.0,,,4.0,2.0,1.0,,1.0,1.0,1.0,,0.4705882352941176,,,,,,0.2941176470588235,0.4705882352941176,,0.1666666666666666,,0.8333333333333334,0.0555555555555555,0.1,28.65,3.0,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,0.1111111111111111,0.5,,,,1.0,0.6,0.6,0.3333333333333333,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,
202397,1610612745,Ish Smith,Ish Smith,202397,HOU,1571.0,26,-5,48,47,18.0,16.0,10.0,95,1.0,4.0,,1.0,4.0,2.0,10.0,4.0,55,,,,2.0,5.0,4.0,,4.0,4.0,4.0,2.0,8.0,,,2.0,2.0,,2.0,4.0,18.0,,,0.2,,0.4,0.1818181818181818,,0.3333333333333333,0.1818181818181818,,0.3333333333333333,22.41379310344828,0.1052631578947368,,,0.0909090909090909,,,,0.1428571428571428,,0.3636363636363636,0.25,0.25,,0.3636363636363636,0.25,0.25,,,0.4545454545454545,0.4657409090909091,,0.4741416666666667,,1.0,7.44,0.375,,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,,,,1.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,0.0909090909090909,0.5,,,,,0.1818181818181818,0.0909090909090909,,0.3333333333333333,0.5,0.1666666666666666,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1802,1610612745,Brad Miller,Brad Miller,1802,HOU,512.0,9,-7,17,18,,,1.0,35,2.0,3.0,,,,2.0,4.0,4.0,22,,,,,,,2.0,2.0,,,,,,,2.0,2.0,,2.0,,,0.5,0.5,0.5,,,0.5,,,0.5,,,21.05263157894737,0.5,,,0.5,,,1.0,,,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.75,0.429875,,,,,6.675,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
