EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefensiveGoaltends,3SecondViolations,Fg3aBlocked,Travels,BlockingFoulsDrawn,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Blocked3s,BlockedCorner3,OffensiveGoaltends,BlockedArc3,HeaveMakes,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,on,3pt And 1 Free Throw Trips
101111,1610612765,Charlie Villanueva,Charlie Villanueva,101111,DET,43777.0,730,-90,1359,1345,331,459,178,2704,35,59,12.0,17.0,5.0,11.0,32.0,78,17.0,42,12.0,34.0,2.0,8.0,1.0,7.0,38.0,102.0,3.0,7.0,11.0,28.0,84,179,50.0,136.0,32,350,1531,14,23,5.0,15.0,11.0,54,10.0,29,12.0,35.0,13.0,69.0,104,64.0,144.0,6.0,14.0,3.0,99.0,38.0,4,21,2.0,23,1.0,1.0,13.0,3.0,5,48,4.0,17,1.0,23,67.0,16.0,106,22,128,6.0,17,11,6.0,16,4.0,7.0,12,1.0,9,1.0,28,5.0,8.0,52,4.0,90,3.0,6.0,3.0,39,4.0,4.0,2.0,45,4.0,1.0,18,6.0,17.0,7.0,1.0,9.0,17.0,8.0,1.0,69.0,331,12,5.0,0.6190476190476191,0.6753246753246753,0.96,0.36764705882352944,0.3333333333333333,0.34285714285714286,0.37593984962406013,0.4692737430167598,0.6086956521739131,0.3448275862068966,0.5047619047619047,0.5657894736842105,0.4375,0.5208955223880597,0.627906976744186,0.4791666666666667,0.43174603174603177,0.0223463687150838,0.01694915254237288,0.038461538461538464,23.23943661971831,0.5714285714285714,0.3333333333333333,0.024390243902439025,0.16183574879227053,0.034552845528455285,0.13690476190476192,0.023255813953488372,0.15463917525773196,0.03162650602409638,0.04580152671755725,0.03888888888888889,0.022099447513812154,0.008695652173913044,0.05263157894736842,0.11450381679389313,0.2682926829268293,0.11875,0.14782608695652175,0.11320754716981132,0.03508771929824561,0.47058823529411764,0.1873015873015873,0.5932203389830508,0.603448275862069,0.6857142857142857,0.24761904761904763,0.41025641025641024,0.4266666666666667,0.53125,0.13333333333333333,0.40476190476190477,0.40476190476190477,0.6470588235294118,0.10793650793650794,0.35294117647058826,0.35294117647058826,1.0,0.3238095238095238,0.37254901960784315,0.37254901960784315,0.9473684210526315,0.4473684210526316,0.7058823529411765,0.4166666666666667,0.21052631578947367,0.25,1.0,0.18421052631578946,0.42857142857142855,1.0,0.171875,0.45454545454545453,0.109375,0.14285714285714285,0.4375,0.39285714285714285,0.6190476190476191,0.3838383838383838,0.4966792604501607,0.5347724137931034,0.476245081967213,0.0547112462006079,0.09326424870466321,0.15428571428571428,0.19714285714285715,8.356983240223464,25.925,0.24356144223693893,,,,,,,,,,,,,,,,,,True,
101131,1610612765,Jason Maxiell,Jason Maxiell,101131,DET,29831.0,497,-51,899,902,196,271,110,1801,30,45,8.0,16.0,6.0,10.0,11.0,28,8.0,18,,,,,,,,,,,,,49,91,,,25,123,1021,8,23,,,8.0,24,9.0,15,,,13.0,31.0,68,30.0,,,16.0,,,,10,8,1.0,9,,1.0,4.0,,4,19,5.0,31,,10,33.0,3.0,46,36,82,1.0,13,7,6.0,10,1.0,4.0,11,3.0,6,,21,5.0,3.0,25,1.0,56,1.0,6.0,5.0,43,2.0,7.0,1.0,51,1.0,,20,6.0,13.0,6.0,,7.0,13.0,5.0,,31.0,196,12,5.0,0.6938775510204082,0.8292682926829268,,,,,,0.5384615384615384,0.34782608695652173,0.6,0.5384615384615384,0.34782608695652173,0.6,0.5301724137931034,0.42857142857142855,0.6458333333333334,,0.10989010989010989,0.13333333333333333,0.14285714285714285,13.262342691190707,0.47619047619047616,0.13636363636363635,,0.10576923076923077,0.08857142857142856,0.09174311926605505,0.07352941176470588,0.1021377672209026,0.0861244019138756,0.08571428571428572,0.07142857142857142,0.1038961038961039,0.08108108108108109,0.06451612903225806,0.13131313131313133,0.08235294117647059,0.1015625,0.09210526315789473,0.09090909090909091,0.03125,0.38461538461538464,0.4945054945054945,0.6666666666666666,0.7692307692307693,0.6333333333333333,0.3076923076923077,0.39285714285714285,0.4583333333333333,0.7272727272727273,0.1978021978021978,0.4444444444444444,0.4444444444444444,0.875,,,,,,,,,0.6956521739130435,0.5,,,,,,,,0.6666666666666666,0.6,,,,,0.4945054945054945,,0.5292208791208791,0.530985,0.5655333333333333,0.18181818181818182,0.18181818181818182,0.1951219512195122,0.25203252032520324,6.531868131868132,,0.21802002224694106,2.0,1.0,,,,,,,,,,,,,,,,True,
101198,1610612765,Will Bynum,Will Bynum,101198,DET,20645.0,344,-20,630,645,197,251,74,1275,36,60,2.0,4.0,12.0,20.0,7.0,21,17.0,30,2.0,5.0,,,,2.0,7.0,18.0,,1.0,3.0,6.0,60,111,9.0,23.0,38,185,735,4,9,,1.0,5.0,13,19.0,35,3.0,8.0,19.0,66.0,16,104.0,27.0,,4.0,3.0,15.0,7.0,8,34,13.0,47,8.0,5.0,17.0,3.0,14,107,1.0,2,,8,7.0,,15,3,18,1.0,15,6,9.0,11,7.0,4.0,10,,7,,21,2.0,5.0,6,4.0,26,2.0,1.0,,37,,,4.0,49,6.0,3.0,18,8.0,1.0,1.0,,,1.0,,,64.0,195,6,7.0,0.13333333333333333,0.13793103448275862,1.0,0.391304347826087,,0.375,0.45,0.5405405405405406,0.4444444444444444,0.5428571428571428,0.5485074626865671,0.4,0.5465116279069767,0.5974025974025974,0.5,0.6132075471698113,0.17164179104477612,0.07207207207207207,0.08333333333333333,0.09523809523809523,24.33936022253129,0.5238095238095238,,,0.037037037037037035,0.00904977375565611,0.10126582278481013,0.014492753623188406,0.055970149253731345,0.010344827586206896,0.014084507042253521,0.013513513513513514,,,0.03333333333333333,0.03333333333333333,0.022727272727272728,0.047058823529411764,0.09259259259259259,0.12,0.018867924528301886,,0.44776119402985076,0.6,0.6545454545454545,0.1388888888888889,0.15671641791044777,0.3333333333333333,0.3684210526315789,0.14285714285714285,0.22388059701492538,0.5666666666666667,0.5862068965517241,0.11764705882352941,0.03731343283582089,0.4,0.4,1.0,0.13432835820895522,0.3888888888888889,0.4117647058823529,1.0,0.4,0.5,,,,,0.1,,,0.46511627906976744,0.6,0.046511627906976744,,0.13953488372093023,0.5,0.6194029850746269,0.4666666666666667,0.5594381679389314,0.49695,0.5569912499999999,0.1232876712328767,0.14634146341463414,0.07027027027027027,0.3567567567567568,6.857657657657656,28.060869565217395,0.3126984126984127,,,1.0,1.0,1.0,0.043478260869565216,0.03333333333333333,0.05555555555555555,,,,,,,,,,True,
1503,1610612765,Tracy McGrady,Tracy McGrady,1503,DET,70804.0,1180,-54,2131,2121,429,525,290,4252,54,98,13.0,20.0,9.0,14.0,23.0,61,57.0,146,2.0,3.0,,,,,17.0,60.0,1.0,4.0,3.0,13.0,134,305,19.0,63.0,74,399,2341,18,33,1.0,4.0,3.0,42,25.0,60,3.0,13.0,19.0,78.0,90,178.0,51.0,6.0,24.0,2.0,58.0,17.0,18,150,32.0,182,14.0,18.0,91.0,19.0,40,396,4.0,34,,41,98.0,5.0,144,38,182,8.0,48,30,18.0,47,21.0,34.0,34,,13,,81,9.0,15.0,40,1.0,70,2.0,2.0,1.0,89,3.0,2.0,2.0,98,12.0,,49,6.0,22.0,15.0,3.0,4.0,23.0,11.0,,78.0,427,3,6.0,0.3358208955223881,0.36885245901639346,0.8947368421052632,0.30158730158730157,0.25,0.23076923076923078,0.3114754098360656,0.43934426229508194,0.5454545454545454,0.4166666666666667,0.44157608695652173,0.527027027027027,0.4041095890410959,0.4854014598540146,0.5384615384615384,0.4588235294117647,0.17119565217391305,0.05901639344262295,0.15306122448979592,0.03278688524590164,19.846712384025817,0.5802469135802469,0.07692307692307693,,0.14497041420118342,0.04047619047619048,0.17012448132780084,0.02,0.1515812431842966,0.03653846153846154,0.05627705627705628,0.032388663967611336,0.03591160220994475,0.02962962962962963,,0.11160714285714286,0.16336633663366337,0.16,0.1695906432748538,0.17142857142857143,0.0425531914893617,0.4782608695652174,0.266304347826087,0.5510204081632653,0.6506024096385542,0.4074074074074074,0.16576086956521738,0.3770491803278688,0.3898305084745763,0.08695652173913043,0.3967391304347826,0.3904109589041096,0.3931034482758621,0.3684210526315789,0.008152173913043478,0.6666666666666666,0.6666666666666666,1.0,0.16304347826086957,0.2833333333333333,0.288135593220339,0.8823529411764706,0.5405405405405406,0.65,0.07692307692307693,,,,0.10810810810810811,0.25,,0.1917808219178082,0.6428571428571429,,,0.1780821917808219,0.23076923076923078,0.4375,0.29310344827586204,0.48190806010928966,0.5519614285714285,0.44256917808219176,0.12098765432098765,0.14327485380116958,0.10526315789473684,0.19548872180451127,11.122622950819672,26.46349206349207,0.2013139371187236,1.0,,1.0,6.0,1.0,0.015873015873015872,0.00684931506849315,0.016666666666666666,1.0,1.0,1.0,,,,,,,True,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,153697.0,2562,-136,4675,4680,1038,1233,632,9355,173,225,32.0,40.0,37.0,50.0,108.0,279,158.0,399,29.0,75.0,3.0,5.0,8.0,19.0,5.0,23.0,1.0,8.0,,5.0,439,903,34.0,98.0,118,1098,5246,61,107,4.0,13.0,14.0,148,85.0,175,8.0,24.0,42.0,236.0,426,452.0,99.0,3.0,40.0,,23.0,5.0,28,158,57.0,215,38.0,19.0,75.0,28.0,55,487,19.0,50,9.0,66,163.0,22.0,251,78,329,14.0,30,24,6.0,57,6.0,38.0,25,4.0,19,2.0,82,8.0,18.0,57,1.0,90,2.0,5.0,4.0,156,1.0,6.0,13.0,168,19.0,,80,14.0,36.0,24.0,6.0,6.0,41.0,23.0,1.0,236.0,1034,10,13.0,0.48519362186788156,0.5083532219570406,0.9705882352941176,0.3469387755102041,0.3076923076923077,0.3333333333333333,0.3469387755102041,0.48615725359911405,0.5700934579439252,0.4857142857142857,0.48951048951048953,0.5583333333333333,0.48743718592964824,0.5102230483271375,0.5736434108527132,0.5175438596491229,0.0979020979020979,0.031007751937984496,0.06222222222222222,0.04659498207885305,21.284032376747607,0.6951219512195121,0.15827338129496402,0.05844155844155844,0.10823373173970784,0.02701242571582928,0.12290502793296089,0.04645476772616137,0.11209006363191386,0.030530973451327433,0.03468208092485549,0.03608247422680412,0.014666666666666666,0.053231939163498096,0.03424657534246575,0.06708595387840671,0.10730593607305935,0.14213197969543148,0.128,0.1111111111111111,0.028629856850715747,0.5609756097560976,0.22477522477522477,0.7688888888888888,0.8199052132701422,0.5722543352601156,0.2787212787212787,0.3870967741935484,0.40601503759398494,0.19444444444444445,0.3986013986013986,0.39598997493734334,0.3969849246231156,0.5886075949367089,0.07492507492507493,0.38666666666666666,0.38666666666666666,1.0,0.022977022977022976,0.21739130434782608,0.21739130434782608,0.8,0.3333333333333333,0.8,0.1875,0.041666666666666664,0.6,1.0,0.06666666666666667,0.125,1.0,0.25125628140703515,0.74,0.09547738693467336,0.42105263157894735,0.02512562814070352,,0.3226773226773227,0.21739130434782608,0.4726637862137863,0.49269567307692314,0.4630557788944725,0.07532956685499058,0.08298755186721991,0.13479052823315119,0.21493624772313297,10.91483942414175,23.939795918367352,0.22203208556149734,3.0,1.0,,4.0,1.0,,0.002506265664160401,,5.0,1.0,,4.0,,,,,,True,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,67883.0,1131,-69,2093,2094,489,487,273,4187,34,50,1.0,1.0,6.0,9.0,54.0,138,88.0,211,21.0,56.0,4.0,6.0,7.0,14.0,17.0,42.0,3.0,6.0,4.0,12.0,176,399,38.0,98.0,126,592,2363,11,33,7.0,12.0,10.0,53,29.0,68,11.0,26.0,61.0,152.0,252,100.0,111.0,3.0,,1.0,40.0,16.0,15,120,14.0,134,6.0,8.0,72.0,16.0,32,282,1.0,17,,19,60.0,3.0,82,18,100,4.0,25,17,8.0,42,10.0,33.0,28,4.0,9,1.0,70,1.0,15.0,28,,76,,2.0,10.0,97,3.0,2.0,5.0,145,7.0,14.0,42,24.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,152.0,489,11,24.0,0.7159090909090909,0.7159090909090909,0.9736842105263158,0.3877551020408163,0.5833333333333334,0.4230769230769231,0.38144329896907214,0.44110275689223055,0.3333333333333333,0.4264705882352941,0.4688128772635815,0.4777777777777778,0.48404255319148937,0.517921146953405,0.5196078431372549,0.5873015873015873,0.19718309859154928,0.03759398496240601,0.04,0.07971014492753623,25.961140967341876,0.6,0.04918032786885246,,0.08595988538681948,0.02045728038507822,0.08482142857142858,0.006289308176100629,0.08568329718004339,0.01818181818181818,0.014354066985645933,0.02456140350877193,0.020771513353115726,0.010869565217391304,,0.107981220657277,0.06930693069306931,0.0812720848056537,0.09803921568627451,0.056338028169014086,0.0149812734082397,0.6666666666666666,0.1006036217303823,0.68,0.7083333333333334,0.6470588235294118,0.2776659959758551,0.391304347826087,0.4251968503937008,0.5740740740740741,0.4245472837022133,0.41706161137440756,0.42105263157894735,0.8295454545454546,0.11267605633802817,0.375,0.375,1.0,0.08450704225352113,0.40476190476190477,0.4146341463414634,0.9411764705882353,0.022222222222222223,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,0.13333333333333333,0.5,1.0,0.09574468085106383,0.6666666666666666,0.14893617021276595,0.5,0.1276595744680851,0.3333333333333333,0.2977867203219316,0.4,0.4615349798387096,0.4645051282051283,0.4627817204301075,0.08239700374531835,0.0967741935483871,0.08952702702702703,0.25675675675675674,12.981704260651627,24.491836734693877,0.2336359292881032,,,1.0,3.0,1.0,0.01020408163265306,0.009478672985781991,0.023809523809523808,,,,,1.0,1.0,2.0,0.02,,True,
201155,1610612765,Rodney Stuckey,Rodney Stuckey,201155,DET,92245.0,1537,-66,2809,2806,631,774,397,5615,135,247,19.0,38.0,27.0,54.0,39.0,122,63.0,159,3.0,14.0,,3.0,1.0,3.0,16.0,49.0,,1.0,,5.0,237,528,19.0,63.0,229,760,3166,25,53,,4.0,13.0,63,56.0,114,1.0,8.0,72.0,187.0,178,296.0,39.0,18.0,24.0,3.0,46.0,16.0,51,195,48.0,243,26.0,22.0,79.0,29.0,87,534,3.0,41,1.0,37,51.0,3.0,91,45,136,23.0,55,29,26.0,51,13.0,31.0,48,5.0,20,,99,8.0,30.0,57,,129,8.0,1.0,17.0,178,2.0,2.0,7.0,264,30.0,15.0,121,19.0,6.0,2.0,,4.0,6.0,2.0,,185.0,627,17,13.0,0.3755274261603376,0.39555555555555555,0.6842105263157895,0.30158730158730157,,0.125,0.31666666666666665,0.44886363636363635,0.4716981132075472,0.49122807017543857,0.44923857868020306,0.43859649122807015,0.4713114754098361,0.5320970042796006,0.5,0.5859872611464968,0.1065989847715736,0.09659090909090909,0.12550607287449392,0.13934426229508196,24.352331606217614,0.5151515151515151,0.033707865168539325,0.010638297872340425,0.056353591160221,0.03543647363872083,0.11212121212121212,0.0136986301369863,0.07125506072874493,0.03197674418604651,0.0572289156626506,0.0480225988700565,0.010615711252653927,0.014492753623188406,0.012345679012345678,0.03832752613240418,0.045112781954887216,0.07954545454545454,0.10480349344978165,0.12871287128712872,0.08424908424908426,0.3333333333333333,0.4179357021996616,0.5465587044534413,0.625,0.43703703703703706,0.20642978003384094,0.319672131147541,0.37142857142857144,0.20512820512820512,0.26903553299492383,0.39622641509433965,0.40384615384615385,0.3492063492063492,0.023688663282571912,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.0829103214890017,0.32653061224489793,0.32653061224489793,0.6875,0.6666666666666666,0.5,0.3684210526315789,0.05263157894736842,,,0.017543859649122806,,,0.4426229508196721,0.5,0.02459016393442623,0.3333333333333333,0.040983606557377046,,0.5245346869712352,0.34782608695652173,0.5317312925170068,0.5897221153846154,0.51276625,0.1774193548387097,0.19547657512116318,0.08289473684210526,0.24605263157894736,7.750000000000002,26.369841269841274,0.22463510145959417,,,,2.0,1.0,,0.018867924528301886,,,,,,,,,,,True,
201969,1610612765,DaJuan Summers,DaJuan Summers,201969,DET,1813.0,30,-12,51,54,12,20,10,105,1,2,,,,,,4,1.0,3,1.0,2.0,,,,1.0,,1.0,,,,1.0,2,9,1.0,3.0,1,8,68,1,2,,,,2,,1,,2.0,,,4,,3.0,,,,1.0,,2,1,,1,,,,,1,2,,1,,2,,2.0,4,1,5,1.0,1,1,,2,,,1,,2,,3,1.0,,2,,5,,,,3,,,,4,,,2,,,,,,,,,,12,3,,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,0.2222222222222222,0.5,,0.2916666666666667,0.5,,0.2857142857142857,0.5,,0.25,0.2222222222222222,,0.5,26.153846153846153,0.6666666666666666,1.0,,,0.043478260869565216,0.2,,0.08695652173913043,0.037037037037037035,,,0.25,,,,,,0.14285714285714285,0.3333333333333333,0.16666666666666666,,0.16666666666666666,0.5,0.5,1.0,0.3333333333333333,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5,1.0,0.08333333333333333,,,,,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.4166666666666667,,0.47835,0.4329,0.43674999999999997,0.14285714285714285,0.18181818181818182,0.25,,8.600000000000001,23.76666666666667,0.23529411764705882,,,,1.0,,,,,,,,,,,,,,True,
2732,1610612765,Ben Gordon,Ben Gordon,2732,DET,64092.0,1068,-49,1975,1965,497,606,260,3940,33,57,3.0,5.0,8.0,15.0,12.0,39,73.0,177,23.0,44.0,2.0,3.0,4.0,11.0,31.0,88.0,5.0,11.0,9.0,24.0,118,273,54.0,132.0,78,476,2216,13,22,7.0,14.0,4.0,51,24.0,56,13.0,35.0,27.0,114.0,130,106.0,108.0,54.0,2.0,1.0,87.0,31.0,15,54,25.0,79,14.0,11.0,27.0,9.0,18,183,5.0,17,,30,58.0,,88,22,110,9.0,22,16,6.0,42,8.0,29.0,30,3.0,13,2.0,72,6.0,19.0,48,,94,3.0,1.0,9.0,69,3.0,1.0,4.0,88,7.0,21.0,32,5.0,8.0,4.0,2.0,2.0,8.0,4.0,,112.0,495,7,4.0,0.5508474576271186,0.5555555555555556,0.6666666666666666,0.4090909090909091,0.5,0.37142857142857144,0.4122137404580153,0.43223443223443225,0.5909090909090909,0.42857142857142855,0.49135802469135803,0.6527777777777778,0.47802197802197804,0.5275862068965518,0.6621621621621622,0.5441176470588235,0.32592592592592595,0.054945054945054944,0.05263157894736842,0.1794871794871795,22.188183807439824,0.5833333333333334,,,0.09618573797678276,0.022972972972972974,0.13157894736842105,0.024630541871921183,0.10589651022864019,0.02332979851537646,0.027649769585253458,0.022123893805309734,0.020202020202020204,0.007246376811594203,0.06153846153846154,0.06951871657754011,0.07344632768361582,0.13389121338912133,0.11392405063291139,0.17142857142857143,0.04245283018867924,0.5,0.14074074074074075,0.5789473684210527,0.6111111111111112,0.5151515151515151,0.0962962962962963,0.3076923076923077,0.375,0.4166666666666667,0.43703703703703706,0.4124293785310734,0.42441860465116277,0.589041095890411,0.10864197530864197,0.5227272727272727,0.5348837209302325,0.782608695652174,0.21728395061728395,0.3522727272727273,0.3563218390804598,0.5806451612903226,0.1388888888888889,0.6,0.6666666666666666,0.08333333333333333,0.6666666666666666,1.0,0.3055555555555556,0.45454545454545453,0.8,0.16483516483516483,0.5333333333333333,0.12087912087912088,0.36363636363636365,0.26373626373626374,0.375,0.4666666666666667,0.3563218390804598,0.49194925742574264,0.5183821428571428,0.48300888888888893,0.07441860465116279,0.10738255033557047,0.10714285714285714,0.23949579831932774,13.526739926739927,25.04848484848485,0.25164556962025314,,,2.0,5.0,2.0,0.015151515151515152,0.02824858757062147,0.011363636363636364,,,,,,,,,0.022727272727272728,True,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,64182.0,1070,-119,1914,1927,287,313,272,3841,55,113,22.0,38.0,4.0,10.0,4.0,17,,2,,,,,,,1.0,2.0,,,1.0,2.0,59,132,1.0,2.0,15,136,2144,23,42,,,1.0,47,6.0,14,1.0,2.0,4.0,19.0,58,60.0,3.0,,34.0,1.0,1.0,1.0,12,52,11.0,63,4.0,7.0,24.0,6.0,22,137,17.0,90,3.0,40,136.0,14.0,190,110,300,7.0,48,28,20.0,21,3.0,15.0,15,5.0,6,1.0,36,7.0,7.0,35,3.0,64,,1.0,,66,6.0,11.0,12.0,49,5.0,,21,6.0,43.0,16.0,5.0,22.0,43.0,18.0,3.0,19.0,287,5,4.0,0.4915254237288136,0.6904761904761905,1.0,0.5,,0.5,1.0,0.44696969696969696,0.5476190476190477,0.42857142857142855,0.45149253731343286,0.5476190476190477,0.46875,0.4358974358974359,0.5340909090909091,0.3958333333333333,0.014925373134328358,0.09090909090909091,0.08849557522123894,0.11764705882352941,8.53059401518535,0.5833333333333334,0.3181818181818182,0.05555555555555555,0.2073170731707317,0.10909090909090909,0.1941747572815534,0.11486486486486487,0.20417633410672853,0.10996916752312436,0.10869565217391304,0.10087719298245613,0.11444141689373297,0.11224489795918367,0.12,0.15196078431372548,0.22282608695652173,0.23880597014925373,0.1724137931034483,0.2459016393442623,0.11475409836065574,0.4186046511627907,0.8432835820895522,0.48672566371681414,0.5339805825242718,0.4727272727272727,0.12686567164179105,0.23529411764705882,0.26666666666666666,0.75,0.014925373134328358,,,,,,,,0.014925373134328358,0.5,0.5,1.0,0.9047619047619048,0.5789473684210527,0.18181818181818182,,,,,,,0.625,0.4,,,0.125,0.5,0.8582089552238806,1.0,0.6189018796992481,0.6324124999999999,0.55217,0.14,0.14189189189189189,0.34558823529411764,0.13970588235294118,2.153030303030303,40.95,0.14994775339602925,1.0,2.0,,4.0,,,,,,,,,,,,,,True,
