EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LostBallOutOfBoundsTurnovers,HeaveAttempts,Corner3Assists,FTOffRebounds,Travels,Blocked3s,BlockedArc3,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,HeaveMakes,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,on
147,1610612741,Jalen Rose,Jalen Rose,147,CHI,34286.0,571,-54,1091,1075,300,391,126,2166,21,44,1.0,4.0,6.0,14.0,29.0,58.0,60.0,124,4.0,12.0,1.0,1.0,1.0,3.0,12.0,31.0,1.0,3.0,1.0,7.0,110,226,16.0,43.0,59,327,1203,7.0,18,2.0,4.0,4.0,24.0,30.0,68,2.0,10.0,33.0,99.0,110,110.0,42.0,6.0,2.0,31.0,12.0,5.0,61.0,11.0,72.0,11.0,34.0,8.0,19.0,155.0,1.0,7.0,12.0,44,3.0,59,8,67,6.0,14.0,8.0,6.0,31.0,3.0,18.0,12.0,13.0,43.0,2.0,9.0,16.0,52,2.0,8.0,76,7.0,7.0,23,15.0,9.0,1.0,1.0,7.0,9.0,6.0,1.0,99.0,300,12.0,0.5,0.5045871559633027,0.875,0.37209302325581395,0.5,0.2,0.37209302325581395,0.48672566371681414,0.3888888888888889,0.4411764705882353,0.49814126394052044,0.45454545454545453,0.4230769230769231,0.5366666666666666,0.5,0.5104166666666666,0.15985130111524162,0.022123893805309734,0.045454545454545456,0.034482758620689655,0.008064516129032258,27.683615819209038,0.7209302325581395,0.06976744186046512,0.11458333333333333,0.015873015873015872,0.12631578947368421,0.013888888888888888,0.11691022964509394,0.015594541910331383,0.029850746268656716,0.009345794392523364,0.01,0.02,0.09090909090909091,0.14583333333333334,0.1111111111111111,0.14492753623188406,0.07692307692307693,0.044444444444444446,0.6666666666666666,0.16356877323420074,0.4772727272727273,0.5,0.6190476190476191,0.21561338289962825,0.5,0.5178571428571429,0.3448275862068966,0.46096654275092935,0.4838709677419355,0.4878048780487805,0.5333333333333333,0.04460966542750929,0.3333333333333333,0.3333333333333333,1.0,0.11524163568773234,0.3870967741935484,0.3870967741935484,0.8333333333333334,0.18181818181818182,0.25,0.045454545454545456,1.0,1.0,0.13636363636363635,0.3333333333333333,1.0,0.1794871794871795,0.42857142857142855,0.038461538461538464,0.3333333333333333,0.08974358974358974,0.14285714285714285,0.32342007434944237,0.3870967741935484,0.4523651119402984,0.4485736842105263,0.4308870129870129,0.08070175438596491,0.09504132231404959,0.07339449541284404,0.30275229357798167,12.376548672566372,25.093023255813957,0.27497708524289644,,,,,,,,,,,,,,,,,,,,,,True
1944,1610612741,Eddie Robinson,Eddie Robinson,1944,CHI,11370.0,190,-35,376,370,118,167,39,746,10,13,3.0,3.0,4.0,4.0,6.0,13.0,13.0,34,,,,,,,,1.0,,,,1.0,29,60,,1.0,7,65,421,4.0,6,,,1.0,9.0,10.0,14,,1.0,3.0,23.0,48,10.0,,,6.0,1.0,,2.0,11.0,,11.0,,5.0,2.0,4.0,22.0,1.0,4.0,3.0,10,1.0,14,5,19,,7.0,5.0,2.0,7.0,1.0,3.0,7.0,4.0,14.0,,1.0,4.0,9,,1.0,9,1.0,,4,1.0,2.0,1.0,,1.0,2.0,1.0,,23.0,118,4.0,0.8275862068965517,0.9230769230769231,,,,,,0.48333333333333334,0.6666666666666666,0.7142857142857143,0.47540983606557374,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6764705882352942,0.01639344262295082,0.03333333333333333,,0.15384615384615385,,18.80952380952381,0.5,0.058823529411764705,0.08928571428571429,0.03007518796992481,0.12,0.047619047619047616,0.0948905109489051,0.032467532467532464,0.038461538461538464,,0.043478260869565216,0.05263157894736842,0.17391304347826086,0.06896551724137931,0.06666666666666667,0.15384615384615385,0.08333333333333333,,0.5,0.21311475409836064,0.7692307692307693,0.7692307692307693,0.6,0.21311475409836064,0.46153846153846156,0.5454545454545454,1.0,0.5573770491803278,0.38235294117647056,0.38235294117647056,0.9230769230769231,,,,,0.01639344262295082,,,,0.5,1.0,,,,,,,0.26666666666666666,1.0,,,0.06666666666666667,,0.22950819672131148,,0.44772213114754106,0.47686,0.44104333333333323,0.0625,0.06349206349206349,0.13846153846153847,0.35384615384615387,12.318333333333333,27.7,0.31382978723404253,3.0,,,,,,,,,,,,,,,,,,,,,True
2033,1610612741,Marcus Fizer,Marcus Fizer,2033,CHI,117897.0,1965,-304,3693,3675,1061,1162,445,7368,163,310,28.0,71.0,54.0,103.0,102.0,248.0,99.0,249,2.0,9.0,,,1.0,3.0,5.0,32.0,1.0,2.0,4.0,19.0,364,807,7.0,41.0,189,938,3970,42.0,110,1.0,2.0,24.0,111.0,99.0,228,5.0,22.0,60.0,273.0,474,254.0,18.0,3.0,42.0,28.0,5.0,56.0,92.0,28.0,120.0,23.0,34.0,9.0,49.0,268.0,20.0,106.0,51.0,206,42.0,299,128,427,25.0,49.0,31.0,18.0,62.0,10.0,31.0,69.0,31.0,131.0,15.0,37.0,74.0,186,12.0,35.0,283,27.0,,139,16.0,22.0,13.0,2.0,7.0,24.0,11.0,1.0,273.0,1061,23.0,0.6510989010989011,0.6909620991253644,0.8571428571428571,0.17073170731707318,0.5,0.22727272727272727,0.1891891891891892,0.4510532837670384,0.38181818181818183,0.4342105263157895,0.44162735849056606,0.38839285714285715,0.426,0.4805327868852459,0.4269230769230769,0.4642857142857143,0.04834905660377359,0.06939281288723669,0.0967741935483871,0.09274193548387097,0.012048192771084338,26.170212765957448,0.4732824427480916,0.2896551724137931,0.1579754601226994,0.07118871725990597,0.1513353115727003,0.07194244604316546,0.15661182205971969,0.07130730050933787,0.06352941176470588,0.07692307692307693,0.07285714285714286,0.08294930875576037,0.12605042016806722,0.1497005988023952,0.18107667210440456,0.14741035856573706,0.16279069767441862,0.06157635467980296,0.4583333333333333,0.36556603773584906,0.5258064516129032,0.5821428571428572,0.5828220858895705,0.29245283018867924,0.4112903225806452,0.4533333333333333,0.5098039215686274,0.2936320754716981,0.39759036144578314,0.4024390243902439,0.9090909090909091,0.01061320754716981,0.2222222222222222,0.2222222222222222,1.0,0.03773584905660377,0.15625,0.15625,0.8,0.6339285714285714,0.39436619718309857,,,,0.017857142857142856,0.5,,0.412,0.5242718446601942,0.012,0.3333333333333333,0.076,0.21052631578947367,0.41391509433962265,0.17857142857142858,0.4613944708680143,0.5144553763440862,0.4691618852459016,0.14479166666666668,0.1512513601741023,0.11833688699360341,0.291044776119403,8.22391573729864,29.39512195121952,0.2873002978608178,10.0,4.0,5.0,2.0,7.0,2.0,2.0,1.0,3.0,2.0,0.015037593984962405,0.03278688524590164,0.21428571428571427,,,,,,,,,True
2037,1610612741,Jamal Crawford,Jamal Crawford,2037,CHI,11375.0,190,-55,366,372,113,142,33,738,5,6,,,,1.0,6.0,12.0,8.0,27,1.0,2.0,,,,1.0,12.0,26.0,,1.0,4.0,9.0,19,45,13.0,28.0,2,79,432,1.0,2,,1.0,,2.0,3.0,10,4.0,10.0,1.0,19.0,18,20.0,33.0,6.0,2.0,25.0,12.0,2.0,22.0,2.0,24.0,2.0,9.0,1.0,12.0,50.0,,1.0,5.0,8,,13,1,14,1.0,6.0,2.0,4.0,10.0,,9.0,1.0,1.0,11.0,,3.0,3.0,6,,,3,1.0,,1,1.0,2.0,1.0,,1.0,3.0,1.0,,19.0,113,2.0,0.47368421052631576,0.5,0.8461538461538461,0.4642857142857143,,0.4,0.48148148148148145,0.4222222222222222,0.5,0.3,0.5273972602739726,0.3333333333333333,0.45,0.5337837837837838,0.3333333333333333,0.4523809523809524,0.3835616438356164,0.044444444444444446,,,0.07407407407407407,21.09181141439206,0.9090909090909091,,0.06557377049180328,0.007194244604316547,0.15625,,0.08441558441558442,0.006134969325153374,,0.02702702702702703,,,0.03125,,0.109375,0.08333333333333333,0.375,0.02631578947368421,0.3333333333333333,0.0821917808219178,0.8333333333333334,0.8333333333333334,0.8,0.1643835616438356,0.5,0.5,0.16666666666666666,0.3698630136986301,0.2962962962962963,0.32,0.5,0.0273972602739726,0.5,0.5,1.0,0.3561643835616438,0.46153846153846156,0.46153846153846156,0.8333333333333334,,,,,,0.3333333333333333,,,0.05,,0.05,,0.45,0.4444444444444444,0.4657534246575342,0.48,0.4633083333333334,0.4576166666666667,0.45729999999999993,0.0136986301369863,0.022222222222222223,0.02531645569620253,0.24050632911392406,13.406666666666668,26.40714285714285,0.3087431693989071,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,True
2053,1610612741,Dalibor Bagaric,Dalibor Bagaric,2053,CHI,17994.0,300,-108,555,561,145,164,57,1116,17,32,6.0,10.0,6.0,7.0,10.0,28.0,5.0,19,,,,,,,,,,,,,32,79,,,12,76,640,6.0,11,,,8.0,20.0,9.0,19,,,3.0,21.0,42,22.0,,,8.0,,,9.0,4.0,4.0,8.0,4.0,3.0,1.0,,20.0,1.0,25.0,4.0,35,8.0,47,27,74,2.0,10.0,9.0,1.0,6.0,2.0,1.0,13.0,5.0,19.0,2.0,3.0,29.0,56,6.0,4.0,25,3.0,,11,3.0,12.0,10.0,1.0,1.0,13.0,10.0,8.0,21.0,145,5.0,0.65625,0.75,,,,,,0.4050632911392405,0.5454545454545454,0.47368421052631576,0.4050632911392405,0.5454545454545454,0.47368421052631576,0.4222222222222222,0.5555555555555556,0.45652173913043476,,0.11392405063291139,0.1875,0.07142857142857142,0.05263157894736842,17.495987158908505,0.3157894736842105,0.42105263157894735,0.16666666666666666,0.1141552511415525,0.09090909090909091,0.022727272727272728,0.15354330708661418,0.09885931558935361,0.1746031746031746,0.12727272727272726,0.06930693069306931,0.029411764705882353,0.171875,0.2553191489361702,0.12121212121212122,0.06060606060606061,0.18181818181818182,0.05555555555555555,0.7692307692307693,0.4050632911392405,0.53125,0.6538461538461539,0.47058823529411764,0.35443037974683544,0.35714285714285715,0.38461538461538464,0.8,0.24050632911392406,0.2631578947368421,0.2777777777777778,1.0,,,,,,,,,0.9090909090909091,0.6,,,,,,,0.3684210526315789,0.8571428571428571,,,,,0.4050632911392405,,0.4548443037974683,0.545009090909091,0.43494210526315796,0.12643678160919541,0.12643678160919541,0.2631578947368421,0.27631578947368424,7.387341772151899,,0.26126126126126126,1.0,,,1.0,4.0,1.0,1.0,,2.0,2.0,0.041666666666666664,,0.16666666666666666,,,,,,,,,True
2199,1610612741,Tyson Chandler,Tyson Chandler,2199,CHI,17626.0,294,27,579,578,184,208,63,1157,30,42,11.0,18.0,9.0,13.0,2.0,6.0,7.0,12,,,,,,,,,,,,,39,60,,,23,101,567,11.0,19,,,5.0,27.0,9.0,18,,,14.0,32.0,56,22.0,,,16.0,,,1.0,8.0,1.0,9.0,,4.0,,4.0,19.0,2.0,18.0,6.0,44,3.0,53,22,75,,7.0,4.0,3.0,11.0,1.0,6.0,8.0,5.0,19.0,,5.0,12.0,32,6.0,3.0,39,5.0,,17,5.0,15.0,10.0,1.0,4.0,15.0,11.0,3.0,32.0,184,3.0,0.717948717948718,0.9032258064516129,,,,,,0.65,0.5789473684210527,0.5,0.65,0.5789473684210527,0.5,0.6558441558441559,0.6136363636363636,0.5517241379310345,,0.016666666666666666,0.023809523809523808,,,14.791987673343606,0.5789473684210527,0.2,0.21052631578947367,0.09183673469387756,0.09836065573770492,0.05,0.18518518518518517,0.0847457627118644,0.18333333333333332,0.06666666666666667,0.04395604395604396,0.05555555555555555,0.17543859649122806,0.24528301886792453,0.21212121212121213,0.09302325581395349,0.1111111111111111,,0.7333333333333333,0.7,0.7142857142857143,0.7317073170731707,0.6666666666666666,0.1,0.3333333333333333,0.3333333333333333,0.5,0.2,0.5833333333333334,0.5833333333333334,1.0,,,,,,,,,0.9473684210526315,0.6111111111111112,,,,,,,0.7222222222222222,0.6923076923076923,,,,,0.7,,0.5524850000000001,0.6000222222222221,0.5831277777777778,0.2361111111111111,0.2361111111111111,0.26732673267326734,0.31683168316831684,4.56,,0.3177892918825561,1.0,,1.0,2.0,1.0,,,,1.0,1.0,0.06896551724137931,,0.2727272727272727,,,,,,,,,True
891,1610612741,Charles Oakley,Charles Oakley,891,CHI,26200.0,437,-97,796,798,186,253,94,1594,4,6,1.0,3.0,,1.0,,1.0,26.0,64,,,,,,,,1.0,,,,1.0,30,71,,1.0,5,65,866,1.0,6,,,,2.0,5.0,12,,1.0,3.0,13.0,56,4.0,,,2.0,1.0,,1.0,32.0,3.0,35.0,3.0,8.0,7.0,17.0,73.0,8.0,13.0,9.0,40,13.0,62,22,84,,13.0,9.0,4.0,13.0,5.0,12.0,8.0,1.0,21.0,2.0,3.0,35.0,58,4.0,1.0,8,,,2,2.0,2.0,1.0,,1.0,2.0,2.0,,13.0,186,3.0,0.9333333333333333,0.9655172413793104,,,,,,0.4225352112676056,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.38461538461538464,0.4276315789473684,0.16666666666666666,0.43333333333333335,0.013888888888888888,0.014084507042253521,0.16666666666666666,,,10.682819383259911,0.6190476190476191,0.3333333333333333,0.14492753623188406,0.03903903903903904,0.11392405063291139,0.14035087719298245,0.13802816901408452,0.05384615384615385,0.03571428571428571,0.039473684210526314,0.04046242774566474,0.17142857142857143,0.15151515151515152,0.18055555555555555,0.12318840579710146,0.11864406779661017,0.1,,1.0,0.08333333333333333,0.6666666666666666,0.8,0.75,0.013888888888888888,,,,0.8888888888888888,0.40625,0.40625,0.9615384615384616,,,,,0.013888888888888888,,,,0.5,0.3333333333333333,,,,,,,0.07692307692307693,,,,0.07692307692307693,,0.09722222222222222,,0.4138576388888888,0.4794333333333334,0.40237307692307694,0.02702702702702703,0.0273972602739726,0.03076923076923077,0.2,17.02957746478873,25.3,0.23366834170854273,2.0,,,1.0,,,,,,2.0,0.0625,0.09090909090909091,,,,,,,,,,True
2062,1610612741,A.J. Guyton,A.J. Guyton,2062,CHI,20821.0,347,-28,637,632,209,155,79,1269,9,15,1.0,2.0,,1.0,3.0,11.0,12.0,46,3.0,14.0,,2.0,,5.0,28.0,68.0,2.0,5.0,14.0,28.0,24,72,31.0,82.0,13,154,669,1.0,4,2.0,7.0,2.0,10.0,3.0,17,14.0,33.0,7.0,55.0,16,32.0,72.0,21.0,2.0,66.0,28.0,2.0,38.0,9.0,47.0,9.0,11.0,6.0,21.0,103.0,1.0,4.0,3.0,8,1.0,12,5,17,3.0,7.0,3.0,4.0,14.0,,10.0,4.0,4.0,18.0,,3.0,5.0,14,,1.0,17,1.0,,5,4.0,4.0,1.0,1.0,2.0,4.0,3.0,,55.0,209,5.0,0.3333333333333333,0.34782608695652173,0.7741935483870968,0.3780487804878049,0.2857142857142857,0.42424242424242425,0.3875,0.3333333333333333,0.25,0.17647058823529413,0.4577922077922078,0.36363636363636365,0.48,0.47530864197530864,0.4166666666666667,0.5,0.5324675324675324,0.027777777777777776,0.06666666666666667,,0.021739130434782608,24.556616643929058,0.7777777777777778,0.0625,0.03827751196172249,0.018433179723502304,0.05357142857142857,0.010416666666666666,0.04150943396226415,0.01597444089456869,0.031746031746031744,0.03333333333333333,,0.013157894736842105,0.047619047619047616,0.04,0.03125,0.07142857142857142,,0.03260869565217391,0.75,0.09740259740259741,0.6,0.6428571428571429,0.2222222222222222,0.07142857142857142,0.2727272727272727,0.2727272727272727,,0.2987012987012987,0.2608695652173913,0.26666666666666666,0.5,0.09090909090909091,0.21428571428571427,0.21428571428571427,1.0,0.44155844155844154,0.4117647058823529,0.4117647058823529,0.75,0.18181818181818182,0.5,0.18181818181818182,,,0.45454545454545453,0.4,1.0,0.02,,0.1,,0.56,0.5,0.6298701298701299,0.42424242424242425,0.47649,0.5620875000000001,0.4736446808510638,0.03164556962025317,0.06578947368421052,0.06493506493506493,0.35714285714285715,13.808333333333334,45.46341463414634,0.3281004709576138,2.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,True
696,1610612741,Travis Best,Travis Best,696,CHI,26812.0,447,-27,839,832,180,270,100,1671,24,42,1.0,2.0,5.0,9.0,6.0,15.0,23.0,59,,1.0,,,,,4.0,11.0,,2.0,1.0,3.0,53,116,4.0,12.0,27,145,913,2.0,7,,2.0,3.0,7.0,11.0,26,1.0,3.0,9.0,34.0,34,72.0,9.0,3.0,,9.0,3.0,5.0,72.0,15.0,87.0,10.0,22.0,19.0,31.0,189.0,,5.0,2.0,26,2.0,30,5,35,1.0,14.0,4.0,10.0,8.0,3.0,4.0,9.0,4.0,17.0,4.0,3.0,21.0,44,2.0,4.0,28,5.0,,12,3.0,1.0,,,1.0,1.0,1.0,,34.0,180,8.0,0.32075471698113206,0.32075471698113206,0.75,0.3333333333333333,,0.3333333333333333,0.2727272727272727,0.45689655172413796,0.2857142857142857,0.4230769230769231,0.4609375,0.2222222222222222,0.43103448275862066,0.5215827338129496,0.3181818181818182,0.5151515151515151,0.09375,0.04310344827586207,0.09523809523809523,0.06666666666666667,,16.30094043887147,0.47058823529411764,0.05405405405405406,0.08280254777070063,0.014534883720930232,0.0273972602739726,,0.07235142118863049,0.012853470437017995,0.04081632653061224,,0.006097560975609756,,0.10465116279069768,0.0759493670886076,0.0738255033557047,0.0392156862745098,,0.015151515151515152,1.0,0.328125,0.5714285714285714,0.631578947368421,0.20833333333333334,0.1171875,0.4,0.42857142857142855,,0.4609375,0.3898305084745763,0.3898305084745763,0.5217391304347826,0.0078125,,,,0.0859375,0.36363636363636365,0.36363636363636365,0.75,0.2222222222222222,0.5,,,,0.2222222222222222,,,0.3103448275862069,0.5555555555555556,,,0.10344827586206896,0.3333333333333333,0.421875,0.3333333333333333,0.4741350393700788,0.43691111111111114,0.4494913793103449,0.09558823529411764,0.0975609756097561,0.04827586206896552,0.23448275862068965,11.117241379310347,26.59166666666667,0.21454112038140644,,1.0,5.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.07692307692307693,,,,,True
2201,1610612741,Eddy Curry,Eddy Curry,2201,CHI,26267.0,438,-45,824,820,215,248,90,1644,56,88,21.0,29.0,16.0,23.0,9.0,30.0,1.0,10,,,,,,,,,,,,,66,128,,,34,166,858,23.0,32,,,1.0,47.0,19.0,35,,,12.0,50.0,86,46.0,,,38.0,,,21.0,10.0,2.0,12.0,2.0,4.0,2.0,4.0,26.0,4.0,42.0,10.0,48,9.0,67,46,113,5.0,6.0,2.0,4.0,10.0,1.0,5.0,13.0,5.0,23.0,5.0,4.0,36.0,69,8.0,8.0,59,3.0,,28,3.0,26.0,21.0,,5.0,26.0,15.0,4.0,50.0,215,7.0,0.6515151515151515,0.9148936170212766,,,,,,0.515625,0.71875,0.5428571428571428,0.515625,0.71875,0.5428571428571428,0.532051282051282,0.6714285714285714,0.5681818181818182,,0.1640625,0.13636363636363635,0.26666666666666666,0.1,19.206008583690988,0.43478260869565216,0.32142857142857145,0.15384615384615385,0.12612612612612611,0.14705882352941177,0.08695652173913043,0.15263157894736842,0.12137203166226913,0.16326530612244897,0.1038961038961039,0.11392405063291139,0.10256410256410256,0.17777777777777778,0.16455696202531644,0.13286713286713286,0.13333333333333333,0.17391304347826086,0.12195121951219512,0.5769230769230769,0.6875,0.6363636363636364,0.7368421052631579,0.625,0.234375,0.3,0.4090909090909091,0.7777777777777778,0.078125,0.1,0.1111111111111111,1.0,,,,,,,,,0.90625,0.7241379310344828,,,,,,,0.6571428571428571,0.6956521739130435,,,,,0.6875,,0.5171390625,0.55109,0.5178885714285715,0.1830065359477124,0.1830065359477124,0.28313253012048195,0.30120481927710846,3.2867187500000004,,0.2609223300970874,2.0,,,,1.0,,,1.0,,1.0,,,0.047619047619047616,,,,,,,,,True
