EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyCorner3FGM,BlockedLongMidRange,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,OffensiveGoaltends,SecondChanceCorner3FGM,Clear Path Fouls,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,on
1085,1610612755,Ira Bowman,Ira Bowman,1085,PHI,1298.0,22,-11,39,40,18,25,4.0,79,2.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,6.0,41,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,18,0.75,1.0,0.6,1.0,0.6,1.0,0.2,0.25,0.5,11.627906976744185,0.4,1.0,1.0,0.4,0.5,1.0,0.2,0.6,0.59189,0.401,0.3333333333333333,6.3,27.5,0.46153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1723,1610612755,Matt Harpring,Matt Harpring,1723,PHI,121039.0,2017,226,3701,3706,919,594,539.0,7407,156.0,247.0,49.0,132.0,18.0,296.0,607.0,44.0,749.0,3577,70.0,139.0,180.0,120.0,18.0,45.0,62.0,78.0,23.0,172.0,64.0,37.0,180.0,919,0.4876441515650741,0.5035971223021583,0.4823348694316436,0.48026315789473684,0.5130315500685871,0.5,0.06758832565284179,0.07413509060955518,0.07575757575757576,19.131832797427652,0.3794162826420891,0.631578947368421,0.7155963302752294,0.20276497695852536,0.3712121212121212,0.4016393442622951,0.027649769585253458,0.4470046082949309,0.48315122887864825,0.4766526315789474,0.24032042723631508,8.653706754530479,24.32045454545455,0.2483112672250743,48.0,87.0,30.0,59.0,91.0,228.0,7.0,26.0,2.0,4.0,5.0,2.0,2.0,9.0,12.0,121.0,67.0,130.0,4.0,23.0,157.0,2.0,13.0,34.0,472.0,33.0,3.0,64.0,5.0,16.0,14.0,2.0,22.0,17.0,13.0,142.0,2.0,66.0,211.0,19.0,296.0,157.0,453.0,20.0,27.0,52.0,11.0,30.0,52.0,17.0,22.0,4.0,104.0,9.0,22.0,50.0,140.0,20.0,12.0,168.0,10.0,2.0,69.0,19.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,10.0,0.7972972972972973,0.8939393939393939,0.9166666666666666,0.2727272727272727,0.15384615384615385,0.2727272727272727,0.5153846153846153,0.5,0.5198675496688742,0.11740890688259109,0.02631578947368421,0.5,0.2638888888888889,0.02040816326530612,0.13973509933774833,0.0880893300248139,0.15137614678899083,0.06467661691542288,0.1423432682425488,0.08549365692222835,0.10430839002267574,0.07705779334500876,0.08666666666666667,0.06493506493506493,0.06382978723404255,0.09711286089238845,0.13157894736842105,0.17165354330708663,0.14285714285714285,0.18604651162790697,0.06734006734006734,0.5,0.6987179487179487,0.8163265306122449,0.35023041474654376,0.3991228070175439,0.4099099099099099,0.9560439560439561,0.039938556067588324,0.2692307692307692,0.2692307692307692,1.0,0.2777777777777778,0.2777777777777778,0.8,0.6492537313432836,0.5517241379310345,0.25,0.014925373134328358,0.014925373134328358,0.3881578947368421,0.5084745762711864,0.02631578947368421,0.05921052631578947,0.2222222222222222,0.2777777777777778,0.5142040650406504,0.09718309859154929,0.1036036036036036,0.2096128170894526,,,,,,,,,,,,,,,,,,,,,,True
1907,1610612755,Vonteego Cummings,Vonteego Cummings,1907,PHI,15521.0,259,-20,464,465,171,146,62.0,929,14.0,23.0,9.0,20.0,13.0,38.0,79.0,17.0,99.0,481,11.0,25.0,27.0,38.0,13.0,7.0,28.0,32.0,9.0,68.0,9.0,5.0,27.0,171,0.4810126582278481,0.44,0.4583333333333333,0.4166666666666667,0.4752475247524752,0.43548387096774194,0.17708333333333334,0.08860759493670886,0.2,20.66420664206642,0.23958333333333334,0.6086956521739131,0.7,0.20833333333333334,0.45,0.5625,0.13541666666666666,0.4166666666666667,0.46030572916666673,0.4607833333333333,0.2727272727272727,9.99113924050633,25.147058823529413,0.36853448275862066,,2.0,5.0,8.0,15.0,36.0,2.0,4.0,,1.0,2.0,1.0,,4.0,4.0,11.0,1.0,7.0,1.0,1.0,3.0,1.0,5.0,2.0,38.0,12.0,,,2.0,4.0,3.0,1.0,10.0,9.0,,5.0,2.0,5.0,7.0,,12.0,7.0,19.0,1.0,4.0,5.0,3.0,3.0,7.0,2.0,2.0,,12.0,,7.0,12.0,26.0,2.0,1.0,14.0,1.0,3.0,4.0,2.0,3.0,,1.0,,1.0,3.0,2.0,,,,1.0,0.5,0.5,1.0,0.23529411764705882,0.2,0.23529411764705882,0.14285714285714285,0.125,0.16666666666666666,0.13043478260869565,,0.4166666666666667,,0.18181818181818182,0.0457516339869281,0.02577319587628866,0.08928571428571429,,0.05741626794258373,0.021929824561403508,0.020833333333333332,,0.0547945205479452,,,0.07317073170731707,0.04081632653061224,0.031746031746031744,0.06818181818181818,0.16666666666666666,0.02127659574468085,0.6666666666666666,0.5,0.3333333333333333,0.375,0.4166666666666667,0.4166666666666667,0.6,0.041666666666666664,0.5,0.5,1.0,0.15384615384615385,0.15384615384615385,1.0,0.25,,,,0.125,0.26666666666666666,0.625,0.03333333333333333,0.13333333333333333,,0.15384615384615385,0.44411875,0.04040404040404041,0.04878048780487805,0.030303030303030304,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,True
87,1610612755,Dikembe Mutombo,Dikembe Mutombo,87,PHI,174375.0,2906,287,5344,5332,1552,1097,749.0,10676,176.0,285.0,138.0,328.0,,321.0,641.0,,920.0,5179,76.0,146.0,282.0,276.0,,41.0,74.0,83.0,30.0,175.0,29.0,14.0,282.0,1552,0.500780031201248,0.5205479452054794,0.500780031201248,0.5205479452054794,0.5679012345679012,0.618421052631579,,0.06396255850234009,0.024390243902439025,15.514198620247072,0.44461778471138846,0.6175438596491228,0.6984126984126984,0.5117004680187207,0.42073170731707316,0.43125,,0.44461778471138846,0.458959438377535,0.47457328767123286,0.3065217391304348,5.180031201248052,,0.2904191616766467,72.0,133.0,46.0,77.0,7.0,28.0,,,,,,,,,,278.0,89.0,185.0,,70.0,248.0,,,130.0,366.0,,,138.0,,9.0,7.0,2.0,10.0,34.0,18.0,230.0,6.0,143.0,427.0,39.0,609.0,254.0,863.0,24.0,15.0,50.0,4.0,10.0,107.0,12.0,40.0,21.0,157.0,23.0,44.0,123.0,242.0,30.0,45.0,364.0,26.0,,145.0,50.0,190.0,,139.0,,47.0,190.0,120.0,21.0,22.0,42.0,16.0,0.5700934579439252,0.7261904761904762,,,,,0.4810810810810811,0.4810810810810811,0.5462555066079295,0.11578947368421053,,0.3184713375796178,0.33620689655172414,0.043478260869565216,0.19768518518518519,0.10176991150442478,0.22626582278481014,0.05732484076433121,0.20415472779369628,0.09634809634809635,0.12437810945273632,0.09263959390862944,0.09436133486766399,0.053061224489795916,0.07246376811594203,0.16308243727598568,0.2150997150997151,0.20555555555555555,0.2421875,0.15833333333333333,0.08633093525179857,0.631578947368421,0.5511363636363636,0.6014492753623188,0.0436817472698908,0.25,0.25,0.42857142857142855,,,,,,,,0.7189189189189189,0.5413533834586466,0.041666666666666664,,,0.5273972602739726,0.5974025974025974,,,,,0.5119271676300579,0.19078947368421054,0.19078947368421054,0.26956521739130435,,4.0,,,,,,,,,,,,,,,,,,,,True
934,1610612755,Derrick Coleman,Derrick Coleman,934,PHI,93335.0,1556,151,2846,2826,753,493,388.0,5672,130.0,196.0,56.0,163.0,46.0,218.0,466.0,53.0,628.0,2822,51.0,96.0,174.0,172.0,46.0,39.0,73.0,75.0,43.0,152.0,31.0,17.0,174.0,753,0.4678111587982833,0.53125,0.4720616570327553,0.5042016806722689,0.5295109612141653,0.5918367346938775,0.10211946050096339,0.08369098712446352,0.07975460122699386,20.629159104658196,0.37764932562620424,0.6632653061224489,0.7471264367816092,0.3140655105973025,0.34355828220858897,0.37333333333333335,0.08863198458574181,0.4797687861271676,0.4644916988416989,0.4684783898305085,0.2770700636942675,7.352575107296137,25.881132075471704,0.2645818692902319,51.0,69.0,33.0,47.0,32.0,107.0,1.0,7.0,2.0,2.0,17.0,3.0,6.0,21.0,18.0,138.0,56.0,85.0,5.0,23.0,141.0,6.0,23.0,54.0,264.0,51.0,3.0,76.0,17.0,2.0,1.0,1.0,13.0,17.0,11.0,105.0,2.0,36.0,204.0,12.0,252.0,118.0,370.0,15.0,14.0,50.0,8.0,23.0,39.0,7.0,27.0,5.0,89.0,9.0,27.0,52.0,109.0,7.0,16.0,165.0,17.0,,76.0,15.0,30.0,2.0,14.0,2.0,10.0,32.0,29.0,4.0,2.0,3.0,7.0,0.6055045871559633,0.7333333333333333,0.9444444444444444,0.33962264150943394,0.2608695652173913,0.33962264150943394,0.6588235294117647,0.6555555555555556,0.6911764705882353,0.11224489795918367,0.037383177570093455,0.5617977528089888,0.24489795918367346,0.03125,0.17510729613733905,0.08860759493670886,0.10909090909090909,0.06918238993710692,0.1605351170568562,0.08630952380952381,0.1094224924012158,0.08353808353808354,0.0779510022271715,0.05511811023622047,0.125,0.19047619047619047,0.1958762886597938,0.14906832298136646,0.1169811320754717,0.07692307692307693,0.06276150627615062,0.90625,0.6076923076923076,0.48214285714285715,0.20616570327552985,0.29906542056074764,0.3106796116504854,0.8125,0.01348747591522158,0.14285714285714285,0.14285714285714285,1.0,0.3695652173913043,0.37777777777777777,0.9411764705882353,0.7666666666666667,0.7391304347826086,0.27450980392156865,0.022222222222222223,0.03333333333333333,0.3949579831932773,0.7021276595744681,0.01680672268907563,0.17647058823529413,0.2857142857142857,0.3695652173913043,0.5304249999999999,0.1314878892733564,0.14476190476190476,0.22452229299363058,,6.0,,2.0,2.0,1.0,0.4,0.018867924528301886,0.021739130434782608,0.6666666666666666,1.0,,,,,,,,,,,True
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,33559.0,559,-24,1013,1013,295,236,133.0,2026,16.0,34.0,12.0,29.0,13.0,44.0,107.0,24.0,129.0,1048,8.0,21.0,36.0,26.0,13.0,11.0,37.0,44.0,14.0,95.0,11.0,4.0,36.0,295,0.411214953271028,0.38095238095238093,0.40458015267175573,0.45161290322580644,0.4417808219178082,0.4864864864864865,0.183206106870229,0.102803738317757,0.10344827586206896,14.773697694278393,0.2595419847328244,0.47058823529411764,0.5925925925925926,0.22137404580152673,0.41379310344827586,0.46153846153846156,0.09923664122137404,0.44274809160305345,0.47750763358778636,0.46793225806451616,0.27906976744186046,9.885046728971963,24.925,0.2912142152023692,2.0,3.0,3.0,6.0,16.0,44.0,3.0,11.0,,5.0,3.0,2.0,3.0,5.0,6.0,23.0,5.0,10.0,2.0,2.0,15.0,4.0,10.0,8.0,62.0,18.0,,4.0,3.0,7.0,3.0,4.0,9.0,14.0,3.0,10.0,,14.0,32.0,4.0,50.0,13.0,63.0,1.0,7.0,17.0,2.0,10.0,10.0,1.0,7.0,3.0,27.0,2.0,10.0,13.0,58.0,6.0,3.0,32.0,1.0,,12.0,3.0,2.0,1.0,,1.0,2.0,3.0,3.0,2.0,,,6.0,0.7045454545454546,0.7380952380952381,1.0,0.25,0.4,0.25,0.5,0.5416666666666666,0.5357142857142857,0.20588235294117646,0.022727272727272728,0.6296296296296297,0.16,,0.08205128205128205,0.024390243902439025,0.10687022900763359,0.05454545454545454,0.08829174664107485,0.02795698924731183,0.018867924528301886,0.020689655172413793,0.031446540880503145,0.04878048780487805,0.07142857142857142,0.09195402298850575,0.05555555555555555,0.096045197740113,0.12149532710280374,0.041666666666666664,0.014705882352941176,1.0,0.625,0.5,0.33587786259541985,0.36363636363636365,0.37209302325581395,0.9375,0.08396946564885496,0.2727272727272727,0.2727272727272727,1.0,0.23076923076923078,0.25,1.0,0.25,0.6666666666666666,,,0.16666666666666666,0.1935483870967742,0.5,0.16129032258064516,0.16129032258064516,0.6,0.23076923076923078,0.4921909090909091,0.09090909090909091,0.1016949152542373,0.11627906976744186,1.0,,0.2,1.0,1.0,1.0,0.5,0.041666666666666664,0.07692307692307693,0.5,1.0,1.0,0.04,,,,,,,,,True
2049,1610612755,Speedy Claxton,Speedy Claxton,2049,PHI,57985.0,966,50,1767,1760,516,435,260.0,3527,55.0,102.0,12.0,45.0,13.0,116.0,266.0,21.0,311.0,1701,30.0,77.0,102.0,108.0,11.0,29.0,107.0,125.0,42.0,268.0,54.0,26.0,102.0,516,0.43609022556390975,0.38961038961038963,0.4250871080139373,0.375,0.48286604361370716,0.4857142857142857,0.07317073170731707,0.10902255639097744,0.17777777777777778,18.78319652341864,0.3554006968641115,0.5392156862745098,0.6707317073170732,0.156794425087108,0.26666666666666666,0.32432432432432434,0.04529616724738676,0.42857142857142855,0.4820531578947368,0.47700121951219515,0.3279742765273312,9.721428571428572,26.74761904761905,0.2920203735144312,5.0,9.0,14.0,31.0,49.0,119.0,2.0,8.0,,1.0,2.0,2.0,1.0,6.0,4.0,67.0,10.0,25.0,2.0,2.0,22.0,1.0,7.0,39.0,124.0,12.0,,2.0,2.0,18.0,10.0,8.0,20.0,45.0,8.0,17.0,2.0,14.0,53.0,1.0,68.0,27.0,95.0,1.0,28.0,47.0,9.0,31.0,21.0,3.0,16.0,1.0,68.0,3.0,17.0,30.0,87.0,1.0,5.0,77.0,8.0,1.0,29.0,13.0,5.0,,1.0,,1.0,5.0,5.0,,,,11.0,0.5344827586206896,0.5391304347826087,1.0,0.19047619047619047,0.14285714285714285,0.21052631578947367,0.4,0.37037037037037035,0.39285714285714285,0.19607843137254902,0.008403361344537815,0.6911764705882353,0.020833333333333332,0.041666666666666664,0.07593123209169055,0.0228494623655914,0.06306306306306306,0.06201550387596899,0.07282608695652174,0.0286368843069874,0.04035874439461883,0.008403361344537815,0.02120141342756184,0.07291666666666667,0.030303030303030304,0.10714285714285714,0.05194805194805195,0.07380073800738007,0.07344632768361582,0.022222222222222223,0.007462686567164179,1.0,0.43636363636363634,0.3333333333333333,0.4146341463414634,0.4117647058823529,0.4152542372881356,0.6938775510204082,0.027874564459930314,0.25,0.25,1.0,0.15384615384615385,0.15384615384615385,1.0,0.3333333333333333,0.5555555555555556,0.4,,0.07407407407407407,0.36904761904761907,0.45161290322580644,0.011904761904761904,0.07142857142857142,0.16666666666666666,0.18181818181818182,0.44887045454545454,0.09415584415584416,0.10104529616724739,0.0707395498392283,,3.0,,,,,,,,,,,,2.0,,,,,,,,True
916,1610612755,Corie Blount,Corie Blount,916,PHI,48680.0,811,50,1504,1508,418,292,203.0,3012,31.0,56.0,18.0,37.0,,65.0,133.0,,146.0,1459,23.0,42.0,53.0,44.0,,9.0,27.0,33.0,18.0,72.0,30.0,24.0,53.0,418,0.48872180451127817,0.5476190476190477,0.48872180451127817,0.5476190476190477,0.5069444444444444,0.5760869565217391,,0.06766917293233082,0.08108108108108109,9.92018244013683,0.42105263157894735,0.5535714285714286,0.62,0.2781954887218045,0.4864864864864865,0.5294117647058824,,0.42105263157894735,0.46884135338345867,0.47114761904761904,0.363013698630137,7.880451127819549,,0.2779255319148936,17.0,29.0,12.0,18.0,16.0,40.0,,,,,,,,,,16.0,21.0,42.0,,5.0,47.0,,,7.0,86.0,,,36.0,,6.0,3.0,3.0,3.0,6.0,5.0,71.0,3.0,21.0,97.0,10.0,128.0,79.0,207.0,3.0,6.0,12.0,4.0,9.0,18.0,1.0,3.0,1.0,30.0,2.0,7.0,37.0,90.0,5.0,6.0,25.0,3.0,,10.0,4.0,12.0,1.0,7.0,1.0,3.0,13.0,7.0,,5.0,2.0,11.0,0.6615384615384615,0.9148936170212766,,,,,0.5,0.5,0.5222222222222223,0.10714285714285714,,0.4,0.2777777777777778,0.08333333333333333,0.16193656093489148,0.10990712074303406,0.13548387096774195,0.06097560975609756,0.15649867374005305,0.1043956043956044,0.1437908496732026,0.09292035398230089,0.10486891385767791,0.06153846153846154,0.058823529411764705,0.15384615384615385,0.1657754010695187,0.1646090534979424,0.13740458015267176,0.125,0.05084745762711865,0.5384615384615384,0.41935483870967744,0.8888888888888888,0.3007518796992481,0.4,0.4,0.875,,,,,,,,0.6904761904761905,0.5862068965517241,0.058823529411764705,,,0.42857142857142855,0.6666666666666666,,,,,0.5165375,0.07142857142857142,0.07142857142857142,0.3219178082191781,,2.0,,,,,,,,,,,,,1.0,,,,,,,True
2245,1610612755,Damone Brown,Damone Brown,2245,PHI,1443.0,24,13,46,45,8,20,5.0,91,,1.0,1.0,2.0,,1.0,5.0,,2.0,36,,,,,,,,,,,,,,8,0.2,,0.2,,0.2,,,,,14.0,0.2,,,0.4,0.5,0.5,,0.2,0.4355399999999999,,,11.379999999999999,,0.17391304347826086,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,2.0,1.0,,,2.0,,,,5.0,,1.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,0.07692307692307693,,,,0.07142857142857142,0.3333333333333333,,,,,,,,,,,,,1.0,0.4,,,,,,,,,,,1.0,,,,,,,,,,,0.589,,,,,,,,,,,,,,,,,,,,,,,,,True
1913,1610612755,Michael Ruffin,Michael Ruffin,1913,PHI,5034.0,84,-8,145,152,42,38,20.0,297,2.0,10.0,,5.0,,2.0,15.0,,5.0,126,1.0,3.0,3.0,2.0,,1.0,1.0,2.0,,5.0,2.0,2.0,3.0,42,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.14705882352941177,0.375,,0.06666666666666667,,14.117647058823529,0.6666666666666666,0.2,0.2222222222222222,0.3333333333333333,,,,0.6666666666666666,0.4817133333333333,0.5552333333333334,0.6,2.5533333333333332,,0.2896551724137931,1.0,5.0,1.0,3.0,,,,,,,,,,,,1.0,1.0,5.0,,1.0,3.0,,,1.0,2.0,,,2.0,,1.0,1.0,,1.0,,2.0,10.0,,3.0,13.0,,16.0,12.0,28.0,2.0,,2.0,1.0,1.0,5.0,,1.0,,7.0,,,6.0,13.0,,2.0,4.0,,,2.0,,2.0,,2.0,,,2.0,2.0,,,,,0.5,1.0,,,,,0.2,0.2,0.25,0.1,,0.2857142857142857,,,0.21666666666666667,0.14705882352941177,0.15,0.18181818181818182,0.2,0.1518987341772152,0.16666666666666666,0.2608695652173913,0.037037037037037035,0.18181818181818182,,0.2857142857142857,0.2222222222222222,0.17857142857142858,0.1,0.2,0.16666666666666666,1.0,0.5,,,,,,,,,,,,,1.0,0.2,,,,1.0,0.3333333333333333,,,,,0.49065,0.11764705882352941,0.11764705882352941,0.6,,,,,,,,,,,,,,,,,,,,,,True
